context: Um, may I help you? response:	Give me the medicine written on this note.
context: Makishima's behind this crime.\I'd put money on it.\Though...\What does this world define as crime to begin with?\Ko... What's on your mind?\This is no ordinary crime.\It's more like...\something that shakes the very foundation of our society. response:	Whoa! This is crazy...
context: I'd put money on it.\Though...\What does this world define as crime to begin with?\Ko... What's on your mind?\This is no ordinary crime.\It's more like...\something that shakes the very foundation of our society.\Whoa! This is crazy... response:	So when they said that they were gonna demo it, they were serious.
context: Though...\What does this world define as crime to begin with?\Ko... What's on your mind?\This is no ordinary crime.\It's more like...\something that shakes the very foundation of our society.\Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious. response:	Shall we go?
context: What does this world define as crime to begin with?\Ko... What's on your mind?\This is no ordinary crime.\It's more like...\something that shakes the very foundation of our society.\Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious.\Shall we go? response:	So they managed to elevate the Area Stress Level this much in so little time...
context: Ko... What's on your mind?\This is no ordinary crime.\It's more like...\something that shakes the very foundation of our society.\Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious.\Shall we go?\So they managed to elevate the Area Stress Level this much in so little time... response:	So far, so good.
context: This is no ordinary crime.\It's more like...\something that shakes the very foundation of our society.\Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious.\Shall we go?\So they managed to elevate the Area Stress Level this much in so little time...\So far, so good. response:	This will work.
context: It's more like...\something that shakes the very foundation of our society.\Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious.\Shall we go?\So they managed to elevate the Area Stress Level this much in so little time...\So far, so good.\This will work. response:	The plan doesn't have to be revised.
context: something that shakes the very foundation of our society.\Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious.\Shall we go?\So they managed to elevate the Area Stress Level this much in so little time...\So far, so good.\This will work.\The plan doesn't have to be revised. response:	That's silly.
context: Whoa! This is crazy...\So when they said that they were gonna demo it, they were serious.\Shall we go?\So they managed to elevate the Area Stress Level this much in so little time...\So far, so good.\This will work.\The plan doesn't have to be revised.\That's silly. response:	It's just one person killing another. That's all.
context: So when they said that they were gonna demo it, they were serious.\Shall we go?\So they managed to elevate the Area Stress Level this much in so little time...\So far, so good.\This will work.\The plan doesn't have to be revised.\That's silly.\It's just one person killing another. That's all. response:	Nothing really serious has happened yet.
context: Shall we go?\So they managed to elevate the Area Stress Level this much in so little time...\So far, so good.\This will work.\The plan doesn't have to be revised.\That's silly.\It's just one person killing another. That's all.\Nothing really serious has happened yet. response:	The really serious stuff is yet to come.
context: So they managed to elevate the Area Stress Level this much in so little time...\So far, so good.\This will work.\The plan doesn't have to be revised.\That's silly.\It's just one person killing another. That's all.\Nothing really serious has happened yet.\The really serious stuff is yet to come. response:	Hey... You're the only one I've told the entire plan to.
context: So far, so good.\This will work.\The plan doesn't have to be revised.\That's silly.\It's just one person killing another. That's all.\Nothing really serious has happened yet.\The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to. response:	I'm counting on you.
context: This will work.\The plan doesn't have to be revised.\That's silly.\It's just one person killing another. That's all.\Nothing really serious has happened yet.\The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to.\I'm counting on you. response:	This is the Criminal Investigation Department, part of the Public Safety Bureau.
context: The plan doesn't have to be revised.\That's silly.\It's just one person killing another. That's all.\Nothing really serious has happened yet.\The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to.\I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau. response:	Access to this area is currently restricted to ensure safety.
context: That's silly.\It's just one person killing another. That's all.\Nothing really serious has happened yet.\The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to.\I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety. response:	The victim's name was...Fujii Hiroko.
context: It's just one person killing another. That's all.\Nothing really serious has happened yet.\The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to.\I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko. response:	To think that it happened right in the middle of a busy street...
context: Nothing really serious has happened yet.\The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to.\I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street... response:	To those who are passing by, please do not stop.
context: The really serious stuff is yet to come.\Hey... You're the only one I've told the entire plan to.\I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop. response:	What on Earth has happened to this town?
context: Hey... You're the only one I've told the entire plan to.\I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop.\What on Earth has happened to this town? response:	Do you think it's the same perpetrator as the pharmacy attack?
context: I'm counting on you.\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop.\What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack? response:	It's very likely.
context: This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop.\What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack?\It's very likely. response:	Even so, all the people that were here...
context: Access to this area is currently restricted to ensure safety.\The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop.\What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack?\It's very likely.\Even so, all the people that were here... response:	What were they, scarecrows?!
context: The victim's name was...Fujii Hiroko.\To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop.\What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack?\It's very likely.\Even so, all the people that were here...\What were they, scarecrows?! response:	The witnesses' testimonies are all very similar.
context: To think that it happened right in the middle of a busy street...\To those who are passing by, please do not stop.\What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack?\It's very likely.\Even so, all the people that were here...\What were they, scarecrows?!\The witnesses' testimonies are all very similar. response:	They said they couldn't understand what was going on.
context: To those who are passing by, please do not stop.\What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack?\It's very likely.\Even so, all the people that were here...\What were they, scarecrows?!\The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on. response:	I don't think we can blame them.
context: What on Earth has happened to this town?\Do you think it's the same perpetrator as the pharmacy attack?\It's very likely.\Even so, all the people that were here...\What were they, scarecrows?!\The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on.\I don't think we can blame them. response:	The idea of someone being killed right before their eyes...
context: Do you think it's the same perpetrator as the pharmacy attack?\It's very likely.\Even so, all the people that were here...\What were they, scarecrows?!\The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on.\I don't think we can blame them.\The idea of someone being killed right before their eyes... response:	They couldn't even dream up something like that. It simply wouldn't occur to them.
context: It's very likely.\Even so, all the people that were here...\What were they, scarecrows?!\The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on.\I don't think we can blame them.\The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them. response:	All these people have lived up until now without ever even considering...
context: Even so, all the people that were here...\What were they, scarecrows?!\The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on.\I don't think we can blame them.\The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering... response:	that something like this could happen.
context: What were they, scarecrows?!\The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on.\I don't think we can blame them.\The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering...\that something like this could happen. response:	In the end, no one reported the incident,
context: The witnesses' testimonies are all very similar.\They said they couldn't understand what was going on.\I don't think we can blame them.\The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering...\that something like this could happen.\In the end, no one reported the incident, response:	and the Area Stress Level warning was what revealed the anomaly.
context: They said they couldn't understand what was going on.\I don't think we can blame them.\The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering...\that something like this could happen.\In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly. response:	And it wasn't just people who overlooked it.
context: I don't think we can blame them.\The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering...\that something like this could happen.\In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it. response:	The crime was committed right in front of a Psycho-Pass scanner, of all things.
context: The idea of someone being killed right before their eyes...\They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering...\that something like this could happen.\In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things. response:	So the culprit's Hue was also monitored in real time?
context: They couldn't even dream up something like that. It simply wouldn't occur to them.\All these people have lived up until now without ever even considering...\that something like this could happen.\In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time? response:	This is it.
context: All these people have lived up until now without ever even considering...\that something like this could happen.\In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time?\This is it. response:	So once again, it remained normal all the way through? Unbelievable.
context: that something like this could happen.\In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time?\This is it.\So once again, it remained normal all the way through? Unbelievable. response:	Even at the instant he strikes her, it shows only a small change.
context: In the end, no one reported the incident,\and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time?\This is it.\So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change. response:	Again, any possibility that the value itself could be faked?
context: and the Area Stress Level warning was what revealed the anomaly.\And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time?\This is it.\So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked? response:	No.
context: And it wasn't just people who overlooked it.\The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time?\This is it.\So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked?\No. response:	It's not possible to fabricate a Psycho-Pass reading
context: The crime was committed right in front of a Psycho-Pass scanner, of all things.\So the culprit's Hue was also monitored in real time?\This is it.\So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked?\No.\It's not possible to fabricate a Psycho-Pass reading response:	unless he's dragging around a supercomputer with him or something.
context: So the culprit's Hue was also monitored in real time?\This is it.\So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked?\No.\It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something. response:	No...
context: This is it.\So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked?\No.\It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something.\No... response:	Something's off about this reading.
context: So once again, it remained normal all the way through? Unbelievable.\Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked?\No.\It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something.\No...\Something's off about this reading. response:	Well, that much is obvious.
context: Even at the instant he strikes her, it shows only a small change.\Again, any possibility that the value itself could be faked?\No.\It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something.\No...\Something's off about this reading.\Well, that much is obvious. response:	No, I mean...
context: Again, any possibility that the value itself could be faked?\No.\It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something.\No...\Something's off about this reading.\Well, that much is obvious.\No, I mean... response:	It's too much like an onlooker's reaction.
context: No.\It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something.\No...\Something's off about this reading.\Well, that much is obvious.\No, I mean...\It's too much like an onlooker's reaction. response:	Look at this.
context: It's not possible to fabricate a Psycho-Pass reading\unless he's dragging around a supercomputer with him or something.\No...\Something's off about this reading.\Well, that much is obvious.\No, I mean...\It's too much like an onlooker's reaction.\Look at this. response:	Here's the change in the Area Stress Level.
context: unless he's dragging around a supercomputer with him or something.\No...\Something's off about this reading.\Well, that much is obvious.\No, I mean...\It's too much like an onlooker's reaction.\Look at this.\Here's the change in the Area Stress Level. response:	It's going up and down in exactly the same way as the perpetrator's Hue.
context: No...\Something's off about this reading.\Well, that much is obvious.\No, I mean...\It's too much like an onlooker's reaction.\Look at this.\Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue. response:	Ah, you're right.
context: Something's off about this reading.\Well, that much is obvious.\No, I mean...\It's too much like an onlooker's reaction.\Look at this.\Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right. response:	This means...
context: Well, that much is obvious.\No, I mean...\It's too much like an onlooker's reaction.\Look at this.\Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right.\This means... response:	that his mental state was exactly the same as the witnesses'.
context: No, I mean...\It's too much like an onlooker's reaction.\Look at this.\Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right.\This means...\that his mental state was exactly the same as the witnesses'. response:	I wonder if they'll be able to see through the trick right away.
context: It's too much like an onlooker's reaction.\Look at this.\Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right.\This means...\that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away. response:	In truth, it is quite a simple one.
context: Look at this.\Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right.\This means...\that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one. response:	It's also not without its limits.
context: Here's the change in the Area Stress Level.\It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right.\This means...\that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one.\It's also not without its limits. response:	I think the effective range is about thirty meters.
context: It's going up and down in exactly the same way as the perpetrator's Hue.\Ah, you're right.\This means...\that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one.\It's also not without its limits.\I think the effective range is about thirty meters. response:	But as long as there's just one person with a clear Hue within that range,
context: Ah, you're right.\This means...\that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one.\It's also not without its limits.\I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range, response:	it doesn't matter what you're thinking inside the helmet or what you do.
context: This means...\that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one.\It's also not without its limits.\I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do. response:	It's probably only a matter of time before the CID notice...
context: that his mental state was exactly the same as the witnesses'.\I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one.\It's also not without its limits.\I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice... response:	that there was another person at the scene with the exact same Hue.
context: I wonder if they'll be able to see through the trick right away.\In truth, it is quite a simple one.\It's also not without its limits.\I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue. response:	That is, if they verify the scan data of everyone who was there.
context: In truth, it is quite a simple one.\It's also not without its limits.\I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there. response:	Inspectors, another emergency situation has arisen.
context: It's also not without its limits.\I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen. response:	What is it this time?!
context: I think the effective range is about thirty meters.\But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen.\What is it this time?! response:	Apparently, an armored car was attacked on the freeway.
context: But as long as there's just one person with a clear Hue within that range,\it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen.\What is it this time?!\Apparently, an armored car was attacked on the freeway. response:	An armored car?
context: it doesn't matter what you're thinking inside the helmet or what you do.\It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen.\What is it this time?!\Apparently, an armored car was attacked on the freeway.\An armored car? response:	Shion... They were wearing helmets as well, right?
context: It's probably only a matter of time before the CID notice...\that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen.\What is it this time?!\Apparently, an armored car was attacked on the freeway.\An armored car?\Shion... They were wearing helmets as well, right? response:	Well done! You're right. There were three of them.
context: that there was another person at the scene with the exact same Hue.\That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen.\What is it this time?!\Apparently, an armored car was attacked on the freeway.\An armored car?\Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them. response:	All armed with shop tools.
context: That is, if they verify the scan data of everyone who was there.\Inspectors, another emergency situation has arisen.\What is it this time?!\Apparently, an armored car was attacked on the freeway.\An armored car?\Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them.\All armed with shop tools. response:	This is a separate incident from the earlier one.
context: Inspectors, another emergency situation has arisen.\What is it this time?!\Apparently, an armored car was attacked on the freeway.\An armored car?\Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them.\All armed with shop tools.\This is a separate incident from the earlier one. response:	How should we go after them?
context: What is it this time?!\Apparently, an armored car was attacked on the freeway.\An armored car?\Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them.\All armed with shop tools.\This is a separate incident from the earlier one.\How should we go after them? response:	We'll split in two.
context: Apparently, an armored car was attacked on the freeway.\An armored car?\Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them.\All armed with shop tools.\This is a separate incident from the earlier one.\How should we go after them?\We'll split in two. response:	Kagari. Kunizuka. Come with me.
context: An armored car?\Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them.\All armed with shop tools.\This is a separate incident from the earlier one.\How should we go after them?\We'll split in two.\Kagari. Kunizuka. Come with me. response:	Alrighty.
context: Shion... They were wearing helmets as well, right?\Well done! You're right. There were three of them.\All armed with shop tools.\This is a separate incident from the earlier one.\How should we go after them?\We'll split in two.\Kagari. Kunizuka. Come with me.\Alrighty. response:	Okay.
context: Well done! You're right. There were three of them.\All armed with shop tools.\This is a separate incident from the earlier one.\How should we go after them?\We'll split in two.\Kagari. Kunizuka. Come with me.\Alrighty.\Okay. response:	You guys keep looking for the perp from the pharmacy attack.
context: All armed with shop tools.\This is a separate incident from the earlier one.\How should we go after them?\We'll split in two.\Kagari. Kunizuka. Come with me.\Alrighty.\Okay.\You guys keep looking for the perp from the pharmacy attack. response:	We'll go after the armored car.
context: This is a separate incident from the earlier one.\How should we go after them?\We'll split in two.\Kagari. Kunizuka. Come with me.\Alrighty.\Okay.\You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car. response:	So it's an armed robbery, huh?
context: How should we go after them?\We'll split in two.\Kagari. Kunizuka. Come with me.\Alrighty.\Okay.\You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car.\So it's an armed robbery, huh? response:	If this thing doesn't work on them,
context: We'll split in two.\Kagari. Kunizuka. Come with me.\Alrighty.\Okay.\You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car.\So it's an armed robbery, huh?\If this thing doesn't work on them, response:	aren't we going in unarmed, Gino?
context: Kagari. Kunizuka. Come with me.\Alrighty.\Okay.\You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car.\So it's an armed robbery, huh?\If this thing doesn't work on them,\aren't we going in unarmed, Gino? response:	Focus on what needs to be done! Let's go!
context: Alrighty.\Okay.\You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car.\So it's an armed robbery, huh?\If this thing doesn't work on them,\aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go! response:	But why is the culprit doing things like this in the first place?
context: Okay.\You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car.\So it's an armed robbery, huh?\If this thing doesn't work on them,\aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place? response:	Hm?
context: You guys keep looking for the perp from the pharmacy attack.\We'll go after the armored car.\So it's an armed robbery, huh?\If this thing doesn't work on them,\aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place?\Hm? response:	Why? Well, because...
context: We'll go after the armored car.\So it's an armed robbery, huh?\If this thing doesn't work on them,\aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place?\Hm?\Why? Well, because... response:	What's the matter?
context: So it's an armed robbery, huh?\If this thing doesn't work on them,\aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place?\Hm?\Why? Well, because...\What's the matter? response:	How stupid of us.
context: If this thing doesn't work on them,\aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place?\Hm?\Why? Well, because...\What's the matter?\How stupid of us. response:	Since the crimes are so unusual, they look like random attacks,
context: aren't we going in unarmed, Gino?\Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place?\Hm?\Why? Well, because...\What's the matter?\How stupid of us.\Since the crimes are so unusual, they look like random attacks, response:	but what about the victim in the second incident?
context: Focus on what needs to be done! Let's go!\But why is the culprit doing things like this in the first place?\Hm?\Why? Well, because...\What's the matter?\How stupid of us.\Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident? response:	They wouldn't have been attacked so viciously unless the killer had a motive.
context: But why is the culprit doing things like this in the first place?\Hm?\Why? Well, because...\What's the matter?\How stupid of us.\Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive. response:	What is it now? Can't they tell I'm busy?!
context: Hm?\Why? Well, because...\What's the matter?\How stupid of us.\Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?! response:	I want you to check something.
context: Why? Well, because...\What's the matter?\How stupid of us.\Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?!\I want you to check something. response:	I'm already checking all sorts of things right now.
context: What's the matter?\How stupid of us.\Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?!\I want you to check something.\I'm already checking all sorts of things right now. response:	Just give me a minute.
context: How stupid of us.\Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?!\I want you to check something.\I'm already checking all sorts of things right now.\Just give me a minute. response:	I'm asking you because I know you're the best at this.
context: Since the crimes are so unusual, they look like random attacks,\but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?!\I want you to check something.\I'm already checking all sorts of things right now.\Just give me a minute.\I'm asking you because I know you're the best at this. response:	Now, now, flattery will get you everywhere.
context: but what about the victim in the second incident?\They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?!\I want you to check something.\I'm already checking all sorts of things right now.\Just give me a minute.\I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere. response:	What is it, then?
context: They wouldn't have been attacked so viciously unless the killer had a motive.\What is it now? Can't they tell I'm busy?!\I want you to check something.\I'm already checking all sorts of things right now.\Just give me a minute.\I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere.\What is it, then? response:	The victim, Fujii Hiroko... Did she get into any trouble in the past?
context: What is it now? Can't they tell I'm busy?!\I want you to check something.\I'm already checking all sorts of things right now.\Just give me a minute.\I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere.\What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past? response:	Nothing big enough to be recorded, as far as I can tell.
context: I want you to check something.\I'm already checking all sorts of things right now.\Just give me a minute.\I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere.\What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell. response:	Did she know anyone who hadn't gone outside for a long time?
context: I'm already checking all sorts of things right now.\Just give me a minute.\I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere.\What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time? response:	Someone who hadn't gone outside?
context: Just give me a minute.\I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere.\What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside? response:	Someone who probably would've been sent to therapy right away
context: I'm asking you because I know you're the best at this.\Now, now, flattery will get you everywhere.\What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away response:	if he'd been caught by the street scanners.
context: Now, now, flattery will get you everywhere.\What is it, then?\The victim, Fujii Hiroko... Did she get into any trouble in the past?\Nothing big enough to be recorded, as far as I can tell.\Did she know anyone who hadn't gone outside for a long time?\Someone who hadn't gone outside?\Someone who probably would've been sent to therapy right away\if he'd been caught by the street scanners. response:	I see.
