context: Did you wait long, Takeo-kun? response:	No, I just got here!
context: Ousaki University?\Oda Hayato?\That's my sis's university.\Huh? Sis?\Oh, hello!\Hi!\Oh, hello...\Sorry, Takeo... response:	I didn't mean to interrupt you at work.
context: Oda Hayato?\That's my sis's university.\Huh? Sis?\Oh, hello!\Hi!\Oh, hello...\Sorry, Takeo...\I didn't mean to interrupt you at work. response:	Bye.
context: That's my sis's university.\Huh? Sis?\Oh, hello!\Hi!\Oh, hello...\Sorry, Takeo...\I didn't mean to interrupt you at work.\Bye. response:	Oh, so it's one of her friends.
context: Huh? Sis?\Oh, hello!\Hi!\Oh, hello...\Sorry, Takeo...\I didn't mean to interrupt you at work.\Bye.\Oh, so it's one of her friends. response:	Then she's visiting?
context: Oh, hello!\Hi!\Oh, hello...\Sorry, Takeo...\I didn't mean to interrupt you at work.\Bye.\Oh, so it's one of her friends.\Then she's visiting? response:	Come to think of it,
context: Hi!\Oh, hello...\Sorry, Takeo...\I didn't mean to interrupt you at work.\Bye.\Oh, so it's one of her friends.\Then she's visiting?\Come to think of it, response:	she said she was coming home for the long weekend.
context: Oh, hello...\Sorry, Takeo...\I didn't mean to interrupt you at work.\Bye.\Oh, so it's one of her friends.\Then she's visiting?\Come to think of it,\she said she was coming home for the long weekend. response:	What the hell do you think you're doing to Takeo?!
context: Sorry, Takeo...\I didn't mean to interrupt you at work.\Bye.\Oh, so it's one of her friends.\Then she's visiting?\Come to think of it,\she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?! response:	What do you mean, what?
context: I didn't mean to interrupt you at work.\Bye.\Oh, so it's one of her friends.\Then she's visiting?\Come to think of it,\she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?!\What do you mean, what? response:	I told you I have feelings for you.
context: Bye.\Oh, so it's one of her friends.\Then she's visiting?\Come to think of it,\she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?!\What do you mean, what?\I told you I have feelings for you. response:	That's why I'm here.
context: Oh, so it's one of her friends.\Then she's visiting?\Come to think of it,\she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?!\What do you mean, what?\I told you I have feelings for you.\That's why I'm here. response:	I wanted to see for myself the man you have feelings for.
context: Then she's visiting?\Come to think of it,\she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?!\What do you mean, what?\I told you I have feelings for you.\That's why I'm here.\I wanted to see for myself the man you have feelings for. response:	This Gouda Takeo
context: Come to think of it,\she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?!\What do you mean, what?\I told you I have feelings for you.\That's why I'm here.\I wanted to see for myself the man you have feelings for.\This Gouda Takeo response:	that you like...
context: she said she was coming home for the long weekend.\What the hell do you think you're doing to Takeo?!\What do you mean, what?\I told you I have feelings for you.\That's why I'm here.\I wanted to see for myself the man you have feelings for.\This Gouda Takeo\that you like... response:	Wait, that's the one, right?
context: What the hell do you think you're doing to Takeo?!\What do you mean, what?\I told you I have feelings for you.\That's why I'm here.\I wanted to see for myself the man you have feelings for.\This Gouda Takeo\that you like...\Wait, that's the one, right? response:	What the... He was super intimidating!!
context: What do you mean, what?\I told you I have feelings for you.\That's why I'm here.\I wanted to see for myself the man you have feelings for.\This Gouda Takeo\that you like...\Wait, that's the one, right?\What the... He was super intimidating!! response:	It isn't that there's another with the same name?
context: I told you I have feelings for you.\That's why I'm here.\I wanted to see for myself the man you have feelings for.\This Gouda Takeo\that you like...\Wait, that's the one, right?\What the... He was super intimidating!!\It isn't that there's another with the same name? response:	That's him!
context: That's why I'm here.\I wanted to see for myself the man you have feelings for.\This Gouda Takeo\that you like...\Wait, that's the one, right?\What the... He was super intimidating!!\It isn't that there's another with the same name?\That's him! response:	That's Takeo!
context: I wanted to see for myself the man you have feelings for.\This Gouda Takeo\that you like...\Wait, that's the one, right?\What the... He was super intimidating!!\It isn't that there's another with the same name?\That's him!\That's Takeo! response:	Do you have a problem with that?
context: This Gouda Takeo\that you like...\Wait, that's the one, right?\What the... He was super intimidating!!\It isn't that there's another with the same name?\That's him!\That's Takeo!\Do you have a problem with that? response:	I mean,
context: that you like...\Wait, that's the one, right?\What the... He was super intimidating!!\It isn't that there's another with the same name?\That's him!\That's Takeo!\Do you have a problem with that?\I mean, response:	I just didn't expect him to be that kind of guy.
context: Wait, that's the one, right?\What the... He was super intimidating!!\It isn't that there's another with the same name?\That's him!\That's Takeo!\Do you have a problem with that?\I mean,\I just didn't expect him to be that kind of guy. response:	I made a mistake and talked to your brother first.
context: What the... He was super intimidating!!\It isn't that there's another with the same name?\That's him!\That's Takeo!\Do you have a problem with that?\I mean,\I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first. response:	So he's the one who told you that you look like a beautiful flower?
context: It isn't that there's another with the same name?\That's him!\That's Takeo!\Do you have a problem with that?\I mean,\I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower? response:	And the girl with him is his girlfriend, Yamato-san?
context: That's him!\That's Takeo!\Do you have a problem with that?\I mean,\I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san? response:	That's right...
context: That's Takeo!\Do you have a problem with that?\I mean,\I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san?\That's right... response:	My heart's already been broken, okay?
context: Do you have a problem with that?\I mean,\I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san?\That's right...\My heart's already been broken, okay? response:	Have you had enough?
context: I mean,\I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san?\That's right...\My heart's already been broken, okay?\Have you had enough? response:	Just go back to Nagoya already!
context: I just didn't expect him to be that kind of guy.\I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san?\That's right...\My heart's already been broken, okay?\Have you had enough?\Just go back to Nagoya already! response:	No, I won't.
context: I made a mistake and talked to your brother first.\So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san?\That's right...\My heart's already been broken, okay?\Have you had enough?\Just go back to Nagoya already!\No, I won't. response:	I want to have a proper talk with Takeo-kun.
context: So he's the one who told you that you look like a beautiful flower?\And the girl with him is his girlfriend, Yamato-san?\That's right...\My heart's already been broken, okay?\Have you had enough?\Just go back to Nagoya already!\No, I won't.\I want to have a proper talk with Takeo-kun. response:	I need to know exactly what kind of man he is.
context: And the girl with him is his girlfriend, Yamato-san?\That's right...\My heart's already been broken, okay?\Have you had enough?\Just go back to Nagoya already!\No, I won't.\I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is. response:	I want to know what kind of man you fell in love with.
context: That's right...\My heart's already been broken, okay?\Have you had enough?\Just go back to Nagoya already!\No, I won't.\I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with. response:	Oh, come on!
context: My heart's already been broken, okay?\Have you had enough?\Just go back to Nagoya already!\No, I won't.\I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with.\Oh, come on! response:	Let me have that much, okay?
context: Have you had enough?\Just go back to Nagoya already!\No, I won't.\I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with.\Oh, come on!\Let me have that much, okay? response:	Takeo-kun's the reason why you turned me down.
context: Just go back to Nagoya already!\No, I won't.\I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with.\Oh, come on!\Let me have that much, okay?\Takeo-kun's the reason why you turned me down. response:	No!
context: No, I won't.\I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with.\Oh, come on!\Let me have that much, okay?\Takeo-kun's the reason why you turned me down.\No! response:	You'll just make things more complicated...
context: I want to have a proper talk with Takeo-kun.\I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with.\Oh, come on!\Let me have that much, okay?\Takeo-kun's the reason why you turned me down.\No!\You'll just make things more complicated... response:	Just stay out of this!
context: I need to know exactly what kind of man he is.\I want to know what kind of man you fell in love with.\Oh, come on!\Let me have that much, okay?\Takeo-kun's the reason why you turned me down.\No!\You'll just make things more complicated...\Just stay out of this! response:	Those two are happy.
context: I want to know what kind of man you fell in love with.\Oh, come on!\Let me have that much, okay?\Takeo-kun's the reason why you turned me down.\No!\You'll just make things more complicated...\Just stay out of this!\Those two are happy. response:	Yamato-san's a really nice girl.
context: Oh, come on!\Let me have that much, okay?\Takeo-kun's the reason why you turned me down.\No!\You'll just make things more complicated...\Just stay out of this!\Those two are happy.\Yamato-san's a really nice girl. response:	I'm happy for them!
context: Let me have that much, okay?\Takeo-kun's the reason why you turned me down.\No!\You'll just make things more complicated...\Just stay out of this!\Those two are happy.\Yamato-san's a really nice girl.\I'm happy for them! response:	I've got closure.
context: Takeo-kun's the reason why you turned me down.\No!\You'll just make things more complicated...\Just stay out of this!\Those two are happy.\Yamato-san's a really nice girl.\I'm happy for them!\I've got closure. response:	So just leave me alone!
context: No!\You'll just make things more complicated...\Just stay out of this!\Those two are happy.\Yamato-san's a really nice girl.\I'm happy for them!\I've got closure.\So just leave me alone! response:	Let me be!
context: You'll just make things more complicated...\Just stay out of this!\Those two are happy.\Yamato-san's a really nice girl.\I'm happy for them!\I've got closure.\So just leave me alone!\Let me be! response:	Got it?
context: Just stay out of this!\Those two are happy.\Yamato-san's a really nice girl.\I'm happy for them!\I've got closure.\So just leave me alone!\Let me be!\Got it? response:	Just go home!
context: Those two are happy.\Yamato-san's a really nice girl.\I'm happy for them!\I've got closure.\So just leave me alone!\Let me be!\Got it?\Just go home! response:	I'll take you to the station.
context: Yamato-san's a really nice girl.\I'm happy for them!\I've got closure.\So just leave me alone!\Let me be!\Got it?\Just go home!\I'll take you to the station. response:	Come on! Hurry up!
context: I'm happy for them!\I've got closure.\So just leave me alone!\Let me be!\Got it?\Just go home!\I'll take you to the station.\Come on! Hurry up! response:	Sunakawa-san, how did you know that's where I'd be?
context: I've got closure.\So just leave me alone!\Let me be!\Got it?\Just go home!\I'll take you to the station.\Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be? response:	You're the one who sent me a text that said you were going to see Takeo!
context: So just leave me alone!\Let me be!\Got it?\Just go home!\I'll take you to the station.\Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo! response:	I'm glad I got to see his sister.
context: Let me be!\Got it?\Just go home!\I'll take you to the station.\Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister. response:	The last time she came was for Suna's dad.
context: Got it?\Just go home!\I'll take you to the station.\Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister.\The last time she came was for Suna's dad. response:	She really helped me out last time...
context: Just go home!\I'll take you to the station.\Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister.\The last time she came was for Suna's dad.\She really helped me out last time... response:	What?
context: I'll take you to the station.\Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister.\The last time she came was for Suna's dad.\She really helped me out last time...\What? response:	Um, she gave me advice about you and stuff.
context: Come on! Hurry up!\Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister.\The last time she came was for Suna's dad.\She really helped me out last time...\What?\Um, she gave me advice about you and stuff. response:	I'd like to thank her somehow...
context: Sunakawa-san, how did you know that's where I'd be?\You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister.\The last time she came was for Suna's dad.\She really helped me out last time...\What?\Um, she gave me advice about you and stuff.\I'd like to thank her somehow... response:	Maybe I can bake her something.
context: You're the one who sent me a text that said you were going to see Takeo!\I'm glad I got to see his sister.\The last time she came was for Suna's dad.\She really helped me out last time...\What?\Um, she gave me advice about you and stuff.\I'd like to thank her somehow...\Maybe I can bake her something. response:	I'm sure she'd like that!
context: I'm glad I got to see his sister.\The last time she came was for Suna's dad.\She really helped me out last time...\What?\Um, she gave me advice about you and stuff.\I'd like to thank her somehow...\Maybe I can bake her something.\I'm sure she'd like that! response:	Okay.
context: The last time she came was for Suna's dad.\She really helped me out last time...\What?\Um, she gave me advice about you and stuff.\I'd like to thank her somehow...\Maybe I can bake her something.\I'm sure she'd like that!\Okay. response:	Now that I think about it, I wonder who that guy was.
context: She really helped me out last time...\What?\Um, she gave me advice about you and stuff.\I'd like to thank her somehow...\Maybe I can bake her something.\I'm sure she'd like that!\Okay.\Now that I think about it, I wonder who that guy was. response:	Seemed like he was a friend of hers.
context: What?\Um, she gave me advice about you and stuff.\I'd like to thank her somehow...\Maybe I can bake her something.\I'm sure she'd like that!\Okay.\Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers. response:	I'm back.
context: Um, she gave me advice about you and stuff.\I'd like to thank her somehow...\Maybe I can bake her something.\I'm sure she'd like that!\Okay.\Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers.\I'm back. response:	Oh, I'll have some of that coffee.
context: I'd like to thank her somehow...\Maybe I can bake her something.\I'm sure she'd like that!\Okay.\Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers.\I'm back.\Oh, I'll have some of that coffee. response:	How long are you staying this time?
context: Maybe I can bake her something.\I'm sure she'd like that!\Okay.\Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers.\I'm back.\Oh, I'll have some of that coffee.\How long are you staying this time? response:	Until Sunday evening.
context: I'm sure she'd like that!\Okay.\Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers.\I'm back.\Oh, I'll have some of that coffee.\How long are you staying this time?\Until Sunday evening. response:	Did that guy go back?
context: Okay.\Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers.\I'm back.\Oh, I'll have some of that coffee.\How long are you staying this time?\Until Sunday evening.\Did that guy go back? response:	Yeah, I took him to the station just now.
context: Now that I think about it, I wonder who that guy was.\Seemed like he was a friend of hers.\I'm back.\Oh, I'll have some of that coffee.\How long are you staying this time?\Until Sunday evening.\Did that guy go back?\Yeah, I took him to the station just now. response:	Did Takeo say anything?
context: Seemed like he was a friend of hers.\I'm back.\Oh, I'll have some of that coffee.\How long are you staying this time?\Until Sunday evening.\Did that guy go back?\Yeah, I took him to the station just now.\Did Takeo say anything? response:	No, nothing, really.
context: I'm back.\Oh, I'll have some of that coffee.\How long are you staying this time?\Until Sunday evening.\Did that guy go back?\Yeah, I took him to the station just now.\Did Takeo say anything?\No, nothing, really. response:	By the way, how long has Takeo been working there?
context: Oh, I'll have some of that coffee.\How long are you staying this time?\Until Sunday evening.\Did that guy go back?\Yeah, I took him to the station just now.\Did Takeo say anything?\No, nothing, really.\By the way, how long has Takeo been working there? response:	Since summer.
context: How long are you staying this time?\Until Sunday evening.\Did that guy go back?\Yeah, I took him to the station just now.\Did Takeo say anything?\No, nothing, really.\By the way, how long has Takeo been working there?\Since summer. response:	His girlfriend's fine with it?
context: Until Sunday evening.\Did that guy go back?\Yeah, I took him to the station just now.\Did Takeo say anything?\No, nothing, really.\By the way, how long has Takeo been working there?\Since summer.\His girlfriend's fine with it? response:	She seemed excited enough.
context: Did that guy go back?\Yeah, I took him to the station just now.\Did Takeo say anything?\No, nothing, really.\By the way, how long has Takeo been working there?\Since summer.\His girlfriend's fine with it?\She seemed excited enough. response:	Oh, I guess.
context: Yeah, I took him to the station just now.\Did Takeo say anything?\No, nothing, really.\By the way, how long has Takeo been working there?\Since summer.\His girlfriend's fine with it?\She seemed excited enough.\Oh, I guess. response:	That back... It was a pretty big turn-on.
context: Did Takeo say anything?\No, nothing, really.\By the way, how long has Takeo been working there?\Since summer.\His girlfriend's fine with it?\She seemed excited enough.\Oh, I guess.\That back... It was a pretty big turn-on. response:	I see nothing's changed
context: No, nothing, really.\By the way, how long has Takeo been working there?\Since summer.\His girlfriend's fine with it?\She seemed excited enough.\Oh, I guess.\That back... It was a pretty big turn-on.\I see nothing's changed response:	Where can I take Yamato with my paycheck?
context: By the way, how long has Takeo been working there?\Since summer.\His girlfriend's fine with it?\She seemed excited enough.\Oh, I guess.\That back... It was a pretty big turn-on.\I see nothing's changed\Where can I take Yamato with my paycheck? response:	Oh!
context: Since summer.\His girlfriend's fine with it?\She seemed excited enough.\Oh, I guess.\That back... It was a pretty big turn-on.\I see nothing's changed\Where can I take Yamato with my paycheck?\Oh! response:	MM Land?
context: His girlfriend's fine with it?\She seemed excited enough.\Oh, I guess.\That back... It was a pretty big turn-on.\I see nothing's changed\Where can I take Yamato with my paycheck?\Oh!\MM Land? response:	It's a great place!
context: She seemed excited enough.\Oh, I guess.\That back... It was a pretty big turn-on.\I see nothing's changed\Where can I take Yamato with my paycheck?\Oh!\MM Land?\It's a great place! response:	I love it!
context: Oh, I guess.\That back... It was a pretty big turn-on.\I see nothing's changed\Where can I take Yamato with my paycheck?\Oh!\MM Land?\It's a great place!\I love it! response:	It's kind of expensive, though.
context: That back... It was a pretty big turn-on.\I see nothing's changed\Where can I take Yamato with my paycheck?\Oh!\MM Land?\It's a great place!\I love it!\It's kind of expensive, though. response:	I see.
context: I see nothing's changed\Where can I take Yamato with my paycheck?\Oh!\MM Land?\It's a great place!\I love it!\It's kind of expensive, though.\I see. response:	Want to go sometime?
context: Where can I take Yamato with my paycheck?\Oh!\MM Land?\It's a great place!\I love it!\It's kind of expensive, though.\I see.\Want to go sometime? response:	Huh?
context: Oh!\MM Land?\It's a great place!\I love it!\It's kind of expensive, though.\I see.\Want to go sometime?\Huh? response:	Oh!
context: MM Land?\It's a great place!\I love it!\It's kind of expensive, though.\I see.\Want to go sometime?\Huh?\Oh! response:	Oh...
context: It's a great place!\I love it!\It's kind of expensive, though.\I see.\Want to go sometime?\Huh?\Oh!\Oh... response:	I think I'll pass.
context: I love it!\It's kind of expensive, though.\I see.\Want to go sometime?\Huh?\Oh!\Oh...\I think I'll pass. response:	Oh, okay.
context: It's kind of expensive, though.\I see.\Want to go sometime?\Huh?\Oh!\Oh...\I think I'll pass.\Oh, okay. response:	Huh?
context: I see.\Want to go sometime?\Huh?\Oh!\Oh...\I think I'll pass.\Oh, okay.\Huh? response:	Sunakawa
context: Want to go sometime?\Huh?\Oh!\Oh...\I think I'll pass.\Oh, okay.\Huh?\Sunakawa response:	Oh!
context: Huh?\Oh!\Oh...\I think I'll pass.\Oh, okay.\Huh?\Sunakawa\Oh! response:	Oh...
context: Oh!\Oh...\I think I'll pass.\Oh, okay.\Huh?\Sunakawa\Oh!\Oh... response:	What does that mean, Suna?!
context: Oh...\I think I'll pass.\Oh, okay.\Huh?\Sunakawa\Oh!\Oh...\What does that mean, Suna?! response:	Oops, that's right.
context: I think I'll pass.\Oh, okay.\Huh?\Sunakawa\Oh!\Oh...\What does that mean, Suna?!\Oops, that's right. response:	His sister's visiting.
context: Oh, okay.\Huh?\Sunakawa\Oh!\Oh...\What does that mean, Suna?!\Oops, that's right.\His sister's visiting. response:	Sorry!
context: Huh?\Sunakawa\Oh!\Oh...\What does that mean, Suna?!\Oops, that's right.\His sister's visiting.\Sorry! response:	One time in junior high, I came over, and she was in just her jammies.
context: Sunakawa\Oh!\Oh...\What does that mean, Suna?!\Oops, that's right.\His sister's visiting.\Sorry!\One time in junior high, I came over, and she was in just her jammies. response:	Oh, morning, Takeo.
context: Oh!\Oh...\What does that mean, Suna?!\Oops, that's right.\His sister's visiting.\Sorry!\One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo. response:	That was bad of me.
context: Oh...\What does that mean, Suna?!\Oops, that's right.\His sister's visiting.\Sorry!\One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo.\That was bad of me. response:	Makoto's still asleep.
context: What does that mean, Suna?!\Oops, that's right.\His sister's visiting.\Sorry!\One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo.\That was bad of me.\Makoto's still asleep. response:	She didn't seem to mind,
context: Oops, that's right.\His sister's visiting.\Sorry!\One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo.\That was bad of me.\Makoto's still asleep.\She didn't seem to mind, response:	Have some milk while you wait.
context: His sister's visiting.\Sorry!\One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo.\That was bad of me.\Makoto's still asleep.\She didn't seem to mind,\Have some milk while you wait. response:	but when she's here, I shouldn't storm over whenever I want.
context: Sorry!\One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo.\That was bad of me.\Makoto's still asleep.\She didn't seem to mind,\Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want. response:	Takeo, I'm sorry for earlier.
context: One time in junior high, I came over, and she was in just her jammies.\Oh, morning, Takeo.\That was bad of me.\Makoto's still asleep.\She didn't seem to mind,\Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier. response:	Huh?
context: Oh, morning, Takeo.\That was bad of me.\Makoto's still asleep.\She didn't seem to mind,\Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier.\Huh? response:	At your workplace.
context: That was bad of me.\Makoto's still asleep.\She didn't seem to mind,\Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier.\Huh?\At your workplace. response:	Oh, you mean your friend.
context: Makoto's still asleep.\She didn't seem to mind,\Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier.\Huh?\At your workplace.\Oh, you mean your friend. response:	Well, it's more like we're in the same seminar...
context: She didn't seem to mind,\Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier.\Huh?\At your workplace.\Oh, you mean your friend.\Well, it's more like we're in the same seminar... response:	Then you're friends.
context: Have some milk while you wait.\but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier.\Huh?\At your workplace.\Oh, you mean your friend.\Well, it's more like we're in the same seminar...\Then you're friends. response:	I'm sorry he bothered you.
context: but when she's here, I shouldn't storm over whenever I want.\Takeo, I'm sorry for earlier.\Huh?\At your workplace.\Oh, you mean your friend.\Well, it's more like we're in the same seminar...\Then you're friends.\I'm sorry he bothered you. response:	No, I acted poorly toward him, too,
context: Takeo, I'm sorry for earlier.\Huh?\At your workplace.\Oh, you mean your friend.\Well, it's more like we're in the same seminar...\Then you're friends.\I'm sorry he bothered you.\No, I acted poorly toward him, too, response:	because I thought he was hassling Suna. Sorry.
context: Huh?\At your workplace.\Oh, you mean your friend.\Well, it's more like we're in the same seminar...\Then you're friends.\I'm sorry he bothered you.\No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry. response:	So, what's the problem, Takeo?
context: At your workplace.\Oh, you mean your friend.\Well, it's more like we're in the same seminar...\Then you're friends.\I'm sorry he bothered you.\No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo? response:	Huh?
context: Oh, you mean your friend.\Well, it's more like we're in the same seminar...\Then you're friends.\I'm sorry he bothered you.\No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo?\Huh? response:	You wanted to talk to Makoto about something, right?
context: Well, it's more like we're in the same seminar...\Then you're friends.\I'm sorry he bothered you.\No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo?\Huh?\You wanted to talk to Makoto about something, right? response:	Right...
context: Then you're friends.\I'm sorry he bothered you.\No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo?\Huh?\You wanted to talk to Makoto about something, right?\Right... response:	Well, I asked Yamato to go to MM Land,
context: I'm sorry he bothered you.\No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo?\Huh?\You wanted to talk to Makoto about something, right?\Right...\Well, I asked Yamato to go to MM Land, response:	but she just sounded awfully half-hearted...
context: No, I acted poorly toward him, too,\because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo?\Huh?\You wanted to talk to Makoto about something, right?\Right...\Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted... response:	Half-hearted?
context: because I thought he was hassling Suna. Sorry.\So, what's the problem, Takeo?\Huh?\You wanted to talk to Makoto about something, right?\Right...\Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted...\Half-hearted? response:	Like, she wanted to go,
context: So, what's the problem, Takeo?\Huh?\You wanted to talk to Makoto about something, right?\Right...\Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted...\Half-hearted?\Like, she wanted to go, response:	but at the same time, she didn't want to.
context: Huh?\You wanted to talk to Makoto about something, right?\Right...\Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted...\Half-hearted?\Like, she wanted to go,\but at the same time, she didn't want to. response:	Again? You said something similar last time, too
context: You wanted to talk to Makoto about something, right?\Right...\Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted...\Half-hearted?\Like, she wanted to go,\but at the same time, she didn't want to.\Again? You said something similar last time, too response:	I think something's going on.
context: Right...\Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted...\Half-hearted?\Like, she wanted to go,\but at the same time, she didn't want to.\Again? You said something similar last time, too\I think something's going on. response:	I'll ask her.
context: Well, I asked Yamato to go to MM Land,\but she just sounded awfully half-hearted...\Half-hearted?\Like, she wanted to go,\but at the same time, she didn't want to.\Again? You said something similar last time, too\I think something's going on.\I'll ask her. response:	Let's have tea tomorrow with her.
context: but she just sounded awfully half-hearted...\Half-hearted?\Like, she wanted to go,\but at the same time, she didn't want to.\Again? You said something similar last time, too\I think something's going on.\I'll ask her.\Let's have tea tomorrow with her. response:	I'll casually check in with her.
context: Half-hearted?\Like, she wanted to go,\but at the same time, she didn't want to.\Again? You said something similar last time, too\I think something's going on.\I'll ask her.\Let's have tea tomorrow with her.\I'll casually check in with her. response:	You'd do that?!
context: Like, she wanted to go,\but at the same time, she didn't want to.\Again? You said something similar last time, too\I think something's going on.\I'll ask her.\Let's have tea tomorrow with her.\I'll casually check in with her.\You'd do that?! response:	Leave it to me.
context: but at the same time, she didn't want to.\Again? You said something similar last time, too\I think something's going on.\I'll ask her.\Let's have tea tomorrow with her.\I'll casually check in with her.\You'd do that?!\Leave it to me. response:	Gouda!!
context: Again? You said something similar last time, too\I think something's going on.\I'll ask her.\Let's have tea tomorrow with her.\I'll casually check in with her.\You'd do that?!\Leave it to me.\Gouda!! response:	Thanks!
context: I think something's going on.\I'll ask her.\Let's have tea tomorrow with her.\I'll casually check in with her.\You'd do that?!\Leave it to me.\Gouda!!\Thanks! response:	See you tomorrow!
context: I'll ask her.\Let's have tea tomorrow with her.\I'll casually check in with her.\You'd do that?!\Leave it to me.\Gouda!!\Thanks!\See you tomorrow! response:	He needs a lot of help, doesn't he?
context: Let's have tea tomorrow with her.\I'll casually check in with her.\You'd do that?!\Leave it to me.\Gouda!!\Thanks!\See you tomorrow!\He needs a lot of help, doesn't he? response:	Hey! Don't you go worrying about me!
context: I'll casually check in with her.\You'd do that?!\Leave it to me.\Gouda!!\Thanks!\See you tomorrow!\He needs a lot of help, doesn't he?\Hey! Don't you go worrying about me! response:	It's not like that anymore.
