context: The story so far. response:	There was an incident where all the girls in the class conspired to ostracize Yukino,
context: I got a big bruise.\Oh! Male envy can be a scary thing.\Well, I like being envied.\You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you?\I haven't had any appetite lately,\and I dream about Arima every night. response:	Well, you were always all over him.
context: Oh! Male envy can be a scary thing.\Well, I like being envied.\You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you?\I haven't had any appetite lately,\and I dream about Arima every night.\Well, you were always all over him. response:	And you slept over at his house a lot.
context: Well, I like being envied.\You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you?\I haven't had any appetite lately,\and I dream about Arima every night.\Well, you were always all over him.\And you slept over at his house a lot. response:	Don't your parents complain that you're out so much?
context: You know how people naturally feel envy towards the most attractive people.\You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you?\I haven't had any appetite lately,\and I dream about Arima every night.\Well, you were always all over him.\And you slept over at his house a lot.\Don't your parents complain that you're out so much? response:	No. I live by myself.
context: You say that, but it must be boring not being able to see your dearest Arima for a while.\You came over because you got lonely, didn't you?\I haven't had any appetite lately,\and I dream about Arima every night.\Well, you were always all over him.\And you slept over at his house a lot.\Don't your parents complain that you're out so much?\No. I live by myself. response:	Really?!
context: You came over because you got lonely, didn't you?\I haven't had any appetite lately,\and I dream about Arima every night.\Well, you were always all over him.\And you slept over at his house a lot.\Don't your parents complain that you're out so much?\No. I live by myself.\Really?! response:	Oh, didn't I tell you?
context: I haven't had any appetite lately,\and I dream about Arima every night.\Well, you were always all over him.\And you slept over at his house a lot.\Don't your parents complain that you're out so much?\No. I live by myself.\Really?!\Oh, didn't I tell you? response:	No, you didn't!
context: and I dream about Arima every night.\Well, you were always all over him.\And you slept over at his house a lot.\Don't your parents complain that you're out so much?\No. I live by myself.\Really?!\Oh, didn't I tell you?\No, you didn't! response:	I'm amazed your parents let you do that.
context: Well, you were always all over him.\And you slept over at his house a lot.\Don't your parents complain that you're out so much?\No. I live by myself.\Really?!\Oh, didn't I tell you?\No, you didn't!\I'm amazed your parents let you do that. response:	Well, I don't get along with my dad at all.
context: And you slept over at his house a lot.\Don't your parents complain that you're out so much?\No. I live by myself.\Really?!\Oh, didn't I tell you?\No, you didn't!\I'm amazed your parents let you do that.\Well, I don't get along with my dad at all. response:	When he got transferred,
context: Don't your parents complain that you're out so much?\No. I live by myself.\Really?!\Oh, didn't I tell you?\No, you didn't!\I'm amazed your parents let you do that.\Well, I don't get along with my dad at all.\When he got transferred, response:	I stayed behind by myself.
context: No. I live by myself.\Really?!\Oh, didn't I tell you?\No, you didn't!\I'm amazed your parents let you do that.\Well, I don't get along with my dad at all.\When he got transferred,\I stayed behind by myself. response:	I wanted to get away from them.
context: Really?!\Oh, didn't I tell you?\No, you didn't!\I'm amazed your parents let you do that.\Well, I don't get along with my dad at all.\When he got transferred,\I stayed behind by myself.\I wanted to get away from them. response:	I bet you're thinking you asked about an awkward topic just now, right?
context: Oh, didn't I tell you?\No, you didn't!\I'm amazed your parents let you do that.\Well, I don't get along with my dad at all.\When he got transferred,\I stayed behind by myself.\I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right? response:	Don't worry about it.
context: No, you didn't!\I'm amazed your parents let you do that.\Well, I don't get along with my dad at all.\When he got transferred,\I stayed behind by myself.\I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it. response:	I wouldn't feel hurt by something like that.
context: I'm amazed your parents let you do that.\Well, I don't get along with my dad at all.\When he got transferred,\I stayed behind by myself.\I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it.\I wouldn't feel hurt by something like that. response:	Even real parents and kids don't get along sometimes.
context: Well, I don't get along with my dad at all.\When he got transferred,\I stayed behind by myself.\I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it.\I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes. response:	I've always been irresponsible and loved chicks,
context: When he got transferred,\I stayed behind by myself.\I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it.\I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks, response:	and that really annoyed my conservative dad.
context: I stayed behind by myself.\I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it.\I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad. response:	And I hated my dad because I thought it was stupid
context: I wanted to get away from them.\I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it.\I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid response:	how he was just uptight and didn't have a shred of humanity.
context: I bet you're thinking you asked about an awkward topic just now, right?\Don't worry about it.\I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity. response:	Even if you're related, you hate what you hate.
context: Don't worry about it.\I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate. response:	The fact that you're related just makes it worse.
context: I wouldn't feel hurt by something like that.\Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate.\The fact that you're related just makes it worse. response:	Every time we approach one another, we fight.
context: Even real parents and kids don't get along sometimes.\I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate.\The fact that you're related just makes it worse.\Every time we approach one another, we fight. response:	My mom did whatever my dad said, so she wasn't any help.
context: I've always been irresponsible and loved chicks,\and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate.\The fact that you're related just makes it worse.\Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help. response:	Being at home sucked.
context: and that really annoyed my conservative dad.\And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate.\The fact that you're related just makes it worse.\Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help.\Being at home sucked. response:	So I decided to study real hard and get into a good high school so I could stick around here.
context: And I hated my dad because I thought it was stupid\how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate.\The fact that you're related just makes it worse.\Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help.\Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here. response:	What a relief.
context: how he was just uptight and didn't have a shred of humanity.\Even if you're related, you hate what you hate.\The fact that you're related just makes it worse.\Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help.\Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here.\What a relief. response:	Only kids from lucky homes can say
context: Even if you're related, you hate what you hate.\The fact that you're related just makes it worse.\Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help.\Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here.\What a relief.\Only kids from lucky homes can say response:	they're happy being with their families.
context: The fact that you're related just makes it worse.\Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help.\Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here.\What a relief.\Only kids from lucky homes can say\they're happy being with their families. response:	There are those for whom being with their family is hell,
context: Every time we approach one another, we fight.\My mom did whatever my dad said, so she wasn't any help.\Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here.\What a relief.\Only kids from lucky homes can say\they're happy being with their families.\There are those for whom being with their family is hell, response:	and are better off getting away.
context: My mom did whatever my dad said, so she wasn't any help.\Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here.\What a relief.\Only kids from lucky homes can say\they're happy being with their families.\There are those for whom being with their family is hell,\and are better off getting away. response:	Well, I'm going to school at my parents' expense,
context: Being at home sucked.\So I decided to study real hard and get into a good high school so I could stick around here.\What a relief.\Only kids from lucky homes can say\they're happy being with their families.\There are those for whom being with their family is hell,\and are better off getting away.\Well, I'm going to school at my parents' expense, response:	so I didn't really get away or anything.
context: So I decided to study real hard and get into a good high school so I could stick around here.\What a relief.\Only kids from lucky homes can say\they're happy being with their families.\There are those for whom being with their family is hell,\and are better off getting away.\Well, I'm going to school at my parents' expense,\so I didn't really get away or anything. response:	You have a nice family.
context: What a relief.\Only kids from lucky homes can say\they're happy being with their families.\There are those for whom being with their family is hell,\and are better off getting away.\Well, I'm going to school at my parents' expense,\so I didn't really get away or anything.\You have a nice family. response:	I like kids who come from good homes.
context: Only kids from lucky homes can say\they're happy being with their families.\There are those for whom being with their family is hell,\and are better off getting away.\Well, I'm going to school at my parents' expense,\so I didn't really get away or anything.\You have a nice family.\I like kids who come from good homes. response:	They're easygoing and straightforward.
context: they're happy being with their families.\There are those for whom being with their family is hell,\and are better off getting away.\Well, I'm going to school at my parents' expense,\so I didn't really get away or anything.\You have a nice family.\I like kids who come from good homes.\They're easygoing and straightforward. response:	That may be a part of why Arima likes you.
context: There are those for whom being with their family is hell,\and are better off getting away.\Well, I'm going to school at my parents' expense,\so I didn't really get away or anything.\You have a nice family.\I like kids who come from good homes.\They're easygoing and straightforward.\That may be a part of why Arima likes you. response:	So I like both him and you.
context: and are better off getting away.\Well, I'm going to school at my parents' expense,\so I didn't really get away or anything.\You have a nice family.\I like kids who come from good homes.\They're easygoing and straightforward.\That may be a part of why Arima likes you.\So I like both him and you. response:	Every so often I get to thinking.
context: Well, I'm going to school at my parents' expense,\so I didn't really get away or anything.\You have a nice family.\I like kids who come from good homes.\They're easygoing and straightforward.\That may be a part of why Arima likes you.\So I like both him and you.\Every so often I get to thinking. response:	Arima's hard working side kind of reminds me of my dad.
context: so I didn't really get away or anything.\You have a nice family.\I like kids who come from good homes.\They're easygoing and straightforward.\That may be a part of why Arima likes you.\So I like both him and you.\Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad. response:	I can't like my dad, but I can like Arima.
context: You have a nice family.\I like kids who come from good homes.\They're easygoing and straightforward.\That may be a part of why Arima likes you.\So I like both him and you.\Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima. response:	I've been able to feel better by liking him.
context: I like kids who come from good homes.\They're easygoing and straightforward.\That may be a part of why Arima likes you.\So I like both him and you.\Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima.\I've been able to feel better by liking him. response:	Now and then... that's what I think.
context: They're easygoing and straightforward.\That may be a part of why Arima likes you.\So I like both him and you.\Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima.\I've been able to feel better by liking him.\Now and then... that's what I think. response:	The boy who was abandoned by his parents,
context: That may be a part of why Arima likes you.\So I like both him and you.\Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima.\I've been able to feel better by liking him.\Now and then... that's what I think.\The boy who was abandoned by his parents, response:	and the boy who abandoned his parents.
context: So I like both him and you.\Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima.\I've been able to feel better by liking him.\Now and then... that's what I think.\The boy who was abandoned by his parents,\and the boy who abandoned his parents. response:	What had they talked about when they were alone?
context: Every so often I get to thinking.\Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima.\I've been able to feel better by liking him.\Now and then... that's what I think.\The boy who was abandoned by his parents,\and the boy who abandoned his parents.\What had they talked about when they were alone? response:	I took it for granted that families get along until now.
context: Arima's hard working side kind of reminds me of my dad.\I can't like my dad, but I can like Arima.\I've been able to feel better by liking him.\Now and then... that's what I think.\The boy who was abandoned by his parents,\and the boy who abandoned his parents.\What had they talked about when they were alone?\I took it for granted that families get along until now. response:	Alright! It's been a long time since we've been over to grandpa's place.
context: I can't like my dad, but I can like Arima.\I've been able to feel better by liking him.\Now and then... that's what I think.\The boy who was abandoned by his parents,\and the boy who abandoned his parents.\What had they talked about when they were alone?\I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place. response:	I bet he's the same as always.
context: I've been able to feel better by liking him.\Now and then... that's what I think.\The boy who was abandoned by his parents,\and the boy who abandoned his parents.\What had they talked about when they were alone?\I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always. response:	That old fogey wouldn't change so easily.
context: Now and then... that's what I think.\The boy who was abandoned by his parents,\and the boy who abandoned his parents.\What had they talked about when they were alone?\I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always.\That old fogey wouldn't change so easily. response:	That goes for you too, dear.
context: The boy who was abandoned by his parents,\and the boy who abandoned his parents.\What had they talked about when they were alone?\I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always.\That old fogey wouldn't change so easily.\That goes for you too, dear. response:	Hello, Miyazawa residence.
context: and the boy who abandoned his parents.\What had they talked about when they were alone?\I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always.\That old fogey wouldn't change so easily.\That goes for you too, dear.\Hello, Miyazawa residence. response:	Oh, Arima?
context: What had they talked about when they were alone?\I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always.\That old fogey wouldn't change so easily.\That goes for you too, dear.\Hello, Miyazawa residence.\Oh, Arima? response:	Yeah, I'm fine.
context: I took it for granted that families get along until now.\Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always.\That old fogey wouldn't change so easily.\That goes for you too, dear.\Hello, Miyazawa residence.\Oh, Arima?\Yeah, I'm fine. response:	Well, I guess we talked just last night.
context: Alright! It's been a long time since we've been over to grandpa's place.\I bet he's the same as always.\That old fogey wouldn't change so easily.\That goes for you too, dear.\Hello, Miyazawa residence.\Oh, Arima?\Yeah, I'm fine.\Well, I guess we talked just last night. response:	Oh yeah, Asapin came over today.
context: I bet he's the same as always.\That old fogey wouldn't change so easily.\That goes for you too, dear.\Hello, Miyazawa residence.\Oh, Arima?\Yeah, I'm fine.\Well, I guess we talked just last night.\Oh yeah, Asapin came over today. response:	Why? Well, to go to the pool...
context: That old fogey wouldn't change so easily.\That goes for you too, dear.\Hello, Miyazawa residence.\Oh, Arima?\Yeah, I'm fine.\Well, I guess we talked just last night.\Oh yeah, Asapin came over today.\Why? Well, to go to the pool... response:	No, we didn't go.
context: That goes for you too, dear.\Hello, Miyazawa residence.\Oh, Arima?\Yeah, I'm fine.\Well, I guess we talked just last night.\Oh yeah, Asapin came over today.\Why? Well, to go to the pool...\No, we didn't go. response:	Dad flipped out and wouldn't let us.
context: Hello, Miyazawa residence.\Oh, Arima?\Yeah, I'm fine.\Well, I guess we talked just last night.\Oh yeah, Asapin came over today.\Why? Well, to go to the pool...\No, we didn't go.\Dad flipped out and wouldn't let us. response:	What the heck are men thinking?
context: Oh, Arima?\Yeah, I'm fine.\Well, I guess we talked just last night.\Oh yeah, Asapin came over today.\Why? Well, to go to the pool...\No, we didn't go.\Dad flipped out and wouldn't let us.\What the heck are men thinking? response:	Come on, I'd rather shave my head than get seduced by Asapin.
context: Yeah, I'm fine.\Well, I guess we talked just last night.\Oh yeah, Asapin came over today.\Why? Well, to go to the pool...\No, we didn't go.\Dad flipped out and wouldn't let us.\What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin. response:	How about you? Anything new?
context: Well, I guess we talked just last night.\Oh yeah, Asapin came over today.\Why? Well, to go to the pool...\No, we didn't go.\Dad flipped out and wouldn't let us.\What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new? response:	No, nothing's changed.
context: Oh yeah, Asapin came over today.\Why? Well, to go to the pool...\No, we didn't go.\Dad flipped out and wouldn't let us.\What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new?\No, nothing's changed. response:	You're not overworking yourself, are you? You're not tired?
context: Why? Well, to go to the pool...\No, we didn't go.\Dad flipped out and wouldn't let us.\What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new?\No, nothing's changed.\You're not overworking yourself, are you? You're not tired? response:	What's this, all of a sudden?
context: No, we didn't go.\Dad flipped out and wouldn't let us.\What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new?\No, nothing's changed.\You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden? response:	Well of course, with this much practice I'm a bit tired.
context: Dad flipped out and wouldn't let us.\What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new?\No, nothing's changed.\You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired. response:	Listening is all I can do, but...
context: What the heck are men thinking?\Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new?\No, nothing's changed.\You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but... response:	What's the matter?
context: Come on, I'd rather shave my head than get seduced by Asapin.\How about you? Anything new?\No, nothing's changed.\You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but...\What's the matter? response:	And I'm worried I might not notice anything if you don't tell me...
context: How about you? Anything new?\No, nothing's changed.\You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but...\What's the matter?\And I'm worried I might not notice anything if you don't tell me... response:	Thanks.
context: No, nothing's changed.\You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but...\What's the matter?\And I'm worried I might not notice anything if you don't tell me...\Thanks. response:	I'm okay. I'm not pushing myself too hard.
context: You're not overworking yourself, are you? You're not tired?\What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but...\What's the matter?\And I'm worried I might not notice anything if you don't tell me...\Thanks.\I'm okay. I'm not pushing myself too hard. response:	Well, but...
context: What's this, all of a sudden?\Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but...\What's the matter?\And I'm worried I might not notice anything if you don't tell me...\Thanks.\I'm okay. I'm not pushing myself too hard.\Well, but... response:	I really wish I could see you.
context: Well of course, with this much practice I'm a bit tired.\Listening is all I can do, but...\What's the matter?\And I'm worried I might not notice anything if you don't tell me...\Thanks.\I'm okay. I'm not pushing myself too hard.\Well, but...\I really wish I could see you. response:	Yeah, me too.
context: Listening is all I can do, but...\What's the matter?\And I'm worried I might not notice anything if you don't tell me...\Thanks.\I'm okay. I'm not pushing myself too hard.\Well, but...\I really wish I could see you.\Yeah, me too. response:	OW!
context: What's the matter?\And I'm worried I might not notice anything if you don't tell me...\Thanks.\I'm okay. I'm not pushing myself too hard.\Well, but...\I really wish I could see you.\Yeah, me too.\OW! response:	Wh..what's wrong?! Did you hit something?
context: And I'm worried I might not notice anything if you don't tell me...\Thanks.\I'm okay. I'm not pushing myself too hard.\Well, but...\I really wish I could see you.\Yeah, me too.\OW!\Wh..what's wrong?! Did you hit something? response:	I'm okay.
context: Thanks.\I'm okay. I'm not pushing myself too hard.\Well, but...\I really wish I could see you.\Yeah, me too.\OW!\Wh..what's wrong?! Did you hit something?\I'm okay. response:	I think I've gotten in a growth spurt lately,
context: I'm okay. I'm not pushing myself too hard.\Well, but...\I really wish I could see you.\Yeah, me too.\OW!\Wh..what's wrong?! Did you hit something?\I'm okay.\I think I've gotten in a growth spurt lately, response:	so my body keeps creaking.
context: Well, but...\I really wish I could see you.\Yeah, me too.\OW!\Wh..what's wrong?! Did you hit something?\I'm okay.\I think I've gotten in a growth spurt lately,\so my body keeps creaking. response:	How tall are you now?
context: I really wish I could see you.\Yeah, me too.\OW!\Wh..what's wrong?! Did you hit something?\I'm okay.\I think I've gotten in a growth spurt lately,\so my body keeps creaking.\How tall are you now? response:	Around 172 cm (5'6)
context: Yeah, me too.\OW!\Wh..what's wrong?! Did you hit something?\I'm okay.\I think I've gotten in a growth spurt lately,\so my body keeps creaking.\How tall are you now?\Around 172 cm (5'6) response:	172?! What do you mean, nothing's changed?!
context: OW!\Wh..what's wrong?! Did you hit something?\I'm okay.\I think I've gotten in a growth spurt lately,\so my body keeps creaking.\How tall are you now?\Around 172 cm (5'6)\172?! What do you mean, nothing's changed?! response:	You should mention stuff like that! I can't believe you!
context: Wh..what's wrong?! Did you hit something?\I'm okay.\I think I've gotten in a growth spurt lately,\so my body keeps creaking.\How tall are you now?\Around 172 cm (5'6)\172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you! response:	What?! S..sorry!
context: I'm okay.\I think I've gotten in a growth spurt lately,\so my body keeps creaking.\How tall are you now?\Around 172 cm (5'6)\172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you!\What?! S..sorry! response:	But I've been getting taller since before vacation.
context: I think I've gotten in a growth spurt lately,\so my body keeps creaking.\How tall are you now?\Around 172 cm (5'6)\172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you!\What?! S..sorry!\But I've been getting taller since before vacation. response:	But that's so cool!
context: so my body keeps creaking.\How tall are you now?\Around 172 cm (5'6)\172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you!\What?! S..sorry!\But I've been getting taller since before vacation.\But that's so cool! response:	I can't wait to see you.
context: How tall are you now?\Around 172 cm (5'6)\172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you!\What?! S..sorry!\But I've been getting taller since before vacation.\But that's so cool!\I can't wait to see you. response:	Cool...?
context: Around 172 cm (5'6)\172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you!\What?! S..sorry!\But I've been getting taller since before vacation.\But that's so cool!\I can't wait to see you.\Cool...? response:	I felt a bit insecure.
context: 172?! What do you mean, nothing's changed?!\You should mention stuff like that! I can't believe you!\What?! S..sorry!\But I've been getting taller since before vacation.\But that's so cool!\I can't wait to see you.\Cool...?\I felt a bit insecure. response:	My family's still all together, so I can only imagine these things.
context: You should mention stuff like that! I can't believe you!\What?! S..sorry!\But I've been getting taller since before vacation.\But that's so cool!\I can't wait to see you.\Cool...?\I felt a bit insecure.\My family's still all together, so I can only imagine these things. response:	But someone who was born without the things that all of us take for granted,
context: What?! S..sorry!\But I've been getting taller since before vacation.\But that's so cool!\I can't wait to see you.\Cool...?\I felt a bit insecure.\My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted, response:	has to fulfill them by herself somehow.
context: But I've been getting taller since before vacation.\But that's so cool!\I can't wait to see you.\Cool...?\I felt a bit insecure.\My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow. response:	That's the fight she has to fight.
context: But that's so cool!\I can't wait to see you.\Cool...?\I felt a bit insecure.\My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow.\That's the fight she has to fight. response:	That's really...tough. *You don't know anything about Arima!*
context: I can't wait to see you.\Cool...?\I felt a bit insecure.\My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow.\That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!* response:	While no one could enter Arima's field of vision, Tsubasa alone was special.
context: Cool...?\I felt a bit insecure.\My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow.\That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special. response:	Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*
context: I felt a bit insecure.\My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow.\That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,* response:	I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*
context: My family's still all together, so I can only imagine these things.\But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow.\That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and* response:	I've been able to feel better by liking him. *chaotic inside than I thought..*
context: But someone who was born without the things that all of us take for granted,\has to fulfill them by herself somehow.\That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*\I've been able to feel better by liking him. *chaotic inside than I thought..* response:	Now and then... that's what I think. *Maybe I still know only a small part of him.*
context: has to fulfill them by herself somehow.\That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*\I've been able to feel better by liking him. *chaotic inside than I thought..*\Now and then... that's what I think. *Maybe I still know only a small part of him.* response:	Since Arima's been gone I've come to see so many sides of him.
context: That's the fight she has to fight.\That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*\I've been able to feel better by liking him. *chaotic inside than I thought..*\Now and then... that's what I think. *Maybe I still know only a small part of him.*\Since Arima's been gone I've come to see so many sides of him. response:	How much do I really know about him,
context: That's really...tough. *You don't know anything about Arima!*\While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*\I've been able to feel better by liking him. *chaotic inside than I thought..*\Now and then... that's what I think. *Maybe I still know only a small part of him.*\Since Arima's been gone I've come to see so many sides of him.\How much do I really know about him, response:	and how much do I not know?
context: While no one could enter Arima's field of vision, Tsubasa alone was special.\Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*\I've been able to feel better by liking him. *chaotic inside than I thought..*\Now and then... that's what I think. *Maybe I still know only a small part of him.*\Since Arima's been gone I've come to see so many sides of him.\How much do I really know about him,\and how much do I not know? response:	Do I understand him fully?
context: Arima's hard working side kind of reminds me of my dad. *Because he knew somewhere in his heart,*\I can't like my dad, but I can like Arima. *that they were the same kind. Maybe Arima's more deep and*\I've been able to feel better by liking him. *chaotic inside than I thought..*\Now and then... that's what I think. *Maybe I still know only a small part of him.*\Since Arima's been gone I've come to see so many sides of him.\How much do I really know about him,\and how much do I not know?\Do I understand him fully? response:	At times like this, I realize...
