context: Oh, Hitoka-chan. Are you done changing? response:	I'll walk with you, so hold on a sec.
context: Yup. Where is it?\I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks.\Keep that in mind for today's practice match, too.\Gotcha!\Right...\There's no way we could block Ushiwaka...\All right, get back to practice. response:	Right!
context: I need you to be so good at blocking, you could stop Ushiwaka.\Right around here. Thanks.\Keep that in mind for today's practice match, too.\Gotcha!\Right...\There's no way we could block Ushiwaka...\All right, get back to practice.\Right! response:	By the way, Sensei, how are their exams?
context: Right around here. Thanks.\Keep that in mind for today's practice match, too.\Gotcha!\Right...\There's no way we could block Ushiwaka...\All right, get back to practice.\Right!\By the way, Sensei, how are their exams? response:	Especially with the four idiots.
context: Keep that in mind for today's practice match, too.\Gotcha!\Right...\There's no way we could block Ushiwaka...\All right, get back to practice.\Right!\By the way, Sensei, how are their exams?\Especially with the four idiots. response:	Um...
context: Gotcha!\Right...\There's no way we could block Ushiwaka...\All right, get back to practice.\Right!\By the way, Sensei, how are their exams?\Especially with the four idiots.\Um... response:	Ouginishi will arrive in four and a half hours.
context: Right...\There's no way we could block Ushiwaka...\All right, get back to practice.\Right!\By the way, Sensei, how are their exams?\Especially with the four idiots.\Um...\Ouginishi will arrive in four and a half hours. response:	Right!
context: There's no way we could block Ushiwaka...\All right, get back to practice.\Right!\By the way, Sensei, how are their exams?\Especially with the four idiots.\Um...\Ouginishi will arrive in four and a half hours.\Right! response:	All right, Hitoka-chan.
context: All right, get back to practice.\Right!\By the way, Sensei, how are their exams?\Especially with the four idiots.\Um...\Ouginishi will arrive in four and a half hours.\Right!\All right, Hitoka-chan. response:	Would you line up some chairs around the court there?
context: Right!\By the way, Sensei, how are their exams?\Especially with the four idiots.\Um...\Ouginishi will arrive in four and a half hours.\Right!\All right, Hitoka-chan.\Would you line up some chairs around the court there? response:	Let's see... Eight of them.
context: By the way, Sensei, how are their exams?\Especially with the four idiots.\Um...\Ouginishi will arrive in four and a half hours.\Right!\All right, Hitoka-chan.\Would you line up some chairs around the court there?\Let's see... Eight of them. response:	Uh, right!
context: Especially with the four idiots.\Um...\Ouginishi will arrive in four and a half hours.\Right!\All right, Hitoka-chan.\Would you line up some chairs around the court there?\Let's see... Eight of them.\Uh, right! response:	If they're heavy, one at a time is fine.
context: Um...\Ouginishi will arrive in four and a half hours.\Right!\All right, Hitoka-chan.\Would you line up some chairs around the court there?\Let's see... Eight of them.\Uh, right!\If they're heavy, one at a time is fine. response:	Kiyoko-san is smiling.
context: Ouginishi will arrive in four and a half hours.\Right!\All right, Hitoka-chan.\Would you line up some chairs around the court there?\Let's see... Eight of them.\Uh, right!\If they're heavy, one at a time is fine.\Kiyoko-san is smiling. response:	I-I'm fine.
context: Right!\All right, Hitoka-chan.\Would you line up some chairs around the court there?\Let's see... Eight of them.\Uh, right!\If they're heavy, one at a time is fine.\Kiyoko-san is smiling.\I-I'm fine. response:	The world is at peace yet again today.
context: All right, Hitoka-chan.\Would you line up some chairs around the court there?\Let's see... Eight of them.\Uh, right!\If they're heavy, one at a time is fine.\Kiyoko-san is smiling.\I-I'm fine.\The world is at peace yet again today. response:	Want some help?
context: Would you line up some chairs around the court there?\Let's see... Eight of them.\Uh, right!\If they're heavy, one at a time is fine.\Kiyoko-san is smiling.\I-I'm fine.\The world is at peace yet again today.\Want some help? response:	No, it's fine. You do your own thing.
context: Let's see... Eight of them.\Uh, right!\If they're heavy, one at a time is fine.\Kiyoko-san is smiling.\I-I'm fine.\The world is at peace yet again today.\Want some help?\No, it's fine. You do your own thing. response:	Okay!
context: Uh, right!\If they're heavy, one at a time is fine.\Kiyoko-san is smiling.\I-I'm fine.\The world is at peace yet again today.\Want some help?\No, it's fine. You do your own thing.\Okay! response:	I'm not gonna lose today!
context: If they're heavy, one at a time is fine.\Kiyoko-san is smiling.\I-I'm fine.\The world is at peace yet again today.\Want some help?\No, it's fine. You do your own thing.\Okay!\I'm not gonna lose today! response:	Um... Today's match is a practice match, right?
context: Kiyoko-san is smiling.\I-I'm fine.\The world is at peace yet again today.\Want some help?\No, it's fine. You do your own thing.\Okay!\I'm not gonna lose today!\Um... Today's match is a practice match, right? response:	Yup.
context: I-I'm fine.\The world is at peace yet again today.\Want some help?\No, it's fine. You do your own thing.\Okay!\I'm not gonna lose today!\Um... Today's match is a practice match, right?\Yup. response:	Um... I was wondering why you can study so hard to play in away games
context: The world is at peace yet again today.\Want some help?\No, it's fine. You do your own thing.\Okay!\I'm not gonna lose today!\Um... Today's match is a practice match, right?\Yup.\Um... I was wondering why you can study so hard to play in away games response:	and get so fired up for a practice game.
context: Want some help?\No, it's fine. You do your own thing.\Okay!\I'm not gonna lose today!\Um... Today's match is a practice match, right?\Yup.\Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game. response:	Huh? Because I want to get stronger and win.
context: No, it's fine. You do your own thing.\Okay!\I'm not gonna lose today!\Um... Today's match is a practice match, right?\Yup.\Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game.\Huh? Because I want to get stronger and win. response:	I-I see...
context: Okay!\I'm not gonna lose today!\Um... Today's match is a practice match, right?\Yup.\Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game.\Huh? Because I want to get stronger and win.\I-I see... response:	I'm sure you have your reasons.
context: I'm not gonna lose today!\Um... Today's match is a practice match, right?\Yup.\Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game.\Huh? Because I want to get stronger and win.\I-I see...\I'm sure you have your reasons. response:	Huh? Reasons?
context: Um... Today's match is a practice match, right?\Yup.\Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game.\Huh? Because I want to get stronger and win.\I-I see...\I'm sure you have your reasons.\Huh? Reasons? response:	Reasons why I wanna win?
context: Yup.\Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game.\Huh? Because I want to get stronger and win.\I-I see...\I'm sure you have your reasons.\Huh? Reasons?\Reasons why I wanna win? response:	Oh. Yeah...
context: Um... I was wondering why you can study so hard to play in away games\and get so fired up for a practice game.\Huh? Because I want to get stronger and win.\I-I see...\I'm sure you have your reasons.\Huh? Reasons?\Reasons why I wanna win?\Oh. Yeah... response:	Do you need a reason not to want to lose?
context: and get so fired up for a practice game.\Huh? Because I want to get stronger and win.\I-I see...\I'm sure you have your reasons.\Huh? Reasons?\Reasons why I wanna win?\Oh. Yeah...\Do you need a reason not to want to lose? response:	Hey, Kageyama.
context: Huh? Because I want to get stronger and win.\I-I see...\I'm sure you have your reasons.\Huh? Reasons?\Reasons why I wanna win?\Oh. Yeah...\Do you need a reason not to want to lose?\Hey, Kageyama. response:	Is there a reason you don't want to lose?
context: I-I see...\I'm sure you have your reasons.\Huh? Reasons?\Reasons why I wanna win?\Oh. Yeah...\Do you need a reason not to want to lose?\Hey, Kageyama.\Is there a reason you don't want to lose? response:	Wha? How would I know?
context: I'm sure you have your reasons.\Huh? Reasons?\Reasons why I wanna win?\Oh. Yeah...\Do you need a reason not to want to lose?\Hey, Kageyama.\Is there a reason you don't want to lose?\Wha? How would I know? response:	Is there a reason you want to eat when you're hungry?
context: Huh? Reasons?\Reasons why I wanna win?\Oh. Yeah...\Do you need a reason not to want to lose?\Hey, Kageyama.\Is there a reason you don't want to lose?\Wha? How would I know?\Is there a reason you want to eat when you're hungry? response:	Right? Hmm...
context: Reasons why I wanna win?\Oh. Yeah...\Do you need a reason not to want to lose?\Hey, Kageyama.\Is there a reason you don't want to lose?\Wha? How would I know?\Is there a reason you want to eat when you're hungry?\Right? Hmm... response:	So this on the same level as hunger?
context: Oh. Yeah...\Do you need a reason not to want to lose?\Hey, Kageyama.\Is there a reason you don't want to lose?\Wha? How would I know?\Is there a reason you want to eat when you're hungry?\Right? Hmm...\So this on the same level as hunger? response:	Sorry... that was an inane question.
context: Do you need a reason not to want to lose?\Hey, Kageyama.\Is there a reason you don't want to lose?\Wha? How would I know?\Is there a reason you want to eat when you're hungry?\Right? Hmm...\So this on the same level as hunger?\Sorry... that was an inane question. response:	Inane question?
context: Hey, Kageyama.\Is there a reason you don't want to lose?\Wha? How would I know?\Is there a reason you want to eat when you're hungry?\Right? Hmm...\So this on the same level as hunger?\Sorry... that was an inane question.\Inane question? response:	A foolish question, or a comment said to abase oneself after asking such a question.
context: Is there a reason you don't want to lose?\Wha? How would I know?\Is there a reason you want to eat when you're hungry?\Right? Hmm...\So this on the same level as hunger?\Sorry... that was an inane question.\Inane question?\A foolish question, or a comment said to abase oneself after asking such a question. response:	We just went over it the other day!
context: Wha? How would I know?\Is there a reason you want to eat when you're hungry?\Right? Hmm...\So this on the same level as hunger?\Sorry... that was an inane question.\Inane question?\A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day! response:	Thank you for having us!
context: Is there a reason you want to eat when you're hungry?\Right? Hmm...\So this on the same level as hunger?\Sorry... that was an inane question.\Inane question?\A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day!\Thank you for having us! response:	Gather round!
context: Right? Hmm...\So this on the same level as hunger?\Sorry... that was an inane question.\Inane question?\A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day!\Thank you for having us!\Gather round! response:	Right!
context: So this on the same level as hunger?\Sorry... that was an inane question.\Inane question?\A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day!\Thank you for having us!\Gather round!\Right! response:	All right. We're going to line up, too.
context: Sorry... that was an inane question.\Inane question?\A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day!\Thank you for having us!\Gather round!\Right!\All right. We're going to line up, too. response:	Okay!
context: Inane question?\A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day!\Thank you for having us!\Gather round!\Right!\All right. We're going to line up, too.\Okay! response:	Whoa...
context: A foolish question, or a comment said to abase oneself after asking such a question.\We just went over it the other day!\Thank you for having us!\Gather round!\Right!\All right. We're going to line up, too.\Okay!\Whoa... response:	Everyone's big over there, too.
context: We just went over it the other day!\Thank you for having us!\Gather round!\Right!\All right. We're going to line up, too.\Okay!\Whoa...\Everyone's big over there, too. response:	Do you need a reason not to want to lose?
context: Thank you for having us!\Gather round!\Right!\All right. We're going to line up, too.\Okay!\Whoa...\Everyone's big over there, too.\Do you need a reason not to want to lose? response:	I don't think you need an unwavering will
context: Gather round!\Right!\All right. We're going to line up, too.\Okay!\Whoa...\Everyone's big over there, too.\Do you need a reason not to want to lose?\I don't think you need an unwavering will response:	or lofty motive just to get started.
context: Right!\All right. We're going to line up, too.\Okay!\Whoa...\Everyone's big over there, too.\Do you need a reason not to want to lose?\I don't think you need an unwavering will\or lofty motive just to get started. response:	Move back a bit, Hinata.
context: All right. We're going to line up, too.\Okay!\Whoa...\Everyone's big over there, too.\Do you need a reason not to want to lose?\I don't think you need an unwavering will\or lofty motive just to get started.\Move back a bit, Hinata. response:	Oh, right.
context: Okay!\Whoa...\Everyone's big over there, too.\Do you need a reason not to want to lose?\I don't think you need an unwavering will\or lofty motive just to get started.\Move back a bit, Hinata.\Oh, right. response:	Bow!
context: Whoa...\Everyone's big over there, too.\Do you need a reason not to want to lose?\I don't think you need an unwavering will\or lofty motive just to get started.\Move back a bit, Hinata.\Oh, right.\Bow! response:	Let's play!
context: Everyone's big over there, too.\Do you need a reason not to want to lose?\I don't think you need an unwavering will\or lofty motive just to get started.\Move back a bit, Hinata.\Oh, right.\Bow!\Let's play! response:	Haikyu!!
context: Do you need a reason not to want to lose?\I don't think you need an unwavering will\or lofty motive just to get started.\Move back a bit, Hinata.\Oh, right.\Bow!\Let's play!\Haikyu!! response:	Haikyu!!
context: I don't think you need an unwavering will\or lofty motive just to get started.\Move back a bit, Hinata.\Oh, right.\Bow!\Let's play!\Haikyu!!\Haikyu!! response:	So we're playing Karasuno today?
context: or lofty motive just to get started.\Move back a bit, Hinata.\Oh, right.\Bow!\Let's play!\Haikyu!!\Haikyu!!\So we're playing Karasuno today? response:	They're the, uh...
context: Move back a bit, Hinata.\Oh, right.\Bow!\Let's play!\Haikyu!!\Haikyu!!\So we're playing Karasuno today?\They're the, uh... response:	The fallen giant and the flightless bird, right?
context: Oh, right.\Bow!\Let's play!\Haikyu!!\Haikyu!!\So we're playing Karasuno today?\They're the, uh...\The fallen giant and the flightless bird, right? response:	I don't think those names apply anymore.
context: Bow!\Let's play!\Haikyu!!\Haikyu!!\So we're playing Karasuno today?\They're the, uh...\The fallen giant and the flightless bird, right?\I don't think those names apply anymore. response:	Huh?
context: Let's play!\Haikyu!!\Haikyu!!\So we're playing Karasuno today?\They're the, uh...\The fallen giant and the flightless bird, right?\I don't think those names apply anymore.\Huh? response:	At the IH prelims, they played Aoba Johsai a full set
context: Haikyu!!\Haikyu!!\So we're playing Karasuno today?\They're the, uh...\The fallen giant and the flightless bird, right?\I don't think those names apply anymore.\Huh?\At the IH prelims, they played Aoba Johsai a full set response:	Ouginishi High School Volleyball Club
context: Haikyu!!\So we're playing Karasuno today?\They're the, uh...\The fallen giant and the flightless bird, right?\I don't think those names apply anymore.\Huh?\At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club response:	and had a deuce with them until their scores got into the 30s.
context: So we're playing Karasuno today?\They're the, uh...\The fallen giant and the flightless bird, right?\I don't think those names apply anymore.\Huh?\At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s. response:	Seriously?!
context: They're the, uh...\The fallen giant and the flightless bird, right?\I don't think those names apply anymore.\Huh?\At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s.\Seriously?! response:	Oh, but they do have Nishinoya from Chidoriyama
context: The fallen giant and the flightless bird, right?\I don't think those names apply anymore.\Huh?\At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s.\Seriously?!\Oh, but they do have Nishinoya from Chidoriyama response:	and Kageyama from Kitagawa Daiichi, right?
context: I don't think those names apply anymore.\Huh?\At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s.\Seriously?!\Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right? response:	They do, but...
context: Huh?\At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s.\Seriously?!\Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right?\They do, but... response:	Senpai?
context: At the IH prelims, they played Aoba Johsai a full set\Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s.\Seriously?!\Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right?\They do, but...\Senpai? response:	Their 10, especially...
context: Ouginishi High School Volleyball Club\and had a deuce with them until their scores got into the 30s.\Seriously?!\Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right?\They do, but...\Senpai?\Their 10, especially... response:	Karasuno's center is a first-year with impressive physical abililty.
context: and had a deuce with them until their scores got into the 30s.\Seriously?!\Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right?\They do, but...\Senpai?\Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty. response:	Sometimes, his presence changes the game to an astonishing extent.
context: Seriously?!\Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right?\They do, but...\Senpai?\Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent. response:	It appears that Karasuno's transforming.
context: Oh, but they do have Nishinoya from Chidoriyama\and Kageyama from Kitagawa Daiichi, right?\They do, but...\Senpai?\Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming. response:	Thank you for coming so far!
context: and Kageyama from Kitagawa Daiichi, right?\They do, but...\Senpai?\Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming.\Thank you for coming so far! response:	Nice kill!
context: They do, but...\Senpai?\Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming.\Thank you for coming so far!\Nice kill! response:	Nice kill!
context: Senpai?\Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming.\Thank you for coming so far!\Nice kill!\Nice kill! response:	Nice kill!
context: Their 10, especially...\Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming.\Thank you for coming so far!\Nice kill!\Nice kill!\Nice kill! response:	Nice kill!
context: Karasuno's center is a first-year with impressive physical abililty.\Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming.\Thank you for coming so far!\Nice kill!\Nice kill!\Nice kill!\Nice kill! response:	We're gonna start soon, so get changed!
context: Sometimes, his presence changes the game to an astonishing extent.\It appears that Karasuno's transforming.\Thank you for coming so far!\Nice kill!\Nice kill!\Nice kill!\Nice kill!\We're gonna start soon, so get changed! response:	Right.
context: It appears that Karasuno's transforming.\Thank you for coming so far!\Nice kill!\Nice kill!\Nice kill!\Nice kill!\We're gonna start soon, so get changed!\Right. response:	Hinata, that's backwards.
context: Thank you for coming so far!\Nice kill!\Nice kill!\Nice kill!\Nice kill!\We're gonna start soon, so get changed!\Right.\Hinata, that's backwards. response:	Like Jamila.
context: Nice kill!\Nice kill!\Nice kill!\Nice kill!\We're gonna start soon, so get changed!\Right.\Hinata, that's backwards.\Like Jamila. response:	Sorry, you'll have to get used to this.
context: Nice kill!\Nice kill!\Nice kill!\We're gonna start soon, so get changed!\Right.\Hinata, that's backwards.\Like Jamila.\Sorry, you'll have to get used to this. response:	Asahi-san, that string in your hair is awesome!
context: Nice kill!\Nice kill!\We're gonna start soon, so get changed!\Right.\Hinata, that's backwards.\Like Jamila.\Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome! response:	String?
context: Nice kill!\We're gonna start soon, so get changed!\Right.\Hinata, that's backwards.\Like Jamila.\Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome!\String? response:	It's a hairband.
context: We're gonna start soon, so get changed!\Right.\Hinata, that's backwards.\Like Jamila.\Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome!\String?\It's a hairband. response:	Well, I guess I feel confident if you say that, Nishinoya.
context: Right.\Hinata, that's backwards.\Like Jamila.\Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome!\String?\It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya. response:	Straighten up!
context: Hinata, that's backwards.\Like Jamila.\Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome!\String?\It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya.\Straighten up! response:	Trying to change your image, Asahi-san?
context: Like Jamila.\Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome!\String?\It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya.\Straighten up!\Trying to change your image, Asahi-san? response:	No, the other day...
context: Sorry, you'll have to get used to this.\Asahi-san, that string in your hair is awesome!\String?\It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya.\Straighten up!\Trying to change your image, Asahi-san?\No, the other day... response:	What is it, Shimizu?
context: Asahi-san, that string in your hair is awesome!\String?\It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya.\Straighten up!\Trying to change your image, Asahi-san?\No, the other day...\What is it, Shimizu? response:	Azumane, you hair braid is so tight it makes me think you'll go bald.
context: String?\It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya.\Straighten up!\Trying to change your image, Asahi-san?\No, the other day...\What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald. response:	That's why...
context: It's a hairband.\Well, I guess I feel confident if you say that, Nishinoya.\Straighten up!\Trying to change your image, Asahi-san?\No, the other day...\What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why... response:	I need to be careful, too.
context: Well, I guess I feel confident if you say that, Nishinoya.\Straighten up!\Trying to change your image, Asahi-san?\No, the other day...\What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why...\I need to be careful, too. response:	There are some hot bald guys, though.
context: Straighten up!\Trying to change your image, Asahi-san?\No, the other day...\What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why...\I need to be careful, too.\There are some hot bald guys, though. response:	I'm not bald!
context: Trying to change your image, Asahi-san?\No, the other day...\What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why...\I need to be careful, too.\There are some hot bald guys, though.\I'm not bald! response:	Aren't you going to get into your uniform, Tanaka-san?
context: No, the other day...\What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why...\I need to be careful, too.\There are some hot bald guys, though.\I'm not bald!\Aren't you going to get into your uniform, Tanaka-san? response:	I'm about to!
context: What is it, Shimizu?\Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why...\I need to be careful, too.\There are some hot bald guys, though.\I'm not bald!\Aren't you going to get into your uniform, Tanaka-san?\I'm about to! response:	A flock of birds...
context: Azumane, you hair braid is so tight it makes me think you'll go bald.\That's why...\I need to be careful, too.\There are some hot bald guys, though.\I'm not bald!\Aren't you going to get into your uniform, Tanaka-san?\I'm about to!\A flock of birds... response:	A flock... True, they are crows.
context: That's why...\I need to be careful, too.\There are some hot bald guys, though.\I'm not bald!\Aren't you going to get into your uniform, Tanaka-san?\I'm about to!\A flock of birds...\A flock... True, they are crows. response:	But once the game starts, they actually get along great.
context: I need to be careful, too.\There are some hot bald guys, though.\I'm not bald!\Aren't you going to get into your uniform, Tanaka-san?\I'm about to!\A flock of birds...\A flock... True, they are crows.\But once the game starts, they actually get along great. response:	Gather round!
context: There are some hot bald guys, though.\I'm not bald!\Aren't you going to get into your uniform, Tanaka-san?\I'm about to!\A flock of birds...\A flock... True, they are crows.\But once the game starts, they actually get along great.\Gather round! response:	This is our first match with another team since the Inter-High prelims.
context: I'm not bald!\Aren't you going to get into your uniform, Tanaka-san?\I'm about to!\A flock of birds...\A flock... True, they are crows.\But once the game starts, they actually get along great.\Gather round!\This is our first match with another team since the Inter-High prelims. response:	You haven't forgotten your frustrations from then, have you?
context: Aren't you going to get into your uniform, Tanaka-san?\I'm about to!\A flock of birds...\A flock... True, they are crows.\But once the game starts, they actually get along great.\Gather round!\This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you? response:	Right!
context: I'm about to!\A flock of birds...\A flock... True, they are crows.\But once the game starts, they actually get along great.\Gather round!\This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you?\Right! response:	All right, go out there and raise some hell!
context: A flock of birds...\A flock... True, they are crows.\But once the game starts, they actually get along great.\Gather round!\This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you?\Right!\All right, go out there and raise some hell! response:	Right!
context: A flock... True, they are crows.\But once the game starts, they actually get along great.\Gather round!\This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you?\Right!\All right, go out there and raise some hell!\Right! response:	Karasuno, fight!
context: But once the game starts, they actually get along great.\Gather round!\This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you?\Right!\All right, go out there and raise some hell!\Right!\Karasuno, fight! response:	Yeah!
context: Gather round!\This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you?\Right!\All right, go out there and raise some hell!\Right!\Karasuno, fight!\Yeah! response:	Here we go!
context: This is our first match with another team since the Inter-High prelims.\You haven't forgotten your frustrations from then, have you?\Right!\All right, go out there and raise some hell!\Right!\Karasuno, fight!\Yeah!\Here we go! response:	Yeah!
context: You haven't forgotten your frustrations from then, have you?\Right!\All right, go out there and raise some hell!\Right!\Karasuno, fight!\Yeah!\Here we go!\Yeah! response:	Have we played this team before?
context: Right!\All right, go out there and raise some hell!\Right!\Karasuno, fight!\Yeah!\Here we go!\Yeah!\Have we played this team before? response:	No, we haven't.
context: All right, go out there and raise some hell!\Right!\Karasuno, fight!\Yeah!\Here we go!\Yeah!\Have we played this team before?\No, we haven't. response:	Come on, bring it!
context: Right!\Karasuno, fight!\Yeah!\Here we go!\Yeah!\Have we played this team before?\No, we haven't.\Come on, bring it! response:	Get a point!
context: Karasuno, fight!\Yeah!\Here we go!\Yeah!\Have we played this team before?\No, we haven't.\Come on, bring it!\Get a point! response:	Yeah!
context: Yeah!\Here we go!\Yeah!\Have we played this team before?\No, we haven't.\Come on, bring it!\Get a point!\Yeah! response:	Nice serve, Kageyama!
context: Here we go!\Yeah!\Have we played this team before?\No, we haven't.\Come on, bring it!\Get a point!\Yeah!\Nice serve, Kageyama! response:	Ouginishi Karasuno
context: Yeah!\Have we played this team before?\No, we haven't.\Come on, bring it!\Get a point!\Yeah!\Nice serve, Kageyama!\Ouginishi Karasuno response:	Thanks!
context: Have we played this team before?\No, we haven't.\Come on, bring it!\Get a point!\Yeah!\Nice serve, Kageyama!\Ouginishi Karasuno\Thanks! response:	Wait, did they just score a point?
context: No, we haven't.\Come on, bring it!\Get a point!\Yeah!\Nice serve, Kageyama!\Ouginishi Karasuno\Thanks!\Wait, did they just score a point? response:	One more!
context: Come on, bring it!\Get a point!\Yeah!\Nice serve, Kageyama!\Ouginishi Karasuno\Thanks!\Wait, did they just score a point?\One more! response:	Hitoka-chan, the score.
context: Get a point!\Yeah!\Nice serve, Kageyama!\Ouginishi Karasuno\Thanks!\Wait, did they just score a point?\One more!\Hitoka-chan, the score. response:	Oh, r-right.
context: Yeah!\Nice serve, Kageyama!\Ouginishi Karasuno\Thanks!\Wait, did they just score a point?\One more!\Hitoka-chan, the score.\Oh, r-right. response:	Cover! Cover!
context: Nice serve, Kageyama!\Ouginishi Karasuno\Thanks!\Wait, did they just score a point?\One more!\Hitoka-chan, the score.\Oh, r-right.\Cover! Cover! response:	8! 8!
context: Ouginishi Karasuno\Thanks!\Wait, did they just score a point?\One more!\Hitoka-chan, the score.\Oh, r-right.\Cover! Cover!\8! 8! response:	Only one blocker... Go!
context: Thanks!\Wait, did they just score a point?\One more!\Hitoka-chan, the score.\Oh, r-right.\Cover! Cover!\8! 8!\Only one blocker... Go! response:	Ouginishi Karasuno
context: Wait, did they just score a point?\One more!\Hitoka-chan, the score.\Oh, r-right.\Cover! Cover!\8! 8!\Only one blocker... Go!\Ouginishi Karasuno response:	Nice, Nishinoya!
context: One more!\Hitoka-chan, the score.\Oh, r-right.\Cover! Cover!\8! 8!\Only one blocker... Go!\Ouginishi Karasuno\Nice, Nishinoya! response:	Hey, don't run!
context: Hitoka-chan, the score.\Oh, r-right.\Cover! Cover!\8! 8!\Only one blocker... Go!\Ouginishi Karasuno\Nice, Nishinoya!\Hey, don't run! response:	What amazing reflexes...
context: Oh, r-right.\Cover! Cover!\8! 8!\Only one blocker... Go!\Ouginishi Karasuno\Nice, Nishinoya!\Hey, don't run!\What amazing reflexes... response:	Kageyama!
context: Cover! Cover!\8! 8!\Only one blocker... Go!\Ouginishi Karasuno\Nice, Nishinoya!\Hey, don't run!\What amazing reflexes...\Kageyama! response:	Right!
context: 8! 8!\Only one blocker... Go!\Ouginishi Karasuno\Nice, Nishinoya!\Hey, don't run!\What amazing reflexes...\Kageyama!\Right! response:	Karasuno
context: Only one blocker... Go!\Ouginishi Karasuno\Nice, Nishinoya!\Hey, don't run!\What amazing reflexes...\Kageyama!\Right!\Karasuno response:	All right!
context: Ouginishi Karasuno\Nice, Nishinoya!\Hey, don't run!\What amazing reflexes...\Kageyama!\Right!\Karasuno\All right! response:	It looked like their arms would be torn off if they touched the ball.
