context: It's Ryu's brother that I like. response:	I'm going to spend some money on him this year.
context: Maybe that's the best I can do for her.\Lunch!\Go, lunch!\Kazehaya, what are you having?\Cafeteria food.\You?\Rice balls.\Yeah? response:	Come on, Kazehaya.
context: Lunch!\Go, lunch!\Kazehaya, what are you having?\Cafeteria food.\You?\Rice balls.\Yeah?\Come on, Kazehaya. response:	Later, then.
context: Go, lunch!\Kazehaya, what are you having?\Cafeteria food.\You?\Rice balls.\Yeah?\Come on, Kazehaya.\Later, then. response:	I'll go buy bread.
context: Kazehaya, what are you having?\Cafeteria food.\You?\Rice balls.\Yeah?\Come on, Kazehaya.\Later, then.\I'll go buy bread. response:	Should I come with you?
context: Cafeteria food.\You?\Rice balls.\Yeah?\Come on, Kazehaya.\Later, then.\I'll go buy bread.\Should I come with you? response:	Nah, I'll be back right away.
context: You?\Rice balls.\Yeah?\Come on, Kazehaya.\Later, then.\I'll go buy bread.\Should I come with you?\Nah, I'll be back right away. response:	See you.
context: Rice balls.\Yeah?\Come on, Kazehaya.\Later, then.\I'll go buy bread.\Should I come with you?\Nah, I'll be back right away.\See you. response:	See you.
context: Yeah?\Come on, Kazehaya.\Later, then.\I'll go buy bread.\Should I come with you?\Nah, I'll be back right away.\See you.\See you. response:	Has Ryu talked to Chizu at all today?
context: Come on, Kazehaya.\Later, then.\I'll go buy bread.\Should I come with you?\Nah, I'll be back right away.\See you.\See you.\Has Ryu talked to Chizu at all today? response:	Did something happen?
context: Later, then.\I'll go buy bread.\Should I come with you?\Nah, I'll be back right away.\See you.\See you.\Has Ryu talked to Chizu at all today?\Did something happen? response:	What's going on?
context: I'll go buy bread.\Should I come with you?\Nah, I'll be back right away.\See you.\See you.\Has Ryu talked to Chizu at all today?\Did something happen?\What's going on? response:	Did Ryu go after Chizu?
context: Should I come with you?\Nah, I'll be back right away.\See you.\See you.\Has Ryu talked to Chizu at all today?\Did something happen?\What's going on?\Did Ryu go after Chizu? response:	I don't know.
context: Nah, I'll be back right away.\See you.\See you.\Has Ryu talked to Chizu at all today?\Did something happen?\What's going on?\Did Ryu go after Chizu?\I don't know. response:	What's going on?
context: See you.\See you.\Has Ryu talked to Chizu at all today?\Did something happen?\What's going on?\Did Ryu go after Chizu?\I don't know.\What's going on? response:	Half and half, an Elizabeth with cheese and mayo,
context: See you.\Has Ryu talked to Chizu at all today?\Did something happen?\What's going on?\Did Ryu go after Chizu?\I don't know.\What's going on?\Half and half, an Elizabeth with cheese and mayo, response:	a bagel, a melon bun, nuts and a dried fruit bun, please!
context: Has Ryu talked to Chizu at all today?\Did something happen?\What's going on?\Did Ryu go after Chizu?\I don't know.\What's going on?\Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please! response:	A-All right.
context: Did something happen?\What's going on?\Did Ryu go after Chizu?\I don't know.\What's going on?\Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right. response:	Huge catch.
context: What's going on?\Did Ryu go after Chizu?\I don't know.\What's going on?\Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right.\Huge catch. response:	Chizuru,
context: Did Ryu go after Chizu?\I don't know.\What's going on?\Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right.\Huge catch.\Chizuru, response:	My bread!
context: I don't know.\What's going on?\Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right.\Huge catch.\Chizuru,\My bread! response:	Sorry, you wouldn't even look at me.
context: What's going on?\Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right.\Huge catch.\Chizuru,\My bread!\Sorry, you wouldn't even look at me. response:	Yesterday
context: Half and half, an Elizabeth with cheese and mayo,\a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right.\Huge catch.\Chizuru,\My bread!\Sorry, you wouldn't even look at me.\Yesterday response:	What? All that stuff yesterday, and now my bread.
context: a bagel, a melon bun, nuts and a dried fruit bun, please!\A-All right.\Huge catch.\Chizuru,\My bread!\Sorry, you wouldn't even look at me.\Yesterday\What? All that stuff yesterday, and now my bread. response:	Do you want to apologize?
context: A-All right.\Huge catch.\Chizuru,\My bread!\Sorry, you wouldn't even look at me.\Yesterday\What? All that stuff yesterday, and now my bread.\Do you want to apologize? response:	I don't care to apologize for what happened yesterday.
context: Huge catch.\Chizuru,\My bread!\Sorry, you wouldn't even look at me.\Yesterday\What? All that stuff yesterday, and now my bread.\Do you want to apologize?\I don't care to apologize for what happened yesterday. response:	Huh?
context: Chizuru,\My bread!\Sorry, you wouldn't even look at me.\Yesterday\What? All that stuff yesterday, and now my bread.\Do you want to apologize?\I don't care to apologize for what happened yesterday.\Huh? response:	Were you always thinking that?
context: My bread!\Sorry, you wouldn't even look at me.\Yesterday\What? All that stuff yesterday, and now my bread.\Do you want to apologize?\I don't care to apologize for what happened yesterday.\Huh?\Were you always thinking that? response:	That I was hopelessly in love with Tohru?
context: Sorry, you wouldn't even look at me.\Yesterday\What? All that stuff yesterday, and now my bread.\Do you want to apologize?\I don't care to apologize for what happened yesterday.\Huh?\Were you always thinking that?\That I was hopelessly in love with Tohru? response:	That I should hurry up and give up?
context: Yesterday\What? All that stuff yesterday, and now my bread.\Do you want to apologize?\I don't care to apologize for what happened yesterday.\Huh?\Were you always thinking that?\That I was hopelessly in love with Tohru?\That I should hurry up and give up? response:	Yeah.
context: What? All that stuff yesterday, and now my bread.\Do you want to apologize?\I don't care to apologize for what happened yesterday.\Huh?\Were you always thinking that?\That I was hopelessly in love with Tohru?\That I should hurry up and give up?\Yeah. response:	I didn't fall in love with Tohru just for the sake of getting rejected.
context: Do you want to apologize?\I don't care to apologize for what happened yesterday.\Huh?\Were you always thinking that?\That I was hopelessly in love with Tohru?\That I should hurry up and give up?\Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected. response:	I didn't really go to see Tohru yesterday.
context: I don't care to apologize for what happened yesterday.\Huh?\Were you always thinking that?\That I was hopelessly in love with Tohru?\That I should hurry up and give up?\Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday. response:	What?
context: Huh?\Were you always thinking that?\That I was hopelessly in love with Tohru?\That I should hurry up and give up?\Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday.\What? response:	Are they fighting?
context: Were you always thinking that?\That I was hopelessly in love with Tohru?\That I should hurry up and give up?\Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday.\What?\Are they fighting? response:	And what the hell?
context: That I was hopelessly in love with Tohru?\That I should hurry up and give up?\Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday.\What?\Are they fighting?\And what the hell? response:	You're late?”
context: That I should hurry up and give up?\Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday.\What?\Are they fighting?\And what the hell?\You're late?” response:	I would have wanted to see him properly if I could.
context: Yeah.\I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday.\What?\Are they fighting?\And what the hell?\You're late?”\I would have wanted to see him properly if I could. response:	But I couldn't go.
context: I didn't fall in love with Tohru just for the sake of getting rejected.\I didn't really go to see Tohru yesterday.\What?\Are they fighting?\And what the hell?\You're late?”\I would have wanted to see him properly if I could.\But I couldn't go. response:	I couldn't go.
context: I didn't really go to see Tohru yesterday.\What?\Are they fighting?\And what the hell?\You're late?”\I would have wanted to see him properly if I could.\But I couldn't go.\I couldn't go. response:	So I went to give you the present after he'd already have left.
context: What?\Are they fighting?\And what the hell?\You're late?”\I would have wanted to see him properly if I could.\But I couldn't go.\I couldn't go.\So I went to give you the present after he'd already have left. response:	You dumb shit.
context: Are they fighting?\And what the hell?\You're late?”\I would have wanted to see him properly if I could.\But I couldn't go.\I couldn't go.\So I went to give you the present after he'd already have left.\You dumb shit. response:	Chizuru, your bread.
context: And what the hell?\You're late?”\I would have wanted to see him properly if I could.\But I couldn't go.\I couldn't go.\So I went to give you the present after he'd already have left.\You dumb shit.\Chizuru, your bread. response:	No. Take it.
context: You're late?”\I would have wanted to see him properly if I could.\But I couldn't go.\I couldn't go.\So I went to give you the present after he'd already have left.\You dumb shit.\Chizuru, your bread.\No. Take it. response:	Don't talk to me for a while.
context: I would have wanted to see him properly if I could.\But I couldn't go.\I couldn't go.\So I went to give you the present after he'd already have left.\You dumb shit.\Chizuru, your bread.\No. Take it.\Don't talk to me for a while. response:	How could I eat all this?
context: But I couldn't go.\I couldn't go.\So I went to give you the present after he'd already have left.\You dumb shit.\Chizuru, your bread.\No. Take it.\Don't talk to me for a while.\How could I eat all this? response:	I didn't fall in love with Tohru just for the sake of getting rejected.
context: I couldn't go.\So I went to give you the present after he'd already have left.\You dumb shit.\Chizuru, your bread.\No. Take it.\Don't talk to me for a while.\How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected. response:	At least let me say thanks.
context: So I went to give you the present after he'd already have left.\You dumb shit.\Chizuru, your bread.\No. Take it.\Don't talk to me for a while.\How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks. response:	Chizu...
context: You dumb shit.\Chizuru, your bread.\No. Take it.\Don't talk to me for a while.\How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks.\Chizu... response:	Why are you here?
context: Chizuru, your bread.\No. Take it.\Don't talk to me for a while.\How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks.\Chizu...\Why are you here? response:	I was sort of worried.
context: No. Take it.\Don't talk to me for a while.\How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks.\Chizu...\Why are you here?\I was sort of worried. response:	Were you watching?
context: Don't talk to me for a while.\How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks.\Chizu...\Why are you here?\I was sort of worried.\Were you watching? response:	Yeah.
context: How could I eat all this?\I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks.\Chizu...\Why are you here?\I was sort of worried.\Were you watching?\Yeah. response:	That's embarrassing.
context: I didn't fall in love with Tohru just for the sake of getting rejected.\At least let me say thanks.\Chizu...\Why are you here?\I was sort of worried.\Were you watching?\Yeah.\That's embarrassing. response:	I had a bit of a fight with Ryu yesterday night...
context: At least let me say thanks.\Chizu...\Why are you here?\I was sort of worried.\Were you watching?\Yeah.\That's embarrassing.\I had a bit of a fight with Ryu yesterday night... response:	I can't take it.
context: Chizu...\Why are you here?\I was sort of worried.\Were you watching?\Yeah.\That's embarrassing.\I had a bit of a fight with Ryu yesterday night...\I can't take it. response:	I'm sorry, I'm really sorry.
context: Why are you here?\I was sort of worried.\Were you watching?\Yeah.\That's embarrassing.\I had a bit of a fight with Ryu yesterday night...\I can't take it.\I'm sorry, I'm really sorry. response:	What a scary face.
context: I was sort of worried.\Were you watching?\Yeah.\That's embarrassing.\I had a bit of a fight with Ryu yesterday night...\I can't take it.\I'm sorry, I'm really sorry.\What a scary face. response:	Here.
context: Were you watching?\Yeah.\That's embarrassing.\I had a bit of a fight with Ryu yesterday night...\I can't take it.\I'm sorry, I'm really sorry.\What a scary face.\Here. response:	Chizu?! A-Are you okay?
context: Yeah.\That's embarrassing.\I had a bit of a fight with Ryu yesterday night...\I can't take it.\I'm sorry, I'm really sorry.\What a scary face.\Here.\Chizu?! A-Are you okay? response:	I hate him.
context: That's embarrassing.\I had a bit of a fight with Ryu yesterday night...\I can't take it.\I'm sorry, I'm really sorry.\What a scary face.\Here.\Chizu?! A-Are you okay?\I hate him. response:	I hate Ryu.
context: I had a bit of a fight with Ryu yesterday night...\I can't take it.\I'm sorry, I'm really sorry.\What a scary face.\Here.\Chizu?! A-Are you okay?\I hate him.\I hate Ryu. response:	I-I gave him the present.
context: I can't take it.\I'm sorry, I'm really sorry.\What a scary face.\Here.\Chizu?! A-Are you okay?\I hate him.\I hate Ryu.\I-I gave him the present. response:	I didn't even want to see him.
context: I'm sorry, I'm really sorry.\What a scary face.\Here.\Chizu?! A-Are you okay?\I hate him.\I hate Ryu.\I-I gave him the present.\I didn't even want to see him. response:	I'm glad it came to this.”
context: What a scary face.\Here.\Chizu?! A-Are you okay?\I hate him.\I hate Ryu.\I-I gave him the present.\I didn't even want to see him.\I'm glad it came to this.” response:	Now you can give up.”
context: Here.\Chizu?! A-Are you okay?\I hate him.\I hate Ryu.\I-I gave him the present.\I didn't even want to see him.\I'm glad it came to this.”\Now you can give up.” response:	What the hell?
context: Chizu?! A-Are you okay?\I hate him.\I hate Ryu.\I-I gave him the present.\I didn't even want to see him.\I'm glad it came to this.”\Now you can give up.”\What the hell? response:	What do you mean it's hopeless?
context: I hate him.\I hate Ryu.\I-I gave him the present.\I didn't even want to see him.\I'm glad it came to this.”\Now you can give up.”\What the hell?\What do you mean it's hopeless? response:	You're too blunt, you idiot.
context: I hate Ryu.\I-I gave him the present.\I didn't even want to see him.\I'm glad it came to this.”\Now you can give up.”\What the hell?\What do you mean it's hopeless?\You're too blunt, you idiot. response:	Chizu.
context: I-I gave him the present.\I didn't even want to see him.\I'm glad it came to this.”\Now you can give up.”\What the hell?\What do you mean it's hopeless?\You're too blunt, you idiot.\Chizu. response:	Did you even feel sorry for me?
context: I didn't even want to see him.\I'm glad it came to this.”\Now you can give up.”\What the hell?\What do you mean it's hopeless?\You're too blunt, you idiot.\Chizu.\Did you even feel sorry for me? response:	I hate him.
context: I'm glad it came to this.”\Now you can give up.”\What the hell?\What do you mean it's hopeless?\You're too blunt, you idiot.\Chizu.\Did you even feel sorry for me?\I hate him. response:	But I hate myself the most for blaming him.
context: Now you can give up.”\What the hell?\What do you mean it's hopeless?\You're too blunt, you idiot.\Chizu.\Did you even feel sorry for me?\I hate him.\But I hate myself the most for blaming him. response:	I wanted to be happier when I gave it to him.
context: What the hell?\What do you mean it's hopeless?\You're too blunt, you idiot.\Chizu.\Did you even feel sorry for me?\I hate him.\But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him. response:	I was so eager to.
context: What do you mean it's hopeless?\You're too blunt, you idiot.\Chizu.\Did you even feel sorry for me?\I hate him.\But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him.\I was so eager to. response:	I threw it at him.
context: You're too blunt, you idiot.\Chizu.\Did you even feel sorry for me?\I hate him.\But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him.\I was so eager to.\I threw it at him. response:	I can't take it.
context: Chizu.\Did you even feel sorry for me?\I hate him.\But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him.\I was so eager to.\I threw it at him.\I can't take it. response:	I don't even understand marriage, and here I am taking it out on people.
context: Did you even feel sorry for me?\I hate him.\But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him.\I was so eager to.\I threw it at him.\I can't take it.\I don't even understand marriage, and here I am taking it out on people. response:	She snapped.
context: I hate him.\But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him.\I was so eager to.\I threw it at him.\I can't take it.\I don't even understand marriage, and here I am taking it out on people.\She snapped. response:	Chizu snapped.
context: But I hate myself the most for blaming him.\I wanted to be happier when I gave it to him.\I was so eager to.\I threw it at him.\I can't take it.\I don't even understand marriage, and here I am taking it out on people.\She snapped.\Chizu snapped. response:	Thank god!
context: I wanted to be happier when I gave it to him.\I was so eager to.\I threw it at him.\I can't take it.\I don't even understand marriage, and here I am taking it out on people.\She snapped.\Chizu snapped.\Thank god! response:	What?
context: I was so eager to.\I threw it at him.\I can't take it.\I don't even understand marriage, and here I am taking it out on people.\She snapped.\Chizu snapped.\Thank god!\What? response:	Yeah, come on, let it out.
context: I threw it at him.\I can't take it.\I don't even understand marriage, and here I am taking it out on people.\She snapped.\Chizu snapped.\Thank god!\What?\Yeah, come on, let it out. response:	When else are you going to vent?
context: I can't take it.\I don't even understand marriage, and here I am taking it out on people.\She snapped.\Chizu snapped.\Thank god!\What?\Yeah, come on, let it out.\When else are you going to vent? response:	You have every right to take it out on him.
context: I don't even understand marriage, and here I am taking it out on people.\She snapped.\Chizu snapped.\Thank god!\What?\Yeah, come on, let it out.\When else are you going to vent?\You have every right to take it out on him. response:	Ryu's totally being an asshole.
context: She snapped.\Chizu snapped.\Thank god!\What?\Yeah, come on, let it out.\When else are you going to vent?\You have every right to take it out on him.\Ryu's totally being an asshole. response:	He is, right? He's a douchebag right?
context: Chizu snapped.\Thank god!\What?\Yeah, come on, let it out.\When else are you going to vent?\You have every right to take it out on him.\Ryu's totally being an asshole.\He is, right? He's a douchebag right? response:	Yeah he is.
context: Thank god!\What?\Yeah, come on, let it out.\When else are you going to vent?\You have every right to take it out on him.\Ryu's totally being an asshole.\He is, right? He's a douchebag right?\Yeah he is. response:	I wouldn't even have given him the present if I were you.
context: What?\Yeah, come on, let it out.\When else are you going to vent?\You have every right to take it out on him.\Ryu's totally being an asshole.\He is, right? He's a douchebag right?\Yeah he is.\I wouldn't even have given him the present if I were you. response:	Really?
context: Yeah, come on, let it out.\When else are you going to vent?\You have every right to take it out on him.\Ryu's totally being an asshole.\He is, right? He's a douchebag right?\Yeah he is.\I wouldn't even have given him the present if I were you.\Really? response:	You did well.
context: When else are you going to vent?\You have every right to take it out on him.\Ryu's totally being an asshole.\He is, right? He's a douchebag right?\Yeah he is.\I wouldn't even have given him the present if I were you.\Really?\You did well. response:	Yano-chin, Sawako!
context: You have every right to take it out on him.\Ryu's totally being an asshole.\He is, right? He's a douchebag right?\Yeah he is.\I wouldn't even have given him the present if I were you.\Really?\You did well.\Yano-chin, Sawako! response:	There, there.
context: Ryu's totally being an asshole.\He is, right? He's a douchebag right?\Yeah he is.\I wouldn't even have given him the present if I were you.\Really?\You did well.\Yano-chin, Sawako!\There, there. response:	Let it all out.
context: He is, right? He's a douchebag right?\Yeah he is.\I wouldn't even have given him the present if I were you.\Really?\You did well.\Yano-chin, Sawako!\There, there.\Let it all out. response:	He's so stupid.
context: Yeah he is.\I wouldn't even have given him the present if I were you.\Really?\You did well.\Yano-chin, Sawako!\There, there.\Let it all out.\He's so stupid. response:	I went to his house, and he goes, forget about him.”
context: I wouldn't even have given him the present if I were you.\Really?\You did well.\Yano-chin, Sawako!\There, there.\Let it all out.\He's so stupid.\I went to his house, and he goes, forget about him.” response:	Why did I give him that bread?
context: Really?\You did well.\Yano-chin, Sawako!\There, there.\Let it all out.\He's so stupid.\I went to his house, and he goes, forget about him.”\Why did I give him that bread? response:	I'm hungry.
context: You did well.\Yano-chin, Sawako!\There, there.\Let it all out.\He's so stupid.\I went to his house, and he goes, forget about him.”\Why did I give him that bread?\I'm hungry. response:	I couldn't find any words to help Chizu-chan.
context: Yano-chin, Sawako!\There, there.\Let it all out.\He's so stupid.\I went to his house, and he goes, forget about him.”\Why did I give him that bread?\I'm hungry.\I couldn't find any words to help Chizu-chan. response:	But on the way home, she said...
context: There, there.\Let it all out.\He's so stupid.\I went to his house, and he goes, forget about him.”\Why did I give him that bread?\I'm hungry.\I couldn't find any words to help Chizu-chan.\But on the way home, she said... response:	Hey...
context: Let it all out.\He's so stupid.\I went to his house, and he goes, forget about him.”\Why did I give him that bread?\I'm hungry.\I couldn't find any words to help Chizu-chan.\But on the way home, she said...\Hey... response:	What?
context: He's so stupid.\I went to his house, and he goes, forget about him.”\Why did I give him that bread?\I'm hungry.\I couldn't find any words to help Chizu-chan.\But on the way home, she said...\Hey...\What? response:	I felt a bit better after you made me cry.
context: I went to his house, and he goes, forget about him.”\Why did I give him that bread?\I'm hungry.\I couldn't find any words to help Chizu-chan.\But on the way home, she said...\Hey...\What?\I felt a bit better after you made me cry. response:	All right, let's go eat cake.
context: Why did I give him that bread?\I'm hungry.\I couldn't find any words to help Chizu-chan.\But on the way home, she said...\Hey...\What?\I felt a bit better after you made me cry.\All right, let's go eat cake. response:	Hurry up, Yano-chin.
context: I'm hungry.\I couldn't find any words to help Chizu-chan.\But on the way home, she said...\Hey...\What?\I felt a bit better after you made me cry.\All right, let's go eat cake.\Hurry up, Yano-chin. response:	Yeah, yeah.
context: I couldn't find any words to help Chizu-chan.\But on the way home, she said...\Hey...\What?\I felt a bit better after you made me cry.\All right, let's go eat cake.\Hurry up, Yano-chin.\Yeah, yeah. response:	Seriously, I get fat when I hang out with you.
context: But on the way home, she said...\Hey...\What?\I felt a bit better after you made me cry.\All right, let's go eat cake.\Hurry up, Yano-chin.\Yeah, yeah.\Seriously, I get fat when I hang out with you. response:	Hello?
context: Hey...\What?\I felt a bit better after you made me cry.\All right, let's go eat cake.\Hurry up, Yano-chin.\Yeah, yeah.\Seriously, I get fat when I hang out with you.\Hello? response:	Hey,
context: What?\I felt a bit better after you made me cry.\All right, let's go eat cake.\Hurry up, Yano-chin.\Yeah, yeah.\Seriously, I get fat when I hang out with you.\Hello?\Hey, response:	I have a ton of bread. Want some?
context: I felt a bit better after you made me cry.\All right, let's go eat cake.\Hurry up, Yano-chin.\Yeah, yeah.\Seriously, I get fat when I hang out with you.\Hello?\Hey,\I have a ton of bread. Want some? response:	Chizuru gave it to me.
context: All right, let's go eat cake.\Hurry up, Yano-chin.\Yeah, yeah.\Seriously, I get fat when I hang out with you.\Hello?\Hey,\I have a ton of bread. Want some?\Chizuru gave it to me. response:	The shimmering night sky.
context: Hurry up, Yano-chin.\Yeah, yeah.\Seriously, I get fat when I hang out with you.\Hello?\Hey,\I have a ton of bread. Want some?\Chizuru gave it to me.\The shimmering night sky. response:	Smile like you used to.
context: Yeah, yeah.\Seriously, I get fat when I hang out with you.\Hello?\Hey,\I have a ton of bread. Want some?\Chizuru gave it to me.\The shimmering night sky.\Smile like you used to. response:	Next episode: First Snow
