context: What? response:	Okay, I'll say it again.
context: I shall choose to trust your eyes\and the spirit that led you to create this situation.\Then the deal is struck.\There were a few touch-and-go moments,\but I'm glad it worked out, Natsuki-dono.\I trust the promise we made prior to the negotiation still stands.\Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia. response:	So you did lay some groundwork before coming here.
context: and the spirit that led you to create this situation.\Then the deal is struck.\There were a few touch-and-go moments,\but I'm glad it worked out, Natsuki-dono.\I trust the promise we made prior to the negotiation still stands.\Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here. response:	And you were waiting outside the door for your moment to enter?
context: Then the deal is struck.\There were a few touch-and-go moments,\but I'm glad it worked out, Natsuki-dono.\I trust the promise we made prior to the negotiation still stands.\Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter? response:	But it was up to us when we interrupted.
context: There were a few touch-and-go moments,\but I'm glad it worked out, Natsuki-dono.\I trust the promise we made prior to the negotiation still stands.\Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted. response:	Well, as far as negotiations go, I guess that just passes?
context: but I'm glad it worked out, Natsuki-dono.\I trust the promise we made prior to the negotiation still stands.\Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes? response:	Took you long enough!
context: I trust the promise we made prior to the negotiation still stands.\Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes?\Took you long enough! response:	I thought you were never gonna enter!
context: Yeah, you were a big help, Russell-san.\Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes?\Took you long enough!\I thought you were never gonna enter! response:	When negotiatin', there's always a time to make your move.
context: Once the subjugation is complete, I'll give you the metia.\So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes?\Took you long enough!\I thought you were never gonna enter!\When negotiatin', there's always a time to make your move. response:	Well, as you're gettin' ready for the subjugation and such,
context: So you did lay some groundwork before coming here.\And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes?\Took you long enough!\I thought you were never gonna enter!\When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such, response:	don't forget to patronize the Hoshin Company.
context: And you were waiting outside the door for your moment to enter?\But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes?\Took you long enough!\I thought you were never gonna enter!\When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company. response:	You paved the way before negotiations began?
context: But it was up to us when we interrupted.\Well, as far as negotiations go, I guess that just passes?\Took you long enough!\I thought you were never gonna enter!\When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company.\You paved the way before negotiations began? response:	You are surprisingly shrewd, Natsuki Subaru.
context: Well, as far as negotiations go, I guess that just passes?\Took you long enough!\I thought you were never gonna enter!\When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company.\You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru. response:	My preparation and review paid off, that's all.
context: Took you long enough!\I thought you were never gonna enter!\When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company.\You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all. response:	To be honest, I couldn't be more relieved.
context: I thought you were never gonna enter!\When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company.\You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved. response:	Well, that's plain to see.
context: When negotiatin', there's always a time to make your move.\Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company.\You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved.\Well, that's plain to see. response:	We managed to save face for staying in the capital. Right, Rem?
context: Well, as you're gettin' ready for the subjugation and such,\don't forget to patronize the Hoshin Company.\You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved.\Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem? response:	Yes, you are truly wonderful, Subaru-kun.
context: don't forget to patronize the Hoshin Company.\You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved.\Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun. response:	Subaru-dono...
context: You paved the way before negotiations began?\You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved.\Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun.\Subaru-dono... response:	I thank you.
context: You are surprisingly shrewd, Natsuki Subaru.\My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved.\Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun.\Subaru-dono...\I thank you. response:	Huh?
context: My preparation and review paid off, that's all.\To be honest, I couldn't be more relieved.\Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun.\Subaru-dono...\I thank you.\Huh? response:	I offer you gratitude
context: To be honest, I couldn't be more relieved.\Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun.\Subaru-dono...\I thank you.\Huh?\I offer you gratitude response:	equal to that which I offer to my lady, Duchess Crusch Karsten.
context: Well, that's plain to see.\We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun.\Subaru-dono...\I thank you.\Huh?\I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten. response:	E-Er, that's, um...
context: We managed to save face for staying in the capital. Right, Rem?\Yes, you are truly wonderful, Subaru-kun.\Subaru-dono...\I thank you.\Huh?\I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um... response:	As perceptive as you are,
context: Yes, you are truly wonderful, Subaru-kun.\Subaru-dono...\I thank you.\Huh?\I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um...\As perceptive as you are, response:	I am sure you're aware, but if I may introduce myself...
context: Subaru-dono...\I thank you.\Huh?\I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um...\As perceptive as you are,\I am sure you're aware, but if I may introduce myself... response:	My family name is Astrea.
context: I thank you.\Huh?\I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um...\As perceptive as you are,\I am sure you're aware, but if I may introduce myself...\My family name is Astrea. response:	I took the previous Master Swordsman, Theresia van Astrea, as my wife,
context: Huh?\I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um...\As perceptive as you are,\I am sure you're aware, but if I may introduce myself...\My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife, response:	giving me the honor of the bloodline's lowest seat.
context: I offer you gratitude\equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um...\As perceptive as you are,\I am sure you're aware, but if I may introduce myself...\My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat. response:	That is who I, Wilhelm van Astrea, am.
context: equal to that which I offer to my lady, Duchess Crusch Karsten.\E-Er, that's, um...\As perceptive as you are,\I am sure you're aware, but if I may introduce myself...\My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am. response:	I thank you for so kindly granting this old man
context: E-Er, that's, um...\As perceptive as you are,\I am sure you're aware, but if I may introduce myself...\My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man response:	the opportunity to slay the loathsome mabeast that took my wife.
context: As perceptive as you are,\I am sure you're aware, but if I may introduce myself...\My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife. response:	S-Sure! Of course I knew that!
context: I am sure you're aware, but if I may introduce myself...\My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that! response:	I figured Crusch-san would accept my offer, keeping that in mind
context: My family name is Astrea.\I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind response:	Natsuki Subaru...
context: I took the previous Master Swordsman, Theresia van Astrea, as my wife,\giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru... response:	The wind of untruth is blowing from you.
context: giving me the honor of the bloodline's lowest seat.\That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru...\The wind of untruth is blowing from you. response:	I get it...
context: That is who I, Wilhelm van Astrea, am.\I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru...\The wind of untruth is blowing from you.\I get it... response:	You bought all the dragon-drawn carriages for this,
context: I thank you for so kindly granting this old man\the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru...\The wind of untruth is blowing from you.\I get it...\You bought all the dragon-drawn carriages for this, response:	so that's why I had trouble getting one back to the mansion.
context: the opportunity to slay the loathsome mabeast that took my wife.\S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru...\The wind of untruth is blowing from you.\I get it...\You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion. response:	You're still awake?
context: S-Sure! Of course I knew that!\I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru...\The wind of untruth is blowing from you.\I get it...\You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion.\You're still awake? response:	As if I could sleep.
context: I figured Crusch-san would accept my offer, keeping that in mind\Natsuki Subaru...\The wind of untruth is blowing from you.\I get it...\You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion.\You're still awake?\As if I could sleep. response:	Everyone else is working through the night.
context: Natsuki Subaru...\The wind of untruth is blowing from you.\I get it...\You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion.\You're still awake?\As if I could sleep.\Everyone else is working through the night. response:	They have nyo choice.
context: The wind of untruth is blowing from you.\I get it...\You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion.\You're still awake?\As if I could sleep.\Everyone else is working through the night.\They have nyo choice. response:	We have little time.
context: I get it...\You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion.\You're still awake?\As if I could sleep.\Everyone else is working through the night.\They have nyo choice.\We have little time. response:	Yeah, the White Whale will appear tomorrow night,
context: You bought all the dragon-drawn carriages for this,\so that's why I had trouble getting one back to the mansion.\You're still awake?\As if I could sleep.\Everyone else is working through the night.\They have nyo choice.\We have little time.\Yeah, the White Whale will appear tomorrow night, response:	in the area around Flugel's Tree.
context: so that's why I had trouble getting one back to the mansion.\You're still awake?\As if I could sleep.\Everyone else is working through the night.\They have nyo choice.\We have little time.\Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree. response:	So, given the travel time, we'll just barely make it.
context: You're still awake?\As if I could sleep.\Everyone else is working through the night.\They have nyo choice.\We have little time.\Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it. response:	Besides, can't you see it in nyall their faces?
context: As if I could sleep.\Everyone else is working through the night.\They have nyo choice.\We have little time.\Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces? response:	Nyot a single one is preparing unwillingly.
context: Everyone else is working through the night.\They have nyo choice.\We have little time.\Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly. response:	Everyone wants to be rid of the White Whale,
context: They have nyo choice.\We have little time.\Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale, response:	especially Old Man Wil.
context: We have little time.\Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale,\especially Old Man Wil. response:	He said it took his wife...
context: Yeah, the White Whale will appear tomorrow night,\in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale,\especially Old Man Wil.\He said it took his wife... response:	Yeah.
context: in the area around Flugel's Tree.\So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale,\especially Old Man Wil.\He said it took his wife...\Yeah. response:	He's been chasing after the White Whale all this time.
context: So, given the travel time, we'll just barely make it.\Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale,\especially Old Man Wil.\He said it took his wife...\Yeah.\He's been chasing after the White Whale all this time. response:	Ever since it killed the previous Master Swordsman, his wife.
context: Besides, can't you see it in nyall their faces?\Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale,\especially Old Man Wil.\He said it took his wife...\Yeah.\He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife. response:	The previous Master Swordsman...
context: Nyot a single one is preparing unwillingly.\Everyone wants to be rid of the White Whale,\especially Old Man Wil.\He said it took his wife...\Yeah.\He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman... response:	Well, now you know,
context: Everyone wants to be rid of the White Whale,\especially Old Man Wil.\He said it took his wife...\Yeah.\He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman...\Well, now you know, response:	so you should stop worrying and get to sleep.
context: especially Old Man Wil.\He said it took his wife...\Yeah.\He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman...\Well, now you know,\so you should stop worrying and get to sleep. response:	There's nyo thing you can do to help
context: He said it took his wife...\Yeah.\He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman...\Well, now you know,\so you should stop worrying and get to sleep.\There's nyo thing you can do to help response:	with supply distribution or organization, anyway.
context: Yeah.\He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman...\Well, now you know,\so you should stop worrying and get to sleep.\There's nyo thing you can do to help\with supply distribution or organization, anyway. response:	That may be true,
context: He's been chasing after the White Whale all this time.\Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman...\Well, now you know,\so you should stop worrying and get to sleep.\There's nyo thing you can do to help\with supply distribution or organization, anyway.\That may be true, response:	but you didn't have to say it!
context: Ever since it killed the previous Master Swordsman, his wife.\The previous Master Swordsman...\Well, now you know,\so you should stop worrying and get to sleep.\There's nyo thing you can do to help\with supply distribution or organization, anyway.\That may be true,\but you didn't have to say it! response:	I'm supposed to pick whichever one I want?
context: The previous Master Swordsman...\Well, now you know,\so you should stop worrying and get to sleep.\There's nyo thing you can do to help\with supply distribution or organization, anyway.\That may be true,\but you didn't have to say it!\I'm supposed to pick whichever one I want? response:	What is it nyow? You don't like them?
context: Well, now you know,\so you should stop worrying and get to sleep.\There's nyo thing you can do to help\with supply distribution or organization, anyway.\That may be true,\but you didn't have to say it!\I'm supposed to pick whichever one I want?\What is it nyow? You don't like them? response:	It's not that!
context: so you should stop worrying and get to sleep.\There's nyo thing you can do to help\with supply distribution or organization, anyway.\That may be true,\but you didn't have to say it!\I'm supposed to pick whichever one I want?\What is it nyow? You don't like them?\It's not that! response:	I'm glad you're letting me borrow one,
context: There's nyo thing you can do to help\with supply distribution or organization, anyway.\That may be true,\but you didn't have to say it!\I'm supposed to pick whichever one I want?\What is it nyow? You don't like them?\It's not that!\I'm glad you're letting me borrow one, response:	but I can't tell anything about their quality!
context: with supply distribution or organization, anyway.\That may be true,\but you didn't have to say it!\I'm supposed to pick whichever one I want?\What is it nyow? You don't like them?\It's not that!\I'm glad you're letting me borrow one,\but I can't tell anything about their quality! response:	Do I look like a veteran who's studied nothing but ground dragons for decades...
context: That may be true,\but you didn't have to say it!\I'm supposed to pick whichever one I want?\What is it nyow? You don't like them?\It's not that!\I'm glad you're letting me borrow one,\but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades... response:	Are you that one from...
context: but you didn't have to say it!\I'm supposed to pick whichever one I want?\What is it nyow? You don't like them?\It's not that!\I'm glad you're letting me borrow one,\but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from... response:	Looks like this is the one.
context: I'm supposed to pick whichever one I want?\What is it nyow? You don't like them?\It's not that!\I'm glad you're letting me borrow one,\but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from...\Looks like this is the one. response:	I am surprised.
context: What is it nyow? You don't like them?\It's not that!\I'm glad you're letting me borrow one,\but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from...\Looks like this is the one.\I am surprised. response:	This ground dragon is a type known for extreme pride.
context: It's not that!\I'm glad you're letting me borrow one,\but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from...\Looks like this is the one.\I am surprised.\This ground dragon is a type known for extreme pride. response:	Felis, I'll take this one.
context: I'm glad you're letting me borrow one,\but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from...\Looks like this is the one.\I am surprised.\This ground dragon is a type known for extreme pride.\Felis, I'll take this one. response:	It's love at first sight!
context: but I can't tell anything about their quality!\Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from...\Looks like this is the one.\I am surprised.\This ground dragon is a type known for extreme pride.\Felis, I'll take this one.\It's love at first sight! response:	Sure thing.
context: Do I look like a veteran who's studied nothing but ground dragons for decades...\Are you that one from...\Looks like this is the one.\I am surprised.\This ground dragon is a type known for extreme pride.\Felis, I'll take this one.\It's love at first sight!\Sure thing. response:	But don't say, Love at first sight.
context: Are you that one from...\Looks like this is the one.\I am surprised.\This ground dragon is a type known for extreme pride.\Felis, I'll take this one.\It's love at first sight!\Sure thing.\But don't say, Love at first sight. response:	You're making Rem-chan pout.
context: Looks like this is the one.\I am surprised.\This ground dragon is a type known for extreme pride.\Felis, I'll take this one.\It's love at first sight!\Sure thing.\But don't say, Love at first sight.\You're making Rem-chan pout. response:	I'm not pouting!
context: I am surprised.\This ground dragon is a type known for extreme pride.\Felis, I'll take this one.\It's love at first sight!\Sure thing.\But don't say, Love at first sight.\You're making Rem-chan pout.\I'm not pouting! response:	I'll be nice to it! I can do it!
context: This ground dragon is a type known for extreme pride.\Felis, I'll take this one.\It's love at first sight!\Sure thing.\But don't say, Love at first sight.\You're making Rem-chan pout.\I'm not pouting!\I'll be nice to it! I can do it! response:	Wha?!
context: Felis, I'll take this one.\It's love at first sight!\Sure thing.\But don't say, Love at first sight.\You're making Rem-chan pout.\I'm not pouting!\I'll be nice to it! I can do it!\Wha?! response:	My lady was tellin' me about you.
context: It's love at first sight!\Sure thing.\But don't say, Love at first sight.\You're making Rem-chan pout.\I'm not pouting!\I'll be nice to it! I can do it!\Wha?!\My lady was tellin' me about you. response:	You're the star of this little show, aren't ya?
context: Sure thing.\But don't say, Love at first sight.\You're making Rem-chan pout.\I'm not pouting!\I'll be nice to it! I can do it!\Wha?!\My lady was tellin' me about you.\You're the star of this little show, aren't ya? response:	Ho
context: But don't say, Love at first sight.\You're making Rem-chan pout.\I'm not pouting!\I'll be nice to it! I can do it!\Wha?!\My lady was tellin' me about you.\You're the star of this little show, aren't ya?\Ho response:	That logo... And a Kararagi accent from a demihuman...
context: You're making Rem-chan pout.\I'm not pouting!\I'll be nice to it! I can do it!\Wha?!\My lady was tellin' me about you.\You're the star of this little show, aren't ya?\Ho\That logo... And a Kararagi accent from a demihuman... response:	Then, you're with Anastasia?
context: I'm not pouting!\I'll be nice to it! I can do it!\Wha?!\My lady was tellin' me about you.\You're the star of this little show, aren't ya?\Ho\That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia? response:	What, you knew?
context: I'll be nice to it! I can do it!\Wha?!\My lady was tellin' me about you.\You're the star of this little show, aren't ya?\Ho\That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia?\What, you knew? response:	I'm Ricardo, head of her mercenary team.
context: Wha?!\My lady was tellin' me about you.\You're the star of this little show, aren't ya?\Ho\That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia?\What, you knew?\I'm Ricardo, head of her mercenary team. response:	Nice to meet you, too, li'l lady!
context: My lady was tellin' me about you.\You're the star of this little show, aren't ya?\Ho\That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia?\What, you knew?\I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady! response:	Keep it down! Also, you're huge!
context: You're the star of this little show, aren't ya?\Ho\That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia?\What, you knew?\I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge! response:	You'll snap my neck!
context: Ho\That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia?\What, you knew?\I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge!\You'll snap my neck! response:	Hey! My lady!
context: That logo... And a Kararagi accent from a demihuman...\Then, you're with Anastasia?\What, you knew?\I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge!\You'll snap my neck!\Hey! My lady! response:	Hey!
context: Then, you're with Anastasia?\What, you knew?\I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge!\You'll snap my neck!\Hey! My lady!\Hey! response:	Ow...
context: What, you knew?\I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge!\You'll snap my neck!\Hey! My lady!\Hey!\Ow... response:	So that is the pride of Anastasia and the Hoshins, the Iron Fang...
context: I'm Ricardo, head of her mercenary team.\Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge!\You'll snap my neck!\Hey! My lady!\Hey!\Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang... response:	I see. They all look quite strong.
context: Nice to meet you, too, li'l lady!\Keep it down! Also, you're huge!\You'll snap my neck!\Hey! My lady!\Hey!\Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong. response:	Did you rest well last night?
context: Keep it down! Also, you're huge!\You'll snap my neck!\Hey! My lady!\Hey!\Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong.\Did you rest well last night? response:	I nearly died a second ago...
context: You'll snap my neck!\Hey! My lady!\Hey!\Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong.\Did you rest well last night?\I nearly died a second ago... response:	Oh, so I guess you're also fighting?
context: Hey! My lady!\Hey!\Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong.\Did you rest well last night?\I nearly died a second ago...\Oh, so I guess you're also fighting? response:	You think I am capable
context: Hey!\Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong.\Did you rest well last night?\I nearly died a second ago...\Oh, so I guess you're also fighting?\You think I am capable response:	of sitting in a chair, waiting for good news?
context: Ow...\So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong.\Did you rest well last night?\I nearly died a second ago...\Oh, so I guess you're also fighting?\You think I am capable\of sitting in a chair, waiting for good news? response:	I'm more surprised that you are participating.
context: So that is the pride of Anastasia and the Hoshins, the Iron Fang...\I see. They all look quite strong.\Did you rest well last night?\I nearly died a second ago...\Oh, so I guess you're also fighting?\You think I am capable\of sitting in a chair, waiting for good news?\I'm more surprised that you are participating. response:	Can you fight?
context: I see. They all look quite strong.\Did you rest well last night?\I nearly died a second ago...\Oh, so I guess you're also fighting?\You think I am capable\of sitting in a chair, waiting for good news?\I'm more surprised that you are participating.\Can you fight? response:	Nope, I can't.
context: Did you rest well last night?\I nearly died a second ago...\Oh, so I guess you're also fighting?\You think I am capable\of sitting in a chair, waiting for good news?\I'm more surprised that you are participating.\Can you fight?\Nope, I can't. response:	But even if I can't fight,
context: I nearly died a second ago...\Oh, so I guess you're also fighting?\You think I am capable\of sitting in a chair, waiting for good news?\I'm more surprised that you are participating.\Can you fight?\Nope, I can't.\But even if I can't fight, response:	I think this human will be pretty useful against the White Whale.
context: Oh, so I guess you're also fighting?\You think I am capable\of sitting in a chair, waiting for good news?\I'm more surprised that you are participating.\Can you fight?\Nope, I can't.\But even if I can't fight,\I think this human will be pretty useful against the White Whale. response:	I must ask... On what grounds?
context: You think I am capable\of sitting in a chair, waiting for good news?\I'm more surprised that you are participating.\Can you fight?\Nope, I can't.\But even if I can't fight,\I think this human will be pretty useful against the White Whale.\I must ask... On what grounds? response:	I'm not all that happy about it myself,
context: of sitting in a chair, waiting for good news?\I'm more surprised that you are participating.\Can you fight?\Nope, I can't.\But even if I can't fight,\I think this human will be pretty useful against the White Whale.\I must ask... On what grounds?\I'm not all that happy about it myself, response:	but I seem to be the type of guy who attracts mabeasts.
context: I'm more surprised that you are participating.\Can you fight?\Nope, I can't.\But even if I can't fight,\I think this human will be pretty useful against the White Whale.\I must ask... On what grounds?\I'm not all that happy about it myself,\but I seem to be the type of guy who attracts mabeasts. response:	What?
