context: End Card Illustration: tanu response:	When you're with Tsutsugami Gai,
context: Right now, you can't see anything.\Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us?\Apologize.\I'm sorry.\By the way...\Can you draw out those Void things from anybody?\Huh? response:	With how hard I'm trying, it's like I'm really planning to join these guys.
context: Though at the rate you're going, I'm not sure you ever will...\But either way, don't you think that was insulting to Gai and every one of us?\Apologize.\I'm sorry.\By the way...\Can you draw out those Void things from anybody?\Huh?\With how hard I'm trying, it's like I'm really planning to join these guys. response:	The two overlapped
context: But either way, don't you think that was insulting to Gai and every one of us?\Apologize.\I'm sorry.\By the way...\Can you draw out those Void things from anybody?\Huh?\With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped response:	I shall sing the proof that you lived
context: Apologize.\I'm sorry.\By the way...\Can you draw out those Void things from anybody?\Huh?\With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped\I shall sing the proof that you lived response:	For the sake of those who have no names
context: I'm sorry.\By the way...\Can you draw out those Void things from anybody?\Huh?\With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names response:	This is kind of like the first time we met, huh?
context: By the way...\Can you draw out those Void things from anybody?\Huh?\With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\This is kind of like the first time we met, huh? response:	It feels a little nostalgic.
context: Can you draw out those Void things from anybody?\Huh?\With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\This is kind of like the first time we met, huh?\It feels a little nostalgic. response:	Hey, Inori, why are you in the Undertakers?
context: Huh?\With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\This is kind of like the first time we met, huh?\It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers? response:	Why did you come here?
context: With how hard I'm trying, it's like I'm really planning to join these guys.\The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\This is kind of like the first time we met, huh?\It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers?\Why did you come here? response:	Me?
context: The two overlapped\I shall sing the proof that you lived\For the sake of those who have no names\This is kind of like the first time we met, huh?\It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers?\Why did you come here?\Me? response:	There are a lot of reasons...
context: I shall sing the proof that you lived\For the sake of those who have no names\This is kind of like the first time we met, huh?\It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers?\Why did you come here?\Me?\There are a lot of reasons... response:	But the biggest one...
context: For the sake of those who have no names\This is kind of like the first time we met, huh?\It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers?\Why did you come here?\Me?\There are a lot of reasons...\But the biggest one... response:	is that I was happy, I think.
context: This is kind of like the first time we met, huh?\It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers?\Why did you come here?\Me?\There are a lot of reasons...\But the biggest one...\is that I was happy, I think. response:	I was... I was happy you came for me back there!
context: It feels a little nostalgic.\Hey, Inori, why are you in the Undertakers?\Why did you come here?\Me?\There are a lot of reasons...\But the biggest one...\is that I was happy, I think.\I was... I was happy you came for me back there! response:	Hey, Inori.
context: Hey, Inori, why are you in the Undertakers?\Why did you come here?\Me?\There are a lot of reasons...\But the biggest one...\is that I was happy, I think.\I was... I was happy you came for me back there!\Hey, Inori. response:	If... just if...
context: Why did you come here?\Me?\There are a lot of reasons...\But the biggest one...\is that I was happy, I think.\I was... I was happy you came for me back there!\Hey, Inori.\If... just if... response:	I said, Let's leave the Undertakers together,
context: Me?\There are a lot of reasons...\But the biggest one...\is that I was happy, I think.\I was... I was happy you came for me back there!\Hey, Inori.\If... just if...\I said, Let's leave the Undertakers together, response:	would you...
context: There are a lot of reasons...\But the biggest one...\is that I was happy, I think.\I was... I was happy you came for me back there!\Hey, Inori.\If... just if...\I said, Let's leave the Undertakers together,\would you... response:	Gai gave me a name.
context: But the biggest one...\is that I was happy, I think.\I was... I was happy you came for me back there!\Hey, Inori.\If... just if...\I said, Let's leave the Undertakers together,\would you...\Gai gave me a name. response:	I had nothing, and he gave me a name.
context: is that I was happy, I think.\I was... I was happy you came for me back there!\Hey, Inori.\If... just if...\I said, Let's leave the Undertakers together,\would you...\Gai gave me a name.\I had nothing, and he gave me a name. response:	He gave me a world.
context: I was... I was happy you came for me back there!\Hey, Inori.\If... just if...\I said, Let's leave the Undertakers together,\would you...\Gai gave me a name.\I had nothing, and he gave me a name.\He gave me a world. response:	So I can't go.
context: Hey, Inori.\If... just if...\I said, Let's leave the Undertakers together,\would you...\Gai gave me a name.\I had nothing, and he gave me a name.\He gave me a world.\So I can't go. response:	But...
context: If... just if...\I said, Let's leave the Undertakers together,\would you...\Gai gave me a name.\I had nothing, and he gave me a name.\He gave me a world.\So I can't go.\But... response:	What about that I belong to you and stay with you forever stuff, then?!
context: I said, Let's leave the Undertakers together,\would you...\Gai gave me a name.\I had nothing, and he gave me a name.\He gave me a world.\So I can't go.\But...\What about that I belong to you and stay with you forever stuff, then?! response:	What did... that... mean?
context: would you...\Gai gave me a name.\I had nothing, and he gave me a name.\He gave me a world.\So I can't go.\But...\What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean? response:	It can't be.
context: Gai gave me a name.\I had nothing, and he gave me a name.\He gave me a world.\So I can't go.\But...\What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean?\It can't be. response:	Gai...
context: I had nothing, and he gave me a name.\He gave me a world.\So I can't go.\But...\What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean?\It can't be.\Gai... response:	told me to do that.
context: He gave me a world.\So I can't go.\But...\What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean?\It can't be.\Gai...\told me to do that. response:	Seriously?
context: So I can't go.\But...\What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean?\It can't be.\Gai...\told me to do that.\Seriously? response:	Don't get too close to me.
context: But...\What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean?\It can't be.\Gai...\told me to do that.\Seriously?\Don't get too close to me. response:	B-But...
context: What about that I belong to you and stay with you forever stuff, then?!\What did... that... mean?\It can't be.\Gai...\told me to do that.\Seriously?\Don't get too close to me.\B-But... response:	Inori! Wait!
context: What did... that... mean?\It can't be.\Gai...\told me to do that.\Seriously?\Don't get too close to me.\B-But...\Inori! Wait! response:	No way...
context: It can't be.\Gai...\told me to do that.\Seriously?\Don't get too close to me.\B-But...\Inori! Wait!\No way... response:	What am I doing?
context: Gai...\told me to do that.\Seriously?\Don't get too close to me.\B-But...\Inori! Wait!\No way...\What am I doing? response:	Was this just another one of my one-sided misunderstandings?
context: told me to do that.\Seriously?\Don't get too close to me.\B-But...\Inori! Wait!\No way...\What am I doing?\Was this just another one of my one-sided misunderstandings? response:	How humiliating.
context: Seriously?\Don't get too close to me.\B-But...\Inori! Wait!\No way...\What am I doing?\Was this just another one of my one-sided misunderstandings?\How humiliating. response:	Why does everyone like Gai the most?!
context: Don't get too close to me.\B-But...\Inori! Wait!\No way...\What am I doing?\Was this just another one of my one-sided misunderstandings?\How humiliating.\Why does everyone like Gai the most?! response:	Why don't you watch where you're going?
context: B-But...\Inori! Wait!\No way...\What am I doing?\Was this just another one of my one-sided misunderstandings?\How humiliating.\Why does everyone like Gai the most?!\Why don't you watch where you're going? response:	Sorry!
context: Inori! Wait!\No way...\What am I doing?\Was this just another one of my one-sided misunderstandings?\How humiliating.\Why does everyone like Gai the most?!\Why don't you watch where you're going?\Sorry! response:	What are you looking at?!
context: No way...\What am I doing?\Was this just another one of my one-sided misunderstandings?\How humiliating.\Why does everyone like Gai the most?!\Why don't you watch where you're going?\Sorry!\What are you looking at?! response:	I'm so sorry! I'm really sorry...
context: What am I doing?\Was this just another one of my one-sided misunderstandings?\How humiliating.\Why does everyone like Gai the most?!\Why don't you watch where you're going?\Sorry!\What are you looking at?!\I'm so sorry! I'm really sorry... response:	Did you see that room?
context: Was this just another one of my one-sided misunderstandings?\How humiliating.\Why does everyone like Gai the most?!\Why don't you watch where you're going?\Sorry!\What are you looking at?!\I'm so sorry! I'm really sorry...\Did you see that room? response:	You really like Inori, huh? Poor boy.
context: How humiliating.\Why does everyone like Gai the most?!\Why don't you watch where you're going?\Sorry!\What are you looking at?!\I'm so sorry! I'm really sorry...\Did you see that room?\You really like Inori, huh? Poor boy. response:	Don't look at me.
context: Why does everyone like Gai the most?!\Why don't you watch where you're going?\Sorry!\What are you looking at?!\I'm so sorry! I'm really sorry...\Did you see that room?\You really like Inori, huh? Poor boy.\Don't look at me. response:	R-Right. I'm sorry.
context: Why don't you watch where you're going?\Sorry!\What are you looking at?!\I'm so sorry! I'm really sorry...\Did you see that room?\You really like Inori, huh? Poor boy.\Don't look at me.\R-Right. I'm sorry. response:	They spend the night together like that two or three times a month.
context: Sorry!\What are you looking at?!\I'm so sorry! I'm really sorry...\Did you see that room?\You really like Inori, huh? Poor boy.\Don't look at me.\R-Right. I'm sorry.\They spend the night together like that two or three times a month. response:	We pretend not to see it, but I think we've all noticed by now.
context: What are you looking at?!\I'm so sorry! I'm really sorry...\Did you see that room?\You really like Inori, huh? Poor boy.\Don't look at me.\R-Right. I'm sorry.\They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now. response:	Too bad for you.
context: I'm so sorry! I'm really sorry...\Did you see that room?\You really like Inori, huh? Poor boy.\Don't look at me.\R-Right. I'm sorry.\They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now.\Too bad for you. response:	Are you okay with it, Ayase?
context: Did you see that room?\You really like Inori, huh? Poor boy.\Don't look at me.\R-Right. I'm sorry.\They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now.\Too bad for you.\Are you okay with it, Ayase? response:	With what?
context: You really like Inori, huh? Poor boy.\Don't look at me.\R-Right. I'm sorry.\They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now.\Too bad for you.\Are you okay with it, Ayase?\With what? response:	Well, you like Gai, don't you?
context: Don't look at me.\R-Right. I'm sorry.\They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now.\Too bad for you.\Are you okay with it, Ayase?\With what?\Well, you like Gai, don't you? response:	What are you basing that on?!
context: R-Right. I'm sorry.\They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now.\Too bad for you.\Are you okay with it, Ayase?\With what?\Well, you like Gai, don't you?\What are you basing that on?! response:	Huh? You don't?
context: They spend the night together like that two or three times a month.\We pretend not to see it, but I think we've all noticed by now.\Too bad for you.\Are you okay with it, Ayase?\With what?\Well, you like Gai, don't you?\What are you basing that on?!\Huh? You don't? response:	That is not what's going on!
context: We pretend not to see it, but I think we've all noticed by now.\Too bad for you.\Are you okay with it, Ayase?\With what?\Well, you like Gai, don't you?\What are you basing that on?!\Huh? You don't?\That is not what's going on! response:	I respect Gai!
context: Too bad for you.\Are you okay with it, Ayase?\With what?\Well, you like Gai, don't you?\What are you basing that on?!\Huh? You don't?\That is not what's going on!\I respect Gai! response:	I don't get it.
context: Are you okay with it, Ayase?\With what?\Well, you like Gai, don't you?\What are you basing that on?!\Huh? You don't?\That is not what's going on!\I respect Gai!\I don't get it. response:	It's always Gai...
context: With what?\Well, you like Gai, don't you?\What are you basing that on?!\Huh? You don't?\That is not what's going on!\I respect Gai!\I don't get it.\It's always Gai... response:	I can't help but think it's just about
context: Well, you like Gai, don't you?\What are you basing that on?!\Huh? You don't?\That is not what's going on!\I respect Gai!\I don't get it.\It's always Gai...\I can't help but think it's just about response:	girls always going for the cocky jerks with handsome faces.
context: What are you basing that on?!\Huh? You don't?\That is not what's going on!\I respect Gai!\I don't get it.\It's always Gai...\I can't help but think it's just about\girls always going for the cocky jerks with handsome faces. response:	I know I'm probably wrong, though.
context: Huh? You don't?\That is not what's going on!\I respect Gai!\I don't get it.\It's always Gai...\I can't help but think it's just about\girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though. response:	I know it's probably because I'm just a kid who can't see anything, but...
context: That is not what's going on!\I respect Gai!\I don't get it.\It's always Gai...\I can't help but think it's just about\girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but... response:	You can look.
context: I respect Gai!\I don't get it.\It's always Gai...\I can't help but think it's just about\girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but...\You can look. response:	If you want to find out, start by winning tomorrow's mock battle.
context: I don't get it.\It's always Gai...\I can't help but think it's just about\girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but...\You can look.\If you want to find out, start by winning tomorrow's mock battle. response:	If you win, you'll officially be one of us.
context: It's always Gai...\I can't help but think it's just about\girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but...\You can look.\If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us. response:	I'm sure you'll start seeing the light then.
context: I can't help but think it's just about\girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but...\You can look.\If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then. response:	No thanks.
context: girls always going for the cocky jerks with handsome faces.\I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but...\You can look.\If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then.\No thanks. response:	My policy is to never get help from anyone.
context: I know I'm probably wrong, though.\I know it's probably because I'm just a kid who can't see anything, but...\You can look.\If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then.\No thanks.\My policy is to never get help from anyone. response:	But I don't exactly look elegant crawling up into it myself,
context: I know it's probably because I'm just a kid who can't see anything, but...\You can look.\If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then.\No thanks.\My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself, response:	so I don't like people watching me, either.
context: You can look.\If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then.\No thanks.\My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either. response:	Would you mind leaving?
context: If you want to find out, start by winning tomorrow's mock battle.\If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then.\No thanks.\My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either.\Would you mind leaving? response:	Good night.
context: If you win, you'll officially be one of us.\I'm sure you'll start seeing the light then.\No thanks.\My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either.\Would you mind leaving?\Good night. response:	Good night.
context: I'm sure you'll start seeing the light then.\No thanks.\My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either.\Would you mind leaving?\Good night.\Good night. response:	You look more like her every day.
context: No thanks.\My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either.\Would you mind leaving?\Good night.\Good night.\You look more like her every day. response:	Does it bother you?
context: My policy is to never get help from anyone.\But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either.\Would you mind leaving?\Good night.\Good night.\You look more like her every day.\Does it bother you? response:	I don't know.
context: But I don't exactly look elegant crawling up into it myself,\so I don't like people watching me, either.\Would you mind leaving?\Good night.\Good night.\You look more like her every day.\Does it bother you?\I don't know. response:	Gai!
context: so I don't like people watching me, either.\Would you mind leaving?\Good night.\Good night.\You look more like her every day.\Does it bother you?\I don't know.\Gai! response:	It's one squadron.
context: Would you mind leaving?\Good night.\Good night.\You look more like her every day.\Does it bother you?\I don't know.\Gai!\It's one squadron. response:	Just what we planned for.
context: Good night.\Good night.\You look more like her every day.\Does it bother you?\I don't know.\Gai!\It's one squadron.\Just what we planned for. response:	The OAU and the Leaving Nations. These are principled people.
context: Good night.\You look more like her every day.\Does it bother you?\I don't know.\Gai!\It's one squadron.\Just what we planned for.\The OAU and the Leaving Nations. These are principled people. response:	All right, time to start the mock battle.
context: You look more like her every day.\Does it bother you?\I don't know.\Gai!\It's one squadron.\Just what we planned for.\The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle. response:	This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,
context: Does it bother you?\I don't know.\Gai!\It's one squadron.\Just what we planned for.\The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte, response:	and assumes that you end up having to face an Endlave by yourself.
context: I don't know.\Gai!\It's one squadron.\Just what we planned for.\The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself. response:	If you can get past Steiner
context: Gai!\It's one squadron.\Just what we planned for.\The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner response:	and can take shelter in the vehicle behind me, you win.
context: It's one squadron.\Just what we planned for.\The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner\and can take shelter in the vehicle behind me, you win. response:	Even paint bullets can knock you unconscious if they hit you.
context: Just what we planned for.\The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner\and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you. response:	So concentrate.
context: The OAU and the Leaving Nations. These are principled people.\All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner\and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you.\So concentrate. response:	Got it?
context: All right, time to start the mock battle.\This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner\and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you.\So concentrate.\Got it? response:	Roger.
context: This battle is modeled on Scenario D-14 in the operation to take the Leucocyte,\and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner\and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you.\So concentrate.\Got it?\Roger. response:	Shu...
context: and assumes that you end up having to face an Endlave by yourself.\If you can get past Steiner\and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you.\So concentrate.\Got it?\Roger.\Shu... response:	That's asking the impossible. Even I can't dodge Ayase's Endlave.
context: If you can get past Steiner\and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you.\So concentrate.\Got it?\Roger.\Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave. response:	And she's gotten faster since she got Steiner, too.
context: and can take shelter in the vehicle behind me, you win.\Even paint bullets can knock you unconscious if they hit you.\So concentrate.\Got it?\Roger.\Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too. response:	Aya! You ready to connect?
context: Even paint bullets can knock you unconscious if they hit you.\So concentrate.\Got it?\Roger.\Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too.\Aya! You ready to connect? response:	Do it.
context: So concentrate.\Got it?\Roger.\Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too.\Aya! You ready to connect?\Do it. response:	Shall we begin?
context: Got it?\Roger.\Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too.\Aya! You ready to connect?\Do it.\Shall we begin? response:	Okay then. Ready...
context: Roger.\Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too.\Aya! You ready to connect?\Do it.\Shall we begin?\Okay then. Ready... response:	Go!
context: Shu...\That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too.\Aya! You ready to connect?\Do it.\Shall we begin?\Okay then. Ready...\Go! response:	You're showing me your back?
context: That's asking the impossible. Even I can't dodge Ayase's Endlave.\And she's gotten faster since she got Steiner, too.\Aya! You ready to connect?\Do it.\Shall we begin?\Okay then. Ready...\Go!\You're showing me your back? response:	The way you're running away is pathetic!
context: And she's gotten faster since she got Steiner, too.\Aya! You ready to connect?\Do it.\Shall we begin?\Okay then. Ready...\Go!\You're showing me your back?\The way you're running away is pathetic! response:	It's just unreasonable to ask me to manage without a weapon!
context: Aya! You ready to connect?\Do it.\Shall we begin?\Okay then. Ready...\Go!\You're showing me your back?\The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon! response:	Look sharp! You'll be dead if you don't stop messing around!
context: Do it.\Shall we begin?\Okay then. Ready...\Go!\You're showing me your back?\The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around! response:	What now? What should I do?!
context: Shall we begin?\Okay then. Ready...\Go!\You're showing me your back?\The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?! response:	Shu?!
context: Okay then. Ready...\Go!\You're showing me your back?\The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?!\Shu?! response:	Argo!
context: Go!\You're showing me your back?\The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?!\Shu?!\Argo! response:	Sorry!
context: You're showing me your back?\The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?!\Shu?!\Argo!\Sorry! response:	Ah...
context: The way you're running away is pathetic!\It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?!\Shu?!\Argo!\Sorry!\Ah... response:	Goal!
context: It's just unreasonable to ask me to manage without a weapon!\Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?!\Shu?!\Argo!\Sorry!\Ah...\Goal! response:	Huh?
context: Look sharp! You'll be dead if you don't stop messing around!\What now? What should I do?!\Shu?!\Argo!\Sorry!\Ah...\Goal!\Huh? response:	He did it...
context: What now? What should I do?!\Shu?!\Argo!\Sorry!\Ah...\Goal!\Huh?\He did it... response:	Seriously?
context: Shu?!\Argo!\Sorry!\Ah...\Goal!\Huh?\He did it...\Seriously? response:	Sorry. I cheated.
context: Argo!\Sorry!\Ah...\Goal!\Huh?\He did it...\Seriously?\Sorry. I cheated. response:	No problem. You just used something that makes you who you are.
context: Sorry!\Ah...\Goal!\Huh?\He did it...\Seriously?\Sorry. I cheated.\No problem. You just used something that makes you who you are. response:	A light that brings darkness... am I really a gloomy guy deep down?
context: Ah...\Goal!\Huh?\He did it...\Seriously?\Sorry. I cheated.\No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down? response:	Starting today, you're one of us.
context: Goal!\Huh?\He did it...\Seriously?\Sorry. I cheated.\No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us. response:	Ow!
context: Huh?\He did it...\Seriously?\Sorry. I cheated.\No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us.\Ow! response:	Here, your reward.
context: He did it...\Seriously?\Sorry. I cheated.\No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us.\Ow!\Here, your reward. response:	If it's important to you, hang on to it from now on and don't lose it.
context: Seriously?\Sorry. I cheated.\No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us.\Ow!\Here, your reward.\If it's important to you, hang on to it from now on and don't lose it. response:	Right.
context: Sorry. I cheated.\No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us.\Ow!\Here, your reward.\If it's important to you, hang on to it from now on and don't lose it.\Right. response:	Playing teammates? Looks like fun.
context: No problem. You just used something that makes you who you are.\A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us.\Ow!\Here, your reward.\If it's important to you, hang on to it from now on and don't lose it.\Right.\Playing teammates? Looks like fun. response:	So you're awake, Kenji.
context: A light that brings darkness... am I really a gloomy guy deep down?\Starting today, you're one of us.\Ow!\Here, your reward.\If it's important to you, hang on to it from now on and don't lose it.\Right.\Playing teammates? Looks like fun.\So you're awake, Kenji. response:	Kenji?
context: Starting today, you're one of us.\Ow!\Here, your reward.\If it's important to you, hang on to it from now on and don't lose it.\Right.\Playing teammates? Looks like fun.\So you're awake, Kenji.\Kenji? response:	It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.
context: Ow!\Here, your reward.\If it's important to you, hang on to it from now on and don't lose it.\Right.\Playing teammates? Looks like fun.\So you're awake, Kenji.\Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four. response:	What do you mean, playing teammates?
context: Here, your reward.\If it's important to you, hang on to it from now on and don't lose it.\Right.\Playing teammates? Looks like fun.\So you're awake, Kenji.\Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates? response:	Not too sharp, are you? In a bunch of ways.
context: If it's important to you, hang on to it from now on and don't lose it.\Right.\Playing teammates? Looks like fun.\So you're awake, Kenji.\Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways. response:	What's that Gai up to?
context: Right.\Playing teammates? Looks like fun.\So you're awake, Kenji.\Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways.\What's that Gai up to? response:	Hey!
context: Playing teammates? Looks like fun.\So you're awake, Kenji.\Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways.\What's that Gai up to?\Hey! response:	Guys, we've got trouble!
context: So you're awake, Kenji.\Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways.\What's that Gai up to?\Hey!\Guys, we've got trouble! response:	What's wrong?
context: Kenji?\It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways.\What's that Gai up to?\Hey!\Guys, we've got trouble!\What's wrong? response:	Did something happen?
context: It's Kido Kenji, Shu. The person you rescued from Isolation Facility Four.\What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways.\What's that Gai up to?\Hey!\Guys, we've got trouble!\What's wrong?\Did something happen? response:	The Leucocyte was just fired at Point Delta!
context: What do you mean, playing teammates?\Not too sharp, are you? In a bunch of ways.\What's that Gai up to?\Hey!\Guys, we've got trouble!\What's wrong?\Did something happen?\The Leucocyte was just fired at Point Delta! response:	At the place where Gai is?
context: Not too sharp, are you? In a bunch of ways.\What's that Gai up to?\Hey!\Guys, we've got trouble!\What's wrong?\Did something happen?\The Leucocyte was just fired at Point Delta!\At the place where Gai is? response:	This...
