context: A giant, centipede-like demon pulled me... response:	into the depths of the Hidden Well in the shrine.
context: They're worshipping me!\So... She's dead.\Here! I'll share with you.\What?! What's with all that food?\The villagers' offerings.\Say, can't you come down? Let's eat together.\You're up to somethin', I know it.\Am not. response:	Only...
context: So... She's dead.\Here! I'll share with you.\What?! What's with all that food?\The villagers' offerings.\Say, can't you come down? Let's eat together.\You're up to somethin', I know it.\Am not.\Only... response:	You do hate me, don't you?
context: Here! I'll share with you.\What?! What's with all that food?\The villagers' offerings.\Say, can't you come down? Let's eat together.\You're up to somethin', I know it.\Am not.\Only...\You do hate me, don't you? response:	You've nooo idea how much!
context: What?! What's with all that food?\The villagers' offerings.\Say, can't you come down? Let's eat together.\You're up to somethin', I know it.\Am not.\Only...\You do hate me, don't you?\You've nooo idea how much! response:	Look...
context: The villagers' offerings.\Say, can't you come down? Let's eat together.\You're up to somethin', I know it.\Am not.\Only...\You do hate me, don't you?\You've nooo idea how much!\Look... response:	The one you hate is not me, but this lady named Kikyo.
context: Say, can't you come down? Let's eat together.\You're up to somethin', I know it.\Am not.\Only...\You do hate me, don't you?\You've nooo idea how much!\Look...\The one you hate is not me, but this lady named Kikyo. response:	I'm Kagome!
context: You're up to somethin', I know it.\Am not.\Only...\You do hate me, don't you?\You've nooo idea how much!\Look...\The one you hate is not me, but this lady named Kikyo.\I'm Kagome! response:	I'm not Kikyo!
context: Am not.\Only...\You do hate me, don't you?\You've nooo idea how much!\Look...\The one you hate is not me, but this lady named Kikyo.\I'm Kagome!\I'm not Kikyo! response:	So won't you be a little nicer to me?
context: Only...\You do hate me, don't you?\You've nooo idea how much!\Look...\The one you hate is not me, but this lady named Kikyo.\I'm Kagome!\I'm not Kikyo!\So won't you be a little nicer to me? response:	Are you stupid or what?!
context: You do hate me, don't you?\You've nooo idea how much!\Look...\The one you hate is not me, but this lady named Kikyo.\I'm Kagome!\I'm not Kikyo!\So won't you be a little nicer to me?\Are you stupid or what?! response:	I don't care who you are!
context: You've nooo idea how much!\Look...\The one you hate is not me, but this lady named Kikyo.\I'm Kagome!\I'm not Kikyo!\So won't you be a little nicer to me?\Are you stupid or what?!\I don't care who you are! response:	In order to get the Sacred Jewel, I have to be merciless!
context: Look...\The one you hate is not me, but this lady named Kikyo.\I'm Kagome!\I'm not Kikyo!\So won't you be a little nicer to me?\Are you stupid or what?!\I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless! response:	I see.
context: The one you hate is not me, but this lady named Kikyo.\I'm Kagome!\I'm not Kikyo!\So won't you be a little nicer to me?\Are you stupid or what?!\I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless!\I see. response:	In case you should decide to get violent, then...
context: I'm Kagome!\I'm not Kikyo!\So won't you be a little nicer to me?\Are you stupid or what?!\I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless!\I see.\In case you should decide to get violent, then... response:	all I have to do is say sit, and...
context: I'm not Kikyo!\So won't you be a little nicer to me?\Are you stupid or what?!\I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless!\I see.\In case you should decide to get violent, then...\all I have to do is say sit, and... response:	Oops, sorry! I didn't mean that.
context: So won't you be a little nicer to me?\Are you stupid or what?!\I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless!\I see.\In case you should decide to get violent, then...\all I have to do is say sit, and...\Oops, sorry! I didn't mean that. response:	Nnyagh!
context: Are you stupid or what?!\I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless!\I see.\In case you should decide to get violent, then...\all I have to do is say sit, and...\Oops, sorry! I didn't mean that.\Nnyagh! response:	It's been two days since I arrived here.
context: I don't care who you are!\In order to get the Sacred Jewel, I have to be merciless!\I see.\In case you should decide to get violent, then...\all I have to do is say sit, and...\Oops, sorry! I didn't mean that.\Nnyagh!\It's been two days since I arrived here. response:	Gramps.
context: In order to get the Sacred Jewel, I have to be merciless!\I see.\In case you should decide to get violent, then...\all I have to do is say sit, and...\Oops, sorry! I didn't mean that.\Nnyagh!\It's been two days since I arrived here.\Gramps. response:	Sota... Mom...
context: I see.\In case you should decide to get violent, then...\all I have to do is say sit, and...\Oops, sorry! I didn't mean that.\Nnyagh!\It's been two days since I arrived here.\Gramps.\Sota... Mom... response:	They must be so worried.
context: In case you should decide to get violent, then...\all I have to do is say sit, and...\Oops, sorry! I didn't mean that.\Nnyagh!\It's been two days since I arrived here.\Gramps.\Sota... Mom...\They must be so worried. response:	I've gotta find a way to get back home.
context: all I have to do is say sit, and...\Oops, sorry! I didn't mean that.\Nnyagh!\It's been two days since I arrived here.\Gramps.\Sota... Mom...\They must be so worried.\I've gotta find a way to get back home. response:	Great. They've followed the scent of the Jewel.
context: Oops, sorry! I didn't mean that.\Nnyagh!\It's been two days since I arrived here.\Gramps.\Sota... Mom...\They must be so worried.\I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel. response:	Nasty vermin...
context: Nnyagh!\It's been two days since I arrived here.\Gramps.\Sota... Mom...\They must be so worried.\I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel.\Nasty vermin... response:	The Inuyasha Forest... The Dry Well...
context: It's been two days since I arrived here.\Gramps.\Sota... Mom...\They must be so worried.\I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel.\Nasty vermin...\The Inuyasha Forest... The Dry Well... response:	I climbed out of there...
context: Gramps.\Sota... Mom...\They must be so worried.\I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel.\Nasty vermin...\The Inuyasha Forest... The Dry Well...\I climbed out of there... response:	so shouldn't it have a clue about how to get home?
context: Sota... Mom...\They must be so worried.\I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel.\Nasty vermin...\The Inuyasha Forest... The Dry Well...\I climbed out of there...\so shouldn't it have a clue about how to get home? response:	Kagome?
context: They must be so worried.\I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel.\Nasty vermin...\The Inuyasha Forest... The Dry Well...\I climbed out of there...\so shouldn't it have a clue about how to get home?\Kagome? response:	Kagome!
context: I've gotta find a way to get back home.\Great. They've followed the scent of the Jewel.\Nasty vermin...\The Inuyasha Forest... The Dry Well...\I climbed out of there...\so shouldn't it have a clue about how to get home?\Kagome?\Kagome! response:	She's nowhere to be found in the village.
context: Great. They've followed the scent of the Jewel.\Nasty vermin...\The Inuyasha Forest... The Dry Well...\I climbed out of there...\so shouldn't it have a clue about how to get home?\Kagome?\Kagome!\She's nowhere to be found in the village. response:	She couldn't have left the village alone?
context: Nasty vermin...\The Inuyasha Forest... The Dry Well...\I climbed out of there...\so shouldn't it have a clue about how to get home?\Kagome?\Kagome!\She's nowhere to be found in the village.\She couldn't have left the village alone? response:	I ought to have explained to her in more detail...
context: The Inuyasha Forest... The Dry Well...\I climbed out of there...\so shouldn't it have a clue about how to get home?\Kagome?\Kagome!\She's nowhere to be found in the village.\She couldn't have left the village alone?\I ought to have explained to her in more detail... response:	about the evil ones who seek the Sacred Jewel.
context: I climbed out of there...\so shouldn't it have a clue about how to get home?\Kagome?\Kagome!\She's nowhere to be found in the village.\She couldn't have left the village alone?\I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel. response:	Found it!
context: so shouldn't it have a clue about how to get home?\Kagome?\Kagome!\She's nowhere to be found in the village.\She couldn't have left the village alone?\I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel.\Found it! response:	The Dry Well I came out of.
context: Kagome?\Kagome!\She's nowhere to be found in the village.\She couldn't have left the village alone?\I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel.\Found it!\The Dry Well I came out of. response:	Oww!
context: Kagome!\She's nowhere to be found in the village.\She couldn't have left the village alone?\I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel.\Found it!\The Dry Well I came out of.\Oww! response:	Boss!
context: She's nowhere to be found in the village.\She couldn't have left the village alone?\I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel.\Found it!\The Dry Well I came out of.\Oww!\Boss! response:	I captured her just like you ordered!
context: She couldn't have left the village alone?\I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel.\Found it!\The Dry Well I came out of.\Oww!\Boss!\I captured her just like you ordered! response:	She really has some strange clothes on.
context: I ought to have explained to her in more detail...\about the evil ones who seek the Sacred Jewel.\Found it!\The Dry Well I came out of.\Oww!\Boss!\I captured her just like you ordered!\She really has some strange clothes on. response:	What's this flimsy wrap-around?
context: about the evil ones who seek the Sacred Jewel.\Found it!\The Dry Well I came out of.\Oww!\Boss!\I captured her just like you ordered!\She really has some strange clothes on.\What's this flimsy wrap-around? response:	Cut it out, you pervert!
context: Found it!\The Dry Well I came out of.\Oww!\Boss!\I captured her just like you ordered!\She really has some strange clothes on.\What's this flimsy wrap-around?\Cut it out, you pervert! response:	Well, you asked for it! Exposing yourself like that!
context: The Dry Well I came out of.\Oww!\Boss!\I captured her just like you ordered!\She really has some strange clothes on.\What's this flimsy wrap-around?\Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that! response:	You wanna marry me?
context: Oww!\Boss!\I captured her just like you ordered!\She really has some strange clothes on.\What's this flimsy wrap-around?\Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that!\You wanna marry me? response:	Wh-Who are you guys?
context: Boss!\I captured her just like you ordered!\She really has some strange clothes on.\What's this flimsy wrap-around?\Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that!\You wanna marry me?\Wh-Who are you guys? response:	Give me the Jewel!
context: I captured her just like you ordered!\She really has some strange clothes on.\What's this flimsy wrap-around?\Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that!\You wanna marry me?\Wh-Who are you guys?\Give me the Jewel! response:	Hey, wait!
context: She really has some strange clothes on.\What's this flimsy wrap-around?\Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that!\You wanna marry me?\Wh-Who are you guys?\Give me the Jewel!\Hey, wait! response:	Hey Boss! Slice'er in half in one swift stroke.
context: What's this flimsy wrap-around?\Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that!\You wanna marry me?\Wh-Who are you guys?\Give me the Jewel!\Hey, wait!\Hey Boss! Slice'er in half in one swift stroke. response:	Let me go!
context: Cut it out, you pervert!\Well, you asked for it! Exposing yourself like that!\You wanna marry me?\Wh-Who are you guys?\Give me the Jewel!\Hey, wait!\Hey Boss! Slice'er in half in one swift stroke.\Let me go! response:	Start praying!
context: Well, you asked for it! Exposing yourself like that!\You wanna marry me?\Wh-Who are you guys?\Give me the Jewel!\Hey, wait!\Hey Boss! Slice'er in half in one swift stroke.\Let me go!\Start praying! response:	B-Boss!
context: You wanna marry me?\Wh-Who are you guys?\Give me the Jewel!\Hey, wait!\Hey Boss! Slice'er in half in one swift stroke.\Let me go!\Start praying!\B-Boss! response:	Made a mistake...
context: Wh-Who are you guys?\Give me the Jewel!\Hey, wait!\Hey Boss! Slice'er in half in one swift stroke.\Let me go!\Start praying!\B-Boss!\Made a mistake... response:	Boss, where are you aiming?!
context: Give me the Jewel!\Hey, wait!\Hey Boss! Slice'er in half in one swift stroke.\Let me go!\Start praying!\B-Boss!\Made a mistake...\Boss, where are you aiming?! response:	It's her!
context: Hey, wait!\Hey Boss! Slice'er in half in one swift stroke.\Let me go!\Start praying!\B-Boss!\Made a mistake...\Boss, where are you aiming?!\It's her! response:	Aren't you gonna slay this girl?!
context: Hey Boss! Slice'er in half in one swift stroke.\Let me go!\Start praying!\B-Boss!\Made a mistake...\Boss, where are you aiming?!\It's her!\Aren't you gonna slay this girl?! response:	There's something wrong with your boss.
context: Let me go!\Start praying!\B-Boss!\Made a mistake...\Boss, where are you aiming?!\It's her!\Aren't you gonna slay this girl?!\There's something wrong with your boss. response:	Snap out of it or it'll be your turn next.
context: Start praying!\B-Boss!\Made a mistake...\Boss, where are you aiming?!\It's her!\Aren't you gonna slay this girl?!\There's something wrong with your boss.\Snap out of it or it'll be your turn next. response:	Don't you get it?!
context: B-Boss!\Made a mistake...\Boss, where are you aiming?!\It's her!\Aren't you gonna slay this girl?!\There's something wrong with your boss.\Snap out of it or it'll be your turn next.\Don't you get it?! response:	No!
context: Made a mistake...\Boss, where are you aiming?!\It's her!\Aren't you gonna slay this girl?!\There's something wrong with your boss.\Snap out of it or it'll be your turn next.\Don't you get it?!\No! response:	Will somebody tell me...
context: Boss, where are you aiming?!\It's her!\Aren't you gonna slay this girl?!\There's something wrong with your boss.\Snap out of it or it'll be your turn next.\Don't you get it?!\No!\Will somebody tell me... response:	why is it that...
context: It's her!\Aren't you gonna slay this girl?!\There's something wrong with your boss.\Snap out of it or it'll be your turn next.\Don't you get it?!\No!\Will somebody tell me...\why is it that... response:	me, who hasn't done a thing...
context: Aren't you gonna slay this girl?!\There's something wrong with your boss.\Snap out of it or it'll be your turn next.\Don't you get it?!\No!\Will somebody tell me...\why is it that...\me, who hasn't done a thing... response:	has to go through this??
context: There's something wrong with your boss.\Snap out of it or it'll be your turn next.\Don't you get it?!\No!\Will somebody tell me...\why is it that...\me, who hasn't done a thing...\has to go through this?? response:	Oh, great. That stupid girl!
context: Snap out of it or it'll be your turn next.\Don't you get it?!\No!\Will somebody tell me...\why is it that...\me, who hasn't done a thing...\has to go through this??\Oh, great. That stupid girl! response:	Where'd she go with the Jewel?!
context: Don't you get it?!\No!\Will somebody tell me...\why is it that...\me, who hasn't done a thing...\has to go through this??\Oh, great. That stupid girl!\Where'd she go with the Jewel?! response:	Are you all right?!
context: No!\Will somebody tell me...\why is it that...\me, who hasn't done a thing...\has to go through this??\Oh, great. That stupid girl!\Where'd she go with the Jewel?!\Are you all right?! response:	The exit is blocked!
context: Will somebody tell me...\why is it that...\me, who hasn't done a thing...\has to go through this??\Oh, great. That stupid girl!\Where'd she go with the Jewel?!\Are you all right?!\The exit is blocked! response:	Can you stand?
context: why is it that...\me, who hasn't done a thing...\has to go through this??\Oh, great. That stupid girl!\Where'd she go with the Jewel?!\Are you all right?!\The exit is blocked!\Can you stand? response:	Thank you very much. Thank you.
context: me, who hasn't done a thing...\has to go through this??\Oh, great. That stupid girl!\Where'd she go with the Jewel?!\Are you all right?!\The exit is blocked!\Can you stand?\Thank you very much. Thank you. response:	The Jewel... Give me the Sacred Jewel...
context: has to go through this??\Oh, great. That stupid girl!\Where'd she go with the Jewel?!\Are you all right?!\The exit is blocked!\Can you stand?\Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel... response:	He wants this Jewel.
context: Oh, great. That stupid girl!\Where'd she go with the Jewel?!\Are you all right?!\The exit is blocked!\Can you stand?\Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel...\He wants this Jewel. response:	If I get rid of it, he won't come after me.
context: Where'd she go with the Jewel?!\Are you all right?!\The exit is blocked!\Can you stand?\Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel...\He wants this Jewel.\If I get rid of it, he won't come after me. response:	And not just demons...
context: Are you all right?!\The exit is blocked!\Can you stand?\Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel...\He wants this Jewel.\If I get rid of it, he won't come after me.\And not just demons... response:	but also humans, who have evil in their hearts.
context: The exit is blocked!\Can you stand?\Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel...\He wants this Jewel.\If I get rid of it, he won't come after me.\And not just demons...\but also humans, who have evil in their hearts. response:	All will come seeking the Jewel.
context: Can you stand?\Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel...\He wants this Jewel.\If I get rid of it, he won't come after me.\And not just demons...\but also humans, who have evil in their hearts.\All will come seeking the Jewel. response:	But why me?!
context: Thank you very much. Thank you.\The Jewel... Give me the Sacred Jewel...\He wants this Jewel.\If I get rid of it, he won't come after me.\And not just demons...\but also humans, who have evil in their hearts.\All will come seeking the Jewel.\But why me?! response:	Anyway, I have to get out of here!
context: The Jewel... Give me the Sacred Jewel...\He wants this Jewel.\If I get rid of it, he won't come after me.\And not just demons...\but also humans, who have evil in their hearts.\All will come seeking the Jewel.\But why me?!\Anyway, I have to get out of here! response:	Hey-y-y!
context: He wants this Jewel.\If I get rid of it, he won't come after me.\And not just demons...\but also humans, who have evil in their hearts.\All will come seeking the Jewel.\But why me?!\Anyway, I have to get out of here!\Hey-y-y! response:	Huh...
context: If I get rid of it, he won't come after me.\And not just demons...\but also humans, who have evil in their hearts.\All will come seeking the Jewel.\But why me?!\Anyway, I have to get out of here!\Hey-y-y!\Huh... response:	I know!
context: And not just demons...\but also humans, who have evil in their hearts.\All will come seeking the Jewel.\But why me?!\Anyway, I have to get out of here!\Hey-y-y!\Huh...\I know! response:	Take him!
context: but also humans, who have evil in their hearts.\All will come seeking the Jewel.\But why me?!\Anyway, I have to get out of here!\Hey-y-y!\Huh...\I know!\Take him! response:	The Jewel... The Sacred Jewel!
context: All will come seeking the Jewel.\But why me?!\Anyway, I have to get out of here!\Hey-y-y!\Huh...\I know!\Take him!\The Jewel... The Sacred Jewel! response:	Now! Let's all push against the wall!
context: But why me?!\Anyway, I have to get out of here!\Hey-y-y!\Huh...\I know!\Take him!\The Jewel... The Sacred Jewel!\Now! Let's all push against the wall! response:	Boss! It's no good!
context: Anyway, I have to get out of here!\Hey-y-y!\Huh...\I know!\Take him!\The Jewel... The Sacred Jewel!\Now! Let's all push against the wall!\Boss! It's no good! response:	I am not your boss!
context: Hey-y-y!\Huh...\I know!\Take him!\The Jewel... The Sacred Jewel!\Now! Let's all push against the wall!\Boss! It's no good!\I am not your boss! response:	Inuyasha!
context: Huh...\I know!\Take him!\The Jewel... The Sacred Jewel!\Now! Let's all push against the wall!\Boss! It's no good!\I am not your boss!\Inuyasha! response:	Boss, we're going ahead.
context: I know!\Take him!\The Jewel... The Sacred Jewel!\Now! Let's all push against the wall!\Boss! It's no good!\I am not your boss!\Inuyasha!\Boss, we're going ahead. response:	Thanks again...
context: Take him!\The Jewel... The Sacred Jewel!\Now! Let's all push against the wall!\Boss! It's no good!\I am not your boss!\Inuyasha!\Boss, we're going ahead.\Thanks again... response:	You came to rescue me?
context: The Jewel... The Sacred Jewel!\Now! Let's all push against the wall!\Boss! It's no good!\I am not your boss!\Inuyasha!\Boss, we're going ahead.\Thanks again...\You came to rescue me? response:	Is it safe? The Sacred Jewel!
context: Now! Let's all push against the wall!\Boss! It's no good!\I am not your boss!\Inuyasha!\Boss, we're going ahead.\Thanks again...\You came to rescue me?\Is it safe? The Sacred Jewel! response:	Huh?
context: Boss! It's no good!\I am not your boss!\Inuyasha!\Boss, we're going ahead.\Thanks again...\You came to rescue me?\Is it safe? The Sacred Jewel!\Huh? response:	I'm asking you if the Sacred Jewel is safe!
context: I am not your boss!\Inuyasha!\Boss, we're going ahead.\Thanks again...\You came to rescue me?\Is it safe? The Sacred Jewel!\Huh?\I'm asking you if the Sacred Jewel is safe! response:	Well...
context: Inuyasha!\Boss, we're going ahead.\Thanks again...\You came to rescue me?\Is it safe? The Sacred Jewel!\Huh?\I'm asking you if the Sacred Jewel is safe!\Well... response:	What's that smell?! That putrid smell!
context: Boss, we're going ahead.\Thanks again...\You came to rescue me?\Is it safe? The Sacred Jewel!\Huh?\I'm asking you if the Sacred Jewel is safe!\Well...\What's that smell?! That putrid smell! response:	What?!
context: Thanks again...\You came to rescue me?\Is it safe? The Sacred Jewel!\Huh?\I'm asking you if the Sacred Jewel is safe!\Well...\What's that smell?! That putrid smell!\What?! response:	His heart must've been torn apart a couple of nights ago.
context: You came to rescue me?\Is it safe? The Sacred Jewel!\Huh?\I'm asking you if the Sacred Jewel is safe!\Well...\What's that smell?! That putrid smell!\What?!\His heart must've been torn apart a couple of nights ago. response:	Then it nested there.
context: Is it safe? The Sacred Jewel!\Huh?\I'm asking you if the Sacred Jewel is safe!\Well...\What's that smell?! That putrid smell!\What?!\His heart must've been torn apart a couple of nights ago.\Then it nested there. response:	He was being manipulated?
context: Huh?\I'm asking you if the Sacred Jewel is safe!\Well...\What's that smell?! That putrid smell!\What?!\His heart must've been torn apart a couple of nights ago.\Then it nested there.\He was being manipulated? response:	I thought something was strange about him.
context: I'm asking you if the Sacred Jewel is safe!\Well...\What's that smell?! That putrid smell!\What?!\His heart must've been torn apart a couple of nights ago.\Then it nested there.\He was being manipulated?\I thought something was strange about him. response:	Corpse Crows aren't too strong.
context: Well...\What's that smell?! That putrid smell!\What?!\His heart must've been torn apart a couple of nights ago.\Then it nested there.\He was being manipulated?\I thought something was strange about him.\Corpse Crows aren't too strong. response:	They use dead bodies to fight. Disgusting!
context: What's that smell?! That putrid smell!\What?!\His heart must've been torn apart a couple of nights ago.\Then it nested there.\He was being manipulated?\I thought something was strange about him.\Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting! response:	It got away! Aren't you going after it?
context: What?!\His heart must've been torn apart a couple of nights ago.\Then it nested there.\He was being manipulated?\I thought something was strange about him.\Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it? response:	I can't go after every stupid demon.
context: His heart must've been torn apart a couple of nights ago.\Then it nested there.\He was being manipulated?\I thought something was strange about him.\Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it?\I can't go after every stupid demon. response:	There's only one of me, after all.
context: Then it nested there.\He was being manipulated?\I thought something was strange about him.\Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it?\I can't go after every stupid demon.\There's only one of me, after all. response:	But...
context: He was being manipulated?\I thought something was strange about him.\Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it?\I can't go after every stupid demon.\There's only one of me, after all.\But... response:	Forget it!
context: I thought something was strange about him.\Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it?\I can't go after every stupid demon.\There's only one of me, after all.\But...\Forget it! response:	I'm the one doing the fighting! So I decide!
context: Corpse Crows aren't too strong.\They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it?\I can't go after every stupid demon.\There's only one of me, after all.\But...\Forget it!\I'm the one doing the fighting! So I decide! response:	Now what about the Sacred Jewel?
context: They use dead bodies to fight. Disgusting!\It got away! Aren't you going after it?\I can't go after every stupid demon.\There's only one of me, after all.\But...\Forget it!\I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel? response:	Ahh!
context: It got away! Aren't you going after it?\I can't go after every stupid demon.\There's only one of me, after all.\But...\Forget it!\I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel?\Ahh! response:	Is that the Jewel in its beak?!
context: I can't go after every stupid demon.\There's only one of me, after all.\But...\Forget it!\I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel?\Ahh!\Is that the Jewel in its beak?! response:	Why, you!
context: There's only one of me, after all.\But...\Forget it!\I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel?\Ahh!\Is that the Jewel in its beak?!\Why, you! response:	I never said anything about having it on me.
context: But...\Forget it!\I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel?\Ahh!\Is that the Jewel in its beak?!\Why, you!\I never said anything about having it on me. response:	Follow me!
context: Forget it!\I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel?\Ahh!\Is that the Jewel in its beak?!\Why, you!\I never said anything about having it on me.\Follow me! response:	No way it's gettin' away.
context: I'm the one doing the fighting! So I decide!\Now what about the Sacred Jewel?\Ahh!\Is that the Jewel in its beak?!\Why, you!\I never said anything about having it on me.\Follow me!\No way it's gettin' away. response:	What're you doing?!
context: Now what about the Sacred Jewel?\Ahh!\Is that the Jewel in its beak?!\Why, you!\I never said anything about having it on me.\Follow me!\No way it's gettin' away.\What're you doing?! response:	Hurry and shoot that thing down!
context: Ahh!\Is that the Jewel in its beak?!\Why, you!\I never said anything about having it on me.\Follow me!\No way it's gettin' away.\What're you doing?!\Hurry and shoot that thing down! response:	Are you crazy?!
context: Is that the Jewel in its beak?!\Why, you!\I never said anything about having it on me.\Follow me!\No way it's gettin' away.\What're you doing?!\Hurry and shoot that thing down!\Are you crazy?! response:	I've never used a bow and arrow in my life.
context: Why, you!\I never said anything about having it on me.\Follow me!\No way it's gettin' away.\What're you doing?!\Hurry and shoot that thing down!\Are you crazy?!\I've never used a bow and arrow in my life. response:	The Corpse Crow survives by eating human flesh!
context: I never said anything about having it on me.\Follow me!\No way it's gettin' away.\What're you doing?!\Hurry and shoot that thing down!\Are you crazy?!\I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh! response:	With the Sacred Jewel, it might transform!
context: Follow me!\No way it's gettin' away.\What're you doing?!\Hurry and shoot that thing down!\Are you crazy?!\I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform! response:	It just swallowed the Jewel!
context: No way it's gettin' away.\What're you doing?!\Hurry and shoot that thing down!\Are you crazy?!\I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform!\It just swallowed the Jewel! response:	I'll try it.
context: What're you doing?!\Hurry and shoot that thing down!\Are you crazy?!\I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform!\It just swallowed the Jewel!\I'll try it. response:	All right!
context: Hurry and shoot that thing down!\Are you crazy?!\I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform!\It just swallowed the Jewel!\I'll try it.\All right! response:	Heh!
context: Are you crazy?!\I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform!\It just swallowed the Jewel!\I'll try it.\All right!\Heh! response:	Once that crow is shot down, I won't need a girl like her.
context: I've never used a bow and arrow in my life.\The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform!\It just swallowed the Jewel!\I'll try it.\All right!\Heh!\Once that crow is shot down, I won't need a girl like her. response:	Make it one shot!
context: The Corpse Crow survives by eating human flesh!\With the Sacred Jewel, it might transform!\It just swallowed the Jewel!\I'll try it.\All right!\Heh!\Once that crow is shot down, I won't need a girl like her.\Make it one shot! response:	Kikyo was a master archer!
context: With the Sacred Jewel, it might transform!\It just swallowed the Jewel!\I'll try it.\All right!\Heh!\Once that crow is shot down, I won't need a girl like her.\Make it one shot!\Kikyo was a master archer! response:	I am Kagome!
context: It just swallowed the Jewel!\I'll try it.\All right!\Heh!\Once that crow is shot down, I won't need a girl like her.\Make it one shot!\Kikyo was a master archer!\I am Kagome! response:	But if it's okay, Kikyo, please lend me your power...
context: I'll try it.\All right!\Heh!\Once that crow is shot down, I won't need a girl like her.\Make it one shot!\Kikyo was a master archer!\I am Kagome!\But if it's okay, Kikyo, please lend me your power... response:	Hit it!
context: All right!\Heh!\Once that crow is shot down, I won't need a girl like her.\Make it one shot!\Kikyo was a master archer!\I am Kagome!\But if it's okay, Kikyo, please lend me your power...\Hit it! response:	You're not lying about her being a master archer, are you?
context: Heh!\Once that crow is shot down, I won't need a girl like her.\Make it one shot!\Kikyo was a master archer!\I am Kagome!\But if it's okay, Kikyo, please lend me your power...\Hit it!\You're not lying about her being a master archer, are you? response:	Then you must be a klutz!
context: Once that crow is shot down, I won't need a girl like her.\Make it one shot!\Kikyo was a master archer!\I am Kagome!\But if it's okay, Kikyo, please lend me your power...\Hit it!\You're not lying about her being a master archer, are you?\Then you must be a klutz! response:	Look, now it's gettin' bigger!
context: Make it one shot!\Kikyo was a master archer!\I am Kagome!\But if it's okay, Kikyo, please lend me your power...\Hit it!\You're not lying about her being a master archer, are you?\Then you must be a klutz!\Look, now it's gettin' bigger! response:	Aim!
context: Kikyo was a master archer!\I am Kagome!\But if it's okay, Kikyo, please lend me your power...\Hit it!\You're not lying about her being a master archer, are you?\Then you must be a klutz!\Look, now it's gettin' bigger!\Aim! response:	Oww!
