context: they're gonna bash the Star Rose into the gate! response:	You're going to ram the Star Rose into the gate?!
context: after the Star Rose hits the gate!\And at this rate, he'll...\Please go.\You really are his big brother, Asagi.\Suruga, please cover Kei.\Sure thing!\Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh? response:	That's the ultimate truth.
context: And at this rate, he'll...\Please go.\You really are his big brother, Asagi.\Suruga, please cover Kei.\Sure thing!\Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth. response:	And me? What about me?
context: Please go.\You really are his big brother, Asagi.\Suruga, please cover Kei.\Sure thing!\Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth.\And me? What about me? response:	Tamaki, please offer the Star Rose backup!
context: You really are his big brother, Asagi.\Suruga, please cover Kei.\Sure thing!\Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth.\And me? What about me?\Tamaki, please offer the Star Rose backup! response:	Okey-dokey!
context: Suruga, please cover Kei.\Sure thing!\Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth.\And me? What about me?\Tamaki, please offer the Star Rose backup!\Okey-dokey! response:	Guys, please handle things here!
context: Sure thing!\Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth.\And me? What about me?\Tamaki, please offer the Star Rose backup!\Okey-dokey!\Guys, please handle things here! response:	Miss, go!
context: Ya gotta wait to get a good shot,\but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth.\And me? What about me?\Tamaki, please offer the Star Rose backup!\Okey-dokey!\Guys, please handle things here!\Miss, go! response:	Be sure to win him over!
context: but if all you do is wait, you'll never hit your prey, huh?\That's the ultimate truth.\And me? What about me?\Tamaki, please offer the Star Rose backup!\Okey-dokey!\Guys, please handle things here!\Miss, go!\Be sure to win him over! response:	She's supposed to be fighting the enemy.
context: That's the ultimate truth.\And me? What about me?\Tamaki, please offer the Star Rose backup!\Okey-dokey!\Guys, please handle things here!\Miss, go!\Be sure to win him over!\She's supposed to be fighting the enemy. response:	You can do it, Blue No.1!
context: And me? What about me?\Tamaki, please offer the Star Rose backup!\Okey-dokey!\Guys, please handle things here!\Miss, go!\Be sure to win him over!\She's supposed to be fighting the enemy.\You can do it, Blue No.1! response:	He's Blue 1.
context: Tamaki, please offer the Star Rose backup!\Okey-dokey!\Guys, please handle things here!\Miss, go!\Be sure to win him over!\She's supposed to be fighting the enemy.\You can do it, Blue No.1!\He's Blue 1. response:	What?!
context: Okey-dokey!\Guys, please handle things here!\Miss, go!\Be sure to win him over!\She's supposed to be fighting the enemy.\You can do it, Blue No.1!\He's Blue 1.\What?! response:	Did you finish restocking your supplies?
context: Guys, please handle things here!\Miss, go!\Be sure to win him over!\She's supposed to be fighting the enemy.\You can do it, Blue No.1!\He's Blue 1.\What?!\Did you finish restocking your supplies? response:	I'm here because I'm done!
context: Miss, go!\Be sure to win him over!\She's supposed to be fighting the enemy.\You can do it, Blue No.1!\He's Blue 1.\What?!\Did you finish restocking your supplies?\I'm here because I'm done! response:	Hey! Are you trying to kill me?!
context: Be sure to win him over!\She's supposed to be fighting the enemy.\You can do it, Blue No.1!\He's Blue 1.\What?!\Did you finish restocking your supplies?\I'm here because I'm done!\Hey! Are you trying to kill me?! response:	You're in my way!
context: She's supposed to be fighting the enemy.\You can do it, Blue No.1!\He's Blue 1.\What?!\Did you finish restocking your supplies?\I'm here because I'm done!\Hey! Are you trying to kill me?!\You're in my way! response:	Don't stand in front of me!
context: You can do it, Blue No.1!\He's Blue 1.\What?!\Did you finish restocking your supplies?\I'm here because I'm done!\Hey! Are you trying to kill me?!\You're in my way!\Don't stand in front of me! response:	How do you get off throwing your weight around after a late entry?!
context: He's Blue 1.\What?!\Did you finish restocking your supplies?\I'm here because I'm done!\Hey! Are you trying to kill me?!\You're in my way!\Don't stand in front of me!\How do you get off throwing your weight around after a late entry?! response:	Shut up and follow me!
context: What?!\Did you finish restocking your supplies?\I'm here because I'm done!\Hey! Are you trying to kill me?!\You're in my way!\Don't stand in front of me!\How do you get off throwing your weight around after a late entry?!\Shut up and follow me! response:	Reining in a bucking bronco isn't easy!
context: Did you finish restocking your supplies?\I'm here because I'm done!\Hey! Are you trying to kill me?!\You're in my way!\Don't stand in front of me!\How do you get off throwing your weight around after a late entry?!\Shut up and follow me!\Reining in a bucking bronco isn't easy! response:	Red 5!
context: I'm here because I'm done!\Hey! Are you trying to kill me?!\You're in my way!\Don't stand in front of me!\How do you get off throwing your weight around after a late entry?!\Shut up and follow me!\Reining in a bucking bronco isn't easy!\Red 5! response:	Red 5!
context: Hey! Are you trying to kill me?!\You're in my way!\Don't stand in front of me!\How do you get off throwing your weight around after a late entry?!\Shut up and follow me!\Reining in a bucking bronco isn't easy!\Red 5!\Red 5! response:	Izuru, can't you hear me?
context: You're in my way!\Don't stand in front of me!\How do you get off throwing your weight around after a late entry?!\Shut up and follow me!\Reining in a bucking bronco isn't easy!\Red 5!\Red 5!\Izuru, can't you hear me? response:	Izuru!
context: Don't stand in front of me!\How do you get off throwing your weight around after a late entry?!\Shut up and follow me!\Reining in a bucking bronco isn't easy!\Red 5!\Red 5!\Izuru, can't you hear me?\Izuru! response:	Someone's calling for me...?
context: How do you get off throwing your weight around after a late entry?!\Shut up and follow me!\Reining in a bucking bronco isn't easy!\Red 5!\Red 5!\Izuru, can't you hear me?\Izuru!\Someone's calling for me...? response:	Fight! Fight...! Fight...!
context: Shut up and follow me!\Reining in a bucking bronco isn't easy!\Red 5!\Red 5!\Izuru, can't you hear me?\Izuru!\Someone's calling for me...?\Fight! Fight...! Fight...! response:	Izuru!
context: Reining in a bucking bronco isn't easy!\Red 5!\Red 5!\Izuru, can't you hear me?\Izuru!\Someone's calling for me...?\Fight! Fight...! Fight...!\Izuru! response:	Come back! You don't have to fight.
context: Red 5!\Red 5!\Izuru, can't you hear me?\Izuru!\Someone's calling for me...?\Fight! Fight...! Fight...!\Izuru!\Come back! You don't have to fight. response:	Come back to us alive. Everyone is waiting for you!
context: Red 5!\Izuru, can't you hear me?\Izuru!\Someone's calling for me...?\Fight! Fight...! Fight...!\Izuru!\Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you! response:	We're waiting for you to come back to us alive!
context: Izuru, can't you hear me?\Izuru!\Someone's calling for me...?\Fight! Fight...! Fight...!\Izuru!\Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive! response:	Shut up!
context: Izuru!\Someone's calling for me...?\Fight! Fight...! Fight...!\Izuru!\Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive!\Shut up! response:	Listen to me!
context: Someone's calling for me...?\Fight! Fight...! Fight...!\Izuru!\Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive!\Shut up!\Listen to me! response:	Off my back! Listen to me!
context: Fight! Fight...! Fight...!\Izuru!\Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive!\Shut up!\Listen to me!\Off my back! Listen to me! response:	This isn't like you, Izuru!
context: Izuru!\Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive!\Shut up!\Listen to me!\Off my back! Listen to me!\This isn't like you, Izuru! response:	Weren't you going to become a hero?
context: Come back! You don't have to fight.\Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive!\Shut up!\Listen to me!\Off my back! Listen to me!\This isn't like you, Izuru!\Weren't you going to become a hero? response:	Weren't you going to become a hero with us?!
context: Come back to us alive. Everyone is waiting for you!\We're waiting for you to come back to us alive!\Shut up!\Listen to me!\Off my back! Listen to me!\This isn't like you, Izuru!\Weren't you going to become a hero?\Weren't you going to become a hero with us?! response:	A hero...?
context: We're waiting for you to come back to us alive!\Shut up!\Listen to me!\Off my back! Listen to me!\This isn't like you, Izuru!\Weren't you going to become a hero?\Weren't you going to become a hero with us?!\A hero...? response:	Hey, you'd better listen to her!
context: Shut up!\Listen to me!\Off my back! Listen to me!\This isn't like you, Izuru!\Weren't you going to become a hero?\Weren't you going to become a hero with us?!\A hero...?\Hey, you'd better listen to her! response:	Kei is doing her best to talk some sense into you,
context: Listen to me!\Off my back! Listen to me!\This isn't like you, Izuru!\Weren't you going to become a hero?\Weren't you going to become a hero with us?!\A hero...?\Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you, response:	even though she hates talking!
context: Off my back! Listen to me!\This isn't like you, Izuru!\Weren't you going to become a hero?\Weren't you going to become a hero with us?!\A hero...?\Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you,\even though she hates talking! response:	Stoopy-poopy-doopy head!
context: This isn't like you, Izuru!\Weren't you going to become a hero?\Weren't you going to become a hero with us?!\A hero...?\Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you,\even though she hates talking!\Stoopy-poopy-doopy head! response:	You've got way too determined of a look on your face for our derpy Izuru!
context: Weren't you going to become a hero?\Weren't you going to become a hero with us?!\A hero...?\Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you,\even though she hates talking!\Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru! response:	A combo-jab...?
context: Weren't you going to become a hero with us?!\A hero...?\Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you,\even though she hates talking!\Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...? response:	You're making us want to jab at you!
context: A hero...?\Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you,\even though she hates talking!\Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...?\You're making us want to jab at you! response:	And here we kept telling you not to come out and fight!
context: Hey, you'd better listen to her!\Kei is doing her best to talk some sense into you,\even though she hates talking!\Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...?\You're making us want to jab at you!\And here we kept telling you not to come out and fight! response:	Space case! Nincompoop!
context: Kei is doing her best to talk some sense into you,\even though she hates talking!\Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...?\You're making us want to jab at you!\And here we kept telling you not to come out and fight!\Space case! Nincompoop! response:	You're not only short on ammo, but you're also missing a pair of balls!
context: even though she hates talking!\Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...?\You're making us want to jab at you!\And here we kept telling you not to come out and fight!\Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls! response:	You're horrible.
context: Stoopy-poopy-doopy head!\You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...?\You're making us want to jab at you!\And here we kept telling you not to come out and fight!\Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls!\You're horrible. response:	You're the one who's horrible!
context: You've got way too determined of a look on your face for our derpy Izuru!\A combo-jab...?\You're making us want to jab at you!\And here we kept telling you not to come out and fight!\Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls!\You're horrible.\You're the one who's horrible! response:	That manga you draw is horrible, too!
context: A combo-jab...?\You're making us want to jab at you!\And here we kept telling you not to come out and fight!\Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls!\You're horrible.\You're the one who's horrible!\That manga you draw is horrible, too! response:	You really are a failure!
context: You're making us want to jab at you!\And here we kept telling you not to come out and fight!\Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls!\You're horrible.\You're the one who's horrible!\That manga you draw is horrible, too!\You really are a failure! response:	Could you quit hitting me with the three-combo jabs?
context: And here we kept telling you not to come out and fight!\Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls!\You're horrible.\You're the one who's horrible!\That manga you draw is horrible, too!\You really are a failure!\Could you quit hitting me with the three-combo jabs? response:	Izuru...! You came back!
context: Space case! Nincompoop!\You're not only short on ammo, but you're also missing a pair of balls!\You're horrible.\You're the one who's horrible!\That manga you draw is horrible, too!\You really are a failure!\Could you quit hitting me with the three-combo jabs?\Izuru...! You came back! response:	Thank goodness!
context: You're not only short on ammo, but you're also missing a pair of balls!\You're horrible.\You're the one who's horrible!\That manga you draw is horrible, too!\You really are a failure!\Could you quit hitting me with the three-combo jabs?\Izuru...! You came back!\Thank goodness! response:	Don't let your AHSMB take over you again.
context: You're horrible.\You're the one who's horrible!\That manga you draw is horrible, too!\You really are a failure!\Could you quit hitting me with the three-combo jabs?\Izuru...! You came back!\Thank goodness!\Don't let your AHSMB take over you again. response:	You see, humans are more about worldly desires than instinct!
context: You're the one who's horrible!\That manga you draw is horrible, too!\You really are a failure!\Could you quit hitting me with the three-combo jabs?\Izuru...! You came back!\Thank goodness!\Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct! response:	Thank you, guys!
context: That manga you draw is horrible, too!\You really are a failure!\Could you quit hitting me with the three-combo jabs?\Izuru...! You came back!\Thank goodness!\Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct!\Thank you, guys! response:	Red 5, retreat!
context: You really are a failure!\Could you quit hitting me with the three-combo jabs?\Izuru...! You came back!\Thank goodness!\Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct!\Thank you, guys!\Red 5, retreat! response:	Roger!
context: Could you quit hitting me with the three-combo jabs?\Izuru...! You came back!\Thank goodness!\Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct!\Thank you, guys!\Red 5, retreat!\Roger! response:	I won't let you escape!
context: Izuru...! You came back!\Thank goodness!\Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct!\Thank you, guys!\Red 5, retreat!\Roger!\I won't let you escape! response:	Forget it! I am not yet satisfied!
context: Thank goodness!\Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct!\Thank you, guys!\Red 5, retreat!\Roger!\I won't let you escape!\Forget it! I am not yet satisfied! response:	Izuru!
context: Don't let your AHSMB take over you again.\You see, humans are more about worldly desires than instinct!\Thank you, guys!\Red 5, retreat!\Roger!\I won't let you escape!\Forget it! I am not yet satisfied!\Izuru! response:	Wherever you go, I shall follow in pursuit!
context: You see, humans are more about worldly desires than instinct!\Thank you, guys!\Red 5, retreat!\Roger!\I won't let you escape!\Forget it! I am not yet satisfied!\Izuru!\Wherever you go, I shall follow in pursuit! response:	That's right!
context: Thank you, guys!\Red 5, retreat!\Roger!\I won't let you escape!\Forget it! I am not yet satisfied!\Izuru!\Wherever you go, I shall follow in pursuit!\That's right! response:	That's enough! Stop fighting already!
context: Red 5, retreat!\Roger!\I won't let you escape!\Forget it! I am not yet satisfied!\Izuru!\Wherever you go, I shall follow in pursuit!\That's right!\That's enough! Stop fighting already! response:	Move it! Do not interfere!
context: Roger!\I won't let you escape!\Forget it! I am not yet satisfied!\Izuru!\Wherever you go, I shall follow in pursuit!\That's right!\That's enough! Stop fighting already!\Move it! Do not interfere! response:	Kei!
context: I won't let you escape!\Forget it! I am not yet satisfied!\Izuru!\Wherever you go, I shall follow in pursuit!\That's right!\That's enough! Stop fighting already!\Move it! Do not interfere!\Kei! response:	Miss!
context: Forget it! I am not yet satisfied!\Izuru!\Wherever you go, I shall follow in pursuit!\That's right!\That's enough! Stop fighting already!\Move it! Do not interfere!\Kei!\Miss! response:	Purple 2 has taken damage!
context: Izuru!\Wherever you go, I shall follow in pursuit!\That's right!\That's enough! Stop fighting already!\Move it! Do not interfere!\Kei!\Miss!\Purple 2 has taken damage! response:	Stop it!
context: Wherever you go, I shall follow in pursuit!\That's right!\That's enough! Stop fighting already!\Move it! Do not interfere!\Kei!\Miss!\Purple 2 has taken damage!\Stop it! response:	Purple 2's damage reading is at 25!
context: That's right!\That's enough! Stop fighting already!\Move it! Do not interfere!\Kei!\Miss!\Purple 2 has taken damage!\Stop it!\Purple 2's damage reading is at 25! response:	There are no irregularities in the pilot's vitality readings.
context: That's enough! Stop fighting already!\Move it! Do not interfere!\Kei!\Miss!\Purple 2 has taken damage!\Stop it!\Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings. response:	Where's Star Rose?
context: Move it! Do not interfere!\Kei!\Miss!\Purple 2 has taken damage!\Stop it!\Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings.\Where's Star Rose? response:	Remaining distance to the gate: 400.
context: Kei!\Miss!\Purple 2 has taken damage!\Stop it!\Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings.\Where's Star Rose?\Remaining distance to the gate: 400. response:	He's almost there...
context: Miss!\Purple 2 has taken damage!\Stop it!\Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings.\Where's Star Rose?\Remaining distance to the gate: 400.\He's almost there... response:	Kei!
context: Purple 2 has taken damage!\Stop it!\Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings.\Where's Star Rose?\Remaining distance to the gate: 400.\He's almost there...\Kei! response:	Kei, hang in there!
context: Stop it!\Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings.\Where's Star Rose?\Remaining distance to the gate: 400.\He's almost there...\Kei!\Kei, hang in there! response:	Damn it!
context: Purple 2's damage reading is at 25!\There are no irregularities in the pilot's vitality readings.\Where's Star Rose?\Remaining distance to the gate: 400.\He's almost there...\Kei!\Kei, hang in there!\Damn it! response:	What the hell are you guys doing?!
context: There are no irregularities in the pilot's vitality readings.\Where's Star Rose?\Remaining distance to the gate: 400.\He's almost there...\Kei!\Kei, hang in there!\Damn it!\What the hell are you guys doing?! response:	Hurry over to Red 5 and Purple 2!
context: Where's Star Rose?\Remaining distance to the gate: 400.\He's almost there...\Kei!\Kei, hang in there!\Damn it!\What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2! response:	Ange! Chandra...!
context: Remaining distance to the gate: 400.\He's almost there...\Kei!\Kei, hang in there!\Damn it!\What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2!\Ange! Chandra...! response:	Please go!
context: He's almost there...\Kei!\Kei, hang in there!\Damn it!\What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2!\Ange! Chandra...!\Please go! response:	I wasn't able to save my friends, but you...
context: Kei!\Kei, hang in there!\Damn it!\What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2!\Ange! Chandra...!\Please go!\I wasn't able to save my friends, but you... response:	Quit spacin' out!
context: Kei, hang in there!\Damn it!\What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2!\Ange! Chandra...!\Please go!\I wasn't able to save my friends, but you...\Quit spacin' out! response:	Go crush that Wulgaru bastard named Desert, Gelato,
context: Damn it!\What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2!\Ange! Chandra...!\Please go!\I wasn't able to save my friends, but you...\Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato, response:	Tomato, Potato or whatever!
context: What the hell are you guys doing?!\Hurry over to Red 5 and Purple 2!\Ange! Chandra...!\Please go!\I wasn't able to save my friends, but you...\Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever! response:	Dang! None of those were right.
context: Hurry over to Red 5 and Purple 2!\Ange! Chandra...!\Please go!\I wasn't able to save my friends, but you...\Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever!\Dang! None of those were right. response:	You've got it!
context: Ange! Chandra...!\Please go!\I wasn't able to save my friends, but you...\Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever!\Dang! None of those were right.\You've got it! response:	I'm off!
context: Please go!\I wasn't able to save my friends, but you...\Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever!\Dang! None of those were right.\You've got it!\I'm off! response:	Wait! Hey, wait up!
context: I wasn't able to save my friends, but you...\Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever!\Dang! None of those were right.\You've got it!\I'm off!\Wait! Hey, wait up! response:	Izuru!
context: Quit spacin' out!\Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever!\Dang! None of those were right.\You've got it!\I'm off!\Wait! Hey, wait up!\Izuru! response:	Guys!
context: Go crush that Wulgaru bastard named Desert, Gelato,\Tomato, Potato or whatever!\Dang! None of those were right.\You've got it!\I'm off!\Wait! Hey, wait up!\Izuru!\Guys! response:	We're pulling back!
context: Tomato, Potato or whatever!\Dang! None of those were right.\You've got it!\I'm off!\Wait! Hey, wait up!\Izuru!\Guys!\We're pulling back! response:	Hurry!
context: Dang! None of those were right.\You've got it!\I'm off!\Wait! Hey, wait up!\Izuru!\Guys!\We're pulling back!\Hurry! response:	Kei, are you all right?
context: You've got it!\I'm off!\Wait! Hey, wait up!\Izuru!\Guys!\We're pulling back!\Hurry!\Kei, are you all right? response:	You all came...!
context: I'm off!\Wait! Hey, wait up!\Izuru!\Guys!\We're pulling back!\Hurry!\Kei, are you all right?\You all came...! response:	Kei, I wanna eat your cake again sometime!
context: Wait! Hey, wait up!\Izuru!\Guys!\We're pulling back!\Hurry!\Kei, are you all right?\You all came...!\Kei, I wanna eat your cake again sometime! response:	Really?
context: Izuru!\Guys!\We're pulling back!\Hurry!\Kei, are you all right?\You all came...!\Kei, I wanna eat your cake again sometime!\Really? response:	Well...
context: Guys!\We're pulling back!\Hurry!\Kei, are you all right?\You all came...!\Kei, I wanna eat your cake again sometime!\Really?\Well... response:	Guys, head on back-
context: We're pulling back!\Hurry!\Kei, are you all right?\You all came...!\Kei, I wanna eat your cake again sometime!\Really?\Well...\Guys, head on back- response:	Look after Kei!
context: Hurry!\Kei, are you all right?\You all came...!\Kei, I wanna eat your cake again sometime!\Really?\Well...\Guys, head on back-\Look after Kei! response:	At this rate, he's going to take everyone down.
context: Kei, are you all right?\You all came...!\Kei, I wanna eat your cake again sometime!\Really?\Well...\Guys, head on back-\Look after Kei!\At this rate, he's going to take everyone down. response:	But I don't want to die...
context: You all came...!\Kei, I wanna eat your cake again sometime!\Really?\Well...\Guys, head on back-\Look after Kei!\At this rate, he's going to take everyone down.\But I don't want to die... response:	I don't want to die here.
context: Kei, I wanna eat your cake again sometime!\Really?\Well...\Guys, head on back-\Look after Kei!\At this rate, he's going to take everyone down.\But I don't want to die...\I don't want to die here. response:	Survive...
context: Really?\Well...\Guys, head on back-\Look after Kei!\At this rate, he's going to take everyone down.\But I don't want to die...\I don't want to die here.\Survive... response:	I will survive!
context: Well...\Guys, head on back-\Look after Kei!\At this rate, he's going to take everyone down.\But I don't want to die...\I don't want to die here.\Survive...\I will survive! response:	But I'm not surviving just for my own sake.
context: Guys, head on back-\Look after Kei!\At this rate, he's going to take everyone down.\But I don't want to die...\I don't want to die here.\Survive...\I will survive!\But I'm not surviving just for my own sake. response:	There are those whom I want to protect!
context: Look after Kei!\At this rate, he's going to take everyone down.\But I don't want to die...\I don't want to die here.\Survive...\I will survive!\But I'm not surviving just for my own sake.\There are those whom I want to protect! response:	I'm not fighting because I want to fight.
context: At this rate, he's going to take everyone down.\But I don't want to die...\I don't want to die here.\Survive...\I will survive!\But I'm not surviving just for my own sake.\There are those whom I want to protect!\I'm not fighting because I want to fight. response:	I'm doing it to protect those who are dear to me!
context: But I don't want to die...\I don't want to die here.\Survive...\I will survive!\But I'm not surviving just for my own sake.\There are those whom I want to protect!\I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me! response:	And because...
context: I don't want to die here.\Survive...\I will survive!\But I'm not surviving just for my own sake.\There are those whom I want to protect!\I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me!\And because... response:	I want to become a hero!
context: Survive...\I will survive!\But I'm not surviving just for my own sake.\There are those whom I want to protect!\I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me!\And because...\I want to become a hero! response:	That's what it boils down to?!
context: I will survive!\But I'm not surviving just for my own sake.\There are those whom I want to protect!\I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me!\And because...\I want to become a hero!\That's what it boils down to?! response:	What is that?
context: But I'm not surviving just for my own sake.\There are those whom I want to protect!\I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me!\And because...\I want to become a hero!\That's what it boils down to?!\What is that? response:	What's going on?
context: There are those whom I want to protect!\I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me!\And because...\I want to become a hero!\That's what it boils down to?!\What is that?\What's going on? response:	What does that imply?
context: I'm not fighting because I want to fight.\I'm doing it to protect those who are dear to me!\And because...\I want to become a hero!\That's what it boils down to?!\What is that?\What's going on?\What does that imply? response:	Does it mean that Red 5 has taken over the pilot?
context: I'm doing it to protect those who are dear to me!\And because...\I want to become a hero!\That's what it boils down to?!\What is that?\What's going on?\What does that imply?\Does it mean that Red 5 has taken over the pilot? response:	No! It's probably the exact opposite.
context: And because...\I want to become a hero!\That's what it boils down to?!\What is that?\What's going on?\What does that imply?\Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite. response:	Izuru has truly mastered Red 5!
context: I want to become a hero!\That's what it boils down to?!\What is that?\What's going on?\What does that imply?\Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite.\Izuru has truly mastered Red 5! response:	This is the JURIA-System's ultimate form.
context: That's what it boils down to?!\What is that?\What's going on?\What does that imply?\Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite.\Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form. response:	Is that its true awakening?
context: What is that?\What's going on?\What does that imply?\Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite.\Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form.\Is that its true awakening? response:	That's right.
context: What's going on?\What does that imply?\Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite.\Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form.\Is that its true awakening?\That's right. response:	It transformed!
context: What does that imply?\Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite.\Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form.\Is that its true awakening?\That's right.\It transformed! response:	You mean its frame changed.
context: Does it mean that Red 5 has taken over the pilot?\No! It's probably the exact opposite.\Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form.\Is that its true awakening?\That's right.\It transformed!\You mean its frame changed. response:	Marvelous! I shall respond in suit!
context: No! It's probably the exact opposite.\Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form.\Is that its true awakening?\That's right.\It transformed!\You mean its frame changed.\Marvelous! I shall respond in suit! response:	Remaining distance to the gate: 100!
context: Izuru has truly mastered Red 5!\This is the JURIA-System's ultimate form.\Is that its true awakening?\That's right.\It transformed!\You mean its frame changed.\Marvelous! I shall respond in suit!\Remaining distance to the gate: 100! response:	Withdraw, Team Rabbits!
context: This is the JURIA-System's ultimate form.\Is that its true awakening?\That's right.\It transformed!\You mean its frame changed.\Marvelous! I shall respond in suit!\Remaining distance to the gate: 100!\Withdraw, Team Rabbits! response:	All armies, retreat!
context: Is that its true awakening?\That's right.\It transformed!\You mean its frame changed.\Marvelous! I shall respond in suit!\Remaining distance to the gate: 100!\Withdraw, Team Rabbits!\All armies, retreat! response:	Pull back, Kei, Tamaki and Suruga!
context: That's right.\It transformed!\You mean its frame changed.\Marvelous! I shall respond in suit!\Remaining distance to the gate: 100!\Withdraw, Team Rabbits!\All armies, retreat!\Pull back, Kei, Tamaki and Suruga! response:	What about Izuru?
context: It transformed!\You mean its frame changed.\Marvelous! I shall respond in suit!\Remaining distance to the gate: 100!\Withdraw, Team Rabbits!\All armies, retreat!\Pull back, Kei, Tamaki and Suruga!\What about Izuru? response:	He will survive.
