context: This is a world of magic. response:	Magic is bought and sold here every day, and is an integral part of people's daily lives.
context: What'd you say!?\Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker!\Stop this!\I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow. response:	I'm really looking forward to it, myself!
context: Don't just say whatever pops into your head!\And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker!\Stop this!\I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself! response:	The sakura in Magnolia are really beautiful!
context: And I don't even know what the hell you're saying, idiot!\You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker!\Stop this!\I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful! response:	And what's more, at nighttime the cherry blossoms become rainbow-colored!
context: You're gonna get it, Prince Frostbite Boxers!\Shut the hell up, you whiny little flicker!\Stop this!\I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored! response:	They're just super-beautiful!
context: Shut the hell up, you whiny little flicker!\Stop this!\I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful! response:	Rainbow-colored sakura?
context: Stop this!\I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful!\Rainbow-colored sakura? response:	It's even beautiful imagining it!
context: I wish we could hurry this job up and go home...\I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful!\Rainbow-colored sakura?\It's even beautiful imagining it! response:	You know?
context: I want to get ready for the hanami tomorrow.\I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful!\Rainbow-colored sakura?\It's even beautiful imagining it!\You know? response:	And then, you know... Everyone makes and brings lunch,
context: I'm really looking forward to it, myself!\The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful!\Rainbow-colored sakura?\It's even beautiful imagining it!\You know?\And then, you know... Everyone makes and brings lunch, response:	and beneath the rainbow sakura they stare up all day long,
context: The sakura in Magnolia are really beautiful!\And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful!\Rainbow-colored sakura?\It's even beautiful imagining it!\You know?\And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long, response:	and everyone livens it up for a grand hanami!
context: And what's more, at nighttime the cherry blossoms become rainbow-colored!\They're just super-beautiful!\Rainbow-colored sakura?\It's even beautiful imagining it!\You know?\And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami! response:	Man, I can't wait until tomorrow!
context: They're just super-beautiful!\Rainbow-colored sakura?\It's even beautiful imagining it!\You know?\And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow! response:	That's why I want to hurry up and finish this job, get back to Magnolia,
context: Rainbow-colored sakura?\It's even beautiful imagining it!\You know?\And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia, response:	and then, and then bake cookies... and then, and then choose the clothes I'll wear...
context: It's even beautiful imagining it!\You know?\And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear... response:	And then, and then I'll go straight to bed without writing my novel...
context: You know?\And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel... response:	And then, and then I'll do my hair up nice and cute...
context: And then, you know... Everyone makes and brings lunch,\and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute... response:	And then, and then...
context: and beneath the rainbow sakura they stare up all day long,\and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute...\And then, and then... response:	Huh?
context: and everyone livens it up for a grand hanami!\Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute...\And then, and then...\Huh? response:	Lucy-san, did you go to the hanami last year?
context: Man, I can't wait until tomorrow!\That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute...\And then, and then...\Huh?\Lucy-san, did you go to the hanami last year? response:	Uh...
context: That's why I want to hurry up and finish this job, get back to Magnolia,\and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute...\And then, and then...\Huh?\Lucy-san, did you go to the hanami last year?\Uh... response:	I was pretty sure I heard that it hasn't been a year since you joined the guild...
context: and then, and then bake cookies... and then, and then choose the clothes I'll wear...\And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute...\And then, and then...\Huh?\Lucy-san, did you go to the hanami last year?\Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild... response:	Oh, yeah... I guess this is my first time.
context: And then, and then I'll go straight to bed without writing my novel...\And then, and then I'll do my hair up nice and cute...\And then, and then...\Huh?\Lucy-san, did you go to the hanami last year?\Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time. response:	I think I dreamed I was there from being too excited about it!
context: And then, and then I'll do my hair up nice and cute...\And then, and then...\Huh?\Lucy-san, did you go to the hanami last year?\Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it! response:	It really does sound like a blast. I can't wait for it, either!
context: And then, and then...\Huh?\Lucy-san, did you go to the hanami last year?\Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either! response:	It'll be so exciting to look at the cherry blossoms with everyone else from the guild.
context: Huh?\Lucy-san, did you go to the hanami last year?\Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild. response:	Yeah, for sure! Let's enjoy them together, as fellow first-timers!
context: Lucy-san, did you go to the hanami last year?\Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers! response:	It is time. Fare thee well!
context: Uh...\I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well! response:	So cooold!
context: I was pretty sure I heard that it hasn't been a year since you joined the guild...\Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well!\So cooold! response:	Oh, jeez...
context: Oh, yeah... I guess this is my first time.\I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well!\So cooold!\Oh, jeez... response:	You two should go search now!
context: I think I dreamed I was there from being too excited about it!\It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well!\So cooold!\Oh, jeez...\You two should go search now! response:	But...
context: It really does sound like a blast. I can't wait for it, either!\It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well!\So cooold!\Oh, jeez...\You two should go search now!\But... response:	I can smell it! That's definitely the smell of herbs.
context: It'll be so exciting to look at the cherry blossoms with everyone else from the guild.\Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well!\So cooold!\Oh, jeez...\You two should go search now!\But...\I can smell it! That's definitely the smell of herbs. response:	Just as good a nose as usual.
context: Yeah, for sure! Let's enjoy them together, as fellow first-timers!\It is time. Fare thee well!\So cooold!\Oh, jeez...\You two should go search now!\But...\I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual. response:	Wait... Have you ever smelled these herbs before?
context: It is time. Fare thee well!\So cooold!\Oh, jeez...\You two should go search now!\But...\I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual.\Wait... Have you ever smelled these herbs before? response:	Nope. Never smelled'em, but I'm sure.
context: So cooold!\Oh, jeez...\You two should go search now!\But...\I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual.\Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure. response:	Let's go, Happy!
context: Oh, jeez...\You two should go search now!\But...\I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual.\Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure.\Let's go, Happy! response:	Aye, sir!
context: You two should go search now!\But...\I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual.\Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure.\Let's go, Happy!\Aye, sir! response:	H-Hey!
context: But...\I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual.\Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure.\Let's go, Happy!\Aye, sir!\H-Hey! response:	Man, who lit his butt on fire?
context: I can smell it! That's definitely the smell of herbs.\Just as good a nose as usual.\Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure.\Let's go, Happy!\Aye, sir!\H-Hey!\Man, who lit his butt on fire? response:	Anyway, let's follow him.
context: Just as good a nose as usual.\Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure.\Let's go, Happy!\Aye, sir!\H-Hey!\Man, who lit his butt on fire?\Anyway, let's follow him. response:	His nose is nothing to sneeze at.
context: Wait... Have you ever smelled these herbs before?\Nope. Never smelled'em, but I'm sure.\Let's go, Happy!\Aye, sir!\H-Hey!\Man, who lit his butt on fire?\Anyway, let's follow him.\His nose is nothing to sneeze at. response:	Maybe it's my imagination, but I have a really bad feeling about this.
context: Nope. Never smelled'em, but I'm sure.\Let's go, Happy!\Aye, sir!\H-Hey!\Man, who lit his butt on fire?\Anyway, let's follow him.\His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this. response:	Your instincts are usually correct, Carla.
context: Let's go, Happy!\Aye, sir!\H-Hey!\Man, who lit his butt on fire?\Anyway, let's follow him.\His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla. response:	That was fast.
context: Aye, sir!\H-Hey!\Man, who lit his butt on fire?\Anyway, let's follow him.\His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla.\That was fast. response:	Fast is good.
context: H-Hey!\Man, who lit his butt on fire?\Anyway, let's follow him.\His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla.\That was fast.\Fast is good. response:	Impressive, as always.
context: Man, who lit his butt on fire?\Anyway, let's follow him.\His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla.\That was fast.\Fast is good.\Impressive, as always. response:	Natsu-san, wow!
context: Anyway, let's follow him.\His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla.\That was fast.\Fast is good.\Impressive, as always.\Natsu-san, wow! response:	Yup, he's a beast.
context: His nose is nothing to sneeze at.\Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla.\That was fast.\Fast is good.\Impressive, as always.\Natsu-san, wow!\Yup, he's a beast. response:	Right then. Let's pick these and get home.
context: Maybe it's my imagination, but I have a really bad feeling about this.\Your instincts are usually correct, Carla.\That was fast.\Fast is good.\Impressive, as always.\Natsu-san, wow!\Yup, he's a beast.\Right then. Let's pick these and get home. response:	Aye, sir!
context: Your instincts are usually correct, Carla.\That was fast.\Fast is good.\Impressive, as always.\Natsu-san, wow!\Yup, he's a beast.\Right then. Let's pick these and get home.\Aye, sir! response:	A Blizzardvern. Also known as a White Wyvern.
context: That was fast.\Fast is good.\Impressive, as always.\Natsu-san, wow!\Yup, he's a beast.\Right then. Let's pick these and get home.\Aye, sir!\A Blizzardvern. Also known as a White Wyvern. response:	A monster that lives on Mt. Hakobe.
context: Fast is good.\Impressive, as always.\Natsu-san, wow!\Yup, he's a beast.\Right then. Let's pick these and get home.\Aye, sir!\A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe. response:	Contrary to its appearance, it's herbivorous.
context: Impressive, as always.\Natsu-san, wow!\Yup, he's a beast.\Right then. Let's pick these and get home.\Aye, sir!\A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous. response:	By the way, its favorite food is these herbs.
context: Natsu-san, wow!\Yup, he's a beast.\Right then. Let's pick these and get home.\Aye, sir!\A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs. response:	What?!
context: Yup, he's a beast.\Right then. Let's pick these and get home.\Aye, sir!\A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs.\What?! response:	You wanna keep'em all to yourself?!
context: Right then. Let's pick these and get home.\Aye, sir!\A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs.\What?!\You wanna keep'em all to yourself?! response:	What a nice break. We can kill two birds with one stone.
context: Aye, sir!\A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs.\What?!\You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone. response:	You know that the scales of a White Wyvern sell for a pretty penny?
context: A Blizzardvern. Also known as a White Wyvern.\A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs.\What?!\You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny? response:	All right then! After we get those herbs, we'll strip all its scales off!
context: A monster that lives on Mt. Hakobe.\Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs.\What?!\You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off! response:	Leave this to us. Lucy, Wendy, stand back!
context: Contrary to its appearance, it's herbivorous.\By the way, its favorite food is these herbs.\What?!\You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back! response:	I'll fight, too!
context: By the way, its favorite food is these herbs.\What?!\You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back!\I'll fight, too! response:	Requip!
context: What?!\You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back!\I'll fight, too!\Requip! response:	We'll draw its attention. While it's distracted,
context: You wanna keep'em all to yourself?!\What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back!\I'll fight, too!\Requip!\We'll draw its attention. While it's distracted, response:	you all go and gather the herbs!
context: What a nice break. We can kill two birds with one stone.\You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back!\I'll fight, too!\Requip!\We'll draw its attention. While it's distracted,\you all go and gather the herbs! response:	Right!
context: You know that the scales of a White Wyvern sell for a pretty penny?\All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back!\I'll fight, too!\Requip!\We'll draw its attention. While it's distracted,\you all go and gather the herbs!\Right! response:	I suppose so.
context: All right then! After we get those herbs, we'll strip all its scales off!\Leave this to us. Lucy, Wendy, stand back!\I'll fight, too!\Requip!\We'll draw its attention. While it's distracted,\you all go and gather the herbs!\Right!\I suppose so. response:	Wait... Isn't this the most dangerous job of all?
context: Leave this to us. Lucy, Wendy, stand back!\I'll fight, too!\Requip!\We'll draw its attention. While it's distracted,\you all go and gather the herbs!\Right!\I suppose so.\Wait... Isn't this the most dangerous job of all? response:	I'm counting on you!
context: I'll fight, too!\Requip!\We'll draw its attention. While it's distracted,\you all go and gather the herbs!\Right!\I suppose so.\Wait... Isn't this the most dangerous job of all?\I'm counting on you! response:	Right! We'll do it, gladly!
context: Requip!\We'll draw its attention. While it's distracted,\you all go and gather the herbs!\Right!\I suppose so.\Wait... Isn't this the most dangerous job of all?\I'm counting on you!\Right! We'll do it, gladly! response:	Here we go, Natsu, Gray!
context: We'll draw its attention. While it's distracted,\you all go and gather the herbs!\Right!\I suppose so.\Wait... Isn't this the most dangerous job of all?\I'm counting on you!\Right! We'll do it, gladly!\Here we go, Natsu, Gray! response:	Hurry, hurry!
context: you all go and gather the herbs!\Right!\I suppose so.\Wait... Isn't this the most dangerous job of all?\I'm counting on you!\Right! We'll do it, gladly!\Here we go, Natsu, Gray!\Hurry, hurry! response:	Don't sound like such a wimp!
context: Right!\I suppose so.\Wait... Isn't this the most dangerous job of all?\I'm counting on you!\Right! We'll do it, gladly!\Here we go, Natsu, Gray!\Hurry, hurry!\Don't sound like such a wimp! response:	Dazzling Blaze of the Fire Dragon!
context: I suppose so.\Wait... Isn't this the most dangerous job of all?\I'm counting on you!\Right! We'll do it, gladly!\Here we go, Natsu, Gray!\Hurry, hurry!\Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon! response:	Natsu-san's flames...
context: Wait... Isn't this the most dangerous job of all?\I'm counting on you!\Right! We'll do it, gladly!\Here we go, Natsu, Gray!\Hurry, hurry!\Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon!\Natsu-san's flames... response:	Ice Make Saucer!
context: I'm counting on you!\Right! We'll do it, gladly!\Here we go, Natsu, Gray!\Hurry, hurry!\Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon!\Natsu-san's flames...\Ice Make Saucer! response:	How about this?
context: Right! We'll do it, gladly!\Here we go, Natsu, Gray!\Hurry, hurry!\Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon!\Natsu-san's flames...\Ice Make Saucer!\How about this? response:	Hey, whoa there...
context: Here we go, Natsu, Gray!\Hurry, hurry!\Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon!\Natsu-san's flames...\Ice Make Saucer!\How about this?\Hey, whoa there... response:	Wait, you!
context: Hurry, hurry!\Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon!\Natsu-san's flames...\Ice Make Saucer!\How about this?\Hey, whoa there...\Wait, you! response:	Fools! You should have dodged!
context: Don't sound like such a wimp!\Dazzling Blaze of the Fire Dragon!\Natsu-san's flames...\Ice Make Saucer!\How about this?\Hey, whoa there...\Wait, you!\Fools! You should have dodged! response:	Uh, how about a little, you know...
context: Dazzling Blaze of the Fire Dragon!\Natsu-san's flames...\Ice Make Saucer!\How about this?\Hey, whoa there...\Wait, you!\Fools! You should have dodged!\Uh, how about a little, you know... response:	Apologize first, damn it...
context: Natsu-san's flames...\Ice Make Saucer!\How about this?\Hey, whoa there...\Wait, you!\Fools! You should have dodged!\Uh, how about a little, you know...\Apologize first, damn it... response:	This thing's more powerful than we thought!
context: Ice Make Saucer!\How about this?\Hey, whoa there...\Wait, you!\Fools! You should have dodged!\Uh, how about a little, you know...\Apologize first, damn it...\This thing's more powerful than we thought! response:	Everyone...
context: How about this?\Hey, whoa there...\Wait, you!\Fools! You should have dodged!\Uh, how about a little, you know...\Apologize first, damn it...\This thing's more powerful than we thought!\Everyone... response:	Okay, then... I'm not gonna lose, either!
context: Hey, whoa there...\Wait, you!\Fools! You should have dodged!\Uh, how about a little, you know...\Apologize first, damn it...\This thing's more powerful than we thought!\Everyone...\Okay, then... I'm not gonna lose, either! response:	Natsu, Erza, now!
context: Wait, you!\Fools! You should have dodged!\Uh, how about a little, you know...\Apologize first, damn it...\This thing's more powerful than we thought!\Everyone...\Okay, then... I'm not gonna lose, either!\Natsu, Erza, now! response:	Leave it to us!
context: Fools! You should have dodged!\Uh, how about a little, you know...\Apologize first, damn it...\This thing's more powerful than we thought!\Everyone...\Okay, then... I'm not gonna lose, either!\Natsu, Erza, now!\Leave it to us! response:	Iron Fist of the Fire Dragon!
context: Uh, how about a little, you know...\Apologize first, damn it...\This thing's more powerful than we thought!\Everyone...\Okay, then... I'm not gonna lose, either!\Natsu, Erza, now!\Leave it to us!\Iron Fist of the Fire Dragon! response:	Got it!
context: Apologize first, damn it...\This thing's more powerful than we thought!\Everyone...\Okay, then... I'm not gonna lose, either!\Natsu, Erza, now!\Leave it to us!\Iron Fist of the Fire Dragon!\Got it! response:	Look at me! See? I'm one of the members of Fairy Tail's strongest team!
context: This thing's more powerful than we thought!\Everyone...\Okay, then... I'm not gonna lose, either!\Natsu, Erza, now!\Leave it to us!\Iron Fist of the Fire Dragon!\Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team! response:	Avalanche!
context: Everyone...\Okay, then... I'm not gonna lose, either!\Natsu, Erza, now!\Leave it to us!\Iron Fist of the Fire Dragon!\Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche! response:	Is everyone safe?
context: Okay, then... I'm not gonna lose, either!\Natsu, Erza, now!\Leave it to us!\Iron Fist of the Fire Dragon!\Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche!\Is everyone safe? response:	Well, that's what we get for making all that commotion.
context: Natsu, Erza, now!\Leave it to us!\Iron Fist of the Fire Dragon!\Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche!\Is everyone safe?\Well, that's what we get for making all that commotion. response:	Yup, they're beasts...
context: Leave it to us!\Iron Fist of the Fire Dragon!\Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche!\Is everyone safe?\Well, that's what we get for making all that commotion.\Yup, they're beasts... response:	Huh? Where's Lucy-san?
context: Iron Fist of the Fire Dragon!\Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche!\Is everyone safe?\Well, that's what we get for making all that commotion.\Yup, they're beasts...\Huh? Where's Lucy-san? response:	Lucy, where are you?
context: Got it!\Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche!\Is everyone safe?\Well, that's what we get for making all that commotion.\Yup, they're beasts...\Huh? Where's Lucy-san?\Lucy, where are you? response:	Cold...
context: Look at me! See? I'm one of the members of Fairy Tail's strongest team!\Avalanche!\Is everyone safe?\Well, that's what we get for making all that commotion.\Yup, they're beasts...\Huh? Where's Lucy-san?\Lucy, where are you?\Cold... response:	Today is the day of the hanami.
context: Avalanche!\Is everyone safe?\Well, that's what we get for making all that commotion.\Yup, they're beasts...\Huh? Where's Lucy-san?\Lucy, where are you?\Cold...\Today is the day of the hanami. response:	You aren't coming, Lucy?
context: Is everyone safe?\Well, that's what we get for making all that commotion.\Yup, they're beasts...\Huh? Where's Lucy-san?\Lucy, where are you?\Cold...\Today is the day of the hanami.\You aren't coming, Lucy? response:	The cherry blossoms in Magnolia are pretty, you know!
context: Well, that's what we get for making all that commotion.\Yup, they're beasts...\Huh? Where's Lucy-san?\Lucy, where are you?\Cold...\Today is the day of the hanami.\You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know! response:	I-I really wanna go...
context: Yup, they're beasts...\Huh? Where's Lucy-san?\Lucy, where are you?\Cold...\Today is the day of the hanami.\You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go... response:	I was really looking forward to it...
context: Huh? Where's Lucy-san?\Lucy, where are you?\Cold...\Today is the day of the hanami.\You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go...\I was really looking forward to it... response:	Are you okay, Lucy?
context: Lucy, where are you?\Cold...\Today is the day of the hanami.\You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go...\I was really looking forward to it...\Are you okay, Lucy? response:	Can't you tell just by looking at me?
context: Cold...\Today is the day of the hanami.\You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go...\I was really looking forward to it...\Are you okay, Lucy?\Can't you tell just by looking at me? response:	I've caught a cold...
context: Today is the day of the hanami.\You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go...\I was really looking forward to it...\Are you okay, Lucy?\Can't you tell just by looking at me?\I've caught a cold... response:	Sorry... I'm going to sleep...
context: You aren't coming, Lucy?\The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go...\I was really looking forward to it...\Are you okay, Lucy?\Can't you tell just by looking at me?\I've caught a cold...\Sorry... I'm going to sleep... response:	Take care of yourself.
context: The cherry blossoms in Magnolia are pretty, you know!\I-I really wanna go...\I was really looking forward to it...\Are you okay, Lucy?\Can't you tell just by looking at me?\I've caught a cold...\Sorry... I'm going to sleep...\Take care of yourself. response:	Man, that sucks.
