context: This is... response:	We've been gathering what are thought to be weapons
context: Well?\Currently, the actions of Striker X3752\would not be classified as Alliance military duty.\It is possible to authorize engagement in battle.\I see. In that case...\Chamber!\The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign. response:	Please. If we use a wireless, it will be intercepted.
context: Currently, the actions of Striker X3752\would not be classified as Alliance military duty.\It is possible to authorize engagement in battle.\I see. In that case...\Chamber!\The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted. response:	The only way is to go over and tell them directly. There's no time!
context: would not be classified as Alliance military duty.\It is possible to authorize engagement in battle.\I see. In that case...\Chamber!\The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time! response:	But there's no way I can carry out an important role like that...
context: It is possible to authorize engagement in battle.\I see. In that case...\Chamber!\The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that... response:	Right now, you're the only one who can fly over to Gargantia.
context: I see. In that case...\Chamber!\The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia. response:	Please! Save everyone!
context: Chamber!\The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone! response:	Fine, but you owe me one!
context: The answer to that question is beyond my support system function.\In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone!\Fine, but you owe me one! response:	Chamber, prepare for war.
context: In any case, combat policy formulation is in your hands, Ensign.\Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone!\Fine, but you owe me one!\Chamber, prepare for war. response:	Roger.
context: Please. If we use a wireless, it will be intercepted.\The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone!\Fine, but you owe me one!\Chamber, prepare for war.\Roger. response:	Gargantia...
context: The only way is to go over and tell them directly. There's no time!\But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone!\Fine, but you owe me one!\Chamber, prepare for war.\Roger.\Gargantia... response:	Melty!
context: But there's no way I can carry out an important role like that...\Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone!\Fine, but you owe me one!\Chamber, prepare for war.\Roger.\Gargantia...\Melty! response:	It was you!
context: Right now, you're the only one who can fly over to Gargantia.\Please! Save everyone!\Fine, but you owe me one!\Chamber, prepare for war.\Roger.\Gargantia...\Melty!\It was you! response:	Amy... Amy!
context: Please! Save everyone!\Fine, but you owe me one!\Chamber, prepare for war.\Roger.\Gargantia...\Melty!\It was you!\Amy... Amy! response:	Gargantia is... gonna be attacked...
context: Fine, but you owe me one!\Chamber, prepare for war.\Roger.\Gargantia...\Melty!\It was you!\Amy... Amy!\Gargantia is... gonna be attacked... response:	Melty!
context: Chamber, prepare for war.\Roger.\Gargantia...\Melty!\It was you!\Amy... Amy!\Gargantia is... gonna be attacked...\Melty! response:	Can you believe it? She flew all the way over here on a surf kite.
context: Roger.\Gargantia...\Melty!\It was you!\Amy... Amy!\Gargantia is... gonna be attacked...\Melty!\Can you believe it? She flew all the way over here on a surf kite. response:	Melty!
context: Gargantia...\Melty!\It was you!\Amy... Amy!\Gargantia is... gonna be attacked...\Melty!\Can you believe it? She flew all the way over here on a surf kite.\Melty! response:	Saaya... Amy...
context: Melty!\It was you!\Amy... Amy!\Gargantia is... gonna be attacked...\Melty!\Can you believe it? She flew all the way over here on a surf kite.\Melty!\Saaya... Amy... response:	In order to protect Gargantia,
context: It was you!\Amy... Amy!\Gargantia is... gonna be attacked...\Melty!\Can you believe it? She flew all the way over here on a surf kite.\Melty!\Saaya... Amy...\In order to protect Gargantia, response:	we have no choice but to do as Melty said, changing course and evacuating.
context: Amy... Amy!\Gargantia is... gonna be attacked...\Melty!\Can you believe it? She flew all the way over here on a surf kite.\Melty!\Saaya... Amy...\In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating. response:	From my point of view, I'd have to say...
context: Gargantia is... gonna be attacked...\Melty!\Can you believe it? She flew all the way over here on a surf kite.\Melty!\Saaya... Amy...\In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say... response:	Wait!
context: Melty!\Can you believe it? She flew all the way over here on a surf kite.\Melty!\Saaya... Amy...\In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say...\Wait! response:	Amy!
context: Can you believe it? She flew all the way over here on a surf kite.\Melty!\Saaya... Amy...\In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say...\Wait!\Amy! response:	Melty told me!
context: Melty!\Saaya... Amy...\In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say...\Wait!\Amy!\Melty told me! response:	She said Ledo is gonna let us get away and then fight!
context: Saaya... Amy...\In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say...\Wait!\Amy!\Melty told me!\She said Ledo is gonna let us get away and then fight! response:	What?!
context: In order to protect Gargantia,\we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say...\Wait!\Amy!\Melty told me!\She said Ledo is gonna let us get away and then fight!\What?! response:	He's gonna fight on his own, in our place!
context: we have no choice but to do as Melty said, changing course and evacuating.\From my point of view, I'd have to say...\Wait!\Amy!\Melty told me!\She said Ledo is gonna let us get away and then fight!\What?!\He's gonna fight on his own, in our place! response:	He's even gonna turn against an old friend to protect Gargantia!
context: From my point of view, I'd have to say...\Wait!\Amy!\Melty told me!\She said Ledo is gonna let us get away and then fight!\What?!\He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia! response:	And we're just gonna run away?!
context: Wait!\Amy!\Melty told me!\She said Ledo is gonna let us get away and then fight!\What?!\He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?! response:	You're okay with that?!
context: Amy!\Melty told me!\She said Ledo is gonna let us get away and then fight!\What?!\He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?!\You're okay with that?! response:	But...
context: Melty told me!\She said Ledo is gonna let us get away and then fight!\What?!\He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?!\You're okay with that?!\But... response:	If that's what he's chosen,
context: She said Ledo is gonna let us get away and then fight!\What?!\He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?!\You're okay with that?!\But...\If that's what he's chosen, response:	we have to make a choice as well.
context: What?!\He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?!\You're okay with that?!\But...\If that's what he's chosen,\we have to make a choice as well. response:	Dr. Oldham...
context: He's gonna fight on his own, in our place!\He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?!\You're okay with that?!\But...\If that's what he's chosen,\we have to make a choice as well.\Dr. Oldham... response:	Ridget, it seems the time has come to use that key.
context: He's even gonna turn against an old friend to protect Gargantia!\And we're just gonna run away?!\You're okay with that?!\But...\If that's what he's chosen,\we have to make a choice as well.\Dr. Oldham...\Ridget, it seems the time has come to use that key. response:	Heaven's Ladder...
context: And we're just gonna run away?!\You're okay with that?!\But...\If that's what he's chosen,\we have to make a choice as well.\Dr. Oldham...\Ridget, it seems the time has come to use that key.\Heaven's Ladder... response:	Are you serious?!
context: You're okay with that?!\But...\If that's what he's chosen,\we have to make a choice as well.\Dr. Oldham...\Ridget, it seems the time has come to use that key.\Heaven's Ladder...\Are you serious?! response:	As this fleet's resident sage, it is my responsibility
context: But...\If that's what he's chosen,\we have to make a choice as well.\Dr. Oldham...\Ridget, it seems the time has come to use that key.\Heaven's Ladder...\Are you serious?!\As this fleet's resident sage, it is my responsibility response:	to offer counsel to the fleet commander.
context: If that's what he's chosen,\we have to make a choice as well.\Dr. Oldham...\Ridget, it seems the time has come to use that key.\Heaven's Ladder...\Are you serious?!\As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander. response:	That time is now.
context: we have to make a choice as well.\Dr. Oldham...\Ridget, it seems the time has come to use that key.\Heaven's Ladder...\Are you serious?!\As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander.\That time is now. response:	Amy, I request your assistance as well.
context: Dr. Oldham...\Ridget, it seems the time has come to use that key.\Heaven's Ladder...\Are you serious?!\As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander.\That time is now.\Amy, I request your assistance as well. response:	We will make the world aware of my great will and the grand power of god!
context: Ridget, it seems the time has come to use that key.\Heaven's Ladder...\Are you serious?!\As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander.\That time is now.\Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god! response:	Here I declare the beginning of a new holy war!
context: Heaven's Ladder...\Are you serious?!\As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander.\That time is now.\Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war! response:	We will be victorious.
context: Are you serious?!\As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander.\That time is now.\Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war!\We will be victorious. response:	To bring absolute order to this planet...
context: As this fleet's resident sage, it is my responsibility\to offer counsel to the fleet commander.\That time is now.\Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war!\We will be victorious.\To bring absolute order to this planet... response:	To create a peaceful, glorious utopia on this planet...
context: to offer counsel to the fleet commander.\That time is now.\Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war!\We will be victorious.\To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet... response:	It is the only path that will lead to eternal happiness.
context: That time is now.\Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war!\We will be victorious.\To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness. response:	Ledo...
context: Amy, I request your assistance as well.\We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war!\We will be victorious.\To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness.\Ledo... response:	Ensign Ledo. What foolishness is this?
context: We will make the world aware of my great will and the grand power of god!\Here I declare the beginning of a new holy war!\We will be victorious.\To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness.\Ledo...\Ensign Ledo. What foolishness is this? response:	You're the one that's acting the fool.
context: Here I declare the beginning of a new holy war!\We will be victorious.\To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness.\Ledo...\Ensign Ledo. What foolishness is this?\You're the one that's acting the fool. response:	Hardly proper language for a soldier of the Alliance.
context: We will be victorious.\To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness.\Ledo...\Ensign Ledo. What foolishness is this?\You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance. response:	This is Earth! It's not the Galactic Alliance!
context: To bring absolute order to this planet...\To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness.\Ledo...\Ensign Ledo. What foolishness is this?\You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance! response:	But the human race resides on this planet.
context: To create a peaceful, glorious utopia on this planet...\It is the only path that will lead to eternal happiness.\Ledo...\Ensign Ledo. What foolishness is this?\You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet. response:	And their fate is our responsibility.
context: It is the only path that will lead to eternal happiness.\Ledo...\Ensign Ledo. What foolishness is this?\You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet.\And their fate is our responsibility. response:	Responsibility? Wrong!
context: Ledo...\Ensign Ledo. What foolishness is this?\You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet.\And their fate is our responsibility.\Responsibility? Wrong! response:	The people living on this planet have already built their own society!
context: Ensign Ledo. What foolishness is this?\You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet.\And their fate is our responsibility.\Responsibility? Wrong!\The people living on this planet have already built their own society! response:	We have no reason to destroy it!
context: You're the one that's acting the fool.\Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet.\And their fate is our responsibility.\Responsibility? Wrong!\The people living on this planet have already built their own society!\We have no reason to destroy it! response:	Our rightful cause hasn't changed. Don't waver now.
context: Hardly proper language for a soldier of the Alliance.\This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet.\And their fate is our responsibility.\Responsibility? Wrong!\The people living on this planet have already built their own society!\We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now. response:	Stop! This is a battle between the gods!
context: This is Earth! It's not the Galactic Alliance!\But the human race resides on this planet.\And their fate is our responsibility.\Responsibility? Wrong!\The people living on this planet have already built their own society!\We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods! response:	How is it so powerful?!
context: But the human race resides on this planet.\And their fate is our responsibility.\Responsibility? Wrong!\The people living on this planet have already built their own society!\We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods!\How is it so powerful?! response:	Conjecture: Instead of an internal generator, its energy is from an external source.
context: And their fate is our responsibility.\Responsibility? Wrong!\The people living on this planet have already built their own society!\We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods!\How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source. response:	So it's been conserving power?!
context: Responsibility? Wrong!\The people living on this planet have already built their own society!\We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods!\How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?! response:	Ledo.
context: The people living on this planet have already built their own society!\We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods!\How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?!\Ledo. response:	Our mission is to bring a new sense of order to this world.
context: We have no reason to destroy it!\Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods!\How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?!\Ledo.\Our mission is to bring a new sense of order to this world. response:	Pinion?!
context: Our rightful cause hasn't changed. Don't waver now.\Stop! This is a battle between the gods!\How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?!\Ledo.\Our mission is to bring a new sense of order to this world.\Pinion?! response:	Pinion, withdraw! This is my fight!
context: Stop! This is a battle between the gods!\How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?!\Ledo.\Our mission is to bring a new sense of order to this world.\Pinion?!\Pinion, withdraw! This is my fight! response:	Up yours! You may be birds of a feather,
context: How is it so powerful?!\Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?!\Ledo.\Our mission is to bring a new sense of order to this world.\Pinion?!\Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather, response:	but the one pretending to be a god pisses me off 10,000 times more!
context: Conjecture: Instead of an internal generator, its energy is from an external source.\So it's been conserving power?!\Ledo.\Our mission is to bring a new sense of order to this world.\Pinion?!\Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more! response:	Ready for the next one!
context: So it's been conserving power?!\Ledo.\Our mission is to bring a new sense of order to this world.\Pinion?!\Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one! response:	Kill him!
context: Ledo.\Our mission is to bring a new sense of order to this world.\Pinion?!\Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one!\Kill him! response:	What's this?!
context: Our mission is to bring a new sense of order to this world.\Pinion?!\Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one!\Kill him!\What's this?! response:	Citizens not participating in the battle, take shelter behind the bulkheads!
context: Pinion?!\Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one!\Kill him!\What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads! response:	Prepare the lifeboats!
context: Pinion, withdraw! This is my fight!\Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one!\Kill him!\What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats! response:	The main ship is this fleet's mother ship!
context: Up yours! You may be birds of a feather,\but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one!\Kill him!\What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats!\The main ship is this fleet's mother ship! response:	Be prepared for it to become a target!
context: but the one pretending to be a god pisses me off 10,000 times more!\Ready for the next one!\Kill him!\What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats!\The main ship is this fleet's mother ship!\Be prepared for it to become a target! response:	No tolerance for a rebellion! Anyone who stands against us is the enemy!
context: Ready for the next one!\Kill him!\What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats!\The main ship is this fleet's mother ship!\Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy! response:	H-Her!
context: Kill him!\What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats!\The main ship is this fleet's mother ship!\Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her! response:	Oh my. I apologize if I have to get a little rough!
context: What's this?!\Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats!\The main ship is this fleet's mother ship!\Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her!\Oh my. I apologize if I have to get a little rough! response:	You're more of a man than I thought!
context: Citizens not participating in the battle, take shelter behind the bulkheads!\Prepare the lifeboats!\The main ship is this fleet's mother ship!\Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her!\Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought! response:	My opinion of you is revised upwards.
context: Prepare the lifeboats!\The main ship is this fleet's mother ship!\Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her!\Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought!\My opinion of you is revised upwards. response:	Shut up! Just scatter those bastards and get over here!
context: The main ship is this fleet's mother ship!\Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her!\Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought!\My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here! response:	My pleasure.
context: Be prepared for it to become a target!\No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her!\Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought!\My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here!\My pleasure. response:	Having difficulty securing strategic advantage.
context: No tolerance for a rebellion! Anyone who stands against us is the enemy!\H-Her!\Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought!\My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here!\My pleasure.\Having difficulty securing strategic advantage. response:	Suggestion: Hit-and-run tactics.
context: H-Her!\Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought!\My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here!\My pleasure.\Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics. response:	Concentrate attacks on enemy's head.
context: Oh my. I apologize if I have to get a little rough!\You're more of a man than I thought!\My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here!\My pleasure.\Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head. response:	I don't wanna kill the commander!
context: You're more of a man than I thought!\My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here!\My pleasure.\Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head.\I don't wanna kill the commander! response:	Warning: Enemy maneuverability is superior to mine.
context: My opinion of you is revised upwards.\Shut up! Just scatter those bastards and get over here!\My pleasure.\Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head.\I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine. response:	The strong and the weak support each other through rationality.
context: Shut up! Just scatter those bastards and get over here!\My pleasure.\Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head.\I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality. response:	That's what humans are. Am I wrong?
context: My pleasure.\Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head.\I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality.\That's what humans are. Am I wrong? response:	Ledo!
context: Having difficulty securing strategic advantage.\Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head.\I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality.\That's what humans are. Am I wrong?\Ledo! response:	Now!
context: Suggestion: Hit-and-run tactics.\Concentrate attacks on enemy's head.\I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality.\That's what humans are. Am I wrong?\Ledo!\Now! response:	Hit'im!
context: Concentrate attacks on enemy's head.\I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality.\That's what humans are. Am I wrong?\Ledo!\Now!\Hit'im! response:	Pinion!
context: I don't wanna kill the commander!\Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality.\That's what humans are. Am I wrong?\Ledo!\Now!\Hit'im!\Pinion! response:	Yeah!
context: Warning: Enemy maneuverability is superior to mine.\The strong and the weak support each other through rationality.\That's what humans are. Am I wrong?\Ledo!\Now!\Hit'im!\Pinion!\Yeah! response:	Maximize generator power!
context: The strong and the weak support each other through rationality.\That's what humans are. Am I wrong?\Ledo!\Now!\Hit'im!\Pinion!\Yeah!\Maximize generator power! response:	Hey, Ledo, how about trying to change this planet with me?
context: That's what humans are. Am I wrong?\Ledo!\Now!\Hit'im!\Pinion!\Yeah!\Maximize generator power!\Hey, Ledo, how about trying to change this planet with me? response:	Approaching the enemy.
context: Ledo!\Now!\Hit'im!\Pinion!\Yeah!\Maximize generator power!\Hey, Ledo, how about trying to change this planet with me?\Approaching the enemy. response:	Input emergency release number.
context: Now!\Hit'im!\Pinion!\Yeah!\Maximize generator power!\Hey, Ledo, how about trying to change this planet with me?\Approaching the enemy.\Input emergency release number. response:	It helps that you're here.
context: Hit'im!\Pinion!\Yeah!\Maximize generator power!\Hey, Ledo, how about trying to change this planet with me?\Approaching the enemy.\Input emergency release number.\It helps that you're here. response:	Well? Will you follow me... again?
context: Pinion!\Yeah!\Maximize generator power!\Hey, Ledo, how about trying to change this planet with me?\Approaching the enemy.\Input emergency release number.\It helps that you're here.\Well? Will you follow me... again? response:	Commander...
context: Yeah!\Maximize generator power!\Hey, Ledo, how about trying to change this planet with me?\Approaching the enemy.\Input emergency release number.\It helps that you're here.\Well? Will you follow me... again?\Commander... response:	Rebooting attitude control system.
context: Maximize generator power!\Hey, Ledo, how about trying to change this planet with me?\Approaching the enemy.\Input emergency release number.\It helps that you're here.\Well? Will you follow me... again?\Commander...\Rebooting attitude control system. response:	Ensign Ledo, your resistance is without meaning.
