context: Yup, the Battle of Fairy Tail has been decided! response:	The Fantasia went great!
context: Oh my god!\A magazine reporter is coming...\My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread!\And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever.\And what's more... response:	If I can get a fee from doing the interview,
context: A magazine reporter is coming...\My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread!\And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever.\And what's more...\If I can get a fee from doing the interview, response:	I might be able to pay my rent!
context: My cuteness will knock him right out.\Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread!\And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever.\And what's more...\If I can get a fee from doing the interview,\I might be able to pay my rent! response:	This is like killing two birds with one stone!
context: Ms. Lucy... Please, allow me to photograph your cute smile...\Finally, I'll be in a photo spread!\And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever.\And what's more...\If I can get a fee from doing the interview,\I might be able to pay my rent!\This is like killing two birds with one stone! response:	Totally...
context: Finally, I'll be in a photo spread!\And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever.\And what's more...\If I can get a fee from doing the interview,\I might be able to pay my rent!\This is like killing two birds with one stone!\Totally... response:	I can do this! I can totally do this!
context: And that reporter is my fateful encounter!\Ms. Lucy, I want to continue this interview... forever.\And what's more...\If I can get a fee from doing the interview,\I might be able to pay my rent!\This is like killing two birds with one stone!\Totally...\I can do this! I can totally do this! response:	Natsu, Lucy's broke.
context: Ms. Lucy, I want to continue this interview... forever.\And what's more...\If I can get a fee from doing the interview,\I might be able to pay my rent!\This is like killing two birds with one stone!\Totally...\I can do this! I can totally do this!\Natsu, Lucy's broke. response:	Maybe she ate something that went bad.
context: And what's more...\If I can get a fee from doing the interview,\I might be able to pay my rent!\This is like killing two birds with one stone!\Totally...\I can do this! I can totally do this!\Natsu, Lucy's broke.\Maybe she ate something that went bad. response:	Or maybe she's snapped under the pressure of having to pay her rent.
context: If I can get a fee from doing the interview,\I might be able to pay my rent!\This is like killing two birds with one stone!\Totally...\I can do this! I can totally do this!\Natsu, Lucy's broke.\Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent. response:	I can't stay like this!
context: I might be able to pay my rent!\This is like killing two birds with one stone!\Totally...\I can do this! I can totally do this!\Natsu, Lucy's broke.\Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this! response:	Snip, snip...
context: This is like killing two birds with one stone!\Totally...\I can do this! I can totally do this!\Natsu, Lucy's broke.\Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this!\Snip, snip... response:	Snip.
context: Totally...\I can do this! I can totally do this!\Natsu, Lucy's broke.\Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this!\Snip, snip...\Snip. response:	Perfect-ebi.
context: I can do this! I can totally do this!\Natsu, Lucy's broke.\Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this!\Snip, snip...\Snip.\Perfect-ebi. response:	You think?
context: Natsu, Lucy's broke.\Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this!\Snip, snip...\Snip.\Perfect-ebi.\You think? response:	It's not to your taste-ebi?
context: Maybe she ate something that went bad.\Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this!\Snip, snip...\Snip.\Perfect-ebi.\You think?\It's not to your taste-ebi? response:	It's just... Maybe something a bit more cutting edge?
context: Or maybe she's snapped under the pressure of having to pay her rent.\I can't stay like this!\Snip, snip...\Snip.\Perfect-ebi.\You think?\It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge? response:	How can I put it?
context: I can't stay like this!\Snip, snip...\Snip.\Perfect-ebi.\You think?\It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge?\How can I put it? response:	Basically, you don't like it-ebi.
context: Snip, snip...\Snip.\Perfect-ebi.\You think?\It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge?\How can I put it?\Basically, you don't like it-ebi. response:	Well, it's not that...
context: Snip.\Perfect-ebi.\You think?\It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge?\How can I put it?\Basically, you don't like it-ebi.\Well, it's not that... response:	I will go on a journey to train-ebi...
context: Perfect-ebi.\You think?\It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge?\How can I put it?\Basically, you don't like it-ebi.\Well, it's not that...\I will go on a journey to train-ebi... response:	That's not it, okay?
context: You think?\It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge?\How can I put it?\Basically, you don't like it-ebi.\Well, it's not that...\I will go on a journey to train-ebi...\That's not it, okay? response:	How about I go to a bookstore and buy a hairstyle and makeup magazine?
context: It's not to your taste-ebi?\It's just... Maybe something a bit more cutting edge?\How can I put it?\Basically, you don't like it-ebi.\Well, it's not that...\I will go on a journey to train-ebi...\That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine? response:	Then I'll ask you again!
context: It's just... Maybe something a bit more cutting edge?\How can I put it?\Basically, you don't like it-ebi.\Well, it's not that...\I will go on a journey to train-ebi...\That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again! response:	Ebi...
context: How can I put it?\Basically, you don't like it-ebi.\Well, it's not that...\I will go on a journey to train-ebi...\That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again!\Ebi... response:	A fateful encounter, huh?
context: Basically, you don't like it-ebi.\Well, it's not that...\I will go on a journey to train-ebi...\That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again!\Ebi...\A fateful encounter, huh? response:	If I pick a book this way we'll end up touching the same book...
context: Well, it's not that...\I will go on a journey to train-ebi...\That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again!\Ebi...\A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book... response:	Or something like that.
context: I will go on a journey to train-ebi...\That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again!\Ebi...\A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book...\Or something like that. response:	So where's the development I've been promised, huh?
context: That's not it, okay?\How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again!\Ebi...\A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book...\Or something like that.\So where's the development I've been promised, huh? response:	Go ahead.
context: How about I go to a bookstore and buy a hairstyle and makeup magazine?\Then I'll ask you again!\Ebi...\A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book...\Or something like that.\So where's the development I've been promised, huh?\Go ahead. response:	No... You can have it.
context: Then I'll ask you again!\Ebi...\A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book...\Or something like that.\So where's the development I've been promised, huh?\Go ahead.\No... You can have it. response:	But...
context: Ebi...\A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book...\Or something like that.\So where's the development I've been promised, huh?\Go ahead.\No... You can have it.\But... response:	What?!
context: A fateful encounter, huh?\If I pick a book this way we'll end up touching the same book...\Or something like that.\So where's the development I've been promised, huh?\Go ahead.\No... You can have it.\But...\What?! response:	Fateful Encounter!
context: If I pick a book this way we'll end up touching the same book...\Or something like that.\So where's the development I've been promised, huh?\Go ahead.\No... You can have it.\But...\What?!\Fateful Encounter! response:	I don't need it!
context: Or something like that.\So where's the development I've been promised, huh?\Go ahead.\No... You can have it.\But...\What?!\Fateful Encounter!\I don't need it! response:	Here!
context: So where's the development I've been promised, huh?\Go ahead.\No... You can have it.\But...\What?!\Fateful Encounter!\I don't need it!\Here! response:	Hey!
context: Go ahead.\No... You can have it.\But...\What?!\Fateful Encounter!\I don't need it!\Here!\Hey! response:	Now that was a shock!
context: No... You can have it.\But...\What?!\Fateful Encounter!\I don't need it!\Here!\Hey!\Now that was a shock! response:	I can't believe my fateful encounter would be with someone out of the blue like that!
context: But...\What?!\Fateful Encounter!\I don't need it!\Here!\Hey!\Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that! response:	No! I can't go using up my luck in a place like this!
context: What?!\Fateful Encounter!\I don't need it!\Here!\Hey!\Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this! response:	Would you wait up?
context: Fateful Encounter!\I don't need it!\Here!\Hey!\Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this!\Would you wait up? response:	Do you live in this city?
context: I don't need it!\Here!\Hey!\Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this!\Would you wait up?\Do you live in this city? response:	Yes.
context: Here!\Hey!\Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this!\Would you wait up?\Do you live in this city?\Yes. response:	I was wondering... Could you show me around?
context: Hey!\Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this!\Would you wait up?\Do you live in this city?\Yes.\I was wondering... Could you show me around? response:	W-Why me?
context: Now that was a shock!\I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this!\Would you wait up?\Do you live in this city?\Yes.\I was wondering... Could you show me around?\W-Why me? response:	I'm writing a novel while traveling around.
context: I can't believe my fateful encounter would be with someone out of the blue like that!\No! I can't go using up my luck in a place like this!\Would you wait up?\Do you live in this city?\Yes.\I was wondering... Could you show me around?\W-Why me?\I'm writing a novel while traveling around. response:	A novel?
context: No! I can't go using up my luck in a place like this!\Would you wait up?\Do you live in this city?\Yes.\I was wondering... Could you show me around?\W-Why me?\I'm writing a novel while traveling around.\A novel? response:	I use all the things I see in the cities I visit as sources for my novel.
context: Would you wait up?\Do you live in this city?\Yes.\I was wondering... Could you show me around?\W-Why me?\I'm writing a novel while traveling around.\A novel?\I use all the things I see in the cities I visit as sources for my novel. response:	Well, that's really admirable.
context: Do you live in this city?\Yes.\I was wondering... Could you show me around?\W-Why me?\I'm writing a novel while traveling around.\A novel?\I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable. response:	All those memories will make that pen fly!
context: Yes.\I was wondering... Could you show me around?\W-Why me?\I'm writing a novel while traveling around.\A novel?\I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable.\All those memories will make that pen fly! response:	Wait, are you also a writer?
context: I was wondering... Could you show me around?\W-Why me?\I'm writing a novel while traveling around.\A novel?\I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable.\All those memories will make that pen fly!\Wait, are you also a writer? response:	Oh... Well, maybe just a little.
context: W-Why me?\I'm writing a novel while traveling around.\A novel?\I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable.\All those memories will make that pen fly!\Wait, are you also a writer?\Oh... Well, maybe just a little. response:	I see.
context: I'm writing a novel while traveling around.\A novel?\I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable.\All those memories will make that pen fly!\Wait, are you also a writer?\Oh... Well, maybe just a little.\I see. response:	Oh, yeah. That book from before.
context: A novel?\I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable.\All those memories will make that pen fly!\Wait, are you also a writer?\Oh... Well, maybe just a little.\I see.\Oh, yeah. That book from before. response:	I'll give it to you as a present.
context: I use all the things I see in the cities I visit as sources for my novel.\Well, that's really admirable.\All those memories will make that pen fly!\Wait, are you also a writer?\Oh... Well, maybe just a little.\I see.\Oh, yeah. That book from before.\I'll give it to you as a present. response:	So... Would you take me around for a day?
context: Well, that's really admirable.\All those memories will make that pen fly!\Wait, are you also a writer?\Oh... Well, maybe just a little.\I see.\Oh, yeah. That book from before.\I'll give it to you as a present.\So... Would you take me around for a day? response:	Sorry... I'm really busy today.
context: All those memories will make that pen fly!\Wait, are you also a writer?\Oh... Well, maybe just a little.\I see.\Oh, yeah. That book from before.\I'll give it to you as a present.\So... Would you take me around for a day?\Sorry... I'm really busy today. response:	I see... That's a shame.
context: Wait, are you also a writer?\Oh... Well, maybe just a little.\I see.\Oh, yeah. That book from before.\I'll give it to you as a present.\So... Would you take me around for a day?\Sorry... I'm really busy today.\I see... That's a shame. response:	I'm sorry!
context: Oh... Well, maybe just a little.\I see.\Oh, yeah. That book from before.\I'll give it to you as a present.\So... Would you take me around for a day?\Sorry... I'm really busy today.\I see... That's a shame.\I'm sorry! response:	It couldn't be...
context: I see.\Oh, yeah. That book from before.\I'll give it to you as a present.\So... Would you take me around for a day?\Sorry... I'm really busy today.\I see... That's a shame.\I'm sorry!\It couldn't be... response:	This can't be my fateful encounter...
context: Oh, yeah. That book from before.\I'll give it to you as a present.\So... Would you take me around for a day?\Sorry... I'm really busy today.\I see... That's a shame.\I'm sorry!\It couldn't be...\This can't be my fateful encounter... response:	Shoot!
context: I'll give it to you as a present.\So... Would you take me around for a day?\Sorry... I'm really busy today.\I see... That's a shame.\I'm sorry!\It couldn't be...\This can't be my fateful encounter...\Shoot! response:	I forgot to go buy the magazine...
context: So... Would you take me around for a day?\Sorry... I'm really busy today.\I see... That's a shame.\I'm sorry!\It couldn't be...\This can't be my fateful encounter...\Shoot!\I forgot to go buy the magazine... response:	And came here instead of going back home...
context: Sorry... I'm really busy today.\I see... That's a shame.\I'm sorry!\It couldn't be...\This can't be my fateful encounter...\Shoot!\I forgot to go buy the magazine...\And came here instead of going back home... response:	Oh! Titania!
context: I see... That's a shame.\I'm sorry!\It couldn't be...\This can't be my fateful encounter...\Shoot!\I forgot to go buy the magazine...\And came here instead of going back home...\Oh! Titania! response:	Holy... In the flesh!
context: I'm sorry!\It couldn't be...\This can't be my fateful encounter...\Shoot!\I forgot to go buy the magazine...\And came here instead of going back home...\Oh! Titania!\Holy... In the flesh! response:	Coool! Cool! Cool!
context: It couldn't be...\This can't be my fateful encounter...\Shoot!\I forgot to go buy the magazine...\And came here instead of going back home...\Oh! Titania!\Holy... In the flesh!\Coool! Cool! Cool! response:	It's Erza herself, right here before me!
context: This can't be my fateful encounter...\Shoot!\I forgot to go buy the magazine...\And came here instead of going back home...\Oh! Titania!\Holy... In the flesh!\Coool! Cool! Cool!\It's Erza herself, right here before me! response:	Coool!
context: Shoot!\I forgot to go buy the magazine...\And came here instead of going back home...\Oh! Titania!\Holy... In the flesh!\Coool! Cool! Cool!\It's Erza herself, right here before me!\Coool! response:	Cool...
context: I forgot to go buy the magazine...\And came here instead of going back home...\Oh! Titania!\Holy... In the flesh!\Coool! Cool! Cool!\It's Erza herself, right here before me!\Coool!\Cool... response:	Who's this high-strung weirdo?
context: And came here instead of going back home...\Oh! Titania!\Holy... In the flesh!\Coool! Cool! Cool!\It's Erza herself, right here before me!\Coool!\Cool...\Who's this high-strung weirdo? response:	That's Mr. Jason, from the Weekly Sorcerer.
context: Oh! Titania!\Holy... In the flesh!\Coool! Cool! Cool!\It's Erza herself, right here before me!\Coool!\Cool...\Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer. response:	Isn't this just the way I usually am?
context: Holy... In the flesh!\Coool! Cool! Cool!\It's Erza herself, right here before me!\Coool!\Cool...\Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am? response:	And after I went and got all dressed up...
context: Coool! Cool! Cool!\It's Erza herself, right here before me!\Coool!\Cool...\Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am?\And after I went and got all dressed up... response:	No problem!
context: It's Erza herself, right here before me!\Coool!\Cool...\Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am?\And after I went and got all dressed up...\No problem! response:	I want to capture you as you are naturally!
context: Coool!\Cool...\Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am?\And after I went and got all dressed up...\No problem!\I want to capture you as you are naturally! response:	Coool... Cool! Cool!
context: Cool...\Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am?\And after I went and got all dressed up...\No problem!\I want to capture you as you are naturally!\Coool... Cool! Cool! response:	My fated person? Probably not...
context: Who's this high-strung weirdo?\That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am?\And after I went and got all dressed up...\No problem!\I want to capture you as you are naturally!\Coool... Cool! Cool!\My fated person? Probably not... response:	Anyway, no way I'm going to let my chance at getting a photo spread slip by!
context: That's Mr. Jason, from the Weekly Sorcerer.\Isn't this just the way I usually am?\And after I went and got all dressed up...\No problem!\I want to capture you as you are naturally!\Coool... Cool! Cool!\My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by! response:	Very cute!
context: Isn't this just the way I usually am?\And after I went and got all dressed up...\No problem!\I want to capture you as you are naturally!\Coool... Cool! Cool!\My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute! response:	My name is Lucy!
context: And after I went and got all dressed up...\No problem!\I want to capture you as you are naturally!\Coool... Cool! Cool!\My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute!\My name is Lucy! response:	Erza there is my friend, see!
context: No problem!\I want to capture you as you are naturally!\Coool... Cool! Cool!\My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute!\My name is Lucy!\Erza there is my friend, see! response:	Would you answer a few questions?
context: I want to capture you as you are naturally!\Coool... Cool! Cool!\My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute!\My name is Lucy!\Erza there is my friend, see!\Would you answer a few questions? response:	I don't mind.
context: Coool... Cool! Cool!\My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute!\My name is Lucy!\Erza there is my friend, see!\Would you answer a few questions?\I don't mind. response:	Ignored!
context: My fated person? Probably not...\Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute!\My name is Lucy!\Erza there is my friend, see!\Would you answer a few questions?\I don't mind.\Ignored! response:	How many different requips are there you can do?
context: Anyway, no way I'm going to let my chance at getting a photo spread slip by!\Very cute!\My name is Lucy!\Erza there is my friend, see!\Would you answer a few questions?\I don't mind.\Ignored!\How many different requips are there you can do? response:	Over 100.
context: Very cute!\My name is Lucy!\Erza there is my friend, see!\Would you answer a few questions?\I don't mind.\Ignored!\How many different requips are there you can do?\Over 100. response:	Coool!
context: My name is Lucy!\Erza there is my friend, see!\Would you answer a few questions?\I don't mind.\Ignored!\How many different requips are there you can do?\Over 100.\Coool! response:	Which one is your favorite?
context: Erza there is my friend, see!\Would you answer a few questions?\I don't mind.\Ignored!\How many different requips are there you can do?\Over 100.\Coool!\Which one is your favorite? response:	Maybe the bunny girl?
context: Would you answer a few questions?\I don't mind.\Ignored!\How many different requips are there you can do?\Over 100.\Coool!\Which one is your favorite?\Maybe the bunny girl? response:	Bunny?
context: I don't mind.\Ignored!\How many different requips are there you can do?\Over 100.\Coool!\Which one is your favorite?\Maybe the bunny girl?\Bunny? response:	Those ears are really cute.
context: Ignored!\How many different requips are there you can do?\Over 100.\Coool!\Which one is your favorite?\Maybe the bunny girl?\Bunny?\Those ears are really cute. response:	Coool!
context: How many different requips are there you can do?\Over 100.\Coool!\Which one is your favorite?\Maybe the bunny girl?\Bunny?\Those ears are really cute.\Coool! response:	What're your favorite foods?
context: Over 100.\Coool!\Which one is your favorite?\Maybe the bunny girl?\Bunny?\Those ears are really cute.\Coool!\What're your favorite foods? response:	I can't do without cheesecake or souffle.
context: Coool!\Which one is your favorite?\Maybe the bunny girl?\Bunny?\Those ears are really cute.\Coool!\What're your favorite foods?\I can't do without cheesecake or souffle. response:	I knew it! Nobody knows who the heck I am!
context: Which one is your favorite?\Maybe the bunny girl?\Bunny?\Those ears are really cute.\Coool!\What're your favorite foods?\I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am! response:	I don't wanna hear you laughing about it!
context: Maybe the bunny girl?\Bunny?\Those ears are really cute.\Coool!\What're your favorite foods?\I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it! response:	Happy!
context: Bunny?\Those ears are really cute.\Coool!\What're your favorite foods?\I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it!\Happy! response:	Why are you blue?
context: Those ears are really cute.\Coool!\What're your favorite foods?\I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it!\Happy!\Why are you blue? response:	Because I am a cat.
context: Coool!\What're your favorite foods?\I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it!\Happy!\Why are you blue?\Because I am a cat. response:	I suck!
context: What're your favorite foods?\I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it!\Happy!\Why are you blue?\Because I am a cat.\I suck! response:	*stare*
context: I can't do without cheesecake or souffle.\I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it!\Happy!\Why are you blue?\Because I am a cat.\I suck!\*stare* response:	Dang...
context: I knew it! Nobody knows who the heck I am!\I don't wanna hear you laughing about it!\Happy!\Why are you blue?\Because I am a cat.\I suck!\*stare*\Dang... response:	He's totally not my type.
context: I don't wanna hear you laughing about it!\Happy!\Why are you blue?\Because I am a cat.\I suck!\*stare*\Dang...\He's totally not my type. response:	What'll I do if this is my fateful encounter?
context: Happy!\Why are you blue?\Because I am a cat.\I suck!\*stare*\Dang...\He's totally not my type.\What'll I do if this is my fateful encounter? response:	It's Gray!
context: Why are you blue?\Because I am a cat.\I suck!\*stare*\Dang...\He's totally not my type.\What'll I do if this is my fateful encounter?\It's Gray! response:	Gray is here, in the flesh!
context: Because I am a cat.\I suck!\*stare*\Dang...\He's totally not my type.\What'll I do if this is my fateful encounter?\It's Gray!\Gray is here, in the flesh! response:	Who are you?
context: I suck!\*stare*\Dang...\He's totally not my type.\What'll I do if this is my fateful encounter?\It's Gray!\Gray is here, in the flesh!\Who are you? response:	He's that magazine reporter.
context: *stare*\Dang...\He's totally not my type.\What'll I do if this is my fateful encounter?\It's Gray!\Gray is here, in the flesh!\Who are you?\He's that magazine reporter. response:	Could it be... Are you...Juvia?
context: Dang...\He's totally not my type.\What'll I do if this is my fateful encounter?\It's Gray!\Gray is here, in the flesh!\Who are you?\He's that magazine reporter.\Could it be... Are you...Juvia? response:	Coool!
context: He's totally not my type.\What'll I do if this is my fateful encounter?\It's Gray!\Gray is here, in the flesh!\Who are you?\He's that magazine reporter.\Could it be... Are you...Juvia?\Coool! response:	Gray, why do you take off your clothes so quickly?
context: What'll I do if this is my fateful encounter?\It's Gray!\Gray is here, in the flesh!\Who are you?\He's that magazine reporter.\Could it be... Are you...Juvia?\Coool!\Gray, why do you take off your clothes so quickly? response:	I do not!
context: It's Gray!\Gray is here, in the flesh!\Who are you?\He's that magazine reporter.\Could it be... Are you...Juvia?\Coool!\Gray, why do you take off your clothes so quickly?\I do not! response:	Stop callin' people perverts!
context: Gray is here, in the flesh!\Who are you?\He's that magazine reporter.\Could it be... Are you...Juvia?\Coool!\Gray, why do you take off your clothes so quickly?\I do not!\Stop callin' people perverts! response:	Gray-sama, your pants!
context: Who are you?\He's that magazine reporter.\Could it be... Are you...Juvia?\Coool!\Gray, why do you take off your clothes so quickly?\I do not!\Stop callin' people perverts!\Gray-sama, your pants! response:	It's kind of hot in here...
context: He's that magazine reporter.\Could it be... Are you...Juvia?\Coool!\Gray, why do you take off your clothes so quickly?\I do not!\Stop callin' people perverts!\Gray-sama, your pants!\It's kind of hot in here... response:	I might have to strip down myself...
context: Could it be... Are you...Juvia?\Coool!\Gray, why do you take off your clothes so quickly?\I do not!\Stop callin' people perverts!\Gray-sama, your pants!\It's kind of hot in here...\I might have to strip down myself... response:	So you're the reporter?!
context: Coool!\Gray, why do you take off your clothes so quickly?\I do not!\Stop callin' people perverts!\Gray-sama, your pants!\It's kind of hot in here...\I might have to strip down myself...\So you're the reporter?! response:	Natsu! Natsu, the Salamander!
context: Gray, why do you take off your clothes so quickly?\I do not!\Stop callin' people perverts!\Gray-sama, your pants!\It's kind of hot in here...\I might have to strip down myself...\So you're the reporter?!\Natsu! Natsu, the Salamander! response:	You're the one I wanted to meet most of all!
context: I do not!\Stop callin' people perverts!\Gray-sama, your pants!\It's kind of hot in here...\I might have to strip down myself...\So you're the reporter?!\Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all! response:	Cool!
context: Stop callin' people perverts!\Gray-sama, your pants!\It's kind of hot in here...\I might have to strip down myself...\So you're the reporter?!\Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all!\Cool! response:	Take it down a notch!
context: Gray-sama, your pants!\It's kind of hot in here...\I might have to strip down myself...\So you're the reporter?!\Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all!\Cool!\Take it down a notch! response:	Hey, hey! You're always writin' nasty things about me!
context: It's kind of hot in here...\I might have to strip down myself...\So you're the reporter?!\Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all!\Cool!\Take it down a notch!\Hey, hey! You're always writin' nasty things about me! response:	Yes!
context: I might have to strip down myself...\So you're the reporter?!\Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all!\Cool!\Take it down a notch!\Hey, hey! You're always writin' nasty things about me!\Yes! response:	Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...
context: So you're the reporter?!\Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all!\Cool!\Take it down a notch!\Hey, hey! You're always writin' nasty things about me!\Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed... response:	Cool! Cool! Cool!
context: Natsu! Natsu, the Salamander!\You're the one I wanted to meet most of all!\Cool!\Take it down a notch!\Hey, hey! You're always writin' nasty things about me!\Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool! response:	Whoa! It's really you!
context: You're the one I wanted to meet most of all!\Cool!\Take it down a notch!\Hey, hey! You're always writin' nasty things about me!\Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool!\Whoa! It's really you! response:	This is radical, to the max!
context: Cool!\Take it down a notch!\Hey, hey! You're always writin' nasty things about me!\Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool!\Whoa! It's really you!\This is radical, to the max! response:	Can I shake your hand?
context: Take it down a notch!\Hey, hey! You're always writin' nasty things about me!\Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool!\Whoa! It's really you!\This is radical, to the max!\Can I shake your hand? response:	Shut up!
context: Hey, hey! You're always writin' nasty things about me!\Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool!\Whoa! It's really you!\This is radical, to the max!\Can I shake your hand?\Shut up! response:	Coool!
context: Yes!\Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool!\Whoa! It's really you!\This is radical, to the max!\Can I shake your hand?\Shut up!\Coool! response:	Whoa, he's just too cool...
context: Like about the stuff I destroyed, or the stuff I destroyed, or the stuff I destroyed...\Cool! Cool! Cool!\Whoa! It's really you!\This is radical, to the max!\Can I shake your hand?\Shut up!\Coool!\Whoa, he's just too cool... response:	Truly a hero!
context: Cool! Cool! Cool!\Whoa! It's really you!\This is radical, to the max!\Can I shake your hand?\Shut up!\Coool!\Whoa, he's just too cool...\Truly a hero! response:	I've never seen such a cool handshake before.
