context: Th-This can't be happening! response:	Even Groribas, our best warrior, defeated?!
context: I'll notify the artillery crews.\Don't get caught up in the barrage and die.\Hey, wait!\You should come down here and help me.\That'd be much faster.\Oi! Geryuganshoop!\Damn him. How tough is this intruder?\How about another one?! response:	More futile attacks.
context: Don't get caught up in the barrage and die.\Hey, wait!\You should come down here and help me.\That'd be much faster.\Oi! Geryuganshoop!\Damn him. How tough is this intruder?\How about another one?!\More futile attacks. response:	Although you are exhausting yourself. That is good.
context: Hey, wait!\You should come down here and help me.\That'd be much faster.\Oi! Geryuganshoop!\Damn him. How tough is this intruder?\How about another one?!\More futile attacks.\Although you are exhausting yourself. That is good. response:	The hell is this?
context: You should come down here and help me.\That'd be much faster.\Oi! Geryuganshoop!\Damn him. How tough is this intruder?\How about another one?!\More futile attacks.\Although you are exhausting yourself. That is good.\The hell is this? response:	A marble? Why've you got this?
context: That'd be much faster.\Oi! Geryuganshoop!\Damn him. How tough is this intruder?\How about another one?!\More futile attacks.\Although you are exhausting yourself. That is good.\The hell is this?\A marble? Why've you got this? response:	Give it back!
context: Oi! Geryuganshoop!\Damn him. How tough is this intruder?\How about another one?!\More futile attacks.\Although you are exhausting yourself. That is good.\The hell is this?\A marble? Why've you got this?\Give it back! response:	Sure thing.
context: Damn him. How tough is this intruder?\How about another one?!\More futile attacks.\Although you are exhausting yourself. That is good.\The hell is this?\A marble? Why've you got this?\Give it back!\Sure thing. response:	Damn!
context: How about another one?!\More futile attacks.\Although you are exhausting yourself. That is good.\The hell is this?\A marble? Why've you got this?\Give it back!\Sure thing.\Damn! response:	That's nasty, ya nasty bastard! You dead?
context: More futile attacks.\Although you are exhausting yourself. That is good.\The hell is this?\A marble? Why've you got this?\Give it back!\Sure thing.\Damn!\That's nasty, ya nasty bastard! You dead? response:	Hey, this guy's got marble-looking things inside him.
context: Although you are exhausting yourself. That is good.\The hell is this?\A marble? Why've you got this?\Give it back!\Sure thing.\Damn!\That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him. response:	That's where ya hurt him!
context: The hell is this?\A marble? Why've you got this?\Give it back!\Sure thing.\Damn!\That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him.\That's where ya hurt him! response:	Oh!
context: A marble? Why've you got this?\Give it back!\Sure thing.\Damn!\That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him.\That's where ya hurt him!\Oh! response:	Nice work.
context: Give it back!\Sure thing.\Damn!\That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him.\That's where ya hurt him!\Oh!\Nice work. response:	So I just have to keep slicing until I hit a vital marble!
context: Sure thing.\Damn!\That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him.\That's where ya hurt him!\Oh!\Nice work.\So I just have to keep slicing until I hit a vital marble! response:	Impossible!
context: Damn!\That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him.\That's where ya hurt him!\Oh!\Nice work.\So I just have to keep slicing until I hit a vital marble!\Impossible! response:	I've been growing that head for a hundred years!
context: That's nasty, ya nasty bastard! You dead?\Hey, this guy's got marble-looking things inside him.\That's where ya hurt him!\Oh!\Nice work.\So I just have to keep slicing until I hit a vital marble!\Impossible!\I've been growing that head for a hundred years! response:	It died in a dump like this?
context: Hey, this guy's got marble-looking things inside him.\That's where ya hurt him!\Oh!\Nice work.\So I just have to keep slicing until I hit a vital marble!\Impossible!\I've been growing that head for a hundred years!\It died in a dump like this? response:	But you scum are all dead when the shells hit.
context: That's where ya hurt him!\Oh!\Nice work.\So I just have to keep slicing until I hit a vital marble!\Impossible!\I've been growing that head for a hundred years!\It died in a dump like this?\But you scum are all dead when the shells hit. response:	They're on their way!
context: Oh!\Nice work.\So I just have to keep slicing until I hit a vital marble!\Impossible!\I've been growing that head for a hundred years!\It died in a dump like this?\But you scum are all dead when the shells hit.\They're on their way! response:	Attention, intruder!
context: Nice work.\So I just have to keep slicing until I hit a vital marble!\Impossible!\I've been growing that head for a hundred years!\It died in a dump like this?\But you scum are all dead when the shells hit.\They're on their way!\Attention, intruder! response:	Stop your destructive acts and leave this instant.
context: So I just have to keep slicing until I hit a vital marble!\Impossible!\I've been growing that head for a hundred years!\It died in a dump like this?\But you scum are all dead when the shells hit.\They're on their way!\Attention, intruder!\Stop your destructive acts and leave this instant. response:	Attention, intruder!
context: Impossible!\I've been growing that head for a hundred years!\It died in a dump like this?\But you scum are all dead when the shells hit.\They're on their way!\Attention, intruder!\Stop your destructive acts and leave this instant.\Attention, intruder! response:	Leave immediately.
context: I've been growing that head for a hundred years!\It died in a dump like this?\But you scum are all dead when the shells hit.\They're on their way!\Attention, intruder!\Stop your destructive acts and leave this instant.\Attention, intruder!\Leave immediately. response:	Otherwise, we will unleash all our forces against you!
context: It died in a dump like this?\But you scum are all dead when the shells hit.\They're on their way!\Attention, intruder!\Stop your destructive acts and leave this instant.\Attention, intruder!\Leave immediately.\Otherwise, we will unleash all our forces against you! response:	That's weird.
context: But you scum are all dead when the shells hit.\They're on their way!\Attention, intruder!\Stop your destructive acts and leave this instant.\Attention, intruder!\Leave immediately.\Otherwise, we will unleash all our forces against you!\That's weird. response:	I hear a voice right inside my head.
context: They're on their way!\Attention, intruder!\Stop your destructive acts and leave this instant.\Attention, intruder!\Leave immediately.\Otherwise, we will unleash all our forces against you!\That's weird.\I hear a voice right inside my head. response:	Take one more step
context: Attention, intruder!\Stop your destructive acts and leave this instant.\Attention, intruder!\Leave immediately.\Otherwise, we will unleash all our forces against you!\That's weird.\I hear a voice right inside my head.\Take one more step response:	and you're dead!
context: Stop your destructive acts and leave this instant.\Attention, intruder!\Leave immediately.\Otherwise, we will unleash all our forces against you!\That's weird.\I hear a voice right inside my head.\Take one more step\and you're dead! response:	Even if I wanted to get out,
context: Attention, intruder!\Leave immediately.\Otherwise, we will unleash all our forces against you!\That's weird.\I hear a voice right inside my head.\Take one more step\and you're dead!\Even if I wanted to get out, response:	I can't. I've lost my way!
context: Leave immediately.\Otherwise, we will unleash all our forces against you!\That's weird.\I hear a voice right inside my head.\Take one more step\and you're dead!\Even if I wanted to get out,\I can't. I've lost my way! response:	Really? You'll leave?
context: Otherwise, we will unleash all our forces against you!\That's weird.\I hear a voice right inside my head.\Take one more step\and you're dead!\Even if I wanted to get out,\I can't. I've lost my way!\Really? You'll leave? response:	All right, I will guide you.
context: That's weird.\I hear a voice right inside my head.\Take one more step\and you're dead!\Even if I wanted to get out,\I can't. I've lost my way!\Really? You'll leave?\All right, I will guide you. response:	Take a right, then go up the stairs there.
context: I hear a voice right inside my head.\Take one more step\and you're dead!\Even if I wanted to get out,\I can't. I've lost my way!\Really? You'll leave?\All right, I will guide you.\Take a right, then go up the stairs there. response:	A right?
context: Take one more step\and you're dead!\Even if I wanted to get out,\I can't. I've lost my way!\Really? You'll leave?\All right, I will guide you.\Take a right, then go up the stairs there.\A right? response:	Exactly, a right.
context: and you're dead!\Even if I wanted to get out,\I can't. I've lost my way!\Really? You'll leave?\All right, I will guide you.\Take a right, then go up the stairs there.\A right?\Exactly, a right. response:	I guess I'll go left!
context: Even if I wanted to get out,\I can't. I've lost my way!\Really? You'll leave?\All right, I will guide you.\Take a right, then go up the stairs there.\A right?\Exactly, a right.\I guess I'll go left! response:	No, wait! Not that way!
context: I can't. I've lost my way!\Really? You'll leave?\All right, I will guide you.\Take a right, then go up the stairs there.\A right?\Exactly, a right.\I guess I'll go left!\No, wait! Not that way! response:	W-W-Wait Hang on! You can't!
context: Really? You'll leave?\All right, I will guide you.\Take a right, then go up the stairs there.\A right?\Exactly, a right.\I guess I'll go left!\No, wait! Not that way!\W-W-Wait Hang on! You can't! response:	All right, that was my fault!
context: All right, I will guide you.\Take a right, then go up the stairs there.\A right?\Exactly, a right.\I guess I'll go left!\No, wait! Not that way!\W-W-Wait Hang on! You can't!\All right, that was my fault! response:	I'll come to you. Please stay right there.
context: Take a right, then go up the stairs there.\A right?\Exactly, a right.\I guess I'll go left!\No, wait! Not that way!\W-W-Wait Hang on! You can't!\All right, that was my fault!\I'll come to you. Please stay right there. response:	Ahhh! Nooo!
context: A right?\Exactly, a right.\I guess I'll go left!\No, wait! Not that way!\W-W-Wait Hang on! You can't!\All right, that was my fault!\I'll come to you. Please stay right there.\Ahhh! Nooo! response:	Now this place looks like a control room or something.
context: Exactly, a right.\I guess I'll go left!\No, wait! Not that way!\W-W-Wait Hang on! You can't!\All right, that was my fault!\I'll come to you. Please stay right there.\Ahhh! Nooo!\Now this place looks like a control room or something. response:	You
context: I guess I'll go left!\No, wait! Not that way!\W-W-Wait Hang on! You can't!\All right, that was my fault!\I'll come to you. Please stay right there.\Ahhh! Nooo!\Now this place looks like a control room or something.\You response:	An octopus?
context: No, wait! Not that way!\W-W-Wait Hang on! You can't!\All right, that was my fault!\I'll come to you. Please stay right there.\Ahhh! Nooo!\Now this place looks like a control room or something.\You\An octopus? response:	You dare go around busting up our ship?
context: W-W-Wait Hang on! You can't!\All right, that was my fault!\I'll come to you. Please stay right there.\Ahhh! Nooo!\Now this place looks like a control room or something.\You\An octopus?\You dare go around busting up our ship? response:	Hey! The debris is all flying at me!
context: All right, that was my fault!\I'll come to you. Please stay right there.\Ahhh! Nooo!\Now this place looks like a control room or something.\You\An octopus?\You dare go around busting up our ship?\Hey! The debris is all flying at me! response:	Now Geryuganshoop, the supreme telekinetic power in the universe,
context: I'll come to you. Please stay right there.\Ahhh! Nooo!\Now this place looks like a control room or something.\You\An octopus?\You dare go around busting up our ship?\Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe, response:	will grind you into blood sausage.
context: Ahhh! Nooo!\Now this place looks like a control room or something.\You\An octopus?\You dare go around busting up our ship?\Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage. response:	Just about there.
context: Now this place looks like a control room or something.\You\An octopus?\You dare go around busting up our ship?\Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage.\Just about there. response:	Lord Geryuganshoop, preparations for the bombardment
context: You\An octopus?\You dare go around busting up our ship?\Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage.\Just about there.\Lord Geryuganshoop, preparations for the bombardment response:	are nearly complete.
context: An octopus?\You dare go around busting up our ship?\Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage.\Just about there.\Lord Geryuganshoop, preparations for the bombardment\are nearly complete. response:	Shall I proceed?
context: You dare go around busting up our ship?\Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage.\Just about there.\Lord Geryuganshoop, preparations for the bombardment\are nearly complete.\Shall I proceed? response:	Maybe he went to the bathroom
context: Hey! The debris is all flying at me!\Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage.\Just about there.\Lord Geryuganshoop, preparations for the bombardment\are nearly complete.\Shall I proceed?\Maybe he went to the bathroom response:	Hey, Lord Geryuganshoop!
context: Now Geryuganshoop, the supreme telekinetic power in the universe,\will grind you into blood sausage.\Just about there.\Lord Geryuganshoop, preparations for the bombardment\are nearly complete.\Shall I proceed?\Maybe he went to the bathroom\Hey, Lord Geryuganshoop! response:	Telekinetic powerlike a psychic?
context: will grind you into blood sausage.\Just about there.\Lord Geryuganshoop, preparations for the bombardment\are nearly complete.\Shall I proceed?\Maybe he went to the bathroom\Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic? response:	You leave me no choice.
context: Just about there.\Lord Geryuganshoop, preparations for the bombardment\are nearly complete.\Shall I proceed?\Maybe he went to the bathroom\Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic?\You leave me no choice. response:	Super Telekinetic Gravitational Wave!
context: Lord Geryuganshoop, preparations for the bombardment\are nearly complete.\Shall I proceed?\Maybe he went to the bathroom\Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic?\You leave me no choice.\Super Telekinetic Gravitational Wave! response:	Die, Earthling!
context: are nearly complete.\Shall I proceed?\Maybe he went to the bathroom\Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic?\You leave me no choice.\Super Telekinetic Gravitational Wave!\Die, Earthling! response:	My unparalleled telekinetic powers allow me
context: Shall I proceed?\Maybe he went to the bathroom\Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic?\You leave me no choice.\Super Telekinetic Gravitational Wave!\Die, Earthling!\My unparalleled telekinetic powers allow me response:	to manipulate even the forces of gravity!
context: Maybe he went to the bathroom\Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic?\You leave me no choice.\Super Telekinetic Gravitational Wave!\Die, Earthling!\My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity! response:	Have you any idea what a black hole is, you ape?
context: Hey, Lord Geryuganshoop!\Telekinetic powerlike a psychic?\You leave me no choice.\Super Telekinetic Gravitational Wave!\Die, Earthling!\My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape? response:	Inside one, the gravitational effects are so strong
context: Telekinetic powerlike a psychic?\You leave me no choice.\Super Telekinetic Gravitational Wave!\Die, Earthling!\My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong response:	even light itself cannot escape!
context: You leave me no choice.\Super Telekinetic Gravitational Wave!\Die, Earthling!\My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong\even light itself cannot escape! response:	Wait?
context: Super Telekinetic Gravitational Wave!\Die, Earthling!\My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong\even light itself cannot escape!\Wait? response:	Now what?
context: Die, Earthling!\My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong\even light itself cannot escape!\Wait?\Now what? response:	Take this! Telekinetic Shower of Rubble!
context: My unparalleled telekinetic powers allow me\to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong\even light itself cannot escape!\Wait?\Now what?\Take this! Telekinetic Shower of Rubble! response:	I got him!
context: to manipulate even the forces of gravity!\Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong\even light itself cannot escape!\Wait?\Now what?\Take this! Telekinetic Shower of Rubble!\I got him! response:	What a waste of psychic powers.
context: Have you any idea what a black hole is, you ape?\Inside one, the gravitational effects are so strong\even light itself cannot escape!\Wait?\Now what?\Take this! Telekinetic Shower of Rubble!\I got him!\What a waste of psychic powers. response:	I mean, all you're doing is tossing pebbles around.
context: Inside one, the gravitational effects are so strong\even light itself cannot escape!\Wait?\Now what?\Take this! Telekinetic Shower of Rubble!\I got him!\What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around. response:	Anyone can do that.
context: even light itself cannot escape!\Wait?\Now what?\Take this! Telekinetic Shower of Rubble!\I got him!\What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around.\Anyone can do that. response:	How...could...
context: Wait?\Now what?\Take this! Telekinetic Shower of Rubble!\I got him!\What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around.\Anyone can do that.\How...could... response:	IGeryuganshoop
context: Now what?\Take this! Telekinetic Shower of Rubble!\I got him!\What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around.\Anyone can do that.\How...could...\IGeryuganshoop response:	be...
context: Take this! Telekinetic Shower of Rubble!\I got him!\What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around.\Anyone can do that.\How...could...\IGeryuganshoop\be... response:	Excuse me
context: I got him!\What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around.\Anyone can do that.\How...could...\IGeryuganshoop\be...\Excuse me response:	Can I ask
context: What a waste of psychic powers.\I mean, all you're doing is tossing pebbles around.\Anyone can do that.\How...could...\IGeryuganshoop\be...\Excuse me\Can I ask response:	where your boss is?
context: I mean, all you're doing is tossing pebbles around.\Anyone can do that.\How...could...\IGeryuganshoop\be...\Excuse me\Can I ask\where your boss is? response:	This looks bad.
context: Anyone can do that.\How...could...\IGeryuganshoop\be...\Excuse me\Can I ask\where your boss is?\This looks bad. response:	Is that confirmed?
context: How...could...\IGeryuganshoop\be...\Excuse me\Can I ask\where your boss is?\This looks bad.\Is that confirmed? response:	Yes, Child Emperor said that the energy level in
context: IGeryuganshoop\be...\Excuse me\Can I ask\where your boss is?\This looks bad.\Is that confirmed?\Yes, Child Emperor said that the energy level in response:	the spaceship is rapidly rising.
context: be...\Excuse me\Can I ask\where your boss is?\This looks bad.\Is that confirmed?\Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising. response:	Yes, but the civilians
context: Excuse me\Can I ask\where your boss is?\This looks bad.\Is that confirmed?\Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising.\Yes, but the civilians response:	Recall the search and rescue teams for now.
context: Can I ask\where your boss is?\This looks bad.\Is that confirmed?\Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising.\Yes, but the civilians\Recall the search and rescue teams for now. response:	Have everyone take cover.
context: where your boss is?\This looks bad.\Is that confirmed?\Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising.\Yes, but the civilians\Recall the search and rescue teams for now.\Have everyone take cover. response:	You'll be taking fire soon!
context: This looks bad.\Is that confirmed?\Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising.\Yes, but the civilians\Recall the search and rescue teams for now.\Have everyone take cover.\You'll be taking fire soon! response:	Hop on!
context: Is that confirmed?\Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising.\Yes, but the civilians\Recall the search and rescue teams for now.\Have everyone take cover.\You'll be taking fire soon!\Hop on! response:	There we go.
context: Yes, Child Emperor said that the energy level in\the spaceship is rapidly rising.\Yes, but the civilians\Recall the search and rescue teams for now.\Have everyone take cover.\You'll be taking fire soon!\Hop on!\There we go. response:	Geryuganshoop still hasn't gotten back to me
context: the spaceship is rapidly rising.\Yes, but the civilians\Recall the search and rescue teams for now.\Have everyone take cover.\You'll be taking fire soon!\Hop on!\There we go.\Geryuganshoop still hasn't gotten back to me response:	but whatever.
context: Yes, but the civilians\Recall the search and rescue teams for now.\Have everyone take cover.\You'll be taking fire soon!\Hop on!\There we go.\Geryuganshoop still hasn't gotten back to me\but whatever. response:	Let's see
context: Recall the search and rescue teams for now.\Have everyone take cover.\You'll be taking fire soon!\Hop on!\There we go.\Geryuganshoop still hasn't gotten back to me\but whatever.\Let's see response:	I believe the order was to concentrate fire
context: Have everyone take cover.\You'll be taking fire soon!\Hop on!\There we go.\Geryuganshoop still hasn't gotten back to me\but whatever.\Let's see\I believe the order was to concentrate fire response:	around the enemies on the surface near Melzargard.
context: You'll be taking fire soon!\Hop on!\There we go.\Geryuganshoop still hasn't gotten back to me\but whatever.\Let's see\I believe the order was to concentrate fire\around the enemies on the surface near Melzargard. response:	Two heads to go!
context: Hop on!\There we go.\Geryuganshoop still hasn't gotten back to me\but whatever.\Let's see\I believe the order was to concentrate fire\around the enemies on the surface near Melzargard.\Two heads to go! response:	I'll bust'em wide open!
context: There we go.\Geryuganshoop still hasn't gotten back to me\but whatever.\Let's see\I believe the order was to concentrate fire\around the enemies on the surface near Melzargard.\Two heads to go!\I'll bust'em wide open! response:	Is it time?
context: Geryuganshoop still hasn't gotten back to me\but whatever.\Let's see\I believe the order was to concentrate fire\around the enemies on the surface near Melzargard.\Two heads to go!\I'll bust'em wide open!\Is it time? response:	Ship, bombardment, coming
context: but whatever.\Let's see\I believe the order was to concentrate fire\around the enemies on the surface near Melzargard.\Two heads to go!\I'll bust'em wide open!\Is it time?\Ship, bombardment, coming response:	There they are.
context: Let's see\I believe the order was to concentrate fire\around the enemies on the surface near Melzargard.\Two heads to go!\I'll bust'em wide open!\Is it time?\Ship, bombardment, coming\There they are. response:	All right
context: I believe the order was to concentrate fire\around the enemies on the surface near Melzargard.\Two heads to go!\I'll bust'em wide open!\Is it time?\Ship, bombardment, coming\There they are.\All right response:	click!
context: around the enemies on the surface near Melzargard.\Two heads to go!\I'll bust'em wide open!\Is it time?\Ship, bombardment, coming\There they are.\All right\click! response:	It's over.
context: Two heads to go!\I'll bust'em wide open!\Is it time?\Ship, bombardment, coming\There they are.\All right\click!\It's over. response:	Evasion, impossible. Instant death.
context: I'll bust'em wide open!\Is it time?\Ship, bombardment, coming\There they are.\All right\click!\It's over.\Evasion, impossible. Instant death. response:	Huh What happened?
context: Is it time?\Ship, bombardment, coming\There they are.\All right\click!\It's over.\Evasion, impossible. Instant death.\Huh What happened? response:	What on earth?
context: Ship, bombardment, coming\There they are.\All right\click!\It's over.\Evasion, impossible. Instant death.\Huh What happened?\What on earth? response:	They stopped.
context: There they are.\All right\click!\It's over.\Evasion, impossible. Instant death.\Huh What happened?\What on earth?\They stopped. response:	All of you would be dead without me.
context: All right\click!\It's over.\Evasion, impossible. Instant death.\Huh What happened?\What on earth?\They stopped.\All of you would be dead without me. response:	Can't you even finish one small fry?
context: click!\It's over.\Evasion, impossible. Instant death.\Huh What happened?\What on earth?\They stopped.\All of you would be dead without me.\Can't you even finish one small fry? response:	Maybe try starting over from Class C.
context: It's over.\Evasion, impossible. Instant death.\Huh What happened?\What on earth?\They stopped.\All of you would be dead without me.\Can't you even finish one small fry?\Maybe try starting over from Class C. response:	You can have
context: Evasion, impossible. Instant death.\Huh What happened?\What on earth?\They stopped.\All of you would be dead without me.\Can't you even finish one small fry?\Maybe try starting over from Class C.\You can have response:	your shells back.
context: Huh What happened?\What on earth?\They stopped.\All of you would be dead without me.\Can't you even finish one small fry?\Maybe try starting over from Class C.\You can have\your shells back. response:	Th-This is
context: What on earth?\They stopped.\All of you would be dead without me.\Can't you even finish one small fry?\Maybe try starting over from Class C.\You can have\your shells back.\Th-This is response:	I wanna go home.
context: They stopped.\All of you would be dead without me.\Can't you even finish one small fry?\Maybe try starting over from Class C.\You can have\your shells back.\Th-This is\I wanna go home. response:	I didnt expect you to be here.
context: All of you would be dead without me.\Can't you even finish one small fry?\Maybe try starting over from Class C.\You can have\your shells back.\Th-This is\I wanna go home.\I didnt expect you to be here. response:	Thank you, Mumen Rider.
context: Can't you even finish one small fry?\Maybe try starting over from Class C.\You can have\your shells back.\Th-This is\I wanna go home.\I didnt expect you to be here.\Thank you, Mumen Rider. response:	Which areas are likely to have survivors?
context: Maybe try starting over from Class C.\You can have\your shells back.\Th-This is\I wanna go home.\I didnt expect you to be here.\Thank you, Mumen Rider.\Which areas are likely to have survivors? response:	There must be more out there.
context: You can have\your shells back.\Th-This is\I wanna go home.\I didnt expect you to be here.\Thank you, Mumen Rider.\Which areas are likely to have survivors?\There must be more out there. response:	But you
context: your shells back.\Th-This is\I wanna go home.\I didnt expect you to be here.\Thank you, Mumen Rider.\Which areas are likely to have survivors?\There must be more out there.\But you response:	I'll go rescue them right now.
context: Th-This is\I wanna go home.\I didnt expect you to be here.\Thank you, Mumen Rider.\Which areas are likely to have survivors?\There must be more out there.\But you\I'll go rescue them right now. response:	We want to know, too.
context: I wanna go home.\I didnt expect you to be here.\Thank you, Mumen Rider.\Which areas are likely to have survivors?\There must be more out there.\But you\I'll go rescue them right now.\We want to know, too. response:	Yeah, can't let him hog the limelight.
context: I didnt expect you to be here.\Thank you, Mumen Rider.\Which areas are likely to have survivors?\There must be more out there.\But you\I'll go rescue them right now.\We want to know, too.\Yeah, can't let him hog the limelight. response:	Stinger, Lightning Max
context: Thank you, Mumen Rider.\Which areas are likely to have survivors?\There must be more out there.\But you\I'll go rescue them right now.\We want to know, too.\Yeah, can't let him hog the limelight.\Stinger, Lightning Max response:	Mind if we borrow this?
context: Which areas are likely to have survivors?\There must be more out there.\But you\I'll go rescue them right now.\We want to know, too.\Yeah, can't let him hog the limelight.\Stinger, Lightning Max\Mind if we borrow this? response:	You guys
context: There must be more out there.\But you\I'll go rescue them right now.\We want to know, too.\Yeah, can't let him hog the limelight.\Stinger, Lightning Max\Mind if we borrow this?\You guys response:	Nice catch.
context: But you\I'll go rescue them right now.\We want to know, too.\Yeah, can't let him hog the limelight.\Stinger, Lightning Max\Mind if we borrow this?\You guys\Nice catch. response:	Found it
context: I'll go rescue them right now.\We want to know, too.\Yeah, can't let him hog the limelight.\Stinger, Lightning Max\Mind if we borrow this?\You guys\Nice catch.\Found it response:	Smush.
context: We want to know, too.\Yeah, can't let him hog the limelight.\Stinger, Lightning Max\Mind if we borrow this?\You guys\Nice catch.\Found it\Smush. response:	One left!
context: Yeah, can't let him hog the limelight.\Stinger, Lightning Max\Mind if we borrow this?\You guys\Nice catch.\Found it\Smush.\One left! response:	Silverfang!
context: Stinger, Lightning Max\Mind if we borrow this?\You guys\Nice catch.\Found it\Smush.\One left!\Silverfang! response:	Adirect hit.
context: Mind if we borrow this?\You guys\Nice catch.\Found it\Smush.\One left!\Silverfang!\Adirect hit. response:	Weak, weak!
context: You guys\Nice catch.\Found it\Smush.\One left!\Silverfang!\Adirect hit.\Weak, weak! response:	You are all so very weak.
context: Nice catch.\Found it\Smush.\One left!\Silverfang!\Adirect hit.\Weak, weak!\You are all so very weak. response:	Dead after a single hit!
context: Found it\Smush.\One left!\Silverfang!\Adirect hit.\Weak, weak!\You are all so very weak.\Dead after a single hit! response:	A change of tactics was all I needed.
context: Smush.\One left!\Silverfang!\Adirect hit.\Weak, weak!\You are all so very weak.\Dead after a single hit!\A change of tactics was all I needed. response:	If I forget defense and focus on attack,
context: One left!\Silverfang!\Adirect hit.\Weak, weak!\You are all so very weak.\Dead after a single hit!\A change of tactics was all I needed.\If I forget defense and focus on attack, response:	this will all be over quickly.
context: Silverfang!\Adirect hit.\Weak, weak!\You are all so very weak.\Dead after a single hit!\A change of tactics was all I needed.\If I forget defense and focus on attack,\this will all be over quickly. response:	And you're next!
context: Adirect hit.\Weak, weak!\You are all so very weak.\Dead after a single hit!\A change of tactics was all I needed.\If I forget defense and focus on attack,\this will all be over quickly.\And you're next! response:	I will spring past that sword and squeeze your skull'til it pops.
context: Weak, weak!\You are all so very weak.\Dead after a single hit!\A change of tactics was all I needed.\If I forget defense and focus on attack,\this will all be over quickly.\And you're next!\I will spring past that sword and squeeze your skull'til it pops. response:	Think so? Then be my guest.
context: You are all so very weak.\Dead after a single hit!\A change of tactics was all I needed.\If I forget defense and focus on attack,\this will all be over quickly.\And you're next!\I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest. response:	So he's come.
context: Dead after a single hit!\A change of tactics was all I needed.\If I forget defense and focus on attack,\this will all be over quickly.\And you're next!\I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest.\So he's come. response:	This planet's finest warrior
context: A change of tactics was all I needed.\If I forget defense and focus on attack,\this will all be over quickly.\And you're next!\I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest.\So he's come.\This planet's finest warrior response:	I can sense no limit to his energy.
context: If I forget defense and focus on attack,\this will all be over quickly.\And you're next!\I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest.\So he's come.\This planet's finest warrior\I can sense no limit to his energy. response:	You the boss of these invaders?
context: this will all be over quickly.\And you're next!\I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest.\So he's come.\This planet's finest warrior\I can sense no limit to his energy.\You the boss of these invaders? response:	Wonderful!
context: And you're next!\I will spring past that sword and squeeze your skull'til it pops.\Think so? Then be my guest.\So he's come.\This planet's finest warrior\I can sense no limit to his energy.\You the boss of these invaders?\Wonderful! response:	Before we fight, let us exchange names.
