context: All units, stay put. response:	We grab him when he flips off the engine.
context: She left all this out? Jeez.\Kuroi, take care of Tilarna. Be a good girl.\This is terrible...\That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing!\She's like an animal!\Calm down. That's right. Calm down.\First, that crossbow. response:	It fell off the sofa and into the garbage can next to it...
context: Kuroi, take care of Tilarna. Be a good girl.\This is terrible...\That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing!\She's like an animal!\Calm down. That's right. Calm down.\First, that crossbow.\It fell off the sofa and into the garbage can next to it... response:	Wait, wait, wait, wait!
context: This is terrible...\That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing!\She's like an animal!\Calm down. That's right. Calm down.\First, that crossbow.\It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait! response:	Quenishuba...
context: That bow had a mildey of Moz Nel Valva on it...\She got on top of Kei wearing practically nothing!\She's like an animal!\Calm down. That's right. Calm down.\First, that crossbow.\It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait!\Quenishuba... response:	Quenishuba!
context: She got on top of Kei wearing practically nothing!\She's like an animal!\Calm down. That's right. Calm down.\First, that crossbow.\It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait!\Quenishuba...\Quenishuba! response:	Oh, no... Oh, no!
context: She's like an animal!\Calm down. That's right. Calm down.\First, that crossbow.\It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait!\Quenishuba...\Quenishuba!\Oh, no... Oh, no! response:	Is she... don't tell me...
context: Calm down. That's right. Calm down.\First, that crossbow.\It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait!\Quenishuba...\Quenishuba!\Oh, no... Oh, no!\Is she... don't tell me... response:	Stop it, Kuroi!
context: First, that crossbow.\It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait!\Quenishuba...\Quenishuba!\Oh, no... Oh, no!\Is she... don't tell me...\Stop it, Kuroi! response:	At least... at least take off your underwear!
context: It fell off the sofa and into the garbage can next to it...\Wait, wait, wait, wait!\Quenishuba...\Quenishuba!\Oh, no... Oh, no!\Is she... don't tell me...\Stop it, Kuroi!\At least... at least take off your underwear! response:	No! No! No...
context: Wait, wait, wait, wait!\Quenishuba...\Quenishuba!\Oh, no... Oh, no!\Is she... don't tell me...\Stop it, Kuroi!\At least... at least take off your underwear!\No! No! No... response:	No!
context: Quenishuba...\Quenishuba!\Oh, no... Oh, no!\Is she... don't tell me...\Stop it, Kuroi!\At least... at least take off your underwear!\No! No! No...\No! response:	A simple raid ended up with a plane crash?
context: Quenishuba!\Oh, no... Oh, no!\Is she... don't tell me...\Stop it, Kuroi!\At least... at least take off your underwear!\No! No! No...\No!\A simple raid ended up with a plane crash? response:	What the hell happened?
context: Oh, no... Oh, no!\Is she... don't tell me...\Stop it, Kuroi!\At least... at least take off your underwear!\No! No! No...\No!\A simple raid ended up with a plane crash?\What the hell happened? response:	Just like I said.
context: Is she... don't tell me...\Stop it, Kuroi!\At least... at least take off your underwear!\No! No! No...\No!\A simple raid ended up with a plane crash?\What the hell happened?\Just like I said. response:	The local cops screwed up, and...
context: Stop it, Kuroi!\At least... at least take off your underwear!\No! No! No...\No!\A simple raid ended up with a plane crash?\What the hell happened?\Just like I said.\The local cops screwed up, and... response:	Shut up!
context: At least... at least take off your underwear!\No! No! No...\No!\A simple raid ended up with a plane crash?\What the hell happened?\Just like I said.\The local cops screwed up, and...\Shut up! response:	The Golanbiza county police were on the phone screaming at me!
context: No! No! No...\No!\A simple raid ended up with a plane crash?\What the hell happened?\Just like I said.\The local cops screwed up, and...\Shut up!\The Golanbiza county police were on the phone screaming at me! response:	At midnight!
context: No!\A simple raid ended up with a plane crash?\What the hell happened?\Just like I said.\The local cops screwed up, and...\Shut up!\The Golanbiza county police were on the phone screaming at me!\At midnight! response:	My wife was pissed!
context: A simple raid ended up with a plane crash?\What the hell happened?\Just like I said.\The local cops screwed up, and...\Shut up!\The Golanbiza county police were on the phone screaming at me!\At midnight!\My wife was pissed! response:	Right after I spent the last few days
context: What the hell happened?\Just like I said.\The local cops screwed up, and...\Shut up!\The Golanbiza county police were on the phone screaming at me!\At midnight!\My wife was pissed!\Right after I spent the last few days response:	eating oysters and taking zinc supplements, too!
context: Just like I said.\The local cops screwed up, and...\Shut up!\The Golanbiza county police were on the phone screaming at me!\At midnight!\My wife was pissed!\Right after I spent the last few days\eating oysters and taking zinc supplements, too! response:	Chief, was it just the county police?
context: The local cops screwed up, and...\Shut up!\The Golanbiza county police were on the phone screaming at me!\At midnight!\My wife was pissed!\Right after I spent the last few days\eating oysters and taking zinc supplements, too!\Chief, was it just the county police? response:	What?
context: Shut up!\The Golanbiza county police were on the phone screaming at me!\At midnight!\My wife was pissed!\Right after I spent the last few days\eating oysters and taking zinc supplements, too!\Chief, was it just the county police?\What? response:	The complaints you were getting. Nothing from the CBP?
context: The Golanbiza county police were on the phone screaming at me!\At midnight!\My wife was pissed!\Right after I spent the last few days\eating oysters and taking zinc supplements, too!\Chief, was it just the county police?\What?\The complaints you were getting. Nothing from the CBP? response:	The CBP?
context: At midnight!\My wife was pissed!\Right after I spent the last few days\eating oysters and taking zinc supplements, too!\Chief, was it just the county police?\What?\The complaints you were getting. Nothing from the CBP?\The CBP? response:	I talked to their guy Hellmandes this morning,
context: My wife was pissed!\Right after I spent the last few days\eating oysters and taking zinc supplements, too!\Chief, was it just the county police?\What?\The complaints you were getting. Nothing from the CBP?\The CBP?\I talked to their guy Hellmandes this morning, response:	but he didn't really say anything.
context: Right after I spent the last few days\eating oysters and taking zinc supplements, too!\Chief, was it just the county police?\What?\The complaints you were getting. Nothing from the CBP?\The CBP?\I talked to their guy Hellmandes this morning,\but he didn't really say anything. response:	What?
context: eating oysters and taking zinc supplements, too!\Chief, was it just the county police?\What?\The complaints you were getting. Nothing from the CBP?\The CBP?\I talked to their guy Hellmandes this morning,\but he didn't really say anything.\What? response:	Hey! You got into some kind of fight with the CBP, didn't you?
context: Chief, was it just the county police?\What?\The complaints you were getting. Nothing from the CBP?\The CBP?\I talked to their guy Hellmandes this morning,\but he didn't really say anything.\What?\Hey! You got into some kind of fight with the CBP, didn't you? response:	Tell me the truth, Matoba! If you did-
context: What?\The complaints you were getting. Nothing from the CBP?\The CBP?\I talked to their guy Hellmandes this morning,\but he didn't really say anything.\What?\Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did- response:	Really, there was nothing! We'll talk later.
context: The complaints you were getting. Nothing from the CBP?\The CBP?\I talked to their guy Hellmandes this morning,\but he didn't really say anything.\What?\Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later. response:	Hey, Matoba! Wait!
context: The CBP?\I talked to their guy Hellmandes this morning,\but he didn't really say anything.\What?\Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later.\Hey, Matoba! Wait! response:	She's still asleep?
context: I talked to their guy Hellmandes this morning,\but he didn't really say anything.\What?\Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later.\Hey, Matoba! Wait!\She's still asleep? response:	I can't take anymore...
context: but he didn't really say anything.\What?\Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later.\Hey, Matoba! Wait!\She's still asleep?\I can't take anymore... response:	I need to do something.
context: What?\Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later.\Hey, Matoba! Wait!\She's still asleep?\I can't take anymore...\I need to do something. response:	First, that crossbow.
context: Hey! You got into some kind of fight with the CBP, didn't you?\Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later.\Hey, Matoba! Wait!\She's still asleep?\I can't take anymore...\I need to do something.\First, that crossbow. response:	The trash gets picked up in the afternoon.
context: Tell me the truth, Matoba! If you did-\Really, there was nothing! We'll talk later.\Hey, Matoba! Wait!\She's still asleep?\I can't take anymore...\I need to do something.\First, that crossbow.\The trash gets picked up in the afternoon. response:	It should still be in the dumpster.
context: Really, there was nothing! We'll talk later.\Hey, Matoba! Wait!\She's still asleep?\I can't take anymore...\I need to do something.\First, that crossbow.\The trash gets picked up in the afternoon.\It should still be in the dumpster. response:	But I can't get out of this locked room in the form of a cat!
context: Hey, Matoba! Wait!\She's still asleep?\I can't take anymore...\I need to do something.\First, that crossbow.\The trash gets picked up in the afternoon.\It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat! response:	I need help!
context: She's still asleep?\I can't take anymore...\I need to do something.\First, that crossbow.\The trash gets picked up in the afternoon.\It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat!\I need help! response:	Tilarna? She almost never texts me.
context: I can't take anymore...\I need to do something.\First, that crossbow.\The trash gets picked up in the afternoon.\It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat!\I need help!\Tilarna? She almost never texts me. response:	Dear Cecil. I have a serious problem.
context: I need to do something.\First, that crossbow.\The trash gets picked up in the afternoon.\It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat!\I need help!\Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem. response:	Please come to my home as soon as you can. It's an emergency!
context: First, that crossbow.\The trash gets picked up in the afternoon.\It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat!\I need help!\Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency! response:	What happened?
context: The trash gets picked up in the afternoon.\It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat!\I need help!\Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency!\What happened? response:	Don't tell Kei?
context: It should still be in the dumpster.\But I can't get out of this locked room in the form of a cat!\I need help!\Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency!\What happened?\Don't tell Kei? response:	Okay, thanks, guys.
context: But I can't get out of this locked room in the form of a cat!\I need help!\Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency!\What happened?\Don't tell Kei?\Okay, thanks, guys. response:	Who the hell is Tilarna talking to?
context: I need help!\Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency!\What happened?\Don't tell Kei?\Okay, thanks, guys.\Who the hell is Tilarna talking to? response:	Hello? Tilarna?
context: Tilarna? She almost never texts me.\Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency!\What happened?\Don't tell Kei?\Okay, thanks, guys.\Who the hell is Tilarna talking to?\Hello? Tilarna? response:	I saw your text. What's going on?
context: Dear Cecil. I have a serious problem.\Please come to my home as soon as you can. It's an emergency!\What happened?\Don't tell Kei?\Okay, thanks, guys.\Who the hell is Tilarna talking to?\Hello? Tilarna?\I saw your text. What's going on? response:	Hello, kitty! No, I want to talk to Tilarna!
context: Please come to my home as soon as you can. It's an emergency!\What happened?\Don't tell Kei?\Okay, thanks, guys.\Who the hell is Tilarna talking to?\Hello? Tilarna?\I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna! response:	You don't understand what I'm saying, do you?
context: What happened?\Don't tell Kei?\Okay, thanks, guys.\Who the hell is Tilarna talking to?\Hello? Tilarna?\I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you? response:	Anyway, I'm heading over.
context: Don't tell Kei?\Okay, thanks, guys.\Who the hell is Tilarna talking to?\Hello? Tilarna?\I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you?\Anyway, I'm heading over. response:	Be a good girl, okay?
context: Okay, thanks, guys.\Who the hell is Tilarna talking to?\Hello? Tilarna?\I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you?\Anyway, I'm heading over.\Be a good girl, okay? response:	Hello?
context: Who the hell is Tilarna talking to?\Hello? Tilarna?\I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you?\Anyway, I'm heading over.\Be a good girl, okay?\Hello? response:	What the hell is going on?!
context: Hello? Tilarna?\I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you?\Anyway, I'm heading over.\Be a good girl, okay?\Hello?\What the hell is going on?! response:	With what?
context: I saw your text. What's going on?\Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you?\Anyway, I'm heading over.\Be a good girl, okay?\Hello?\What the hell is going on?!\With what? response:	When I was there yesterday, there were 28 Semanian items found!
context: Hello, kitty! No, I want to talk to Tilarna!\You don't understand what I'm saying, do you?\Anyway, I'm heading over.\Be a good girl, okay?\Hello?\What the hell is going on?!\With what?\When I was there yesterday, there were 28 Semanian items found! response:	And now I've only got 27!
context: You don't understand what I'm saying, do you?\Anyway, I'm heading over.\Be a good girl, okay?\Hello?\What the hell is going on?!\With what?\When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27! response:	One is missing!
context: Anyway, I'm heading over.\Be a good girl, okay?\Hello?\What the hell is going on?!\With what?\When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27!\One is missing! response:	Oh, I see.
context: Be a good girl, okay?\Hello?\What the hell is going on?!\With what?\When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27!\One is missing!\Oh, I see. response:	That's strange.
context: Hello?\What the hell is going on?!\With what?\When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27!\One is missing!\Oh, I see.\That's strange. response:	Well, it happens, right? Things were a mess yesterday.
context: What the hell is going on?!\With what?\When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27!\One is missing!\Oh, I see.\That's strange.\Well, it happens, right? Things were a mess yesterday. response:	Get me the missing one now, before I get you arrested for embezzlement!
context: With what?\When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27!\One is missing!\Oh, I see.\That's strange.\Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement! response:	Come on. It's just a minor screw-up!
context: When I was there yesterday, there were 28 Semanian items found!\And now I've only got 27!\One is missing!\Oh, I see.\That's strange.\Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up! response:	Calm the hell down.
context: And now I've only got 27!\One is missing!\Oh, I see.\That's strange.\Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up!\Calm the hell down. response:	Well...
context: One is missing!\Oh, I see.\That's strange.\Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up!\Calm the hell down.\Well... response:	Just get it to me now! Got it?
context: Oh, I see.\That's strange.\Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up!\Calm the hell down.\Well...\Just get it to me now! Got it? response:	What the hell is his problem?
context: That's strange.\Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up!\Calm the hell down.\Well...\Just get it to me now! Got it?\What the hell is his problem? response:	Tilarna? Are you there?
context: Well, it happens, right? Things were a mess yesterday.\Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up!\Calm the hell down.\Well...\Just get it to me now! Got it?\What the hell is his problem?\Tilarna? Are you there? response:	Is she not home? Tilarna?
context: Get me the missing one now, before I get you arrested for embezzlement!\Come on. It's just a minor screw-up!\Calm the hell down.\Well...\Just get it to me now! Got it?\What the hell is his problem?\Tilarna? Are you there?\Is she not home? Tilarna? response:	Jeez...
context: Come on. It's just a minor screw-up!\Calm the hell down.\Well...\Just get it to me now! Got it?\What the hell is his problem?\Tilarna? Are you there?\Is she not home? Tilarna?\Jeez... response:	I'm coming inside!
context: Calm the hell down.\Well...\Just get it to me now! Got it?\What the hell is his problem?\Tilarna? Are you there?\Is she not home? Tilarna?\Jeez...\I'm coming inside! response:	Tilarna?
context: Well...\Just get it to me now! Got it?\What the hell is his problem?\Tilarna? Are you there?\Is she not home? Tilarna?\Jeez...\I'm coming inside!\Tilarna? response:	Hey! What's going on?
context: Just get it to me now! Got it?\What the hell is his problem?\Tilarna? Are you there?\Is she not home? Tilarna?\Jeez...\I'm coming inside!\Tilarna?\Hey! What's going on? response:	You did this, didn't you?
context: What the hell is his problem?\Tilarna? Are you there?\Is she not home? Tilarna?\Jeez...\I'm coming inside!\Tilarna?\Hey! What's going on?\You did this, didn't you? response:	Are you telling me you didn't do it?
context: Tilarna? Are you there?\Is she not home? Tilarna?\Jeez...\I'm coming inside!\Tilarna?\Hey! What's going on?\You did this, didn't you?\Are you telling me you didn't do it? response:	What?
context: Is she not home? Tilarna?\Jeez...\I'm coming inside!\Tilarna?\Hey! What's going on?\You did this, didn't you?\Are you telling me you didn't do it?\What? response:	I know this is impossible, but... are you Tilarna?
context: Jeez...\I'm coming inside!\Tilarna?\Hey! What's going on?\You did this, didn't you?\Are you telling me you didn't do it?\What?\I know this is impossible, but... are you Tilarna? response:	No way...
context: I'm coming inside!\Tilarna?\Hey! What's going on?\You did this, didn't you?\Are you telling me you didn't do it?\What?\I know this is impossible, but... are you Tilarna?\No way... response:	You really are...
context: Tilarna?\Hey! What's going on?\You did this, didn't you?\Are you telling me you didn't do it?\What?\I know this is impossible, but... are you Tilarna?\No way...\You really are... response:	A mildey did this?
context: Hey! What's going on?\You did this, didn't you?\Are you telling me you didn't do it?\What?\I know this is impossible, but... are you Tilarna?\No way...\You really are...\A mildey did this? response:	You need the crossbow back?
context: You did this, didn't you?\Are you telling me you didn't do it?\What?\I know this is impossible, but... are you Tilarna?\No way...\You really are...\A mildey did this?\You need the crossbow back? response:	The tool that caused this?
context: Are you telling me you didn't do it?\What?\I know this is impossible, but... are you Tilarna?\No way...\You really are...\A mildey did this?\You need the crossbow back?\The tool that caused this? response:	It's in the dumpster outside?
context: What?\I know this is impossible, but... are you Tilarna?\No way...\You really are...\A mildey did this?\You need the crossbow back?\The tool that caused this?\It's in the dumpster outside? response:	Why would you put something so important there?
context: I know this is impossible, but... are you Tilarna?\No way...\You really are...\A mildey did this?\You need the crossbow back?\The tool that caused this?\It's in the dumpster outside?\Why would you put something so important there? response:	The trash truck?
context: No way...\You really are...\A mildey did this?\You need the crossbow back?\The tool that caused this?\It's in the dumpster outside?\Why would you put something so important there?\The trash truck? response:	They'll take the trash away!
context: You really are...\A mildey did this?\You need the crossbow back?\The tool that caused this?\It's in the dumpster outside?\Why would you put something so important there?\The trash truck?\They'll take the trash away! response:	Without that bow, you may not be able to turn back?
context: A mildey did this?\You need the crossbow back?\The tool that caused this?\It's in the dumpster outside?\Why would you put something so important there?\The trash truck?\They'll take the trash away!\Without that bow, you may not be able to turn back? response:	Oh, no!
context: You need the crossbow back?\The tool that caused this?\It's in the dumpster outside?\Why would you put something so important there?\The trash truck?\They'll take the trash away!\Without that bow, you may not be able to turn back?\Oh, no! response:	Ce... Ce!
context: The tool that caused this?\It's in the dumpster outside?\Why would you put something so important there?\The trash truck?\They'll take the trash away!\Without that bow, you may not be able to turn back?\Oh, no!\Ce... Ce! response:	If you're Tilarna, then...
context: It's in the dumpster outside?\Why would you put something so important there?\The trash truck?\They'll take the trash away!\Without that bow, you may not be able to turn back?\Oh, no!\Ce... Ce!\If you're Tilarna, then... response:	Hey!
context: Why would you put something so important there?\The trash truck?\They'll take the trash away!\Without that bow, you may not be able to turn back?\Oh, no!\Ce... Ce!\If you're Tilarna, then...\Hey! response:	Hello?
context: The trash truck?\They'll take the trash away!\Without that bow, you may not be able to turn back?\Oh, no!\Ce... Ce!\If you're Tilarna, then...\Hey!\Hello? response:	It's me, Matoba.
context: They'll take the trash away!\Without that bow, you may not be able to turn back?\Oh, no!\Ce... Ce!\If you're Tilarna, then...\Hey!\Hello?\It's me, Matoba. response:	Is O'Neill in?
context: Without that bow, you may not be able to turn back?\Oh, no!\Ce... Ce!\If you're Tilarna, then...\Hey!\Hello?\It's me, Matoba.\Is O'Neill in? response:	I heard he was still living here.
context: Oh, no!\Ce... Ce!\If you're Tilarna, then...\Hey!\Hello?\It's me, Matoba.\Is O'Neill in?\I heard he was still living here. response:	The boss? Just a second.
context: Ce... Ce!\If you're Tilarna, then...\Hey!\Hello?\It's me, Matoba.\Is O'Neill in?\I heard he was still living here.\The boss? Just a second. response:	Man, my head hurts.
context: If you're Tilarna, then...\Hey!\Hello?\It's me, Matoba.\Is O'Neill in?\I heard he was still living here.\The boss? Just a second.\Man, my head hurts. response:	Hey, I'm coming in.
context: Hey!\Hello?\It's me, Matoba.\Is O'Neill in?\I heard he was still living here.\The boss? Just a second.\Man, my head hurts.\Hey, I'm coming in. response:	Hey there, mister.
context: Hello?\It's me, Matoba.\Is O'Neill in?\I heard he was still living here.\The boss? Just a second.\Man, my head hurts.\Hey, I'm coming in.\Hey there, mister. response:	Kenny, what the hell is with that outfit?
context: It's me, Matoba.\Is O'Neill in?\I heard he was still living here.\The boss? Just a second.\Man, my head hurts.\Hey, I'm coming in.\Hey there, mister.\Kenny, what the hell is with that outfit? response:	What? I always sleep like this.
context: Is O'Neill in?\I heard he was still living here.\The boss? Just a second.\Man, my head hurts.\Hey, I'm coming in.\Hey there, mister.\Kenny, what the hell is with that outfit?\What? I always sleep like this. response:	I can't sleep without my pajamas.
context: I heard he was still living here.\The boss? Just a second.\Man, my head hurts.\Hey, I'm coming in.\Hey there, mister.\Kenny, what the hell is with that outfit?\What? I always sleep like this.\I can't sleep without my pajamas. response:	And this mess?
context: The boss? Just a second.\Man, my head hurts.\Hey, I'm coming in.\Hey there, mister.\Kenny, what the hell is with that outfit?\What? I always sleep like this.\I can't sleep without my pajamas.\And this mess? response:	There was a party last night.
context: Man, my head hurts.\Hey, I'm coming in.\Hey there, mister.\Kenny, what the hell is with that outfit?\What? I always sleep like this.\I can't sleep without my pajamas.\And this mess?\There was a party last night. response:	And the man on the floor?
context: Hey, I'm coming in.\Hey there, mister.\Kenny, what the hell is with that outfit?\What? I always sleep like this.\I can't sleep without my pajamas.\And this mess?\There was a party last night.\And the man on the floor? response:	Um, no idea.
context: Hey there, mister.\Kenny, what the hell is with that outfit?\What? I always sleep like this.\I can't sleep without my pajamas.\And this mess?\There was a party last night.\And the man on the floor?\Um, no idea. response:	Who is this guy?
context: Kenny, what the hell is with that outfit?\What? I always sleep like this.\I can't sleep without my pajamas.\And this mess?\There was a party last night.\And the man on the floor?\Um, no idea.\Who is this guy? response:	Where the hell is O'Neill?
context: What? I always sleep like this.\I can't sleep without my pajamas.\And this mess?\There was a party last night.\And the man on the floor?\Um, no idea.\Who is this guy?\Where the hell is O'Neill? response:	I can't find him...
context: I can't sleep without my pajamas.\And this mess?\There was a party last night.\And the man on the floor?\Um, no idea.\Who is this guy?\Where the hell is O'Neill?\I can't find him... response:	Last I remembered, he drank soda water mixed with vodka,
context: And this mess?\There was a party last night.\And the man on the floor?\Um, no idea.\Who is this guy?\Where the hell is O'Neill?\I can't find him...\Last I remembered, he drank soda water mixed with vodka, response:	ketchup, and habanero sauce, and was doing pelvic thrusts on the table...
context: There was a party last night.\And the man on the floor?\Um, no idea.\Who is this guy?\Where the hell is O'Neill?\I can't find him...\Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table... response:	Where did you get a goat?
context: And the man on the floor?\Um, no idea.\Who is this guy?\Where the hell is O'Neill?\I can't find him...\Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat? response:	I'm not sure. He wasn't here yesterday.
context: Um, no idea.\Who is this guy?\Where the hell is O'Neill?\I can't find him...\Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat?\I'm not sure. He wasn't here yesterday. response:	What a mess.
context: Who is this guy?\Where the hell is O'Neill?\I can't find him...\Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat?\I'm not sure. He wasn't here yesterday.\What a mess. response:	O'Neill isn't here.
context: Where the hell is O'Neill?\I can't find him...\Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat?\I'm not sure. He wasn't here yesterday.\What a mess.\O'Neill isn't here. response:	Maybe the goat ate him?
context: I can't find him...\Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat?\I'm not sure. He wasn't here yesterday.\What a mess.\O'Neill isn't here.\Maybe the goat ate him? response:	That's ridiculous. I need him to check something for me.
context: Last I remembered, he drank soda water mixed with vodka,\ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat?\I'm not sure. He wasn't here yesterday.\What a mess.\O'Neill isn't here.\Maybe the goat ate him?\That's ridiculous. I need him to check something for me. response:	Hey, get off me!
context: ketchup, and habanero sauce, and was doing pelvic thrusts on the table...\Where did you get a goat?\I'm not sure. He wasn't here yesterday.\What a mess.\O'Neill isn't here.\Maybe the goat ate him?\That's ridiculous. I need him to check something for me.\Hey, get off me! response:	Did I just hear...
context: Where did you get a goat?\I'm not sure. He wasn't here yesterday.\What a mess.\O'Neill isn't here.\Maybe the goat ate him?\That's ridiculous. I need him to check something for me.\Hey, get off me!\Did I just hear... response:	Forgive me, Lord, for I am within your blessings...
context: I'm not sure. He wasn't here yesterday.\What a mess.\O'Neill isn't here.\Maybe the goat ate him?\That's ridiculous. I need him to check something for me.\Hey, get off me!\Did I just hear...\Forgive me, Lord, for I am within your blessings... response:	Where are you, O'Neill?
context: What a mess.\O'Neill isn't here.\Maybe the goat ate him?\That's ridiculous. I need him to check something for me.\Hey, get off me!\Did I just hear...\Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill? response:	It hurts to breathe... It hurts so much...
context: O'Neill isn't here.\Maybe the goat ate him?\That's ridiculous. I need him to check something for me.\Hey, get off me!\Did I just hear...\Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill?\It hurts to breathe... It hurts so much... response:	I will drown within the flesh of your blessings
context: Maybe the goat ate him?\That's ridiculous. I need him to check something for me.\Hey, get off me!\Did I just hear...\Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill?\It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings response:	and come to you in your kingdom...
context: That's ridiculous. I need him to check something for me.\Hey, get off me!\Did I just hear...\Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill?\It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings\and come to you in your kingdom... response:	There you are.
context: Hey, get off me!\Did I just hear...\Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill?\It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings\and come to you in your kingdom...\There you are. response:	Hey, get off the man, lady.
context: Did I just hear...\Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill?\It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings\and come to you in your kingdom...\There you are.\Hey, get off the man, lady. response:	I'm afraid that's impossible.
context: Forgive me, Lord, for I am within your blessings...\Where are you, O'Neill?\It hurts to breathe... It hurts so much...\I will drown within the flesh of your blessings\and come to you in your kingdom...\There you are.\Hey, get off the man, lady.\I'm afraid that's impossible. response:	When the Virgin Mary gets like this, she won't wake up for at least 12 hours.
