context: Timing and Subtitles brought to you by The Little Lover Team @Viki response:	I want to go back to that time again.
context: It's going to run out.\Chiyomi, hey. Chiyomi?\How can you tell a lie like that?\I know.\But, I can't possibly tell them the truth.\I can't let them see how I am now.\You are enduring loneliness...\What? response:	You idiot, Minami-kun.
context: Chiyomi, hey. Chiyomi?\How can you tell a lie like that?\I know.\But, I can't possibly tell them the truth.\I can't let them see how I am now.\You are enduring loneliness...\What?\You idiot, Minami-kun. response:	Idiot? Hey.
context: How can you tell a lie like that?\I know.\But, I can't possibly tell them the truth.\I can't let them see how I am now.\You are enduring loneliness...\What?\You idiot, Minami-kun.\Idiot? Hey. response:	I'm still weak after getting sick. Don't vent your anger on me.
context: I know.\But, I can't possibly tell them the truth.\I can't let them see how I am now.\You are enduring loneliness...\What?\You idiot, Minami-kun.\Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me. response:	I didn't vent my anger...
context: But, I can't possibly tell them the truth.\I can't let them see how I am now.\You are enduring loneliness...\What?\You idiot, Minami-kun.\Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger... response:	Right. He was sick in bed with fever yesterday.
context: I can't let them see how I am now.\You are enduring loneliness...\What?\You idiot, Minami-kun.\Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger...\Right. He was sick in bed with fever yesterday. response:	No. Stop it!
context: You are enduring loneliness...\What?\You idiot, Minami-kun.\Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger...\Right. He was sick in bed with fever yesterday.\No. Stop it! response:	Minami-kun.
context: What?\You idiot, Minami-kun.\Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger...\Right. He was sick in bed with fever yesterday.\No. Stop it!\Minami-kun. response:	Minami-kun!
context: You idiot, Minami-kun.\Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger...\Right. He was sick in bed with fever yesterday.\No. Stop it!\Minami-kun.\Minami-kun! response:	Chiyomi...
context: Idiot? Hey.\I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger...\Right. He was sick in bed with fever yesterday.\No. Stop it!\Minami-kun.\Minami-kun!\Chiyomi... response:	Chiyomi...
context: I'm still weak after getting sick. Don't vent your anger on me.\I didn't vent my anger...\Right. He was sick in bed with fever yesterday.\No. Stop it!\Minami-kun.\Minami-kun!\Chiyomi...\Chiyomi... response:	You are causing me such trouble. Idiot.
context: I didn't vent my anger...\Right. He was sick in bed with fever yesterday.\No. Stop it!\Minami-kun.\Minami-kun!\Chiyomi...\Chiyomi...\You are causing me such trouble. Idiot. response:	Minami-kun?
context: Right. He was sick in bed with fever yesterday.\No. Stop it!\Minami-kun.\Minami-kun!\Chiyomi...\Chiyomi...\You are causing me such trouble. Idiot.\Minami-kun? response:	Idiot!
context: No. Stop it!\Minami-kun.\Minami-kun!\Chiyomi...\Chiyomi...\You are causing me such trouble. Idiot.\Minami-kun?\Idiot! response:	Eh? He is talking in his sleep?
context: Minami-kun.\Minami-kun!\Chiyomi...\Chiyomi...\You are causing me such trouble. Idiot.\Minami-kun?\Idiot!\Eh? He is talking in his sleep? response:	What's with you?
context: Minami-kun!\Chiyomi...\Chiyomi...\You are causing me such trouble. Idiot.\Minami-kun?\Idiot!\Eh? He is talking in his sleep?\What's with you? response:	So, Horikiri-san is the only one absent.
context: Chiyomi...\Chiyomi...\You are causing me such trouble. Idiot.\Minami-kun?\Idiot!\Eh? He is talking in his sleep?\What's with you?\So, Horikiri-san is the only one absent. response:	You have to prepare for the college entrance exam. Take care of your health, okay?
context: Chiyomi...\You are causing me such trouble. Idiot.\Minami-kun?\Idiot!\Eh? He is talking in his sleep?\What's with you?\So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay? response:	Excuse me, Sensei.
context: You are causing me such trouble. Idiot.\Minami-kun?\Idiot!\Eh? He is talking in his sleep?\What's with you?\So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei. response:	Yes, Nomura-san?
context: Minami-kun?\Idiot!\Eh? He is talking in his sleep?\What's with you?\So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei.\Yes, Nomura-san? response:	Has Horikiri-san contacted you?
context: Idiot!\Eh? He is talking in his sleep?\What's with you?\So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei.\Yes, Nomura-san?\Has Horikiri-san contacted you? response:	Her parents called me and said that she is still in Tokyo.
context: Eh? He is talking in his sleep?\What's with you?\So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei.\Yes, Nomura-san?\Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo. response:	It's cold.
context: What's with you?\So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei.\Yes, Nomura-san?\Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo.\It's cold. response:	- May I have another one? - Sure.
context: So, Horikiri-san is the only one absent.\You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei.\Yes, Nomura-san?\Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo.\It's cold.\- May I have another one? - Sure. response:	Amippe, why don't you eat this?
context: You have to prepare for the college entrance exam. Take care of your health, okay?\Excuse me, Sensei.\Yes, Nomura-san?\Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo.\It's cold.\- May I have another one? - Sure.\Amippe, why don't you eat this? response:	Ouch.
context: Excuse me, Sensei.\Yes, Nomura-san?\Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo.\It's cold.\- May I have another one? - Sure.\Amippe, why don't you eat this?\Ouch. response:	What? What's the matter, Riku?
context: Yes, Nomura-san?\Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo.\It's cold.\- May I have another one? - Sure.\Amippe, why don't you eat this?\Ouch.\What? What's the matter, Riku? response:	Ah, I think I heard Horikiri-shi's voice.
context: Has Horikiri-san contacted you?\Her parents called me and said that she is still in Tokyo.\It's cold.\- May I have another one? - Sure.\Amippe, why don't you eat this?\Ouch.\What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice. response:	Don't touch it!
context: Her parents called me and said that she is still in Tokyo.\It's cold.\- May I have another one? - Sure.\Amippe, why don't you eat this?\Ouch.\What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice.\Don't touch it! response:	Sorry.
context: It's cold.\- May I have another one? - Sure.\Amippe, why don't you eat this?\Ouch.\What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice.\Don't touch it!\Sorry. response:	What's the matter, Minami?
context: - May I have another one? - Sure.\Amippe, why don't you eat this?\Ouch.\What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice.\Don't touch it!\Sorry.\What's the matter, Minami? response:	What's the matter with Minami?
context: Amippe, why don't you eat this?\Ouch.\What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice.\Don't touch it!\Sorry.\What's the matter, Minami?\What's the matter with Minami? response:	- He didn't have to get so mad. - Scary.
context: Ouch.\What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice.\Don't touch it!\Sorry.\What's the matter, Minami?\What's the matter with Minami?\- He didn't have to get so mad. - Scary. response:	Ouch...
context: What? What's the matter, Riku?\Ah, I think I heard Horikiri-shi's voice.\Don't touch it!\Sorry.\What's the matter, Minami?\What's the matter with Minami?\- He didn't have to get so mad. - Scary.\Ouch... response:	Are you okay?
context: Ah, I think I heard Horikiri-shi's voice.\Don't touch it!\Sorry.\What's the matter, Minami?\What's the matter with Minami?\- He didn't have to get so mad. - Scary.\Ouch...\Are you okay? response:	I think I am. It hurts.
context: Don't touch it!\Sorry.\What's the matter, Minami?\What's the matter with Minami?\- He didn't have to get so mad. - Scary.\Ouch...\Are you okay?\I think I am. It hurts. response:	Minami-kun.
context: Sorry.\What's the matter, Minami?\What's the matter with Minami?\- He didn't have to get so mad. - Scary.\Ouch...\Are you okay?\I think I am. It hurts.\Minami-kun. response:	Minami!
context: What's the matter, Minami?\What's the matter with Minami?\- He didn't have to get so mad. - Scary.\Ouch...\Are you okay?\I think I am. It hurts.\Minami-kun.\Minami! response:	Oh. I finally found you.
context: What's the matter with Minami?\- He didn't have to get so mad. - Scary.\Ouch...\Are you okay?\I think I am. It hurts.\Minami-kun.\Minami!\Oh. I finally found you. response:	Give me a break. Why do I have to do that?
context: - He didn't have to get so mad. - Scary.\Ouch...\Are you okay?\I think I am. It hurts.\Minami-kun.\Minami!\Oh. I finally found you.\Give me a break. Why do I have to do that? response:	So, I'm not asking you to come back to the kendo club. Just participate in one match.
context: Ouch...\Are you okay?\I think I am. It hurts.\Minami-kun.\Minami!\Oh. I finally found you.\Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match. response:	That's not right. I have quit the kendo club already, you know.
context: Are you okay?\I think I am. It hurts.\Minami-kun.\Minami!\Oh. I finally found you.\Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know. response:	Takatori got injured. Without him, we won't have enough people to participate in the competition.
context: I think I am. It hurts.\Minami-kun.\Minami!\Oh. I finally found you.\Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition. response:	Then, you don't have to participate in it.
context: Minami-kun.\Minami!\Oh. I finally found you.\Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it. response:	Come on. We are fighting against Awa-Higashi High School.
context: Minami!\Oh. I finally found you.\Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School. response:	Every year, freshmen join our club after watching the matches.
context: Oh. I finally found you.\Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches. response:	Just give up. I can't do it.
context: Give me a break. Why do I have to do that?\So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches.\Just give up. I can't do it. response:	I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.
context: So, I'm not asking you to come back to the kendo club. Just participate in one match.\That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches.\Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished. response:	Abolished?
context: That's not right. I have quit the kendo club already, you know.\Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches.\Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished? response:	The kendo club with a long history at Tateyama Daiichi High School would dissapper.
context: Takatori got injured. Without him, we won't have enough people to participate in the competition.\Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches.\Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper. response:	And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.
context: Then, you don't have to participate in it.\Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches.\Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year. response:	5th in the national competition?
context: Come on. We are fighting against Awa-Higashi High School.\Every year, freshmen join our club after watching the matches.\Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition? response:	We can't beat him, but you might be able to win.
context: Every year, freshmen join our club after watching the matches.\Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition?\We can't beat him, but you might be able to win. response:	Even if you don't, you might have a good match with him.
context: Just give up. I can't do it.\I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition?\We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him. response:	I am begging you, Minami!
context: I'm begging you. If no freshmen joined us this year, the kendo club would be abolished.\Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition?\We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him.\I am begging you, Minami! response:	I am sorry. Ask someone else.
context: Abolished?\The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition?\We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him.\I am begging you, Minami!\I am sorry. Ask someone else. response:	If there was someone else, I wouldn't be asking you.
context: The kendo club with a long history at Tateyama Daiichi High School would dissapper.\And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition?\We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him.\I am begging you, Minami!\I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you. response:	I made up my mind to enter a med school right after graduation. I won't have time to participate in it.
context: And, Awa-Higashi got a transfer student who finished 5th in the national competition last year.\5th in the national competition?\We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him.\I am begging you, Minami!\I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it. response:	Hey, Minami. Please! We are best friends, aren't we?
context: 5th in the national competition?\We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him.\I am begging you, Minami!\I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we? response:	I will call you later. I'll be waiting for you.
context: We can't beat him, but you might be able to win.\Even if you don't, you might have a good match with him.\I am begging you, Minami!\I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you. response:	My Little Lover: Minami Kun No Koibito
context: Even if you don't, you might have a good match with him.\I am begging you, Minami!\I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito response:	Here you go.
context: I am begging you, Minami!\I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito\Here you go. response:	What's wrong? You'd normally gobble it up.
context: I am sorry. Ask someone else.\If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito\Here you go.\What's wrong? You'd normally gobble it up. response:	Well...
context: If there was someone else, I wouldn't be asking you.\I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito\Here you go.\What's wrong? You'd normally gobble it up.\Well... response:	You know...
context: I made up my mind to enter a med school right after graduation. I won't have time to participate in it.\Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito\Here you go.\What's wrong? You'd normally gobble it up.\Well...\You know... response:	Huh?
context: Hey, Minami. Please! We are best friends, aren't we?\I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito\Here you go.\What's wrong? You'd normally gobble it up.\Well...\You know...\Huh? response:	Every morning, you wake up early and go for a run. Then you practice swings, don't you?
context: I will call you later. I'll be waiting for you.\My Little Lover: Minami Kun No Koibito\Here you go.\What's wrong? You'd normally gobble it up.\Well...\You know...\Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you? response:	That's to build up my stamina. I won't be able to survive the college entrance exams without it.
context: My Little Lover: Minami Kun No Koibito\Here you go.\What's wrong? You'd normally gobble it up.\Well...\You know...\Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it. response:	Why don't you participate in the match?
context: Here you go.\What's wrong? You'd normally gobble it up.\Well...\You know...\Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match? response:	You heard me there...
context: What's wrong? You'd normally gobble it up.\Well...\You know...\Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match?\You heard me there... response:	Yabuki-kun is your best friend, isn't he?
context: Well...\You know...\Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match?\You heard me there...\Yabuki-kun is your best friend, isn't he? response:	He is not. He is just saying it himself.
context: You know...\Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match?\You heard me there...\Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself. response:	I don't think you would fail the exam just by participating in the match for just one day.
context: Huh?\Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match?\You heard me there...\Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day. response:	I know you want to do kendo.
context: Every morning, you wake up early and go for a run. Then you practice swings, don't you?\That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match?\You heard me there...\Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo. response:	You are itching to do it!
context: That's to build up my stamina. I won't be able to survive the college entrance exams without it.\Why don't you participate in the match?\You heard me there...\Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo.\You are itching to do it! response:	Huh? What are you saying?
context: Why don't you participate in the match?\You heard me there...\Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo.\You are itching to do it!\Huh? What are you saying? response:	Are you scared, by any chance?
context: You heard me there...\Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo.\You are itching to do it!\Huh? What are you saying?\Are you scared, by any chance? response:	Scared?
context: Yabuki-kun is your best friend, isn't he?\He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo.\You are itching to do it!\Huh? What are you saying?\Are you scared, by any chance?\Scared? response:	You just don't want to find yourself being defeated by the opponent.
context: He is not. He is just saying it himself.\I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo.\You are itching to do it!\Huh? What are you saying?\Are you scared, by any chance?\Scared?\You just don't want to find yourself being defeated by the opponent. response:	Shut up.
context: I don't think you would fail the exam just by participating in the match for just one day.\I know you want to do kendo.\You are itching to do it!\Huh? What are you saying?\Are you scared, by any chance?\Scared?\You just don't want to find yourself being defeated by the opponent.\Shut up. response:	It's okay to be defeated. You haven't practiced kendo for a while.
context: I know you want to do kendo.\You are itching to do it!\Huh? What are you saying?\Are you scared, by any chance?\Scared?\You just don't want to find yourself being defeated by the opponent.\Shut up.\It's okay to be defeated. You haven't practiced kendo for a while. response:	It won't be uncool even if you were defeated because you have done your best on what you like.
context: You are itching to do it!\Huh? What are you saying?\Are you scared, by any chance?\Scared?\You just don't want to find yourself being defeated by the opponent.\Shut up.\It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like. response:	I said, shut up!
context: Huh? What are you saying?\Are you scared, by any chance?\Scared?\You just don't want to find yourself being defeated by the opponent.\Shut up.\It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up! response:	The Minami-kun I love...
context: Are you scared, by any chance?\Scared?\You just don't want to find yourself being defeated by the opponent.\Shut up.\It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up!\The Minami-kun I love... response:	is not such a coward!
context: Scared?\You just don't want to find yourself being defeated by the opponent.\Shut up.\It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up!\The Minami-kun I love...\is not such a coward! response:	Umm... I didn't mean it...
context: You just don't want to find yourself being defeated by the opponent.\Shut up.\It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up!\The Minami-kun I love...\is not such a coward!\Umm... I didn't mean it... response:	Don't talk big.
context: Shut up.\It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up!\The Minami-kun I love...\is not such a coward!\Umm... I didn't mean it...\Don't talk big. response:	I am sorry.
context: It's okay to be defeated. You haven't practiced kendo for a while.\It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up!\The Minami-kun I love...\is not such a coward!\Umm... I didn't mean it...\Don't talk big.\I am sorry. response:	You can't do anything without me.
context: It won't be uncool even if you were defeated because you have done your best on what you like.\I said, shut up!\The Minami-kun I love...\is not such a coward!\Umm... I didn't mean it...\Don't talk big.\I am sorry.\You can't do anything without me. response:	Minami-kun.
context: I said, shut up!\The Minami-kun I love...\is not such a coward!\Umm... I didn't mean it...\Don't talk big.\I am sorry.\You can't do anything without me.\Minami-kun. response:	I was looking for you.
context: The Minami-kun I love...\is not such a coward!\Umm... I didn't mean it...\Don't talk big.\I am sorry.\You can't do anything without me.\Minami-kun.\I was looking for you. response:	Nomura-san.
context: is not such a coward!\Umm... I didn't mean it...\Don't talk big.\I am sorry.\You can't do anything without me.\Minami-kun.\I was looking for you.\Nomura-san. response:	You often eat alone on the rooftop, don't you?
context: Umm... I didn't mean it...\Don't talk big.\I am sorry.\You can't do anything without me.\Minami-kun.\I was looking for you.\Nomura-san.\You often eat alone on the rooftop, don't you? response:	Umm... because it feels nice.
context: Don't talk big.\I am sorry.\You can't do anything without me.\Minami-kun.\I was looking for you.\Nomura-san.\You often eat alone on the rooftop, don't you?\Umm... because it feels nice. response:	Then, I will eat with you here from now on.
context: I am sorry.\You can't do anything without me.\Minami-kun.\I was looking for you.\Nomura-san.\You often eat alone on the rooftop, don't you?\Umm... because it feels nice.\Then, I will eat with you here from now on. response:	Eh? Ah...
context: You can't do anything without me.\Minami-kun.\I was looking for you.\Nomura-san.\You often eat alone on the rooftop, don't you?\Umm... because it feels nice.\Then, I will eat with you here from now on.\Eh? Ah... response:	Hmm?
context: Minami-kun.\I was looking for you.\Nomura-san.\You often eat alone on the rooftop, don't you?\Umm... because it feels nice.\Then, I will eat with you here from now on.\Eh? Ah...\Hmm? response:	I won't be able to eat if you do that.
context: I was looking for you.\Nomura-san.\You often eat alone on the rooftop, don't you?\Umm... because it feels nice.\Then, I will eat with you here from now on.\Eh? Ah...\Hmm?\I won't be able to eat if you do that. response:	Ah, no.
context: Nomura-san.\You often eat alone on the rooftop, don't you?\Umm... because it feels nice.\Then, I will eat with you here from now on.\Eh? Ah...\Hmm?\I won't be able to eat if you do that.\Ah, no. response:	Eh? Why?
context: You often eat alone on the rooftop, don't you?\Umm... because it feels nice.\Then, I will eat with you here from now on.\Eh? Ah...\Hmm?\I won't be able to eat if you do that.\Ah, no.\Eh? Why? response:	By any chance, do you have someone else in mind?
context: Umm... because it feels nice.\Then, I will eat with you here from now on.\Eh? Ah...\Hmm?\I won't be able to eat if you do that.\Ah, no.\Eh? Why?\By any chance, do you have someone else in mind? response:	Ah, no. That's not the case, but...
context: Then, I will eat with you here from now on.\Eh? Ah...\Hmm?\I won't be able to eat if you do that.\Ah, no.\Eh? Why?\By any chance, do you have someone else in mind?\Ah, no. That's not the case, but... response:	- Horikiri-san. - Eh?
context: Eh? Ah...\Hmm?\I won't be able to eat if you do that.\Ah, no.\Eh? Why?\By any chance, do you have someone else in mind?\Ah, no. That's not the case, but...\- Horikiri-san. - Eh? response:	Did Horikiri-san really go to Tokyo?
context: Hmm?\I won't be able to eat if you do that.\Ah, no.\Eh? Why?\By any chance, do you have someone else in mind?\Ah, no. That's not the case, but...\- Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo? response:	Why are you asking me such a question?
context: I won't be able to eat if you do that.\Ah, no.\Eh? Why?\By any chance, do you have someone else in mind?\Ah, no. That's not the case, but...\- Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo?\Why are you asking me such a question? response:	I was just saying. Hey...
context: Ah, no.\Eh? Why?\By any chance, do you have someone else in mind?\Ah, no. That's not the case, but...\- Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo?\Why are you asking me such a question?\I was just saying. Hey... response:	Can I see you after school today?
context: Eh? Why?\By any chance, do you have someone else in mind?\Ah, no. That's not the case, but...\- Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo?\Why are you asking me such a question?\I was just saying. Hey...\Can I see you after school today? response:	Minami-kun...
context: By any chance, do you have someone else in mind?\Ah, no. That's not the case, but...\- Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo?\Why are you asking me such a question?\I was just saying. Hey...\Can I see you after school today?\Minami-kun... response:	Timing and Subtitles brought to you by The Little Lover Team @Viki
context: Ah, no. That's not the case, but...\- Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo?\Why are you asking me such a question?\I was just saying. Hey...\Can I see you after school today?\Minami-kun...\Timing and Subtitles brought to you by The Little Lover Team @Viki response:	What's this? If they want to study, they can go to the library.
context: - Horikiri-san. - Eh?\Did Horikiri-san really go to Tokyo?\Why are you asking me such a question?\I was just saying. Hey...\Can I see you after school today?\Minami-kun...\Timing and Subtitles brought to you by The Little Lover Team @Viki\What's this? If they want to study, they can go to the library. response:	Why at a cafe? It's like a date.
