context: It seems the Ancient Dragon is approaching much faster than anticipated. response:	But the Queen's fleet should be here soon.
context: Yup. I feel great.\Oh yeah?\Then let's get wild.\You got it.\Damn, the magic barrier is still...\Then...\Saito, why?!\Great timing, Louise! response:	Come over here, please.
context: Oh yeah?\Then let's get wild.\You got it.\Damn, the magic barrier is still...\Then...\Saito, why?!\Great timing, Louise!\Come over here, please. response:	Saito, wait!
context: Then let's get wild.\You got it.\Damn, the magic barrier is still...\Then...\Saito, why?!\Great timing, Louise!\Come over here, please.\Saito, wait! response:	You stupid idiot!
context: You got it.\Damn, the magic barrier is still...\Then...\Saito, why?!\Great timing, Louise!\Come over here, please.\Saito, wait!\You stupid idiot! response:	Ow, ow, ow!
context: Damn, the magic barrier is still...\Then...\Saito, why?!\Great timing, Louise!\Come over here, please.\Saito, wait!\You stupid idiot!\Ow, ow, ow! response:	Why did you come back here?
context: Then...\Saito, why?!\Great timing, Louise!\Come over here, please.\Saito, wait!\You stupid idiot!\Ow, ow, ow!\Why did you come back here? response:	It took me so long to finally make up my mind!
context: Saito, why?!\Great timing, Louise!\Come over here, please.\Saito, wait!\You stupid idiot!\Ow, ow, ow!\Why did you come back here?\It took me so long to finally make up my mind! response:	That hurts!
context: Great timing, Louise!\Come over here, please.\Saito, wait!\You stupid idiot!\Ow, ow, ow!\Why did you come back here?\It took me so long to finally make up my mind!\That hurts! response:	I'm sorry, Louise!
context: Come over here, please.\Saito, wait!\You stupid idiot!\Ow, ow, ow!\Why did you come back here?\It took me so long to finally make up my mind!\That hurts!\I'm sorry, Louise! response:	But...
context: Saito, wait!\You stupid idiot!\Ow, ow, ow!\Why did you come back here?\It took me so long to finally make up my mind!\That hurts!\I'm sorry, Louise!\But... response:	I want to protect this world, too.
context: You stupid idiot!\Ow, ow, ow!\Why did you come back here?\It took me so long to finally make up my mind!\That hurts!\I'm sorry, Louise!\But...\I want to protect this world, too. response:	So let's take him down, together!
context: Ow, ow, ow!\Why did you come back here?\It took me so long to finally make up my mind!\That hurts!\I'm sorry, Louise!\But...\I want to protect this world, too.\So let's take him down, together! response:	Y-Yeah.
context: Why did you come back here?\It took me so long to finally make up my mind!\That hurts!\I'm sorry, Louise!\But...\I want to protect this world, too.\So let's take him down, together!\Y-Yeah. response:	I'm going to attack him again and get rid of his magic barrier.
context: It took me so long to finally make up my mind!\That hurts!\I'm sorry, Louise!\But...\I want to protect this world, too.\So let's take him down, together!\Y-Yeah.\I'm going to attack him again and get rid of his magic barrier. response:	Then you cast your Explosion.
context: That hurts!\I'm sorry, Louise!\But...\I want to protect this world, too.\So let's take him down, together!\Y-Yeah.\I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion. response:	But I'm all out of power.
context: I'm sorry, Louise!\But...\I want to protect this world, too.\So let's take him down, together!\Y-Yeah.\I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion.\But I'm all out of power. response:	I'm here.
context: But...\I want to protect this world, too.\So let's take him down, together!\Y-Yeah.\I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion.\But I'm all out of power.\I'm here. response:	No!
context: I want to protect this world, too.\So let's take him down, together!\Y-Yeah.\I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion.\But I'm all out of power.\I'm here.\No! response:	If you use your LIfPrasir power, your life is...
context: So let's take him down, together!\Y-Yeah.\I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion.\But I'm all out of power.\I'm here.\No!\If you use your LIfPrasir power, your life is... response:	This is not the time for that!
context: Y-Yeah.\I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion.\But I'm all out of power.\I'm here.\No!\If you use your LIfPrasir power, your life is...\This is not the time for that! response:	No means no!
context: I'm going to attack him again and get rid of his magic barrier.\Then you cast your Explosion.\But I'm all out of power.\I'm here.\No!\If you use your LIfPrasir power, your life is...\This is not the time for that!\No means no! response:	I don't want you to die!
context: Then you cast your Explosion.\But I'm all out of power.\I'm here.\No!\If you use your LIfPrasir power, your life is...\This is not the time for that!\No means no!\I don't want you to die! response:	If you die then... I have no reason to live!
context: But I'm all out of power.\I'm here.\No!\If you use your LIfPrasir power, your life is...\This is not the time for that!\No means no!\I don't want you to die!\If you die then... I have no reason to live! response:	Louise, I promise you, I'm not going to die.
context: I'm here.\No!\If you use your LIfPrasir power, your life is...\This is not the time for that!\No means no!\I don't want you to die!\If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die. response:	You think I'd leave behind the person I love?
context: No!\If you use your LIfPrasir power, your life is...\This is not the time for that!\No means no!\I don't want you to die!\If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love? response:	I mean, I am your...
context: If you use your LIfPrasir power, your life is...\This is not the time for that!\No means no!\I don't want you to die!\If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love?\I mean, I am your... response:	I am Zero's familiar!
context: This is not the time for that!\No means no!\I don't want you to die!\If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love?\I mean, I am your...\I am Zero's familiar! response:	Saito...
context: No means no!\I don't want you to die!\If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love?\I mean, I am your...\I am Zero's familiar!\Saito... response:	First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss
context: I don't want you to die!\If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love?\I mean, I am your...\I am Zero's familiar!\Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss response:	Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared
context: If you die then... I have no reason to live!\Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love?\I mean, I am your...\I am Zero's familiar!\Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared response:	Tsuki ga futatsu kienai sora The sky where the two moons never disappear
context: Louise, I promise you, I'm not going to die.\You think I'd leave behind the person I love?\I mean, I am your...\I am Zero's familiar!\Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear response:	I can feel it.
context: You think I'd leave behind the person I love?\I mean, I am your...\I am Zero's familiar!\Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it. response:	I can feel Saito's life force.
context: I mean, I am your...\I am Zero's familiar!\Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it.\I can feel Saito's life force. response:	Arienai koto da yo ne This is unbelievable
context: I am Zero's familiar!\Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it.\I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable response:	I'm going to do it!
context: Saito...\First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it.\I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable\I'm going to do it! response:	Hajimete da yo konna kimochi I have never felt like this
context: First kiss kara hajimaru futari no koi no hisutori Our love's history starts with the first kiss\Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it.\I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable\I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this response:	All cannons...
context: Kono unmei ni mahou kaketa kimi ga totsuzen arawareta I cast a spell on this fate then you suddenly appeared\Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it.\I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable\I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this\All cannons... response:	Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here
context: Tsuki ga futatsu kienai sora The sky where the two moons never disappear\I can feel it.\I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable\I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this\All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here response:	Fire!
context: I can feel it.\I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable\I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this\All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire! response:	Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed
context: I can feel Saito's life force.\Arienai koto da yo ne This is unbelievable\I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this\All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed response:	Aoren Suhn Fil Yarnsaksa...
context: Arienai koto da yo ne This is unbelievable\I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this\All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa... response:	Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!
context: I'm going to do it!\Hajimete da yo konna kimochi I have never felt like this\All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever! response:	Osu Suhn Uryn Rurin Lagon...
context: Hajimete da yo konna kimochi I have never felt like this\All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon... response:	Sweet kiss
context: All cannons...\Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon...\Sweet kiss response:	Deoru Yuru Sugia...
context: Yake ni koko ga kokochiyoku natte yuku I'm starting to feel so at home here\Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon...\Sweet kiss\Deoru Yuru Sugia... response:	Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day
context: Fire!\Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon...\Sweet kiss\Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day response:	Kan Ossia Jer Ihs...
context: Moshi kimi ga tsumazuite ochikonde mo Even if you stumble and get depressed\Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon...\Sweet kiss\Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs... response:	Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared
context: Aoren Suhn Fil Yarnsaksa...\Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon...\Sweet kiss\Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared response:	Louise! Let's do this!
context: Boku ga gyutto! Kimi wo zutto! Dakishimete ageru! I will tightly! Hold you! Forever!\Osu Suhn Uryn Rurin Lagon...\Sweet kiss\Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this! response:	Undil...
context: Osu Suhn Uryn Rurin Lagon...\Sweet kiss\Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this!\Undil... response:	Hagal Beocs Fil...
context: Sweet kiss\Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this!\Undil...\Hagal Beocs Fil... response:	Explosion!
context: Deoru Yuru Sugia...\Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this!\Undil...\Hagal Beocs Fil...\Explosion! response:	Yeah! They did it!
context: Mada samenai ano hi deaeta Story I'm still not awake from the story of our meeting that day\Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this!\Undil...\Hagal Beocs Fil...\Explosion!\Yeah! They did it! response:	Louise... Saito...
context: Kan Ossia Jer Ihs...\Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this!\Undil...\Hagal Beocs Fil...\Explosion!\Yeah! They did it!\Louise... Saito... response:	Saito...
context: Hora kimi no mahou kakete kimi ga totsuzen arawareta Now, cast your spell then you suddenly appeared\Louise! Let's do this!\Undil...\Hagal Beocs Fil...\Explosion!\Yeah! They did it!\Louise... Saito...\Saito... response:	I'm going, too!
context: Louise! Let's do this!\Undil...\Hagal Beocs Fil...\Explosion!\Yeah! They did it!\Louise... Saito...\Saito...\I'm going, too! response:	They're over there!
context: Undil...\Hagal Beocs Fil...\Explosion!\Yeah! They did it!\Louise... Saito...\Saito...\I'm going, too!\They're over there! response:	Saito... Saito!
context: Hagal Beocs Fil...\Explosion!\Yeah! They did it!\Louise... Saito...\Saito...\I'm going, too!\They're over there!\Saito... Saito! response:	Hey, Saito... Saito!
context: Explosion!\Yeah! They did it!\Louise... Saito...\Saito...\I'm going, too!\They're over there!\Saito... Saito!\Hey, Saito... Saito! response:	Wake up!
context: Yeah! They did it!\Louise... Saito...\Saito...\I'm going, too!\They're over there!\Saito... Saito!\Hey, Saito... Saito!\Wake up! response:	You said... You said you wouldn't die!
context: Louise... Saito...\Saito...\I'm going, too!\They're over there!\Saito... Saito!\Hey, Saito... Saito!\Wake up!\You said... You said you wouldn't die! response:	No...
context: Saito...\I'm going, too!\They're over there!\Saito... Saito!\Hey, Saito... Saito!\Wake up!\You said... You said you wouldn't die!\No... response:	No!
context: I'm going, too!\They're over there!\Saito... Saito!\Hey, Saito... Saito!\Wake up!\You said... You said you wouldn't die!\No...\No! response:	No, Saito, I won't allow this!
context: They're over there!\Saito... Saito!\Hey, Saito... Saito!\Wake up!\You said... You said you wouldn't die!\No...\No!\No, Saito, I won't allow this! response:	Please come back, Saito...
context: Saito... Saito!\Hey, Saito... Saito!\Wake up!\You said... You said you wouldn't die!\No...\No!\No, Saito, I won't allow this!\Please come back, Saito... response:	I'll do anything, anything you want!
context: Hey, Saito... Saito!\Wake up!\You said... You said you wouldn't die!\No...\No!\No, Saito, I won't allow this!\Please come back, Saito...\I'll do anything, anything you want! response:	So please, Saito!
context: Wake up!\You said... You said you wouldn't die!\No...\No!\No, Saito, I won't allow this!\Please come back, Saito...\I'll do anything, anything you want!\So please, Saito! response:	I have to remember that.
context: You said... You said you wouldn't die!\No...\No!\No, Saito, I won't allow this!\Please come back, Saito...\I'll do anything, anything you want!\So please, Saito!\I have to remember that. response:	Saito, Saito, Saito, Saito!
context: No...\No!\No, Saito, I won't allow this!\Please come back, Saito...\I'll do anything, anything you want!\So please, Saito!\I have to remember that.\Saito, Saito, Saito, Saito! response:	It looks like you used up your LIfPrasir powers,
context: No!\No, Saito, I won't allow this!\Please come back, Saito...\I'll do anything, anything you want!\So please, Saito!\I have to remember that.\Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers, response:	but your life as Gandalfr did not end.
context: No, Saito, I won't allow this!\Please come back, Saito...\I'll do anything, anything you want!\So please, Saito!\I have to remember that.\Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end. response:	I see. Well, whatever.
context: Please come back, Saito...\I'll do anything, anything you want!\So please, Saito!\I have to remember that.\Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end.\I see. Well, whatever. response:	All that matters is that I'm right here with Louise now.
context: I'll do anything, anything you want!\So please, Saito!\I have to remember that.\Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end.\I see. Well, whatever.\All that matters is that I'm right here with Louise now. response:	So, Louise, you said you'd do anything, remember?
context: So please, Saito!\I have to remember that.\Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end.\I see. Well, whatever.\All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember? response:	Well, what I meant was...
context: I have to remember that.\Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end.\I see. Well, whatever.\All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember?\Well, what I meant was... response:	There's something I've wanted for a long time,
context: Saito, Saito, Saito, Saito!\It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end.\I see. Well, whatever.\All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember?\Well, what I meant was...\There's something I've wanted for a long time, response:	so maybe I'll have you do it right now.
context: It looks like you used up your LIfPrasir powers,\but your life as Gandalfr did not end.\I see. Well, whatever.\All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember?\Well, what I meant was...\There's something I've wanted for a long time,\so maybe I'll have you do it right now. response:	What do you mean, right now?
context: but your life as Gandalfr did not end.\I see. Well, whatever.\All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember?\Well, what I meant was...\There's something I've wanted for a long time,\so maybe I'll have you do it right now.\What do you mean, right now? response:	What are you talking about?
context: I see. Well, whatever.\All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember?\Well, what I meant was...\There's something I've wanted for a long time,\so maybe I'll have you do it right now.\What do you mean, right now?\What are you talking about? response:	In a place like this?!
context: All that matters is that I'm right here with Louise now.\So, Louise, you said you'd do anything, remember?\Well, what I meant was...\There's something I've wanted for a long time,\so maybe I'll have you do it right now.\What do you mean, right now?\What are you talking about?\In a place like this?! response:	It doesn't matter where we are.
context: So, Louise, you said you'd do anything, remember?\Well, what I meant was...\There's something I've wanted for a long time,\so maybe I'll have you do it right now.\What do you mean, right now?\What are you talking about?\In a place like this?!\It doesn't matter where we are. response:	Yes it does!
context: Well, what I meant was...\There's something I've wanted for a long time,\so maybe I'll have you do it right now.\What do you mean, right now?\What are you talking about?\In a place like this?!\It doesn't matter where we are.\Yes it does! response:	I mean...
context: There's something I've wanted for a long time,\so maybe I'll have you do it right now.\What do you mean, right now?\What are you talking about?\In a place like this?!\It doesn't matter where we are.\Yes it does!\I mean... response:	It doesn't matter where we are, I can't live without you.
context: so maybe I'll have you do it right now.\What do you mean, right now?\What are you talking about?\In a place like this?!\It doesn't matter where we are.\Yes it does!\I mean...\It doesn't matter where we are, I can't live without you. response:	So, Louise...
context: What do you mean, right now?\What are you talking about?\In a place like this?!\It doesn't matter where we are.\Yes it does!\I mean...\It doesn't matter where we are, I can't live without you.\So, Louise... response:	Will you marry me?
context: What are you talking about?\In a place like this?!\It doesn't matter where we are.\Yes it does!\I mean...\It doesn't matter where we are, I can't live without you.\So, Louise...\Will you marry me? response:	You really want to marry me?
context: In a place like this?!\It doesn't matter where we are.\Yes it does!\I mean...\It doesn't matter where we are, I can't live without you.\So, Louise...\Will you marry me?\You really want to marry me? response:	It has to be you!
context: It doesn't matter where we are.\Yes it does!\I mean...\It doesn't matter where we are, I can't live without you.\So, Louise...\Will you marry me?\You really want to marry me?\It has to be you! response:	I want you, too. I want to be with you forever.
context: Yes it does!\I mean...\It doesn't matter where we are, I can't live without you.\So, Louise...\Will you marry me?\You really want to marry me?\It has to be you!\I want you, too. I want to be with you forever. response:	Let's be together forever, Louise.
context: I mean...\It doesn't matter where we are, I can't live without you.\So, Louise...\Will you marry me?\You really want to marry me?\It has to be you!\I want you, too. I want to be with you forever.\Let's be together forever, Louise. response:	Louise, you're beautiful.
context: It doesn't matter where we are, I can't live without you.\So, Louise...\Will you marry me?\You really want to marry me?\It has to be you!\I want you, too. I want to be with you forever.\Let's be together forever, Louise.\Louise, you're beautiful. response:	Don't stare so much.
context: So, Louise...\Will you marry me?\You really want to marry me?\It has to be you!\I want you, too. I want to be with you forever.\Let's be together forever, Louise.\Louise, you're beautiful.\Don't stare so much. response:	I swear that I'll make you happy.
context: Will you marry me?\You really want to marry me?\It has to be you!\I want you, too. I want to be with you forever.\Let's be together forever, Louise.\Louise, you're beautiful.\Don't stare so much.\I swear that I'll make you happy. response:	Of course you will!
context: You really want to marry me?\It has to be you!\I want you, too. I want to be with you forever.\Let's be together forever, Louise.\Louise, you're beautiful.\Don't stare so much.\I swear that I'll make you happy.\Of course you will! response:	I'll punish you if you don't.
