context: You know, we've got a lot of only children in our group, huh? response:	I've got a little brother.
context: Sengoku! We're good buds now, right?\What?!\We got to be best buds right away, too!\We are n-\O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez!\-For real! Let's finish'im off with a wrestling move! response:	-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!
context: What?!\We got to be best buds right away, too!\We are n-\O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez!\-For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move! response:	H-Hey, no wrestling holds!
context: We got to be best buds right away, too!\We are n-\O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez!\-For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds! response:	Best buds...
context: We are n-\O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez!\-For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds!\Best buds... response:	Best buds can settle any argument with rock-paper-scissors!
context: O-Of course we're best buds!\I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez!\-For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds!\Best buds...\Best buds can settle any argument with rock-paper-scissors! response:	Don't blatantly lie to him, Ishikawa-kun!
context: I'm best buds with all of you, Yanagi-kun, too!\Way to go, Prez!\-For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds!\Best buds...\Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun! response:	Yeah! The poor prez always loses!
context: Way to go, Prez!\-For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds!\Best buds...\Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses! response:	You lose way more than I do!
context: -For real! Let's finish'im off with a wrestling move!\-Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds!\Best buds...\Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses!\You lose way more than I do! response:	Really?
context: -Guys are so weird. I'm gonna go follow Yuki. -For real! Let's finish'im off with a wrestling move!\H-Hey, no wrestling holds!\Best buds...\Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses!\You lose way more than I do!\Really? response:	Who knows.
context: H-Hey, no wrestling holds!\Best buds...\Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses!\You lose way more than I do!\Really?\Who knows. response:	I'm not that bad at rock-paper-scissors, am I?
context: Best buds...\Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses!\You lose way more than I do!\Really?\Who knows.\I'm not that bad at rock-paper-scissors, am I? response:	How do you not know?
context: Best buds can settle any argument with rock-paper-scissors!\Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses!\You lose way more than I do!\Really?\Who knows.\I'm not that bad at rock-paper-scissors, am I?\How do you not know? response:	You lose every time we decide who goes to the vending machines.
context: Don't blatantly lie to him, Ishikawa-kun!\Yeah! The poor prez always loses!\You lose way more than I do!\Really?\Who knows.\I'm not that bad at rock-paper-scissors, am I?\How do you not know?\You lose every time we decide who goes to the vending machines. response:	Fine, then I'll win next time.
context: Yeah! The poor prez always loses!\You lose way more than I do!\Really?\Who knows.\I'm not that bad at rock-paper-scissors, am I?\How do you not know?\You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time. response:	Hey, uh...
context: You lose way more than I do!\Really?\Who knows.\I'm not that bad at rock-paper-scissors, am I?\How do you not know?\You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time.\Hey, uh... response:	Would it be all right if I called you Toru, Ishikawa-kun?
context: Really?\Who knows.\I'm not that bad at rock-paper-scissors, am I?\How do you not know?\You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time.\Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun? response:	Sure!
context: Who knows.\I'm not that bad at rock-paper-scissors, am I?\How do you not know?\You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time.\Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun?\Sure! response:	What about me? What about me, Akane?
context: I'm not that bad at rock-paper-scissors, am I?\How do you not know?\You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time.\Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun?\Sure!\What about me? What about me, Akane? response:	One at a time! Please, let me do this one at a time!
context: How do you not know?\You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time.\Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun?\Sure!\What about me? What about me, Akane?\One at a time! Please, let me do this one at a time! response:	Well, I wanna be next!
context: You lose every time we decide who goes to the vending machines.\Fine, then I'll win next time.\Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun?\Sure!\What about me? What about me, Akane?\One at a time! Please, let me do this one at a time!\Well, I wanna be next! response:	Are you gonna start calling him Akane?
context: Fine, then I'll win next time.\Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun?\Sure!\What about me? What about me, Akane?\One at a time! Please, let me do this one at a time!\Well, I wanna be next!\Are you gonna start calling him Akane? response:	It'd be weird if I were the only one.
context: Hey, uh...\Would it be all right if I called you Toru, Ishikawa-kun?\Sure!\What about me? What about me, Akane?\One at a time! Please, let me do this one at a time!\Well, I wanna be next!\Are you gonna start calling him Akane?\It'd be weird if I were the only one. response:	I mean, I could, I just need a bit of time.
context: Would it be all right if I called you Toru, Ishikawa-kun?\Sure!\What about me? What about me, Akane?\One at a time! Please, let me do this one at a time!\Well, I wanna be next!\Are you gonna start calling him Akane?\It'd be weird if I were the only one.\I mean, I could, I just need a bit of time. response:	Huh.
context: Sure!\What about me? What about me, Akane?\One at a time! Please, let me do this one at a time!\Well, I wanna be next!\Are you gonna start calling him Akane?\It'd be weird if I were the only one.\I mean, I could, I just need a bit of time.\Huh. response:	What?
context: What about me? What about me, Akane?\One at a time! Please, let me do this one at a time!\Well, I wanna be next!\Are you gonna start calling him Akane?\It'd be weird if I were the only one.\I mean, I could, I just need a bit of time.\Huh.\What? response:	Nothing.
context: One at a time! Please, let me do this one at a time!\Well, I wanna be next!\Are you gonna start calling him Akane?\It'd be weird if I were the only one.\I mean, I could, I just need a bit of time.\Huh.\What?\Nothing. response:	Yanagi-kun might be on my personal blacklist, I guess.
context: Well, I wanna be next!\Are you gonna start calling him Akane?\It'd be weird if I were the only one.\I mean, I could, I just need a bit of time.\Huh.\What?\Nothing.\Yanagi-kun might be on my personal blacklist, I guess. response:	Wait, why?! Why's he on your blacklist?!
context: Are you gonna start calling him Akane?\It'd be weird if I were the only one.\I mean, I could, I just need a bit of time.\Huh.\What?\Nothing.\Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?! response:	Just kidding.
context: It'd be weird if I were the only one.\I mean, I could, I just need a bit of time.\Huh.\What?\Nothing.\Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?!\Just kidding. response:	What?!
context: I mean, I could, I just need a bit of time.\Huh.\What?\Nothing.\Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?!\Just kidding.\What?! response:	Sorry, forget it.
context: Huh.\What?\Nothing.\Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?!\Just kidding.\What?!\Sorry, forget it. response:	That's not a very funny joke, you know!
context: What?\Nothing.\Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?!\Just kidding.\What?!\Sorry, forget it.\That's not a very funny joke, you know! response:	Miyamura-kun.
context: Nothing.\Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?!\Just kidding.\What?!\Sorry, forget it.\That's not a very funny joke, you know!\Miyamura-kun. response:	I won't take them away.
context: Yanagi-kun might be on my personal blacklist, I guess.\Wait, why?! Why's he on your blacklist?!\Just kidding.\What?!\Sorry, forget it.\That's not a very funny joke, you know!\Miyamura-kun.\I won't take them away. response:	Huh? Take what away?
context: Wait, why?! Why's he on your blacklist?!\Just kidding.\What?!\Sorry, forget it.\That's not a very funny joke, you know!\Miyamura-kun.\I won't take them away.\Huh? Take what away? response:	What's he gonna take from you?
context: Just kidding.\What?!\Sorry, forget it.\That's not a very funny joke, you know!\Miyamura-kun.\I won't take them away.\Huh? Take what away?\What's he gonna take from you? response:	Or did he already take it?
context: What?!\Sorry, forget it.\That's not a very funny joke, you know!\Miyamura-kun.\I won't take them away.\Huh? Take what away?\What's he gonna take from you?\Or did he already take it? response:	Argh!
context: Sorry, forget it.\That's not a very funny joke, you know!\Miyamura-kun.\I won't take them away.\Huh? Take what away?\What's he gonna take from you?\Or did he already take it?\Argh! response:	Argh!
context: That's not a very funny joke, you know!\Miyamura-kun.\I won't take them away.\Huh? Take what away?\What's he gonna take from you?\Or did he already take it?\Argh!\Argh! response:	Sh-Shut up!
context: Miyamura-kun.\I won't take them away.\Huh? Take what away?\What's he gonna take from you?\Or did he already take it?\Argh!\Argh!\Sh-Shut up! response:	Argh!
context: I won't take them away.\Huh? Take what away?\What's he gonna take from you?\Or did he already take it?\Argh!\Argh!\Sh-Shut up!\Argh! response:	C'mon, what is it?
context: Huh? Take what away?\What's he gonna take from you?\Or did he already take it?\Argh!\Argh!\Sh-Shut up!\Argh!\C'mon, what is it? response:	You dummy!
context: What's he gonna take from you?\Or did he already take it?\Argh!\Argh!\Sh-Shut up!\Argh!\C'mon, what is it?\You dummy! response:	You're a big dummy, Akane!
context: Or did he already take it?\Argh!\Argh!\Sh-Shut up!\Argh!\C'mon, what is it?\You dummy!\You're a big dummy, Akane! response:	And there he goes. What the heck was he talking about?
context: Argh!\Argh!\Sh-Shut up!\Argh!\C'mon, what is it?\You dummy!\You're a big dummy, Akane!\And there he goes. What the heck was he talking about? response:	Yanagi looks happy'bout it, at least.
context: Argh!\Sh-Shut up!\Argh!\C'mon, what is it?\You dummy!\You're a big dummy, Akane!\And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least. response:	Look, I told you, you're wrong!
context: Sh-Shut up!\Argh!\C'mon, what is it?\You dummy!\You're a big dummy, Akane!\And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong! response:	No, I'm telling you...
context: Argh!\C'mon, what is it?\You dummy!\You're a big dummy, Akane!\And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong!\No, I'm telling you... response:	Oh, Kono-san!
context: C'mon, what is it?\You dummy!\You're a big dummy, Akane!\And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong!\No, I'm telling you...\Oh, Kono-san! response:	Kono-san!
context: You dummy!\You're a big dummy, Akane!\And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong!\No, I'm telling you...\Oh, Kono-san!\Kono-san! response:	I'm taller than him by a little, right?
context: You're a big dummy, Akane!\And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong!\No, I'm telling you...\Oh, Kono-san!\Kono-san!\I'm taller than him by a little, right? response:	We're the same height, aren't we?
context: And there he goes. What the heck was he talking about?\Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong!\No, I'm telling you...\Oh, Kono-san!\Kono-san!\I'm taller than him by a little, right?\We're the same height, aren't we? response:	Wait, are you two fighting or something?
context: Yanagi looks happy'bout it, at least.\Look, I told you, you're wrong!\No, I'm telling you...\Oh, Kono-san!\Kono-san!\I'm taller than him by a little, right?\We're the same height, aren't we?\Wait, are you two fighting or something? response:	Not at all! Akane just said he got taller.
context: Look, I told you, you're wrong!\No, I'm telling you...\Oh, Kono-san!\Kono-san!\I'm taller than him by a little, right?\We're the same height, aren't we?\Wait, are you two fighting or something?\Not at all! Akane just said he got taller. response:	And Miyamura-kun said I didn't!
context: No, I'm telling you...\Oh, Kono-san!\Kono-san!\I'm taller than him by a little, right?\We're the same height, aren't we?\Wait, are you two fighting or something?\Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't! response:	So you are fighting.
context: Oh, Kono-san!\Kono-san!\I'm taller than him by a little, right?\We're the same height, aren't we?\Wait, are you two fighting or something?\Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't!\So you are fighting. response:	No, because I'm taller than Akane!
context: Kono-san!\I'm taller than him by a little, right?\We're the same height, aren't we?\Wait, are you two fighting or something?\Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't!\So you are fighting.\No, because I'm taller than Akane! response:	Well, I told him neither of us are 170 centimeters tall, and he got all mad!
context: I'm taller than him by a little, right?\We're the same height, aren't we?\Wait, are you two fighting or something?\Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't!\So you are fighting.\No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad! response:	That was uncalled for, Miyamura-kun.
context: We're the same height, aren't we?\Wait, are you two fighting or something?\Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't!\So you are fighting.\No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun. response:	And you shouldn't have blown up at him either, Yanagi-kun!
context: Wait, are you two fighting or something?\Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't!\So you are fighting.\No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun! response:	I'm sorry.
context: Not at all! Akane just said he got taller.\And Miyamura-kun said I didn't!\So you are fighting.\No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry. response:	Hey! You beat me to apologizing! No fair!
context: And Miyamura-kun said I didn't!\So you are fighting.\No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry.\Hey! You beat me to apologizing! No fair! response:	It's completely fair. I'm sorry.
context: So you are fighting.\No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry.\Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry. response:	You did it again!
context: No, because I'm taller than Akane!\Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry.\Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry.\You did it again! response:	I'm glad the two of them are such close friends.
context: Well, I told him neither of us are 170 centimeters tall, and he got all mad!\That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry.\Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry.\You did it again!\I'm glad the two of them are such close friends. response:	Sawada, how do you feel about this one?
context: That was uncalled for, Miyamura-kun.\And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry.\Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry.\You did it again!\I'm glad the two of them are such close friends.\Sawada, how do you feel about this one? response:	Normal.
context: And you shouldn't have blown up at him either, Yanagi-kun!\I'm sorry.\Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry.\You did it again!\I'm glad the two of them are such close friends.\Sawada, how do you feel about this one?\Normal. response:	What about this one?
context: I'm sorry.\Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry.\You did it again!\I'm glad the two of them are such close friends.\Sawada, how do you feel about this one?\Normal.\What about this one? response:	Normal.
context: Hey! You beat me to apologizing! No fair!\It's completely fair. I'm sorry.\You did it again!\I'm glad the two of them are such close friends.\Sawada, how do you feel about this one?\Normal.\What about this one?\Normal. response:	Wow, you've gotten a lot better with guys lately, huh.
context: It's completely fair. I'm sorry.\You did it again!\I'm glad the two of them are such close friends.\Sawada, how do you feel about this one?\Normal.\What about this one?\Normal.\Wow, you've gotten a lot better with guys lately, huh. response:	You know, we're your friends, not inanimate objects.
context: You did it again!\I'm glad the two of them are such close friends.\Sawada, how do you feel about this one?\Normal.\What about this one?\Normal.\Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects. response:	That's right.
context: I'm glad the two of them are such close friends.\Sawada, how do you feel about this one?\Normal.\What about this one?\Normal.\Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects.\That's right. response:	Sorry, I just wanted to see how comfortable Sawada's getting with guys.
context: Sawada, how do you feel about this one?\Normal.\What about this one?\Normal.\Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects.\That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys. response:	I can handle up to Sengoku.
context: Normal.\What about this one?\Normal.\Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects.\That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku. response:	Hori-senpai -> Girls -> Miyamura -> Boys
context: What about this one?\Normal.\Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects.\That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys response:	I can handle up to Sengoku.
context: Normal.\Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects.\That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku. response:	Hori-senpai -> Girls -> Miyamura -> Boys
context: Wow, you've gotten a lot better with guys lately, huh.\You know, we're your friends, not inanimate objects.\That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys response:	Wait, where do I rank, then?!
context: You know, we're your friends, not inanimate objects.\That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?! response:	Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!
context: That's right.\Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?! response:	Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!
context: Sorry, I just wanted to see how comfortable Sawada's getting with guys.\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet! response:	Sweet!
context: I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet! response:	I've got some snacks here, Sawada-san.
context: Hori-senpai -> Girls -> Miyamura -> Boys\I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet!\I've got some snacks here, Sawada-san. response:	You like chocolate, Sawada-san?
context: I can handle up to Sengoku.\Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet!\I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san? response:	You can have all of these!
context: Hori-senpai -> Girls -> Miyamura -> Boys\Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet!\I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san?\You can have all of these! response:	Look, she's eatin' them right outta my hand!
context: Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet!\I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san?\You can have all of these!\Look, she's eatin' them right outta my hand! response:	-Just you wait. I'll shake up that tier list.
context: Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Wait, where do I rank, then?!\Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet!\I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san?\You can have all of these!\Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list. response:	-What the heck... -Just you wait. I'll shake up that tier list.
context: Ishikawa: Nice. Talks to me. Sengoku: Easy to talk to. Iura: Loud. Like, really loud. And annoying. Sweet!\Sweet!\I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san?\You can have all of these!\Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list. response:	Iura-kun, not a peep! Stay quiet!
context: Sweet!\I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san?\You can have all of these!\Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet! response:	Huh? What? Sorry, I can't hear you!
context: I've got some snacks here, Sawada-san.\You like chocolate, Sawada-san?\You can have all of these!\Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you! response:	Hey, Sawada-san!
context: You like chocolate, Sawada-san?\You can have all of these!\Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you!\Hey, Sawada-san! response:	Nope!
context: You can have all of these!\Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you!\Hey, Sawada-san!\Nope! response:	Huh?! C'mon, now, Sawada-san, it's me, Iura!
context: Look, she's eatin' them right outta my hand!\-Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you!\Hey, Sawada-san!\Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura! response:	Nope!
context: -Just you wait. I'll shake up that tier list.\-What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you!\Hey, Sawada-san!\Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope! response:	Iura-kun, you've got some learning to do.
context: -What the heck... -Just you wait. I'll shake up that tier list.\Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you!\Hey, Sawada-san!\Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope!\Iura-kun, you've got some learning to do. response:	What am I learning?!
context: Iura-kun, not a peep! Stay quiet!\Huh? What? Sorry, I can't hear you!\Hey, Sawada-san!\Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope!\Iura-kun, you've got some learning to do.\What am I learning?! response:	Sawada, Iura-kun isn't trying to scare you. He's a good guy.
context: Huh? What? Sorry, I can't hear you!\Hey, Sawada-san!\Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope!\Iura-kun, you've got some learning to do.\What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy. response:	Miyamura!
context: Hey, Sawada-san!\Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope!\Iura-kun, you've got some learning to do.\What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura! response:	I mean, I don't care if he's a good guy. That's not the problem.
context: Nope!\Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope!\Iura-kun, you've got some learning to do.\What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura!\I mean, I don't care if he's a good guy. That's not the problem. response:	Sorry, Iura-kun. No luck.
context: Huh?! C'mon, now, Sawada-san, it's me, Iura!\Nope!\Iura-kun, you've got some learning to do.\What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura!\I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck. response:	I can't stand people who are loud and annoying.
context: Nope!\Iura-kun, you've got some learning to do.\What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura!\I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying. response:	My throat's all scratchy.
context: Iura-kun, you've got some learning to do.\What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura!\I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying.\My throat's all scratchy. response:	You coming down with a cold, Iura?
context: What am I learning?!\Sawada, Iura-kun isn't trying to scare you. He's a good guy.\Miyamura!\I mean, I don't care if he's a good guy. That's not the problem.\Sorry, Iura-kun. No luck.\I can't stand people who are loud and annoying.\My throat's all scratchy.\You coming down with a cold, Iura? response:	You keep coughing.
