context: I hear the ultimate stage calling to me... response:	This voice! This melody!
context: Please, stop!\I don't want to see you two fight anymore!\I can't do that, Mikono!\I'm going to settle this right now!\Settle what?\You want Mikono because you think you're destined?\Exactly. How many times do I have to say it?\Well, not me! response:	I don't care if Mikono is the reincarnation of Silvie!
context: I don't want to see you two fight anymore!\I can't do that, Mikono!\I'm going to settle this right now!\Settle what?\You want Mikono because you think you're destined?\Exactly. How many times do I have to say it?\Well, not me!\I don't care if Mikono is the reincarnation of Silvie! response:	I don't care about whatever was fated 12,000 years ago!
context: I can't do that, Mikono!\I'm going to settle this right now!\Settle what?\You want Mikono because you think you're destined?\Exactly. How many times do I have to say it?\Well, not me!\I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago! response:	I love Mikono as she is right now!
context: I'm going to settle this right now!\Settle what?\You want Mikono because you think you're destined?\Exactly. How many times do I have to say it?\Well, not me!\I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now! response:	Amata!
context: Settle what?\You want Mikono because you think you're destined?\Exactly. How many times do I have to say it?\Well, not me!\I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now!\Amata! response:	Amata...
context: You want Mikono because you think you're destined?\Exactly. How many times do I have to say it?\Well, not me!\I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now!\Amata!\Amata... response:	Mikono as she is right here, right now, this instant!
context: Exactly. How many times do I have to say it?\Well, not me!\I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now!\Amata!\Amata...\Mikono as she is right here, right now, this instant! response:	Then let's see which one's stronger!
context: Well, not me!\I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now!\Amata!\Amata...\Mikono as she is right here, right now, this instant!\Then let's see which one's stronger! response:	My destiny, or your burning emotions!
context: I don't care if Mikono is the reincarnation of Silvie!\I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now!\Amata!\Amata...\Mikono as she is right here, right now, this instant!\Then let's see which one's stronger!\My destiny, or your burning emotions! response:	Amata!
context: I don't care about whatever was fated 12,000 years ago!\I love Mikono as she is right now!\Amata!\Amata...\Mikono as she is right here, right now, this instant!\Then let's see which one's stronger!\My destiny, or your burning emotions!\Amata! response:	What the!
context: I love Mikono as she is right now!\Amata!\Amata...\Mikono as she is right here, right now, this instant!\Then let's see which one's stronger!\My destiny, or your burning emotions!\Amata!\What the! response:	The Wings of the Sun!
context: Amata!\Amata...\Mikono as she is right here, right now, this instant!\Then let's see which one's stronger!\My destiny, or your burning emotions!\Amata!\What the!\The Wings of the Sun! response:	I won't let you beat me!
context: Amata...\Mikono as she is right here, right now, this instant!\Then let's see which one's stronger!\My destiny, or your burning emotions!\Amata!\What the!\The Wings of the Sun!\I won't let you beat me! response:	I'm so close... I can almost hear the melody I've been searching for...
context: Mikono as she is right here, right now, this instant!\Then let's see which one's stronger!\My destiny, or your burning emotions!\Amata!\What the!\The Wings of the Sun!\I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for... response:	Shrade!
context: Then let's see which one's stronger!\My destiny, or your burning emotions!\Amata!\What the!\The Wings of the Sun!\I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for...\Shrade! response:	What's wrong, Shrade?!
context: My destiny, or your burning emotions!\Amata!\What the!\The Wings of the Sun!\I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for...\Shrade!\What's wrong, Shrade?! response:	Can you hear it, my friend?
context: Amata!\What the!\The Wings of the Sun!\I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for...\Shrade!\What's wrong, Shrade?!\Can you hear it, my friend? response:	Isn't that sound so beautiful?
context: What the!\The Wings of the Sun!\I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for...\Shrade!\What's wrong, Shrade?!\Can you hear it, my friend?\Isn't that sound so beautiful? response:	Silvie!
context: The Wings of the Sun!\I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for...\Shrade!\What's wrong, Shrade?!\Can you hear it, my friend?\Isn't that sound so beautiful?\Silvie! response:	Mikono!
context: I won't let you beat me!\I'm so close... I can almost hear the melody I've been searching for...\Shrade!\What's wrong, Shrade?!\Can you hear it, my friend?\Isn't that sound so beautiful?\Silvie!\Mikono! response:	Shrade's vital levels are dropping fast!
context: I'm so close... I can almost hear the melody I've been searching for...\Shrade!\What's wrong, Shrade?!\Can you hear it, my friend?\Isn't that sound so beautiful?\Silvie!\Mikono!\Shrade's vital levels are dropping fast! response:	Further combat will put his life in danger!
context: Shrade!\What's wrong, Shrade?!\Can you hear it, my friend?\Isn't that sound so beautiful?\Silvie!\Mikono!\Shrade's vital levels are dropping fast!\Further combat will put his life in danger! response:	Element Change! Swap Shrade for Yunoha!
context: What's wrong, Shrade?!\Can you hear it, my friend?\Isn't that sound so beautiful?\Silvie!\Mikono!\Shrade's vital levels are dropping fast!\Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha! response:	Wait!
context: Can you hear it, my friend?\Isn't that sound so beautiful?\Silvie!\Mikono!\Shrade's vital levels are dropping fast!\Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha!\Wait! response:	I can still fight...
context: Isn't that sound so beautiful?\Silvie!\Mikono!\Shrade's vital levels are dropping fast!\Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha!\Wait!\I can still fight... response:	Just a little more...
context: Silvie!\Mikono!\Shrade's vital levels are dropping fast!\Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha!\Wait!\I can still fight...\Just a little more... response:	I almost...
context: Mikono!\Shrade's vital levels are dropping fast!\Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha!\Wait!\I can still fight...\Just a little more...\I almost... response:	Element Charge! Hurry!
context: Shrade's vital levels are dropping fast!\Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha!\Wait!\I can still fight...\Just a little more...\I almost...\Element Charge! Hurry! response:	Yunoha Thrul, entering battle!
context: Further combat will put his life in danger!\Element Change! Swap Shrade for Yunoha!\Wait!\I can still fight...\Just a little more...\I almost...\Element Charge! Hurry!\Yunoha Thrul, entering battle! response:	Not so fast!
context: Element Change! Swap Shrade for Yunoha!\Wait!\I can still fight...\Just a little more...\I almost...\Element Charge! Hurry!\Yunoha Thrul, entering battle!\Not so fast! response:	The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!
context: Wait!\I can still fight...\Just a little more...\I almost...\Element Charge! Hurry!\Yunoha Thrul, entering battle!\Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds! response:	Fudo, what is your goal?
context: I can still fight...\Just a little more...\I almost...\Element Charge! Hurry!\Yunoha Thrul, entering battle!\Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal? response:	Wasn't all this written in the Book of Genesis?
context: Just a little more...\I almost...\Element Charge! Hurry!\Yunoha Thrul, entering battle!\Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal?\Wasn't all this written in the Book of Genesis? response:	Legends can only be written by great and noble lives.
context: I almost...\Element Charge! Hurry!\Yunoha Thrul, entering battle!\Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal?\Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives. response:	Using spilled blood as ink.
context: Element Charge! Hurry!\Yunoha Thrul, entering battle!\Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal?\Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives.\Using spilled blood as ink. response:	You won't stop them, then?
context: Yunoha Thrul, entering battle!\Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal?\Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives.\Using spilled blood as ink.\You won't stop them, then? response:	There is no difference between moving and stopping.
context: Not so fast!\The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal?\Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives.\Using spilled blood as ink.\You won't stop them, then?\There is no difference between moving and stopping. response:	When you clap your hands, what remains between them?
context: The Legendary Aquarion's higher-dimensional quantum emissions are beyond measurable bounds!\Fudo, what is your goal?\Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives.\Using spilled blood as ink.\You won't stop them, then?\There is no difference between moving and stopping.\When you clap your hands, what remains between them? response:	Nothing. Just an empty void, a zero.
context: Fudo, what is your goal?\Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives.\Using spilled blood as ink.\You won't stop them, then?\There is no difference between moving and stopping.\When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero. response:	But zero is not always nothing.
context: Wasn't all this written in the Book of Genesis?\Legends can only be written by great and noble lives.\Using spilled blood as ink.\You won't stop them, then?\There is no difference between moving and stopping.\When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero.\But zero is not always nothing. response:	Zero is a value obtained by adding a positive and a negative together.
context: Legends can only be written by great and noble lives.\Using spilled blood as ink.\You won't stop them, then?\There is no difference between moving and stopping.\When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero.\But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together. response:	That is Mikono Suzushiro's power of connection.
context: Using spilled blood as ink.\You won't stop them, then?\There is no difference between moving and stopping.\When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero.\But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection. response:	Dark and light. Holy and profane. Good and evil.
context: You won't stop them, then?\There is no difference between moving and stopping.\When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero.\But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil. response:	Positive and negative.
context: There is no difference between moving and stopping.\When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero.\But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil.\Positive and negative. response:	Let both their sealed memories be unlocked,
context: When you clap your hands, what remains between them?\Nothing. Just an empty void, a zero.\But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil.\Positive and negative.\Let both their sealed memories be unlocked, response:	and the infinite power of zero will be unleashed.
context: Nothing. Just an empty void, a zero.\But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil.\Positive and negative.\Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed. response:	Now, a new page is turning!
context: But zero is not always nothing.\Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil.\Positive and negative.\Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed.\Now, a new page is turning! response:	What?
context: Zero is a value obtained by adding a positive and a negative together.\That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil.\Positive and negative.\Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed.\Now, a new page is turning!\What? response:	I can't take any more!
context: That is Mikono Suzushiro's power of connection.\Dark and light. Holy and profane. Good and evil.\Positive and negative.\Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed.\Now, a new page is turning!\What?\I can't take any more! response:	Come to my breast, Wings of the Sun!
context: Dark and light. Holy and profane. Good and evil.\Positive and negative.\Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed.\Now, a new page is turning!\What?\I can't take any more!\Come to my breast, Wings of the Sun! response:	He took the Legendary Aquarion!
context: Positive and negative.\Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed.\Now, a new page is turning!\What?\I can't take any more!\Come to my breast, Wings of the Sun!\He took the Legendary Aquarion! response:	Amata!
context: Let both their sealed memories be unlocked,\and the infinite power of zero will be unleashed.\Now, a new page is turning!\What?\I can't take any more!\Come to my breast, Wings of the Sun!\He took the Legendary Aquarion!\Amata! response:	The Gate's open. Let's go.
context: and the infinite power of zero will be unleashed.\Now, a new page is turning!\What?\I can't take any more!\Come to my breast, Wings of the Sun!\He took the Legendary Aquarion!\Amata!\The Gate's open. Let's go. response:	Both Abductors and the Legendary Aquarion have entered the Dimension Gate!
context: Now, a new page is turning!\What?\I can't take any more!\Come to my breast, Wings of the Sun!\He took the Legendary Aquarion!\Amata!\The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate! response:	Please, Chairman Crea.
context: What?\I can't take any more!\Come to my breast, Wings of the Sun!\He took the Legendary Aquarion!\Amata!\The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea. response:	Once more... let me go once more...
context: I can't take any more!\Come to my breast, Wings of the Sun!\He took the Legendary Aquarion!\Amata!\The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea.\Once more... let me go once more... response:	You will die this time.
context: Come to my breast, Wings of the Sun!\He took the Legendary Aquarion!\Amata!\The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea.\Once more... let me go once more...\You will die this time. response:	You must have known since you brought me to Neo-Deava.
context: He took the Legendary Aquarion!\Amata!\The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea.\Once more... let me go once more...\You will die this time.\You must have known since you brought me to Neo-Deava. response:	That it would end this way someday.
context: Amata!\The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea.\Once more... let me go once more...\You will die this time.\You must have known since you brought me to Neo-Deava.\That it would end this way someday. response:	Just promise me one thing.
context: The Gate's open. Let's go.\Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea.\Once more... let me go once more...\You will die this time.\You must have known since you brought me to Neo-Deava.\That it would end this way someday.\Just promise me one thing. response:	When you complete your song, let me hear it.
context: Both Abductors and the Legendary Aquarion have entered the Dimension Gate!\Please, Chairman Crea.\Once more... let me go once more...\You will die this time.\You must have known since you brought me to Neo-Deava.\That it would end this way someday.\Just promise me one thing.\When you complete your song, let me hear it. response:	Mikono!
context: Please, Chairman Crea.\Once more... let me go once more...\You will die this time.\You must have known since you brought me to Neo-Deava.\That it would end this way someday.\Just promise me one thing.\When you complete your song, let me hear it.\Mikono! response:	Shrade!
context: Once more... let me go once more...\You will die this time.\You must have known since you brought me to Neo-Deava.\That it would end this way someday.\Just promise me one thing.\When you complete your song, let me hear it.\Mikono!\Shrade! response:	Both Vectors have entered the Dimension Gate!
context: You will die this time.\You must have known since you brought me to Neo-Deava.\That it would end this way someday.\Just promise me one thing.\When you complete your song, let me hear it.\Mikono!\Shrade!\Both Vectors have entered the Dimension Gate! response:	We've lost contact!
context: You must have known since you brought me to Neo-Deava.\That it would end this way someday.\Just promise me one thing.\When you complete your song, let me hear it.\Mikono!\Shrade!\Both Vectors have entered the Dimension Gate!\We've lost contact! response:	Where are Mikono and Kagura?
context: That it would end this way someday.\Just promise me one thing.\When you complete your song, let me hear it.\Mikono!\Shrade!\Both Vectors have entered the Dimension Gate!\We've lost contact!\Where are Mikono and Kagura? response:	Amata!
context: Just promise me one thing.\When you complete your song, let me hear it.\Mikono!\Shrade!\Both Vectors have entered the Dimension Gate!\We've lost contact!\Where are Mikono and Kagura?\Amata! response:	To complete the final song...
context: When you complete your song, let me hear it.\Mikono!\Shrade!\Both Vectors have entered the Dimension Gate!\We've lost contact!\Where are Mikono and Kagura?\Amata!\To complete the final song... response:	I have to take back the Legendary Aquarion first!
context: Mikono!\Shrade!\Both Vectors have entered the Dimension Gate!\We've lost contact!\Where are Mikono and Kagura?\Amata!\To complete the final song...\I have to take back the Legendary Aquarion first! response:	But we can't take him on alone!
context: Shrade!\Both Vectors have entered the Dimension Gate!\We've lost contact!\Where are Mikono and Kagura?\Amata!\To complete the final song...\I have to take back the Legendary Aquarion first!\But we can't take him on alone! response:	I'll Union with you!
context: Both Vectors have entered the Dimension Gate!\We've lost contact!\Where are Mikono and Kagura?\Amata!\To complete the final song...\I have to take back the Legendary Aquarion first!\But we can't take him on alone!\I'll Union with you! response:	Zessica! You're alive!
context: We've lost contact!\Where are Mikono and Kagura?\Amata!\To complete the final song...\I have to take back the Legendary Aquarion first!\But we can't take him on alone!\I'll Union with you!\Zessica! You're alive! response:	Amata... this is how I can show my love for you.
context: Where are Mikono and Kagura?\Amata!\To complete the final song...\I have to take back the Legendary Aquarion first!\But we can't take him on alone!\I'll Union with you!\Zessica! You're alive!\Amata... this is how I can show my love for you. response:	Destiny Union! Go, Aquarion!
context: Amata!\To complete the final song...\I have to take back the Legendary Aquarion first!\But we can't take him on alone!\I'll Union with you!\Zessica! You're alive!\Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion! response:	Amata!
context: To complete the final song...\I have to take back the Legendary Aquarion first!\But we can't take him on alone!\I'll Union with you!\Zessica! You're alive!\Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion!\Amata! response:	Thank you, Zessica.
context: I have to take back the Legendary Aquarion first!\But we can't take him on alone!\I'll Union with you!\Zessica! You're alive!\Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion!\Amata!\Thank you, Zessica. response:	My very soul is vibrating!
context: But we can't take him on alone!\I'll Union with you!\Zessica! You're alive!\Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion!\Amata!\Thank you, Zessica.\My very soul is vibrating! response:	Aquarion Spada!
context: I'll Union with you!\Zessica! You're alive!\Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion!\Amata!\Thank you, Zessica.\My very soul is vibrating!\Aquarion Spada! response:	The Legendary Aquarion!
context: Zessica! You're alive!\Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion!\Amata!\Thank you, Zessica.\My very soul is vibrating!\Aquarion Spada!\The Legendary Aquarion! response:	Got you.
context: Amata... this is how I can show my love for you.\Destiny Union! Go, Aquarion!\Amata!\Thank you, Zessica.\My very soul is vibrating!\Aquarion Spada!\The Legendary Aquarion!\Got you. response:	Wow!
context: Destiny Union! Go, Aquarion!\Amata!\Thank you, Zessica.\My very soul is vibrating!\Aquarion Spada!\The Legendary Aquarion!\Got you.\Wow! response:	Now repent your sins...
context: Amata!\Thank you, Zessica.\My very soul is vibrating!\Aquarion Spada!\The Legendary Aquarion!\Got you.\Wow!\Now repent your sins... response:	Crucifixion Sword!
context: Thank you, Zessica.\My very soul is vibrating!\Aquarion Spada!\The Legendary Aquarion!\Got you.\Wow!\Now repent your sins...\Crucifixion Sword! response:	Shrade!
context: My very soul is vibrating!\Aquarion Spada!\The Legendary Aquarion!\Got you.\Wow!\Now repent your sins...\Crucifixion Sword!\Shrade! response:	The Dimension Gate is opening!
context: Aquarion Spada!\The Legendary Aquarion!\Got you.\Wow!\Now repent your sins...\Crucifixion Sword!\Shrade!\The Dimension Gate is opening! response:	Mithra Gnis is coming out on this side!
context: The Legendary Aquarion!\Got you.\Wow!\Now repent your sins...\Crucifixion Sword!\Shrade!\The Dimension Gate is opening!\Mithra Gnis is coming out on this side! response:	We're detecting a Rare Igura in the cockpit!
context: Got you.\Wow!\Now repent your sins...\Crucifixion Sword!\Shrade!\The Dimension Gate is opening!\Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit! response:	The Rare Igura Kagura has been after all this time...
context: Wow!\Now repent your sins...\Crucifixion Sword!\Shrade!\The Dimension Gate is opening!\Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time... response:	She could well be the true Eve.
context: Now repent your sins...\Crucifixion Sword!\Shrade!\The Dimension Gate is opening!\Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time...\She could well be the true Eve. response:	Prepare all units to sortie!
context: Crucifixion Sword!\Shrade!\The Dimension Gate is opening!\Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time...\She could well be the true Eve.\Prepare all units to sortie! response:	We cannot let Kagura take our true Eve for himself!
context: Shrade!\The Dimension Gate is opening!\Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time...\She could well be the true Eve.\Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself! response:	We have reports of crustal movement and abnormal weather all over the world!
context: The Dimension Gate is opening!\Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time...\She could well be the true Eve.\Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world! response:	The seal on the Legendary Aquarion has been lifted.
context: Mithra Gnis is coming out on this side!\We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time...\She could well be the true Eve.\Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted. response:	The balance between Vega and Altair it sustained is now shifting.
context: We're detecting a Rare Igura in the cockpit!\The Rare Igura Kagura has been after all this time...\She could well be the true Eve.\Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting. response:	We lost the Legendary Aquarion, and we can't contact the Elements...
context: The Rare Igura Kagura has been after all this time...\She could well be the true Eve.\Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements... response:	We're helpless here!
context: She could well be the true Eve.\Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here! response:	What is going to happen to the world?
context: Prepare all units to sortie!\We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here!\What is going to happen to the world? response:	There is still hope.
context: We cannot let Kagura take our true Eve for himself!\We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here!\What is going to happen to the world?\There is still hope. response:	The Wings of the Sun will not move in the absence of its chosen Element.
context: We have reports of crustal movement and abnormal weather all over the world!\The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here!\What is going to happen to the world?\There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element. response:	It's time.
context: The seal on the Legendary Aquarion has been lifted.\The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here!\What is going to happen to the world?\There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element.\It's time. response:	Time to fulfill your promise, girl with hair the color of grass.
context: The balance between Vega and Altair it sustained is now shifting.\We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here!\What is going to happen to the world?\There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element.\It's time.\Time to fulfill your promise, girl with hair the color of grass. response:	I'll tell you what I like.
context: We lost the Legendary Aquarion, and we can't contact the Elements...\We're helpless here!\What is going to happen to the world?\There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element.\It's time.\Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like. response:	Colorful scattered flower petals
context: We're helpless here!\What is going to happen to the world?\There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element.\It's time.\Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like.\Colorful scattered flower petals response:	and Kagura's screams.
context: What is going to happen to the world?\There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element.\It's time.\Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like.\Colorful scattered flower petals\and Kagura's screams. response:	I'll tell you what I hate, too.
context: There is still hope.\The Wings of the Sun will not move in the absence of its chosen Element.\It's time.\Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like.\Colorful scattered flower petals\and Kagura's screams.\I'll tell you what I hate, too. response:	Lies and betrayal...
context: The Wings of the Sun will not move in the absence of its chosen Element.\It's time.\Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like.\Colorful scattered flower petals\and Kagura's screams.\I'll tell you what I hate, too.\Lies and betrayal... response:	and him.
context: It's time.\Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like.\Colorful scattered flower petals\and Kagura's screams.\I'll tell you what I hate, too.\Lies and betrayal...\and him. response:	Wings of Rebirth
context: Time to fulfill your promise, girl with hair the color of grass.\I'll tell you what I like.\Colorful scattered flower petals\and Kagura's screams.\I'll tell you what I hate, too.\Lies and betrayal...\and him.\Wings of Rebirth response:	Next Time
context: I'll tell you what I like.\Colorful scattered flower petals\and Kagura's screams.\I'll tell you what I hate, too.\Lies and betrayal...\and him.\Wings of Rebirth\Next Time response:	Song of Legend
context: Colorful scattered flower petals\and Kagura's screams.\I'll tell you what I hate, too.\Lies and betrayal...\and him.\Wings of Rebirth\Next Time\Song of Legend response:	zetsubouteki ni kimi wa kirei sa
context: and Kagura's screams.\I'll tell you what I hate, too.\Lies and betrayal...\and him.\Wings of Rebirth\Next Time\Song of Legend\zetsubouteki ni kimi wa kirei sa response:	hanten suru sekai no kattou ni aishiaou
context: I'll tell you what I hate, too.\Lies and betrayal...\and him.\Wings of Rebirth\Next Time\Song of Legend\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou response:	bokura ga miteru sekai wa itsudemo sakasama de
context: Lies and betrayal...\and him.\Wings of Rebirth\Next Time\Song of Legend\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de response:	doushiyou mo nai koto de taigai kimatteku
context: and him.\Wings of Rebirth\Next Time\Song of Legend\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku response:	namida suru hodo kizu tsuku hitomi
context: Wings of Rebirth\Next Time\Song of Legend\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi response:	kokoro de sakebi nagara
context: Next Time\Song of Legend\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara response:	tada atteitai saigo no futari masarenai mama
