context: ED response:	Niizuma
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	This picture will
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will response:	tell you the
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the response:	aaa date and time
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time response:	I'll be waiting for you
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you response:	I'm waiting?
context: tell you the\aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\I'm waiting? response:	It's an invitation letter, after all.
context: aaa date and time\I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\I'm waiting?\It's an invitation letter, after all. response:	He's saying that he'll reveal his identity if we come at the date and time shown here.
context: I'll be waiting for you\This picture will\tell you the\aaa date and time\I'll be waiting for you\I'm waiting?\It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here. response:	How will we get both of those from this picture, though?
context: This picture will\tell you the\aaa date and time\I'll be waiting for you\I'm waiting?\It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though? response:	Hattori, PCP is great!
context: tell you the\aaa date and time\I'll be waiting for you\I'm waiting?\It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though?\Hattori, PCP is great! response:	Who'd have thought to use the color page like this?
context: aaa date and time\I'll be waiting for you\I'm waiting?\It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though?\Hattori, PCP is great!\Who'd have thought to use the color page like this? response:	I'll say.
context: I'll be waiting for you\I'm waiting?\It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though?\Hattori, PCP is great!\Who'd have thought to use the color page like this?\I'll say. response:	It can surpass CROW with this!
context: I'm waiting?\It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though?\Hattori, PCP is great!\Who'd have thought to use the color page like this?\I'll say.\It can surpass CROW with this! response:	No, CROW is far more intense.
context: It's an invitation letter, after all.\He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though?\Hattori, PCP is great!\Who'd have thought to use the color page like this?\I'll say.\It can surpass CROW with this!\No, CROW is far more intense. response:	Something of this level won't overtake it.
context: He's saying that he'll reveal his identity if we come at the date and time shown here.\How will we get both of those from this picture, though?\Hattori, PCP is great!\Who'd have thought to use the color page like this?\I'll say.\It can surpass CROW with this!\No, CROW is far more intense.\Something of this level won't overtake it. response:	You're right.
context: How will we get both of those from this picture, though?\Hattori, PCP is great!\Who'd have thought to use the color page like this?\I'll say.\It can surpass CROW with this!\No, CROW is far more intense.\Something of this level won't overtake it.\You're right. response:	I feel like this week's CROW has an especially powerful battle scene.
context: Hattori, PCP is great!\Who'd have thought to use the color page like this?\I'll say.\It can surpass CROW with this!\No, CROW is far more intense.\Something of this level won't overtake it.\You're right.\I feel like this week's CROW has an especially powerful battle scene. response:	It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.
context: Who'd have thought to use the color page like this?\I'll say.\It can surpass CROW with this!\No, CROW is far more intense.\Something of this level won't overtake it.\You're right.\I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP. response:	Niizuma Eiji won't lose.
context: I'll say.\It can surpass CROW with this!\No, CROW is far more intense.\Something of this level won't overtake it.\You're right.\I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose. response:	Or rather, I don't want him to lose.
context: It can surpass CROW with this!\No, CROW is far more intense.\Something of this level won't overtake it.\You're right.\I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose.\Or rather, I don't want him to lose. response:	I've decided to support Niizuma.
context: No, CROW is far more intense.\Something of this level won't overtake it.\You're right.\I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose.\Or rather, I don't want him to lose.\I've decided to support Niizuma. response:	You're okay with CROW ending?
context: Something of this level won't overtake it.\You're right.\I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose.\Or rather, I don't want him to lose.\I've decided to support Niizuma.\You're okay with CROW ending? response:	Niizuma Eiji, winning first place by a wide margin,
context: You're right.\I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose.\Or rather, I don't want him to lose.\I've decided to support Niizuma.\You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin, response:	for a whole 16 weeksno, it'll be 20 by the end...
context: I feel like this week's CROW has an especially powerful battle scene.\It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose.\Or rather, I don't want him to lose.\I've decided to support Niizuma.\You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end... response:	All so he could end his manga the way he wanted to.
context: It all comes down to the intense battle manga, CROW, versus the idea manga, PCP.\Niizuma Eiji won't lose.\Or rather, I don't want him to lose.\I've decided to support Niizuma.\You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to. response:	You could say that I just want to see that historic moment.
context: Niizuma Eiji won't lose.\Or rather, I don't want him to lose.\I've decided to support Niizuma.\You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment. response:	I suppose...
context: Or rather, I don't want him to lose.\I've decided to support Niizuma.\You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment.\I suppose... response:	Yeah, I guess that's not something we'd ever get to see, normally.
context: I've decided to support Niizuma.\You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment.\I suppose...\Yeah, I guess that's not something we'd ever get to see, normally. response:	9th... 00 minutes?
context: You're okay with CROW ending?\Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment.\I suppose...\Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes? response:	Does that 9th mean the upcoming 9th of this month?
context: Niizuma Eiji, winning first place by a wide margin,\for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment.\I suppose...\Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month? response:	Yeah...
context: for a whole 16 weeksno, it'll be 20 by the end...\All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment.\I suppose...\Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month?\Yeah... response:	This doesn't really make it clear if it's this month's or the next.
context: All so he could end his manga the way he wanted to.\You could say that I just want to see that historic moment.\I suppose...\Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month?\Yeah...\This doesn't really make it clear if it's this month's or the next. response:	The same goes for the time.
context: You could say that I just want to see that historic moment.\I suppose...\Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month?\Yeah...\This doesn't really make it clear if it's this month's or the next.\The same goes for the time. response:	If you look closely at the picture here,
context: I suppose...\Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month?\Yeah...\This doesn't really make it clear if it's this month's or the next.\The same goes for the time.\If you look closely at the picture here, response:	you can see the clock is pointing to 10 o'clock,
context: Yeah, I guess that's not something we'd ever get to see, normally.\9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month?\Yeah...\This doesn't really make it clear if it's this month's or the next.\The same goes for the time.\If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock, response:	so maybe it's on the 9th at 10:00.
context: 9th... 00 minutes?\Does that 9th mean the upcoming 9th of this month?\Yeah...\This doesn't really make it clear if it's this month's or the next.\The same goes for the time.\If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00. response:	Sigma said that we'd know the date and time from this picture,
context: Does that 9th mean the upcoming 9th of this month?\Yeah...\This doesn't really make it clear if it's this month's or the next.\The same goes for the time.\If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture, response:	but that'd be too easy.
context: Yeah...\This doesn't really make it clear if it's this month's or the next.\The same goes for the time.\If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture,\but that'd be too easy. response:	Besides, we don't even know the place we're supposed to meet. Where is it?
context: This doesn't really make it clear if it's this month's or the next.\The same goes for the time.\If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture,\but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it? response:	Also, something about this picture is off.
context: The same goes for the time.\If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture,\but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off. response:	Off?
context: If you look closely at the picture here,\you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture,\but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off.\Off? response:	I'm pretty sure I took this picture in the morning.
context: you can see the clock is pointing to 10 o'clock,\so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture,\but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off.\Off?\I'm pretty sure I took this picture in the morning. response:	Lemme see.
context: so maybe it's on the 9th at 10:00.\Sigma said that we'd know the date and time from this picture,\but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off.\Off?\I'm pretty sure I took this picture in the morning.\Lemme see. response:	The whole picture is sepia-colored, but it's pitch black outside the window!
context: Sigma said that we'd know the date and time from this picture,\but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off.\Off?\I'm pretty sure I took this picture in the morning.\Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window! response:	Unnaturally so!
context: but that'd be too easy.\Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off.\Off?\I'm pretty sure I took this picture in the morning.\Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so! response:	Magnifying Strap!
context: Besides, we don't even know the place we're supposed to meet. Where is it?\Also, something about this picture is off.\Off?\I'm pretty sure I took this picture in the morning.\Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so!\Magnifying Strap! response:	I knew it!
context: Also, something about this picture is off.\Off?\I'm pretty sure I took this picture in the morning.\Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so!\Magnifying Strap!\I knew it! response:	The direction of the shadows is strange!
context: Off?\I'm pretty sure I took this picture in the morning.\Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so!\Magnifying Strap!\I knew it!\The direction of the shadows is strange! response:	What?
context: I'm pretty sure I took this picture in the morning.\Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so!\Magnifying Strap!\I knew it!\The direction of the shadows is strange!\What? response:	It is morning!
context: Lemme see.\The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so!\Magnifying Strap!\I knew it!\The direction of the shadows is strange!\What?\It is morning! response:	These are shadows created by morning sunlight shining through the window!
context: The whole picture is sepia-colored, but it's pitch black outside the window!\Unnaturally so!\Magnifying Strap!\I knew it!\The direction of the shadows is strange!\What?\It is morning!\These are shadows created by morning sunlight shining through the window! response:	The real sky is bright!
context: Unnaturally so!\Magnifying Strap!\I knew it!\The direction of the shadows is strange!\What?\It is morning!\These are shadows created by morning sunlight shining through the window!\The real sky is bright! response:	Sigma colored the sky black!
context: Magnifying Strap!\I knew it!\The direction of the shadows is strange!\What?\It is morning!\These are shadows created by morning sunlight shining through the window!\The real sky is bright!\Sigma colored the sky black! response:	And check out the clock's hands!
context: I knew it!\The direction of the shadows is strange!\What?\It is morning!\These are shadows created by morning sunlight shining through the window!\The real sky is bright!\Sigma colored the sky black!\And check out the clock's hands! response:	Its hands?
context: The direction of the shadows is strange!\What?\It is morning!\These are shadows created by morning sunlight shining through the window!\The real sky is bright!\Sigma colored the sky black!\And check out the clock's hands!\Its hands? response:	This clock doesn't actually have a second-hand.
context: What?\It is morning!\These are shadows created by morning sunlight shining through the window!\The real sky is bright!\Sigma colored the sky black!\And check out the clock's hands!\Its hands?\This clock doesn't actually have a second-hand. response:	Its hands are also supposed to be silver.
context: It is morning!\These are shadows created by morning sunlight shining through the window!\The real sky is bright!\Sigma colored the sky black!\And check out the clock's hands!\Its hands?\This clock doesn't actually have a second-hand.\Its hands are also supposed to be silver. response:	From this picture, it looks like it's exactly 10 o'clock and the alarm has been set for 9 o'clock,
context: These are shadows created by morning sunlight shining through the window!\The real sky is bright!\Sigma colored the sky black!\And check out the clock's hands!\Its hands?\This clock doesn't actually have a second-hand.\Its hands are also supposed to be silver.\From this picture, it looks like it's exactly 10 o'clock and the alarm has been set for 9 o'clock, response:	but, like the sky, the black clock hands are something that Sigma colored in.
