context: This is the International Rescue Fleet of the Norma Administration Board. response:	Normas, thank you for your good work fighting the DRAGONs.
context: Why?\No one dies. We don't allow it.\That's what the First Troop is about, right?\Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it?\Is this really time to prepare an escape?\I told you, I have an important mission. response:	You and the Villkiss must escape unharmed.
context: No one dies. We don't allow it.\That's what the First Troop is about, right?\Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it?\Is this really time to prepare an escape?\I told you, I have an important mission.\You and the Villkiss must escape unharmed. response:	It's probably going to be...
context: That's what the First Troop is about, right?\Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it?\Is this really time to prepare an escape?\I told you, I have an important mission.\You and the Villkiss must escape unharmed.\It's probably going to be... response:	And for that, you'd give up your friends' lives?
context: Villkiss is still on the maintenance deck.\I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it?\Is this really time to prepare an escape?\I told you, I have an important mission.\You and the Villkiss must escape unharmed.\It's probably going to be...\And for that, you'd give up your friends' lives? response:	What else can I do?
context: I'll go back up as soon as I deliver Ange.\It's dangerous here, isn't it?\Is this really time to prepare an escape?\I told you, I have an important mission.\You and the Villkiss must escape unharmed.\It's probably going to be...\And for that, you'd give up your friends' lives?\What else can I do? response:	You're just like that woman.
context: It's dangerous here, isn't it?\Is this really time to prepare an escape?\I told you, I have an important mission.\You and the Villkiss must escape unharmed.\It's probably going to be...\And for that, you'd give up your friends' lives?\What else can I do?\You're just like that woman. response:	Paranoid and drunk on fanciful ideas and a meaningless sense of duty.
context: Is this really time to prepare an escape?\I told you, I have an important mission.\You and the Villkiss must escape unharmed.\It's probably going to be...\And for that, you'd give up your friends' lives?\What else can I do?\You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty. response:	It must be awful to be someone
context: I told you, I have an important mission.\You and the Villkiss must escape unharmed.\It's probably going to be...\And for that, you'd give up your friends' lives?\What else can I do?\You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone response:	who gets killed over you people.
context: You and the Villkiss must escape unharmed.\It's probably going to be...\And for that, you'd give up your friends' lives?\What else can I do?\You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone\who gets killed over you people. response:	You don't understand anything, do you?
context: It's probably going to be...\And for that, you'd give up your friends' lives?\What else can I do?\You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone\who gets killed over you people.\You don't understand anything, do you? response:	How important, privileged, and special you are!
context: And for that, you'd give up your friends' lives?\What else can I do?\You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone\who gets killed over you people.\You don't understand anything, do you?\How important, privileged, and special you are! response:	I don't even want to understand.
context: What else can I do?\You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone\who gets killed over you people.\You don't understand anything, do you?\How important, privileged, and special you are!\I don't even want to understand. response:	Hold your breath, please, Angelise-sama!
context: You're just like that woman.\Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone\who gets killed over you people.\You don't understand anything, do you?\How important, privileged, and special you are!\I don't even want to understand.\Hold your breath, please, Angelise-sama! response:	What the hell is this?
context: Paranoid and drunk on fanciful ideas and a meaningless sense of duty.\It must be awful to be someone\who gets killed over you people.\You don't understand anything, do you?\How important, privileged, and special you are!\I don't even want to understand.\Hold your breath, please, Angelise-sama!\What the hell is this? response:	Ange, where
context: It must be awful to be someone\who gets killed over you people.\You don't understand anything, do you?\How important, privileged, and special you are!\I don't even want to understand.\Hold your breath, please, Angelise-sama!\What the hell is this?\Ange, where response:	I'm glad I had it on me so I could cook whenever I needed to.
context: who gets killed over you people.\You don't understand anything, do you?\How important, privileged, and special you are!\I don't even want to understand.\Hold your breath, please, Angelise-sama!\What the hell is this?\Ange, where\I'm glad I had it on me so I could cook whenever I needed to. response:	You've gotten pretty bold.
context: You don't understand anything, do you?\How important, privileged, and special you are!\I don't even want to understand.\Hold your breath, please, Angelise-sama!\What the hell is this?\Ange, where\I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold. response:	You're rubbing off on me, Angelise-sama.
context: How important, privileged, and special you are!\I don't even want to understand.\Hold your breath, please, Angelise-sama!\What the hell is this?\Ange, where\I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold.\You're rubbing off on me, Angelise-sama. response:	Salia, what happened?
context: I don't even want to understand.\Hold your breath, please, Angelise-sama!\What the hell is this?\Ange, where\I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold.\You're rubbing off on me, Angelise-sama.\Salia, what happened? response:	Ange escaped.
context: Hold your breath, please, Angelise-sama!\What the hell is this?\Ange, where\I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold.\You're rubbing off on me, Angelise-sama.\Salia, what happened?\Ange escaped. response:	Capture her.
context: What the hell is this?\Ange, where\I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold.\You're rubbing off on me, Angelise-sama.\Salia, what happened?\Ange escaped.\Capture her. response:	Commander, we have a message for you from the outside.
context: Ange, where\I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold.\You're rubbing off on me, Angelise-sama.\Salia, what happened?\Ange escaped.\Capture her.\Commander, we have a message for you from the outside. response:	Outside?
context: I'm glad I had it on me so I could cook whenever I needed to.\You've gotten pretty bold.\You're rubbing off on me, Angelise-sama.\Salia, what happened?\Ange escaped.\Capture her.\Commander, we have a message for you from the outside.\Outside? response:	Frequency 153.
context: You've gotten pretty bold.\You're rubbing off on me, Angelise-sama.\Salia, what happened?\Ange escaped.\Capture her.\Commander, we have a message for you from the outside.\Outside?\Frequency 153. response:	Patch it through to my line.
context: You're rubbing off on me, Angelise-sama.\Salia, what happened?\Ange escaped.\Capture her.\Commander, we have a message for you from the outside.\Outside?\Frequency 153.\Patch it through to my line. response:	It's been awhile, Alektra.
context: Salia, what happened?\Ange escaped.\Capture her.\Commander, we have a message for you from the outside.\Outside?\Frequency 153.\Patch it through to my line.\It's been awhile, Alektra. response:	Tusk.
context: Ange escaped.\Capture her.\Commander, we have a message for you from the outside.\Outside?\Frequency 153.\Patch it through to my line.\It's been awhile, Alektra.\Tusk. response:	Is Ange safe?
context: Capture her.\Commander, we have a message for you from the outside.\Outside?\Frequency 153.\Patch it through to my line.\It's been awhile, Alektra.\Tusk.\Is Ange safe? response:	She just now ran off.
context: Commander, we have a message for you from the outside.\Outside?\Frequency 153.\Patch it through to my line.\It's been awhile, Alektra.\Tusk.\Is Ange safe?\She just now ran off. response:	Will you assist in her capture?
context: Outside?\Frequency 153.\Patch it through to my line.\It's been awhile, Alektra.\Tusk.\Is Ange safe?\She just now ran off.\Will you assist in her capture? response:	All right.
context: Frequency 153.\Patch it through to my line.\It's been awhile, Alektra.\Tusk.\Is Ange safe?\She just now ran off.\Will you assist in her capture?\All right. response:	Be safe, everyone.
context: Patch it through to my line.\It's been awhile, Alektra.\Tusk.\Is Ange safe?\She just now ran off.\Will you assist in her capture?\All right.\Be safe, everyone. response:	Angelise-sama, I think we can get out from here.
context: It's been awhile, Alektra.\Tusk.\Is Ange safe?\She just now ran off.\Will you assist in her capture?\All right.\Be safe, everyone.\Angelise-sama, I think we can get out from here. response:	Angelise-sama!
context: Tusk.\Is Ange safe?\She just now ran off.\Will you assist in her capture?\All right.\Be safe, everyone.\Angelise-sama, I think we can get out from here.\Angelise-sama! response:	Water...
context: Is Ange safe?\She just now ran off.\Will you assist in her capture?\All right.\Be safe, everyone.\Angelise-sama, I think we can get out from here.\Angelise-sama!\Water... response:	I'll get some water.
context: She just now ran off.\Will you assist in her capture?\All right.\Be safe, everyone.\Angelise-sama, I think we can get out from here.\Angelise-sama!\Water...\I'll get some water. response:	You only realize what matters to you after you lose it.
context: Will you assist in her capture?\All right.\Be safe, everyone.\Angelise-sama, I think we can get out from here.\Angelise-sama!\Water...\I'll get some water.\You only realize what matters to you after you lose it. response:	This fact has remained true through the ages.
context: All right.\Be safe, everyone.\Angelise-sama, I think we can get out from here.\Angelise-sama!\Water...\I'll get some water.\You only realize what matters to you after you lose it.\This fact has remained true through the ages. response:	Such a heinous deed.
context: Be safe, everyone.\Angelise-sama, I think we can get out from here.\Angelise-sama!\Water...\I'll get some water.\You only realize what matters to you after you lose it.\This fact has remained true through the ages.\Such a heinous deed. response:	I don't remember permitting this.
context: Angelise-sama, I think we can get out from here.\Angelise-sama!\Water...\I'll get some water.\You only realize what matters to you after you lose it.\This fact has remained true through the ages.\Such a heinous deed.\I don't remember permitting this. response:	No, it was your brother that ordered this massacre.
context: Angelise-sama!\Water...\I'll get some water.\You only realize what matters to you after you lose it.\This fact has remained true through the ages.\Such a heinous deed.\I don't remember permitting this.\No, it was your brother that ordered this massacre. response:	He's fourteen kilometers away, north-northeast.
context: Water...\I'll get some water.\You only realize what matters to you after you lose it.\This fact has remained true through the ages.\Such a heinous deed.\I don't remember permitting this.\No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast. response:	He's come to make mincemeat of you.
context: I'll get some water.\You only realize what matters to you after you lose it.\This fact has remained true through the ages.\Such a heinous deed.\I don't remember permitting this.\No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you. response:	These girls were, in effect, collateral damage.
context: You only realize what matters to you after you lose it.\This fact has remained true through the ages.\Such a heinous deed.\I don't remember permitting this.\No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you.\These girls were, in effect, collateral damage. response:	You did this?
context: This fact has remained true through the ages.\Such a heinous deed.\I don't remember permitting this.\No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you.\These girls were, in effect, collateral damage.\You did this? response:	Under Onii-sama's orders?
context: Such a heinous deed.\I don't remember permitting this.\No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you.\These girls were, in effect, collateral damage.\You did this?\Under Onii-sama's orders? response:	YouAngelise!
context: I don't remember permitting this.\No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you.\These girls were, in effect, collateral damage.\You did this?\Under Onii-sama's orders?\YouAngelise! response:	Wait, please!
context: No, it was your brother that ordered this massacre.\He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you.\These girls were, in effect, collateral damage.\You did this?\Under Onii-sama's orders?\YouAngelise!\Wait, please! response:	I was just following the captain and Julio's or
context: He's fourteen kilometers away, north-northeast.\He's come to make mincemeat of you.\These girls were, in effect, collateral damage.\You did this?\Under Onii-sama's orders?\YouAngelise!\Wait, please!\I was just following the captain and Julio's or response:	Angelise-sama.
context: He's come to make mincemeat of you.\These girls were, in effect, collateral damage.\You did this?\Under Onii-sama's orders?\YouAngelise!\Wait, please!\I was just following the captain and Julio's or\Angelise-sama. response:	It's okay.
context: These girls were, in effect, collateral damage.\You did this?\Under Onii-sama's orders?\YouAngelise!\Wait, please!\I was just following the captain and Julio's or\Angelise-sama.\It's okay. response:	I'm here.
context: You did this?\Under Onii-sama's orders?\YouAngelise!\Wait, please!\I was just following the captain and Julio's or\Angelise-sama.\It's okay.\I'm here. response:	It's okay now.
context: Under Onii-sama's orders?\YouAngelise!\Wait, please!\I was just following the captain and Julio's or\Angelise-sama.\It's okay.\I'm here.\It's okay now. response:	I have to go.
context: YouAngelise!\Wait, please!\I was just following the captain and Julio's or\Angelise-sama.\It's okay.\I'm here.\It's okay now.\I have to go. response:	The elevator shaft!
context: Wait, please!\I was just following the captain and Julio's or\Angelise-sama.\It's okay.\I'm here.\It's okay now.\I have to go.\The elevator shaft! response:	We can't bring Para-mails down now.
context: I was just following the captain and Julio's or\Angelise-sama.\It's okay.\I'm here.\It's okay now.\I have to go.\The elevator shaft!\We can't bring Para-mails down now. response:	What's the plan, Hilda?
context: Angelise-sama.\It's okay.\I'm here.\It's okay now.\I have to go.\The elevator shaft!\We can't bring Para-mails down now.\What's the plan, Hilda? response:	Freaking hell.
context: It's okay.\I'm here.\It's okay now.\I have to go.\The elevator shaft!\We can't bring Para-mails down now.\What's the plan, Hilda?\Freaking hell. response:	Momoka.
context: I'm here.\It's okay now.\I have to go.\The elevator shaft!\We can't bring Para-mails down now.\What's the plan, Hilda?\Freaking hell.\Momoka. response:	Yes.
context: It's okay now.\I have to go.\The elevator shaft!\We can't bring Para-mails down now.\What's the plan, Hilda?\Freaking hell.\Momoka.\Yes. response:	Ange!
context: I have to go.\The elevator shaft!\We can't bring Para-mails down now.\What's the plan, Hilda?\Freaking hell.\Momoka.\Yes.\Ange! response:	Where were you, you idiot?
context: The elevator shaft!\We can't bring Para-mails down now.\What's the plan, Hilda?\Freaking hell.\Momoka.\Yes.\Ange!\Where were you, you idiot? response:	Take care of Momoka.
context: We can't bring Para-mails down now.\What's the plan, Hilda?\Freaking hell.\Momoka.\Yes.\Ange!\Where were you, you idiot?\Take care of Momoka. response:	Hey! You can't use the runway now!
context: What's the plan, Hilda?\Freaking hell.\Momoka.\Yes.\Ange!\Where were you, you idiot?\Take care of Momoka.\Hey! You can't use the runway now! response:	Fine.
context: Freaking hell.\Momoka.\Yes.\Ange!\Where were you, you idiot?\Take care of Momoka.\Hey! You can't use the runway now!\Fine. response:	She's so violent.
context: Momoka.\Yes.\Ange!\Where were you, you idiot?\Take care of Momoka.\Hey! You can't use the runway now!\Fine.\She's so violent. response:	Course clear.
context: Yes.\Ange!\Where were you, you idiot?\Take care of Momoka.\Hey! You can't use the runway now!\Fine.\She's so violent.\Course clear. response:	I won't let you.
context: Ange!\Where were you, you idiot?\Take care of Momoka.\Hey! You can't use the runway now!\Fine.\She's so violent.\Course clear.\I won't let you. response:	Hilda.
context: Where were you, you idiot?\Take care of Momoka.\Hey! You can't use the runway now!\Fine.\She's so violent.\Course clear.\I won't let you.\Hilda. response:	I have to go, too.
context: Take care of Momoka.\Hey! You can't use the runway now!\Fine.\She's so violent.\Course clear.\I won't let you.\Hilda.\I have to go, too. response:	To save everyone...
context: Hey! You can't use the runway now!\Fine.\She's so violent.\Course clear.\I won't let you.\Hilda.\I have to go, too.\To save everyone... response:	I'm topside at Arzenal.
context: Fine.\She's so violent.\Course clear.\I won't let you.\Hilda.\I have to go, too.\To save everyone...\I'm topside at Arzenal. response:	Where's Ange?
context: She's so violent.\Course clear.\I won't let you.\Hilda.\I have to go, too.\To save everyone...\I'm topside at Arzenal.\Where's Ange? response:	Well...
context: Course clear.\I won't let you.\Hilda.\I have to go, too.\To save everyone...\I'm topside at Arzenal.\Where's Ange?\Well... response:	Jeez! That crazy woman...
context: I won't let you.\Hilda.\I have to go, too.\To save everyone...\I'm topside at Arzenal.\Where's Ange?\Well...\Jeez! That crazy woman... response:	Potato chips...
context: Hilda.\I have to go, too.\To save everyone...\I'm topside at Arzenal.\Where's Ange?\Well...\Jeez! That crazy woman...\Potato chips... response:	Shit! Let go!
context: I have to go, too.\To save everyone...\I'm topside at Arzenal.\Where's Ange?\Well...\Jeez! That crazy woman...\Potato chips...\Shit! Let go! response:	Let go!
context: To save everyone...\I'm topside at Arzenal.\Where's Ange?\Well...\Jeez! That crazy woman...\Potato chips...\Shit! Let go!\Let go! response:	We've captured a few Mail riders.
context: I'm topside at Arzenal.\Where's Ange?\Well...\Jeez! That crazy woman...\Potato chips...\Shit! Let go!\Let go!\We've captured a few Mail riders. response:	Captures reported from within the base, too.
context: Where's Ange?\Well...\Jeez! That crazy woman...\Potato chips...\Shit! Let go!\Let go!\We've captured a few Mail riders.\Captures reported from within the base, too. response:	And Angelise?
context: Well...\Jeez! That crazy woman...\Potato chips...\Shit! Let go!\Let go!\We've captured a few Mail riders.\Captures reported from within the base, too.\And Angelise? response:	Priority One is Angelise.
context: Jeez! That crazy woman...\Potato chips...\Shit! Let go!\Let go!\We've captured a few Mail riders.\Captures reported from within the base, too.\And Angelise?\Priority One is Angelise. response:	Priority Two is the Villkiss. I told you!
context: Potato chips...\Shit! Let go!\Let go!\We've captured a few Mail riders.\Captures reported from within the base, too.\And Angelise?\Priority One is Angelise.\Priority Two is the Villkiss. I told you! response:	Object inbound, fast!
context: Shit! Let go!\Let go!\We've captured a few Mail riders.\Captures reported from within the base, too.\And Angelise?\Priority One is Angelise.\Priority Two is the Villkiss. I told you!\Object inbound, fast! response:	It's Priority One and Priority Two!
context: Let go!\We've captured a few Mail riders.\Captures reported from within the base, too.\And Angelise?\Priority One is Angelise.\Priority Two is the Villkiss. I told you!\Object inbound, fast!\It's Priority One and Priority Two! response:	Angelise...
context: We've captured a few Mail riders.\Captures reported from within the base, too.\And Angelise?\Priority One is Angelise.\Priority Two is the Villkiss. I told you!\Object inbound, fast!\It's Priority One and Priority Two!\Angelise... response:	Come back, Ange!
context: Captures reported from within the base, too.\And Angelise?\Priority One is Angelise.\Priority Two is the Villkiss. I told you!\Object inbound, fast!\It's Priority One and Priority Two!\Angelise...\Come back, Ange! response:	Come back and do your duty!
context: And Angelise?\Priority One is Angelise.\Priority Two is the Villkiss. I told you!\Object inbound, fast!\It's Priority One and Priority Two!\Angelise...\Come back, Ange!\Come back and do your duty! response:	What's your problem?
context: Priority One is Angelise.\Priority Two is the Villkiss. I told you!\Object inbound, fast!\It's Priority One and Priority Two!\Angelise...\Come back, Ange!\Come back and do your duty!\What's your problem? response:	You were chosen!
context: Priority Two is the Villkiss. I told you!\Object inbound, fast!\It's Priority One and Priority Two!\Angelise...\Come back, Ange!\Come back and do your duty!\What's your problem?\You were chosen! response:	By Alektra!
context: Object inbound, fast!\It's Priority One and Priority Two!\Angelise...\Come back, Ange!\Come back and do your duty!\What's your problem?\You were chosen!\By Alektra! response:	My role, my placeyou took all of it, so face it!
context: It's Priority One and Priority Two!\Angelise...\Come back, Ange!\Come back and do your duty!\What's your problem?\You were chosen!\By Alektra!\My role, my placeyou took all of it, so face it! response:	I liked it.
context: Angelise...\Come back, Ange!\Come back and do your duty!\What's your problem?\You were chosen!\By Alektra!\My role, my placeyou took all of it, so face it!\I liked it. response:	I liked it here.
context: Come back, Ange!\Come back and do your duty!\What's your problem?\You were chosen!\By Alektra!\My role, my placeyou took all of it, so face it!\I liked it.\I liked it here. response:	This wretched, shitty, atrocious place...
context: Come back and do your duty!\What's your problem?\You were chosen!\By Alektra!\My role, my placeyou took all of it, so face it!\I liked it.\I liked it here.\This wretched, shitty, atrocious place... response:	Everything tasted like shit.
context: What's your problem?\You were chosen!\By Alektra!\My role, my placeyou took all of it, so face it!\I liked it.\I liked it here.\This wretched, shitty, atrocious place...\Everything tasted like shit. response:	But I liked it.
context: You were chosen!\By Alektra!\My role, my placeyou took all of it, so face it!\I liked it.\I liked it here.\This wretched, shitty, atrocious place...\Everything tasted like shit.\But I liked it. response:	I liked living here.
context: By Alektra!\My role, my placeyou took all of it, so face it!\I liked it.\I liked it here.\This wretched, shitty, atrocious place...\Everything tasted like shit.\But I liked it.\I liked living here. response:	And he destroyed it.
context: My role, my placeyou took all of it, so face it!\I liked it.\I liked it here.\This wretched, shitty, atrocious place...\Everything tasted like shit.\But I liked it.\I liked living here.\And he destroyed it. response:	That's why I'm going.
context: I liked it.\I liked it here.\This wretched, shitty, atrocious place...\Everything tasted like shit.\But I liked it.\I liked living here.\And he destroyed it.\That's why I'm going. response:	If you get in my way, I'll kill you.
context: I liked it here.\This wretched, shitty, atrocious place...\Everything tasted like shit.\But I liked it.\I liked living here.\And he destroyed it.\That's why I'm going.\If you get in my way, I'll kill you. response:	Ange!
context: This wretched, shitty, atrocious place...\Everything tasted like shit.\But I liked it.\I liked living here.\And he destroyed it.\That's why I'm going.\If you get in my way, I'll kill you.\Ange! response:	Ange!
context: Everything tasted like shit.\But I liked it.\I liked living here.\And he destroyed it.\That's why I'm going.\If you get in my way, I'll kill you.\Ange!\Ange! response:	I won't forgive you.
context: But I liked it.\I liked living here.\And he destroyed it.\That's why I'm going.\If you get in my way, I'll kill you.\Ange!\Ange!\I won't forgive you. response:	I won't let you run off with the victory.
context: I liked living here.\And he destroyed it.\That's why I'm going.\If you get in my way, I'll kill you.\Ange!\Ange!\I won't forgive you.\I won't let you run off with the victory. response:	Ange, you fatass!
context: And he destroyed it.\That's why I'm going.\If you get in my way, I'll kill you.\Ange!\Ange!\I won't forgive you.\I won't let you run off with the victory.\Ange, you fatass! response:	Hilda, ready for take-off.
context: That's why I'm going.\If you get in my way, I'll kill you.\Ange!\Ange!\I won't forgive you.\I won't let you run off with the victory.\Ange, you fatass!\Hilda, ready for take-off. response:	Roger.
context: If you get in my way, I'll kill you.\Ange!\Ange!\I won't forgive you.\I won't let you run off with the victory.\Ange, you fatass!\Hilda, ready for take-off.\Roger. response:	Let's go, Captain.
context: Ange!\Ange!\I won't forgive you.\I won't let you run off with the victory.\Ange, you fatass!\Hilda, ready for take-off.\Roger.\Let's go, Captain. response:	Hilda Squad, let's go!
context: Ange!\I won't forgive you.\I won't let you run off with the victory.\Ange, you fatass!\Hilda, ready for take-off.\Roger.\Let's go, Captain.\Hilda Squad, let's go! response:	Yes, ma'am.
context: I won't forgive you.\I won't let you run off with the victory.\Ange, you fatass!\Hilda, ready for take-off.\Roger.\Let's go, Captain.\Hilda Squad, let's go!\Yes, ma'am. response:	Chris!
context: I won't let you run off with the victory.\Ange, you fatass!\Hilda, ready for take-off.\Roger.\Let's go, Captain.\Hilda Squad, let's go!\Yes, ma'am.\Chris! response:	Chris!
context: Ange, you fatass!\Hilda, ready for take-off.\Roger.\Let's go, Captain.\Hilda Squad, let's go!\Yes, ma'am.\Chris!\Chris! response:	Hang in there, Chris!
context: Hilda, ready for take-off.\Roger.\Let's go, Captain.\Hilda Squad, let's go!\Yes, ma'am.\Chris!\Chris!\Hang in there, Chris! response:	We'll save you!
context: Roger.\Let's go, Captain.\Hilda Squad, let's go!\Yes, ma'am.\Chris!\Chris!\Hang in there, Chris!\We'll save you! response:	Thanks, Rosa
context: Let's go, Captain.\Hilda Squad, let's go!\Yes, ma'am.\Chris!\Chris!\Hang in there, Chris!\We'll save you!\Thanks, Rosa response:	Chris.
context: Hilda Squad, let's go!\Yes, ma'am.\Chris!\Chris!\Hang in there, Chris!\We'll save you!\Thanks, Rosa\Chris. response:	God damn it.
context: Yes, ma'am.\Chris!\Chris!\Hang in there, Chris!\We'll save you!\Thanks, Rosa\Chris.\God damn it. response:	I'll kill all of you!
context: Chris!\Chris!\Hang in there, Chris!\We'll save you!\Thanks, Rosa\Chris.\God damn it.\I'll kill all of you! response:	I'm sorry.
context: Chris!\Hang in there, Chris!\We'll save you!\Thanks, Rosa\Chris.\God damn it.\I'll kill all of you!\I'm sorry. response:	I'm sorry...
context: Hang in there, Chris!\We'll save you!\Thanks, Rosa\Chris.\God damn it.\I'll kill all of you!\I'm sorry.\I'm sorry... response:	A light barrier.
context: We'll save you!\Thanks, Rosa\Chris.\God damn it.\I'll kill all of you!\I'm sorry.\I'm sorry...\A light barrier. response:	Then...
context: Thanks, Rosa\Chris.\God damn it.\I'll kill all of you!\I'm sorry.\I'm sorry...\A light barrier.\Then... response:	Sink!
context: Chris.\God damn it.\I'll kill all of you!\I'm sorry.\I'm sorry...\A light barrier.\Then...\Sink! response:	Defiant and Mariposa are down!
context: God damn it.\I'll kill all of you!\I'm sorry.\I'm sorry...\A light barrier.\Then...\Sink!\Defiant and Mariposa are down! response:	Fortunate and Olbert destroyed!
context: I'll kill all of you!\I'm sorry.\I'm sorry...\A light barrier.\Then...\Sink!\Defiant and Mariposa are down!\Fortunate and Olbert destroyed! response:	What are they doing? It's just one
context: I'm sorry.\I'm sorry...\A light barrier.\Then...\Sink!\Defiant and Mariposa are down!\Fortunate and Olbert destroyed!\What are they doing? It's just one response:	Angeli
context: I'm sorry...\A light barrier.\Then...\Sink!\Defiant and Mariposa are down!\Fortunate and Olbert destroyed!\What are they doing? It's just one\Angeli response:	Call off the massacre, now!
context: A light barrier.\Then...\Sink!\Defiant and Mariposa are down!\Fortunate and Olbert destroyed!\What are they doing? It's just one\Angeli\Call off the massacre, now! response:	If you don't want to die, then do it now!
context: Then...\Sink!\Defiant and Mariposa are down!\Fortunate and Olbert destroyed!\What are they doing? It's just one\Angeli\Call off the massacre, now!\If you don't want to die, then do it now! response:	Holy Emperor Julio the First here.
context: Sink!\Defiant and Mariposa are down!\Fortunate and Olbert destroyed!\What are they doing? It's just one\Angeli\Call off the massacre, now!\If you don't want to die, then do it now!\Holy Emperor Julio the First here. response:	All units, cease fire and retreat.
context: Defiant and Mariposa are down!\Fortunate and Olbert destroyed!\What are they doing? It's just one\Angeli\Call off the massacre, now!\If you don't want to die, then do it now!\Holy Emperor Julio the First here.\All units, cease fire and retreat. response:	Retreat?
context: Fortunate and Olbert destroyed!\What are they doing? It's just one\Angeli\Call off the massacre, now!\If you don't want to die, then do it now!\Holy Emperor Julio the First here.\All units, cease fire and retreat.\Retreat? response:	What about the Norma?
context: What are they doing? It's just one\Angeli\Call off the massacre, now!\If you don't want to die, then do it now!\Holy Emperor Julio the First here.\All units, cease fire and retreat.\Retreat?\What about the Norma? response:	I stopped them!
context: Angeli\Call off the massacre, now!\If you don't want to die, then do it now!\Holy Emperor Julio the First here.\All units, cease fire and retreat.\Retreat?\What about the Norma?\I stopped them! response:	Now get me a doctor, now!
context: Call off the massacre, now!\If you don't want to die, then do it now!\Holy Emperor Julio the First here.\All units, cease fire and retreat.\Retreat?\What about the Norma?\I stopped them!\Now get me a doctor, now! response:	Wait!
context: If you don't want to die, then do it now!\Holy Emperor Julio the First here.\All units, cease fire and retreat.\Retreat?\What about the Norma?\I stopped them!\Now get me a doctor, now!\Wait! response:	That wasn't the deal!
context: Holy Emperor Julio the First here.\All units, cease fire and retreat.\Retreat?\What about the Norma?\I stopped them!\Now get me a doctor, now!\Wait!\That wasn't the deal! response:	I apologize.
context: All units, cease fire and retreat.\Retreat?\What about the Norma?\I stopped them!\Now get me a doctor, now!\Wait!\That wasn't the deal!\I apologize. response:	I'll do anything you ask.
context: Retreat?\What about the Norma?\I stopped them!\Now get me a doctor, now!\Wait!\That wasn't the deal!\I apologize.\I'll do anything you ask. response:	I know, I'll reinstate you into the royal family.
context: What about the Norma?\I stopped them!\Now get me a doctor, now!\Wait!\That wasn't the deal!\I apologize.\I'll do anything you ask.\I know, I'll reinstate you into the royal family. response:	Angelise!
context: I stopped them!\Now get me a doctor, now!\Wait!\That wasn't the deal!\I apologize.\I'll do anything you ask.\I know, I'll reinstate you into the royal family.\Angelise! response:	Come on, that's not a bad offer, is it?
context: Now get me a doctor, now!\Wait!\That wasn't the deal!\I apologize.\I'll do anything you ask.\I know, I'll reinstate you into the royal family.\Angelise!\Come on, that's not a bad offer, is it? response:	Please, don't kill me!
context: Wait!\That wasn't the deal!\I apologize.\I'll do anything you ask.\I know, I'll reinstate you into the royal family.\Angelise!\Come on, that's not a bad offer, is it?\Please, don't kill me! response:	You worthless scum.
context: That wasn't the deal!\I apologize.\I'll do anything you ask.\I know, I'll reinstate you into the royal family.\Angelise!\Come on, that's not a bad offer, is it?\Please, don't kill me!\You worthless scum. response:	Go to hell!
context: I apologize.\I'll do anything you ask.\I know, I'll reinstate you into the royal family.\Angelise!\Come on, that's not a bad offer, is it?\Please, don't kill me!\You worthless scum.\Go to hell! response:	You're
context: I'll do anything you ask.\I know, I'll reinstate you into the royal family.\Angelise!\Come on, that's not a bad offer, is it?\Please, don't kill me!\You worthless scum.\Go to hell!\You're response:	Embryo-sama!
