context: Has there been any contact with Count Mazuurek since then? response:	No. However, his Landing Castle is still functional.
context: You have spoken to Princess Asseylum?\She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation.\Cooperation, you say?\Can you tell me one thing?\Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way. response:	Which makes you the perfect man to ask.
context: She spent time aboard this ship.\I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation.\Cooperation, you say?\Can you tell me one thing?\Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way.\Which makes you the perfect man to ask. response:	Have you sworn loyalty to Princess Asseylum?
context: I see. You are one of those who sought to exploit her, then.\It wasn't exploitation. It was cooperation.\Cooperation, you say?\Can you tell me one thing?\Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way.\Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum? response:	Aren't you going to eat, Rayet?
context: It wasn't exploitation. It was cooperation.\Cooperation, you say?\Can you tell me one thing?\Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way.\Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet? response:	If you don't eat a little, you won't have any energy when we go into battle.
context: Cooperation, you say?\Can you tell me one thing?\Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way.\Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle. response:	I'm not hungry.
context: Can you tell me one thing?\Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way.\Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry. response:	With fasting diets, the weight starts coming off at your boobs.
context: Do I look like a man who would sell out his country lightly?\You don't look that way. Or sound that way.\Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry.\With fasting diets, the weight starts coming off at your boobs. response:	I've never gone on a diet before.
context: You don't look that way. Or sound that way.\Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry.\With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before. response:	You've never dieted before, Rayet?
context: Which makes you the perfect man to ask.\Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry.\With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before.\You've never dieted before, Rayet? response:	That's amazing! How do you keep that figure?
context: Have you sworn loyalty to Princess Asseylum?\Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry.\With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before.\You've never dieted before, Rayet?\That's amazing! How do you keep that figure? response:	Would you tell me, too?
context: Aren't you going to eat, Rayet?\If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry.\With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before.\You've never dieted before, Rayet?\That's amazing! How do you keep that figure?\Would you tell me, too? response:	Commander.
context: If you don't eat a little, you won't have any energy when we go into battle.\I'm not hungry.\With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before.\You've never dieted before, Rayet?\That's amazing! How do you keep that figure?\Would you tell me, too?\Commander. response:	Having lunch, ma'am?
context: I'm not hungry.\With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before.\You've never dieted before, Rayet?\That's amazing! How do you keep that figure?\Would you tell me, too?\Commander.\Having lunch, ma'am? response:	I thought it would be nice to eat somewhere besides the ship while we're in port.
context: With fasting diets, the weight starts coming off at your boobs.\I've never gone on a diet before.\You've never dieted before, Rayet?\That's amazing! How do you keep that figure?\Would you tell me, too?\Commander.\Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port. response:	Right, we don't get to eat out very often, do we?
context: I've never gone on a diet before.\You've never dieted before, Rayet?\That's amazing! How do you keep that figure?\Would you tell me, too?\Commander.\Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we? response:	That reminds me, has anyone seen Inaho?
context: You've never dieted before, Rayet?\That's amazing! How do you keep that figure?\Would you tell me, too?\Commander.\Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho? response:	I was going to ask him to join us for lunch, but I haven't seen him.
context: That's amazing! How do you keep that figure?\Would you tell me, too?\Commander.\Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him. response:	Ensign Kaizuka is interrogating the Mars Knight at the moment.
context: Would you tell me, too?\Commander.\Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment. response:	Inaho's interrogating him?
context: Commander.\Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him? response:	I'm heading back.
context: Having lunch, ma'am?\I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him?\I'm heading back. response:	Hey, wait... Rayet?
context: I thought it would be nice to eat somewhere besides the ship while we're in port.\Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him?\I'm heading back.\Hey, wait... Rayet? response:	She didn't tell us the secret to her figure.
context: Right, we don't get to eat out very often, do we?\That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him?\I'm heading back.\Hey, wait... Rayet?\She didn't tell us the secret to her figure. response:	So, you are saying that the Princess Asseylum currently at our moon base is an impostor?
context: That reminds me, has anyone seen Inaho?\I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him?\I'm heading back.\Hey, wait... Rayet?\She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor? response:	Yes.
context: I was going to ask him to join us for lunch, but I haven't seen him.\Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him?\I'm heading back.\Hey, wait... Rayet?\She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes. response:	If that is true, where is the real one?
context: Ensign Kaizuka is interrogating the Mars Knight at the moment.\Inaho's interrogating him?\I'm heading back.\Hey, wait... Rayet?\She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes.\If that is true, where is the real one? response:	Is she being held prisoner somewhere?
context: Inaho's interrogating him?\I'm heading back.\Hey, wait... Rayet?\She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes.\If that is true, where is the real one?\Is she being held prisoner somewhere? response:	Or is there a reason she cannot show herself?
context: I'm heading back.\Hey, wait... Rayet?\She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes.\If that is true, where is the real one?\Is she being held prisoner somewhere?\Or is there a reason she cannot show herself? response:	Possibly both.
context: Hey, wait... Rayet?\She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes.\If that is true, where is the real one?\Is she being held prisoner somewhere?\Or is there a reason she cannot show herself?\Possibly both. response:	That left eye of yours saw through that, as well?
context: She didn't tell us the secret to her figure.\So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes.\If that is true, where is the real one?\Is she being held prisoner somewhere?\Or is there a reason she cannot show herself?\Possibly both.\That left eye of yours saw through that, as well? response:	It's an analytical engine.
context: So, you are saying that the Princess Asseylum currently at our moon base is an impostor?\Yes.\If that is true, where is the real one?\Is she being held prisoner somewhere?\Or is there a reason she cannot show herself?\Possibly both.\That left eye of yours saw through that, as well?\It's an analytical engine. response:	Impossible! I am not so foolish that I would believe such a preposterous tale!
context: Yes.\If that is true, where is the real one?\Is she being held prisoner somewhere?\Or is there a reason she cannot show herself?\Possibly both.\That left eye of yours saw through that, as well?\It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale! response:	We've retrieved your Kataphrakt.
context: If that is true, where is the real one?\Is she being held prisoner somewhere?\Or is there a reason she cannot show herself?\Possibly both.\That left eye of yours saw through that, as well?\It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt. response:	Its Aldnoah Drive was knocked offline by the force of the explosion.
context: Is she being held prisoner somewhere?\Or is there a reason she cannot show herself?\Possibly both.\That left eye of yours saw through that, as well?\It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion. response:	It will never work again.
context: Or is there a reason she cannot show herself?\Possibly both.\That left eye of yours saw through that, as well?\It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again. response:	You powered it down yourself, didn't you? Out of fear that Terrans would steal it.
context: Possibly both.\That left eye of yours saw through that, as well?\It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it. response:	Weren't you listening? It stopped working after the explosion.
context: That left eye of yours saw through that, as well?\It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion. response:	Did it, now? Just as I thought, you shut it down intentionally.
context: It's an analytical engine.\Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally. response:	I will say it again.
context: Impossible! I am not so foolish that I would believe such a preposterous tale!\We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally.\I will say it again. response:	Princess Asseylum is an impostor.
context: We've retrieved your Kataphrakt.\Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally.\I will say it again.\Princess Asseylum is an impostor. response:	There are many species of birds, as well.
context: Its Aldnoah Drive was knocked offline by the force of the explosion.\It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally.\I will say it again.\Princess Asseylum is an impostor.\There are many species of birds, as well. response:	Large birds. Small birds.
context: It will never work again.\You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally.\I will say it again.\Princess Asseylum is an impostor.\There are many species of birds, as well.\Large birds. Small birds. response:	And brilliantly-colored birds.
context: You powered it down yourself, didn't you? Out of fear that Terrans would steal it.\Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally.\I will say it again.\Princess Asseylum is an impostor.\There are many species of birds, as well.\Large birds. Small birds.\And brilliantly-colored birds. response:	They're beautiful...
context: Weren't you listening? It stopped working after the explosion.\Did it, now? Just as I thought, you shut it down intentionally.\I will say it again.\Princess Asseylum is an impostor.\There are many species of birds, as well.\Large birds. Small birds.\And brilliantly-colored birds.\They're beautiful... response:	This is how birds fly through Earth's skies.
context: Did it, now? Just as I thought, you shut it down intentionally.\I will say it again.\Princess Asseylum is an impostor.\There are many species of birds, as well.\Large birds. Small birds.\And brilliantly-colored birds.\They're beautiful...\This is how birds fly through Earth's skies. response:	Most birds fly, but there are some species of flightless birds.
context: I will say it again.\Princess Asseylum is an impostor.\There are many species of birds, as well.\Large birds. Small birds.\And brilliantly-colored birds.\They're beautiful...\This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds. response:	Flightless birds?
context: Princess Asseylum is an impostor.\There are many species of birds, as well.\Large birds. Small birds.\And brilliantly-colored birds.\They're beautiful...\This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds.\Flightless birds? response:	I suspect that Princess Asseylum might say that she finds it sad
context: There are many species of birds, as well.\Large birds. Small birds.\And brilliantly-colored birds.\They're beautiful...\This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds.\Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad response:	that they cannot fly even though they have wings.
context: Large birds. Small birds.\And brilliantly-colored birds.\They're beautiful...\This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds.\Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings. response:	She is a kindhearted person.
context: And brilliantly-colored birds.\They're beautiful...\This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds.\Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings.\She is a kindhearted person. response:	But their inability to fly does not trouble them in the least.
context: They're beautiful...\This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds.\Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings.\She is a kindhearted person.\But their inability to fly does not trouble them in the least. response:	On the contrary, perhaps the ones to be pitied are the birds
context: This is how birds fly through Earth's skies.\Most birds fly, but there are some species of flightless birds.\Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings.\She is a kindhearted person.\But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds response:	who can fly, but are kept in a cage.
context: Most birds fly, but there are some species of flightless birds.\Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings.\She is a kindhearted person.\But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage. response:	Why would someone lock them in a cage?
context: Flightless birds?\I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings.\She is a kindhearted person.\But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage.\Why would someone lock them in a cage? response:	Because they are so very beautiful.
context: I suspect that Princess Asseylum might say that she finds it sad\that they cannot fly even though they have wings.\She is a kindhearted person.\But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage.\Why would someone lock them in a cage?\Because they are so very beautiful. response:	Princess Asseylum was shot right in front of me.
context: that they cannot fly even though they have wings.\She is a kindhearted person.\But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage.\Why would someone lock them in a cage?\Because they are so very beautiful.\Princess Asseylum was shot right in front of me. response:	Shot by Count Saazbaum.
context: She is a kindhearted person.\But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage.\Why would someone lock them in a cage?\Because they are so very beautiful.\Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum. response:	Preposterous!
context: But their inability to fly does not trouble them in the least.\On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage.\Why would someone lock them in a cage?\Because they are so very beautiful.\Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum.\Preposterous! response:	Who then left with Slaine Troyard.
context: On the contrary, perhaps the ones to be pitied are the birds\who can fly, but are kept in a cage.\Why would someone lock them in a cage?\Because they are so very beautiful.\Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum.\Preposterous!\Who then left with Slaine Troyard. response:	They took Princess Asseylum, who was on the verge of death, with them.
context: who can fly, but are kept in a cage.\Why would someone lock them in a cage?\Because they are so very beautiful.\Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum.\Preposterous!\Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them. response:	Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!
context: Why would someone lock them in a cage?\Because they are so very beautiful.\Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum.\Preposterous!\Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum! response:	He's no hero.
context: Because they are so very beautiful.\Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum.\Preposterous!\Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero. response:	He's the mastermind behind the plot to assassinate her.
context: Princess Asseylum was shot right in front of me.\Shot by Count Saazbaum.\Preposterous!\Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero.\He's the mastermind behind the plot to assassinate her. response:	Count Saazbaum is?
context: Shot by Count Saazbaum.\Preposterous!\Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero.\He's the mastermind behind the plot to assassinate her.\Count Saazbaum is? response:	Those bastards tricked my father and used him as much as they could
context: Preposterous!\Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero.\He's the mastermind behind the plot to assassinate her.\Count Saazbaum is?\Those bastards tricked my father and used him as much as they could response:	and then they killed him like some lowly insect.
context: Who then left with Slaine Troyard.\They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero.\He's the mastermind behind the plot to assassinate her.\Count Saazbaum is?\Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect. response:	You are Vers-born?
context: They took Princess Asseylum, who was on the verge of death, with them.\Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero.\He's the mastermind behind the plot to assassinate her.\Count Saazbaum is?\Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect.\You are Vers-born? response:	I see...
context: Count Saazbaum was celebrated as the hero who rescued Princess Asseylum!\He's no hero.\He's the mastermind behind the plot to assassinate her.\Count Saazbaum is?\Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect.\You are Vers-born?\I see... response:	In any event, your father would have died sooner or later.
context: He's no hero.\He's the mastermind behind the plot to assassinate her.\Count Saazbaum is?\Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect.\You are Vers-born?\I see...\In any event, your father would have died sooner or later. response:	Consider it a blessing that he wasn't branded a traitor and lynched.
context: He's the mastermind behind the plot to assassinate her.\Count Saazbaum is?\Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect.\You are Vers-born?\I see...\In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched. response:	What's that supposed to mean?
context: Count Saazbaum is?\Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect.\You are Vers-born?\I see...\In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean? response:	Are you saying my father deserved to be killed?
context: Those bastards tricked my father and used him as much as they could\and then they killed him like some lowly insect.\You are Vers-born?\I see...\In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean?\Are you saying my father deserved to be killed? response:	Let's go.
context: and then they killed him like some lowly insect.\You are Vers-born?\I see...\In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean?\Are you saying my father deserved to be killed?\Let's go. response:	I'm not done with him!
context: You are Vers-born?\I see...\In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean?\Are you saying my father deserved to be killed?\Let's go.\I'm not done with him! response:	Come on.
context: I see...\In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean?\Are you saying my father deserved to be killed?\Let's go.\I'm not done with him!\Come on. response:	Let go!
context: In any event, your father would have died sooner or later.\Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean?\Are you saying my father deserved to be killed?\Let's go.\I'm not done with him!\Come on.\Let go! response:	You must think I'm an idiot.
context: Consider it a blessing that he wasn't branded a traitor and lynched.\What's that supposed to mean?\Are you saying my father deserved to be killed?\Let's go.\I'm not done with him!\Come on.\Let go!\You must think I'm an idiot. response:	That I'll always be bound by the past. Always be a prisoner to it.
context: What's that supposed to mean?\Are you saying my father deserved to be killed?\Let's go.\I'm not done with him!\Come on.\Let go!\You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it. response:	You're right. I'm just like them.
context: Are you saying my father deserved to be killed?\Let's go.\I'm not done with him!\Come on.\Let go!\You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them. response:	All I can do is blame others. Hate them, envy them, and fight them.
context: Let's go.\I'm not done with him!\Come on.\Let go!\You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them. response:	A stupid Martian!
context: I'm not done with him!\Come on.\Let go!\You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian! response:	You're different.
context: Come on.\Let go!\You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian!\You're different. response:	I am not.
context: Let go!\You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian!\You're different.\I am not. response:	You are.
context: You must think I'm an idiot.\That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian!\You're different.\I am not.\You are. response:	I am not!
context: That I'll always be bound by the past. Always be a prisoner to it.\You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian!\You're different.\I am not.\You are.\I am not! response:	You are.
context: You're right. I'm just like them.\All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian!\You're different.\I am not.\You are.\I am not!\You are. response:	I'm no different! I hate Martians!
context: All I can do is blame others. Hate them, envy them, and fight them.\A stupid Martian!\You're different.\I am not.\You are.\I am not!\You are.\I'm no different! I hate Martians! response:	And I hate myself most of all!
context: A stupid Martian!\You're different.\I am not.\You are.\I am not!\You are.\I'm no different! I hate Martians!\And I hate myself most of all! response:	Count Marylcian, you say?
context: You're different.\I am not.\You are.\I am not!\You are.\I'm no different! I hate Martians!\And I hate myself most of all!\Count Marylcian, you say? response:	Yes, sir.
context: I am not.\You are.\I am not!\You are.\I'm no different! I hate Martians!\And I hate myself most of all!\Count Marylcian, you say?\Yes, sir. response:	He has been calling repeatedly, insisting that he be put through to Princess Asseylum.
context: You are.\I am not!\You are.\I'm no different! I hate Martians!\And I hate myself most of all!\Count Marylcian, you say?\Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum. response:	What does Milord Slaine say?
context: I am not!\You are.\I'm no different! I hate Martians!\And I hate myself most of all!\Count Marylcian, you say?\Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say? response:	There is no sign of him, sir.
context: You are.\I'm no different! I hate Martians!\And I hate myself most of all!\Count Marylcian, you say?\Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say?\There is no sign of him, sir. response:	What is all this commotion?
context: I'm no different! I hate Martians!\And I hate myself most of all!\Count Marylcian, you say?\Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say?\There is no sign of him, sir.\What is all this commotion? response:	Leave us.
context: And I hate myself most of all!\Count Marylcian, you say?\Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say?\There is no sign of him, sir.\What is all this commotion?\Leave us. response:	Yes, sir.
context: Count Marylcian, you say?\Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say?\There is no sign of him, sir.\What is all this commotion?\Leave us.\Yes, sir. response:	Oh, dear. You can't have your discussion with me in the room?
context: Yes, sir.\He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say?\There is no sign of him, sir.\What is all this commotion?\Leave us.\Yes, sir.\Oh, dear. You can't have your discussion with me in the room? response:	Unfortunately not, Highness.
context: He has been calling repeatedly, insisting that he be put through to Princess Asseylum.\What does Milord Slaine say?\There is no sign of him, sir.\What is all this commotion?\Leave us.\Yes, sir.\Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness. response:	Knowledge of your existence is limited, even here at the moon base.
context: What does Milord Slaine say?\There is no sign of him, sir.\What is all this commotion?\Leave us.\Yes, sir.\Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness.\Knowledge of your existence is limited, even here at the moon base. response:	I must ask that you avoid public areas.
context: There is no sign of him, sir.\What is all this commotion?\Leave us.\Yes, sir.\Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness.\Knowledge of your existence is limited, even here at the moon base.\I must ask that you avoid public areas. response:	Shall I speak to him?
context: What is all this commotion?\Leave us.\Yes, sir.\Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness.\Knowledge of your existence is limited, even here at the moon base.\I must ask that you avoid public areas.\Shall I speak to him? response:	It's Count Marylcian, isn't it?
context: Leave us.\Yes, sir.\Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness.\Knowledge of your existence is limited, even here at the moon base.\I must ask that you avoid public areas.\Shall I speak to him?\It's Count Marylcian, isn't it? response:	But, Highness...
context: Yes, sir.\Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness.\Knowledge of your existence is limited, even here at the moon base.\I must ask that you avoid public areas.\Shall I speak to him?\It's Count Marylcian, isn't it?\But, Highness... response:	Is there a problem?
context: Oh, dear. You can't have your discussion with me in the room?\Unfortunately not, Highness.\Knowledge of your existence is limited, even here at the moon base.\I must ask that you avoid public areas.\Shall I speak to him?\It's Count Marylcian, isn't it?\But, Highness...\Is there a problem? response:	Patch him through to the throne room.
