context: It's finally here. response:	The Okinawa training camp.
context: And... I'm out of oxygen!\We're here!\It's my first time here, but it really is a southern land!\Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because...\this place is Okinawa.\That's why! response:	That's amazing!
context: We're here!\It's my first time here, but it really is a southern land!\Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because...\this place is Okinawa.\That's why!\That's amazing! response:	It's because palms grow in subtropical climates, isn't it?
context: It's my first time here, but it really is a southern land!\Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because...\this place is Okinawa.\That's why!\That's amazing!\It's because palms grow in subtropical climates, isn't it? response:	The ocean in Okinawa really is this blue! It's beautiful!
context: Kanadecchi!\Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because...\this place is Okinawa.\That's why!\That's amazing!\It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful! response:	This isn't a view we'd see in the Kanto area.
context: Are you wondering why there are palm trees? Allow this master of Okinawa to explain!\It's because...\this place is Okinawa.\That's why!\That's amazing!\It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area. response:	I believe the blue of the ocean in Okinawa
context: It's because...\this place is Okinawa.\That's why!\That's amazing!\It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa response:	is due to things like coral and shells turning into chalky white sand, right?
context: this place is Okinawa.\That's why!\That's amazing!\It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right? response:	Because when pale colors combine with blue, they make very pretty colors.
context: That's why!\That's amazing!\It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors. response:	Really...
context: That's amazing!\It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors.\Really... response:	I hear that the Kuroshiro current, which flows near Okinawa...
context: It's because palms grow in subtropical climates, isn't it?\The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors.\Really...\I hear that the Kuroshiro current, which flows near Okinawa... response:	is low in plankton, which is another factor in it being very clear.
context: The ocean in Okinawa really is this blue! It's beautiful!\This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors.\Really...\I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear. response:	Still, I was really surprised!
context: This isn't a view we'd see in the Kanto area.\I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors.\Really...\I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear.\Still, I was really surprised! response:	It's my first time staying in such a gorgeous, beautiful hotel like this!
context: I believe the blue of the ocean in Okinawa\is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors.\Really...\I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear.\Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this! response:	It's amazing you got this place on that pitiful training camp budget.
context: is due to things like coral and shells turning into chalky white sand, right?\Because when pale colors combine with blue, they make very pretty colors.\Really...\I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear.\Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget. response:	About that...
context: Because when pale colors combine with blue, they make very pretty colors.\Really...\I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear.\Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget.\About that... response:	Actually, Yamamoto-kun paid the difference for us!
context: Really...\I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear.\Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget.\About that...\Actually, Yamamoto-kun paid the difference for us! response:	What?
context: I hear that the Kuroshiro current, which flows near Okinawa...\is low in plankton, which is another factor in it being very clear.\Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget.\About that...\Actually, Yamamoto-kun paid the difference for us!\What? response:	That's right. I wanted everyone to stay somewhere nice.
context: is low in plankton, which is another factor in it being very clear.\Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget.\About that...\Actually, Yamamoto-kun paid the difference for us!\What?\That's right. I wanted everyone to stay somewhere nice. response:	Seriously? Are you some kind of goddess?
context: Still, I was really surprised!\It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget.\About that...\Actually, Yamamoto-kun paid the difference for us!\What?\That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess? response:	Th-Thank you very much!
context: It's my first time staying in such a gorgeous, beautiful hotel like this!\It's amazing you got this place on that pitiful training camp budget.\About that...\Actually, Yamamoto-kun paid the difference for us!\What?\That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess?\Th-Thank you very much! response:	That must have been quite a sum...
context: It's amazing you got this place on that pitiful training camp budget.\About that...\Actually, Yamamoto-kun paid the difference for us!\What?\That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess?\Th-Thank you very much!\That must have been quite a sum... response:	Don't worry.
context: About that...\Actually, Yamamoto-kun paid the difference for us!\What?\That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess?\Th-Thank you very much!\That must have been quite a sum...\Don't worry. response:	Losing hope in tomorrow's financial future,
context: Actually, Yamamoto-kun paid the difference for us!\What?\That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess?\Th-Thank you very much!\That must have been quite a sum...\Don't worry.\Losing hope in tomorrow's financial future, response:	Tears of Blood
context: What?\That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess?\Th-Thank you very much!\That must have been quite a sum...\Don't worry.\Losing hope in tomorrow's financial future,\Tears of Blood response:	and surviving on bean sprouts and flour is something I'm quite used to.
context: That's right. I wanted everyone to stay somewhere nice.\Seriously? Are you some kind of goddess?\Th-Thank you very much!\That must have been quite a sum...\Don't worry.\Losing hope in tomorrow's financial future,\Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to. response:	Don't spend what you don't have!
context: Seriously? Are you some kind of goddess?\Th-Thank you very much!\That must have been quite a sum...\Don't worry.\Losing hope in tomorrow's financial future,\Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have! response:	If my poor savings can, by vanishing,
context: Th-Thank you very much!\That must have been quite a sum...\Don't worry.\Losing hope in tomorrow's financial future,\Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have!\If my poor savings can, by vanishing, response:	secure a lovely place to stay and improve the mood in the evenings,
context: That must have been quite a sum...\Don't worry.\Losing hope in tomorrow's financial future,\Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have!\If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings, response:	allowing me to see something interesting, then...
context: Don't worry.\Losing hope in tomorrow's financial future,\Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have!\If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then... response:	I'll consider it an investment.
context: Losing hope in tomorrow's financial future,\Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have!\If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then...\I'll consider it an investment. response:	I know this person very well,
context: Tears of Blood\and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have!\If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then...\I'll consider it an investment.\I know this person very well, response:	but the rest of you should be careful.
context: and surviving on bean sprouts and flour is something I'm quite used to.\Don't spend what you don't have!\If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then...\I'll consider it an investment.\I know this person very well,\but the rest of you should be careful. response:	Huh?
context: Don't spend what you don't have!\If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then...\I'll consider it an investment.\I know this person very well,\but the rest of you should be careful.\Huh? response:	If it's for her manga, this manga artist really will do whatever it takes.
context: If my poor savings can, by vanishing,\secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then...\I'll consider it an investment.\I know this person very well,\but the rest of you should be careful.\Huh?\If it's for her manga, this manga artist really will do whatever it takes. response:	You make me sound horrible, silly Ena.
context: secure a lovely place to stay and improve the mood in the evenings,\allowing me to see something interesting, then...\I'll consider it an investment.\I know this person very well,\but the rest of you should be careful.\Huh?\If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena. response:	The blue sea of a southern island...
context: allowing me to see something interesting, then...\I'll consider it an investment.\I know this person very well,\but the rest of you should be careful.\Huh?\If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena.\The blue sea of a southern island... response:	The sound of waves crashing...
context: I'll consider it an investment.\I know this person very well,\but the rest of you should be careful.\Huh?\If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena.\The blue sea of a southern island...\The sound of waves crashing... response:	And among it all, Aika...
context: I know this person very well,\but the rest of you should be careful.\Huh?\If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena.\The blue sea of a southern island...\The sound of waves crashing...\And among it all, Aika... response:	in your bathing suit, you outshine all the others.
context: but the rest of you should be careful.\Huh?\If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena.\The blue sea of a southern island...\The sound of waves crashing...\And among it all, Aika...\in your bathing suit, you outshine all the others. response:	Playing with dolls on the beach is new.
context: Huh?\If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena.\The blue sea of a southern island...\The sound of waves crashing...\And among it all, Aika...\in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new. response:	Aika is not a doll!
context: If it's for her manga, this manga artist really will do whatever it takes.\You make me sound horrible, silly Ena.\The blue sea of a southern island...\The sound of waves crashing...\And among it all, Aika...\in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new.\Aika is not a doll! response:	Even for you, Yukimura-senpai,
context: You make me sound horrible, silly Ena.\The blue sea of a southern island...\The sound of waves crashing...\And among it all, Aika...\in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new.\Aika is not a doll!\Even for you, Yukimura-senpai, response:	there are things you should and shouldn't say
context: The blue sea of a southern island...\The sound of waves crashing...\And among it all, Aika...\in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new.\Aika is not a doll!\Even for you, Yukimura-senpai,\there are things you should and shouldn't say response:	Sorry to keep you waiting!
context: The sound of waves crashing...\And among it all, Aika...\in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new.\Aika is not a doll!\Even for you, Yukimura-senpai,\there are things you should and shouldn't say\Sorry to keep you waiting! response:	Oh!
context: And among it all, Aika...\in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new.\Aika is not a doll!\Even for you, Yukimura-senpai,\there are things you should and shouldn't say\Sorry to keep you waiting!\Oh! response:	I bought us some drinks.
context: in your bathing suit, you outshine all the others.\Playing with dolls on the beach is new.\Aika is not a doll!\Even for you, Yukimura-senpai,\there are things you should and shouldn't say\Sorry to keep you waiting!\Oh!\I bought us some drinks. response:	Thanks!
context: Playing with dolls on the beach is new.\Aika is not a doll!\Even for you, Yukimura-senpai,\there are things you should and shouldn't say\Sorry to keep you waiting!\Oh!\I bought us some drinks.\Thanks! response:	I'm sorry! I know we took forever...
context: Aika is not a doll!\Even for you, Yukimura-senpai,\there are things you should and shouldn't say\Sorry to keep you waiting!\Oh!\I bought us some drinks.\Thanks!\I'm sorry! I know we took forever... response:	Himuro-senpai. Come on. Hurry up!
context: Even for you, Yukimura-senpai,\there are things you should and shouldn't say\Sorry to keep you waiting!\Oh!\I bought us some drinks.\Thanks!\I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up! response:	Oh, Kanade-chan...
context: there are things you should and shouldn't say\Sorry to keep you waiting!\Oh!\I bought us some drinks.\Thanks!\I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan... response:	It suits you very well.
context: Sorry to keep you waiting!\Oh!\I bought us some drinks.\Thanks!\I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan...\It suits you very well. response:	Yukimura-senpai?
context: Oh!\I bought us some drinks.\Thanks!\I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan...\It suits you very well.\Yukimura-senpai? response:	What is it? Yukimura-kun, does something look weird?
context: I bought us some drinks.\Thanks!\I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan...\It suits you very well.\Yukimura-senpai?\What is it? Yukimura-kun, does something look weird? response:	No. Not particularly.
context: Thanks!\I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan...\It suits you very well.\Yukimura-senpai?\What is it? Yukimura-kun, does something look weird?\No. Not particularly. response:	I can't look directly at her!
context: I'm sorry! I know we took forever...\Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan...\It suits you very well.\Yukimura-senpai?\What is it? Yukimura-kun, does something look weird?\No. Not particularly.\I can't look directly at her! response:	So this is that thing called a swimsuit?
context: Himuro-senpai. Come on. Hurry up!\Oh, Kanade-chan...\It suits you very well.\Yukimura-senpai?\What is it? Yukimura-kun, does something look weird?\No. Not particularly.\I can't look directly at her!\So this is that thing called a swimsuit? response:	How can I put it...
context: Oh, Kanade-chan...\It suits you very well.\Yukimura-senpai?\What is it? Yukimura-kun, does something look weird?\No. Not particularly.\I can't look directly at her!\So this is that thing called a swimsuit?\How can I put it... response:	Himuro looks 2.34 times more beautiful than usual!
context: It suits you very well.\Yukimura-senpai?\What is it? Yukimura-kun, does something look weird?\No. Not particularly.\I can't look directly at her!\So this is that thing called a swimsuit?\How can I put it...\Himuro looks 2.34 times more beautiful than usual! response:	E-Everything's okay, right?
context: Yukimura-senpai?\What is it? Yukimura-kun, does something look weird?\No. Not particularly.\I can't look directly at her!\So this is that thing called a swimsuit?\How can I put it...\Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right? response:	It doesn't look weird, does it?
context: What is it? Yukimura-kun, does something look weird?\No. Not particularly.\I can't look directly at her!\So this is that thing called a swimsuit?\How can I put it...\Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right?\It doesn't look weird, does it? response:	I haven't worn a swimsuit since elementary school...
context: No. Not particularly.\I can't look directly at her!\So this is that thing called a swimsuit?\How can I put it...\Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right?\It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school... response:	What does he think?
context: I can't look directly at her!\So this is that thing called a swimsuit?\How can I put it...\Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right?\It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school...\What does he think? response:	I wish that man would just say something!
context: So this is that thing called a swimsuit?\How can I put it...\Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right?\It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school...\What does he think?\I wish that man would just say something! response:	Taking in this much UV is gonna make me melt.
context: How can I put it...\Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right?\It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school...\What does he think?\I wish that man would just say something!\Taking in this much UV is gonna make me melt. response:	I see you're as big an indoor-type as ever.
context: Himuro looks 2.34 times more beautiful than usual!\E-Everything's okay, right?\It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school...\What does he think?\I wish that man would just say something!\Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever. response:	'Kay, then!
context: E-Everything's okay, right?\It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school...\What does he think?\I wish that man would just say something!\Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever.\'Kay, then! response:	Should we make this area the Ikeda lab encampment?
context: It doesn't look weird, does it?\I haven't worn a swimsuit since elementary school...\What does he think?\I wish that man would just say something!\Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever.\'Kay, then!\Should we make this area the Ikeda lab encampment? response:	All you men look quite nice, as well.
context: I haven't worn a swimsuit since elementary school...\What does he think?\I wish that man would just say something!\Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever.\'Kay, then!\Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well. response:	It's true...
context: What does he think?\I wish that man would just say something!\Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever.\'Kay, then!\Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well.\It's true... response:	Seeing Yukimura-kun in a bathing suit is different and new...
context: I wish that man would just say something!\Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever.\'Kay, then!\Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well.\It's true...\Seeing Yukimura-kun in a bathing suit is different and new... response:	Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...
context: Taking in this much UV is gonna make me melt.\I see you're as big an indoor-type as ever.\'Kay, then!\Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well.\It's true...\Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles... response:	Yes. It's just as though...
context: I see you're as big an indoor-type as ever.\'Kay, then!\Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well.\It's true...\Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though... response:	Yukimura, you're way too pale.
context: 'Kay, then!\Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well.\It's true...\Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though...\Yukimura, you're way too pale. response:	You're like a reflector board.
context: Should we make this area the Ikeda lab encampment?\All you men look quite nice, as well.\It's true...\Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though...\Yukimura, you're way too pale.\You're like a reflector board. response:	You're as pale as I am!
context: All you men look quite nice, as well.\It's true...\Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though...\Yukimura, you're way too pale.\You're like a reflector board.\You're as pale as I am! response:	Well, yeah, but guys are a level plane in front, so it's even more like...
context: It's true...\Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though...\Yukimura, you're way too pale.\You're like a reflector board.\You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like... response:	It's because you hole up and only do research.
context: Seeing Yukimura-kun in a bathing suit is different and new...\Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though...\Yukimura, you're way too pale.\You're like a reflector board.\You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research. response:	Excels in study and sport
context: Under the midsummer sun, Yukimura-kun's pale skin shines and sparkles...\Yes. It's just as though...\Yukimura, you're way too pale.\You're like a reflector board.\You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research.\Excels in study and sport response:	Reflector board
context: Yes. It's just as though...\Yukimura, you're way too pale.\You're like a reflector board.\You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research.\Excels in study and sport\Reflector board response:	Soccer club
context: Yukimura, you're way too pale.\You're like a reflector board.\You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research.\Excels in study and sport\Reflector board\Soccer club response:	From a distance, he shines even brighter, doesn't he?
context: You're like a reflector board.\You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research.\Excels in study and sport\Reflector board\Soccer club\From a distance, he shines even brighter, doesn't he? response:	He really does...
context: You're as pale as I am!\Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research.\Excels in study and sport\Reflector board\Soccer club\From a distance, he shines even brighter, doesn't he?\He really does... response:	Silence!
context: Well, yeah, but guys are a level plane in front, so it's even more like...\It's because you hole up and only do research.\Excels in study and sport\Reflector board\Soccer club\From a distance, he shines even brighter, doesn't he?\He really does...\Silence! response:	Science Fell in Love, So I Tried to Prove It
context: It's because you hole up and only do research.\Excels in study and sport\Reflector board\Soccer club\From a distance, he shines even brighter, doesn't he?\He really does...\Silence!\Science Fell in Love, So I Tried to Prove It response:	Beautiful women in bathing suits is a wonderful thing.
context: Excels in study and sport\Reflector board\Soccer club\From a distance, he shines even brighter, doesn't he?\He really does...\Silence!\Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing. response:	Wonder who's gonna take one of'em home...
context: Reflector board\Soccer club\From a distance, he shines even brighter, doesn't he?\He really does...\Silence!\Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home... response:	Yuuichi-kun, you're really amazing...
context: Soccer club\From a distance, he shines even brighter, doesn't he?\He really does...\Silence!\Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing... response:	It's like it's super easy to tell you're an enemy to all women...
context: From a distance, he shines even brighter, doesn't he?\He really does...\Silence!\Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women... response:	Drinks
context: He really does...\Silence!\Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women...\Drinks response:	Huh?
context: Silence!\Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women...\Drinks\Huh? response:	You're not in any position to talk about others, Shikijou.
context: Science Fell in Love, So I Tried to Prove It\Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women...\Drinks\Huh?\You're not in any position to talk about others, Shikijou. response:	Come on.
context: Beautiful women in bathing suits is a wonderful thing.\Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women...\Drinks\Huh?\You're not in any position to talk about others, Shikijou.\Come on. response:	You should try talking to girls once in a while, too.
context: Wonder who's gonna take one of'em home...\Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women...\Drinks\Huh?\You're not in any position to talk about others, Shikijou.\Come on.\You should try talking to girls once in a while, too. response:	Shaved Ice
context: Yuuichi-kun, you're really amazing...\It's like it's super easy to tell you're an enemy to all women...\Drinks\Huh?\You're not in any position to talk about others, Shikijou.\Come on.\You should try talking to girls once in a while, too.\Shaved Ice response:	Those two look pretty good.
context: It's like it's super easy to tell you're an enemy to all women...\Drinks\Huh?\You're not in any position to talk about others, Shikijou.\Come on.\You should try talking to girls once in a while, too.\Shaved Ice\Those two look pretty good. response:	Hey, ladies.
context: Drinks\Huh?\You're not in any position to talk about others, Shikijou.\Come on.\You should try talking to girls once in a while, too.\Shaved Ice\Those two look pretty good.\Hey, ladies. response:	Yes?
context: Huh?\You're not in any position to talk about others, Shikijou.\Come on.\You should try talking to girls once in a while, too.\Shaved Ice\Those two look pretty good.\Hey, ladies.\Yes? response:	Nothing!
context: You're not in any position to talk about others, Shikijou.\Come on.\You should try talking to girls once in a while, too.\Shaved Ice\Those two look pretty good.\Hey, ladies.\Yes?\Nothing! response:	I wonder what that was about...
context: Come on.\You should try talking to girls once in a while, too.\Shaved Ice\Those two look pretty good.\Hey, ladies.\Yes?\Nothing!\I wonder what that was about... response:	That man... I feel like I've seen him somewhere before...
context: You should try talking to girls once in a while, too.\Shaved Ice\Those two look pretty good.\Hey, ladies.\Yes?\Nothing!\I wonder what that was about...\That man... I feel like I've seen him somewhere before... response:	Himuro-kun! Kanade-kun!
context: Shaved Ice\Those two look pretty good.\Hey, ladies.\Yes?\Nothing!\I wonder what that was about...\That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun! response:	We're starting the watermelon splitting game.
context: Those two look pretty good.\Hey, ladies.\Yes?\Nothing!\I wonder what that was about...\That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game. response:	All right.
context: Hey, ladies.\Yes?\Nothing!\I wonder what that was about...\That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game.\All right. response:	Okay!
context: Yes?\Nothing!\I wonder what that was about...\That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game.\All right.\Okay! response:	Okay. I've set it.
context: Nothing!\I wonder what that was about...\That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game.\All right.\Okay!\Okay. I've set it. response:	Let the watermelon splitting commence!
context: I wonder what that was about...\That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game.\All right.\Okay!\Okay. I've set it.\Let the watermelon splitting commence! response:	All right! Bring on the directions!
context: That man... I feel like I've seen him somewhere before...\Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game.\All right.\Okay!\Okay. I've set it.\Let the watermelon splitting commence!\All right! Bring on the directions! response:	Given that you're standing on the start point and you're facing the imaginary axis,
context: Himuro-kun! Kanade-kun!\We're starting the watermelon splitting game.\All right.\Okay!\Okay. I've set it.\Let the watermelon splitting commence!\All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis, response:	the watermelon is at 2+3i.
context: We're starting the watermelon splitting game.\All right.\Okay!\Okay. I've set it.\Let the watermelon splitting commence!\All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i. response:	Huh? What's that mean?
context: All right.\Okay!\Okay. I've set it.\Let the watermelon splitting commence!\All right! Bring on the directions!\Given that you're standing on the start point and you're facing the imaginary axis,\the watermelon is at 2+3i.\Huh? What's that mean? response:	Kosuke-kun, she's talking about a complex plane.
