context: From One Year to the Next response:	Coffee Shop
context: Okay, you two,\take the deer with you to draw in customers, okay?\O-Okay...\W-We'll be holding a play here in our shop today!\P-Please come and... w-watch...\Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?! response:	I have to try harder!
context: take the deer with you to draw in customers, okay?\O-Okay...\W-We'll be holding a play here in our shop today!\P-Please come and... w-watch...\Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?!\I have to try harder! response:	A deer!
context: O-Okay...\W-We'll be holding a play here in our shop today!\P-Please come and... w-watch...\Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?!\I have to try harder!\A deer! response:	So it is!
context: W-We'll be holding a play here in our shop today!\P-Please come and... w-watch...\Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?!\I have to try harder!\A deer!\So it is! response:	How cute!
context: P-Please come and... w-watch...\Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?!\I have to try harder!\A deer!\So it is!\How cute! response:	Oh, wow!
context: Wh-Why did I have to dress like this, too?\Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?!\I have to try harder!\A deer!\So it is!\How cute!\Oh, wow! response:	Hina-chan, Mayu-chan, how goes the...
context: Hina-chan, I can't do this! It's too embarrassing!\Hina-chan's a scarecrow already?!\I have to try harder!\A deer!\So it is!\How cute!\Oh, wow!\Hina-chan, Mayu-chan, how goes the... response:	The deer's doing all the work.
context: Hina-chan's a scarecrow already?!\I have to try harder!\A deer!\So it is!\How cute!\Oh, wow!\Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work. response:	Performance in Session
context: I have to try harder!\A deer!\So it is!\How cute!\Oh, wow!\Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work.\Performance in Session response:	Looks like business is booming.
context: A deer!\So it is!\How cute!\Oh, wow!\Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work.\Performance in Session\Looks like business is booming. response:	Yeah, it's a full house!
context: So it is!\How cute!\Oh, wow!\Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work.\Performance in Session\Looks like business is booming.\Yeah, it's a full house! response:	Please... Please grant my wish!
context: How cute!\Oh, wow!\Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work.\Performance in Session\Looks like business is booming.\Yeah, it's a full house!\Please... Please grant my wish! response:	Your play is getting a good response.
context: Oh, wow!\Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work.\Performance in Session\Looks like business is booming.\Yeah, it's a full house!\Please... Please grant my wish!\Your play is getting a good response. response:	I cannot grant the wish of a miser like you!
context: Hina-chan, Mayu-chan, how goes the...\The deer's doing all the work.\Performance in Session\Looks like business is booming.\Yeah, it's a full house!\Please... Please grant my wish!\Your play is getting a good response.\I cannot grant the wish of a miser like you! response:	No, it's not so much the play.
context: The deer's doing all the work.\Performance in Session\Looks like business is booming.\Yeah, it's a full house!\Please... Please grant my wish!\Your play is getting a good response.\I cannot grant the wish of a miser like you!\No, it's not so much the play. response:	I beseech thee, grant her wish!
context: Performance in Session\Looks like business is booming.\Yeah, it's a full house!\Please... Please grant my wish!\Your play is getting a good response.\I cannot grant the wish of a miser like you!\No, it's not so much the play.\I beseech thee, grant her wish! response:	It's the landlady's costume
context: Looks like business is booming.\Yeah, it's a full house!\Please... Please grant my wish!\Your play is getting a good response.\I cannot grant the wish of a miser like you!\No, it's not so much the play.\I beseech thee, grant her wish!\It's the landlady's costume response:	and the deer that are popular.
context: Yeah, it's a full house!\Please... Please grant my wish!\Your play is getting a good response.\I cannot grant the wish of a miser like you!\No, it's not so much the play.\I beseech thee, grant her wish!\It's the landlady's costume\and the deer that are popular. response:	Wow. So you actually have a real deer in the play.
context: Please... Please grant my wish!\Your play is getting a good response.\I cannot grant the wish of a miser like you!\No, it's not so much the play.\I beseech thee, grant her wish!\It's the landlady's costume\and the deer that are popular.\Wow. So you actually have a real deer in the play. response:	Yeah.
context: Your play is getting a good response.\I cannot grant the wish of a miser like you!\No, it's not so much the play.\I beseech thee, grant her wish!\It's the landlady's costume\and the deer that are popular.\Wow. So you actually have a real deer in the play.\Yeah. response:	Next time, I'll try to win people over with the actual story!
context: I cannot grant the wish of a miser like you!\No, it's not so much the play.\I beseech thee, grant her wish!\It's the landlady's costume\and the deer that are popular.\Wow. So you actually have a real deer in the play.\Yeah.\Next time, I'll try to win people over with the actual story! response:	A deer... a deer...
context: No, it's not so much the play.\I beseech thee, grant her wish!\It's the landlady's costume\and the deer that are popular.\Wow. So you actually have a real deer in the play.\Yeah.\Next time, I'll try to win people over with the actual story!\A deer... a deer... response:	Maybe I'll try to use that in my next drama script.
context: I beseech thee, grant her wish!\It's the landlady's costume\and the deer that are popular.\Wow. So you actually have a real deer in the play.\Yeah.\Next time, I'll try to win people over with the actual story!\A deer... a deer...\Maybe I'll try to use that in my next drama script. response:	Huh?
context: It's the landlady's costume\and the deer that are popular.\Wow. So you actually have a real deer in the play.\Yeah.\Next time, I'll try to win people over with the actual story!\A deer... a deer...\Maybe I'll try to use that in my next drama script.\Huh? response:	Thank you for coming!
context: and the deer that are popular.\Wow. So you actually have a real deer in the play.\Yeah.\Next time, I'll try to win people over with the actual story!\A deer... a deer...\Maybe I'll try to use that in my next drama script.\Huh?\Thank you for coming! response:	Everyone, since this was your second performance,
context: Wow. So you actually have a real deer in the play.\Yeah.\Next time, I'll try to win people over with the actual story!\A deer... a deer...\Maybe I'll try to use that in my next drama script.\Huh?\Thank you for coming!\Everyone, since this was your second performance, response:	your acting felt much more natural than in the first.
context: Yeah.\Next time, I'll try to win people over with the actual story!\A deer... a deer...\Maybe I'll try to use that in my next drama script.\Huh?\Thank you for coming!\Everyone, since this was your second performance,\your acting felt much more natural than in the first. response:	It was wonderful.
context: Next time, I'll try to win people over with the actual story!\A deer... a deer...\Maybe I'll try to use that in my next drama script.\Huh?\Thank you for coming!\Everyone, since this was your second performance,\your acting felt much more natural than in the first.\It was wonderful. response:	Oh, gosh!
context: A deer... a deer...\Maybe I'll try to use that in my next drama script.\Huh?\Thank you for coming!\Everyone, since this was your second performance,\your acting felt much more natural than in the first.\It was wonderful.\Oh, gosh! response:	Well, that's to be expected!
context: Maybe I'll try to use that in my next drama script.\Huh?\Thank you for coming!\Everyone, since this was your second performance,\your acting felt much more natural than in the first.\It was wonderful.\Oh, gosh!\Well, that's to be expected! response:	Being praised by Sensei really gives me an appetite!
context: Huh?\Thank you for coming!\Everyone, since this was your second performance,\your acting felt much more natural than in the first.\It was wonderful.\Oh, gosh!\Well, that's to be expected!\Being praised by Sensei really gives me an appetite! response:	It should give you inspiration, not an appetite!
context: Thank you for coming!\Everyone, since this was your second performance,\your acting felt much more natural than in the first.\It was wonderful.\Oh, gosh!\Well, that's to be expected!\Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite! response:	Oh, yeah.
context: Everyone, since this was your second performance,\your acting felt much more natural than in the first.\It was wonderful.\Oh, gosh!\Well, that's to be expected!\Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite!\Oh, yeah. response:	Well, I'll have to take my leave now.
context: your acting felt much more natural than in the first.\It was wonderful.\Oh, gosh!\Well, that's to be expected!\Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite!\Oh, yeah.\Well, I'll have to take my leave now. response:	Huh? You're leaving already, Ruri-chan?
context: It was wonderful.\Oh, gosh!\Well, that's to be expected!\Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite!\Oh, yeah.\Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan? response:	There's still lots of cake and other things left.
context: Oh, gosh!\Well, that's to be expected!\Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite!\Oh, yeah.\Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left. response:	I've had plenty.
context: Well, that's to be expected!\Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite!\Oh, yeah.\Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left.\I've had plenty. response:	Oh, I forgot!
context: Being praised by Sensei really gives me an appetite!\It should give you inspiration, not an appetite!\Oh, yeah.\Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left.\I've had plenty.\Oh, I forgot! response:	You need to go home and get to bed, or Santa won't come, right?
context: It should give you inspiration, not an appetite!\Oh, yeah.\Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left.\I've had plenty.\Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right? response:	I'll go to bed early today, too!
context: Oh, yeah.\Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left.\I've had plenty.\Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too! response:	Hina-chan, do you actually still believe in Santa?
context: Well, I'll have to take my leave now.\Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left.\I've had plenty.\Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa? response:	Hinako-san is right.
context: Huh? You're leaving already, Ruri-chan?\There's still lots of cake and other things left.\I've had plenty.\Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa?\Hinako-san is right. response:	I need to go home and get to bed early,
context: There's still lots of cake and other things left.\I've had plenty.\Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa?\Hinako-san is right.\I need to go home and get to bed early, response:	or Santa Claus won't come.
context: I've had plenty.\Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa?\Hinako-san is right.\I need to go home and get to bed early,\or Santa Claus won't come. response:	Yeah!
context: Oh, I forgot!\You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa?\Hinako-san is right.\I need to go home and get to bed early,\or Santa Claus won't come.\Yeah! response:	Bye, Ruri-chan!
context: You need to go home and get to bed, or Santa won't come, right?\I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa?\Hinako-san is right.\I need to go home and get to bed early,\or Santa Claus won't come.\Yeah!\Bye, Ruri-chan! response:	Don't forget to hang your stocking!
context: I'll go to bed early today, too!\Hina-chan, do you actually still believe in Santa?\Hinako-san is right.\I need to go home and get to bed early,\or Santa Claus won't come.\Yeah!\Bye, Ruri-chan!\Don't forget to hang your stocking! response:	Okay.
context: Hina-chan, do you actually still believe in Santa?\Hinako-san is right.\I need to go home and get to bed early,\or Santa Claus won't come.\Yeah!\Bye, Ruri-chan!\Don't forget to hang your stocking!\Okay. response:	Sensei is so mature...
context: Hinako-san is right.\I need to go home and get to bed early,\or Santa Claus won't come.\Yeah!\Bye, Ruri-chan!\Don't forget to hang your stocking!\Okay.\Sensei is so mature... response:	Yeah.
context: I need to go home and get to bed early,\or Santa Claus won't come.\Yeah!\Bye, Ruri-chan!\Don't forget to hang your stocking!\Okay.\Sensei is so mature...\Yeah. response:	Mayu-chan, I'll go buy presents later.
context: or Santa Claus won't come.\Yeah!\Bye, Ruri-chan!\Don't forget to hang your stocking!\Okay.\Sensei is so mature...\Yeah.\Mayu-chan, I'll go buy presents later. response:	Yeah. We don't want to crush Hina-chan's dreams.
context: Yeah!\Bye, Ruri-chan!\Don't forget to hang your stocking!\Okay.\Sensei is so mature...\Yeah.\Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams. response:	Oh, Hinako!
context: Bye, Ruri-chan!\Don't forget to hang your stocking!\Okay.\Sensei is so mature...\Yeah.\Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako! response:	Mom! I'm home!
context: Don't forget to hang your stocking!\Okay.\Sensei is so mature...\Yeah.\Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako!\Mom! I'm home! response:	Have you been well?
context: Okay.\Sensei is so mature...\Yeah.\Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako!\Mom! I'm home!\Have you been well? response:	Yes!
context: Sensei is so mature...\Yeah.\Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako!\Mom! I'm home!\Have you been well?\Yes! response:	Oh? Your face looks different, somehow.
context: Yeah.\Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako!\Mom! I'm home!\Have you been well?\Yes!\Oh? Your face looks different, somehow. response:	You usually get all nervous and stiffen up.
context: Mayu-chan, I'll go buy presents later.\Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako!\Mom! I'm home!\Have you been well?\Yes!\Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up. response:	I've been doing theater in Tokyo,
context: Yeah. We don't want to crush Hina-chan's dreams.\Oh, Hinako!\Mom! I'm home!\Have you been well?\Yes!\Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up.\I've been doing theater in Tokyo, response:	so I don't get nervous as easily anymore.
context: Oh, Hinako!\Mom! I'm home!\Have you been well?\Yes!\Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up.\I've been doing theater in Tokyo,\so I don't get nervous as easily anymore. response:	That's why I can talk this normally to people now!
context: Mom! I'm home!\Have you been well?\Yes!\Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up.\I've been doing theater in Tokyo,\so I don't get nervous as easily anymore.\That's why I can talk this normally to people now! response:	I won't let anyone call me a scarecrow...
context: Have you been well?\Yes!\Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up.\I've been doing theater in Tokyo,\so I don't get nervous as easily anymore.\That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow... response:	Hina-chan! Happy New Year!
context: Yes!\Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up.\I've been doing theater in Tokyo,\so I don't get nervous as easily anymore.\That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year! response:	Look at that! It's the first sunrise of the year!
context: Oh? Your face looks different, somehow.\You usually get all nervous and stiffen up.\I've been doing theater in Tokyo,\so I don't get nervous as easily anymore.\That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year! response:	Kuu-chan, you're so energetic this early in the morning.
context: You usually get all nervous and stiffen up.\I've been doing theater in Tokyo,\so I don't get nervous as easily anymore.\That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning. response:	Well, the start of a new year brings all kinds of firsts!
context: I've been doing theater in Tokyo,\so I don't get nervous as easily anymore.\That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts! response:	I can't help being excited!
context: so I don't get nervous as easily anymore.\That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts!\I can't help being excited! response:	F-Firsts?
context: That's why I can talk this normally to people now!\I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts!\I can't help being excited!\F-Firsts? response:	Yeah!
context: I won't let anyone call me a scarecrow...\Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts!\I can't help being excited!\F-Firsts?\Yeah! response:	The first snack!
context: Hina-chan! Happy New Year!\Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts!\I can't help being excited!\F-Firsts?\Yeah!\The first snack! response:	Yum!
context: Look at that! It's the first sunrise of the year!\Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts!\I can't help being excited!\F-Firsts?\Yeah!\The first snack!\Yum! response:	The first mochi!
context: Kuu-chan, you're so energetic this early in the morning.\Well, the start of a new year brings all kinds of firsts!\I can't help being excited!\F-Firsts?\Yeah!\The first snack!\Yum!\The first mochi! response:	Delicious!
context: Well, the start of a new year brings all kinds of firsts!\I can't help being excited!\F-Firsts?\Yeah!\The first snack!\Yum!\The first mochi!\Delicious! response:	The first bite snitched!
context: I can't help being excited!\F-Firsts?\Yeah!\The first snack!\Yum!\The first mochi!\Delicious!\The first bite snitched! response:	Tangy!
context: F-Firsts?\Yeah!\The first snack!\Yum!\The first mochi!\Delicious!\The first bite snitched!\Tangy! response:	And the first book!
context: Yeah!\The first snack!\Yum!\The first mochi!\Delicious!\The first bite snitched!\Tangy!\And the first book! response:	Discourse on Decadence
context: The first snack!\Yum!\The first mochi!\Delicious!\The first bite snitched!\Tangy!\And the first book!\Discourse on Decadence response:	All you're doing is eating.
context: Yum!\The first mochi!\Delicious!\The first bite snitched!\Tangy!\And the first book!\Discourse on Decadence\All you're doing is eating. response:	Happy New Year, everyone.
context: The first mochi!\Delicious!\The first bite snitched!\Tangy!\And the first book!\Discourse on Decadence\All you're doing is eating.\Happy New Year, everyone. response:	Happy New Year!
context: Delicious!\The first bite snitched!\Tangy!\And the first book!\Discourse on Decadence\All you're doing is eating.\Happy New Year, everyone.\Happy New Year! response:	Oh, by the way, you were in my first dream of the year, Mayu-chan.
context: The first bite snitched!\Tangy!\And the first book!\Discourse on Decadence\All you're doing is eating.\Happy New Year, everyone.\Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan. response:	Yeah? What was it about?
context: Tangy!\And the first book!\Discourse on Decadence\All you're doing is eating.\Happy New Year, everyone.\Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about? response:	A giant Mayu-chan looking down on Mt. Fuji.
context: And the first book!\Discourse on Decadence\All you're doing is eating.\Happy New Year, everyone.\Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji. response:	Yay!
context: Discourse on Decadence\All you're doing is eating.\Happy New Year, everyone.\Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji.\Yay! response:	I-I was that big?
context: All you're doing is eating.\Happy New Year, everyone.\Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji.\Yay!\I-I was that big? response:	Mayu-chan looks happy.
context: Happy New Year, everyone.\Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji.\Yay!\I-I was that big?\Mayu-chan looks happy. response:	But Mt. Fuji was actually a miniature,
context: Happy New Year!\Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji.\Yay!\I-I was that big?\Mayu-chan looks happy.\But Mt. Fuji was actually a miniature, response:	and you were actually even smaller than you are in real life.
context: Oh, by the way, you were in my first dream of the year, Mayu-chan.\Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji.\Yay!\I-I was that big?\Mayu-chan looks happy.\But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life. response:	Yay! Yay! Yay!
context: Yeah? What was it about?\A giant Mayu-chan looking down on Mt. Fuji.\Yay!\I-I was that big?\Mayu-chan looks happy.\But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life.\Yay! Yay! Yay! response:	What?
context: A giant Mayu-chan looking down on Mt. Fuji.\Yay!\I-I was that big?\Mayu-chan looks happy.\But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life.\Yay! Yay! Yay!\What? response:	She's shocked!
context: Yay!\I-I was that big?\Mayu-chan looks happy.\But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life.\Yay! Yay! Yay!\What?\She's shocked! response:	Do you all have any goals for the coming year?
context: I-I was that big?\Mayu-chan looks happy.\But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life.\Yay! Yay! Yay!\What?\She's shocked!\Do you all have any goals for the coming year? response:	I do!
context: Mayu-chan looks happy.\But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life.\Yay! Yay! Yay!\What?\She's shocked!\Do you all have any goals for the coming year?\I do! response:	My goal is to read 300 books this year!
context: But Mt. Fuji was actually a miniature,\and you were actually even smaller than you are in real life.\Yay! Yay! Yay!\What?\She's shocked!\Do you all have any goals for the coming year?\I do!\My goal is to read 300 books this year! response:	I'm going to work on my acting.
context: and you were actually even smaller than you are in real life.\Yay! Yay! Yay!\What?\She's shocked!\Do you all have any goals for the coming year?\I do!\My goal is to read 300 books this year!\I'm going to work on my acting. response:	I guess mine is still to be able to talk in front of people without getting nervous.
context: Yay! Yay! Yay!\What?\She's shocked!\Do you all have any goals for the coming year?\I do!\My goal is to read 300 books this year!\I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous. response:	And mine is to keep supporting Hina-chan and the others as their senpai.
context: What?\She's shocked!\Do you all have any goals for the coming year?\I do!\My goal is to read 300 books this year!\I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai. response:	I want to get the coffee shop's business on the right track, too.
context: She's shocked!\Do you all have any goals for the coming year?\I do!\My goal is to read 300 books this year!\I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too. response:	She's drinking so much milk...
context: Do you all have any goals for the coming year?\I do!\My goal is to read 300 books this year!\I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too.\She's drinking so much milk... response:	I guess what she really wants to do is get taller.
context: I do!\My goal is to read 300 books this year!\I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too.\She's drinking so much milk...\I guess what she really wants to do is get taller. response:	Please continue to support Coffee Shop Hitotose this year!
context: My goal is to read 300 books this year!\I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too.\She's drinking so much milk...\I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year! response:	Oh, Kuu-chan, Mayu-chan...
context: I'm going to work on my acting.\I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too.\She's drinking so much milk...\I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan... response:	Are you going out somewhere?
context: I guess mine is still to be able to talk in front of people without getting nervous.\And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too.\She's drinking so much milk...\I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere? response:	We're going to visit our families.
context: And mine is to keep supporting Hina-chan and the others as their senpai.\I want to get the coffee shop's business on the right track, too.\She's drinking so much milk...\I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere?\We're going to visit our families. response:	Huh? Really?
context: I want to get the coffee shop's business on the right track, too.\She's drinking so much milk...\I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere?\We're going to visit our families.\Huh? Really? response:	Yeah.
context: She's drinking so much milk...\I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere?\We're going to visit our families.\Huh? Really?\Yeah. response:	We'll be back in about two days, though.
context: I guess what she really wants to do is get taller.\Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere?\We're going to visit our families.\Huh? Really?\Yeah.\We'll be back in about two days, though. response:	Two days? Won't you just spend all that time on trains and buses?
context: Please continue to support Coffee Shop Hitotose this year!\Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere?\We're going to visit our families.\Huh? Really?\Yeah.\We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses? response:	Uh... Our families live in Tokyo.
context: Oh, Kuu-chan, Mayu-chan...\Are you going out somewhere?\We're going to visit our families.\Huh? Really?\Yeah.\We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo. response:	They're only about an hour away.
context: Are you going out somewhere?\We're going to visit our families.\Huh? Really?\Yeah.\We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo.\They're only about an hour away. response:	O-Oh, I see!
context: We're going to visit our families.\Huh? Really?\Yeah.\We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo.\They're only about an hour away.\O-Oh, I see! response:	I've always wondered this...
context: Huh? Really?\Yeah.\We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo.\They're only about an hour away.\O-Oh, I see!\I've always wondered this... response:	Where in the countryside does Hina-chan live, exactly?
context: Yeah.\We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo.\They're only about an hour away.\O-Oh, I see!\I've always wondered this...\Where in the countryside does Hina-chan live, exactly? response:	I'm not sure, either...
context: We'll be back in about two days, though.\Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo.\They're only about an hour away.\O-Oh, I see!\I've always wondered this...\Where in the countryside does Hina-chan live, exactly?\I'm not sure, either... response:	We'll be going now, Hina-chan.
context: Two days? Won't you just spend all that time on trains and buses?\Uh... Our families live in Tokyo.\They're only about an hour away.\O-Oh, I see!\I've always wondered this...\Where in the countryside does Hina-chan live, exactly?\I'm not sure, either...\We'll be going now, Hina-chan. response:	I'll be so lonely...
context: Uh... Our families live in Tokyo.\They're only about an hour away.\O-Oh, I see!\I've always wondered this...\Where in the countryside does Hina-chan live, exactly?\I'm not sure, either...\We'll be going now, Hina-chan.\I'll be so lonely... response:	We'll be back before you know it.
context: They're only about an hour away.\O-Oh, I see!\I've always wondered this...\Where in the countryside does Hina-chan live, exactly?\I'm not sure, either...\We'll be going now, Hina-chan.\I'll be so lonely...\We'll be back before you know it. response:	This isn't goodbye forever.
context: O-Oh, I see!\I've always wondered this...\Where in the countryside does Hina-chan live, exactly?\I'm not sure, either...\We'll be going now, Hina-chan.\I'll be so lonely...\We'll be back before you know it.\This isn't goodbye forever. response:	Oh, I forgot!
context: I've always wondered this...\Where in the countryside does Hina-chan live, exactly?\I'm not sure, either...\We'll be going now, Hina-chan.\I'll be so lonely...\We'll be back before you know it.\This isn't goodbye forever.\Oh, I forgot! response:	Just a second.
