context: You're here early, Inspector Ando. response:	Don't forget that HQ overrode your orders
context: We've got two Orgone Capsules.\Can we say ladies first?\I don't care.\What about the other?\Let's use this to decide.\Tails.\Heads.\Heads, it is. response:	Sorry.
context: Can we say ladies first?\I don't care.\What about the other?\Let's use this to decide.\Tails.\Heads.\Heads, it is.\Sorry. response:	You weren't cheating, were you?
context: I don't care.\What about the other?\Let's use this to decide.\Tails.\Heads.\Heads, it is.\Sorry.\You weren't cheating, were you? response:	I wouldn't do that to a comrade.
context: What about the other?\Let's use this to decide.\Tails.\Heads.\Heads, it is.\Sorry.\You weren't cheating, were you?\I wouldn't do that to a comrade. response:	After all, teamwork is important.
context: Let's use this to decide.\Tails.\Heads.\Heads, it is.\Sorry.\You weren't cheating, were you?\I wouldn't do that to a comrade.\After all, teamwork is important. response:	AEOs confirmed!
context: Tails.\Heads.\Heads, it is.\Sorry.\You weren't cheating, were you?\I wouldn't do that to a comrade.\After all, teamwork is important.\AEOs confirmed! response:	The Type-2! And one we've never seen, Type-6!
context: Heads.\Heads, it is.\Sorry.\You weren't cheating, were you?\I wouldn't do that to a comrade.\After all, teamwork is important.\AEOs confirmed!\The Type-2! And one we've never seen, Type-6! response:	Manifestation point is within defensive zone 1, Omega sector!
context: Heads, it is.\Sorry.\You weren't cheating, were you?\I wouldn't do that to a comrade.\After all, teamwork is important.\AEOs confirmed!\The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector! response:	Activate Earth Engine and Nebula Engine launch sequences immediately.
context: Sorry.\You weren't cheating, were you?\I wouldn't do that to a comrade.\After all, teamwork is important.\AEOs confirmed!\The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately. response:	Roger!
context: You weren't cheating, were you?\I wouldn't do that to a comrade.\After all, teamwork is important.\AEOs confirmed!\The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger! response:	Energy charging confirmed within the Earth Engine and Nebula Engine.
context: I wouldn't do that to a comrade.\After all, teamwork is important.\AEOs confirmed!\The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine. response:	The Flare Engine's status?
context: After all, teamwork is important.\AEOs confirmed!\The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status? response:	Damaged in the last battle, and still undergoing repairs.
context: AEOs confirmed!\The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs. response:	You're wasting your time.
context: The Type-2! And one we've never seen, Type-6!\Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs.\You're wasting your time. response:	I ordered Cerberus to launch.
context: Manifestation point is within defensive zone 1, Omega sector!\Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs.\You're wasting your time.\I ordered Cerberus to launch. response:	When?
context: Activate Earth Engine and Nebula Engine launch sequences immediately.\Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs.\You're wasting your time.\I ordered Cerberus to launch.\When? response:	Cerberus?
context: Roger!\Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs.\You're wasting your time.\I ordered Cerberus to launch.\When?\Cerberus? response:	Impacter signals in the Omega sector.
context: Energy charging confirmed within the Earth Engine and Nebula Engine.\The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs.\You're wasting your time.\I ordered Cerberus to launch.\When?\Cerberus?\Impacter signals in the Omega sector. response:	They'll make contact with the Kiltgangs in eighty seconds!
context: The Flare Engine's status?\Damaged in the last battle, and still undergoing repairs.\You're wasting your time.\I ordered Cerberus to launch.\When?\Cerberus?\Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds! response:	The latest unmanned Impacters,
context: Damaged in the last battle, and still undergoing repairs.\You're wasting your time.\I ordered Cerberus to launch.\When?\Cerberus?\Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters, response:	developed by the Ark Faction to support the Kivotos Plan.
context: You're wasting your time.\I ordered Cerberus to launch.\When?\Cerberus?\Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan. response:	They were already deployed for battle?
context: I ordered Cerberus to launch.\When?\Cerberus?\Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle? response:	Manned Impacters are behind the times, Science Chief.
context: When?\Cerberus?\Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle?\Manned Impacters are behind the times, Science Chief. response:	The summer is about to end.
context: Cerberus?\Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle?\Manned Impacters are behind the times, Science Chief.\The summer is about to end. response:	Yes, the season of the Midsummer's Knights.
context: Impacter signals in the Omega sector.\They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle?\Manned Impacters are behind the times, Science Chief.\The summer is about to end.\Yes, the season of the Midsummer's Knights. response:	So this is the real me?
context: They'll make contact with the Kiltgangs in eighty seconds!\The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle?\Manned Impacters are behind the times, Science Chief.\The summer is about to end.\Yes, the season of the Midsummer's Knights.\So this is the real me? response:	Yes, I can feel power filling me!
context: The latest unmanned Impacters,\developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle?\Manned Impacters are behind the times, Science Chief.\The summer is about to end.\Yes, the season of the Midsummer's Knights.\So this is the real me?\Yes, I can feel power filling me! response:	What's that?
context: developed by the Ark Faction to support the Kivotos Plan.\They were already deployed for battle?\Manned Impacters are behind the times, Science Chief.\The summer is about to end.\Yes, the season of the Midsummer's Knights.\So this is the real me?\Yes, I can feel power filling me!\What's that? response:	Hm? They aren't the same ones as usual.
context: They were already deployed for battle?\Manned Impacters are behind the times, Science Chief.\The summer is about to end.\Yes, the season of the Midsummer's Knights.\So this is the real me?\Yes, I can feel power filling me!\What's that?\Hm? They aren't the same ones as usual. response:	Not that it matters, of course!
context: Manned Impacters are behind the times, Science Chief.\The summer is about to end.\Yes, the season of the Midsummer's Knights.\So this is the real me?\Yes, I can feel power filling me!\What's that?\Hm? They aren't the same ones as usual.\Not that it matters, of course! response:	These guys...
context: The summer is about to end.\Yes, the season of the Midsummer's Knights.\So this is the real me?\Yes, I can feel power filling me!\What's that?\Hm? They aren't the same ones as usual.\Not that it matters, of course!\These guys... response:	They're fast.
context: Yes, the season of the Midsummer's Knights.\So this is the real me?\Yes, I can feel power filling me!\What's that?\Hm? They aren't the same ones as usual.\Not that it matters, of course!\These guys...\They're fast. response:	Cerberus consists of three units surrounded by superconducting magnetic fields
context: So this is the real me?\Yes, I can feel power filling me!\What's that?\Hm? They aren't the same ones as usual.\Not that it matters, of course!\These guys...\They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields response:	that cause them to move chaotically.
context: Yes, I can feel power filling me!\What's that?\Hm? They aren't the same ones as usual.\Not that it matters, of course!\These guys...\They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically. response:	Magnetic levitation-type, high-mobility Impacters.
context: What's that?\Hm? They aren't the same ones as usual.\Not that it matters, of course!\These guys...\They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters. response:	These unmanned weapons are far more mobile
context: Hm? They aren't the same ones as usual.\Not that it matters, of course!\These guys...\They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile response:	and more powerful than manned Impacters.
context: Not that it matters, of course!\These guys...\They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile\and more powerful than manned Impacters. response:	Cerberus, lost!
context: These guys...\They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile\and more powerful than manned Impacters.\Cerberus, lost! response:	What?
context: They're fast.\Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile\and more powerful than manned Impacters.\Cerberus, lost!\What? response:	Was it destroyed?
context: Cerberus consists of three units surrounded by superconducting magnetic fields\that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile\and more powerful than manned Impacters.\Cerberus, lost!\What?\Was it destroyed? response:	I don't know.
context: that cause them to move chaotically.\Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile\and more powerful than manned Impacters.\Cerberus, lost!\What?\Was it destroyed?\I don't know. response:	The signal just stopped.
context: Magnetic levitation-type, high-mobility Impacters.\These unmanned weapons are far more mobile\and more powerful than manned Impacters.\Cerberus, lost!\What?\Was it destroyed?\I don't know.\The signal just stopped. response:	Video incoming.
context: These unmanned weapons are far more mobile\and more powerful than manned Impacters.\Cerberus, lost!\What?\Was it destroyed?\I don't know.\The signal just stopped.\Video incoming. response:	What?
context: and more powerful than manned Impacters.\Cerberus, lost!\What?\Was it destroyed?\I don't know.\The signal just stopped.\Video incoming.\What? response:	What's going on?
context: Cerberus, lost!\What?\Was it destroyed?\I don't know.\The signal just stopped.\Video incoming.\What?\What's going on? response:	They've taken control of them...
context: What?\Was it destroyed?\I don't know.\The signal just stopped.\Video incoming.\What?\What's going on?\They've taken control of them... response:	Impossible.
context: Was it destroyed?\I don't know.\The signal just stopped.\Video incoming.\What?\What's going on?\They've taken control of them...\Impossible. response:	Didn't anyone ever tell you that machines are easy to fool?
context: I don't know.\The signal just stopped.\Video incoming.\What?\What's going on?\They've taken control of them...\Impossible.\Didn't anyone ever tell you that machines are easy to fool? response:	Video's back online.
context: The signal just stopped.\Video incoming.\What?\What's going on?\They've taken control of them...\Impossible.\Didn't anyone ever tell you that machines are easy to fool?\Video's back online. response:	Switch low-orbit Impacters to emergency mode!
context: Video incoming.\What?\What's going on?\They've taken control of them...\Impossible.\Didn't anyone ever tell you that machines are easy to fool?\Video's back online.\Switch low-orbit Impacters to emergency mode! response:	Wait.
context: What?\What's going on?\They've taken control of them...\Impossible.\Didn't anyone ever tell you that machines are easy to fool?\Video's back online.\Switch low-orbit Impacters to emergency mode!\Wait. response:	Earth and Nebula are heading to intercept.
context: What's going on?\They've taken control of them...\Impossible.\Didn't anyone ever tell you that machines are easy to fool?\Video's back online.\Switch low-orbit Impacters to emergency mode!\Wait.\Earth and Nebula are heading to intercept. response:	Sixty seconds until contact with the Kiltgangs!
context: They've taken control of them...\Impossible.\Didn't anyone ever tell you that machines are easy to fool?\Video's back online.\Switch low-orbit Impacters to emergency mode!\Wait.\Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs! response:	Huh? Aren't there more than usual?
context: Impossible.\Didn't anyone ever tell you that machines are easy to fool?\Video's back online.\Switch low-orbit Impacters to emergency mode!\Wait.\Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual? response:	Be careful.
context: Didn't anyone ever tell you that machines are easy to fool?\Video's back online.\Switch low-orbit Impacters to emergency mode!\Wait.\Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual?\Be careful. response:	The enemy took over the new Impacters.
context: Video's back online.\Switch low-orbit Impacters to emergency mode!\Wait.\Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual?\Be careful.\The enemy took over the new Impacters. response:	Really?
context: Switch low-orbit Impacters to emergency mode!\Wait.\Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual?\Be careful.\The enemy took over the new Impacters.\Really? response:	Captain, they're coming!
context: Wait.\Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual?\Be careful.\The enemy took over the new Impacters.\Really?\Captain, they're coming! response:	Off you go.
context: Earth and Nebula are heading to intercept.\Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual?\Be careful.\The enemy took over the new Impacters.\Really?\Captain, they're coming!\Off you go. response:	Captain!
context: Sixty seconds until contact with the Kiltgangs!\Huh? Aren't there more than usual?\Be careful.\The enemy took over the new Impacters.\Really?\Captain, they're coming!\Off you go.\Captain! response:	If the enemy's controlling Cerberus, too, we can't win...
context: Huh? Aren't there more than usual?\Be careful.\The enemy took over the new Impacters.\Really?\Captain, they're coming!\Off you go.\Captain!\If the enemy's controlling Cerberus, too, we can't win... response:	So you've been bitten by your own dog?
context: Be careful.\The enemy took over the new Impacters.\Really?\Captain, they're coming!\Off you go.\Captain!\If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog? response:	They're fast!
context: The enemy took over the new Impacters.\Really?\Captain, they're coming!\Off you go.\Captain!\If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog?\They're fast! response:	Earth Engine and Nebula Engine are being pushed back.
context: Really?\Captain, they're coming!\Off you go.\Captain!\If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog?\They're fast!\Earth Engine and Nebula Engine are being pushed back. response:	They're falling back to defensive zone 2.
context: Captain, they're coming!\Off you go.\Captain!\If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog?\They're fast!\Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2. response:	This is bad.
context: Off you go.\Captain!\If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog?\They're fast!\Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2.\This is bad. response:	It'll be okay.
context: Captain!\If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog?\They're fast!\Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2.\This is bad.\It'll be okay. response:	Teppei and the captain won't lose to them.
context: If the enemy's controlling Cerberus, too, we can't win...\So you've been bitten by your own dog?\They're fast!\Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2.\This is bad.\It'll be okay.\Teppei and the captain won't lose to them. response:	They won't!
context: So you've been bitten by your own dog?\They're fast!\Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2.\This is bad.\It'll be okay.\Teppei and the captain won't lose to them.\They won't! response:	Malkin, Zimbalt, and the new Impacters, too?
context: They're fast!\Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2.\This is bad.\It'll be okay.\Teppei and the captain won't lose to them.\They won't!\Malkin, Zimbalt, and the new Impacters, too? response:	This isn't good.
context: Earth Engine and Nebula Engine are being pushed back.\They're falling back to defensive zone 2.\This is bad.\It'll be okay.\Teppei and the captain won't lose to them.\They won't!\Malkin, Zimbalt, and the new Impacters, too?\This isn't good. response:	You're sounding pretty wimpy, Teppei.
context: They're falling back to defensive zone 2.\This is bad.\It'll be okay.\Teppei and the captain won't lose to them.\They won't!\Malkin, Zimbalt, and the new Impacters, too?\This isn't good.\You're sounding pretty wimpy, Teppei. response:	These guys won't beat us.
context: This is bad.\It'll be okay.\Teppei and the captain won't lose to them.\They won't!\Malkin, Zimbalt, and the new Impacters, too?\This isn't good.\You're sounding pretty wimpy, Teppei.\These guys won't beat us. response:	Right?
context: It'll be okay.\Teppei and the captain won't lose to them.\They won't!\Malkin, Zimbalt, and the new Impacters, too?\This isn't good.\You're sounding pretty wimpy, Teppei.\These guys won't beat us.\Right? response:	I like the way you never give up.
context: Teppei and the captain won't lose to them.\They won't!\Malkin, Zimbalt, and the new Impacters, too?\This isn't good.\You're sounding pretty wimpy, Teppei.\These guys won't beat us.\Right?\I like the way you never give up. response:	Teppei! Daichi!
context: They won't!\Malkin, Zimbalt, and the new Impacters, too?\This isn't good.\You're sounding pretty wimpy, Teppei.\These guys won't beat us.\Right?\I like the way you never give up.\Teppei! Daichi! response:	Okay!
context: Malkin, Zimbalt, and the new Impacters, too?\This isn't good.\You're sounding pretty wimpy, Teppei.\These guys won't beat us.\Right?\I like the way you never give up.\Teppei! Daichi!\Okay! response:	It's crazy, but they're working well together.
context: This isn't good.\You're sounding pretty wimpy, Teppei.\These guys won't beat us.\Right?\I like the way you never give up.\Teppei! Daichi!\Okay!\It's crazy, but they're working well together. response:	You boys are so in love...
context: You're sounding pretty wimpy, Teppei.\These guys won't beat us.\Right?\I like the way you never give up.\Teppei! Daichi!\Okay!\It's crazy, but they're working well together.\You boys are so in love... response:	There!
context: These guys won't beat us.\Right?\I like the way you never give up.\Teppei! Daichi!\Okay!\It's crazy, but they're working well together.\You boys are so in love...\There! response:	I've retaken Cerberus!
context: Right?\I like the way you never give up.\Teppei! Daichi!\Okay!\It's crazy, but they're working well together.\You boys are so in love...\There!\I've retaken Cerberus! response:	What?
context: I like the way you never give up.\Teppei! Daichi!\Okay!\It's crazy, but they're working well together.\You boys are so in love...\There!\I've retaken Cerberus!\What? response:	Hey, Malkin...
context: Teppei! Daichi!\Okay!\It's crazy, but they're working well together.\You boys are so in love...\There!\I've retaken Cerberus!\What?\Hey, Malkin... response:	You're playing around too much!
context: Okay!\It's crazy, but they're working well together.\You boys are so in love...\There!\I've retaken Cerberus!\What?\Hey, Malkin...\You're playing around too much! response:	You don't need to tell me.
context: It's crazy, but they're working well together.\You boys are so in love...\There!\I've retaken Cerberus!\What?\Hey, Malkin...\You're playing around too much!\You don't need to tell me. response:	I know!
context: You boys are so in love...\There!\I've retaken Cerberus!\What?\Hey, Malkin...\You're playing around too much!\You don't need to tell me.\I know! response:	Siren-sama gave me this precious energy.
context: There!\I've retaken Cerberus!\What?\Hey, Malkin...\You're playing around too much!\You don't need to tell me.\I know!\Siren-sama gave me this precious energy. response:	I can't waste it!
context: I've retaken Cerberus!\What?\Hey, Malkin...\You're playing around too much!\You don't need to tell me.\I know!\Siren-sama gave me this precious energy.\I can't waste it! response:	You never improve at shooting.
context: What?\Hey, Malkin...\You're playing around too much!\You don't need to tell me.\I know!\Siren-sama gave me this precious energy.\I can't waste it!\You never improve at shooting. response:	We're being pushed back!
context: Hey, Malkin...\You're playing around too much!\You don't need to tell me.\I know!\Siren-sama gave me this precious energy.\I can't waste it!\You never improve at shooting.\We're being pushed back! response:	What is this?
context: You're playing around too much!\You don't need to tell me.\I know!\Siren-sama gave me this precious energy.\I can't waste it!\You never improve at shooting.\We're being pushed back!\What is this? response:	A back door from when the Kiltgang hacked Cerberus?
context: You don't need to tell me.\I know!\Siren-sama gave me this precious energy.\I can't waste it!\You never improve at shooting.\We're being pushed back!\What is this?\A back door from when the Kiltgang hacked Cerberus? response:	If I can follow it...
context: I know!\Siren-sama gave me this precious energy.\I can't waste it!\You never improve at shooting.\We're being pushed back!\What is this?\A back door from when the Kiltgang hacked Cerberus?\If I can follow it... response:	If you don't tell them to use the low-orbit Impacters now, it'll be too late!
context: Siren-sama gave me this precious energy.\I can't waste it!\You never improve at shooting.\We're being pushed back!\What is this?\A back door from when the Kiltgang hacked Cerberus?\If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late! response:	Just believe in us!
context: I can't waste it!\You never improve at shooting.\We're being pushed back!\What is this?\A back door from when the Kiltgang hacked Cerberus?\If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us! response:	I'll hit them with my special attack spell.
context: You never improve at shooting.\We're being pushed back!\What is this?\A back door from when the Kiltgang hacked Cerberus?\If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us!\I'll hit them with my special attack spell. response:	Die, Earth Impacters!
context: We're being pushed back!\What is this?\A back door from when the Kiltgang hacked Cerberus?\If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us!\I'll hit them with my special attack spell.\Die, Earth Impacters! response:	Captain, I'm borrowing the Earth Engine's systems.
context: What is this?\A back door from when the Kiltgang hacked Cerberus?\If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us!\I'll hit them with my special attack spell.\Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems. response:	Wh-What?
context: A back door from when the Kiltgang hacked Cerberus?\If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us!\I'll hit them with my special attack spell.\Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems.\Wh-What? response:	Take this...
context: If I can follow it...\If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us!\I'll hit them with my special attack spell.\Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems.\Wh-What?\Take this... response:	What?
context: If you don't tell them to use the low-orbit Impacters now, it'll be too late!\Just believe in us!\I'll hit them with my special attack spell.\Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems.\Wh-What?\Take this...\What? response:	What's going on?
context: Just believe in us!\I'll hit them with my special attack spell.\Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems.\Wh-What?\Take this...\What?\What's going on? response:	Captain!
context: I'll hit them with my special attack spell.\Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems.\Wh-What?\Take this...\What?\What's going on?\Captain! response:	The enemy has stopped moving!
context: Die, Earth Impacters!\Captain, I'm borrowing the Earth Engine's systems.\Wh-What?\Take this...\What?\What's going on?\Captain!\The enemy has stopped moving! response:	Teppei!
context: Captain, I'm borrowing the Earth Engine's systems.\Wh-What?\Take this...\What?\What's going on?\Captain!\The enemy has stopped moving!\Teppei! response:	We'll destroy their Ego Blocks!
context: Wh-What?\Take this...\What?\What's going on?\Captain!\The enemy has stopped moving!\Teppei!\We'll destroy their Ego Blocks! response:	Roger!
context: Take this...\What?\What's going on?\Captain!\The enemy has stopped moving!\Teppei!\We'll destroy their Ego Blocks!\Roger! response:	It didn't work?
context: What?\What's going on?\Captain!\The enemy has stopped moving!\Teppei!\We'll destroy their Ego Blocks!\Roger!\It didn't work? response:	An Ego Block can only be destroyed by its owner's will.
context: What's going on?\Captain!\The enemy has stopped moving!\Teppei!\We'll destroy their Ego Blocks!\Roger!\It didn't work?\An Ego Block can only be destroyed by its owner's will. response:	At least, for now.
context: Captain!\The enemy has stopped moving!\Teppei!\We'll destroy their Ego Blocks!\Roger!\It didn't work?\An Ego Block can only be destroyed by its owner's will.\At least, for now. response:	Hana Mutou, I want to ask you something.
context: The enemy has stopped moving!\Teppei!\We'll destroy their Ego Blocks!\Roger!\It didn't work?\An Ego Block can only be destroyed by its owner's will.\At least, for now.\Hana Mutou, I want to ask you something. response:	How can you have so much faith in them?
context: Teppei!\We'll destroy their Ego Blocks!\Roger!\It didn't work?\An Ego Block can only be destroyed by its owner's will.\At least, for now.\Hana Mutou, I want to ask you something.\How can you have so much faith in them? response:	Because we're a team.
context: We'll destroy their Ego Blocks!\Roger!\It didn't work?\An Ego Block can only be destroyed by its owner's will.\At least, for now.\Hana Mutou, I want to ask you something.\How can you have so much faith in them?\Because we're a team. response:	Even if it was only for a moment,
context: Roger!\It didn't work?\An Ego Block can only be destroyed by its owner's will.\At least, for now.\Hana Mutou, I want to ask you something.\How can you have so much faith in them?\Because we're a team.\Even if it was only for a moment, response:	they were able to interfere with the Kiltgang's controls.
context: It didn't work?\An Ego Block can only be destroyed by its owner's will.\At least, for now.\Hana Mutou, I want to ask you something.\How can you have so much faith in them?\Because we're a team.\Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls. response:	It was that magical girl.
context: An Ego Block can only be destroyed by its owner's will.\At least, for now.\Hana Mutou, I want to ask you something.\How can you have so much faith in them?\Because we're a team.\Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls.\It was that magical girl. response:	All of our attacks have been stopped.
context: At least, for now.\Hana Mutou, I want to ask you something.\How can you have so much faith in them?\Because we're a team.\Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls.\It was that magical girl.\All of our attacks have been stopped. response:	Siren-sama,
context: Hana Mutou, I want to ask you something.\How can you have so much faith in them?\Because we're a team.\Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls.\It was that magical girl.\All of our attacks have been stopped.\Siren-sama, response:	the next time we activate the Kiltgangs,
context: How can you have so much faith in them?\Because we're a team.\Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls.\It was that magical girl.\All of our attacks have been stopped.\Siren-sama,\the next time we activate the Kiltgangs, response:	perhaps we should all attack at once.
context: Because we're a team.\Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls.\It was that magical girl.\All of our attacks have been stopped.\Siren-sama,\the next time we activate the Kiltgangs,\perhaps we should all attack at once. response:	Yeah! We did it!
context: Even if it was only for a moment,\they were able to interfere with the Kiltgang's controls.\It was that magical girl.\All of our attacks have been stopped.\Siren-sama,\the next time we activate the Kiltgangs,\perhaps we should all attack at once.\Yeah! We did it! response:	Good work, you guys.
context: they were able to interfere with the Kiltgang's controls.\It was that magical girl.\All of our attacks have been stopped.\Siren-sama,\the next time we activate the Kiltgangs,\perhaps we should all attack at once.\Yeah! We did it!\Good work, you guys. response:	It looked like they shut down for a moment.
context: It was that magical girl.\All of our attacks have been stopped.\Siren-sama,\the next time we activate the Kiltgangs,\perhaps we should all attack at once.\Yeah! We did it!\Good work, you guys.\It looked like they shut down for a moment. response:	How did you do that?
context: All of our attacks have been stopped.\Siren-sama,\the next time we activate the Kiltgangs,\perhaps we should all attack at once.\Yeah! We did it!\Good work, you guys.\It looked like they shut down for a moment.\How did you do that? response:	I did it.
context: Siren-sama,\the next time we activate the Kiltgangs,\perhaps we should all attack at once.\Yeah! We did it!\Good work, you guys.\It looked like they shut down for a moment.\How did you do that?\I did it. response:	Inspector...
context: the next time we activate the Kiltgangs,\perhaps we should all attack at once.\Yeah! We did it!\Good work, you guys.\It looked like they shut down for a moment.\How did you do that?\I did it.\Inspector... response:	I'll just say one thing.
context: perhaps we should all attack at once.\Yeah! We did it!\Good work, you guys.\It looked like they shut down for a moment.\How did you do that?\I did it.\Inspector...\I'll just say one thing. response:	We won't abandon the people who live on this world,
context: Yeah! We did it!\Good work, you guys.\It looked like they shut down for a moment.\How did you do that?\I did it.\Inspector...\I'll just say one thing.\We won't abandon the people who live on this world, response:	as long as we have this team.
context: Good work, you guys.\It looked like they shut down for a moment.\How did you do that?\I did it.\Inspector...\I'll just say one thing.\We won't abandon the people who live on this world,\as long as we have this team. response:	The Midsummer's Knights, huh?
