context: I'm sorry... I just couldn't be alone. response:	That's all right.
context: Do you have some business here?\Ah! Um, do you know where Emma...?\Could you possibly be...?\Eh?\Please buy a flower, sir.\Um, sorry!\It's not exactly a place to bring nobility...\You'll have to forgive the mess. response:	Pardon my intrusion...
context: Ah! Um, do you know where Emma...?\Could you possibly be...?\Eh?\Please buy a flower, sir.\Um, sorry!\It's not exactly a place to bring nobility...\You'll have to forgive the mess.\Pardon my intrusion... response:	Step aside.
context: Could you possibly be...?\Eh?\Please buy a flower, sir.\Um, sorry!\It's not exactly a place to bring nobility...\You'll have to forgive the mess.\Pardon my intrusion...\Step aside. response:	This whole place is falling to pieces.
context: Eh?\Please buy a flower, sir.\Um, sorry!\It's not exactly a place to bring nobility...\You'll have to forgive the mess.\Pardon my intrusion...\Step aside.\This whole place is falling to pieces. response:	I was going to have lunch with Emma. I wonder where she's gone off to?
context: Please buy a flower, sir.\Um, sorry!\It's not exactly a place to bring nobility...\You'll have to forgive the mess.\Pardon my intrusion...\Step aside.\This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to? response:	Anyway, have a seat.
context: Um, sorry!\It's not exactly a place to bring nobility...\You'll have to forgive the mess.\Pardon my intrusion...\Step aside.\This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat. response:	If we wait here, she should be back soon.
context: It's not exactly a place to bring nobility...\You'll have to forgive the mess.\Pardon my intrusion...\Step aside.\This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat.\If we wait here, she should be back soon. response:	Thank you.
context: You'll have to forgive the mess.\Pardon my intrusion...\Step aside.\This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat.\If we wait here, she should be back soon.\Thank you. response:	It's started raining?
context: Pardon my intrusion...\Step aside.\This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat.\If we wait here, she should be back soon.\Thank you.\It's started raining? response:	Um...
context: Step aside.\This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat.\If we wait here, she should be back soon.\Thank you.\It's started raining?\Um... response:	About this village of Emma's...
context: This whole place is falling to pieces.\I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat.\If we wait here, she should be back soon.\Thank you.\It's started raining?\Um...\About this village of Emma's... response:	I don't know much about it either.
context: I was going to have lunch with Emma. I wonder where she's gone off to?\Anyway, have a seat.\If we wait here, she should be back soon.\Thank you.\It's started raining?\Um...\About this village of Emma's...\I don't know much about it either. response:	From what Kelly told me, she was born in a little village by the sea.
context: Anyway, have a seat.\If we wait here, she should be back soon.\Thank you.\It's started raining?\Um...\About this village of Emma's...\I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea. response:	The place was dirt poor.
context: If we wait here, she should be back soon.\Thank you.\It's started raining?\Um...\About this village of Emma's...\I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor. response:	She had no father, and her mother died when she was very young,
context: Thank you.\It's started raining?\Um...\About this village of Emma's...\I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor.\She had no father, and her mother died when she was very young, response:	so Emma was brought up in her uncle's home.
context: It's started raining?\Um...\About this village of Emma's...\I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor.\She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home. response:	Emma!
context: Um...\About this village of Emma's...\I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor.\She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home.\Emma! response:	Don't just stand there staring at nothing. Bring the bucket here, quickly!
context: About this village of Emma's...\I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor.\She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home.\Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly! response:	Is that all? Not much there, is there? You've been off playing around!
context: I don't know much about it either.\From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor.\She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home.\Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around! response:	That's all you're good at, weaseling out of work.
context: From what Kelly told me, she was born in a little village by the sea.\The place was dirt poor.\She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home.\Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work. response:	I wasn't playing.
context: The place was dirt poor.\She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home.\Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work.\I wasn't playing. response:	Children shouldn't answer their elders back!
context: She had no father, and her mother died when she was very young,\so Emma was brought up in her uncle's home.\Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work.\I wasn't playing.\Children shouldn't answer their elders back! response:	Before you came here, we were so much better off.
context: so Emma was brought up in her uncle's home.\Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work.\I wasn't playing.\Children shouldn't answer their elders back!\Before you came here, we were so much better off. response:	Honestly. Your Uncle's soft, that's what it is.
context: Emma!\Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work.\I wasn't playing.\Children shouldn't answer their elders back!\Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is. response:	So what if you're his sister's daughter? That man's always been nothing but trouble.
context: Don't just stand there staring at nothing. Bring the bucket here, quickly!\Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work.\I wasn't playing.\Children shouldn't answer their elders back!\Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble. response:	You, take these into town and sell them. And don't come back until you've sold them all!
context: Is that all? Not much there, is there? You've been off playing around!\That's all you're good at, weaseling out of work.\I wasn't playing.\Children shouldn't answer their elders back!\Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all! response:	Got it?
context: That's all you're good at, weaseling out of work.\I wasn't playing.\Children shouldn't answer their elders back!\Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all!\Got it? response:	For pity's sake. Such a sullen child!
context: I wasn't playing.\Children shouldn't answer their elders back!\Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all!\Got it?\For pity's sake. Such a sullen child! response:	No...
context: Children shouldn't answer their elders back!\Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all!\Got it?\For pity's sake. Such a sullen child!\No... response:	No! No!!
context: Before you came here, we were so much better off.\Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all!\Got it?\For pity's sake. Such a sullen child!\No...\No! No!! response:	No!
context: Honestly. Your Uncle's soft, that's what it is.\So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all!\Got it?\For pity's sake. Such a sullen child!\No...\No! No!!\No! response:	Let me out! Someone, help!
context: So what if you're his sister's daughter? That man's always been nothing but trouble.\You, take these into town and sell them. And don't come back until you've sold them all!\Got it?\For pity's sake. Such a sullen child!\No...\No! No!!\No!\Let me out! Someone, help! response:	No! Let me out!
context: You, take these into town and sell them. And don't come back until you've sold them all!\Got it?\For pity's sake. Such a sullen child!\No...\No! No!!\No!\Let me out! Someone, help!\No! Let me out! response:	Please someone, let me out!
context: Got it?\For pity's sake. Such a sullen child!\No...\No! No!!\No!\Let me out! Someone, help!\No! Let me out!\Please someone, let me out! response:	No!!
context: For pity's sake. Such a sullen child!\No...\No! No!!\No!\Let me out! Someone, help!\No! Let me out!\Please someone, let me out!\No!! response:	She was held prisoner in that carriage for days, and then it seems she was brought to London.
context: No...\No! No!!\No!\Let me out! Someone, help!\No! Let me out!\Please someone, let me out!\No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London. response:	Come here!
context: No! No!!\No!\Let me out! Someone, help!\No! Let me out!\Please someone, let me out!\No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here! response:	How about this one? She's a country girl, but she has a nice face!
context: No!\Let me out! Someone, help!\No! Let me out!\Please someone, let me out!\No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here!\How about this one? She's a country girl, but she has a nice face! response:	She's rather small.
context: Let me out! Someone, help!\No! Let me out!\Please someone, let me out!\No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here!\How about this one? She's a country girl, but she has a nice face!\She's rather small. response:	And very thin. She'll take time to groom.
context: No! Let me out!\Please someone, let me out!\No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here!\How about this one? She's a country girl, but she has a nice face!\She's rather small.\And very thin. She'll take time to groom. response:	Think about it, she's a bargain!
context: Please someone, let me out!\No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here!\How about this one? She's a country girl, but she has a nice face!\She's rather small.\And very thin. She'll take time to groom.\Think about it, she's a bargain! response:	If you're lucky, she'll be the belle of the establishment.
context: No!!\She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here!\How about this one? She's a country girl, but she has a nice face!\She's rather small.\And very thin. She'll take time to groom.\Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment. response:	How about 40?
context: She was held prisoner in that carriage for days, and then it seems she was brought to London.\Come here!\How about this one? She's a country girl, but she has a nice face!\She's rather small.\And very thin. She'll take time to groom.\Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment.\How about 40? response:	I want someone I can use immediately. 20 at the most.
context: Come here!\How about this one? She's a country girl, but she has a nice face!\She's rather small.\And very thin. She'll take time to groom.\Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment.\How about 40?\I want someone I can use immediately. 20 at the most. response:	Don't joke with me!
context: How about this one? She's a country girl, but she has a nice face!\She's rather small.\And very thin. She'll take time to groom.\Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment.\How about 40?\I want someone I can use immediately. 20 at the most.\Don't joke with me! response:	Nothing less than 37.
context: She's rather small.\And very thin. She'll take time to groom.\Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment.\How about 40?\I want someone I can use immediately. 20 at the most.\Don't joke with me!\Nothing less than 37. response:	I'd be making a loss on that deal.
context: And very thin. She'll take time to groom.\Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment.\How about 40?\I want someone I can use immediately. 20 at the most.\Don't joke with me!\Nothing less than 37.\I'd be making a loss on that deal. response:	Oh!
context: Think about it, she's a bargain!\If you're lucky, she'll be the belle of the establishment.\How about 40?\I want someone I can use immediately. 20 at the most.\Don't joke with me!\Nothing less than 37.\I'd be making a loss on that deal.\Oh! response:	That girl's runnin' away!
context: If you're lucky, she'll be the belle of the establishment.\How about 40?\I want someone I can use immediately. 20 at the most.\Don't joke with me!\Nothing less than 37.\I'd be making a loss on that deal.\Oh!\That girl's runnin' away! response:	Imbecile! You took your eyes off her!
context: How about 40?\I want someone I can use immediately. 20 at the most.\Don't joke with me!\Nothing less than 37.\I'd be making a loss on that deal.\Oh!\That girl's runnin' away!\Imbecile! You took your eyes off her! response:	Come back here!
context: I want someone I can use immediately. 20 at the most.\Don't joke with me!\Nothing less than 37.\I'd be making a loss on that deal.\Oh!\That girl's runnin' away!\Imbecile! You took your eyes off her!\Come back here! response:	Damn it, where'd she go?
context: Don't joke with me!\Nothing less than 37.\I'd be making a loss on that deal.\Oh!\That girl's runnin' away!\Imbecile! You took your eyes off her!\Come back here!\Damn it, where'd she go? response:	Please.
context: Nothing less than 37.\I'd be making a loss on that deal.\Oh!\That girl's runnin' away!\Imbecile! You took your eyes off her!\Come back here!\Damn it, where'd she go?\Please. response:	I'm afraid there's not much I can do.
context: I'd be making a loss on that deal.\Oh!\That girl's runnin' away!\Imbecile! You took your eyes off her!\Come back here!\Damn it, where'd she go?\Please.\I'm afraid there's not much I can do. response:	Please. I'll work for it.
context: Oh!\That girl's runnin' away!\Imbecile! You took your eyes off her!\Come back here!\Damn it, where'd she go?\Please.\I'm afraid there's not much I can do.\Please. I'll work for it. response:	Even a scrap of bread will do. I haven't eaten for days.
context: That girl's runnin' away!\Imbecile! You took your eyes off her!\Come back here!\Damn it, where'd she go?\Please.\I'm afraid there's not much I can do.\Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days. response:	I'm sorry. Ask somewhere else, all right?
context: Imbecile! You took your eyes off her!\Come back here!\Damn it, where'd she go?\Please.\I'm afraid there's not much I can do.\Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right? response:	If you do something wrong, I'll be the one who pays for it.
context: Come back here!\Damn it, where'd she go?\Please.\I'm afraid there's not much I can do.\Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it. response:	Sorry, can't help you.
context: Damn it, where'd she go?\Please.\I'm afraid there's not much I can do.\Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you. response:	No, no! We've got enough staff!
context: Please.\I'm afraid there's not much I can do.\Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you.\No, no! We've got enough staff! response:	Please.
context: I'm afraid there's not much I can do.\Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you.\No, no! We've got enough staff!\Please. response:	There's no end to girls like you! Go away!
context: Please. I'll work for it.\Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you.\No, no! We've got enough staff!\Please.\There's no end to girls like you! Go away! response:	If I can be of help, I'll do anything.
context: Even a scrap of bread will do. I haven't eaten for days.\I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you.\No, no! We've got enough staff!\Please.\There's no end to girls like you! Go away!\If I can be of help, I'll do anything. response:	Please!
context: I'm sorry. Ask somewhere else, all right?\If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you.\No, no! We've got enough staff!\Please.\There's no end to girls like you! Go away!\If I can be of help, I'll do anything.\Please! response:	Where's the tea for upstairs?
context: If you do something wrong, I'll be the one who pays for it.\Sorry, can't help you.\No, no! We've got enough staff!\Please.\There's no end to girls like you! Go away!\If I can be of help, I'll do anything.\Please!\Where's the tea for upstairs? response:	Who's the girl?
context: Sorry, can't help you.\No, no! We've got enough staff!\Please.\There's no end to girls like you! Go away!\If I can be of help, I'll do anything.\Please!\Where's the tea for upstairs?\Who's the girl? response:	She has no money, poor thing.
context: No, no! We've got enough staff!\Please.\There's no end to girls like you! Go away!\If I can be of help, I'll do anything.\Please!\Where's the tea for upstairs?\Who's the girl?\She has no money, poor thing. response:	We'll be in trouble if the mistress finds out!
context: Please.\There's no end to girls like you! Go away!\If I can be of help, I'll do anything.\Please!\Where's the tea for upstairs?\Who's the girl?\She has no money, poor thing.\We'll be in trouble if the mistress finds out! response:	She won't find out! And she certainly won't miss one piece of bread.
context: There's no end to girls like you! Go away!\If I can be of help, I'll do anything.\Please!\Where's the tea for upstairs?\Who's the girl?\She has no money, poor thing.\We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread. response:	Thank you, very much.
context: If I can be of help, I'll do anything.\Please!\Where's the tea for upstairs?\Who's the girl?\She has no money, poor thing.\We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much. response:	Take your time, or you might choke.
context: Please!\Where's the tea for upstairs?\Who's the girl?\She has no money, poor thing.\We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much.\Take your time, or you might choke. response:	This is how you make them.
context: Where's the tea for upstairs?\Who's the girl?\She has no money, poor thing.\We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much.\Take your time, or you might choke.\This is how you make them. response:	You buy the flowers from Covent Garden. The sweeter ones sell best.
context: Who's the girl?\She has no money, poor thing.\We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much.\Take your time, or you might choke.\This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best. response:	If you do well, you can buy bread every night.
context: She has no money, poor thing.\We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much.\Take your time, or you might choke.\This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night. response:	Please buy some flowers. Would you like a flower?
context: We'll be in trouble if the mistress finds out!\She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much.\Take your time, or you might choke.\This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower? response:	Please buy some flowers. Would you like a flower?
context: She won't find out! And she certainly won't miss one piece of bread.\Thank you, very much.\Take your time, or you might choke.\This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower? response:	Thank you very much, sir!
context: Thank you, very much.\Take your time, or you might choke.\This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower?\Thank you very much, sir! response:	Please buy some flowers! Would you like a flower?
context: Take your time, or you might choke.\This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower?\Thank you very much, sir!\Please buy some flowers! Would you like a flower? response:	Would you like a flower?
context: This is how you make them.\You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower?\Thank you very much, sir!\Please buy some flowers! Would you like a flower?\Would you like a flower? response:	Would you like one?
context: You buy the flowers from Covent Garden. The sweeter ones sell best.\If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower?\Thank you very much, sir!\Please buy some flowers! Would you like a flower?\Would you like a flower?\Would you like one? response:	Going home?
context: If you do well, you can buy bread every night.\Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower?\Thank you very much, sir!\Please buy some flowers! Would you like a flower?\Would you like a flower?\Would you like one?\Going home? response:	Yes.
context: Please buy some flowers. Would you like a flower?\Please buy some flowers. Would you like a flower?\Thank you very much, sir!\Please buy some flowers! Would you like a flower?\Would you like a flower?\Would you like one?\Going home?\Yes. response:	Emma should be home soon, I think.
context: Please buy some flowers. Would you like a flower?\Thank you very much, sir!\Please buy some flowers! Would you like a flower?\Would you like a flower?\Would you like one?\Going home?\Yes.\Emma should be home soon, I think. response:	Thank you very much, for all you've told me.
context: Thank you very much, sir!\Please buy some flowers! Would you like a flower?\Would you like a flower?\Would you like one?\Going home?\Yes.\Emma should be home soon, I think.\Thank you very much, for all you've told me. response:	No need for thanks. Just felt like talking.
context: Please buy some flowers! Would you like a flower?\Would you like a flower?\Would you like one?\Going home?\Yes.\Emma should be home soon, I think.\Thank you very much, for all you've told me.\No need for thanks. Just felt like talking. response:	Next Episode: Lilies of the Valley
