context: Woah, Big bro must be the main character, he gets featured in the first scene! response:	It's only one of my passive abilities
context: I'm wrong\Your majesty\Get out! You queer!\May I kiss your feet?\What perverted game is this!\Didn't you want to play master and slave\Why do I have to meet someone like you\What an ill-fated relationship response:	How is this ill-fated?
context: Your majesty\Get out! You queer!\May I kiss your feet?\What perverted game is this!\Didn't you want to play master and slave\Why do I have to meet someone like you\What an ill-fated relationship\How is this ill-fated? response:	We have a lot in common
context: Get out! You queer!\May I kiss your feet?\What perverted game is this!\Didn't you want to play master and slave\Why do I have to meet someone like you\What an ill-fated relationship\How is this ill-fated?\We have a lot in common response:	You also like to wear funny outfits is public
context: May I kiss your feet?\What perverted game is this!\Didn't you want to play master and slave\Why do I have to meet someone like you\What an ill-fated relationship\How is this ill-fated?\We have a lot in common\You also like to wear funny outfits is public response:	And get excited when people look at you
context: What perverted game is this!\Didn't you want to play master and slave\Why do I have to meet someone like you\What an ill-fated relationship\How is this ill-fated?\We have a lot in common\You also like to wear funny outfits is public\And get excited when people look at you response:	Who's getting excited?
context: Didn't you want to play master and slave\Why do I have to meet someone like you\What an ill-fated relationship\How is this ill-fated?\We have a lot in common\You also like to wear funny outfits is public\And get excited when people look at you\Who's getting excited? response:	Woah, historic clothes, so pretty
context: Why do I have to meet someone like you\What an ill-fated relationship\How is this ill-fated?\We have a lot in common\You also like to wear funny outfits is public\And get excited when people look at you\Who's getting excited?\Woah, historic clothes, so pretty response:	Is she a show girl?
context: What an ill-fated relationship\How is this ill-fated?\We have a lot in common\You also like to wear funny outfits is public\And get excited when people look at you\Who's getting excited?\Woah, historic clothes, so pretty\Is she a show girl? response:	Why don't you go break the ice?
context: How is this ill-fated?\We have a lot in common\You also like to wear funny outfits is public\And get excited when people look at you\Who's getting excited?\Woah, historic clothes, so pretty\Is she a show girl?\Why don't you go break the ice? response:	You go first
context: We have a lot in common\You also like to wear funny outfits is public\And get excited when people look at you\Who's getting excited?\Woah, historic clothes, so pretty\Is she a show girl?\Why don't you go break the ice?\You go first response:	Darn it
context: You also like to wear funny outfits is public\And get excited when people look at you\Who's getting excited?\Woah, historic clothes, so pretty\Is she a show girl?\Why don't you go break the ice?\You go first\Darn it response:	I've trained in the mountains for all my life
context: And get excited when people look at you\Who's getting excited?\Woah, historic clothes, so pretty\Is she a show girl?\Why don't you go break the ice?\You go first\Darn it\I've trained in the mountains for all my life response:	It's the first time I've been in a city, do I really have to explain this?
context: Who's getting excited?\Woah, historic clothes, so pretty\Is she a show girl?\Why don't you go break the ice?\You go first\Darn it\I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this? response:	Let me tell you, I definitely don't get excited when people look at me
context: Woah, historic clothes, so pretty\Is she a show girl?\Why don't you go break the ice?\You go first\Darn it\I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me response:	We're just trying to clear a grudge
context: Is she a show girl?\Why don't you go break the ice?\You go first\Darn it\I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge response:	This will never happen again!
context: Why don't you go break the ice?\You go first\Darn it\I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge\This will never happen again! response:	Quickly I depart
context: You go first\Darn it\I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge\This will never happen again!\Quickly I depart response:	Wait, big sis!
context: Darn it\I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge\This will never happen again!\Quickly I depart\Wait, big sis! response:	Don't talk to me!
context: I've trained in the mountains for all my life\It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge\This will never happen again!\Quickly I depart\Wait, big sis!\Don't talk to me! response:	I don't want to have anything to do with you!
context: It's the first time I've been in a city, do I really have to explain this?\Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge\This will never happen again!\Quickly I depart\Wait, big sis!\Don't talk to me!\I don't want to have anything to do with you! response:	Woah! Big bro is amazing!
context: Let me tell you, I definitely don't get excited when people look at me\We're just trying to clear a grudge\This will never happen again!\Quickly I depart\Wait, big sis!\Don't talk to me!\I don't want to have anything to do with you!\Woah! Big bro is amazing! response:	He appears at the most important moment!
context: We're just trying to clear a grudge\This will never happen again!\Quickly I depart\Wait, big sis!\Don't talk to me!\I don't want to have anything to do with you!\Woah! Big bro is amazing!\He appears at the most important moment! response:	Of course
context: This will never happen again!\Quickly I depart\Wait, big sis!\Don't talk to me!\I don't want to have anything to do with you!\Woah! Big bro is amazing!\He appears at the most important moment!\Of course response:	If I don't stop, then the show can't end!
context: Quickly I depart\Wait, big sis!\Don't talk to me!\I don't want to have anything to do with you!\Woah! Big bro is amazing!\He appears at the most important moment!\Of course\If I don't stop, then the show can't end! response:	Woah! Is it for real?
context: Wait, big sis!\Don't talk to me!\I don't want to have anything to do with you!\Woah! Big bro is amazing!\He appears at the most important moment!\Of course\If I don't stop, then the show can't end!\Woah! Is it for real? response:	Don't believe me? Just watch
