context: What's happened so far! response:	This is our sister,
context: This is...rejection.\Why?\We were friends until last week!\How'd it get this way?\I became afraid.\I don't know why these things happen.\I realized then for the first time how clueless I am.\I've always just response:	pretended to be nice...
context: Why?\We were friends until last week!\How'd it get this way?\I became afraid.\I don't know why these things happen.\I realized then for the first time how clueless I am.\I've always just\pretended to be nice... response:	and never seriously made friends with anyone...
context: We were friends until last week!\How'd it get this way?\I became afraid.\I don't know why these things happen.\I realized then for the first time how clueless I am.\I've always just\pretended to be nice...\and never seriously made friends with anyone... response:	I've never spoken from my heart.
context: How'd it get this way?\I became afraid.\I don't know why these things happen.\I realized then for the first time how clueless I am.\I've always just\pretended to be nice...\and never seriously made friends with anyone...\I've never spoken from my heart. response:	I've never fought.
context: I became afraid.\I don't know why these things happen.\I realized then for the first time how clueless I am.\I've always just\pretended to be nice...\and never seriously made friends with anyone...\I've never spoken from my heart.\I've never fought. response:	Because I never took off my honor student mask...
context: I don't know why these things happen.\I realized then for the first time how clueless I am.\I've always just\pretended to be nice...\and never seriously made friends with anyone...\I've never spoken from my heart.\I've never fought.\Because I never took off my honor student mask... response:	and never looked for my true self...
context: I realized then for the first time how clueless I am.\I've always just\pretended to be nice...\and never seriously made friends with anyone...\I've never spoken from my heart.\I've never fought.\Because I never took off my honor student mask...\and never looked for my true self... response:	So you're depressed, Sis?
context: I've always just\pretended to be nice...\and never seriously made friends with anyone...\I've never spoken from my heart.\I've never fought.\Because I never took off my honor student mask...\and never looked for my true self...\So you're depressed, Sis? response:	That's what you get for trying seIf-criticism for the first time.
context: pretended to be nice...\and never seriously made friends with anyone...\I've never spoken from my heart.\I've never fought.\Because I never took off my honor student mask...\and never looked for my true self...\So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time. response:	You don't have immunity to your own weaknesses...
context: and never seriously made friends with anyone...\I've never spoken from my heart.\I've never fought.\Because I never took off my honor student mask...\and never looked for my true self...\So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses... response:	You never cared until now.
context: I've never spoken from my heart.\I've never fought.\Because I never took off my honor student mask...\and never looked for my true self...\So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses...\You never cared until now. response:	Aren't you glad you found out all this stuff since meeting Arima?
context: I've never fought.\Because I never took off my honor student mask...\and never looked for my true self...\So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses...\You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima? response:	That's right. I found out that
context: Because I never took off my honor student mask...\and never looked for my true self...\So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses...\You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that response:	I have many different sides to me. But what about Arima?
context: and never looked for my true self...\So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses...\You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that\I have many different sides to me. But what about Arima? response:	Well, we're here for you any time you have problems,
context: So you're depressed, Sis?\That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses...\You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that\I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems, response:	Sis.
context: That's what you get for trying seIf-criticism for the first time.\You don't have immunity to your own weaknesses...\You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that\I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems,\Sis. response:	Except when it comes to money.
context: You don't have immunity to your own weaknesses...\You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that\I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems,\Sis.\Except when it comes to money. response:	That's right. I wonder what Arima does
context: You never cared until now.\Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that\I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems,\Sis.\Except when it comes to money.\That's right. I wonder what Arima does response:	when he has problems.
context: Aren't you glad you found out all this stuff since meeting Arima?\That's right. I found out that\I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems,\Sis.\Except when it comes to money.\That's right. I wonder what Arima does\when he has problems. response:	Well, unlike me he's got wonderful parents,
context: That's right. I found out that\I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems,\Sis.\Except when it comes to money.\That's right. I wonder what Arima does\when he has problems.\Well, unlike me he's got wonderful parents, response:	so maybe there's nothing to be worried about.
context: I have many different sides to me. But what about Arima?\Well, we're here for you any time you have problems,\Sis.\Except when it comes to money.\That's right. I wonder what Arima does\when he has problems.\Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about. response:	Thanks for the meal.
context: Well, we're here for you any time you have problems,\Sis.\Except when it comes to money.\That's right. I wonder what Arima does\when he has problems.\Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about.\Thanks for the meal. response:	Souichirou.
context: Sis.\Except when it comes to money.\That's right. I wonder what Arima does\when he has problems.\Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about.\Thanks for the meal.\Souichirou. response:	Yes?
context: Except when it comes to money.\That's right. I wonder what Arima does\when he has problems.\Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about.\Thanks for the meal.\Souichirou.\Yes? response:	The girl you brought over a while ago...
context: That's right. I wonder what Arima does\when he has problems.\Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about.\Thanks for the meal.\Souichirou.\Yes?\The girl you brought over a while ago... response:	I seem to recall her name was Miyazawa.
context: when he has problems.\Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about.\Thanks for the meal.\Souichirou.\Yes?\The girl you brought over a while ago...\I seem to recall her name was Miyazawa. response:	Yes, she was such a composed, nice girl.
context: Well, unlike me he's got wonderful parents,\so maybe there's nothing to be worried about.\Thanks for the meal.\Souichirou.\Yes?\The girl you brought over a while ago...\I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl. response:	That was the most enjoyable tea party
context: so maybe there's nothing to be worried about.\Thanks for the meal.\Souichirou.\Yes?\The girl you brought over a while ago...\I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl.\That was the most enjoyable tea party response:	we've had in a long while.
context: Thanks for the meal.\Souichirou.\Yes?\The girl you brought over a while ago...\I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl.\That was the most enjoyable tea party\we've had in a long while. response:	Oh, yes.
context: Souichirou.\Yes?\The girl you brought over a while ago...\I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl.\That was the most enjoyable tea party\we've had in a long while.\Oh, yes. response:	So, Souichirou, don't mind us,
context: Yes?\The girl you brought over a while ago...\I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl.\That was the most enjoyable tea party\we've had in a long while.\Oh, yes.\So, Souichirou, don't mind us, response:	and bring her here again, alright?
context: The girl you brought over a while ago...\I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl.\That was the most enjoyable tea party\we've had in a long while.\Oh, yes.\So, Souichirou, don't mind us,\and bring her here again, alright? response:	Yeah...
context: I seem to recall her name was Miyazawa.\Yes, she was such a composed, nice girl.\That was the most enjoyable tea party\we've had in a long while.\Oh, yes.\So, Souichirou, don't mind us,\and bring her here again, alright?\Yeah... response:	What about Arima?
context: Yes, she was such a composed, nice girl.\That was the most enjoyable tea party\we've had in a long while.\Oh, yes.\So, Souichirou, don't mind us,\and bring her here again, alright?\Yeah...\What about Arima? response:	Arima acts like any
context: That was the most enjoyable tea party\we've had in a long while.\Oh, yes.\So, Souichirou, don't mind us,\and bring her here again, alright?\Yeah...\What about Arima?\Arima acts like any response:	other normal high schooler sometimes.
context: we've had in a long while.\Oh, yes.\So, Souichirou, don't mind us,\and bring her here again, alright?\Yeah...\What about Arima?\Arima acts like any\other normal high schooler sometimes. response:	Why doesn't he show that to anyone, except around me?
context: Oh, yes.\So, Souichirou, don't mind us,\and bring her here again, alright?\Yeah...\What about Arima?\Arima acts like any\other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me? response:	I thought about it a lot, and just can't figure it out.
context: So, Souichirou, don't mind us,\and bring her here again, alright?\Yeah...\What about Arima?\Arima acts like any\other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out. response:	If he's not vain like me,
context: and bring her here again, alright?\Yeah...\What about Arima?\Arima acts like any\other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out.\If he's not vain like me, response:	why does he stay so perfect?
context: Yeah...\What about Arima?\Arima acts like any\other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out.\If he's not vain like me,\why does he stay so perfect? response:	Isn't it tiring?
context: What about Arima?\Arima acts like any\other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out.\If he's not vain like me,\why does he stay so perfect?\Isn't it tiring? response:	Is he happy?
context: Arima acts like any\other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out.\If he's not vain like me,\why does he stay so perfect?\Isn't it tiring?\Is he happy? response:	Did I do something to upset him after all?
context: other normal high schooler sometimes.\Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out.\If he's not vain like me,\why does he stay so perfect?\Isn't it tiring?\Is he happy?\Did I do something to upset him after all? response:	But you know...
context: Why doesn't he show that to anyone, except around me?\I thought about it a lot, and just can't figure it out.\If he's not vain like me,\why does he stay so perfect?\Isn't it tiring?\Is he happy?\Did I do something to upset him after all?\But you know... response:	I'm really like this after all...
context: I thought about it a lot, and just can't figure it out.\If he's not vain like me,\why does he stay so perfect?\Isn't it tiring?\Is he happy?\Did I do something to upset him after all?\But you know...\I'm really like this after all... response:	It must've totally ruined it for him.
context: If he's not vain like me,\why does he stay so perfect?\Isn't it tiring?\Is he happy?\Did I do something to upset him after all?\But you know...\I'm really like this after all...\It must've totally ruined it for him. response:	Could it be that...he realized that I secretly like him...?
context: why does he stay so perfect?\Isn't it tiring?\Is he happy?\Did I do something to upset him after all?\But you know...\I'm really like this after all...\It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...? response:	That's the most likely explanation! And I bet he now finds that annoying or something!
context: Isn't it tiring?\Is he happy?\Did I do something to upset him after all?\But you know...\I'm really like this after all...\It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something! response:	If so, why doesn't he just tell me?
context: Is he happy?\Did I do something to upset him after all?\But you know...\I'm really like this after all...\It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me? response:	Arima...
context: Did I do something to upset him after all?\But you know...\I'm really like this after all...\It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me?\Arima... response:	You have something you want to say to me, right?
context: But you know...\I'm really like this after all...\It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me?\Arima...\You have something you want to say to me, right? response:	Say it!
context: I'm really like this after all...\It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me?\Arima...\You have something you want to say to me, right?\Say it! response:	What're you talking about?
context: It must've totally ruined it for him.\Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me?\Arima...\You have something you want to say to me, right?\Say it!\What're you talking about? response:	Don't play dumb!
context: Could it be that...he realized that I secretly like him...?\That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me?\Arima...\You have something you want to say to me, right?\Say it!\What're you talking about?\Don't play dumb! response:	You've been ignoring me all this time!
context: That's the most likely explanation! And I bet he now finds that annoying or something!\If so, why doesn't he just tell me?\Arima...\You have something you want to say to me, right?\Say it!\What're you talking about?\Don't play dumb!\You've been ignoring me all this time! response:	I hate that! Why don't you just tell me?
context: If so, why doesn't he just tell me?\Arima...\You have something you want to say to me, right?\Say it!\What're you talking about?\Don't play dumb!\You've been ignoring me all this time!\I hate that! Why don't you just tell me? response:	It's nothing.
context: Arima...\You have something you want to say to me, right?\Say it!\What're you talking about?\Don't play dumb!\You've been ignoring me all this time!\I hate that! Why don't you just tell me?\It's nothing. response:	Why're you running away?
context: You have something you want to say to me, right?\Say it!\What're you talking about?\Don't play dumb!\You've been ignoring me all this time!\I hate that! Why don't you just tell me?\It's nothing.\Why're you running away? response:	How am I supposed to understand if you won't tell me?
context: Say it!\What're you talking about?\Don't play dumb!\You've been ignoring me all this time!\I hate that! Why don't you just tell me?\It's nothing.\Why're you running away?\How am I supposed to understand if you won't tell me? response:	Shut up! Leave me alone!
context: What're you talking about?\Don't play dumb!\You've been ignoring me all this time!\I hate that! Why don't you just tell me?\It's nothing.\Why're you running away?\How am I supposed to understand if you won't tell me?\Shut up! Leave me alone! response:	That's my only memory of my parents.
context: Don't play dumb!\You've been ignoring me all this time!\I hate that! Why don't you just tell me?\It's nothing.\Why're you running away?\How am I supposed to understand if you won't tell me?\Shut up! Leave me alone!\That's my only memory of my parents. response:	Just that little bit.
context: You've been ignoring me all this time!\I hate that! Why don't you just tell me?\It's nothing.\Why're you running away?\How am I supposed to understand if you won't tell me?\Shut up! Leave me alone!\That's my only memory of my parents.\Just that little bit. response:	Now, won't you come with me?
context: I hate that! Why don't you just tell me?\It's nothing.\Why're you running away?\How am I supposed to understand if you won't tell me?\Shut up! Leave me alone!\That's my only memory of my parents.\Just that little bit.\Now, won't you come with me? response:	That liar. He said we were friends.
context: It's nothing.\Why're you running away?\How am I supposed to understand if you won't tell me?\Shut up! Leave me alone!\That's my only memory of my parents.\Just that little bit.\Now, won't you come with me?\That liar. He said we were friends. response:	He said he liked
context: Why're you running away?\How am I supposed to understand if you won't tell me?\Shut up! Leave me alone!\That's my only memory of my parents.\Just that little bit.\Now, won't you come with me?\That liar. He said we were friends.\He said he liked response:	me the way I am.
context: How am I supposed to understand if you won't tell me?\Shut up! Leave me alone!\That's my only memory of my parents.\Just that little bit.\Now, won't you come with me?\That liar. He said we were friends.\He said he liked\me the way I am. response:	Oh, it's no use!
context: Shut up! Leave me alone!\That's my only memory of my parents.\Just that little bit.\Now, won't you come with me?\That liar. He said we were friends.\He said he liked\me the way I am.\Oh, it's no use! response:	No use! No use! No use! No use! I just can't figure it out!
context: That's my only memory of my parents.\Just that little bit.\Now, won't you come with me?\That liar. He said we were friends.\He said he liked\me the way I am.\Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out! response:	Wow. When you get to high school you get homework that not even Sis can solve.
context: Just that little bit.\Now, won't you come with me?\That liar. He said we were friends.\He said he liked\me the way I am.\Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve. response:	I can't understand what Arima's up to, no matter how hard I try!
context: Now, won't you come with me?\That liar. He said we were friends.\He said he liked\me the way I am.\Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try! response:	I can't make a guess.
context: That liar. He said we were friends.\He said he liked\me the way I am.\Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess. response:	But I know what to do!
context: He said he liked\me the way I am.\Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess.\But I know what to do! response:	Which means...
context: me the way I am.\Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess.\But I know what to do!\Which means... response:	I've gotta do it according to the Code of Hamurabi
context: Oh, it's no use!\No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess.\But I know what to do!\Which means...\I've gotta do it according to the Code of Hamurabi response:	An eye for an eye! A tooth for a tooth!
context: No use! No use! No use! No use! I just can't figure it out!\Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess.\But I know what to do!\Which means...\I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth! response:	A slight for a slight!
context: Wow. When you get to high school you get homework that not even Sis can solve.\I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess.\But I know what to do!\Which means...\I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth!\A slight for a slight! response:	That's it! That's my only choice!
context: I can't understand what Arima's up to, no matter how hard I try!\I can't make a guess.\But I know what to do!\Which means...\I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth!\A slight for a slight!\That's it! That's my only choice! response:	This isn't some kid's fight, you know...
context: I can't make a guess.\But I know what to do!\Which means...\I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth!\A slight for a slight!\That's it! That's my only choice!\This isn't some kid's fight, you know... response:	She's good at academics, but...
context: But I know what to do!\Which means...\I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth!\A slight for a slight!\That's it! That's my only choice!\This isn't some kid's fight, you know...\She's good at academics, but... response:	Move it!
context: Which means...\I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth!\A slight for a slight!\That's it! That's my only choice!\This isn't some kid's fight, you know...\She's good at academics, but...\Move it! response:	Get your asses out of my way.
context: I've gotta do it according to the Code of Hamurabi\An eye for an eye! A tooth for a tooth!\A slight for a slight!\That's it! That's my only choice!\This isn't some kid's fight, you know...\She's good at academics, but...\Move it!\Get your asses out of my way. response:	Hey, Miyazawa, could you explain
context: An eye for an eye! A tooth for a tooth!\A slight for a slight!\That's it! That's my only choice!\This isn't some kid's fight, you know...\She's good at academics, but...\Move it!\Get your asses out of my way.\Hey, Miyazawa, could you explain response:	this translation here to me?
context: A slight for a slight!\That's it! That's my only choice!\This isn't some kid's fight, you know...\She's good at academics, but...\Move it!\Get your asses out of my way.\Hey, Miyazawa, could you explain\this translation here to me? response:	Oh, my! From now on,
context: That's it! That's my only choice!\This isn't some kid's fight, you know...\She's good at academics, but...\Move it!\Get your asses out of my way.\Hey, Miyazawa, could you explain\this translation here to me?\Oh, my! From now on, response:	would you mind asking Arima to help with such difficult problems?
context: This isn't some kid's fight, you know...\She's good at academics, but...\Move it!\Get your asses out of my way.\Hey, Miyazawa, could you explain\this translation here to me?\Oh, my! From now on,\would you mind asking Arima to help with such difficult problems? response:	It seems he's far smarter than I!
context: She's good at academics, but...\Move it!\Get your asses out of my way.\Hey, Miyazawa, could you explain\this translation here to me?\Oh, my! From now on,\would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I! response:	Something's up with Miyazawa this morning.
context: Move it!\Get your asses out of my way.\Hey, Miyazawa, could you explain\this translation here to me?\Oh, my! From now on,\would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I!\Something's up with Miyazawa this morning. response:	Yeah. Arima, did you do something to her?
context: Get your asses out of my way.\Hey, Miyazawa, could you explain\this translation here to me?\Oh, my! From now on,\would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I!\Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her? response:	But I guess even she has bad days.
context: Hey, Miyazawa, could you explain\this translation here to me?\Oh, my! From now on,\would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I!\Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her?\But I guess even she has bad days. response:	So she's human too...
context: this translation here to me?\Oh, my! From now on,\would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I!\Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her?\But I guess even she has bad days.\So she's human too... response:	Iron and concrete, and the sight of rain.
context: Oh, my! From now on,\would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I!\Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her?\But I guess even she has bad days.\So she's human too...\Iron and concrete, and the sight of rain. response:	They stir memories from deep within me.
context: would you mind asking Arima to help with such difficult problems?\It seems he's far smarter than I!\Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her?\But I guess even she has bad days.\So she's human too...\Iron and concrete, and the sight of rain.\They stir memories from deep within me. response:	What's wrong? Does it hurt somewhere?
context: It seems he's far smarter than I!\Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her?\But I guess even she has bad days.\So she's human too...\Iron and concrete, and the sight of rain.\They stir memories from deep within me.\What's wrong? Does it hurt somewhere? response:	Oh, did you wet your bed?
context: Something's up with Miyazawa this morning.\Yeah. Arima, did you do something to her?\But I guess even she has bad days.\So she's human too...\Iron and concrete, and the sight of rain.\They stir memories from deep within me.\What's wrong? Does it hurt somewhere?\Oh, did you wet your bed? response:	If I answer yes, what would they do to me?
context: Yeah. Arima, did you do something to her?\But I guess even she has bad days.\So she's human too...\Iron and concrete, and the sight of rain.\They stir memories from deep within me.\What's wrong? Does it hurt somewhere?\Oh, did you wet your bed?\If I answer yes, what would they do to me? response:	I bet you were scared all by yourseIf.
context: But I guess even she has bad days.\So she's human too...\Iron and concrete, and the sight of rain.\They stir memories from deep within me.\What's wrong? Does it hurt somewhere?\Oh, did you wet your bed?\If I answer yes, what would they do to me?\I bet you were scared all by yourseIf. response:	The hand that should have slapped me,
context: So she's human too...\Iron and concrete, and the sight of rain.\They stir memories from deep within me.\What's wrong? Does it hurt somewhere?\Oh, did you wet your bed?\If I answer yes, what would they do to me?\I bet you were scared all by yourseIf.\The hand that should have slapped me, response:	gently patted my head.
context: Iron and concrete, and the sight of rain.\They stir memories from deep within me.\What's wrong? Does it hurt somewhere?\Oh, did you wet your bed?\If I answer yes, what would they do to me?\I bet you were scared all by yourseIf.\The hand that should have slapped me,\gently patted my head. response:	My new mother
context: They stir memories from deep within me.\What's wrong? Does it hurt somewhere?\Oh, did you wet your bed?\If I answer yes, what would they do to me?\I bet you were scared all by yourseIf.\The hand that should have slapped me,\gently patted my head.\My new mother response:	changed my pajamas.
context: What's wrong? Does it hurt somewhere?\Oh, did you wet your bed?\If I answer yes, what would they do to me?\I bet you were scared all by yourseIf.\The hand that should have slapped me,\gently patted my head.\My new mother\changed my pajamas. response:	My new father held me close
context: Oh, did you wet your bed?\If I answer yes, what would they do to me?\I bet you were scared all by yourseIf.\The hand that should have slapped me,\gently patted my head.\My new mother\changed my pajamas.\My new father held me close response:	while I fell asleep.
context: If I answer yes, what would they do to me?\I bet you were scared all by yourseIf.\The hand that should have slapped me,\gently patted my head.\My new mother\changed my pajamas.\My new father held me close\while I fell asleep. response:	Such a strange feeling... Why am I crying so much?
context: I bet you were scared all by yourseIf.\The hand that should have slapped me,\gently patted my head.\My new mother\changed my pajamas.\My new father held me close\while I fell asleep.\Such a strange feeling... Why am I crying so much? response:	Why does my chest hurt so much?
context: The hand that should have slapped me,\gently patted my head.\My new mother\changed my pajamas.\My new father held me close\while I fell asleep.\Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much? response:	Iron and concrete,
context: gently patted my head.\My new mother\changed my pajamas.\My new father held me close\while I fell asleep.\Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much?\Iron and concrete, response:	and the sight of rain.
context: My new mother\changed my pajamas.\My new father held me close\while I fell asleep.\Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much?\Iron and concrete,\and the sight of rain. response:	They stir memories from deep within me.
context: changed my pajamas.\My new father held me close\while I fell asleep.\Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much?\Iron and concrete,\and the sight of rain.\They stir memories from deep within me. response:	They give me both fear and peace,
context: My new father held me close\while I fell asleep.\Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much?\Iron and concrete,\and the sight of rain.\They stir memories from deep within me.\They give me both fear and peace, response:	joy and anxiety...
context: while I fell asleep.\Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much?\Iron and concrete,\and the sight of rain.\They stir memories from deep within me.\They give me both fear and peace,\joy and anxiety... response:	And Miyazawa...What was I to her?
context: Such a strange feeling... Why am I crying so much?\Why does my chest hurt so much?\Iron and concrete,\and the sight of rain.\They stir memories from deep within me.\They give me both fear and peace,\joy and anxiety...\And Miyazawa...What was I to her? response:	Miyazawa?
context: Why does my chest hurt so much?\Iron and concrete,\and the sight of rain.\They stir memories from deep within me.\They give me both fear and peace,\joy and anxiety...\And Miyazawa...What was I to her?\Miyazawa? response:	Hmph! I don't care! I'll ignore HIM this time!
context: Iron and concrete,\and the sight of rain.\They stir memories from deep within me.\They give me both fear and peace,\joy and anxiety...\And Miyazawa...What was I to her?\Miyazawa?\Hmph! I don't care! I'll ignore HIM this time! response:	Hey, Miyazawa!
context: and the sight of rain.\They stir memories from deep within me.\They give me both fear and peace,\joy and anxiety...\And Miyazawa...What was I to her?\Miyazawa?\Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa! response:	Hmph!
context: They stir memories from deep within me.\They give me both fear and peace,\joy and anxiety...\And Miyazawa...What was I to her?\Miyazawa?\Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa!\Hmph! response:	How pathetic! Why can't I ever be brilliant?
context: They give me both fear and peace,\joy and anxiety...\And Miyazawa...What was I to her?\Miyazawa?\Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa!\Hmph!\How pathetic! Why can't I ever be brilliant? response:	So I'm a stupid baby who can only deny her problems!
context: joy and anxiety...\And Miyazawa...What was I to her?\Miyazawa?\Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa!\Hmph!\How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems! response:	Here. I'm no match for you.
context: And Miyazawa...What was I to her?\Miyazawa?\Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa!\Hmph!\How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you. response:	You're just so extreme.
context: Miyazawa?\Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa!\Hmph!\How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you.\You're just so extreme. response:	Sorry, okay?
context: Hmph! I don't care! I'll ignore HIM this time!\Hey, Miyazawa!\Hmph!\How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you.\You're just so extreme.\Sorry, okay? response:	He's back to normal.
context: Hey, Miyazawa!\Hmph!\How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you.\You're just so extreme.\Sorry, okay?\He's back to normal. response:	I have a past that I don't want touched.
context: Hmph!\How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you.\You're just so extreme.\Sorry, okay?\He's back to normal.\I have a past that I don't want touched. response:	You touched it without realizing it.
context: How pathetic! Why can't I ever be brilliant?\So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you.\You're just so extreme.\Sorry, okay?\He's back to normal.\I have a past that I don't want touched.\You touched it without realizing it. response:	Your existence caused problems for me.
context: So I'm a stupid baby who can only deny her problems!\Here. I'm no match for you.\You're just so extreme.\Sorry, okay?\He's back to normal.\I have a past that I don't want touched.\You touched it without realizing it.\Your existence caused problems for me. response:	I realized it,
