context: Signs response:	Signs
context: and then have a normal encounter with a guy, and become friends normally.\I wanted to fall in love normally like that...\Why are you using past tense?\I told you, it's impossible.\I mean, the conditions are already wrong.\I'm not normal at all.\What do you mean by normal?\What's right, and what's wrong? response:	Who's there to decide those things?
context: I wanted to fall in love normally like that...\Why are you using past tense?\I told you, it's impossible.\I mean, the conditions are already wrong.\I'm not normal at all.\What do you mean by normal?\What's right, and what's wrong?\Who's there to decide those things? response:	Hold it, why are you suddenly lecturing me?
context: Why are you using past tense?\I told you, it's impossible.\I mean, the conditions are already wrong.\I'm not normal at all.\What do you mean by normal?\What's right, and what's wrong?\Who's there to decide those things?\Hold it, why are you suddenly lecturing me? response:	Oh, no...
context: I told you, it's impossible.\I mean, the conditions are already wrong.\I'm not normal at all.\What do you mean by normal?\What's right, and what's wrong?\Who's there to decide those things?\Hold it, why are you suddenly lecturing me?\Oh, no... response:	I didn't mean that...
context: I mean, the conditions are already wrong.\I'm not normal at all.\What do you mean by normal?\What's right, and what's wrong?\Who's there to decide those things?\Hold it, why are you suddenly lecturing me?\Oh, no...\I didn't mean that... response:	Where are you going?
context: I'm not normal at all.\What do you mean by normal?\What's right, and what's wrong?\Who's there to decide those things?\Hold it, why are you suddenly lecturing me?\Oh, no...\I didn't mean that...\Where are you going? response:	What about the career assessments?
context: What do you mean by normal?\What's right, and what's wrong?\Who's there to decide those things?\Hold it, why are you suddenly lecturing me?\Oh, no...\I didn't mean that...\Where are you going?\What about the career assessments? response:	I'm going home, I don't give a damn about that.
context: What's right, and what's wrong?\Who's there to decide those things?\Hold it, why are you suddenly lecturing me?\Oh, no...\I didn't mean that...\Where are you going?\What about the career assessments?\I'm going home, I don't give a damn about that. response:	Taiga...
context: Who's there to decide those things?\Hold it, why are you suddenly lecturing me?\Oh, no...\I didn't mean that...\Where are you going?\What about the career assessments?\I'm going home, I don't give a damn about that.\Taiga... response:	Excuse me.
context: Hold it, why are you suddenly lecturing me?\Oh, no...\I didn't mean that...\Where are you going?\What about the career assessments?\I'm going home, I don't give a damn about that.\Taiga...\Excuse me. response:	I told you already...
context: Oh, no...\I didn't mean that...\Where are you going?\What about the career assessments?\I'm going home, I don't give a damn about that.\Taiga...\Excuse me.\I told you already... response:	Didn't I already refuse?
context: I didn't mean that...\Where are you going?\What about the career assessments?\I'm going home, I don't give a damn about that.\Taiga...\Excuse me.\I told you already...\Didn't I already refuse? response:	I've always been -
context: Where are you going?\What about the career assessments?\I'm going home, I don't give a damn about that.\Taiga...\Excuse me.\I told you already...\Didn't I already refuse?\I've always been - response:	But Kawashima, think about it one more -
context: What about the career assessments?\I'm going home, I don't give a damn about that.\Taiga...\Excuse me.\I told you already...\Didn't I already refuse?\I've always been -\But Kawashima, think about it one more - response:	I don't have time to think about it anymore.
context: I'm going home, I don't give a damn about that.\Taiga...\Excuse me.\I told you already...\Didn't I already refuse?\I've always been -\But Kawashima, think about it one more -\I don't have time to think about it anymore. response:	Bye, I'm going home.
context: Taiga...\Excuse me.\I told you already...\Didn't I already refuse?\I've always been -\But Kawashima, think about it one more -\I don't have time to think about it anymore.\Bye, I'm going home. response:	Wait, Kawashima-kun!
context: Excuse me.\I told you already...\Didn't I already refuse?\I've always been -\But Kawashima, think about it one more -\I don't have time to think about it anymore.\Bye, I'm going home.\Wait, Kawashima-kun! response:	What are you doing standing there?
context: I told you already...\Didn't I already refuse?\I've always been -\But Kawashima, think about it one more -\I don't have time to think about it anymore.\Bye, I'm going home.\Wait, Kawashima-kun!\What are you doing standing there? response:	Hurry up and chase her!
context: Didn't I already refuse?\I've always been -\But Kawashima, think about it one more -\I don't have time to think about it anymore.\Bye, I'm going home.\Wait, Kawashima-kun!\What are you doing standing there?\Hurry up and chase her! response:	Hurry!
context: I've always been -\But Kawashima, think about it one more -\I don't have time to think about it anymore.\Bye, I'm going home.\Wait, Kawashima-kun!\What are you doing standing there?\Hurry up and chase her!\Hurry! response:	What do you want to do to my shoe?
context: But Kawashima, think about it one more -\I don't have time to think about it anymore.\Bye, I'm going home.\Wait, Kawashima-kun!\What are you doing standing there?\Hurry up and chase her!\Hurry!\What do you want to do to my shoe? response:	Huh?
context: I don't have time to think about it anymore.\Bye, I'm going home.\Wait, Kawashima-kun!\What are you doing standing there?\Hurry up and chase her!\Hurry!\What do you want to do to my shoe?\Huh? response:	Give it back.
context: Bye, I'm going home.\Wait, Kawashima-kun!\What are you doing standing there?\Hurry up and chase her!\Hurry!\What do you want to do to my shoe?\Huh?\Give it back. response:	You have a shoe fetish?
context: Wait, Kawashima-kun!\What are you doing standing there?\Hurry up and chase her!\Hurry!\What do you want to do to my shoe?\Huh?\Give it back.\You have a shoe fetish? response:	Gross.
context: What are you doing standing there?\Hurry up and chase her!\Hurry!\What do you want to do to my shoe?\Huh?\Give it back.\You have a shoe fetish?\Gross. response:	Hey -
context: Hurry up and chase her!\Hurry!\What do you want to do to my shoe?\Huh?\Give it back.\You have a shoe fetish?\Gross.\Hey - response:	I can't believe this.
context: Hurry!\What do you want to do to my shoe?\Huh?\Give it back.\You have a shoe fetish?\Gross.\Hey -\I can't believe this. response:	Why are you trying to set a record for long throws at a time like this?
context: What do you want to do to my shoe?\Huh?\Give it back.\You have a shoe fetish?\Gross.\Hey -\I can't believe this.\Why are you trying to set a record for long throws at a time like this? response:	I said I'm sorry.
context: Huh?\Give it back.\You have a shoe fetish?\Gross.\Hey -\I can't believe this.\Why are you trying to set a record for long throws at a time like this?\I said I'm sorry. response:	Hey...
context: Give it back.\You have a shoe fetish?\Gross.\Hey -\I can't believe this.\Why are you trying to set a record for long throws at a time like this?\I said I'm sorry.\Hey... response:	Why were you called to the staff room?
context: You have a shoe fetish?\Gross.\Hey -\I can't believe this.\Why are you trying to set a record for long throws at a time like this?\I said I'm sorry.\Hey...\Why were you called to the staff room? response:	I said I wouldn't model the school uniform for a school information pamphlet.
context: Gross.\Hey -\I can't believe this.\Why are you trying to set a record for long throws at a time like this?\I said I'm sorry.\Hey...\Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet. response:	Why did you refuse?
context: Hey -\I can't believe this.\Why are you trying to set a record for long throws at a time like this?\I said I'm sorry.\Hey...\Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse? response:	Isn't that your speciality?
context: I can't believe this.\Why are you trying to set a record for long throws at a time like this?\I said I'm sorry.\Hey...\Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse?\Isn't that your speciality? response:	I just don't want to do it.
context: Why are you trying to set a record for long throws at a time like this?\I said I'm sorry.\Hey...\Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse?\Isn't that your speciality?\I just don't want to do it. response:	I don't even know how much longer I'll be at this school.
context: I said I'm sorry.\Hey...\Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse?\Isn't that your speciality?\I just don't want to do it.\I don't even know how much longer I'll be at this school. response:	Don't tell me that your fight with Kushieda -
context: Hey...\Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse?\Isn't that your speciality?\I just don't want to do it.\I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda - response:	No, a trivial person like Kushieda Minori couldn't have an influence on my life.
context: Why were you called to the staff room?\I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse?\Isn't that your speciality?\I just don't want to do it.\I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life. response:	Then, why did you say that?
context: I said I wouldn't model the school uniform for a school information pamphlet.\Why did you refuse?\Isn't that your speciality?\I just don't want to do it.\I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that? response:	To be honest, I planned to leave after the first semester.
context: Why did you refuse?\Isn't that your speciality?\I just don't want to do it.\I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that?\To be honest, I planned to leave after the first semester. response:	News about the stalker thing has died down too.
context: Isn't that your speciality?\I just don't want to do it.\I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that?\To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too. response:	I've never heard you mention -
context: I just don't want to do it.\I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that?\To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too.\I've never heard you mention - response:	I decided I wanted to stay here a bit longer.
context: I don't even know how much longer I'll be at this school.\Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that?\To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too.\I've never heard you mention -\I decided I wanted to stay here a bit longer. response:	I wanted to be with you guys tomorrow,
context: Don't tell me that your fight with Kushieda -\No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that?\To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too.\I've never heard you mention -\I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow, response:	or even the day after tomorrow...
context: No, a trivial person like Kushieda Minori couldn't have an influence on my life.\Then, why did you say that?\To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too.\I've never heard you mention -\I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow,\or even the day after tomorrow... response:	Then, why?
context: Then, why did you say that?\To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too.\I've never heard you mention -\I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow,\or even the day after tomorrow...\Then, why? response:	I watched Taiga get hurt, and understood her pain.
context: To be honest, I planned to leave after the first semester.\News about the stalker thing has died down too.\I've never heard you mention -\I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow,\or even the day after tomorrow...\Then, why?\I watched Taiga get hurt, and understood her pain. response:	I thought that, since I understood her,
context: News about the stalker thing has died down too.\I've never heard you mention -\I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow,\or even the day after tomorrow...\Then, why?\I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her, response:	I'd save her if no one else did, or something like that...
context: I've never heard you mention -\I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow,\or even the day after tomorrow...\Then, why?\I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her,\I'd save her if no one else did, or something like that... response:	Now I realise that everything would sort itself out if I left.
context: I decided I wanted to stay here a bit longer.\I wanted to be with you guys tomorrow,\or even the day after tomorrow...\Then, why?\I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her,\I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left. response:	Kawashima, you -
context: I wanted to be with you guys tomorrow,\or even the day after tomorrow...\Then, why?\I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her,\I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left.\Kawashima, you - response:	Wait!
context: or even the day after tomorrow...\Then, why?\I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her,\I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left.\Kawashima, you -\Wait! response:	Why now, of all -
context: Then, why?\I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her,\I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left.\Kawashima, you -\Wait!\Why now, of all - response:	Taiga? I'm really bu -
context: I watched Taiga get hurt, and understood her pain.\I thought that, since I understood her,\I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left.\Kawashima, you -\Wait!\Why now, of all -\Taiga? I'm really bu - response:	What about the shop?
context: I thought that, since I understood her,\I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left.\Kawashima, you -\Wait!\Why now, of all -\Taiga? I'm really bu -\What about the shop? response:	My part-time job at the cake store too...
context: I'd save her if no one else did, or something like that...\Now I realise that everything would sort itself out if I left.\Kawashima, you -\Wait!\Why now, of all -\Taiga? I'm really bu -\What about the shop?\My part-time job at the cake store too... response:	They even made a cute uniform for me...
context: Now I realise that everything would sort itself out if I left.\Kawashima, you -\Wait!\Why now, of all -\Taiga? I'm really bu -\What about the shop?\My part-time job at the cake store too...\They even made a cute uniform for me... response:	I contacted both places.
context: Kawashima, you -\Wait!\Why now, of all -\Taiga? I'm really bu -\What about the shop?\My part-time job at the cake store too...\They even made a cute uniform for me...\I contacted both places. response:	Just rest, and don't worry about anything.
context: Wait!\Why now, of all -\Taiga? I'm really bu -\What about the shop?\My part-time job at the cake store too...\They even made a cute uniform for me...\I contacted both places.\Just rest, and don't worry about anything. response:	Okay...
context: Why now, of all -\Taiga? I'm really bu -\What about the shop?\My part-time job at the cake store too...\They even made a cute uniform for me...\I contacted both places.\Just rest, and don't worry about anything.\Okay... response:	S-Situation...
context: Taiga? I'm really bu -\What about the shop?\My part-time job at the cake store too...\They even made a cute uniform for me...\I contacted both places.\Just rest, and don't worry about anything.\Okay...\S-Situation... response:	Ya-chan is sleeping, shh...
context: What about the shop?\My part-time job at the cake store too...\They even made a cute uniform for me...\I contacted both places.\Just rest, and don't worry about anything.\Okay...\S-Situation...\Ya-chan is sleeping, shh... response:	Ryuuji, how's Ya-chan?
context: My part-time job at the cake store too...\They even made a cute uniform for me...\I contacted both places.\Just rest, and don't worry about anything.\Okay...\S-Situation...\Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan? response:	Oh, don't worry about her.
context: They even made a cute uniform for me...\I contacted both places.\Just rest, and don't worry about anything.\Okay...\S-Situation...\Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan?\Oh, don't worry about her. response:	Thank god, seeing her faint from my window scared the heck out of -
context: I contacted both places.\Just rest, and don't worry about anything.\Okay...\S-Situation...\Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan?\Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of - response:	Ryuuji?
context: Just rest, and don't worry about anything.\Okay...\S-Situation...\Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan?\Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of -\Ryuuji? response:	Hey, where are you going?
context: Okay...\S-Situation...\Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan?\Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of -\Ryuuji?\Hey, where are you going? response:	I'm going to buy something for Yasuko to eat.
context: S-Situation...\Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan?\Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of -\Ryuuji?\Hey, where are you going?\I'm going to buy something for Yasuko to eat. response:	Wait, Ryuuji! What about your coat?
context: Ya-chan is sleeping, shh...\Ryuuji, how's Ya-chan?\Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of -\Ryuuji?\Hey, where are you going?\I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat? response:	Ryuuji?
context: Ryuuji, how's Ya-chan?\Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of -\Ryuuji?\Hey, where are you going?\I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat?\Ryuuji? response:	You left your cell phone, wallet, and key! Your eco-bag too!
context: Oh, don't worry about her.\Thank god, seeing her faint from my window scared the heck out of -\Ryuuji?\Hey, where are you going?\I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat?\Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too! response:	Get a grip on yourself, idiot!
context: Thank god, seeing her faint from my window scared the heck out of -\Ryuuji?\Hey, where are you going?\I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat?\Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot! response:	Geez, put it on already!
context: Ryuuji?\Hey, where are you going?\I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat?\Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot!\Geez, put it on already! response:	You too. Why are you like that?
context: Hey, where are you going?\I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat?\Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot!\Geez, put it on already!\You too. Why are you like that? response:	Wear this.
context: I'm going to buy something for Yasuko to eat.\Wait, Ryuuji! What about your coat?\Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot!\Geez, put it on already!\You too. Why are you like that?\Wear this. response:	No, I'm all right! You wear it!
context: Wait, Ryuuji! What about your coat?\Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot!\Geez, put it on already!\You too. Why are you like that?\Wear this.\No, I'm all right! You wear it! response:	Ryuuji?
context: Ryuuji?\You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot!\Geez, put it on already!\You too. Why are you like that?\Wear this.\No, I'm all right! You wear it!\Ryuuji? response:	Hey, you...
context: You left your cell phone, wallet, and key! Your eco-bag too!\Get a grip on yourself, idiot!\Geez, put it on already!\You too. Why are you like that?\Wear this.\No, I'm all right! You wear it!\Ryuuji?\Hey, you... response:	Go home.
context: Get a grip on yourself, idiot!\Geez, put it on already!\You too. Why are you like that?\Wear this.\No, I'm all right! You wear it!\Ryuuji?\Hey, you...\Go home. response:	No.
context: Geez, put it on already!\You too. Why are you like that?\Wear this.\No, I'm all right! You wear it!\Ryuuji?\Hey, you...\Go home.\No. response:	Go home, seriously.
context: You too. Why are you like that?\Wear this.\No, I'm all right! You wear it!\Ryuuji?\Hey, you...\Go home.\No.\Go home, seriously. response:	No! You're acting all weird now!
context: Wear this.\No, I'm all right! You wear it!\Ryuuji?\Hey, you...\Go home.\No.\Go home, seriously.\No! You're acting all weird now! response:	Just go home!
context: No, I'm all right! You wear it!\Ryuuji?\Hey, you...\Go home.\No.\Go home, seriously.\No! You're acting all weird now!\Just go home! response:	Ryuuj -
context: Ryuuji?\Hey, you...\Go home.\No.\Go home, seriously.\No! You're acting all weird now!\Just go home!\Ryuuj - response:	What were you doing?
context: Hey, you...\Go home.\No.\Go home, seriously.\No! You're acting all weird now!\Just go home!\Ryuuj -\What were you doing? response:	It's all my fault.
context: Go home.\No.\Go home, seriously.\No! You're acting all weird now!\Just go home!\Ryuuj -\What were you doing?\It's all my fault. response:	Yasuko fainted because of me.
context: No.\Go home, seriously.\No! You're acting all weird now!\Just go home!\Ryuuj -\What were you doing?\It's all my fault.\Yasuko fainted because of me. response:	It's my fault...
context: Go home, seriously.\No! You're acting all weird now!\Just go home!\Ryuuj -\What were you doing?\It's all my fault.\Yasuko fainted because of me.\It's my fault... response:	It's all my fault...
context: No! You're acting all weird now!\Just go home!\Ryuuj -\What were you doing?\It's all my fault.\Yasuko fainted because of me.\It's my fault...\It's all my fault... response:	What are you talking about?
context: Just go home!\Ryuuj -\What were you doing?\It's all my fault.\Yasuko fainted because of me.\It's my fault...\It's all my fault...\What are you talking about? response:	She has anaemia! It's her body!
context: Ryuuj -\What were you doing?\It's all my fault.\Yasuko fainted because of me.\It's my fault...\It's all my fault...\What are you talking about?\She has anaemia! It's her body! response:	It's not your fault!
context: What were you doing?\It's all my fault.\Yasuko fainted because of me.\It's my fault...\It's all my fault...\What are you talking about?\She has anaemia! It's her body!\It's not your fault! response:	If I wasn't so useless,
context: It's all my fault.\Yasuko fainted because of me.\It's my fault...\It's all my fault...\What are you talking about?\She has anaemia! It's her body!\It's not your fault!\If I wasn't so useless, response:	Yasuko would have more faith and trust in me...
context: Yasuko fainted because of me.\It's my fault...\It's all my fault...\What are you talking about?\She has anaemia! It's her body!\It's not your fault!\If I wasn't so useless,\Yasuko would have more faith and trust in me... response:	She would rely on me more, and then things like this would never happen...
context: It's my fault...\It's all my fault...\What are you talking about?\She has anaemia! It's her body!\It's not your fault!\If I wasn't so useless,\Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen... response:	Ryuuji!
context: It's all my fault...\What are you talking about?\She has anaemia! It's her body!\It's not your fault!\If I wasn't so useless,\Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen...\Ryuuji! response:	Ryuuji...
context: What are you talking about?\She has anaemia! It's her body!\It's not your fault!\If I wasn't so useless,\Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen...\Ryuuji!\Ryuuji... response:	What should I do?
context: She has anaemia! It's her body!\It's not your fault!\If I wasn't so useless,\Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen...\Ryuuji!\Ryuuji...\What should I do? response:	It's all right!
context: It's not your fault!\If I wasn't so useless,\Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen...\Ryuuji!\Ryuuji...\What should I do?\It's all right! response:	It's... all right?
context: If I wasn't so useless,\Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen...\Ryuuji!\Ryuuji...\What should I do?\It's all right!\It's... all right? response:	Yeah, it's all right!
context: Yasuko would have more faith and trust in me...\She would rely on me more, and then things like this would never happen...\Ryuuji!\Ryuuji...\What should I do?\It's all right!\It's... all right?\Yeah, it's all right! response:	It's all right, I'm a super mum!
context: She would rely on me more, and then things like this would never happen...\Ryuuji!\Ryuuji...\What should I do?\It's all right!\It's... all right?\Yeah, it's all right!\It's all right, I'm a super mum! response:	Ryuuji...
context: Ryuuji!\Ryuuji...\What should I do?\It's all right!\It's... all right?\Yeah, it's all right!\It's all right, I'm a super mum!\Ryuuji... response:	What's wrong?
context: Ryuuji...\What should I do?\It's all right!\It's... all right?\Yeah, it's all right!\It's all right, I'm a super mum!\Ryuuji...\What's wrong? response:	Don't go...
context: What should I do?\It's all right!\It's... all right?\Yeah, it's all right!\It's all right, I'm a super mum!\Ryuuji...\What's wrong?\Don't go... response:	I'm fine now.
context: It's all right!\It's... all right?\Yeah, it's all right!\It's all right, I'm a super mum!\Ryuuji...\What's wrong?\Don't go...\I'm fine now. response:	I have somewhere to go.
context: It's... all right?\Yeah, it's all right!\It's all right, I'm a super mum!\Ryuuji...\What's wrong?\Don't go...\I'm fine now.\I have somewhere to go. response:	That's troublesome...
context: Yeah, it's all right!\It's all right, I'm a super mum!\Ryuuji...\What's wrong?\Don't go...\I'm fine now.\I have somewhere to go.\That's troublesome... response:	Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.
context: It's all right, I'm a super mum!\Ryuuji...\What's wrong?\Don't go...\I'm fine now.\I have somewhere to go.\That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day. response:	I'm sorry, she really can't come.
context: Ryuuji...\What's wrong?\Don't go...\I'm fine now.\I have somewhere to go.\That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come. response:	I don't think I'll be able to find a substitute at this time...
context: What's wrong?\Don't go...\I'm fine now.\I have somewhere to go.\That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time... response:	I'm sorry!
context: Don't go...\I'm fine now.\I have somewhere to go.\That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time...\I'm sorry! response:	I'll do it.
context: I'm fine now.\I have somewhere to go.\That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time...\I'm sorry!\I'll do it. response:	You can?
context: I have somewhere to go.\That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time...\I'm sorry!\I'll do it.\You can? response:	I'm saved!
context: That's troublesome...\Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time...\I'm sorry!\I'll do it.\You can?\I'm saved! response:	Taiga?
context: Tomorrow and the day after tomorrow are the busiest times because of Valentine's Day.\I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time...\I'm sorry!\I'll do it.\You can?\I'm saved!\Taiga? response:	It's not for you.
context: I'm sorry, she really can't come.\I don't think I'll be able to find a substitute at this time...\I'm sorry!\I'll do it.\You can?\I'm saved!\Taiga?\It's not for you. response:	I want to do something for Ya-chan.
context: I don't think I'll be able to find a substitute at this time...\I'm sorry!\I'll do it.\You can?\I'm saved!\Taiga?\It's not for you.\I want to do something for Ya-chan. response:	I'll help too!
context: I'm sorry!\I'll do it.\You can?\I'm saved!\Taiga?\It's not for you.\I want to do something for Ya-chan.\I'll help too! response:	I was fired from my part-time job at the cake shop?
context: I'll do it.\You can?\I'm saved!\Taiga?\It's not for you.\I want to do something for Ya-chan.\I'll help too!\I was fired from my part-time job at the cake shop? response:	But -
context: You can?\I'm saved!\Taiga?\It's not for you.\I want to do something for Ya-chan.\I'll help too!\I was fired from my part-time job at the cake shop?\But - response:	It's only natural.
context: I'm saved!\Taiga?\It's not for you.\I want to do something for Ya-chan.\I'll help too!\I was fired from my part-time job at the cake shop?\But -\It's only natural. response:	I'm sure I'll be able to find another job.
context: Taiga?\It's not for you.\I want to do something for Ya-chan.\I'll help too!\I was fired from my part-time job at the cake shop?\But -\It's only natural.\I'm sure I'll be able to find another job. response:	W-Why are you comforting me?
context: It's not for you.\I want to do something for Ya-chan.\I'll help too!\I was fired from my part-time job at the cake shop?\But -\It's only natural.\I'm sure I'll be able to find another job.\W-Why are you comforting me? response:	W-Wel...
context: I want to do something for Ya-chan.\I'll help too!\I was fired from my part-time job at the cake shop?\But -\It's only natural.\I'm sure I'll be able to find another job.\W-Why are you comforting me?\W-Wel... response:	No one's coming...
context: I'll help too!\I was fired from my part-time job at the cake shop?\But -\It's only natural.\I'm sure I'll be able to find another job.\W-Why are you comforting me?\W-Wel...\No one's coming... response:	Say it with a stronger voice!
context: I was fired from my part-time job at the cake shop?\But -\It's only natural.\I'm sure I'll be able to find another job.\W-Why are you comforting me?\W-Wel...\No one's coming...\Say it with a stronger voice! response:	I mean, your face wasn't born for advertising food.
context: But -\It's only natural.\I'm sure I'll be able to find another job.\W-Why are you comforting me?\W-Wel...\No one's coming...\Say it with a stronger voice!\I mean, your face wasn't born for advertising food. response:	You...
context: It's only natural.\I'm sure I'll be able to find another job.\W-Why are you comforting me?\W-Wel...\No one's coming...\Say it with a stronger voice!\I mean, your face wasn't born for advertising food.\You... response:	Oh, you guys are really working!
context: I'm sure I'll be able to find another job.\W-Why are you comforting me?\W-Wel...\No one's coming...\Say it with a stronger voice!\I mean, your face wasn't born for advertising food.\You...\Oh, you guys are really working! response:	Yo, Taka-chan!
context: W-Why are you comforting me?\W-Wel...\No one's coming...\Say it with a stronger voice!\I mean, your face wasn't born for advertising food.\You...\Oh, you guys are really working!\Yo, Taka-chan! response:	What are you doing -
context: W-Wel...\No one's coming...\Say it with a stronger voice!\I mean, your face wasn't born for advertising food.\You...\Oh, you guys are really working!\Yo, Taka-chan!\What are you doing - response:	Haruta-kun, which one do you like?
context: No one's coming...\Say it with a stronger voice!\I mean, your face wasn't born for advertising food.\You...\Oh, you guys are really working!\Yo, Taka-chan!\What are you doing -\Haruta-kun, which one do you like? response:	They say if you buy big ones, bad things will happen.
context: Say it with a stronger voice!\I mean, your face wasn't born for advertising food.\You...\Oh, you guys are really working!\Yo, Taka-chan!\What are you doing -\Haruta-kun, which one do you like?\They say if you buy big ones, bad things will happen. response:	I don't think so.
