context: Tetsusaiga's purpose is to suppress the demon blood in Inuyasha. response:	Unless he masters Tetsusaiga...
context: Now's my chance to pierce through Ryukotsusei's heart!\Fool!\Huh?!\I did it!\He pierced through Ryukotsusei's heart!\Did he do it?\It's light!\Tetsusaiga used to be so heavy... response:	but now it feels like it's adhering to my hand.
context: Fool!\Huh?!\I did it!\He pierced through Ryukotsusei's heart!\Did he do it?\It's light!\Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand. response:	How dare he put a blade in me!
context: Huh?!\I did it!\He pierced through Ryukotsusei's heart!\Did he do it?\It's light!\Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand.\How dare he put a blade in me! response:	Little man! You will die!
context: I did it!\He pierced through Ryukotsusei's heart!\Did he do it?\It's light!\Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand.\How dare he put a blade in me!\Little man! You will die! response:	He's not dead yet?!
context: He pierced through Ryukotsusei's heart!\Did he do it?\It's light!\Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand.\How dare he put a blade in me!\Little man! You will die!\He's not dead yet?! response:	What a demon!
context: Did he do it?\It's light!\Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand.\How dare he put a blade in me!\Little man! You will die!\He's not dead yet?!\What a demon! response:	His heart was pierced, yet he acts fine!
context: It's light!\Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand.\How dare he put a blade in me!\Little man! You will die!\He's not dead yet?!\What a demon!\His heart was pierced, yet he acts fine! response:	Ryukotsusei was handful even for Inuyasha's father.
context: Tetsusaiga used to be so heavy...\but now it feels like it's adhering to my hand.\How dare he put a blade in me!\Little man! You will die!\He's not dead yet?!\What a demon!\His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father. response:	Unless his body is chopped into bits, he won't die.
context: but now it feels like it's adhering to my hand.\How dare he put a blade in me!\Little man! You will die!\He's not dead yet?!\What a demon!\His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die. response:	That's!
context: How dare he put a blade in me!\Little man! You will die!\He's not dead yet?!\What a demon!\His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die.\That's! response:	It's my turn now!
context: Little man! You will die!\He's not dead yet?!\What a demon!\His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die.\That's!\It's my turn now! response:	Damn!
context: He's not dead yet?!\What a demon!\His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die.\That's!\It's my turn now!\Damn! response:	His body's so hard!
context: What a demon!\His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die.\That's!\It's my turn now!\Damn!\His body's so hard! response:	I told you that silly sword is useless!
context: His heart was pierced, yet he acts fine!\Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die.\That's!\It's my turn now!\Damn!\His body's so hard!\I told you that silly sword is useless! response:	This smell... the Wind Scar?
context: Ryukotsusei was handful even for Inuyasha's father.\Unless his body is chopped into bits, he won't die.\That's!\It's my turn now!\Damn!\His body's so hard!\I told you that silly sword is useless!\This smell... the Wind Scar? response:	The Wind Scar is twisting around my Tetsusaiga.
context: Unless his body is chopped into bits, he won't die.\That's!\It's my turn now!\Damn!\His body's so hard!\I told you that silly sword is useless!\This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga. response:	Little man, this is it!
context: That's!\It's my turn now!\Damn!\His body's so hard!\I told you that silly sword is useless!\This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it! response:	Ryukotsusei, I'll show you that I'm different now!
context: It's my turn now!\Damn!\His body's so hard!\I told you that silly sword is useless!\This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it!\Ryukotsusei, I'll show you that I'm different now! response:	Wind Scar!
context: Damn!\His body's so hard!\I told you that silly sword is useless!\This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it!\Ryukotsusei, I'll show you that I'm different now!\Wind Scar! response:	Wow... The Wind Scar!
context: His body's so hard!\I told you that silly sword is useless!\This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it!\Ryukotsusei, I'll show you that I'm different now!\Wind Scar!\Wow... The Wind Scar! response:	Amazing!
context: I told you that silly sword is useless!\This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it!\Ryukotsusei, I'll show you that I'm different now!\Wind Scar!\Wow... The Wind Scar!\Amazing! response:	Inuyasha!
context: This smell... the Wind Scar?\The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it!\Ryukotsusei, I'll show you that I'm different now!\Wind Scar!\Wow... The Wind Scar!\Amazing!\Inuyasha! response:	Did he beat him?!
context: The Wind Scar is twisting around my Tetsusaiga.\Little man, this is it!\Ryukotsusei, I'll show you that I'm different now!\Wind Scar!\Wow... The Wind Scar!\Amazing!\Inuyasha!\Did he beat him?! response:	Not only did it get lighter...!
context: Little man, this is it!\Ryukotsusei, I'll show you that I'm different now!\Wind Scar!\Wow... The Wind Scar!\Amazing!\Inuyasha!\Did he beat him?!\Not only did it get lighter...! response:	I can invoke the Wind Scar at any time!
context: Ryukotsusei, I'll show you that I'm different now!\Wind Scar!\Wow... The Wind Scar!\Amazing!\Inuyasha!\Did he beat him?!\Not only did it get lighter...!\I can invoke the Wind Scar at any time! response:	Hey, did you see this, Totosai?! I did it!
context: Wind Scar!\Wow... The Wind Scar!\Amazing!\Inuyasha!\Did he beat him?!\Not only did it get lighter...!\I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it! response:	Well, I'll give you points for that.
context: Wow... The Wind Scar!\Amazing!\Inuyasha!\Did he beat him?!\Not only did it get lighter...!\I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that. response:	But it's too early to rest on your laurels.
context: Amazing!\Inuyasha!\Did he beat him?!\Not only did it get lighter...!\I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that.\But it's too early to rest on your laurels. response:	Huh?
context: Inuyasha!\Did he beat him?!\Not only did it get lighter...!\I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that.\But it's too early to rest on your laurels.\Huh? response:	W-what?!
context: Did he beat him?!\Not only did it get lighter...!\I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that.\But it's too early to rest on your laurels.\Huh?\W-what?! response:	Is that all you have, little man?
context: Not only did it get lighter...!\I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that.\But it's too early to rest on your laurels.\Huh?\W-what?!\Is that all you have, little man? response:	You disappoint me.
context: I can invoke the Wind Scar at any time!\Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that.\But it's too early to rest on your laurels.\Huh?\W-what?!\Is that all you have, little man?\You disappoint me. response:	Did you think you could defeat me with that?
context: Hey, did you see this, Totosai?! I did it!\Well, I'll give you points for that.\But it's too early to rest on your laurels.\Huh?\W-what?!\Is that all you have, little man?\You disappoint me.\Did you think you could defeat me with that? response:	W-what is he anyway?!
context: Well, I'll give you points for that.\But it's too early to rest on your laurels.\Huh?\W-what?!\Is that all you have, little man?\You disappoint me.\Did you think you could defeat me with that?\W-what is he anyway?! response:	He was hit with the Wind Scar, yet it didn't even affect him.
context: But it's too early to rest on your laurels.\Huh?\W-what?!\Is that all you have, little man?\You disappoint me.\Did you think you could defeat me with that?\W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him. response:	I told you so...
context: Huh?\W-what?!\Is that all you have, little man?\You disappoint me.\Did you think you could defeat me with that?\W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him.\I told you so... response:	I told you... my body is harder than armor.
context: W-what?!\Is that all you have, little man?\You disappoint me.\Did you think you could defeat me with that?\W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him.\I told you so...\I told you... my body is harder than armor. response:	Now then, it's my turn!
context: Is that all you have, little man?\You disappoint me.\Did you think you could defeat me with that?\W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him.\I told you so...\I told you... my body is harder than armor.\Now then, it's my turn! response:	No good. Inuyasha, you'd better get away.
context: You disappoint me.\Did you think you could defeat me with that?\W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him.\I told you so...\I told you... my body is harder than armor.\Now then, it's my turn!\No good. Inuyasha, you'd better get away. response:	He's serious.
context: Did you think you could defeat me with that?\W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him.\I told you so...\I told you... my body is harder than armor.\Now then, it's my turn!\No good. Inuyasha, you'd better get away.\He's serious. response:	What?!
context: W-what is he anyway?!\He was hit with the Wind Scar, yet it didn't even affect him.\I told you so...\I told you... my body is harder than armor.\Now then, it's my turn!\No good. Inuyasha, you'd better get away.\He's serious.\What?! response:	What is this... tremendous evil aura?!
context: He was hit with the Wind Scar, yet it didn't even affect him.\I told you so...\I told you... my body is harder than armor.\Now then, it's my turn!\No good. Inuyasha, you'd better get away.\He's serious.\What?!\What is this... tremendous evil aura?! response:	It's no time to be impressed! Hurry and run!
context: I told you so...\I told you... my body is harder than armor.\Now then, it's my turn!\No good. Inuyasha, you'd better get away.\He's serious.\What?!\What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run! response:	No can do!
context: I told you... my body is harder than armor.\Now then, it's my turn!\No good. Inuyasha, you'd better get away.\He's serious.\What?!\What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run!\No can do! response:	Ryukotsusei is so ready to fight!
context: Now then, it's my turn!\No good. Inuyasha, you'd better get away.\He's serious.\What?!\What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run!\No can do!\Ryukotsusei is so ready to fight! response:	Look, you can wield Tetsusaiga now. Leave it at that.
context: No good. Inuyasha, you'd better get away.\He's serious.\What?!\What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run!\No can do!\Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that. response:	Inuyasha!
context: He's serious.\What?!\What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run!\No can do!\Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha! response:	Stop idle talk!
context: What?!\What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run!\No can do!\Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha!\Stop idle talk! response:	I've been waiting for something like this!
context: What is this... tremendous evil aura?!\It's no time to be impressed! Hurry and run!\No can do!\Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha!\Stop idle talk!\I've been waiting for something like this! response:	Besides, if I defeat this thing, I'll surpass my old man!
context: It's no time to be impressed! Hurry and run!\No can do!\Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha!\Stop idle talk!\I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man! response:	Little man! Go join your father!
context: No can do!\Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha!\Stop idle talk!\I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father! response:	It's huge!
context: Ryukotsusei is so ready to fight!\Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha!\Stop idle talk!\I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father!\It's huge! response:	We'll get caught in it!
context: Look, you can wield Tetsusaiga now. Leave it at that.\Inuyasha!\Stop idle talk!\I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father!\It's huge!\We'll get caught in it! response:	Kirara, move away.
context: Inuyasha!\Stop idle talk!\I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father!\It's huge!\We'll get caught in it!\Kirara, move away. response:	A ball of evil aura, incomparably stronger than the ones before!
context: Stop idle talk!\I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father!\It's huge!\We'll get caught in it!\Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before! response:	Inuyasha!
context: I've been waiting for something like this!\Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father!\It's huge!\We'll get caught in it!\Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before!\Inuyasha! response:	Fool!
context: Besides, if I defeat this thing, I'll surpass my old man!\Little man! Go join your father!\It's huge!\We'll get caught in it!\Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before!\Inuyasha!\Fool! response:	In order to destroy Ryukotsusei's steel-hard body...
context: Little man! Go join your father!\It's huge!\We'll get caught in it!\Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before!\Inuyasha!\Fool!\In order to destroy Ryukotsusei's steel-hard body... response:	Inuyasha must summon the Backlash Wave.
context: It's huge!\We'll get caught in it!\Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before!\Inuyasha!\Fool!\In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave. response:	But the way he is now, Inuyasha can't...
context: We'll get caught in it!\Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before!\Inuyasha!\Fool!\In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't... response:	I can't thwart it!
context: Kirara, move away.\A ball of evil aura, incomparably stronger than the ones before!\Inuyasha!\Fool!\In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't...\I can't thwart it! response:	You can't run away now!
context: A ball of evil aura, incomparably stronger than the ones before!\Inuyasha!\Fool!\In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't...\I can't thwart it!\You can't run away now! response:	Well then...
context: Inuyasha!\Fool!\In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't...\I can't thwart it!\You can't run away now!\Well then... response:	I just have to cut it!
context: Fool!\In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't...\I can't thwart it!\You can't run away now!\Well then...\I just have to cut it! response:	A ball of evil aura, uncomparably stronger than the ones before!
context: In order to destroy Ryukotsusei's steel-hard body...\Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't...\I can't thwart it!\You can't run away now!\Well then...\I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before! response:	You can't run away now!
context: Inuyasha must summon the Backlash Wave.\But the way he is now, Inuyasha can't...\I can't thwart it!\You can't run away now!\Well then...\I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now! response:	Well then... I just have to cut it!
context: But the way he is now, Inuyasha can't...\I can't thwart it!\You can't run away now!\Well then...\I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now!\Well then... I just have to cut it! response:	What was that?!
context: I can't thwart it!\You can't run away now!\Well then...\I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now!\Well then... I just have to cut it!\What was that?! response:	It couldn't be...
context: You can't run away now!\Well then...\I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now!\Well then... I just have to cut it!\What was that?!\It couldn't be... response:	Huh?!
context: Well then...\I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now!\Well then... I just have to cut it!\What was that?!\It couldn't be...\Huh?! response:	He used the Backlash Wave.
context: I just have to cut it!\A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now!\Well then... I just have to cut it!\What was that?!\It couldn't be...\Huh?!\He used the Backlash Wave. response:	It's that flow!
context: A ball of evil aura, uncomparably stronger than the ones before!\You can't run away now!\Well then... I just have to cut it!\What was that?!\It couldn't be...\Huh?!\He used the Backlash Wave.\It's that flow! response:	If I cut through that smoldering spot with the Wind Scar...!
context: You can't run away now!\Well then... I just have to cut it!\What was that?!\It couldn't be...\Huh?!\He used the Backlash Wave.\It's that flow!\If I cut through that smoldering spot with the Wind Scar...! response:	Right here!
context: Well then... I just have to cut it!\What was that?!\It couldn't be...\Huh?!\He used the Backlash Wave.\It's that flow!\If I cut through that smoldering spot with the Wind Scar...!\Right here! response:	What?! The little man's sword has swallowed up my evil aura!
context: What was that?!\It couldn't be...\Huh?!\He used the Backlash Wave.\It's that flow!\If I cut through that smoldering spot with the Wind Scar...!\Right here!\What?! The little man's sword has swallowed up my evil aura! response:	How can this happen?!
context: It couldn't be...\Huh?!\He used the Backlash Wave.\It's that flow!\If I cut through that smoldering spot with the Wind Scar...!\Right here!\What?! The little man's sword has swallowed up my evil aura!\How can this happen?! response:	The whirlpool of Tetsusaiga's aura...
context: Huh?!\He used the Backlash Wave.\It's that flow!\If I cut through that smoldering spot with the Wind Scar...!\Right here!\What?! The little man's sword has swallowed up my evil aura!\How can this happen?!\The whirlpool of Tetsusaiga's aura... response:	is pushing back Ryukotsusei's evil aura.
context: He used the Backlash Wave.\It's that flow!\If I cut through that smoldering spot with the Wind Scar...!\Right here!\What?! The little man's sword has swallowed up my evil aura!\How can this happen?!\The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura. response:	This can't be... happening!!
context: It's that flow!\If I cut through that smoldering spot with the Wind Scar...!\Right here!\What?! The little man's sword has swallowed up my evil aura!\How can this happen?!\The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura.\This can't be... happening!! response:	My body... My steel body...
context: If I cut through that smoldering spot with the Wind Scar...!\Right here!\What?! The little man's sword has swallowed up my evil aura!\How can this happen?!\The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura.\This can't be... happening!!\My body... My steel body... response:	What...? What was that?
context: Right here!\What?! The little man's sword has swallowed up my evil aura!\How can this happen?!\The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura.\This can't be... happening!!\My body... My steel body...\What...? What was that? response:	It was totally different from other Wind Scars...
context: What?! The little man's sword has swallowed up my evil aura!\How can this happen?!\The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura.\This can't be... happening!!\My body... My steel body...\What...? What was that?\It was totally different from other Wind Scars... response:	Inuyasha!
context: How can this happen?!\The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura.\This can't be... happening!!\My body... My steel body...\What...? What was that?\It was totally different from other Wind Scars...\Inuyasha! response:	Kagome...
context: The whirlpool of Tetsusaiga's aura...\is pushing back Ryukotsusei's evil aura.\This can't be... happening!!\My body... My steel body...\What...? What was that?\It was totally different from other Wind Scars...\Inuyasha!\Kagome... response:	Inuyasha! You did it! Awesome!
context: is pushing back Ryukotsusei's evil aura.\This can't be... happening!!\My body... My steel body...\What...? What was that?\It was totally different from other Wind Scars...\Inuyasha!\Kagome...\Inuyasha! You did it! Awesome! response:	There's hide nor hair left of that Ryukotsusei!
context: This can't be... happening!!\My body... My steel body...\What...? What was that?\It was totally different from other Wind Scars...\Inuyasha!\Kagome...\Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei! response:	Amazing! How'd you do it anyway?
context: My body... My steel body...\What...? What was that?\It was totally different from other Wind Scars...\Inuyasha!\Kagome...\Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway? response:	Huh? That?
context: What...? What was that?\It was totally different from other Wind Scars...\Inuyasha!\Kagome...\Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway?\Huh? That? response:	Master Inuyasha, how impressive!
context: It was totally different from other Wind Scars...\Inuyasha!\Kagome...\Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway?\Huh? That?\Master Inuyasha, how impressive! response:	I knew from the start you had the power.
context: Inuyasha!\Kagome...\Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway?\Huh? That?\Master Inuyasha, how impressive!\I knew from the start you had the power. response:	Old Myoga had you written off the whole time.
context: Kagome...\Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway?\Huh? That?\Master Inuyasha, how impressive!\I knew from the start you had the power.\Old Myoga had you written off the whole time. response:	Hmmm...
context: Inuyasha! You did it! Awesome!\There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway?\Huh? That?\Master Inuyasha, how impressive!\I knew from the start you had the power.\Old Myoga had you written off the whole time.\Hmmm... response:	I see, Totosai, you...
context: There's hide nor hair left of that Ryukotsusei!\Amazing! How'd you do it anyway?\Huh? That?\Master Inuyasha, how impressive!\I knew from the start you had the power.\Old Myoga had you written off the whole time.\Hmmm...\I see, Totosai, you... response:	Huh?
context: Amazing! How'd you do it anyway?\Huh? That?\Master Inuyasha, how impressive!\I knew from the start you had the power.\Old Myoga had you written off the whole time.\Hmmm...\I see, Totosai, you...\Huh? response:	You're pretty thoughtful sometimes!
context: Huh? That?\Master Inuyasha, how impressive!\I knew from the start you had the power.\Old Myoga had you written off the whole time.\Hmmm...\I see, Totosai, you...\Huh?\You're pretty thoughtful sometimes! response:	What'd you do to Tetsusaiga?
context: Master Inuyasha, how impressive!\I knew from the start you had the power.\Old Myoga had you written off the whole time.\Hmmm...\I see, Totosai, you...\Huh?\You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga? response:	It's much better than before!
context: I knew from the start you had the power.\Old Myoga had you written off the whole time.\Hmmm...\I see, Totosai, you...\Huh?\You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga?\It's much better than before! response:	Then you... used the sword without realizing a thing?
context: Old Myoga had you written off the whole time.\Hmmm...\I see, Totosai, you...\Huh?\You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga?\It's much better than before!\Then you... used the sword without realizing a thing? response:	Huh?
context: Hmmm...\I see, Totosai, you...\Huh?\You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga?\It's much better than before!\Then you... used the sword without realizing a thing?\Huh? response:	That was the ultimate technique of Tetsusaiga... the Backlash Wave.
context: I see, Totosai, you...\Huh?\You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga?\It's much better than before!\Then you... used the sword without realizing a thing?\Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave. response:	Backlash Wave?
context: Huh?\You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga?\It's much better than before!\Then you... used the sword without realizing a thing?\Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave? response:	Huh? That was the Backlash Wave just now?
context: You're pretty thoughtful sometimes!\What'd you do to Tetsusaiga?\It's much better than before!\Then you... used the sword without realizing a thing?\Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave?\Huh? That was the Backlash Wave just now? response:	Precisely.
context: What'd you do to Tetsusaiga?\It's much better than before!\Then you... used the sword without realizing a thing?\Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave?\Huh? That was the Backlash Wave just now?\Precisely. response:	Backlash Wave...
context: It's much better than before!\Then you... used the sword without realizing a thing?\Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave?\Huh? That was the Backlash Wave just now?\Precisely.\Backlash Wave... response:	twists the opponent's evil aura around the Wind Scar...
context: Then you... used the sword without realizing a thing?\Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave?\Huh? That was the Backlash Wave just now?\Precisely.\Backlash Wave...\twists the opponent's evil aura around the Wind Scar... response:	and reverses the flow of the evil aura.
context: Huh?\That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave?\Huh? That was the Backlash Wave just now?\Precisely.\Backlash Wave...\twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura. response:	Twists it around the Wind Scar...
context: That was the ultimate technique of Tetsusaiga... the Backlash Wave.\Backlash Wave?\Huh? That was the Backlash Wave just now?\Precisely.\Backlash Wave...\twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura.\Twists it around the Wind Scar... response:	and reverse the evil aura?
context: Backlash Wave?\Huh? That was the Backlash Wave just now?\Precisely.\Backlash Wave...\twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura.\Twists it around the Wind Scar...\and reverse the evil aura? response:	The Wind Scar and the evil aura are pushed back as whirlpools.
context: Huh? That was the Backlash Wave just now?\Precisely.\Backlash Wave...\twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura.\Twists it around the Wind Scar...\and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools. response:	In other words, the opponent is thrust with...
context: Precisely.\Backlash Wave...\twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura.\Twists it around the Wind Scar...\and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with... response:	the Wind Scar and his own evil aura simultaneously.
context: Backlash Wave...\twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura.\Twists it around the Wind Scar...\and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously. response:	Anyway, that's the rationale.
context: twists the opponent's evil aura around the Wind Scar...\and reverses the flow of the evil aura.\Twists it around the Wind Scar...\and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale. response:	But you had to be able to discern where to cut through the evil aura.
context: and reverses the flow of the evil aura.\Twists it around the Wind Scar...\and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura. response:	And unless your will was stronger than his enemy's evil aura...
context: Twists it around the Wind Scar...\and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura... response:	it would've been impossible.
context: and reverse the evil aura?\The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura...\it would've been impossible. response:	I'm impressed, Inuyasha!
context: The Wind Scar and the evil aura are pushed back as whirlpools.\In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura...\it would've been impossible.\I'm impressed, Inuyasha! response:	Hmm... I just cut through the spot that seemed funny.
context: In other words, the opponent is thrust with...\the Wind Scar and his own evil aura simultaneously.\Anyway, that's the rationale.\But you had to be able to discern where to cut through the evil aura.\And unless your will was stronger than his enemy's evil aura...\it would've been impossible.\I'm impressed, Inuyasha!\Hmm... I just cut through the spot that seemed funny. response:	He's gone beyond the reasoning.
