context: Hey, Izuna. response:	What, please?
context: Don't worry.\We would've won, no matter what you thought.\Well?\How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly...\It's awesome...\Right? response:	Your first loss hurt,
context: We would've won, no matter what you thought.\Well?\How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly...\It's awesome...\Right?\Your first loss hurt, response:	but that's why it was fun.
context: Well?\How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly...\It's awesome...\Right?\Your first loss hurt,\but that's why it was fun. response:	Once you understand that, you're a friend of ours.
context: How does it feel to know\that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly...\It's awesome...\Right?\Your first loss hurt,\but that's why it was fun.\Once you understand that, you're a friend of ours. response:	You're a gamer now.
context: that there's an enemy you can't defeat, no matter how hard you try?\To put it mildly...\It's awesome...\Right?\Your first loss hurt,\but that's why it was fun.\Once you understand that, you're a friend of ours.\You're a gamer now. response:	Next time, I won't lose!
context: To put it mildly...\It's awesome...\Right?\Your first loss hurt,\but that's why it was fun.\Once you understand that, you're a friend of ours.\You're a gamer now.\Next time, I won't lose! response:	You know, you seem to have the wrong idea about this.
context: It's awesome...\Right?\Your first loss hurt,\but that's why it was fun.\Once you understand that, you're a friend of ours.\You're a gamer now.\Next time, I won't lose!\You know, you seem to have the wrong idea about this. response:	Nobody's going to die, and nobody's going to suffer.
context: Right?\Your first loss hurt,\but that's why it was fun.\Once you understand that, you're a friend of ours.\You're a gamer now.\Next time, I won't lose!\You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer. response:	This world is a game.
context: Your first loss hurt,\but that's why it was fun.\Once you understand that, you're a friend of ours.\You're a gamer now.\Next time, I won't lose!\You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer.\This world is a game. response:	Everyone here fails to understand that.
context: but that's why it was fun.\Once you understand that, you're a friend of ours.\You're a gamer now.\Next time, I won't lose!\You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer.\This world is a game.\Everyone here fails to understand that. response:	The wisdom to predict the future,
context: Once you understand that, you're a friend of ours.\You're a gamer now.\Next time, I won't lose!\You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer.\This world is a game.\Everyone here fails to understand that.\The wisdom to predict the future, response:	born of Imanity's learning and experience...
context: You're a gamer now.\Next time, I won't lose!\You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer.\This world is a game.\Everyone here fails to understand that.\The wisdom to predict the future,\born of Imanity's learning and experience... response:	Fine. I'll believe in it.
context: Next time, I won't lose!\You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer.\This world is a game.\Everyone here fails to understand that.\The wisdom to predict the future,\born of Imanity's learning and experience...\Fine. I'll believe in it. response:	Fi, we're heading home.
context: You know, you seem to have the wrong idea about this.\Nobody's going to die, and nobody's going to suffer.\This world is a game.\Everyone here fails to understand that.\The wisdom to predict the future,\born of Imanity's learning and experience...\Fine. I'll believe in it.\Fi, we're heading home. response:	There's a lot to do.
context: Nobody's going to die, and nobody's going to suffer.\This world is a game.\Everyone here fails to understand that.\The wisdom to predict the future,\born of Imanity's learning and experience...\Fine. I'll believe in it.\Fi, we're heading home.\There's a lot to do. response:	Right.
context: This world is a game.\Everyone here fails to understand that.\The wisdom to predict the future,\born of Imanity's learning and experience...\Fine. I'll believe in it.\Fi, we're heading home.\There's a lot to do.\Right. response:	I hate baths.
context: Everyone here fails to understand that.\The wisdom to predict the future,\born of Imanity's learning and experience...\Fine. I'll believe in it.\Fi, we're heading home.\There's a lot to do.\Right.\I hate baths. response:	I totally agree,
context: The wisdom to predict the future,\born of Imanity's learning and experience...\Fine. I'll believe in it.\Fi, we're heading home.\There's a lot to do.\Right.\I hate baths.\I totally agree, response:	but right now, your objection is denied.
context: born of Imanity's learning and experience...\Fine. I'll believe in it.\Fi, we're heading home.\There's a lot to do.\Right.\I hate baths.\I totally agree,\but right now, your objection is denied. response:	Master, you're really into this today.
context: Fine. I'll believe in it.\Fi, we're heading home.\There's a lot to do.\Right.\I hate baths.\I totally agree,\but right now, your objection is denied.\Master, you're really into this today. response:	I was so excited about washing Izuna-tan's tail.
context: Fi, we're heading home.\There's a lot to do.\Right.\I hate baths.\I totally agree,\but right now, your objection is denied.\Master, you're really into this today.\I was so excited about washing Izuna-tan's tail. response:	That tickles!
context: There's a lot to do.\Right.\I hate baths.\I totally agree,\but right now, your objection is denied.\Master, you're really into this today.\I was so excited about washing Izuna-tan's tail.\That tickles! response:	You're sure getting along well now,
context: Right.\I hate baths.\I totally agree,\but right now, your objection is denied.\Master, you're really into this today.\I was so excited about washing Izuna-tan's tail.\That tickles!\You're sure getting along well now, response:	especially given how pessimistic you were after the fight.
context: I hate baths.\I totally agree,\but right now, your objection is denied.\Master, you're really into this today.\I was so excited about washing Izuna-tan's tail.\That tickles!\You're sure getting along well now,\especially given how pessimistic you were after the fight. response:	Brother talked to Izuna-tan afterwards.
context: I totally agree,\but right now, your objection is denied.\Master, you're really into this today.\I was so excited about washing Izuna-tan's tail.\That tickles!\You're sure getting along well now,\especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards. response:	He told her why nobody will suffer even if the Eastern Federation
context: but right now, your objection is denied.\Master, you're really into this today.\I was so excited about washing Izuna-tan's tail.\That tickles!\You're sure getting along well now,\especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation response:	is absorbed into Elkia.
context: Master, you're really into this today.\I was so excited about washing Izuna-tan's tail.\That tickles!\You're sure getting along well now,\especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia. response:	What is it?
context: I was so excited about washing Izuna-tan's tail.\That tickles!\You're sure getting along well now,\especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia.\What is it? response:	Huh?
context: That tickles!\You're sure getting along well now,\especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia.\What is it?\Huh? response:	What lies did you tell to deceive Izuna,
context: You're sure getting along well now,\especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia.\What is it?\Huh?\What lies did you tell to deceive Izuna, response:	you bald monkey?
context: especially given how pessimistic you were after the fight.\Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia.\What is it?\Huh?\What lies did you tell to deceive Izuna,\you bald monkey? response:	Lies?
context: Brother talked to Izuna-tan afterwards.\He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia.\What is it?\Huh?\What lies did you tell to deceive Izuna,\you bald monkey?\Lies? response:	I only told her the truth.
context: He told her why nobody will suffer even if the Eastern Federation\is absorbed into Elkia.\What is it?\Huh?\What lies did you tell to deceive Izuna,\you bald monkey?\Lies?\I only told her the truth. response:	What?
context: is absorbed into Elkia.\What is it?\Huh?\What lies did you tell to deceive Izuna,\you bald monkey?\Lies?\I only told her the truth.\What? response:	Don't worry.
context: What is it?\Huh?\What lies did you tell to deceive Izuna,\you bald monkey?\Lies?\I only told her the truth.\What?\Don't worry. response:	Even if I told you, there's nothing you could do.
context: Huh?\What lies did you tell to deceive Izuna,\you bald monkey?\Lies?\I only told her the truth.\What?\Don't worry.\Even if I told you, there's nothing you could do. response:	Besides...
context: What lies did you tell to deceive Izuna,\you bald monkey?\Lies?\I only told her the truth.\What?\Don't worry.\Even if I told you, there's nothing you could do.\Besides... response:	Oh, no! Oh, no!
context: you bald monkey?\Lies?\I only told her the truth.\What?\Don't worry.\Even if I told you, there's nothing you could do.\Besides...\Oh, no! Oh, no! response:	The Eastern Federation... The Eastern Federation!
context: Lies?\I only told her the truth.\What?\Don't worry.\Even if I told you, there's nothing you could do.\Besides...\Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation! response:	The Eastern Federation moved all of their
context: I only told her the truth.\What?\Don't worry.\Even if I told you, there's nothing you could do.\Besides...\Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their response:	major technology and personnel off the continent
context: What?\Don't worry.\Even if I told you, there's nothing you could do.\Besides...\Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their\major technology and personnel off the continent response:	before the game started, right?
context: Don't worry.\Even if I told you, there's nothing you could do.\Besides...\Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their\major technology and personnel off the continent\before the game started, right? response:	You knew?
context: Even if I told you, there's nothing you could do.\Besides...\Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their\major technology and personnel off the continent\before the game started, right?\You knew? response:	I'd do the same thing, obviously.
context: Besides...\Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their\major technology and personnel off the continent\before the game started, right?\You knew?\I'd do the same thing, obviously. response:	So why didn't you stop them?
context: Oh, no! Oh, no!\The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their\major technology and personnel off the continent\before the game started, right?\You knew?\I'd do the same thing, obviously.\So why didn't you stop them? response:	We managed to take back the continent, but now...
context: The Eastern Federation... The Eastern Federation!\The Eastern Federation moved all of their\major technology and personnel off the continent\before the game started, right?\You knew?\I'd do the same thing, obviously.\So why didn't you stop them?\We managed to take back the continent, but now... response:	It's fine.
context: The Eastern Federation moved all of their\major technology and personnel off the continent\before the game started, right?\You knew?\I'd do the same thing, obviously.\So why didn't you stop them?\We managed to take back the continent, but now...\It's fine. response:	The game isn't over.
context: major technology and personnel off the continent\before the game started, right?\You knew?\I'd do the same thing, obviously.\So why didn't you stop them?\We managed to take back the continent, but now...\It's fine.\The game isn't over. response:	Right,
context: before the game started, right?\You knew?\I'd do the same thing, obviously.\So why didn't you stop them?\We managed to take back the continent, but now...\It's fine.\The game isn't over.\Right, response:	Designated Representative of the Eastern Federation?
context: You knew?\I'd do the same thing, obviously.\So why didn't you stop them?\We managed to take back the continent, but now...\It's fine.\The game isn't over.\Right,\Designated Representative of the Eastern Federation? response:	You guys look like you're having a great time.
context: I'd do the same thing, obviously.\So why didn't you stop them?\We managed to take back the continent, but now...\It's fine.\The game isn't over.\Right,\Designated Representative of the Eastern Federation?\You guys look like you're having a great time. response:	May I join you?
context: So why didn't you stop them?\We managed to take back the continent, but now...\It's fine.\The game isn't over.\Right,\Designated Representative of the Eastern Federation?\You guys look like you're having a great time.\May I join you? response:	The shrine...
context: We managed to take back the continent, but now...\It's fine.\The game isn't over.\Right,\Designated Representative of the Eastern Federation?\You guys look like you're having a great time.\May I join you?\The shrine... response:	The shrine priestess?
context: It's fine.\The game isn't over.\Right,\Designated Representative of the Eastern Federation?\You guys look like you're having a great time.\May I join you?\The shrine...\The shrine priestess? response:	I'm the Shrine Priestess.
context: The game isn't over.\Right,\Designated Representative of the Eastern Federation?\You guys look like you're having a great time.\May I join you?\The shrine...\The shrine priestess?\I'm the Shrine Priestess. response:	Nice to meet you.
context: Right,\Designated Representative of the Eastern Federation?\You guys look like you're having a great time.\May I join you?\The shrine...\The shrine priestess?\I'm the Shrine Priestess.\Nice to meet you. response:	Eastern Federation Capital, Kannagari
context: Designated Representative of the Eastern Federation?\You guys look like you're having a great time.\May I join you?\The shrine...\The shrine priestess?\I'm the Shrine Priestess.\Nice to meet you.\Eastern Federation Capital, Kannagari response:	where we read poetry beneath the light of the moon.
context: You guys look like you're having a great time.\May I join you?\The shrine...\The shrine priestess?\I'm the Shrine Priestess.\Nice to meet you.\Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon. response:	Shrine Priestess's Shrine
context: May I join you?\The shrine...\The shrine priestess?\I'm the Shrine Priestess.\Nice to meet you.\Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine response:	Are you sure you want to let these bald monkeys come here?
context: The shrine...\The shrine priestess?\I'm the Shrine Priestess.\Nice to meet you.\Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here? response:	It's fine, it's fine.
context: The shrine priestess?\I'm the Shrine Priestess.\Nice to meet you.\Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here?\It's fine, it's fine. response:	The game's over, right?
context: I'm the Shrine Priestess.\Nice to meet you.\Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here?\It's fine, it's fine.\The game's over, right? response:	Sorry.
context: Nice to meet you.\Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here?\It's fine, it's fine.\The game's over, right?\Sorry. response:	A golden fox girl!
context: Eastern Federation Capital, Kannagari\where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here?\It's fine, it's fine.\The game's over, right?\Sorry.\A golden fox girl! response:	Can I take a picture?
context: where we read poetry beneath the light of the moon.\Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here?\It's fine, it's fine.\The game's over, right?\Sorry.\A golden fox girl!\Can I take a picture? response:	Stop it! These are VIPs from another country!
context: Shrine Priestess's Shrine\Are you sure you want to let these bald monkeys come here?\It's fine, it's fine.\The game's over, right?\Sorry.\A golden fox girl!\Can I take a picture?\Stop it! These are VIPs from another country! response:	You need to be polite.
context: Are you sure you want to let these bald monkeys come here?\It's fine, it's fine.\The game's over, right?\Sorry.\A golden fox girl!\Can I take a picture?\Stop it! These are VIPs from another country!\You need to be polite. response:	Still, you really hurt us, bald monkey.
context: It's fine, it's fine.\The game's over, right?\Sorry.\A golden fox girl!\Can I take a picture?\Stop it! These are VIPs from another country!\You need to be polite.\Still, you really hurt us, bald monkey. response:	I'm impressed by the elves.
context: The game's over, right?\Sorry.\A golden fox girl!\Can I take a picture?\Stop it! These are VIPs from another country!\You need to be polite.\Still, you really hurt us, bald monkey.\I'm impressed by the elves. response:	They were faster than I thought.
context: Sorry.\A golden fox girl!\Can I take a picture?\Stop it! These are VIPs from another country!\You need to be polite.\Still, you really hurt us, bald monkey.\I'm impressed by the elves.\They were faster than I thought. response:	The elves?
context: A golden fox girl!\Can I take a picture?\Stop it! These are VIPs from another country!\You need to be polite.\Still, you really hurt us, bald monkey.\I'm impressed by the elves.\They were faster than I thought.\The elves? response:	What do you mean?
context: Can I take a picture?\Stop it! These are VIPs from another country!\You need to be polite.\Still, you really hurt us, bald monkey.\I'm impressed by the elves.\They were faster than I thought.\The elves?\What do you mean? response:	If we move our engineers and goods off of the continent,
context: Stop it! These are VIPs from another country!\You need to be polite.\Still, you really hurt us, bald monkey.\I'm impressed by the elves.\They were faster than I thought.\The elves?\What do you mean?\If we move our engineers and goods off of the continent, response:	you can't make good use of your territory.
context: You need to be polite.\Still, you really hurt us, bald monkey.\I'm impressed by the elves.\They were faster than I thought.\The elves?\What do you mean?\If we move our engineers and goods off of the continent,\you can't make good use of your territory. response:	You'll come to challenge us again.
context: Still, you really hurt us, bald monkey.\I'm impressed by the elves.\They were faster than I thought.\The elves?\What do you mean?\If we move our engineers and goods off of the continent,\you can't make good use of your territory.\You'll come to challenge us again. response:	And then you could destroy us, you thought.
context: I'm impressed by the elves.\They were faster than I thought.\The elves?\What do you mean?\If we move our engineers and goods off of the continent,\you can't make good use of your territory.\You'll come to challenge us again.\And then you could destroy us, you thought. response:	Truly...
context: They were faster than I thought.\The elves?\What do you mean?\If we move our engineers and goods off of the continent,\you can't make good use of your territory.\You'll come to challenge us again.\And then you could destroy us, you thought.\Truly... response:	Who could have guessed you'd use your spy to make contact with the elves,
context: The elves?\What do you mean?\If we move our engineers and goods off of the continent,\you can't make good use of your territory.\You'll come to challenge us again.\And then you could destroy us, you thought.\Truly...\Who could have guessed you'd use your spy to make contact with the elves, response:	and expose the nature of our game to ensure that we couldn't win?
context: What do you mean?\If we move our engineers and goods off of the continent,\you can't make good use of your territory.\You'll come to challenge us again.\And then you could destroy us, you thought.\Truly...\Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win? response:	But...
context: If we move our engineers and goods off of the continent,\you can't make good use of your territory.\You'll come to challenge us again.\And then you could destroy us, you thought.\Truly...\Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win?\But... response:	I expected that.
context: you can't make good use of your territory.\You'll come to challenge us again.\And then you could destroy us, you thought.\Truly...\Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win?\But...\I expected that. response:	Actually, I thought you were Elven Garde spies yourselves.
context: You'll come to challenge us again.\And then you could destroy us, you thought.\Truly...\Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win?\But...\I expected that.\Actually, I thought you were Elven Garde spies yourselves. response:	But I didn't expect
context: And then you could destroy us, you thought.\Truly...\Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win?\But...\I expected that.\Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect response:	you to get Avantheim involved.
context: Truly...\Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win?\But...\I expected that.\Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect\you to get Avantheim involved. response:	How long have you been planning this?
context: Who could have guessed you'd use your spy to make contact with the elves,\and expose the nature of our game to ensure that we couldn't win?\But...\I expected that.\Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect\you to get Avantheim involved.\How long have you been planning this? response:	I may not look it,
context: and expose the nature of our game to ensure that we couldn't win?\But...\I expected that.\Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect\you to get Avantheim involved.\How long have you been planning this?\I may not look it, response:	but I was once a member
context: But...\I expected that.\Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect\you to get Avantheim involved.\How long have you been planning this?\I may not look it,\but I was once a member response:	of the Council of 18 Wings, the Avantheim government.
context: I expected that.\Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect\you to get Avantheim involved.\How long have you been planning this?\I may not look it,\but I was once a member\of the Council of 18 Wings, the Avantheim government. response:	I have a formidable degree of influence.
context: Actually, I thought you were Elven Garde spies yourselves.\But I didn't expect\you to get Avantheim involved.\How long have you been planning this?\I may not look it,\but I was once a member\of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence. response:	Elven Garde, Avantheim, and Elkia.
context: But I didn't expect\you to get Avantheim involved.\How long have you been planning this?\I may not look it,\but I was once a member\of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia. response:	With our tricks revealed to all those nations, we might be able to beat Imanity,
context: you to get Avantheim involved.\How long have you been planning this?\I may not look it,\but I was once a member\of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity, response:	but not the elves or the Flugel.
context: How long have you been planning this?\I may not look it,\but I was once a member\of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel. response:	For goodness' sake...
context: I may not look it,\but I was once a member\of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel.\For goodness' sake... response:	And that's why...
context: but I was once a member\of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel.\For goodness' sake...\And that's why... response:	The Eastern Federation is going to take revenge on Elkia immediately.
context: of the Council of 18 Wings, the Avantheim government.\I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel.\For goodness' sake...\And that's why...\The Eastern Federation is going to take revenge on Elkia immediately. response:	Shrine Priestess?
context: I have a formidable degree of influence.\Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel.\For goodness' sake...\And that's why...\The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess? response:	Shall I say it again?
context: Elven Garde, Avantheim, and Elkia.\With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel.\For goodness' sake...\And that's why...\The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess?\Shall I say it again? response:	You really hurt us, bald monkey.
context: With our tricks revealed to all those nations, we might be able to beat Imanity,\but not the elves or the Flugel.\For goodness' sake...\And that's why...\The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess?\Shall I say it again?\You really hurt us, bald monkey. response:	Your death won't be painless.
context: but not the elves or the Flugel.\For goodness' sake...\And that's why...\The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess?\Shall I say it again?\You really hurt us, bald monkey.\Your death won't be painless. response:	All right.
context: For goodness' sake...\And that's why...\The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess?\Shall I say it again?\You really hurt us, bald monkey.\Your death won't be painless.\All right. response:	I accept your challenge.
context: And that's why...\The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess?\Shall I say it again?\You really hurt us, bald monkey.\Your death won't be painless.\All right.\I accept your challenge. response:	I'm tired of complicated schemes.
context: The Eastern Federation is going to take revenge on Elkia immediately.\Shrine Priestess?\Shall I say it again?\You really hurt us, bald monkey.\Your death won't be painless.\All right.\I accept your challenge.\I'm tired of complicated schemes. response:	Let's settle this quickly with a coin toss.
context: Shrine Priestess?\Shall I say it again?\You really hurt us, bald monkey.\Your death won't be painless.\All right.\I accept your challenge.\I'm tired of complicated schemes.\Let's settle this quickly with a coin toss. response:	Not good enough?
context: Shall I say it again?\You really hurt us, bald monkey.\Your death won't be painless.\All right.\I accept your challenge.\I'm tired of complicated schemes.\Let's settle this quickly with a coin toss.\Not good enough? response:	No, it's just that when I think that half my life
context: You really hurt us, bald monkey.\Your death won't be painless.\All right.\I accept your challenge.\I'm tired of complicated schemes.\Let's settle this quickly with a coin toss.\Not good enough?\No, it's just that when I think that half my life response:	has been utterly destroyed by two bald monkeys,
context: Your death won't be painless.\All right.\I accept your challenge.\I'm tired of complicated schemes.\Let's settle this quickly with a coin toss.\Not good enough?\No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys, response:	and now it all comes down to a coin toss...
context: All right.\I accept your challenge.\I'm tired of complicated schemes.\Let's settle this quickly with a coin toss.\Not good enough?\No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss... response:	It's hilarious.
context: I accept your challenge.\I'm tired of complicated schemes.\Let's settle this quickly with a coin toss.\Not good enough?\No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss...\It's hilarious. response:	I knew it. You're a gamer, too.
context: I'm tired of complicated schemes.\Let's settle this quickly with a coin toss.\Not good enough?\No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss...\It's hilarious.\I knew it. You're a gamer, too. response:	Okay, if I win, Elkia gets all of the Eastern Federation's territory,
context: Let's settle this quickly with a coin toss.\Not good enough?\No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss...\It's hilarious.\I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory, response:	including the island off the continent.
context: Not good enough?\No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss...\It's hilarious.\I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent. response:	If I win, the Warbeasts get the right to self-rule,
context: No, it's just that when I think that half my life\has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss...\It's hilarious.\I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent.\If I win, the Warbeasts get the right to self-rule, response:	guarantees of their rights, and a guarantee of resources from the continent.
context: has been utterly destroyed by two bald monkeys,\and now it all comes down to a coin toss...\It's hilarious.\I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent.\If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent. response:	For all your talk of revenge,
context: and now it all comes down to a coin toss...\It's hilarious.\I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent.\If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge, response:	you're more concerned about preserving the Warbeasts?
context: It's hilarious.\I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent.\If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge,\you're more concerned about preserving the Warbeasts? response:	Either way, once the elves invade, it's over.
context: I knew it. You're a gamer, too.\Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent.\If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge,\you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over. response:	That's all I can do.
context: Okay, if I win, Elkia gets all of the Eastern Federation's territory,\including the island off the continent.\If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge,\you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over.\That's all I can do. response:	So... even if I lose,
context: including the island off the continent.\If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge,\you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over.\That's all I can do.\So... even if I lose, response:	promise you'll take care of Izuna and Ino, and my people.
context: If I win, the Warbeasts get the right to self-rule,\guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge,\you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over.\That's all I can do.\So... even if I lose,\promise you'll take care of Izuna and Ino, and my people. response:	Shrine Priestess...
context: guarantees of their rights, and a guarantee of resources from the continent.\For all your talk of revenge,\you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over.\That's all I can do.\So... even if I lose,\promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess... response:	I've changed my opinion of you.
context: For all your talk of revenge,\you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over.\That's all I can do.\So... even if I lose,\promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess...\I've changed my opinion of you. response:	Just get started.
context: you're more concerned about preserving the Warbeasts?\Either way, once the elves invade, it's over.\That's all I can do.\So... even if I lose,\promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess...\I've changed my opinion of you.\Just get started. response:	Let's start the world's most brutal coin toss.
context: Either way, once the elves invade, it's over.\That's all I can do.\So... even if I lose,\promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess...\I've changed my opinion of you.\Just get started.\Let's start the world's most brutal coin toss. response:	You can pick heads or tails as it lands.
context: That's all I can do.\So... even if I lose,\promise you'll take care of Izuna and Ino, and my people.\Shrine Priestess...\I've changed my opinion of you.\Just get started.\Let's start the world's most brutal coin toss.\You can pick heads or tails as it lands. response:	I'll take the other.
