context: Don't touch me with your right hand! response:	This is the last cherry bomb I have.
context: Jacuzzi!\I knew this would be coming.\I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?!\What have you done?!\Why, you... response:	That's something I'd like to ask you, too.
context: I knew this would be coming.\I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?!\What have you done?!\Why, you...\That's something I'd like to ask you, too. response:	Y-You're...
context: I made several others before you, after all,\and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?!\What have you done?!\Why, you...\That's something I'd like to ask you, too.\Y-You're... response:	That hurt, you know, you dumb ass...
context: and as soon as they got too much knowledge, they turned on me.\I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?!\What have you done?!\Why, you...\That's something I'd like to ask you, too.\Y-You're...\That hurt, you know, you dumb ass... response:	Guys!
context: I won't kill you quickly. I'm going to make you suffer abundantly.\Hey, you! What have you done to Ennis?!\What have you done?!\Why, you...\That's something I'd like to ask you, too.\Y-You're...\That hurt, you know, you dumb ass...\Guys! response:	Hey, Maiza, how come we're not dead?
context: Hey, you! What have you done to Ennis?!\What have you done?!\Why, you...\That's something I'd like to ask you, too.\Y-You're...\That hurt, you know, you dumb ass...\Guys!\Hey, Maiza, how come we're not dead? response:	I see, you're the ones...
context: What have you done?!\Why, you...\That's something I'd like to ask you, too.\Y-You're...\That hurt, you know, you dumb ass...\Guys!\Hey, Maiza, how come we're not dead?\I see, you're the ones... response:	you're the ones who drank it!
context: Why, you...\That's something I'd like to ask you, too.\Y-You're...\That hurt, you know, you dumb ass...\Guys!\Hey, Maiza, how come we're not dead?\I see, you're the ones...\you're the ones who drank it! response:	We've burned gloves and warehouses before...
context: That's something I'd like to ask you, too.\Y-You're...\That hurt, you know, you dumb ass...\Guys!\Hey, Maiza, how come we're not dead?\I see, you're the ones...\you're the ones who drank it!\We've burned gloves and warehouses before... response:	But this is the first time we've ever burned someone's head, huh?
context: Y-You're...\That hurt, you know, you dumb ass...\Guys!\Hey, Maiza, how come we're not dead?\I see, you're the ones...\you're the ones who drank it!\We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh? response:	Please, place your right hand on that man's head!
context: That hurt, you know, you dumb ass...\Guys!\Hey, Maiza, how come we're not dead?\I see, you're the ones...\you're the ones who drank it!\We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head! response:	My right hand?
context: Guys!\Hey, Maiza, how come we're not dead?\I see, you're the ones...\you're the ones who drank it!\We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head!\My right hand? response:	Hurry!
context: Hey, Maiza, how come we're not dead?\I see, you're the ones...\you're the ones who drank it!\We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head!\My right hand?\Hurry! response:	Ennis! Why, you...
context: I see, you're the ones...\you're the ones who drank it!\We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head!\My right hand?\Hurry!\Ennis! Why, you... response:	Out of my way!
context: you're the ones who drank it!\We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head!\My right hand?\Hurry!\Ennis! Why, you...\Out of my way! response:	Now think in your mind that you want to eat!
context: We've burned gloves and warehouses before...\But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head!\My right hand?\Hurry!\Ennis! Why, you...\Out of my way!\Now think in your mind that you want to eat! response:	Ennis...
context: But this is the first time we've ever burned someone's head, huh?\Please, place your right hand on that man's head!\My right hand?\Hurry!\Ennis! Why, you...\Out of my way!\Now think in your mind that you want to eat!\Ennis... response:	Huh? That red stuff is gone.
context: Please, place your right hand on that man's head!\My right hand?\Hurry!\Ennis! Why, you...\Out of my way!\Now think in your mind that you want to eat!\Ennis...\Huh? That red stuff is gone. response:	Huh? What about Czes- kun?
context: My right hand?\Hurry!\Ennis! Why, you...\Out of my way!\Now think in your mind that you want to eat!\Ennis...\Huh? That red stuff is gone.\Huh? What about Czes- kun? response:	Jacuzzi, who was that?
context: Hurry!\Ennis! Why, you...\Out of my way!\Now think in your mind that you want to eat!\Ennis...\Huh? That red stuff is gone.\Huh? What about Czes- kun?\Jacuzzi, who was that? response:	The Rail Tracer, maybe.
context: Ennis! Why, you...\Out of my way!\Now think in your mind that you want to eat!\Ennis...\Huh? That red stuff is gone.\Huh? What about Czes- kun?\Jacuzzi, who was that?\The Rail Tracer, maybe. response:	Jacuzzi!
context: Out of my way!\Now think in your mind that you want to eat!\Ennis...\Huh? That red stuff is gone.\Huh? What about Czes- kun?\Jacuzzi, who was that?\The Rail Tracer, maybe.\Jacuzzi! response:	Donny!
context: Now think in your mind that you want to eat!\Ennis...\Huh? That red stuff is gone.\Huh? What about Czes- kun?\Jacuzzi, who was that?\The Rail Tracer, maybe.\Jacuzzi!\Donny! response:	Well, what are you waiting for?
context: Ennis...\Huh? That red stuff is gone.\Huh? What about Czes- kun?\Jacuzzi, who was that?\The Rail Tracer, maybe.\Jacuzzi!\Donny!\Well, what are you waiting for? response:	A little further... Just reach your right hand out a little further...
context: Huh? That red stuff is gone.\Huh? What about Czes- kun?\Jacuzzi, who was that?\The Rail Tracer, maybe.\Jacuzzi!\Donny!\Well, what are you waiting for?\A little further... Just reach your right hand out a little further... response:	Thank goodness!
context: Huh? What about Czes- kun?\Jacuzzi, who was that?\The Rail Tracer, maybe.\Jacuzzi!\Donny!\Well, what are you waiting for?\A little further... Just reach your right hand out a little further...\Thank goodness! response:	Thank goodness, really!
context: Jacuzzi, who was that?\The Rail Tracer, maybe.\Jacuzzi!\Donny!\Well, what are you waiting for?\A little further... Just reach your right hand out a little further...\Thank goodness!\Thank goodness, really! response:	Really! But why are his injuries all healed?
context: The Rail Tracer, maybe.\Jacuzzi!\Donny!\Well, what are you waiting for?\A little further... Just reach your right hand out a little further...\Thank goodness!\Thank goodness, really!\Really! But why are his injuries all healed? response:	That's easy, Miria. Ready?
context: Jacuzzi!\Donny!\Well, what are you waiting for?\A little further... Just reach your right hand out a little further...\Thank goodness!\Thank goodness, really!\Really! But why are his injuries all healed?\That's easy, Miria. Ready? response:	The Rail Tracer starts by gobbling up the naughty children first, right?
context: Donny!\Well, what are you waiting for?\A little further... Just reach your right hand out a little further...\Thank goodness!\Thank goodness, really!\Really! But why are his injuries all healed?\That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right? response:	I'm sure that after eating him, it realized that Czes is a good boy,
context: Well, what are you waiting for?\A little further... Just reach your right hand out a little further...\Thank goodness!\Thank goodness, really!\Really! But why are his injuries all healed?\That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy, response:	so it came back to return the parts it had eaten!
context: A little further... Just reach your right hand out a little further...\Thank goodness!\Thank goodness, really!\Really! But why are his injuries all healed?\That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten! response:	That's it! That fits with what happened, huh?
context: Thank goodness!\Thank goodness, really!\Really! But why are his injuries all healed?\That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh? response:	You're wrong.
context: Thank goodness, really!\Really! But why are his injuries all healed?\That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh?\You're wrong. response:	I haven't been a good boy.
context: Really! But why are his injuries all healed?\That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh?\You're wrong.\I haven't been a good boy. response:	I lied to you.
context: That's easy, Miria. Ready?\The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh?\You're wrong.\I haven't been a good boy.\I lied to you. response:	You lied?
context: The Rail Tracer starts by gobbling up the naughty children first, right?\I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh?\You're wrong.\I haven't been a good boy.\I lied to you.\You lied? response:	I said that I was going to New York to see my family,
context: I'm sure that after eating him, it realized that Czes is a good boy,\so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh?\You're wrong.\I haven't been a good boy.\I lied to you.\You lied?\I said that I was going to New York to see my family, response:	but the truth is, I'm just going to see an acquaintance.
context: so it came back to return the parts it had eaten!\That's it! That fits with what happened, huh?\You're wrong.\I haven't been a good boy.\I lied to you.\You lied?\I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance. response:	I don't have any family. I never have, and I never-
context: That's it! That fits with what happened, huh?\You're wrong.\I haven't been a good boy.\I lied to you.\You lied?\I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never- response:	Is that right?!
context: You're wrong.\I haven't been a good boy.\I lied to you.\You lied?\I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never-\Is that right?! response:	Czes- kun, you really are a good boy!
context: I haven't been a good boy.\I lied to you.\You lied?\I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never-\Is that right?!\Czes- kun, you really are a good boy! response:	You told that lie to keep us from worrying about you!
context: I lied to you.\You lied?\I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never-\Is that right?!\Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you! response:	And yet, Czes- kun, you're the one who's worst off of all of us!
context: You lied?\I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never-\Is that right?!\Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us! response:	Czes- kun, you're an incredibly good boy!
context: I said that I was going to New York to see my family,\but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never-\Is that right?!\Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy! response:	Um...
context: but the truth is, I'm just going to see an acquaintance.\I don't have any family. I never have, and I never-\Is that right?!\Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy!\Um... response:	All right, you just leave it to Isaac!
context: I don't have any family. I never have, and I never-\Is that right?!\Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy!\Um...\All right, you just leave it to Isaac! response:	Good for you, Czes- kun! You can rest easy, once Isaac takes charge!
context: Is that right?!\Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy!\Um...\All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge! response:	So it's okay for you to smile now.
context: Czes- kun, you really are a good boy!\You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy!\Um...\All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now. response:	Hey! Isaac- san!
context: You told that lie to keep us from worrying about you!\And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy!\Um...\All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now.\Hey! Isaac- san! response:	Miria- san!
context: And yet, Czes- kun, you're the one who's worst off of all of us!\Czes- kun, you're an incredibly good boy!\Um...\All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now.\Hey! Isaac- san!\Miria- san! response:	Czes- kun!
context: Czes- kun, you're an incredibly good boy!\Um...\All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now.\Hey! Isaac- san!\Miria- san!\Czes- kun! response:	I have a favor to ask.
context: Um...\All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now.\Hey! Isaac- san!\Miria- san!\Czes- kun!\I have a favor to ask. response:	It looks like I'm about to die,
context: All right, you just leave it to Isaac!\Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now.\Hey! Isaac- san!\Miria- san!\Czes- kun!\I have a favor to ask.\It looks like I'm about to die, response:	so would you eat me, as well?
context: Good for you, Czes- kun! You can rest easy, once Isaac takes charge!\So it's okay for you to smile now.\Hey! Isaac- san!\Miria- san!\Czes- kun!\I have a favor to ask.\It looks like I'm about to die,\so would you eat me, as well? response:	What kind of nonsense is that?
context: So it's okay for you to smile now.\Hey! Isaac- san!\Miria- san!\Czes- kun!\I have a favor to ask.\It looks like I'm about to die,\so would you eat me, as well?\What kind of nonsense is that? response:	Oh, I still have so much I wanted to tell Isaac and Miria.
context: Hey! Isaac- san!\Miria- san!\Czes- kun!\I have a favor to ask.\It looks like I'm about to die,\so would you eat me, as well?\What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria. response:	So, please, eat me, and give them a message from me.
context: Miria- san!\Czes- kun!\I have a favor to ask.\It looks like I'm about to die,\so would you eat me, as well?\What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me. response:	If you've got something to say, say it yourself.
context: Czes- kun!\I have a favor to ask.\It looks like I'm about to die,\so would you eat me, as well?\What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself. response:	It's strange. I knew the way to save you.
context: I have a favor to ask.\It looks like I'm about to die,\so would you eat me, as well?\What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself.\It's strange. I knew the way to save you. response:	That's right.
context: It looks like I'm about to die,\so would you eat me, as well?\What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself.\It's strange. I knew the way to save you.\That's right. response:	You've got all of Szilard's knowledge now.
context: so would you eat me, as well?\What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself.\It's strange. I knew the way to save you.\That's right.\You've got all of Szilard's knowledge now. response:	Eating that old coot was worth it.
context: What kind of nonsense is that?\Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself.\It's strange. I knew the way to save you.\That's right.\You've got all of Szilard's knowledge now.\Eating that old coot was worth it. response:	My name is Firo. What's yours?
context: Oh, I still have so much I wanted to tell Isaac and Miria.\So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself.\It's strange. I knew the way to save you.\That's right.\You've got all of Szilard's knowledge now.\Eating that old coot was worth it.\My name is Firo. What's yours? response:	Ennis.
context: So, please, eat me, and give them a message from me.\If you've got something to say, say it yourself.\It's strange. I knew the way to save you.\That's right.\You've got all of Szilard's knowledge now.\Eating that old coot was worth it.\My name is Firo. What's yours?\Ennis. response:	Why ask? You must already know it.
context: If you've got something to say, say it yourself.\It's strange. I knew the way to save you.\That's right.\You've got all of Szilard's knowledge now.\Eating that old coot was worth it.\My name is Firo. What's yours?\Ennis.\Why ask? You must already know it. response:	I just wanted to hear you say it.
context: It's strange. I knew the way to save you.\That's right.\You've got all of Szilard's knowledge now.\Eating that old coot was worth it.\My name is Firo. What's yours?\Ennis.\Why ask? You must already know it.\I just wanted to hear you say it. response:	Whoo! Whoo!
context: That's right.\You've got all of Szilard's knowledge now.\Eating that old coot was worth it.\My name is Firo. What's yours?\Ennis.\Why ask? You must already know it.\I just wanted to hear you say it.\Whoo! Whoo! response:	What are you laughing at?
context: You've got all of Szilard's knowledge now.\Eating that old coot was worth it.\My name is Firo. What's yours?\Ennis.\Why ask? You must already know it.\I just wanted to hear you say it.\Whoo! Whoo!\What are you laughing at? response:	Whoo! Whoo!
context: Eating that old coot was worth it.\My name is Firo. What's yours?\Ennis.\Why ask? You must already know it.\I just wanted to hear you say it.\Whoo! Whoo!\What are you laughing at?\Whoo! Whoo! response:	Isaac- san, Miria- san, you, too?
context: My name is Firo. What's yours?\Ennis.\Why ask? You must already know it.\I just wanted to hear you say it.\Whoo! Whoo!\What are you laughing at?\Whoo! Whoo!\Isaac- san, Miria- san, you, too? response:	How about telling me where Dallas Genoard is?
context: Ennis.\Why ask? You must already know it.\I just wanted to hear you say it.\Whoo! Whoo!\What are you laughing at?\Whoo! Whoo!\Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is? response:	Are you awake?
context: Why ask? You must already know it.\I just wanted to hear you say it.\Whoo! Whoo!\What are you laughing at?\Whoo! Whoo!\Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is?\Are you awake? response:	What is this?! How are you still alive?!
context: I just wanted to hear you say it.\Whoo! Whoo!\What are you laughing at?\Whoo! Whoo!\Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is?\Are you awake?\What is this?! How are you still alive?! response:	Who knows? According to what Firo said,
context: Whoo! Whoo!\What are you laughing at?\Whoo! Whoo!\Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is?\Are you awake?\What is this?! How are you still alive?!\Who knows? According to what Firo said, response:	we have the same sort of immortal bodies that you do.
context: What are you laughing at?\Whoo! Whoo!\Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is?\Are you awake?\What is this?! How are you still alive?!\Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do. response:	Unfortunately, however, unlike you, he says we will not die of old age.
context: Whoo! Whoo!\Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is?\Are you awake?\What is this?! How are you still alive?!\Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age. response:	With that in mind, I would like you all
context: Isaac- san, Miria- san, you, too?\How about telling me where Dallas Genoard is?\Are you awake?\What is this?! How are you still alive?!\Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all response:	to accept responsibility for what you've done.
context: How about telling me where Dallas Genoard is?\Are you awake?\What is this?! How are you still alive?!\Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all\to accept responsibility for what you've done. response:	Hey, hey, hey!!
context: Are you awake?\What is this?! How are you still alive?!\Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all\to accept responsibility for what you've done.\Hey, hey, hey!! response:	You're going to be drowned indefinitely at the bottom of the Hudson River.
context: What is this?! How are you still alive?!\Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all\to accept responsibility for what you've done.\Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River. response:	I wanted to rub you out for good all at once,
context: Who knows? According to what Firo said,\we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all\to accept responsibility for what you've done.\Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once, response:	but since you don't die from being shot or clobbered, what can I do?
context: we have the same sort of immortal bodies that you do.\Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all\to accept responsibility for what you've done.\Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do? response:	Keith, that's nice of you.
context: Unfortunately, however, unlike you, he says we will not die of old age.\With that in mind, I would like you all\to accept responsibility for what you've done.\Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you. response:	You're going to have a lot of free time at the bottom of the river
context: With that in mind, I would like you all\to accept responsibility for what you've done.\Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river response:	before you die of the infirmity of old age, so there's a parting gift for you.
context: to accept responsibility for what you've done.\Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you. response:	That's awful... that's so awful!
context: Hey, hey, hey!!\You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful! response:	I don't mean to disagree with you,
context: You're going to be drowned indefinitely at the bottom of the Hudson River.\I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful!\I don't mean to disagree with you, response:	but your older brother killed our men without pity.
context: I wanted to rub you out for good all at once,\but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful!\I don't mean to disagree with you,\but your older brother killed our men without pity. response:	Here in this room, one year ago.
context: but since you don't die from being shot or clobbered, what can I do?\Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful!\I don't mean to disagree with you,\but your older brother killed our men without pity.\Here in this room, one year ago. response:	As such, we will not apologize.
context: Keith, that's nice of you.\You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful!\I don't mean to disagree with you,\but your older brother killed our men without pity.\Here in this room, one year ago.\As such, we will not apologize. response:	We will only offer our sincerest condolences.
context: You're going to have a lot of free time at the bottom of the river\before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful!\I don't mean to disagree with you,\but your older brother killed our men without pity.\Here in this room, one year ago.\As such, we will not apologize.\We will only offer our sincerest condolences. response:	That is all we can do.
context: before you die of the infirmity of old age, so there's a parting gift for you.\That's awful... that's so awful!\I don't mean to disagree with you,\but your older brother killed our men without pity.\Here in this room, one year ago.\As such, we will not apologize.\We will only offer our sincerest condolences.\That is all we can do. response:	The Hudson River, huh?
context: That's awful... that's so awful!\I don't mean to disagree with you,\but your older brother killed our men without pity.\Here in this room, one year ago.\As such, we will not apologize.\We will only offer our sincerest condolences.\That is all we can do.\The Hudson River, huh? response:	If you've disposed of him, then I am free to pick him up, right?
context: I don't mean to disagree with you,\but your older brother killed our men without pity.\Here in this room, one year ago.\As such, we will not apologize.\We will only offer our sincerest condolences.\That is all we can do.\The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right? response:	Yes, but shouldn't his relative have first claim?
context: but your older brother killed our men without pity.\Here in this room, one year ago.\As such, we will not apologize.\We will only offer our sincerest condolences.\That is all we can do.\The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim? response:	What do you intend to do with my brother?
context: Here in this room, one year ago.\As such, we will not apologize.\We will only offer our sincerest condolences.\That is all we can do.\The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother? response:	Examine him, comprehensively, in a certain laboratory I have.
context: As such, we will not apologize.\We will only offer our sincerest condolences.\That is all we can do.\The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have. response:	Then you will bring my brother back up?
context: We will only offer our sincerest condolences.\That is all we can do.\The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up? response:	Yeah. It should release him from the suffering
context: That is all we can do.\The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up?\Yeah. It should release him from the suffering response:	of continuously drowning forever.
context: The Hudson River, huh?\If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up?\Yeah. It should release him from the suffering\of continuously drowning forever. response:	Will you allow me to see him?
context: If you've disposed of him, then I am free to pick him up, right?\Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up?\Yeah. It should release him from the suffering\of continuously drowning forever.\Will you allow me to see him? response:	It's a promise.
context: Yes, but shouldn't his relative have first claim?\What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up?\Yeah. It should release him from the suffering\of continuously drowning forever.\Will you allow me to see him?\It's a promise. response:	Please go after my brother.
context: What do you intend to do with my brother?\Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up?\Yeah. It should release him from the suffering\of continuously drowning forever.\Will you allow me to see him?\It's a promise.\Please go after my brother. response:	Eve- chan, are you sure?
context: Examine him, comprehensively, in a certain laboratory I have.\Then you will bring my brother back up?\Yeah. It should release him from the suffering\of continuously drowning forever.\Will you allow me to see him?\It's a promise.\Please go after my brother.\Eve- chan, are you sure? response:	That man is the one responsible for the deaths in your family!
context: Then you will bring my brother back up?\Yeah. It should release him from the suffering\of continuously drowning forever.\Will you allow me to see him?\It's a promise.\Please go after my brother.\Eve- chan, are you sure?\That man is the one responsible for the deaths in your family! response:	If this sounds like I'm making excuses, so be it,
context: Yeah. It should release him from the suffering\of continuously drowning forever.\Will you allow me to see him?\It's a promise.\Please go after my brother.\Eve- chan, are you sure?\That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it, response:	but Raymond and Geoffrey were not killed on my orders.
context: of continuously drowning forever.\Will you allow me to see him?\It's a promise.\Please go after my brother.\Eve- chan, are you sure?\That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders. response:	This man here did it all on his own.
context: Will you allow me to see him?\It's a promise.\Please go after my brother.\Eve- chan, are you sure?\That man is the one responsible for the deaths in your family!\If this sounds like I'm making excuses, so be it,\but Raymond and Geoffrey were not killed on my orders.\This man here did it all on his own. response:	Boss...
