context: Thanks for helping out today. response:	Sota's been eating me out of house and home, so shopping's been rough.
context: She used my first name.\I heard you the first time!\Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?! response:	I mean, you were watching the guys change at school.
context: I heard you the first time!\Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?!\I mean, you were watching the guys change at school. response:	Yeah, but I had a reason.
context: Oh, you mean how she used it?\She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?!\I mean, you were watching the guys change at school.\Yeah, but I had a reason. response:	Wait, do you have a crush on someone or something?
context: She used -kun. Your mom's pretty young, huh?\Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?!\I mean, you were watching the guys change at school.\Yeah, but I had a reason.\Wait, do you have a crush on someone or something? response:	No, it's because...
context: Has this guy literally ever had a coherent conversation with me?\Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?!\I mean, you were watching the guys change at school.\Yeah, but I had a reason.\Wait, do you have a crush on someone or something?\No, it's because... response:	My name?!
context: Ugh, that's not what I meant!\You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?!\I mean, you were watching the guys change at school.\Yeah, but I had a reason.\Wait, do you have a crush on someone or something?\No, it's because...\My name?! response:	That's what you've been so worried about?!
context: You know, Hori-san, you've been acting kind of weird lately.\W-Weird how?!\I mean, you were watching the guys change at school.\Yeah, but I had a reason.\Wait, do you have a crush on someone or something?\No, it's because...\My name?!\That's what you've been so worried about?! response:	My name though, really? Wow.
context: W-Weird how?!\I mean, you were watching the guys change at school.\Yeah, but I had a reason.\Wait, do you have a crush on someone or something?\No, it's because...\My name?!\That's what you've been so worried about?!\My name though, really? Wow. response:	Wow, sis, you're so lame!
context: I mean, you were watching the guys change at school.\Yeah, but I had a reason.\Wait, do you have a crush on someone or something?\No, it's because...\My name?!\That's what you've been so worried about?!\My name though, really? Wow.\Wow, sis, you're so lame! response:	How am I supposed to ask you that, huh?!
context: Yeah, but I had a reason.\Wait, do you have a crush on someone or something?\No, it's because...\My name?!\That's what you've been so worried about?!\My name though, really? Wow.\Wow, sis, you're so lame!\How am I supposed to ask you that, huh?! response:	-I'm borrowing your pen. Give me a sec.
context: Wait, do you have a crush on someone or something?\No, it's because...\My name?!\That's what you've been so worried about?!\My name though, really? Wow.\Wow, sis, you're so lame!\How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec. response:	-You're such a lame-o! -I'm borrowing your pen. Give me a sec.
context: No, it's because...\My name?!\That's what you've been so worried about?!\My name though, really? Wow.\Wow, sis, you're so lame!\How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec. response:	-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!
context: My name?!\That's what you've been so worried about?!\My name though, really? Wow.\Wow, sis, you're so lame!\How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?! response:	-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!
context: That's what you've been so worried about?!\My name though, really? Wow.\Wow, sis, you're so lame!\How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?! response:	-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!
context: My name though, really? Wow.\Wow, sis, you're so lame!\How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?! response:	Izumi Miyamura
context: Wow, sis, you're so lame!\How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura response:	Izumi Miyamura?
context: How am I supposed to ask you that, huh?!\-I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura\Izumi Miyamura? response:	Oh, sorry, let me write down the pronunciation.
context: -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura\Izumi Miyamura?\Oh, sorry, let me write down the pronunciation. response:	-Hand it back.
context: -You're such a lame-o! -I'm borrowing your pen. Give me a sec.\-You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura\Izumi Miyamura?\Oh, sorry, let me write down the pronunciation.\-Hand it back. response:	-I can read it! -Hand it back.
context: -You're such a lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura\Izumi Miyamura?\Oh, sorry, let me write down the pronunciation.\-Hand it back.\-I can read it! -Hand it back. response:	Whatever, I'm keeping this, just in case I forget it again.
context: -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\-Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura\Izumi Miyamura?\Oh, sorry, let me write down the pronunciation.\-Hand it back.\-I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again. response:	I'd really rather you didn't forget it.
context: -Here. -Ow, that hurts, you lame-o! -I'm a lame-o?! Could a lame-o do this?!\Izumi Miyamura\Izumi Miyamura?\Oh, sorry, let me write down the pronunciation.\-Hand it back.\-I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it. response:	I-I know, okay?!
context: Izumi Miyamura\Izumi Miyamura?\Oh, sorry, let me write down the pronunciation.\-Hand it back.\-I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it.\I-I know, okay?! response:	You'll remember it easier if you say it!
context: Izumi Miyamura?\Oh, sorry, let me write down the pronunciation.\-Hand it back.\-I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it.\I-I know, okay?!\You'll remember it easier if you say it! response:	I-Izumi.
context: Oh, sorry, let me write down the pronunciation.\-Hand it back.\-I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it.\I-I know, okay?!\You'll remember it easier if you say it!\I-Izumi. response:	That's right, Hori-san.
context: -Hand it back.\-I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it.\I-I know, okay?!\You'll remember it easier if you say it!\I-Izumi.\That's right, Hori-san. response:	No, it feels weird. I'll just keep calling you Miyamura!
context: -I can read it! -Hand it back.\Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it.\I-I know, okay?!\You'll remember it easier if you say it!\I-Izumi.\That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura! response:	Oh, c'mon, Hori-san...
context: Whatever, I'm keeping this, just in case I forget it again.\I'd really rather you didn't forget it.\I-I know, okay?!\You'll remember it easier if you say it!\I-Izumi.\That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san... response:	Hold up, Miyamura!
context: I'd really rather you didn't forget it.\I-I know, okay?!\You'll remember it easier if you say it!\I-Izumi.\That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san...\Hold up, Miyamura! response:	Do you not know my first name?!
context: I-I know, okay?!\You'll remember it easier if you say it!\I-Izumi.\That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san...\Hold up, Miyamura!\Do you not know my first name?! response:	What? It's Kyoko, right?
context: You'll remember it easier if you say it!\I-Izumi.\That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san...\Hold up, Miyamura!\Do you not know my first name?!\What? It's Kyoko, right? response:	I look like a total moron!
context: I-Izumi.\That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san...\Hold up, Miyamura!\Do you not know my first name?!\What? It's Kyoko, right?\I look like a total moron! response:	Sometimes, Hori-san says the dumbest things.
context: That's right, Hori-san.\No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san...\Hold up, Miyamura!\Do you not know my first name?!\What? It's Kyoko, right?\I look like a total moron!\Sometimes, Hori-san says the dumbest things. response:	W-Well, start laughing! I know it's funny!
context: No, it feels weird. I'll just keep calling you Miyamura!\Oh, c'mon, Hori-san...\Hold up, Miyamura!\Do you not know my first name?!\What? It's Kyoko, right?\I look like a total moron!\Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny! response:	But you'll get mad at me if I laugh.
context: Oh, c'mon, Hori-san...\Hold up, Miyamura!\Do you not know my first name?!\What? It's Kyoko, right?\I look like a total moron!\Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh. response:	Yeah, I will!
context: Hold up, Miyamura!\Do you not know my first name?!\What? It's Kyoko, right?\I look like a total moron!\Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh.\Yeah, I will! response:	That's no fair!
context: Do you not know my first name?!\What? It's Kyoko, right?\I look like a total moron!\Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh.\Yeah, I will!\That's no fair! response:	Sorry about all this, Hori-san. I know you're already so busy.
context: What? It's Kyoko, right?\I look like a total moron!\Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh.\Yeah, I will!\That's no fair!\Sorry about all this, Hori-san. I know you're already so busy. response:	It's totally fine! I'd do anything for you, Sengoku-kun.
context: I look like a total moron!\Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh.\Yeah, I will!\That's no fair!\Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun. response:	Thanks, you're a lifesaver.
context: Sometimes, Hori-san says the dumbest things.\W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh.\Yeah, I will!\That's no fair!\Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver. response:	Hold onto these for a sec, Sakura.
context: W-Well, start laughing! I know it's funny!\But you'll get mad at me if I laugh.\Yeah, I will!\That's no fair!\Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura. response:	Okay.
context: But you'll get mad at me if I laugh.\Yeah, I will!\That's no fair!\Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura.\Okay. response:	Things go much smoother when you've got capable people on the job.
context: Yeah, I will!\That's no fair!\Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura.\Okay.\Things go much smoother when you've got capable people on the job. response:	Y-You think so?
context: That's no fair!\Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura.\Okay.\Things go much smoother when you've got capable people on the job.\Y-You think so? response:	On that note, Hori-san,
context: Sorry about all this, Hori-san. I know you're already so busy.\It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura.\Okay.\Things go much smoother when you've got capable people on the job.\Y-You think so?\On that note, Hori-san, response:	could I ask another favor of you?
context: It's totally fine! I'd do anything for you, Sengoku-kun.\Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura.\Okay.\Things go much smoother when you've got capable people on the job.\Y-You think so?\On that note, Hori-san,\could I ask another favor of you? response:	Huh?
context: Thanks, you're a lifesaver.\Hold onto these for a sec, Sakura.\Okay.\Things go much smoother when you've got capable people on the job.\Y-You think so?\On that note, Hori-san,\could I ask another favor of you?\Huh? response:	I-I'm so sorry, Hori-san.
context: Hold onto these for a sec, Sakura.\Okay.\Things go much smoother when you've got capable people on the job.\Y-You think so?\On that note, Hori-san,\could I ask another favor of you?\Huh?\I-I'm so sorry, Hori-san. response:	The student council is really swamped right now...
context: Okay.\Things go much smoother when you've got capable people on the job.\Y-You think so?\On that note, Hori-san,\could I ask another favor of you?\Huh?\I-I'm so sorry, Hori-san.\The student council is really swamped right now... response:	I-It's okay. I know how it is, Sengoku-kun.
context: Things go much smoother when you've got capable people on the job.\Y-You think so?\On that note, Hori-san,\could I ask another favor of you?\Huh?\I-I'm so sorry, Hori-san.\The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun. response:	Whoa, look at your bags!
context: Y-You think so?\On that note, Hori-san,\could I ask another favor of you?\Huh?\I-I'm so sorry, Hori-san.\The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags! response:	I have bags?!
context: On that note, Hori-san,\could I ask another favor of you?\Huh?\I-I'm so sorry, Hori-san.\The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags!\I have bags?! response:	These what the Student Council wanted you to handle?
context: could I ask another favor of you?\Huh?\I-I'm so sorry, Hori-san.\The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags!\I have bags?!\These what the Student Council wanted you to handle? response:	Yeah.
context: Huh?\I-I'm so sorry, Hori-san.\The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags!\I have bags?!\These what the Student Council wanted you to handle?\Yeah. response:	Why do you have to do their work, Hori-san?!
context: I-I'm so sorry, Hori-san.\The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags!\I have bags?!\These what the Student Council wanted you to handle?\Yeah.\Why do you have to do their work, Hori-san?! response:	Most of their members are new right now, so they're having a hard time.
context: The student council is really swamped right now...\I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags!\I have bags?!\These what the Student Council wanted you to handle?\Yeah.\Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time. response:	Is that how it works?
context: I-It's okay. I know how it is, Sengoku-kun.\Whoa, look at your bags!\I have bags?!\These what the Student Council wanted you to handle?\Yeah.\Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time.\Is that how it works? response:	It's still weird that they're having you do this important stuff.
context: Whoa, look at your bags!\I have bags?!\These what the Student Council wanted you to handle?\Yeah.\Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time.\Is that how it works?\It's still weird that they're having you do this important stuff. response:	They're just using you, Hori!
context: I have bags?!\These what the Student Council wanted you to handle?\Yeah.\Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time.\Is that how it works?\It's still weird that they're having you do this important stuff.\They're just using you, Hori! response:	Sure, but they need the help, so I don't mind.
context: These what the Student Council wanted you to handle?\Yeah.\Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time.\Is that how it works?\It's still weird that they're having you do this important stuff.\They're just using you, Hori!\Sure, but they need the help, so I don't mind. response:	What?! You should!
context: Yeah.\Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time.\Is that how it works?\It's still weird that they're having you do this important stuff.\They're just using you, Hori!\Sure, but they need the help, so I don't mind.\What?! You should! response:	She's got it rough.
context: Why do you have to do their work, Hori-san?!\Most of their members are new right now, so they're having a hard time.\Is that how it works?\It's still weird that they're having you do this important stuff.\They're just using you, Hori!\Sure, but they need the help, so I don't mind.\What?! You should!\She's got it rough. response:	Yeah.
context: Most of their members are new right now, so they're having a hard time.\Is that how it works?\It's still weird that they're having you do this important stuff.\They're just using you, Hori!\Sure, but they need the help, so I don't mind.\What?! You should!\She's got it rough.\Yeah. response:	And we're too dumb to help out with anything.
context: Is that how it works?\It's still weird that they're having you do this important stuff.\They're just using you, Hori!\Sure, but they need the help, so I don't mind.\What?! You should!\She's got it rough.\Yeah.\And we're too dumb to help out with anything. response:	Yeah.
context: It's still weird that they're having you do this important stuff.\They're just using you, Hori!\Sure, but they need the help, so I don't mind.\What?! You should!\She's got it rough.\Yeah.\And we're too dumb to help out with anything.\Yeah. response:	President Sengoku's top of the class, right?
context: They're just using you, Hori!\Sure, but they need the help, so I don't mind.\What?! You should!\She's got it rough.\Yeah.\And we're too dumb to help out with anything.\Yeah.\President Sengoku's top of the class, right? response:	Really?
context: Sure, but they need the help, so I don't mind.\What?! You should!\She's got it rough.\Yeah.\And we're too dumb to help out with anything.\Yeah.\President Sengoku's top of the class, right?\Really? response:	The girls all like him, too.
context: What?! You should!\She's got it rough.\Yeah.\And we're too dumb to help out with anything.\Yeah.\President Sengoku's top of the class, right?\Really?\The girls all like him, too. response:	Maybe Hori-san's helping him out because she likes him.
context: She's got it rough.\Yeah.\And we're too dumb to help out with anything.\Yeah.\President Sengoku's top of the class, right?\Really?\The girls all like him, too.\Maybe Hori-san's helping him out because she likes him. response:	Hori-san, you around?
context: Yeah.\And we're too dumb to help out with anything.\Yeah.\President Sengoku's top of the class, right?\Really?\The girls all like him, too.\Maybe Hori-san's helping him out because she likes him.\Hori-san, you around? response:	Oh, Ayasaki-san!
context: And we're too dumb to help out with anything.\Yeah.\President Sengoku's top of the class, right?\Really?\The girls all like him, too.\Maybe Hori-san's helping him out because she likes him.\Hori-san, you around?\Oh, Ayasaki-san! response:	Here are the files and notebooks I worked on.
context: Yeah.\President Sengoku's top of the class, right?\Really?\The girls all like him, too.\Maybe Hori-san's helping him out because she likes him.\Hori-san, you around?\Oh, Ayasaki-san!\Here are the files and notebooks I worked on. response:	Watch out, they're heavy.
context: President Sengoku's top of the class, right?\Really?\The girls all like him, too.\Maybe Hori-san's helping him out because she likes him.\Hori-san, you around?\Oh, Ayasaki-san!\Here are the files and notebooks I worked on.\Watch out, they're heavy. response:	I've got'em! Thanks!
context: Really?\The girls all like him, too.\Maybe Hori-san's helping him out because she likes him.\Hori-san, you around?\Oh, Ayasaki-san!\Here are the files and notebooks I worked on.\Watch out, they're heavy.\I've got'em! Thanks! response:	Whoa, she's gorgeous!
context: The girls all like him, too.\Maybe Hori-san's helping him out because she likes him.\Hori-san, you around?\Oh, Ayasaki-san!\Here are the files and notebooks I worked on.\Watch out, they're heavy.\I've got'em! Thanks!\Whoa, she's gorgeous! response:	That's President Sengoku's girlfriend.
context: Maybe Hori-san's helping him out because she likes him.\Hori-san, you around?\Oh, Ayasaki-san!\Here are the files and notebooks I worked on.\Watch out, they're heavy.\I've got'em! Thanks!\Whoa, she's gorgeous!\That's President Sengoku's girlfriend. response:	They're hot and dating each other?!
context: Hori-san, you around?\Oh, Ayasaki-san!\Here are the files and notebooks I worked on.\Watch out, they're heavy.\I've got'em! Thanks!\Whoa, she's gorgeous!\That's President Sengoku's girlfriend.\They're hot and dating each other?! response:	Ayasaki-san's on the council, too.
context: Oh, Ayasaki-san!\Here are the files and notebooks I worked on.\Watch out, they're heavy.\I've got'em! Thanks!\Whoa, she's gorgeous!\That's President Sengoku's girlfriend.\They're hot and dating each other?!\Ayasaki-san's on the council, too. response:	Though I don't think she does much work.
context: Here are the files and notebooks I worked on.\Watch out, they're heavy.\I've got'em! Thanks!\Whoa, she's gorgeous!\That's President Sengoku's girlfriend.\They're hot and dating each other?!\Ayasaki-san's on the council, too.\Though I don't think she does much work. response:	She's like their mascot.
context: Watch out, they're heavy.\I've got'em! Thanks!\Whoa, she's gorgeous!\That's President Sengoku's girlfriend.\They're hot and dating each other?!\Ayasaki-san's on the council, too.\Though I don't think she does much work.\She's like their mascot. response:	What?! So they're just pushing the hot girl's work onto you, Hori!
context: I've got'em! Thanks!\Whoa, she's gorgeous!\That's President Sengoku's girlfriend.\They're hot and dating each other?!\Ayasaki-san's on the council, too.\Though I don't think she does much work.\She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori! response:	Jeez, don't put it like that.
context: Whoa, she's gorgeous!\That's President Sengoku's girlfriend.\They're hot and dating each other?!\Ayasaki-san's on the council, too.\Though I don't think she does much work.\She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that. response:	Though you're right,
context: That's President Sengoku's girlfriend.\They're hot and dating each other?!\Ayasaki-san's on the council, too.\Though I don't think she does much work.\She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that.\Though you're right, response:	the work I just did was Ayasaki-san's responsibility.
context: They're hot and dating each other?!\Ayasaki-san's on the council, too.\Though I don't think she does much work.\She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that.\Though you're right,\the work I just did was Ayasaki-san's responsibility. response:	They're totally making her do her work...
context: Ayasaki-san's on the council, too.\Though I don't think she does much work.\She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that.\Though you're right,\the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work... response:	I'm gonna head home.
context: Though I don't think she does much work.\She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that.\Though you're right,\the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work...\I'm gonna head home. response:	Okay.
context: She's like their mascot.\What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that.\Though you're right,\the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work...\I'm gonna head home.\Okay. response:	I hope Hori-san's okay...
context: What?! So they're just pushing the hot girl's work onto you, Hori!\Jeez, don't put it like that.\Though you're right,\the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work...\I'm gonna head home.\Okay.\I hope Hori-san's okay... response:	I wonder if she'd feel better if I baked her a cake.
context: Jeez, don't put it like that.\Though you're right,\the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work...\I'm gonna head home.\Okay.\I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake. response:	H-Hey, are you okay?
context: Though you're right,\the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work...\I'm gonna head home.\Okay.\I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay? response:	Watch where you're going!
context: the work I just did was Ayasaki-san's responsibility.\They're totally making her do her work...\I'm gonna head home.\Okay.\I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay?\Watch where you're going! response:	-I did, though-
context: They're totally making her do her work...\I'm gonna head home.\Okay.\I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay?\Watch where you're going!\-I did, though- response:	-I don't have time for this! Hurry up and help! -I did, though-
context: I'm gonna head home.\Okay.\I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay?\Watch where you're going!\-I did, though-\-I don't have time for this! Hurry up and help! -I did, though- response:	-I don't have time for this! Hurry up and help!
context: Okay.\I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay?\Watch where you're going!\-I did, though-\-I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help! response:	Huh?
context: I hope Hori-san's okay...\I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay?\Watch where you're going!\-I did, though-\-I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help!\Huh? response:	Ugh, Sakura's gonna yell at me again for being late!
context: I wonder if she'd feel better if I baked her a cake.\H-Hey, are you okay?\Watch where you're going!\-I did, though-\-I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help!\Huh?\Ugh, Sakura's gonna yell at me again for being late! response:	Hey, what about this?
context: H-Hey, are you okay?\Watch where you're going!\-I did, though-\-I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help!\Huh?\Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this? response:	Uh, I probably don't need it, so just throw it out!
context: Watch where you're going!\-I did, though-\-I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help!\Huh?\Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this?\Uh, I probably don't need it, so just throw it out! response:	Bye!
context: -I did, though-\-I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help!\Huh?\Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this?\Uh, I probably don't need it, so just throw it out!\Bye! response:	What?!
context: -I don't have time for this! Hurry up and help! -I did, though-\-I don't have time for this! Hurry up and help!\Huh?\Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this?\Uh, I probably don't need it, so just throw it out!\Bye!\What?! response:	I couldn't even get a word in, and now she's gone...
context: -I don't have time for this! Hurry up and help!\Huh?\Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this?\Uh, I probably don't need it, so just throw it out!\Bye!\What?!\I couldn't even get a word in, and now she's gone... response:	Budget Report
context: Huh?\Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this?\Uh, I probably don't need it, so just throw it out!\Bye!\What?!\I couldn't even get a word in, and now she's gone...\Budget Report response:	What's going on?
context: Ugh, Sakura's gonna yell at me again for being late!\Hey, what about this?\Uh, I probably don't need it, so just throw it out!\Bye!\What?!\I couldn't even get a word in, and now she's gone...\Budget Report\What's going on? response:	I told you, I gave you everything I worked on!
context: Hey, what about this?\Uh, I probably don't need it, so just throw it out!\Bye!\What?!\I couldn't even get a word in, and now she's gone...\Budget Report\What's going on?\I told you, I gave you everything I worked on! response:	I know, but there are papers missing.
context: Uh, I probably don't need it, so just throw it out!\Bye!\What?!\I couldn't even get a word in, and now she's gone...\Budget Report\What's going on?\I told you, I gave you everything I worked on!\I know, but there are papers missing. response:	-And we can't find them anywhere.
context: Bye!\What?!\I couldn't even get a word in, and now she's gone...\Budget Report\What's going on?\I told you, I gave you everything I worked on!\I know, but there are papers missing.\-And we can't find them anywhere. response:	-Huh? What's happening over here? -And we can't find them anywhere.
