context: 'Transformed At Last!! Son Goku, the Legendary Super Saiyan' response:	It's all completely changed.
context: Take Bulma and get yourselves away from this planet, now!\Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san!\Kuririn! response:	Kuririn-san!
context: Gohan, snap out of it!\I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san!\Kuririn!\Kuririn-san! response:	Stop it, Freeza!
context: I will fight! I'm going to avenge Piccolo-san!\Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san!\Kuririn!\Kuririn-san!\Stop it, Freeza! response:	Goku!!
context: Get the hell out of here! You guys are in my way! Do you all want to die together here?\-G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san!\Kuririn!\Kuririn-san!\Stop it, Freeza!\Goku!! response:	A- and this time?
context: -G- Goku... -Father...\You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san!\Kuririn!\Kuririn-san!\Stop it, Freeza!\Goku!!\A- and this time? response:	Kuririn...
context: You think I'm going to excuse you? I'm not letting a single one of you go home alive!\Kuririn-san!\Kuririn!\Kuririn-san!\Stop it, Freeza!\Goku!!\A- and this time?\Kuririn... response:	Shall I do the little brat next?
context: Kuririn-san!\Kuririn!\Kuririn-san!\Stop it, Freeza!\Goku!!\A- and this time?\Kuririn...\Shall I do the little brat next? response:	Y- you're going to pay for that.. How dare you...How dare you!?
context: Kuririn!\Kuririn-san!\Stop it, Freeza!\Goku!!\A- and this time?\Kuririn...\Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!? response:	How dare you...How dare you...!?
context: Kuririn-san!\Stop it, Freeza!\Goku!!\A- and this time?\Kuririn...\Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!?\How dare you...How dare you...!? response:	W- what!?
context: Stop it, Freeza!\Goku!!\A- and this time?\Kuririn...\Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!?\How dare you...How dare you...!?\W- what!? response:	Gohan, take Piccolo with you and get yourselves back to Earth. He's still barely alive.
context: Goku!!\A- and this time?\Kuririn...\Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!?\How dare you...How dare you...!?\W- what!?\Gohan, take Piccolo with you and get yourselves back to Earth. He's still barely alive. response:	Go home now, while I still have some sliver of reason left!
context: A- and this time?\Kuririn...\Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!?\How dare you...How dare you...!?\W- what!?\Gohan, take Piccolo with you and get yourselves back to Earth. He's still barely alive.\Go home now, while I still have some sliver of reason left! response:	Right!
context: Kuririn...\Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!?\How dare you...How dare you...!?\W- what!?\Gohan, take Piccolo with you and get yourselves back to Earth. He's still barely alive.\Go home now, while I still have some sliver of reason left!\Right! response:	Goku's fury has gone beyond its bounds.
context: Shall I do the little brat next?\Y- you're going to pay for that.. How dare you...How dare you!?\How dare you...How dare you...!?\W- what!?\Gohan, take Piccolo with you and get yourselves back to Earth. He's still barely alive.\Go home now, while I still have some sliver of reason left!\Right!\Goku's fury has gone beyond its bounds. response:	What can Goku's transformation mean?
