context: There, there... response:	Y- Yamucha...
context: Farewell, Ten- san. Please don't die.\D- don't tell me... you're-!\Farewell. Farewell!\Stop! Chaozu!\Farewell!\Chaozu!!\Blowing himself up and taking them both out-\that was a pretty drastic thing to do. response:	For a little squirt, that was nicely done.
context: D- don't tell me... you're-!\Farewell. Farewell!\Stop! Chaozu!\Farewell!\Chaozu!!\Blowing himself up and taking them both out-\that was a pretty drastic thing to do.\For a little squirt, that was nicely done. response:	That was a worthless thing to do!
context: Farewell. Farewell!\Stop! Chaozu!\Farewell!\Chaozu!!\Blowing himself up and taking them both out-\that was a pretty drastic thing to do.\For a little squirt, that was nicely done.\That was a worthless thing to do! response:	Nappa, he sure gave you a lot of trouble, considering.
context: Stop! Chaozu!\Farewell!\Chaozu!!\Blowing himself up and taking them both out-\that was a pretty drastic thing to do.\For a little squirt, that was nicely done.\That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering. response:	I- i- it can't be! How can he be unfazed!? T- that's awful!
context: Farewell!\Chaozu!!\Blowing himself up and taking them both out-\that was a pretty drastic thing to do.\For a little squirt, that was nicely done.\That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful! response:	Chaozu even gave up his life!
context: Chaozu!!\Blowing himself up and taking them both out-\that was a pretty drastic thing to do.\For a little squirt, that was nicely done.\That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life! response:	Chaozu has already been brought back to life with the Dragon Balls.
context: Blowing himself up and taking them both out-\that was a pretty drastic thing to do.\For a little squirt, that was nicely done.\That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls. response:	He can't be brought back to life again! Dammit!
context: that was a pretty drastic thing to do.\For a little squirt, that was nicely done.\That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit! response:	You're going to pay for this!
context: For a little squirt, that was nicely done.\That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit!\You're going to pay for this! response:	It looks like you still don't realize how fearsome we are!
context: That was a worthless thing to do!\Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit!\You're going to pay for this!\It looks like you still don't realize how fearsome we are! response:	The only thing you have coming to you is death!
context: Nappa, he sure gave you a lot of trouble, considering.\I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit!\You're going to pay for this!\It looks like you still don't realize how fearsome we are!\The only thing you have coming to you is death! response:	The warriors are falling, one by one.
context: I- i- it can't be! How can he be unfazed!? T- that's awful!\Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit!\You're going to pay for this!\It looks like you still don't realize how fearsome we are!\The only thing you have coming to you is death!\The warriors are falling, one by one. response:	ls there anything that Tenshinhan and the others can do
context: Chaozu even gave up his life!\Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit!\You're going to pay for this!\It looks like you still don't realize how fearsome we are!\The only thing you have coming to you is death!\The warriors are falling, one by one.\ls there anything that Tenshinhan and the others can do response:	in the face of the Saiyans' powers,
context: Chaozu has already been brought back to life with the Dragon Balls.\He can't be brought back to life again! Dammit!\You're going to pay for this!\It looks like you still don't realize how fearsome we are!\The only thing you have coming to you is death!\The warriors are falling, one by one.\ls there anything that Tenshinhan and the others can do\in the face of the Saiyans' powers, response:	which are far greater than they anticipated?
