context: Serara, the girl we saved in Susukino, response:	belongs to Marielle's guild, the Crescent Moon Alliance.
context: It isn't a good thing.\Though perhaps it's a matter of preference.\That's true.\A few days ago...\But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council. response:	But each of the small guilds has its own opinions.
context: Though perhaps it's a matter of preference.\That's true.\A few days ago...\But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions. response:	We ended up quarreling over minor differences of opinion and selfish requests...
context: That's true.\A few days ago...\But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests... response:	W-Wait...
context: A few days ago...\But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait... response:	Why don't we talk about this a bit more?
context: But even if we try to oppose the bigger guilds...\That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait...\Why don't we talk about this a bit more? response:	It's a waste of time.
context: That's why we're trying to think of a way.\For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait...\Why don't we talk about this a bit more?\It's a waste of time. response:	Bye!
context: For example, we could share the hunting grounds among ourselves.\discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait...\Why don't we talk about this a bit more?\It's a waste of time.\Bye! response:	I'm sorry.
context: discussed the possibility of creating a joint council.\But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait...\Why don't we talk about this a bit more?\It's a waste of time.\Bye!\I'm sorry. response:	I wanted to help, but...
context: But each of the small guilds has its own opinions.\We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait...\Why don't we talk about this a bit more?\It's a waste of time.\Bye!\I'm sorry.\I wanted to help, but... response:	I knew this wouldn't work.
context: We ended up quarreling over minor differences of opinion and selfish requests...\W-Wait...\Why don't we talk about this a bit more?\It's a waste of time.\Bye!\I'm sorry.\I wanted to help, but...\I knew this wouldn't work. response:	Further,
context: W-Wait...\Why don't we talk about this a bit more?\It's a waste of time.\Bye!\I'm sorry.\I wanted to help, but...\I knew this wouldn't work.\Further, response:	the Black Sword Knights and the Silver Sword are aiming for 91.
context: Why don't we talk about this a bit more?\It's a waste of time.\Bye!\I'm sorry.\I wanted to help, but...\I knew this wouldn't work.\Further,\the Black Sword Knights and the Silver Sword are aiming for 91. response:	91?
context: It's a waste of time.\Bye!\I'm sorry.\I wanted to help, but...\I knew this wouldn't work.\Further,\the Black Sword Knights and the Silver Sword are aiming for 91.\91? response:	The old level cap was 90, but with the expansion...
context: Bye!\I'm sorry.\I wanted to help, but...\I knew this wouldn't work.\Further,\the Black Sword Knights and the Silver Sword are aiming for 91.\91?\The old level cap was 90, but with the expansion... response:	Yeah.
context: I'm sorry.\I wanted to help, but...\I knew this wouldn't work.\Further,\the Black Sword Knights and the Silver Sword are aiming for 91.\91?\The old level cap was 90, but with the expansion...\Yeah. response:	With The Novasphere Pioneers expansion, the level cap was raised to 100,
context: I wanted to help, but...\I knew this wouldn't work.\Further,\the Black Sword Knights and the Silver Sword are aiming for 91.\91?\The old level cap was 90, but with the expansion...\Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100, response:	wasn't it?
context: I knew this wouldn't work.\Further,\the Black Sword Knights and the Silver Sword are aiming for 91.\91?\The old level cap was 90, but with the expansion...\Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it? response:	And since no new players have entered since the Apocalypse...
context: Further,\the Black Sword Knights and the Silver Sword are aiming for 91.\91?\The old level cap was 90, but with the expansion...\Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it?\And since no new players have entered since the Apocalypse... response:	Oh, I see...
context: the Black Sword Knights and the Silver Sword are aiming for 91.\91?\The old level cap was 90, but with the expansion...\Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it?\And since no new players have entered since the Apocalypse...\Oh, I see... response:	Because of the limit on how many you can allow to join...
context: 91?\The old level cap was 90, but with the expansion...\Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it?\And since no new players have entered since the Apocalypse...\Oh, I see...\Because of the limit on how many you can allow to join... response:	The Black Sword Knights have always had a thing about being the best.
context: The old level cap was 90, but with the expansion...\Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it?\And since no new players have entered since the Apocalypse...\Oh, I see...\Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best. response:	Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...
context: Yeah.\With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it?\And since no new players have entered since the Apocalypse...\Oh, I see...\Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others... response:	He won't allow anyone below 85 to join.
context: With The Novasphere Pioneers expansion, the level cap was raised to 100,\wasn't it?\And since no new players have entered since the Apocalypse...\Oh, I see...\Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join. response:	So he isn't in the position D.D.D. was, where he can just start absorbing
context: wasn't it?\And since no new players have entered since the Apocalypse...\Oh, I see...\Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing response:	a bunch of smaller guilds.
context: And since no new players have entered since the Apocalypse...\Oh, I see...\Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds. response:	He's trying to fight quantity with quality, then?
context: Oh, I see...\Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds.\He's trying to fight quantity with quality, then? response:	But...
context: Because of the limit on how many you can allow to join...\The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds.\He's trying to fight quantity with quality, then?\But... response:	At a bare minimum, they'd need to hunt for level-85 monsters.
context: The Black Sword Knights have always had a thing about being the best.\Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds.\He's trying to fight quantity with quality, then?\But...\At a bare minimum, they'd need to hunt for level-85 monsters. response:	But this isn't the same as the game...
context: Their guild master, Isaac, is proud... Or maybe just enjoys excluding others...\He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds.\He's trying to fight quantity with quality, then?\But...\At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game... response:	Isn't that pretty dangerous?
context: He won't allow anyone below 85 to join.\So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds.\He's trying to fight quantity with quality, then?\But...\At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game...\Isn't that pretty dangerous? response:	It would be if they did it the normal way.
context: So he isn't in the position D.D.D. was, where he can just start absorbing\a bunch of smaller guilds.\He's trying to fight quantity with quality, then?\But...\At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game...\Isn't that pretty dangerous?\It would be if they did it the normal way. response:	They're using EXP pots.
context: a bunch of smaller guilds.\He's trying to fight quantity with quality, then?\But...\At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game...\Isn't that pretty dangerous?\It would be if they did it the normal way.\They're using EXP pots. response:	EXP pots?
context: He's trying to fight quantity with quality, then?\But...\At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game...\Isn't that pretty dangerous?\It would be if they did it the normal way.\They're using EXP pots.\EXP pots? response:	Do you mean they're leveling up by cheating?
context: But...\At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game...\Isn't that pretty dangerous?\It would be if they did it the normal way.\They're using EXP pots.\EXP pots?\Do you mean they're leveling up by cheating? response:	EXP pots...
context: At a bare minimum, they'd need to hunt for level-85 monsters.\But this isn't the same as the game...\Isn't that pretty dangerous?\It would be if they did it the normal way.\They're using EXP pots.\EXP pots?\Do you mean they're leveling up by cheating?\EXP pots... response:	Items that slightly increase attack power and health regeneration.
context: But this isn't the same as the game...\Isn't that pretty dangerous?\It would be if they did it the normal way.\They're using EXP pots.\EXP pots?\Do you mean they're leveling up by cheating?\EXP pots...\Items that slightly increase attack power and health regeneration. response:	And they double experience earned from combat.
context: Isn't that pretty dangerous?\It would be if they did it the normal way.\They're using EXP pots.\EXP pots?\Do you mean they're leveling up by cheating?\EXP pots...\Items that slightly increase attack power and health regeneration.\And they double experience earned from combat. response:	Death
context: It would be if they did it the normal way.\They're using EXP pots.\EXP pots?\Do you mean they're leveling up by cheating?\EXP pots...\Items that slightly increase attack power and health regeneration.\And they double experience earned from combat.\Death response:	One of these potions
context: They're using EXP pots.\EXP pots?\Do you mean they're leveling up by cheating?\EXP pots...\Items that slightly increase attack power and health regeneration.\And they double experience earned from combat.\Death\One of these potions response:	was freely distributed to every player below level 30 once a day,
context: EXP pots?\Do you mean they're leveling up by cheating?\EXP pots...\Items that slightly increase attack power and health regeneration.\And they double experience earned from combat.\Death\One of these potions\was freely distributed to every player below level 30 once a day, response:	so new players could level up and start enjoying the game more quickly.
context: Do you mean they're leveling up by cheating?\EXP pots...\Items that slightly increase attack power and health regeneration.\And they double experience earned from combat.\Death\One of these potions\was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly. response:	After the Apocalypse,
context: EXP pots...\Items that slightly increase attack power and health regeneration.\And they double experience earned from combat.\Death\One of these potions\was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly.\After the Apocalypse, response:	a guild called Hamelin gathered new players, claiming they wanted to help them.
context: Items that slightly increase attack power and health regeneration.\And they double experience earned from combat.\Death\One of these potions\was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly.\After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them. response:	But they're selling their EXP pots
context: And they double experience earned from combat.\Death\One of these potions\was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly.\After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots response:	to large guilds that want to raise their levels.
context: Death\One of these potions\was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly.\After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots\to large guilds that want to raise their levels. response:	It's all starting to go wrong.
context: One of these potions\was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly.\After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots\to large guilds that want to raise their levels.\It's all starting to go wrong. response:	This town... This world...
context: was freely distributed to every player below level 30 once a day,\so new players could level up and start enjoying the game more quickly.\After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots\to large guilds that want to raise their levels.\It's all starting to go wrong.\This town... This world... response:	Who's at fault?
context: so new players could level up and start enjoying the game more quickly.\After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots\to large guilds that want to raise their levels.\It's all starting to go wrong.\This town... This world...\Who's at fault? response:	No, to a greater or lesser degree, everyone is.
context: After the Apocalypse,\a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots\to large guilds that want to raise their levels.\It's all starting to go wrong.\This town... This world...\Who's at fault?\No, to a greater or lesser degree, everyone is. response:	Including me, since I'm not doing anything.
context: a guild called Hamelin gathered new players, claiming they wanted to help them.\But they're selling their EXP pots\to large guilds that want to raise their levels.\It's all starting to go wrong.\This town... This world...\Who's at fault?\No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything. response:	That's right...
context: But they're selling their EXP pots\to large guilds that want to raise their levels.\It's all starting to go wrong.\This town... This world...\Who's at fault?\No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything.\That's right... response:	I only went to Susukino
context: to large guilds that want to raise their levels.\It's all starting to go wrong.\This town... This world...\Who's at fault?\No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything.\That's right...\I only went to Susukino response:	to vent some of my frustration at the way things are going.
context: It's all starting to go wrong.\This town... This world...\Who's at fault?\No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything.\That's right...\I only went to Susukino\to vent some of my frustration at the way things are going. response:	Thinking again?
context: This town... This world...\Who's at fault?\No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything.\That's right...\I only went to Susukino\to vent some of my frustration at the way things are going.\Thinking again? response:	There's nothing wrong with thinking.
context: Who's at fault?\No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything.\That's right...\I only went to Susukino\to vent some of my frustration at the way things are going.\Thinking again?\There's nothing wrong with thinking. response:	But you're smart enough, so why not just solve the problem?
context: No, to a greater or lesser degree, everyone is.\Including me, since I'm not doing anything.\That's right...\I only went to Susukino\to vent some of my frustration at the way things are going.\Thinking again?\There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem? response:	But what can I do?
context: Including me, since I'm not doing anything.\That's right...\I only went to Susukino\to vent some of my frustration at the way things are going.\Thinking again?\There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem?\But what can I do? response:	I don't even have a guild...
context: That's right...\I only went to Susukino\to vent some of my frustration at the way things are going.\Thinking again?\There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem?\But what can I do?\I don't even have a guild... response:	I don't have a guild...
context: I only went to Susukino\to vent some of my frustration at the way things are going.\Thinking again?\There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem?\But what can I do?\I don't even have a guild...\I don't have a guild... response:	is it?
context: to vent some of my frustration at the way things are going.\Thinking again?\There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem?\But what can I do?\I don't even have a guild...\I don't have a guild...\is it? response:	Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.
context: Thinking again?\There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem?\But what can I do?\I don't even have a guild...\I don't have a guild...\is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D. response:	That's just an excuse to run away...
context: There's nothing wrong with thinking.\But you're smart enough, so why not just solve the problem?\But what can I do?\I don't even have a guild...\I don't have a guild...\is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away... response:	Can't sleep?
context: But you're smart enough, so why not just solve the problem?\But what can I do?\I don't even have a guild...\I don't have a guild...\is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away...\Can't sleep? response:	No.
context: But what can I do?\I don't even have a guild...\I don't have a guild...\is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away...\Can't sleep?\No. response:	Yeah, I'm too tired to sleep...
context: I don't even have a guild...\I don't have a guild...\is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away...\Can't sleep?\No.\Yeah, I'm too tired to sleep... response:	Your brother helped me out yesterday.
context: I don't have a guild...\is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away...\Can't sleep?\No.\Yeah, I'm too tired to sleep...\Your brother helped me out yesterday. response:	Tohya did?
context: is it?\Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away...\Can't sleep?\No.\Yeah, I'm too tired to sleep...\Your brother helped me out yesterday.\Tohya did? response:	He's a good guy.
context: Tohya Hamelin Minori Hamelin Shigeru Honesty Crusty D.D.D.\That's just an excuse to run away...\Can't sleep?\No.\Yeah, I'm too tired to sleep...\Your brother helped me out yesterday.\Tohya did?\He's a good guy. response:	Kind, cheerful, and hard-working.
context: That's just an excuse to run away...\Can't sleep?\No.\Yeah, I'm too tired to sleep...\Your brother helped me out yesterday.\Tohya did?\He's a good guy.\Kind, cheerful, and hard-working. response:	He's just empty-headed.
context: Can't sleep?\No.\Yeah, I'm too tired to sleep...\Your brother helped me out yesterday.\Tohya did?\He's a good guy.\Kind, cheerful, and hard-working.\He's just empty-headed. response:	You two seem to really get along.
context: No.\Yeah, I'm too tired to sleep...\Your brother helped me out yesterday.\Tohya did?\He's a good guy.\Kind, cheerful, and hard-working.\He's just empty-headed.\You two seem to really get along. response:	When this world was still a game,
context: Yeah, I'm too tired to sleep...\Your brother helped me out yesterday.\Tohya did?\He's a good guy.\Kind, cheerful, and hard-working.\He's just empty-headed.\You two seem to really get along.\When this world was still a game, response:	you two would form a party and adventure together, right?
context: Your brother helped me out yesterday.\Tohya did?\He's a good guy.\Kind, cheerful, and hard-working.\He's just empty-headed.\You two seem to really get along.\When this world was still a game,\you two would form a party and adventure together, right? response:	Yeah.
context: Tohya did?\He's a good guy.\Kind, cheerful, and hard-working.\He's just empty-headed.\You two seem to really get along.\When this world was still a game,\you two would form a party and adventure together, right?\Yeah. response:	Tohya...
context: He's a good guy.\Kind, cheerful, and hard-working.\He's just empty-headed.\You two seem to really get along.\When this world was still a game,\you two would form a party and adventure together, right?\Yeah.\Tohya... response:	Tohya wanted to play.
context: Kind, cheerful, and hard-working.\He's just empty-headed.\You two seem to really get along.\When this world was still a game,\you two would form a party and adventure together, right?\Yeah.\Tohya...\Tohya wanted to play. response:	All the old guilds that invited me
context: He's just empty-headed.\You two seem to really get along.\When this world was still a game,\you two would form a party and adventure together, right?\Yeah.\Tohya...\Tohya wanted to play.\All the old guilds that invited me response:	just wanted to take advantage of my status as a veteran player.
context: You two seem to really get along.\When this world was still a game,\you two would form a party and adventure together, right?\Yeah.\Tohya...\Tohya wanted to play.\All the old guilds that invited me\just wanted to take advantage of my status as a veteran player. response:	I hated it, and that's why...
context: When this world was still a game,\you two would form a party and adventure together, right?\Yeah.\Tohya...\Tohya wanted to play.\All the old guilds that invited me\just wanted to take advantage of my status as a veteran player.\I hated it, and that's why... response:	No, that isn't it.
context: you two would form a party and adventure together, right?\Yeah.\Tohya...\Tohya wanted to play.\All the old guilds that invited me\just wanted to take advantage of my status as a veteran player.\I hated it, and that's why...\No, that isn't it. response:	It wasn't all bad, having people rely on me.
context: Yeah.\Tohya...\Tohya wanted to play.\All the old guilds that invited me\just wanted to take advantage of my status as a veteran player.\I hated it, and that's why...\No, that isn't it.\It wasn't all bad, having people rely on me. response:	I wish our guild master had a better grasp of things.
context: Tohya...\Tohya wanted to play.\All the old guilds that invited me\just wanted to take advantage of my status as a veteran player.\I hated it, and that's why...\No, that isn't it.\It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things. response:	Our guild's done for...
context: Tohya wanted to play.\All the old guilds that invited me\just wanted to take advantage of my status as a veteran player.\I hated it, and that's why...\No, that isn't it.\It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things.\Our guild's done for... response:	But when a lot of people get together,
context: All the old guilds that invited me\just wanted to take advantage of my status as a veteran player.\I hated it, and that's why...\No, that isn't it.\It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things.\Our guild's done for...\But when a lot of people get together, response:	lip service isn't enough to get by anymore. And I hated that.
context: just wanted to take advantage of my status as a veteran player.\I hated it, and that's why...\No, that isn't it.\It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things.\Our guild's done for...\But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that. response:	No...
context: I hated it, and that's why...\No, that isn't it.\It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things.\Our guild's done for...\But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that.\No... response:	I knew all that going in...
context: No, that isn't it.\It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things.\Our guild's done for...\But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that.\No...\I knew all that going in... response:	A guild... A guild?
context: It wasn't all bad, having people rely on me.\I wish our guild master had a better grasp of things.\Our guild's done for...\But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that.\No...\I knew all that going in...\A guild... A guild? response:	Do you still not like guilds, Shiroe?
context: I wish our guild master had a better grasp of things.\Our guild's done for...\But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that.\No...\I knew all that going in...\A guild... A guild?\Do you still not like guilds, Shiroe? response:	Chief...
context: Our guild's done for...\But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that.\No...\I knew all that going in...\A guild... A guild?\Do you still not like guilds, Shiroe?\Chief... response:	Meow.
context: But when a lot of people get together,\lip service isn't enough to get by anymore. And I hated that.\No...\I knew all that going in...\A guild... A guild?\Do you still not like guilds, Shiroe?\Chief...\Meow. response:	To be honest, I don't really know anymore.
context: lip service isn't enough to get by anymore. And I hated that.\No...\I knew all that going in...\A guild... A guild?\Do you still not like guilds, Shiroe?\Chief...\Meow.\To be honest, I don't really know anymore. response:	The more I think about why I didn't like guilds,
context: No...\I knew all that going in...\A guild... A guild?\Do you still not like guilds, Shiroe?\Chief...\Meow.\To be honest, I don't really know anymore.\The more I think about why I didn't like guilds, response:	the more haughty and childish I seem.
context: I knew all that going in...\A guild... A guild?\Do you still not like guilds, Shiroe?\Chief...\Meow.\To be honest, I don't really know anymore.\The more I think about why I didn't like guilds,\the more haughty and childish I seem. response:	It's true that the system itself makes it easy for guilds to go rotten.
context: A guild... A guild?\Do you still not like guilds, Shiroe?\Chief...\Meow.\To be honest, I don't really know anymore.\The more I think about why I didn't like guilds,\the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten. response:	So I can understand why you'd want to keep your distance from that.
context: Do you still not like guilds, Shiroe?\Chief...\Meow.\To be honest, I don't really know anymore.\The more I think about why I didn't like guilds,\the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that. response:	But if there were a thing that never went bad, I don't know that I'd trust it.
context: Chief...\Meow.\To be honest, I don't really know anymore.\The more I think about why I didn't like guilds,\the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it. response:	Any kind of life can go wrong, or sicken, or suffer.
context: Meow.\To be honest, I don't really know anymore.\The more I think about why I didn't like guilds,\the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer. response:	Lives get old, decay, and finally die.
context: To be honest, I don't really know anymore.\The more I think about why I didn't like guilds,\the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die. response:	Disliking that fact because it hurts isn't any different than disliking life itself.
context: The more I think about why I didn't like guilds,\the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself. response:	I know you realize this.
context: the more haughty and childish I seem.\It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this. response:	For example, our old place,
context: It's true that the system itself makes it easy for guilds to go rotten.\So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this.\For example, our old place, response:	the Tea Party, was a wonderful place...
context: So I can understand why you'd want to keep your distance from that.\But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this.\For example, our old place,\the Tea Party, was a wonderful place... response:	But the reason was because everyone worked to make it that way.
context: But if there were a thing that never went bad, I don't know that I'd trust it.\Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this.\For example, our old place,\the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way. response:	Any treasure you attain without anyone ever working is no treasure at all.
context: Any kind of life can go wrong, or sicken, or suffer.\Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this.\For example, our old place,\the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all. response:	He's right.
context: Lives get old, decay, and finally die.\Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this.\For example, our old place,\the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all.\He's right. response:	The Tea Party and the Crescent Moon Alliance...
context: Disliking that fact because it hurts isn't any different than disliking life itself.\I know you realize this.\For example, our old place,\the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all.\He's right.\The Tea Party and the Crescent Moon Alliance... response:	In both, there was someone hard at work behind the scenes...
context: I know you realize this.\For example, our old place,\the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all.\He's right.\The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes... response:	Chief, what should I do?
context: For example, our old place,\the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all.\He's right.\The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes...\Chief, what should I do? response:	The most amazing thing that you can.
context: the Tea Party, was a wonderful place...\But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all.\He's right.\The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes...\Chief, what should I do?\The most amazing thing that you can. response:	Amazing?
context: But the reason was because everyone worked to make it that way.\Any treasure you attain without anyone ever working is no treasure at all.\He's right.\The Tea Party and the Crescent Moon Alliance...\In both, there was someone hard at work behind the scenes...\Chief, what should I do?\The most amazing thing that you can.\Amazing? response:	You hold back too often.
