context: I've had this image in my head since I was a child. response:	An image of a landscape you could find anywhere.
context: Nanami-san, you're being too lax!\You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times.\And Kai-kun is nice,\so he wouldn't try anything funny...\He wouldn't, would he?\O-Of course not.\You paused! response:	You thought about it for a second!
context: You can't let a girl and guy live under the same roof like this!\People have to help each other out when they're on hard times.\And Kai-kun is nice,\so he wouldn't try anything funny...\He wouldn't, would he?\O-Of course not.\You paused!\You thought about it for a second! response:	No, I didn't!
context: People have to help each other out when they're on hard times.\And Kai-kun is nice,\so he wouldn't try anything funny...\He wouldn't, would he?\O-Of course not.\You paused!\You thought about it for a second!\No, I didn't! response:	Your eyes are lying!
context: And Kai-kun is nice,\so he wouldn't try anything funny...\He wouldn't, would he?\O-Of course not.\You paused!\You thought about it for a second!\No, I didn't!\Your eyes are lying! response:	What eyes?!
context: so he wouldn't try anything funny...\He wouldn't, would he?\O-Of course not.\You paused!\You thought about it for a second!\No, I didn't!\Your eyes are lying!\What eyes?! response:	Your eyes right now!
context: He wouldn't, would he?\O-Of course not.\You paused!\You thought about it for a second!\No, I didn't!\Your eyes are lying!\What eyes?!\Your eyes right now! response:	Okay, so it's settled.
context: O-Of course not.\You paused!\You thought about it for a second!\No, I didn't!\Your eyes are lying!\What eyes?!\Your eyes right now!\Okay, so it's settled. response:	I'm not at all worthy of such favor,
context: You paused!\You thought about it for a second!\No, I didn't!\Your eyes are lying!\What eyes?!\Your eyes right now!\Okay, so it's settled.\I'm not at all worthy of such favor, response:	but I thank you, Onee-san.
context: You thought about it for a second!\No, I didn't!\Your eyes are lying!\What eyes?!\Your eyes right now!\Okay, so it's settled.\I'm not at all worthy of such favor,\but I thank you, Onee-san. response:	Call me Onee-chan.
context: No, I didn't!\Your eyes are lying!\What eyes?!\Your eyes right now!\Okay, so it's settled.\I'm not at all worthy of such favor,\but I thank you, Onee-san.\Call me Onee-chan. response:	Okay, Onee-chan-san!
context: Your eyes are lying!\What eyes?!\Your eyes right now!\Okay, so it's settled.\I'm not at all worthy of such favor,\but I thank you, Onee-san.\Call me Onee-chan.\Okay, Onee-chan-san! response:	They sound like they're going to get married...
context: What eyes?!\Your eyes right now!\Okay, so it's settled.\I'm not at all worthy of such favor,\but I thank you, Onee-san.\Call me Onee-chan.\Okay, Onee-chan-san!\They sound like they're going to get married... response:	I'm going to walk Tanigawa home.
context: Your eyes right now!\Okay, so it's settled.\I'm not at all worthy of such favor,\but I thank you, Onee-san.\Call me Onee-chan.\Okay, Onee-chan-san!\They sound like they're going to get married...\I'm going to walk Tanigawa home. response:	You seem like you're mad.
context: Okay, so it's settled.\I'm not at all worthy of such favor,\but I thank you, Onee-san.\Call me Onee-chan.\Okay, Onee-chan-san!\They sound like they're going to get married...\I'm going to walk Tanigawa home.\You seem like you're mad. response:	I'm not.
context: I'm not at all worthy of such favor,\but I thank you, Onee-san.\Call me Onee-chan.\Okay, Onee-chan-san!\They sound like they're going to get married...\I'm going to walk Tanigawa home.\You seem like you're mad.\I'm not. response:	So, Tanigawa...
context: but I thank you, Onee-san.\Call me Onee-chan.\Okay, Onee-chan-san!\They sound like they're going to get married...\I'm going to walk Tanigawa home.\You seem like you're mad.\I'm not.\So, Tanigawa... response:	Senpai, she's...
context: Call me Onee-chan.\Okay, Onee-chan-san!\They sound like they're going to get married...\I'm going to walk Tanigawa home.\You seem like you're mad.\I'm not.\So, Tanigawa...\Senpai, she's... response:	You're just helping her out, right?
context: Okay, Onee-chan-san!\They sound like they're going to get married...\I'm going to walk Tanigawa home.\You seem like you're mad.\I'm not.\So, Tanigawa...\Senpai, she's...\You're just helping her out, right? response:	She was in a bad spot and you just helped her out, right?
context: They sound like they're going to get married...\I'm going to walk Tanigawa home.\You seem like you're mad.\I'm not.\So, Tanigawa...\Senpai, she's...\You're just helping her out, right?\She was in a bad spot and you just helped her out, right? response:	Yeah, that's it.
context: I'm going to walk Tanigawa home.\You seem like you're mad.\I'm not.\So, Tanigawa...\Senpai, she's...\You're just helping her out, right?\She was in a bad spot and you just helped her out, right?\Yeah, that's it. response:	That's all there was to it.
context: You seem like you're mad.\I'm not.\So, Tanigawa...\Senpai, she's...\You're just helping her out, right?\She was in a bad spot and you just helped her out, right?\Yeah, that's it.\That's all there was to it. response:	Then I'll trust you.
context: I'm not.\So, Tanigawa...\Senpai, she's...\You're just helping her out, right?\She was in a bad spot and you just helped her out, right?\Yeah, that's it.\That's all there was to it.\Then I'll trust you. response:	Huh...
context: So, Tanigawa...\Senpai, she's...\You're just helping her out, right?\She was in a bad spot and you just helped her out, right?\Yeah, that's it.\That's all there was to it.\Then I'll trust you.\Huh... response:	You don't have to walk me any farther.
context: Senpai, she's...\You're just helping her out, right?\She was in a bad spot and you just helped her out, right?\Yeah, that's it.\That's all there was to it.\Then I'll trust you.\Huh...\You don't have to walk me any farther. response:	See you tomorrow!
context: You're just helping her out, right?\She was in a bad spot and you just helped her out, right?\Yeah, that's it.\That's all there was to it.\Then I'll trust you.\Huh...\You don't have to walk me any farther.\See you tomorrow! response:	Tomorrow, huh?
context: She was in a bad spot and you just helped her out, right?\Yeah, that's it.\That's all there was to it.\Then I'll trust you.\Huh...\You don't have to walk me any farther.\See you tomorrow!\Tomorrow, huh? response:	Really?
context: Yeah, that's it.\That's all there was to it.\Then I'll trust you.\Huh...\You don't have to walk me any farther.\See you tomorrow!\Tomorrow, huh?\Really? response:	So that pretty girl is going to stay at Kirishima-kun's house?
context: That's all there was to it.\Then I'll trust you.\Huh...\You don't have to walk me any farther.\See you tomorrow!\Tomorrow, huh?\Really?\So that pretty girl is going to stay at Kirishima-kun's house? response:	How did that happen, Kanna?
context: Then I'll trust you.\Huh...\You don't have to walk me any farther.\See you tomorrow!\Tomorrow, huh?\Really?\So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna? response:	I don't really know.
context: Huh...\You don't have to walk me any farther.\See you tomorrow!\Tomorrow, huh?\Really?\So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna?\I don't really know. response:	It just kind of kept building up to that.
context: You don't have to walk me any farther.\See you tomorrow!\Tomorrow, huh?\Really?\So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna?\I don't really know.\It just kind of kept building up to that. response:	But Kirishima-kun lives there with his sister.
context: See you tomorrow!\Tomorrow, huh?\Really?\So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna?\I don't really know.\It just kind of kept building up to that.\But Kirishima-kun lives there with his sister. response:	His sister is leaving tomorrow on a long business trip.
context: Tomorrow, huh?\Really?\So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna?\I don't really know.\It just kind of kept building up to that.\But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip. response:	What? Seriously?
context: Really?\So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna?\I don't really know.\It just kind of kept building up to that.\But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip.\What? Seriously? response:	That happened pretty fast.
context: So that pretty girl is going to stay at Kirishima-kun's house?\How did that happen, Kanna?\I don't really know.\It just kind of kept building up to that.\But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip.\What? Seriously?\That happened pretty fast. response:	What should we do, Tetsuro-kun?
context: How did that happen, Kanna?\I don't really know.\It just kind of kept building up to that.\But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip.\What? Seriously?\That happened pretty fast.\What should we do, Tetsuro-kun? response:	I've got it.
context: I don't really know.\It just kind of kept building up to that.\But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip.\What? Seriously?\That happened pretty fast.\What should we do, Tetsuro-kun?\I've got it. response:	Got what?
context: It just kind of kept building up to that.\But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip.\What? Seriously?\That happened pretty fast.\What should we do, Tetsuro-kun?\I've got it.\Got what? response:	I know where we're going tomorrow for our meeting.
context: But Kirishima-kun lives there with his sister.\His sister is leaving tomorrow on a long business trip.\What? Seriously?\That happened pretty fast.\What should we do, Tetsuro-kun?\I've got it.\Got what?\I know where we're going tomorrow for our meeting. response:	I'm home.
context: His sister is leaving tomorrow on a long business trip.\What? Seriously?\That happened pretty fast.\What should we do, Tetsuro-kun?\I've got it.\Got what?\I know where we're going tomorrow for our meeting.\I'm home. response:	Dinner's ready.
context: What? Seriously?\That happened pretty fast.\What should we do, Tetsuro-kun?\I've got it.\Got what?\I know where we're going tomorrow for our meeting.\I'm home.\Dinner's ready. response:	Is something wrong?
context: That happened pretty fast.\What should we do, Tetsuro-kun?\I've got it.\Got what?\I know where we're going tomorrow for our meeting.\I'm home.\Dinner's ready.\Is something wrong? response:	N-No, it's nothing.
context: What should we do, Tetsuro-kun?\I've got it.\Got what?\I know where we're going tomorrow for our meeting.\I'm home.\Dinner's ready.\Is something wrong?\N-No, it's nothing. response:	U-Uh...
context: I've got it.\Got what?\I know where we're going tomorrow for our meeting.\I'm home.\Dinner's ready.\Is something wrong?\N-No, it's nothing.\U-Uh... response:	Where's my sister?
context: Got what?\I know where we're going tomorrow for our meeting.\I'm home.\Dinner's ready.\Is something wrong?\N-No, it's nothing.\U-Uh...\Where's my sister? response:	She said she still had to do some packing.
context: I know where we're going tomorrow for our meeting.\I'm home.\Dinner's ready.\Is something wrong?\N-No, it's nothing.\U-Uh...\Where's my sister?\She said she still had to do some packing. response:	She ate dinner already and is in her room.
context: I'm home.\Dinner's ready.\Is something wrong?\N-No, it's nothing.\U-Uh...\Where's my sister?\She said she still had to do some packing.\She ate dinner already and is in her room. response:	Oh, I see.
context: Dinner's ready.\Is something wrong?\N-No, it's nothing.\U-Uh...\Where's my sister?\She said she still had to do some packing.\She ate dinner already and is in her room.\Oh, I see. response:	Pasta and miso soup?
context: Is something wrong?\N-No, it's nothing.\U-Uh...\Where's my sister?\She said she still had to do some packing.\She ate dinner already and is in her room.\Oh, I see.\Pasta and miso soup? response:	Pretty normal, right?
context: N-No, it's nothing.\U-Uh...\Where's my sister?\She said she still had to do some packing.\She ate dinner already and is in her room.\Oh, I see.\Pasta and miso soup?\Pretty normal, right? response:	Besides the pairing.
context: U-Uh...\Where's my sister?\She said she still had to do some packing.\She ate dinner already and is in her room.\Oh, I see.\Pasta and miso soup?\Pretty normal, right?\Besides the pairing. response:	Did I get something wrong?
context: Where's my sister?\She said she still had to do some packing.\She ate dinner already and is in her room.\Oh, I see.\Pasta and miso soup?\Pretty normal, right?\Besides the pairing.\Did I get something wrong? response:	No, it's fine.
context: She said she still had to do some packing.\She ate dinner already and is in her room.\Oh, I see.\Pasta and miso soup?\Pretty normal, right?\Besides the pairing.\Did I get something wrong?\No, it's fine. response:	I'll have some.
context: She ate dinner already and is in her room.\Oh, I see.\Pasta and miso soup?\Pretty normal, right?\Besides the pairing.\Did I get something wrong?\No, it's fine.\I'll have some. response:	How is it?
context: Oh, I see.\Pasta and miso soup?\Pretty normal, right?\Besides the pairing.\Did I get something wrong?\No, it's fine.\I'll have some.\How is it? response:	A-Are you okay?!
context: Pasta and miso soup?\Pretty normal, right?\Besides the pairing.\Did I get something wrong?\No, it's fine.\I'll have some.\How is it?\A-Are you okay?! response:	Is it bad?
context: Pretty normal, right?\Besides the pairing.\Did I get something wrong?\No, it's fine.\I'll have some.\How is it?\A-Are you okay?!\Is it bad? response:	No, it's not that...
context: Besides the pairing.\Did I get something wrong?\No, it's fine.\I'll have some.\How is it?\A-Are you okay?!\Is it bad?\No, it's not that... response:	It tastes kind of sour...
context: Did I get something wrong?\No, it's fine.\I'll have some.\How is it?\A-Are you okay?!\Is it bad?\No, it's not that...\It tastes kind of sour... response:	Is this a cold noodle dish?
context: No, it's fine.\I'll have some.\How is it?\A-Are you okay?!\Is it bad?\No, it's not that...\It tastes kind of sour...\Is this a cold noodle dish? response:	Yeah...
context: I'll have some.\How is it?\A-Are you okay?!\Is it bad?\No, it's not that...\It tastes kind of sour...\Is this a cold noodle dish?\Yeah... response:	It was hot today, so I thought something cold would be good.
context: How is it?\A-Are you okay?!\Is it bad?\No, it's not that...\It tastes kind of sour...\Is this a cold noodle dish?\Yeah...\It was hot today, so I thought something cold would be good. response:	I just wasn't expecting the flavor, so I was surprised.
context: A-Are you okay?!\Is it bad?\No, it's not that...\It tastes kind of sour...\Is this a cold noodle dish?\Yeah...\It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised. response:	Yeah, this cold pasta will be fine.
context: Is it bad?\No, it's not that...\It tastes kind of sour...\Is this a cold noodle dish?\Yeah...\It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine. response:	Could I ask you a question?
context: No, it's not that...\It tastes kind of sour...\Is this a cold noodle dish?\Yeah...\It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine.\Could I ask you a question? response:	What is it?
context: It tastes kind of sour...\Is this a cold noodle dish?\Yeah...\It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine.\Could I ask you a question?\What is it? response:	Why did you come to study abroad here?
context: Is this a cold noodle dish?\Yeah...\It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine.\Could I ask you a question?\What is it?\Why did you come to study abroad here? response:	Hm...
context: Yeah...\It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine.\Could I ask you a question?\What is it?\Why did you come to study abroad here?\Hm... response:	There's a place I wanted to visit.
context: It was hot today, so I thought something cold would be good.\I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine.\Could I ask you a question?\What is it?\Why did you come to study abroad here?\Hm...\There's a place I wanted to visit. response:	Where's that?
context: I just wasn't expecting the flavor, so I was surprised.\Yeah, this cold pasta will be fine.\Could I ask you a question?\What is it?\Why did you come to study abroad here?\Hm...\There's a place I wanted to visit.\Where's that? response:	Is it around here?
context: Yeah, this cold pasta will be fine.\Could I ask you a question?\What is it?\Why did you come to study abroad here?\Hm...\There's a place I wanted to visit.\Where's that?\Is it around here? response:	I could take you there, if you'd like.
context: Could I ask you a question?\What is it?\Why did you come to study abroad here?\Hm...\There's a place I wanted to visit.\Where's that?\Is it around here?\I could take you there, if you'd like. response:	Well, I don't know where it is...
context: What is it?\Why did you come to study abroad here?\Hm...\There's a place I wanted to visit.\Where's that?\Is it around here?\I could take you there, if you'd like.\Well, I don't know where it is... response:	You don't know...
context: Why did you come to study abroad here?\Hm...\There's a place I wanted to visit.\Where's that?\Is it around here?\I could take you there, if you'd like.\Well, I don't know where it is...\You don't know... response:	There's a tree there, and a lake.
context: Hm...\There's a place I wanted to visit.\Where's that?\Is it around here?\I could take you there, if you'd like.\Well, I don't know where it is...\You don't know...\There's a tree there, and a lake. response:	It doesn't really have anything special to identify it.
context: There's a place I wanted to visit.\Where's that?\Is it around here?\I could take you there, if you'd like.\Well, I don't know where it is...\You don't know...\There's a tree there, and a lake.\It doesn't really have anything special to identify it. response:	That'd make it hard to find.
context: Where's that?\Is it around here?\I could take you there, if you'd like.\Well, I don't know where it is...\You don't know...\There's a tree there, and a lake.\It doesn't really have anything special to identify it.\That'd make it hard to find. response:	Yeah.
context: Is it around here?\I could take you there, if you'd like.\Well, I don't know where it is...\You don't know...\There's a tree there, and a lake.\It doesn't really have anything special to identify it.\That'd make it hard to find.\Yeah. response:	But I'd still like to go there.
context: I could take you there, if you'd like.\Well, I don't know where it is...\You don't know...\There's a tree there, and a lake.\It doesn't really have anything special to identify it.\That'd make it hard to find.\Yeah.\But I'd still like to go there. response:	That was one hectic day.
context: Well, I don't know where it is...\You don't know...\There's a tree there, and a lake.\It doesn't really have anything special to identify it.\That'd make it hard to find.\Yeah.\But I'd still like to go there.\That was one hectic day. response:	And I have to have a meeting with everyone tomorrow...
context: You don't know...\There's a tree there, and a lake.\It doesn't really have anything special to identify it.\That'd make it hard to find.\Yeah.\But I'd still like to go there.\That was one hectic day.\And I have to have a meeting with everyone tomorrow... response:	How am I going to explain this to them?
context: There's a tree there, and a lake.\It doesn't really have anything special to identify it.\That'd make it hard to find.\Yeah.\But I'd still like to go there.\That was one hectic day.\And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them? response:	Actually...
context: It doesn't really have anything special to identify it.\That'd make it hard to find.\Yeah.\But I'd still like to go there.\That was one hectic day.\And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them?\Actually... response:	What is this?
context: That'd make it hard to find.\Yeah.\But I'd still like to go there.\That was one hectic day.\And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them?\Actually...\What is this? response:	It's spreading?
context: Yeah.\But I'd still like to go there.\That was one hectic day.\And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them?\Actually...\What is this?\It's spreading? response:	Oh, yeah, not too long ago, I...
context: But I'd still like to go there.\That was one hectic day.\And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them?\Actually...\What is this?\It's spreading?\Oh, yeah, not too long ago, I... response:	Did you think he'd get better if you embraced him?
context: That was one hectic day.\And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them?\Actually...\What is this?\It's spreading?\Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him? response:	Embraced...
context: And I have to have a meeting with everyone tomorrow...\How am I going to explain this to them?\Actually...\What is this?\It's spreading?\Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him?\Embraced... response:	Oh, my.
context: How am I going to explain this to them?\Actually...\What is this?\It's spreading?\Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him?\Embraced...\Oh, my. response:	I need to give you medical attention right away.
context: Actually...\What is this?\It's spreading?\Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him?\Embraced...\Oh, my.\I need to give you medical attention right away. response:	Pain, pain, go away.
context: What is this?\It's spreading?\Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him?\Embraced...\Oh, my.\I need to give you medical attention right away.\Pain, pain, go away. response:	Kiss.
context: It's spreading?\Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him?\Embraced...\Oh, my.\I need to give you medical attention right away.\Pain, pain, go away.\Kiss. response:	Yeah, right.
context: Oh, yeah, not too long ago, I...\Did you think he'd get better if you embraced him?\Embraced...\Oh, my.\I need to give you medical attention right away.\Pain, pain, go away.\Kiss.\Yeah, right. response:	That'd never happen.
context: Did you think he'd get better if you embraced him?\Embraced...\Oh, my.\I need to give you medical attention right away.\Pain, pain, go away.\Kiss.\Yeah, right.\That'd never happen. response:	This isn't working.
context: Embraced...\Oh, my.\I need to give you medical attention right away.\Pain, pain, go away.\Kiss.\Yeah, right.\That'd never happen.\This isn't working. response:	It doesn't look like I can repair it.
context: Oh, my.\I need to give you medical attention right away.\Pain, pain, go away.\Kiss.\Yeah, right.\That'd never happen.\This isn't working.\It doesn't look like I can repair it. response:	Rinon, how is the quan linkage looking?
context: I need to give you medical attention right away.\Pain, pain, go away.\Kiss.\Yeah, right.\That'd never happen.\This isn't working.\It doesn't look like I can repair it.\Rinon, how is the quan linkage looking? response:	It's bugging out pretty badly.
context: Pain, pain, go away.\Kiss.\Yeah, right.\That'd never happen.\This isn't working.\It doesn't look like I can repair it.\Rinon, how is the quan linkage looking?\It's bugging out pretty badly. response:	But I don't regret what's happened.
context: Kiss.\Yeah, right.\That'd never happen.\This isn't working.\It doesn't look like I can repair it.\Rinon, how is the quan linkage looking?\It's bugging out pretty badly.\But I don't regret what's happened. response:	I was able to make it to this planet.
context: Yeah, right.\That'd never happen.\This isn't working.\It doesn't look like I can repair it.\Rinon, how is the quan linkage looking?\It's bugging out pretty badly.\But I don't regret what's happened.\I was able to make it to this planet. response:	Maybe I was too tired from everything going on,
context: That'd never happen.\This isn't working.\It doesn't look like I can repair it.\Rinon, how is the quan linkage looking?\It's bugging out pretty badly.\But I don't regret what's happened.\I was able to make it to this planet.\Maybe I was too tired from everything going on, response:	but as soon as I hit my bed, I fell right asleep.
context: This isn't working.\It doesn't look like I can repair it.\Rinon, how is the quan linkage looking?\It's bugging out pretty badly.\But I don't regret what's happened.\I was able to make it to this planet.\Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep. response:	I didn't even have any dreams.
context: It doesn't look like I can repair it.\Rinon, how is the quan linkage looking?\It's bugging out pretty badly.\But I don't regret what's happened.\I was able to make it to this planet.\Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams. response:	Episode 2 Together with Senpai...
context: Rinon, how is the quan linkage looking?\It's bugging out pretty badly.\But I don't regret what's happened.\I was able to make it to this planet.\Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams.\Episode 2 Together with Senpai... response:	Kaito-kun.
context: It's bugging out pretty badly.\But I don't regret what's happened.\I was able to make it to this planet.\Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams.\Episode 2 Together with Senpai...\Kaito-kun. response:	Kaito-kun.
context: But I don't regret what's happened.\I was able to make it to this planet.\Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams.\Episode 2 Together with Senpai...\Kaito-kun.\Kaito-kun. response:	Wake up, Kaito-kun.
context: I was able to make it to this planet.\Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams.\Episode 2 Together with Senpai...\Kaito-kun.\Kaito-kun.\Wake up, Kaito-kun. response:	Onee-chan-san said she's going to leave soon.
context: Maybe I was too tired from everything going on,\but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams.\Episode 2 Together with Senpai...\Kaito-kun.\Kaito-kun.\Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon. response:	I didn't know it was so late...
context: but as soon as I hit my bed, I fell right asleep.\I didn't even have any dreams.\Episode 2 Together with Senpai...\Kaito-kun.\Kaito-kun.\Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon.\I didn't know it was so late... response:	Wh-What's wrong?
context: I didn't even have any dreams.\Episode 2 Together with Senpai...\Kaito-kun.\Kaito-kun.\Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon.\I didn't know it was so late...\Wh-What's wrong? response:	You're wearing...
context: Episode 2 Together with Senpai...\Kaito-kun.\Kaito-kun.\Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon.\I didn't know it was so late...\Wh-What's wrong?\You're wearing... response:	Oh, I borrowed it from Onee-chan-san.
context: Kaito-kun.\Kaito-kun.\Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon.\I didn't know it was so late...\Wh-What's wrong?\You're wearing...\Oh, I borrowed it from Onee-chan-san. response:	Sleepwear from this area is a little embarrassing.
context: Kaito-kun.\Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon.\I didn't know it was so late...\Wh-What's wrong?\You're wearing...\Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing. response:	I-It really is!
context: Wake up, Kaito-kun.\Onee-chan-san said she's going to leave soon.\I didn't know it was so late...\Wh-What's wrong?\You're wearing...\Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing.\I-It really is! response:	Kai-kun!
context: Onee-chan-san said she's going to leave soon.\I didn't know it was so late...\Wh-What's wrong?\You're wearing...\Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing.\I-It really is!\Kai-kun! response:	Your sister is leaving!
context: I didn't know it was so late...\Wh-What's wrong?\You're wearing...\Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing.\I-It really is!\Kai-kun!\Your sister is leaving! response:	If you don't say goodbye, I'm going to cry!
context: Wh-What's wrong?\You're wearing...\Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing.\I-It really is!\Kai-kun!\Your sister is leaving!\If you don't say goodbye, I'm going to cry! response:	I'll be right down!
context: You're wearing...\Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing.\I-It really is!\Kai-kun!\Your sister is leaving!\If you don't say goodbye, I'm going to cry!\I'll be right down! response:	Kaito-kun, make sure you don't get sick.
context: Oh, I borrowed it from Onee-chan-san.\Sleepwear from this area is a little embarrassing.\I-It really is!\Kai-kun!\Your sister is leaving!\If you don't say goodbye, I'm going to cry!\I'll be right down!\Kaito-kun, make sure you don't get sick. response:	Try not to use too much out of your living expenses.
context: Sleepwear from this area is a little embarrassing.\I-It really is!\Kai-kun!\Your sister is leaving!\If you don't say goodbye, I'm going to cry!\I'll be right down!\Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses. response:	Make sure you study, get along with your friends,
context: I-It really is!\Kai-kun!\Your sister is leaving!\If you don't say goodbye, I'm going to cry!\I'll be right down!\Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses.\Make sure you study, get along with your friends, response:	and don't stay up too late.
context: Kai-kun!\Your sister is leaving!\If you don't say goodbye, I'm going to cry!\I'll be right down!\Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses.\Make sure you study, get along with your friends,\and don't stay up too late. response:	I'm getting sad, so goodbye and take care.
context: Your sister is leaving!\If you don't say goodbye, I'm going to cry!\I'll be right down!\Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses.\Make sure you study, get along with your friends,\and don't stay up too late.\I'm getting sad, so goodbye and take care. response:	Ichika-chan, take care of Kai-kun for me...
context: If you don't say goodbye, I'm going to cry!\I'll be right down!\Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses.\Make sure you study, get along with your friends,\and don't stay up too late.\I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me... response:	It's time to go.
context: I'll be right down!\Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses.\Make sure you study, get along with your friends,\and don't stay up too late.\I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me...\It's time to go. response:	She finally left.
context: Kaito-kun, make sure you don't get sick.\Try not to use too much out of your living expenses.\Make sure you study, get along with your friends,\and don't stay up too late.\I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me...\It's time to go.\She finally left. response:	Kaito-kun.
context: Try not to use too much out of your living expenses.\Make sure you study, get along with your friends,\and don't stay up too late.\I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me...\It's time to go.\She finally left.\Kaito-kun. response:	You lonely?
context: Make sure you study, get along with your friends,\and don't stay up too late.\I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me...\It's time to go.\She finally left.\Kaito-kun.\You lonely? response:	A little, I guess.
context: and don't stay up too late.\I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me...\It's time to go.\She finally left.\Kaito-kun.\You lonely?\A little, I guess. response:	Oh, yeah, Senpai.
context: I'm getting sad, so goodbye and take care.\Ichika-chan, take care of Kai-kun for me...\It's time to go.\She finally left.\Kaito-kun.\You lonely?\A little, I guess.\Oh, yeah, Senpai. response:	There's a place I want to stop by before we head back.
context: Ichika-chan, take care of Kai-kun for me...\It's time to go.\She finally left.\Kaito-kun.\You lonely?\A little, I guess.\Oh, yeah, Senpai.\There's a place I want to stop by before we head back. response:	A place you want to stop by?
context: It's time to go.\She finally left.\Kaito-kun.\You lonely?\A little, I guess.\Oh, yeah, Senpai.\There's a place I want to stop by before we head back.\A place you want to stop by? response:	Nee-san asked me to.
context: She finally left.\Kaito-kun.\You lonely?\A little, I guess.\Oh, yeah, Senpai.\There's a place I want to stop by before we head back.\A place you want to stop by?\Nee-san asked me to. response:	Onee-chan-san did?
