context: This is the depths' second layer... response:	We did it, Reg!
context: Reg! It's alright!\Let's see, it was around...\this big or so.\What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away!\It'll be fine!\Reg, you used to be able to control that power quite well! response:	Let's train it together!
context: Let's see, it was around...\this big or so.\What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away!\It'll be fine!\Reg, you used to be able to control that power quite well!\Let's train it together! response:	This power of yours...
context: this big or so.\What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away!\It'll be fine!\Reg, you used to be able to control that power quite well!\Let's train it together!\This power of yours... response:	is something you can master!
context: What exactly was?\The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away!\It'll be fine!\Reg, you used to be able to control that power quite well!\Let's train it together!\This power of yours...\is something you can master! response:	Riko...
context: The size of the blast from your Incinerator the first time you saved me, Reg!\And that was from about 200 meters away!\It'll be fine!\Reg, you used to be able to control that power quite well!\Let's train it together!\This power of yours...\is something you can master!\Riko... response:	Reg...?
context: And that was from about 200 meters away!\It'll be fine!\Reg, you used to be able to control that power quite well!\Let's train it together!\This power of yours...\is something you can master!\Riko...\Reg...? response:	Huh? What's going on?
context: It'll be fine!\Reg, you used to be able to control that power quite well!\Let's train it together!\This power of yours...\is something you can master!\Riko...\Reg...?\Huh? What's going on? response:	Are you alright? Reg?
context: Reg, you used to be able to control that power quite well!\Let's train it together!\This power of yours...\is something you can master!\Riko...\Reg...?\Huh? What's going on?\Are you alright? Reg? response:	Reg!
context: Let's train it together!\This power of yours...\is something you can master!\Riko...\Reg...?\Huh? What's going on?\Are you alright? Reg?\Reg! response:	Reg!
context: This power of yours...\is something you can master!\Riko...\Reg...?\Huh? What's going on?\Are you alright? Reg?\Reg!\Reg! response:	What's the matter, Reg?!
context: is something you can master!\Riko...\Reg...?\Huh? What's going on?\Are you alright? Reg?\Reg!\Reg!\What's the matter, Reg?! response:	Help...
context: Riko...\Reg...?\Huh? What's going on?\Are you alright? Reg?\Reg!\Reg!\What's the matter, Reg?!\Help... response:	Help me...
context: Reg...?\Huh? What's going on?\Are you alright? Reg?\Reg!\Reg!\What's the matter, Reg?!\Help...\Help me... response:	Gone... Gone...
context: Huh? What's going on?\Are you alright? Reg?\Reg!\Reg!\What's the matter, Reg?!\Help...\Help me...\Gone... Gone... response:	It's gone...
context: Are you alright? Reg?\Reg!\Reg!\What's the matter, Reg?!\Help...\Help me...\Gone... Gone...\It's gone... response:	It's gone!
context: Reg!\Reg!\What's the matter, Reg?!\Help...\Help me...\Gone... Gone...\It's gone...\It's gone! response:	Riko?
context: Reg!\What's the matter, Reg?!\Help...\Help me...\Gone... Gone...\It's gone...\It's gone!\Riko? response:	Reg, you're awake!
context: What's the matter, Reg?!\Help...\Help me...\Gone... Gone...\It's gone...\It's gone!\Riko?\Reg, you're awake! response:	Hey, so are you alright?
context: Help...\Help me...\Gone... Gone...\It's gone...\It's gone!\Riko?\Reg, you're awake!\Hey, so are you alright? response:	You suddenly fell asleep and wouldn't wake up no matter what!
context: Help me...\Gone... Gone...\It's gone...\It's gone!\Riko?\Reg, you're awake!\Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what! response:	Did firing your Incinerator tire you out?
context: Gone... Gone...\It's gone...\It's gone!\Riko?\Reg, you're awake!\Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out? response:	Ah, that right...?
context: It's gone...\It's gone!\Riko?\Reg, you're awake!\Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out?\Ah, that right...? response:	I'm, uh... fine.
context: It's gone!\Riko?\Reg, you're awake!\Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out?\Ah, that right...?\I'm, uh... fine. response:	I see! Good to hear!
context: Riko?\Reg, you're awake!\Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out?\Ah, that right...?\I'm, uh... fine.\I see! Good to hear! response:	Anyway, what were you yelling about?
context: Reg, you're awake!\Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out?\Ah, that right...?\I'm, uh... fine.\I see! Good to hear!\Anyway, what were you yelling about? response:	Oh, that's right!
context: Hey, so are you alright?\You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out?\Ah, that right...?\I'm, uh... fine.\I see! Good to hear!\Anyway, what were you yelling about?\Oh, that's right! response:	My cave-raiding notebook is gone!
context: You suddenly fell asleep and wouldn't wake up no matter what!\Did firing your Incinerator tire you out?\Ah, that right...?\I'm, uh... fine.\I see! Good to hear!\Anyway, what were you yelling about?\Oh, that's right!\My cave-raiding notebook is gone! response:	That notebook you were always making memos in?
context: Did firing your Incinerator tire you out?\Ah, that right...?\I'm, uh... fine.\I see! Good to hear!\Anyway, what were you yelling about?\Oh, that's right!\My cave-raiding notebook is gone!\That notebook you were always making memos in? response:	Yeah.
context: Ah, that right...?\I'm, uh... fine.\I see! Good to hear!\Anyway, what were you yelling about?\Oh, that's right!\My cave-raiding notebook is gone!\That notebook you were always making memos in?\Yeah. response:	It's possible I dropped it when that corpse-weeper snatched me...
context: I'm, uh... fine.\I see! Good to hear!\Anyway, what were you yelling about?\Oh, that's right!\My cave-raiding notebook is gone!\That notebook you were always making memos in?\Yeah.\It's possible I dropped it when that corpse-weeper snatched me... response:	The clasp on my pouch also got busted.
context: I see! Good to hear!\Anyway, what were you yelling about?\Oh, that's right!\My cave-raiding notebook is gone!\That notebook you were always making memos in?\Yeah.\It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted. response:	If that's the case, then...
context: Anyway, what were you yelling about?\Oh, that's right!\My cave-raiding notebook is gone!\That notebook you were always making memos in?\Yeah.\It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted.\If that's the case, then... response:	Well, there's nothing we can do about it.
context: Oh, that's right!\My cave-raiding notebook is gone!\That notebook you were always making memos in?\Yeah.\It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted.\If that's the case, then...\Well, there's nothing we can do about it. response:	You okay with that?!
context: My cave-raiding notebook is gone!\That notebook you were always making memos in?\Yeah.\It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted.\If that's the case, then...\Well, there's nothing we can do about it.\You okay with that?! response:	Yeah...
context: That notebook you were always making memos in?\Yeah.\It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted.\If that's the case, then...\Well, there's nothing we can do about it.\You okay with that?!\Yeah... response:	but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...
context: Yeah.\It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted.\If that's the case, then...\Well, there's nothing we can do about it.\You okay with that?!\Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first... response:	I mean, when it's found a long time from now, it'll only contain my writings up till this point,
context: It's possible I dropped it when that corpse-weeper snatched me...\The clasp on my pouch also got busted.\If that's the case, then...\Well, there's nothing we can do about it.\You okay with that?!\Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point, response:	so my legend won't spread far and wide, you know?
context: The clasp on my pouch also got busted.\If that's the case, then...\Well, there's nothing we can do about it.\You okay with that?!\Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know? response:	Stuff like: Amazing! Riko totally made it to the deepest depths! Or...
context: If that's the case, then...\Well, there's nothing we can do about it.\You okay with that?!\Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or... response:	That Star Compass really was pointed to the netherworld's bottom! and so on.
context: Well, there's nothing we can do about it.\You okay with that?!\Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on. response:	But you dropped that not too long ago, too...
context: You okay with that?!\Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too... response:	I at least wanted to add something about your Incinerator to my catalog of your features, Reg.
context: Yeah...\but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg. response:	That's my only regret...
context: but if I had to lose it, I would've liked to have gotten to the bottom of the netherworld first...\I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret... response:	I'm quite sure she also wrote something in there about how my penis looks like a real one...
context: I mean, when it's found a long time from now, it'll only contain my writings up till this point,\so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one... response:	I hope it stays hidden in the netherworld's darkness for all eternity.
context: so my legend won't spread far and wide, you know?\Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity. response:	Let's make a new one!
context: Stuff like: Amazing! Riko totally made it to the deepest depths! Or...\That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one! response:	Oh!
context: That Star Compass really was pointed to the netherworld's bottom! and so on.\But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one!\Oh! response:	I tried roasting it under some ouba leaves.
context: But you dropped that not too long ago, too...\I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one!\Oh!\I tried roasting it under some ouba leaves. response:	I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.
context: I at least wanted to add something about your Incinerator to my catalog of your features, Reg.\That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one!\Oh!\I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes. response:	This... even looks tasty, doesn't it?!
context: That's my only regret...\I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one!\Oh!\I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?! response:	Thanks for the food!
context: I'm quite sure she also wrote something in there about how my penis looks like a real one...\I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one!\Oh!\I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?!\Thanks for the food! response:	Yum! It's got a delicious taste that appeals to the instincts!
context: I hope it stays hidden in the netherworld's darkness for all eternity.\Let's make a new one!\Oh!\I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?!\Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts! response:	Riko! This is a bit peculiar but it's tasty!
context: Let's make a new one!\Oh!\I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?!\Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty! response:	On top of that, you did well to kill some game on your own.
context: Oh!\I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?!\Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own. response:	Actually, Reg, this is meat from that corpse-weeper you killed.
context: I tried roasting it under some ouba leaves.\I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?!\Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed. response:	Uh... Riko, that doesn't bother you?
context: I kept the seasoning simple and only used rock salt and ground-up Eternal Fortunes.\This... even looks tasty, doesn't it?!\Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you? response:	Corpse-weepers sometimes eat humans, right?
context: This... even looks tasty, doesn't it?!\Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right? response:	In fact, we just witnessed...
context: Thanks for the food!\Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed... response:	That's true.
context: Yum! It's got a delicious taste that appeals to the instincts!\Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed...\That's true. response:	So, Reg, that still concerns you despite being a robot, huh?
context: Riko! This is a bit peculiar but it's tasty!\On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed...\That's true.\So, Reg, that still concerns you despite being a robot, huh? response:	Y-yeah...
context: On top of that, you did well to kill some game on your own.\Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed...\That's true.\So, Reg, that still concerns you despite being a robot, huh?\Y-yeah... response:	It's probably'cause we both look generally the same...
context: Actually, Reg, this is meat from that corpse-weeper you killed.\Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed...\That's true.\So, Reg, that still concerns you despite being a robot, huh?\Y-yeah...\It's probably'cause we both look generally the same... response:	You know, we sometimes had meat at the orphanage too, right?
context: Uh... Riko, that doesn't bother you?\Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed...\That's true.\So, Reg, that still concerns you despite being a robot, huh?\Y-yeah...\It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right? response:	Yeah...
context: Corpse-weepers sometimes eat humans, right?\In fact, we just witnessed...\That's true.\So, Reg, that still concerns you despite being a robot, huh?\Y-yeah...\It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right?\Yeah... response:	Well, most all of that stuff was hunted by Blue Whistles in the first layer.
context: In fact, we just witnessed...\That's true.\So, Reg, that still concerns you despite being a robot, huh?\Y-yeah...\It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right?\Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer. response:	Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.
context: That's true.\So, Reg, that still concerns you despite being a robot, huh?\Y-yeah...\It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right?\Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other. response:	Is that so...?
context: So, Reg, that still concerns you despite being a robot, huh?\Y-yeah...\It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right?\Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...? response:	It's sad when they die...
context: Y-yeah...\It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right?\Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...?\It's sad when they die... response:	But they become the flesh and blood of those creatures, and then once again become our strength.
context: It's probably'cause we both look generally the same...\You know, we sometimes had meat at the orphanage too, right?\Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...?\It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength. response:	That is how we - all us cave raiders - have grown strong.
context: You know, we sometimes had meat at the orphanage too, right?\Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...?\It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong. response:	I see...
context: Yeah...\Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...?\It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong.\I see... response:	Even that scene that revisited me in a nightmare is just part of daily life down here...
context: Well, most all of that stuff was hunted by Blue Whistles in the first layer.\Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...?\It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong.\I see...\Even that scene that revisited me in a nightmare is just part of daily life down here... response:	All of the resilience of those who live here was built up for the sake of life in the Abyss.
context: Those kinds of primeval creatures also feed on cave raiders and ruffians to some degree or other.\Is that so...?\It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong.\I see...\Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss. response:	This really is delicious...
context: Is that so...?\It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong.\I see...\Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious... response:	It's the real thing...
context: It's sad when they die...\But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong.\I see...\Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious...\It's the real thing... response:	Look!
context: But they become the flesh and blood of those creatures, and then once again become our strength.\That is how we - all us cave raiders - have grown strong.\I see...\Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious...\It's the real thing...\Look! response:	The waterfalls are flowing upward!
context: That is how we - all us cave raiders - have grown strong.\I see...\Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious...\It's the real thing...\Look!\The waterfalls are flowing upward! response:	Oh my...
context: I see...\Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious...\It's the real thing...\Look!\The waterfalls are flowing upward!\Oh my... response:	Seems it won't shoot straight.
context: Even that scene that revisited me in a nightmare is just part of daily life down here...\All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious...\It's the real thing...\Look!\The waterfalls are flowing upward!\Oh my...\Seems it won't shoot straight. response:	The wind here is blowing like crazy.
context: All of the resilience of those who live here was built up for the sake of life in the Abyss.\This really is delicious...\It's the real thing...\Look!\The waterfalls are flowing upward!\Oh my...\Seems it won't shoot straight.\The wind here is blowing like crazy. response:	Guess we can't keep taking shortcuts like we have been.
context: This really is delicious...\It's the real thing...\Look!\The waterfalls are flowing upward!\Oh my...\Seems it won't shoot straight.\The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been. response:	What's the matter, Riko?
context: It's the real thing...\Look!\The waterfalls are flowing upward!\Oh my...\Seems it won't shoot straight.\The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko? response:	Uh, I feel like it somehow got colder...
context: Look!\The waterfalls are flowing upward!\Oh my...\Seems it won't shoot straight.\The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko?\Uh, I feel like it somehow got colder... response:	I know it's windy, but...
context: The waterfalls are flowing upward!\Oh my...\Seems it won't shoot straight.\The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko?\Uh, I feel like it somehow got colder...\I know it's windy, but... response:	Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.
context: Oh my...\Seems it won't shoot straight.\The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko?\Uh, I feel like it somehow got colder...\I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field. response:	Seems pretty gloomy, right?
context: Seems it won't shoot straight.\The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko?\Uh, I feel like it somehow got colder...\I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right? response:	You okay? Want me to get out the cold-weather gear?
context: The wind here is blowing like crazy.\Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko?\Uh, I feel like it somehow got colder...\I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear? response:	Uh, nah, we can't spread out our supplies here, so later's okay.
context: Guess we can't keep taking shortcuts like we have been.\What's the matter, Riko?\Uh, I feel like it somehow got colder...\I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay. response:	Riko, hold this for a little bit.
context: What's the matter, Riko?\Uh, I feel like it somehow got colder...\I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit. response:	It's warm!
context: Uh, I feel like it somehow got colder...\I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit.\It's warm! response:	Try to make do with that until things settle down.
context: I know it's windy, but...\Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit.\It's warm!\Try to make do with that until things settle down. response:	Reg, you're not cold?
context: Here in the Inverted Forest, I wonder if we don't get that much light reflected by the force field.\Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit.\It's warm!\Try to make do with that until things settle down.\Reg, you're not cold? response:	I can feel the wind, but no, not really.
context: Seems pretty gloomy, right?\You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit.\It's warm!\Try to make do with that until things settle down.\Reg, you're not cold?\I can feel the wind, but no, not really. response:	I figured as much!
context: You okay? Want me to get out the cold-weather gear?\Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit.\It's warm!\Try to make do with that until things settle down.\Reg, you're not cold?\I can feel the wind, but no, not really.\I figured as much! response:	Well, I'll be borrowing this for now, then.
context: Uh, nah, we can't spread out our supplies here, so later's okay.\Riko, hold this for a little bit.\It's warm!\Try to make do with that until things settle down.\Reg, you're not cold?\I can feel the wind, but no, not really.\I figured as much!\Well, I'll be borrowing this for now, then. response:	Reg! Some kind of symbol appeared on your helmet!
context: Riko, hold this for a little bit.\It's warm!\Try to make do with that until things settle down.\Reg, you're not cold?\I can feel the wind, but no, not really.\I figured as much!\Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet! response:	Huh?
context: It's warm!\Try to make do with that until things settle down.\Reg, you're not cold?\I can feel the wind, but no, not really.\I figured as much!\Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet!\Huh? response:	Wow...
context: Try to make do with that until things settle down.\Reg, you're not cold?\I can feel the wind, but no, not really.\I figured as much!\Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet!\Huh?\Wow... response:	I never noticed it before!
context: Reg, you're not cold?\I can feel the wind, but no, not really.\I figured as much!\Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet!\Huh?\Wow...\I never noticed it before! response:	It never showed up while you were sleeping... not even once!
context: I can feel the wind, but no, not really.\I figured as much!\Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet!\Huh?\Wow...\I never noticed it before!\It never showed up while you were sleeping... not even once! response:	What could it be?
context: I figured as much!\Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet!\Huh?\Wow...\I never noticed it before!\It never showed up while you were sleeping... not even once!\What could it be? response:	Reg, maybe it's the writing system they use where you come from.
context: Well, I'll be borrowing this for now, then.\Reg! Some kind of symbol appeared on your helmet!\Huh?\Wow...\I never noticed it before!\It never showed up while you were sleeping... not even once!\What could it be?\Reg, maybe it's the writing system they use where you come from. response:	Huh?
context: Reg! Some kind of symbol appeared on your helmet!\Huh?\Wow...\I never noticed it before!\It never showed up while you were sleeping... not even once!\What could it be?\Reg, maybe it's the writing system they use where you come from.\Huh? response:	A-ah, it's disappearing!
context: Huh?\Wow...\I never noticed it before!\It never showed up while you were sleeping... not even once!\What could it be?\Reg, maybe it's the writing system they use where you come from.\Huh?\A-ah, it's disappearing! response:	What are those...?
