context: Naminanakai Public Hospital response:	Episode Fourteen: The Promised Day
context: When the moon is low in the sky, let's see...\I'd say 8 o'clock is probably the best viewing time.\Sensei, before that...\Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone...\Hello, everyone...\It's sort of nostalgic, isn't it? response:	The main event is the Tomoebi.
context: I'd say 8 o'clock is probably the best viewing time.\Sensei, before that...\Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone...\Hello, everyone...\It's sort of nostalgic, isn't it?\The main event is the Tomoebi. response:	Don't forget that.
context: Sensei, before that...\Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone...\Hello, everyone...\It's sort of nostalgic, isn't it?\The main event is the Tomoebi.\Don't forget that. response:	Yeah...
context: Oh? Oh, right. Dinner.\After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone...\Hello, everyone...\It's sort of nostalgic, isn't it?\The main event is the Tomoebi.\Don't forget that.\Yeah... response:	Having class at night is exciting.
context: After this, it's time to get ready for the rice feeding.\Having a rice feeding by the sea with everyone...\Hello, everyone...\It's sort of nostalgic, isn't it?\The main event is the Tomoebi.\Don't forget that.\Yeah...\Having class at night is exciting. response:	Right, Minegishi?
context: Having a rice feeding by the sea with everyone...\Hello, everyone...\It's sort of nostalgic, isn't it?\The main event is the Tomoebi.\Don't forget that.\Yeah...\Having class at night is exciting.\Right, Minegishi? response:	Oh, right.
context: Hello, everyone...\It's sort of nostalgic, isn't it?\The main event is the Tomoebi.\Don't forget that.\Yeah...\Having class at night is exciting.\Right, Minegishi?\Oh, right. response:	Be on your guard, Miuna.
context: It's sort of nostalgic, isn't it?\The main event is the Tomoebi.\Don't forget that.\Yeah...\Having class at night is exciting.\Right, Minegishi?\Oh, right.\Be on your guard, Miuna. response:	For what?
context: The main event is the Tomoebi.\Don't forget that.\Yeah...\Having class at night is exciting.\Right, Minegishi?\Oh, right.\Be on your guard, Miuna.\For what? response:	I totally found out...
context: Don't forget that.\Yeah...\Having class at night is exciting.\Right, Minegishi?\Oh, right.\Be on your guard, Miuna.\For what?\I totally found out... response:	When the Tomoebi happens
context: Yeah...\Having class at night is exciting.\Right, Minegishi?\Oh, right.\Be on your guard, Miuna.\For what?\I totally found out...\When the Tomoebi happens response:	Minegishi's planning to ask you out.
context: Having class at night is exciting.\Right, Minegishi?\Oh, right.\Be on your guard, Miuna.\For what?\I totally found out...\When the Tomoebi happens\Minegishi's planning to ask you out. response:	Ask me out...
context: Right, Minegishi?\Oh, right.\Be on your guard, Miuna.\For what?\I totally found out...\When the Tomoebi happens\Minegishi's planning to ask you out.\Ask me out... response:	Everyone's so lame!
context: Oh, right.\Be on your guard, Miuna.\For what?\I totally found out...\When the Tomoebi happens\Minegishi's planning to ask you out.\Ask me out...\Everyone's so lame! response:	School's a place for studying!
context: Be on your guard, Miuna.\For what?\I totally found out...\When the Tomoebi happens\Minegishi's planning to ask you out.\Ask me out...\Everyone's so lame!\School's a place for studying! response:	Sayu, you used to hate studying.
context: For what?\I totally found out...\When the Tomoebi happens\Minegishi's planning to ask you out.\Ask me out...\Everyone's so lame!\School's a place for studying!\Sayu, you used to hate studying. response:	I've decided that I'm going to be a girl living on her own.
context: I totally found out...\When the Tomoebi happens\Minegishi's planning to ask you out.\Ask me out...\Everyone's so lame!\School's a place for studying!\Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own. response:	It's not like I'm going to find work in Oshiooshi...
context: When the Tomoebi happens\Minegishi's planning to ask you out.\Ask me out...\Everyone's so lame!\School's a place for studying!\Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi... response:	So I'm going to go out into the city and become an independent woman.
context: Minegishi's planning to ask you out.\Ask me out...\Everyone's so lame!\School's a place for studying!\Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman. response:	You've thought out your future that far?
context: Ask me out...\Everyone's so lame!\School's a place for studying!\Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman.\You've thought out your future that far? response:	Well, yeah. What about you, Miuna?
context: Everyone's so lame!\School's a place for studying!\Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman.\You've thought out your future that far?\Well, yeah. What about you, Miuna? response:	I'm not sure yet...
context: School's a place for studying!\Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman.\You've thought out your future that far?\Well, yeah. What about you, Miuna?\I'm not sure yet... response:	But I don't plan on leaving.
context: Sayu, you used to hate studying.\I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman.\You've thought out your future that far?\Well, yeah. What about you, Miuna?\I'm not sure yet...\But I don't plan on leaving. response:	Oh...
context: I've decided that I'm going to be a girl living on her own.\It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman.\You've thought out your future that far?\Well, yeah. What about you, Miuna?\I'm not sure yet...\But I don't plan on leaving.\Oh... response:	Miuna.
context: It's not like I'm going to find work in Oshiooshi...\So I'm going to go out into the city and become an independent woman.\You've thought out your future that far?\Well, yeah. What about you, Miuna?\I'm not sure yet...\But I don't plan on leaving.\Oh...\Miuna. response:	Huh?
context: So I'm going to go out into the city and become an independent woman.\You've thought out your future that far?\Well, yeah. What about you, Miuna?\I'm not sure yet...\But I don't plan on leaving.\Oh...\Miuna.\Huh? response:	Your hair's gotten longer.
context: You've thought out your future that far?\Well, yeah. What about you, Miuna?\I'm not sure yet...\But I don't plan on leaving.\Oh...\Miuna.\Huh?\Your hair's gotten longer. response:	Yeah.
context: Well, yeah. What about you, Miuna?\I'm not sure yet...\But I don't plan on leaving.\Oh...\Miuna.\Huh?\Your hair's gotten longer.\Yeah. response:	Sayu, Miuna.
context: I'm not sure yet...\But I don't plan on leaving.\Oh...\Miuna.\Huh?\Your hair's gotten longer.\Yeah.\Sayu, Miuna. response:	The teacher's calling for you.
context: But I don't plan on leaving.\Oh...\Miuna.\Huh?\Your hair's gotten longer.\Yeah.\Sayu, Miuna.\The teacher's calling for you. response:	Oh, thanks.
context: Oh...\Miuna.\Huh?\Your hair's gotten longer.\Yeah.\Sayu, Miuna.\The teacher's calling for you.\Oh, thanks. response:	Hurry up, Miuna!
context: Miuna.\Huh?\Your hair's gotten longer.\Yeah.\Sayu, Miuna.\The teacher's calling for you.\Oh, thanks.\Hurry up, Miuna! response:	Yeah.
context: Huh?\Your hair's gotten longer.\Yeah.\Sayu, Miuna.\The teacher's calling for you.\Oh, thanks.\Hurry up, Miuna!\Yeah. response:	Don't you guys have to be in school?
context: Your hair's gotten longer.\Yeah.\Sayu, Miuna.\The teacher's calling for you.\Oh, thanks.\Hurry up, Miuna!\Yeah.\Don't you guys have to be in school? response:	I always watched from here...
context: Yeah.\Sayu, Miuna.\The teacher's calling for you.\Oh, thanks.\Hurry up, Miuna!\Yeah.\Don't you guys have to be in school?\I always watched from here... response:	Just like this.
context: Sayu, Miuna.\The teacher's calling for you.\Oh, thanks.\Hurry up, Miuna!\Yeah.\Don't you guys have to be in school?\I always watched from here...\Just like this. response:	Akari!
context: The teacher's calling for you.\Oh, thanks.\Hurry up, Miuna!\Yeah.\Don't you guys have to be in school?\I always watched from here...\Just like this.\Akari! response:	Akari-san!
context: Oh, thanks.\Hurry up, Miuna!\Yeah.\Don't you guys have to be in school?\I always watched from here...\Just like this.\Akari!\Akari-san! response:	Mukaido!
context: Hurry up, Miuna!\Yeah.\Don't you guys have to be in school?\I always watched from here...\Just like this.\Akari!\Akari-san!\Mukaido! response:	Look! The bridge pier!
context: Yeah.\Don't you guys have to be in school?\I always watched from here...\Just like this.\Akari!\Akari-san!\Mukaido!\Look! The bridge pier! response:	No!
context: Don't you guys have to be in school?\I always watched from here...\Just like this.\Akari!\Akari-san!\Mukaido!\Look! The bridge pier!\No! response:	At that moment, I decided I wouldn't cry.
context: I always watched from here...\Just like this.\Akari!\Akari-san!\Mukaido!\Look! The bridge pier!\No!\At that moment, I decided I wouldn't cry. response:	Because I knew that Hikari and the others were in the sea.
context: Just like this.\Akari!\Akari-san!\Mukaido!\Look! The bridge pier!\No!\At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea. response:	I believed that they were safe.
context: Akari!\Akari-san!\Mukaido!\Look! The bridge pier!\No!\At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea.\I believed that they were safe. response:	Hikari and the others are still somewhere I can't go, smiling.
context: Akari-san!\Mukaido!\Look! The bridge pier!\No!\At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea.\I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling. response:	I'm home.
context: Mukaido!\Look! The bridge pier!\No!\At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea.\I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling.\I'm home. response:	Oh! Smells good!
context: Look! The bridge pier!\No!\At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea.\I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling.\I'm home.\Oh! Smells good! response:	Sorry I'm late.
context: No!\At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea.\I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling.\I'm home.\Oh! Smells good!\Sorry I'm late. response:	I'll help, too.
context: At that moment, I decided I wouldn't cry.\Because I knew that Hikari and the others were in the sea.\I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling.\I'm home.\Oh! Smells good!\Sorry I'm late.\I'll help, too. response:	It's okay. It's my turn today.
context: Because I knew that Hikari and the others were in the sea.\I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling.\I'm home.\Oh! Smells good!\Sorry I'm late.\I'll help, too.\It's okay. It's my turn today. response:	You're a little wet.
context: I believed that they were safe.\Hikari and the others are still somewhere I can't go, smiling.\I'm home.\Oh! Smells good!\Sorry I'm late.\I'll help, too.\It's okay. It's my turn today.\You're a little wet. response:	I went to look at the sea again for a little bit.
context: Hikari and the others are still somewhere I can't go, smiling.\I'm home.\Oh! Smells good!\Sorry I'm late.\I'll help, too.\It's okay. It's my turn today.\You're a little wet.\I went to look at the sea again for a little bit. response:	But something's in the way so it's no use.
context: I'm home.\Oh! Smells good!\Sorry I'm late.\I'll help, too.\It's okay. It's my turn today.\You're a little wet.\I went to look at the sea again for a little bit.\But something's in the way so it's no use. response:	The sea temperature's gone down, too...
context: Oh! Smells good!\Sorry I'm late.\I'll help, too.\It's okay. It's my turn today.\You're a little wet.\I went to look at the sea again for a little bit.\But something's in the way so it's no use.\The sea temperature's gone down, too... response:	Is your tummy okay?
context: Sorry I'm late.\I'll help, too.\It's okay. It's my turn today.\You're a little wet.\I went to look at the sea again for a little bit.\But something's in the way so it's no use.\The sea temperature's gone down, too...\Is your tummy okay? response:	It's fine!
context: I'll help, too.\It's okay. It's my turn today.\You're a little wet.\I went to look at the sea again for a little bit.\But something's in the way so it's no use.\The sea temperature's gone down, too...\Is your tummy okay?\It's fine! response:	We'd always gotten pregnant and raised our young in the sea.
context: It's okay. It's my turn today.\You're a little wet.\I went to look at the sea again for a little bit.\But something's in the way so it's no use.\The sea temperature's gone down, too...\Is your tummy okay?\It's fine!\We'd always gotten pregnant and raised our young in the sea. response:	Well, it's not all bad.
context: You're a little wet.\I went to look at the sea again for a little bit.\But something's in the way so it's no use.\The sea temperature's gone down, too...\Is your tummy okay?\It's fine!\We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad. response:	Huh?
context: I went to look at the sea again for a little bit.\But something's in the way so it's no use.\The sea temperature's gone down, too...\Is your tummy okay?\It's fine!\We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad.\Huh? response:	He's not alone... Dad's there, too.
context: But something's in the way so it's no use.\The sea temperature's gone down, too...\Is your tummy okay?\It's fine!\We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad.\Huh?\He's not alone... Dad's there, too. response:	And Hikari liked Manaka...
context: The sea temperature's gone down, too...\Is your tummy okay?\It's fine!\We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad.\Huh?\He's not alone... Dad's there, too.\And Hikari liked Manaka... response:	If Manaka and the others had been left in the sea, and he was alone,
context: Is your tummy okay?\It's fine!\We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad.\Huh?\He's not alone... Dad's there, too.\And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone, response:	I don't think Hikari would know what to do...
context: It's fine!\We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad.\Huh?\He's not alone... Dad's there, too.\And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do... response:	Hikari... likes Manaka...
context: We'd always gotten pregnant and raised our young in the sea.\Well, it's not all bad.\Huh?\He's not alone... Dad's there, too.\And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do...\Hikari... likes Manaka... response:	Oh, Miuna. It'll spill over.
context: Well, it's not all bad.\Huh?\He's not alone... Dad's there, too.\And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do...\Hikari... likes Manaka...\Oh, Miuna. It'll spill over. response:	Safe.
context: Huh?\He's not alone... Dad's there, too.\And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do...\Hikari... likes Manaka...\Oh, Miuna. It'll spill over.\Safe. response:	He likes Manaka...
context: He's not alone... Dad's there, too.\And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do...\Hikari... likes Manaka...\Oh, Miuna. It'll spill over.\Safe.\He likes Manaka... response:	Miuna.
context: And Hikari liked Manaka...\If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do...\Hikari... likes Manaka...\Oh, Miuna. It'll spill over.\Safe.\He likes Manaka...\Miuna. response:	What's wrong?
context: If Manaka and the others had been left in the sea, and he was alone,\I don't think Hikari would know what to do...\Hikari... likes Manaka...\Oh, Miuna. It'll spill over.\Safe.\He likes Manaka...\Miuna.\What's wrong? response:	Sorry! I'm coming!
context: I don't think Hikari would know what to do...\Hikari... likes Manaka...\Oh, Miuna. It'll spill over.\Safe.\He likes Manaka...\Miuna.\What's wrong?\Sorry! I'm coming! response:	Even now, I look out from here...
context: Hikari... likes Manaka...\Oh, Miuna. It'll spill over.\Safe.\He likes Manaka...\Miuna.\What's wrong?\Sorry! I'm coming!\Even now, I look out from here... response:	To the sea where Hikari and the others are.
context: Oh, Miuna. It'll spill over.\Safe.\He likes Manaka...\Miuna.\What's wrong?\Sorry! I'm coming!\Even now, I look out from here...\To the sea where Hikari and the others are. response:	Professor! Tsumugu!
context: Safe.\He likes Manaka...\Miuna.\What's wrong?\Sorry! I'm coming!\Even now, I look out from here...\To the sea where Hikari and the others are.\Professor! Tsumugu! response:	Why not warm up a little before the Tomoebi?
context: He likes Manaka...\Miuna.\What's wrong?\Sorry! I'm coming!\Even now, I look out from here...\To the sea where Hikari and the others are.\Professor! Tsumugu!\Why not warm up a little before the Tomoebi? response:	Delicious!
context: Miuna.\What's wrong?\Sorry! I'm coming!\Even now, I look out from here...\To the sea where Hikari and the others are.\Professor! Tsumugu!\Why not warm up a little before the Tomoebi?\Delicious! response:	The stewed golden-eye is delicious.
context: What's wrong?\Sorry! I'm coming!\Even now, I look out from here...\To the sea where Hikari and the others are.\Professor! Tsumugu!\Why not warm up a little before the Tomoebi?\Delicious!\The stewed golden-eye is delicious. response:	You can't get food like this in the city.
context: Sorry! I'm coming!\Even now, I look out from here...\To the sea where Hikari and the others are.\Professor! Tsumugu!\Why not warm up a little before the Tomoebi?\Delicious!\The stewed golden-eye is delicious.\You can't get food like this in the city. response:	Is that so?
context: Even now, I look out from here...\To the sea where Hikari and the others are.\Professor! Tsumugu!\Why not warm up a little before the Tomoebi?\Delicious!\The stewed golden-eye is delicious.\You can't get food like this in the city.\Is that so? response:	Huh?
context: To the sea where Hikari and the others are.\Professor! Tsumugu!\Why not warm up a little before the Tomoebi?\Delicious!\The stewed golden-eye is delicious.\You can't get food like this in the city.\Is that so?\Huh? response:	N-Nothing. As long as you like it.
context: Professor! Tsumugu!\Why not warm up a little before the Tomoebi?\Delicious!\The stewed golden-eye is delicious.\You can't get food like this in the city.\Is that so?\Huh?\N-Nothing. As long as you like it. response:	The meat is good.
context: Why not warm up a little before the Tomoebi?\Delicious!\The stewed golden-eye is delicious.\You can't get food like this in the city.\Is that so?\Huh?\N-Nothing. As long as you like it.\The meat is good. response:	Sorry to barge in like this.
context: Delicious!\The stewed golden-eye is delicious.\You can't get food like this in the city.\Is that so?\Huh?\N-Nothing. As long as you like it.\The meat is good.\Sorry to barge in like this. response:	Not at all.
context: The stewed golden-eye is delicious.\You can't get food like this in the city.\Is that so?\Huh?\N-Nothing. As long as you like it.\The meat is good.\Sorry to barge in like this.\Not at all. response:	It's lively, and I'm glad.
context: You can't get food like this in the city.\Is that so?\Huh?\N-Nothing. As long as you like it.\The meat is good.\Sorry to barge in like this.\Not at all.\It's lively, and I'm glad. response:	Because Tsumugu came to our lab,
context: Is that so?\Huh?\N-Nothing. As long as you like it.\The meat is good.\Sorry to barge in like this.\Not at all.\It's lively, and I'm glad.\Because Tsumugu came to our lab, response:	our research has progressed quite a bit.
context: Huh?\N-Nothing. As long as you like it.\The meat is good.\Sorry to barge in like this.\Not at all.\It's lively, and I'm glad.\Because Tsumugu came to our lab,\our research has progressed quite a bit. response:	There are only fourteen sea villages in Japan.
context: N-Nothing. As long as you like it.\The meat is good.\Sorry to barge in like this.\Not at all.\It's lively, and I'm glad.\Because Tsumugu came to our lab,\our research has progressed quite a bit.\There are only fourteen sea villages in Japan. response:	Not to mention, we can't step foot into any of them right now.
context: The meat is good.\Sorry to barge in like this.\Not at all.\It's lively, and I'm glad.\Because Tsumugu came to our lab,\our research has progressed quite a bit.\There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now. response:	Even when we try diving to investigate,
context: Sorry to barge in like this.\Not at all.\It's lively, and I'm glad.\Because Tsumugu came to our lab,\our research has progressed quite a bit.\There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate, response:	the tide gets in our way and we can't get close to the location.
context: Not at all.\It's lively, and I'm glad.\Because Tsumugu came to our lab,\our research has progressed quite a bit.\There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location. response:	There are even specialists now saying that the sea villages don't exist anymore.
context: It's lively, and I'm glad.\Because Tsumugu came to our lab,\our research has progressed quite a bit.\There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore. response:	They're just saying that to get attention.
context: Because Tsumugu came to our lab,\our research has progressed quite a bit.\There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention. response:	Hiradaira-san,
context: our research has progressed quite a bit.\There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention.\Hiradaira-san, response:	I believe that there is a close relationship between the surface and the sea.
context: There are only fourteen sea villages in Japan.\Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention.\Hiradaira-san,\I believe that there is a close relationship between the surface and the sea. response:	To explain the abnormal weather,
context: Not to mention, we can't step foot into any of them right now.\Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention.\Hiradaira-san,\I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather, response:	we need to research the sea villages as well.
context: Even when we try diving to investigate,\the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention.\Hiradaira-san,\I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather,\we need to research the sea villages as well. response:	I see...
context: the tide gets in our way and we can't get close to the location.\There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention.\Hiradaira-san,\I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather,\we need to research the sea villages as well.\I see... response:	Oh, I'll bring you another.
context: There are even specialists now saying that the sea villages don't exist anymore.\They're just saying that to get attention.\Hiradaira-san,\I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather,\we need to research the sea villages as well.\I see...\Oh, I'll bring you another. response:	Well, thank you.
context: They're just saying that to get attention.\Hiradaira-san,\I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather,\we need to research the sea villages as well.\I see...\Oh, I'll bring you another.\Well, thank you. response:	She's a great girl.
context: Hiradaira-san,\I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather,\we need to research the sea villages as well.\I see...\Oh, I'll bring you another.\Well, thank you.\She's a great girl. response:	Are you sure there's nothing going on?
context: I believe that there is a close relationship between the surface and the sea.\To explain the abnormal weather,\we need to research the sea villages as well.\I see...\Oh, I'll bring you another.\Well, thank you.\She's a great girl.\Are you sure there's nothing going on? response:	Of course not.
context: To explain the abnormal weather,\we need to research the sea villages as well.\I see...\Oh, I'll bring you another.\Well, thank you.\She's a great girl.\Are you sure there's nothing going on?\Of course not. response:	You guys are at that age and you're living under one roof.
context: we need to research the sea villages as well.\I see...\Oh, I'll bring you another.\Well, thank you.\She's a great girl.\Are you sure there's nothing going on?\Of course not.\You guys are at that age and you're living under one roof. response:	Not to mention, she's beautiful...
context: I see...\Oh, I'll bring you another.\Well, thank you.\She's a great girl.\Are you sure there's nothing going on?\Of course not.\You guys are at that age and you're living under one roof.\Not to mention, she's beautiful... response:	that'd usually mean...
context: Oh, I'll bring you another.\Well, thank you.\She's a great girl.\Are you sure there's nothing going on?\Of course not.\You guys are at that age and you're living under one roof.\Not to mention, she's beautiful...\that'd usually mean... response:	She has someone else that she's liked for a long time.
context: Well, thank you.\She's a great girl.\Are you sure there's nothing going on?\Of course not.\You guys are at that age and you're living under one roof.\Not to mention, she's beautiful...\that'd usually mean...\She has someone else that she's liked for a long time. response:	Huh?
context: She's a great girl.\Are you sure there's nothing going on?\Of course not.\You guys are at that age and you're living under one roof.\Not to mention, she's beautiful...\that'd usually mean...\She has someone else that she's liked for a long time.\Huh? response:	There...
context: Are you sure there's nothing going on?\Of course not.\You guys are at that age and you're living under one roof.\Not to mention, she's beautiful...\that'd usually mean...\She has someone else that she's liked for a long time.\Huh?\There... response:	He can take care of the futon himself.
context: Of course not.\You guys are at that age and you're living under one roof.\Not to mention, she's beautiful...\that'd usually mean...\She has someone else that she's liked for a long time.\Huh?\There...\He can take care of the futon himself. response:	He's a guest.
context: You guys are at that age and you're living under one roof.\Not to mention, she's beautiful...\that'd usually mean...\She has someone else that she's liked for a long time.\Huh?\There...\He can take care of the futon himself.\He's a guest. response:	That wouldn't be right.
context: Not to mention, she's beautiful...\that'd usually mean...\She has someone else that she's liked for a long time.\Huh?\There...\He can take care of the futon himself.\He's a guest.\That wouldn't be right. response:	Won't you come see the Tomoebi, too?
context: that'd usually mean...\She has someone else that she's liked for a long time.\Huh?\There...\He can take care of the futon himself.\He's a guest.\That wouldn't be right.\Won't you come see the Tomoebi, too? response:	I'll pass.
context: She has someone else that she's liked for a long time.\Huh?\There...\He can take care of the futon himself.\He's a guest.\That wouldn't be right.\Won't you come see the Tomoebi, too?\I'll pass. response:	There's no point in seeing the Tomoebi without the others.
context: Huh?\There...\He can take care of the futon himself.\He's a guest.\That wouldn't be right.\Won't you come see the Tomoebi, too?\I'll pass.\There's no point in seeing the Tomoebi without the others. response:	I see...
context: There...\He can take care of the futon himself.\He's a guest.\That wouldn't be right.\Won't you come see the Tomoebi, too?\I'll pass.\There's no point in seeing the Tomoebi without the others.\I see... response:	Do you want me to make some amazake since it's cold?
context: He can take care of the futon himself.\He's a guest.\That wouldn't be right.\Won't you come see the Tomoebi, too?\I'll pass.\There's no point in seeing the Tomoebi without the others.\I see...\Do you want me to make some amazake since it's cold? response:	Yeah, sounds good.
context: He's a guest.\That wouldn't be right.\Won't you come see the Tomoebi, too?\I'll pass.\There's no point in seeing the Tomoebi without the others.\I see...\Do you want me to make some amazake since it's cold?\Yeah, sounds good. response:	What are we gonna do?
context: That wouldn't be right.\Won't you come see the Tomoebi, too?\I'll pass.\There's no point in seeing the Tomoebi without the others.\I see...\Do you want me to make some amazake since it's cold?\Yeah, sounds good.\What are we gonna do? response:	It really did turn into a huge deal.
context: Won't you come see the Tomoebi, too?\I'll pass.\There's no point in seeing the Tomoebi without the others.\I see...\Do you want me to make some amazake since it's cold?\Yeah, sounds good.\What are we gonna do?\It really did turn into a huge deal. response:	Did we find the sea kids that fell in yet?
context: I'll pass.\There's no point in seeing the Tomoebi without the others.\I see...\Do you want me to make some amazake since it's cold?\Yeah, sounds good.\What are we gonna do?\It really did turn into a huge deal.\Did we find the sea kids that fell in yet? response:	This is the first time something like this ever happened.
context: There's no point in seeing the Tomoebi without the others.\I see...\Do you want me to make some amazake since it's cold?\Yeah, sounds good.\What are we gonna do?\It really did turn into a huge deal.\Did we find the sea kids that fell in yet?\This is the first time something like this ever happened. response:	To think that the Sea God was this angry...
context: I see...\Do you want me to make some amazake since it's cold?\Yeah, sounds good.\What are we gonna do?\It really did turn into a huge deal.\Did we find the sea kids that fell in yet?\This is the first time something like this ever happened.\To think that the Sea God was this angry... response:	What are we going to do about her?
context: Do you want me to make some amazake since it's cold?\Yeah, sounds good.\What are we gonna do?\It really did turn into a huge deal.\Did we find the sea kids that fell in yet?\This is the first time something like this ever happened.\To think that the Sea God was this angry...\What are we going to do about her? response:	She doesn't have any relatives on the surface...
context: Yeah, sounds good.\What are we gonna do?\It really did turn into a huge deal.\Did we find the sea kids that fell in yet?\This is the first time something like this ever happened.\To think that the Sea God was this angry...\What are we going to do about her?\She doesn't have any relatives on the surface... response:	Chisaki-chan...
context: What are we gonna do?\It really did turn into a huge deal.\Did we find the sea kids that fell in yet?\This is the first time something like this ever happened.\To think that the Sea God was this angry...\What are we going to do about her?\She doesn't have any relatives on the surface...\Chisaki-chan... response:	You can come live with us.
context: It really did turn into a huge deal.\Did we find the sea kids that fell in yet?\This is the first time something like this ever happened.\To think that the Sea God was this angry...\What are we going to do about her?\She doesn't have any relatives on the surface...\Chisaki-chan...\You can come live with us. response:	B-But...
context: Did we find the sea kids that fell in yet?\This is the first time something like this ever happened.\To think that the Sea God was this angry...\What are we going to do about her?\She doesn't have any relatives on the surface...\Chisaki-chan...\You can come live with us.\B-But... response:	You've already got a full house in your apartment.
context: This is the first time something like this ever happened.\To think that the Sea God was this angry...\What are we going to do about her?\She doesn't have any relatives on the surface...\Chisaki-chan...\You can come live with us.\B-But...\You've already got a full house in your apartment. response:	And...
context: To think that the Sea God was this angry...\What are we going to do about her?\She doesn't have any relatives on the surface...\Chisaki-chan...\You can come live with us.\B-But...\You've already got a full house in your apartment.\And... response:	I'm from the sea, as well.
