context: I'll do it. response:	I'll change history.
context: Now Niconico Live Encoder should start automatically.\Next...\I know.\Akina's Secret Box\Don't look inside!\Danger\Is this it?\The Indian Sacred Book Nandala Gandala response:	My crazy sister...
context: Next...\I know.\Akina's Secret Box\Don't look inside!\Danger\Is this it?\The Indian Sacred Book Nandala Gandala\My crazy sister... response:	Why'd she give it this title?
context: I know.\Akina's Secret Box\Don't look inside!\Danger\Is this it?\The Indian Sacred Book Nandala Gandala\My crazy sister...\Why'd she give it this title? response:	What's wrong?
context: Akina's Secret Box\Don't look inside!\Danger\Is this it?\The Indian Sacred Book Nandala Gandala\My crazy sister...\Why'd she give it this title?\What's wrong? response:	You didn't forget the word that was written in it, did you?
context: Don't look inside!\Danger\Is this it?\The Indian Sacred Book Nandala Gandala\My crazy sister...\Why'd she give it this title?\What's wrong?\You didn't forget the word that was written in it, did you? response:	I remember.
context: Danger\Is this it?\The Indian Sacred Book Nandala Gandala\My crazy sister...\Why'd she give it this title?\What's wrong?\You didn't forget the word that was written in it, did you?\I remember. response:	U-turn, right?
context: Is this it?\The Indian Sacred Book Nandala Gandala\My crazy sister...\Why'd she give it this title?\What's wrong?\You didn't forget the word that was written in it, did you?\I remember.\U-turn, right? response:	Then...
context: The Indian Sacred Book Nandala Gandala\My crazy sister...\Why'd she give it this title?\What's wrong?\You didn't forget the word that was written in it, did you?\I remember.\U-turn, right?\Then... response:	No.
context: My crazy sister...\Why'd she give it this title?\What's wrong?\You didn't forget the word that was written in it, did you?\I remember.\U-turn, right?\Then...\No. response:	I don't want to write it.
context: Why'd she give it this title?\What's wrong?\You didn't forget the word that was written in it, did you?\I remember.\U-turn, right?\Then...\No.\I don't want to write it. response:	Why not?
context: What's wrong?\You didn't forget the word that was written in it, did you?\I remember.\U-turn, right?\Then...\No.\I don't want to write it.\Why not? response:	I feel like I'd be admitting defeat.
context: You didn't forget the word that was written in it, did you?\I remember.\U-turn, right?\Then...\No.\I don't want to write it.\Why not?\I feel like I'd be admitting defeat. response:	I used this when I failed.
context: I remember.\U-turn, right?\Then...\No.\I don't want to write it.\Why not?\I feel like I'd be admitting defeat.\I used this when I failed. response:	But this me won't fail.
context: U-turn, right?\Then...\No.\I don't want to write it.\Why not?\I feel like I'd be admitting defeat.\I used this when I failed.\But this me won't fail. response:	So I don't need to write it.
context: Then...\No.\I don't want to write it.\Why not?\I feel like I'd be admitting defeat.\I used this when I failed.\But this me won't fail.\So I don't need to write it. response:	Good evening-ning!
context: No.\I don't want to write it.\Why not?\I feel like I'd be admitting defeat.\I used this when I failed.\But this me won't fail.\So I don't need to write it.\Good evening-ning! response:	Good evening-ning...
context: I don't want to write it.\Why not?\I feel like I'd be admitting defeat.\I used this when I failed.\But this me won't fail.\So I don't need to write it.\Good evening-ning!\Good evening-ning... response:	Wait, Yuta-kun, what happened?!
context: Why not?\I feel like I'd be admitting defeat.\I used this when I failed.\But this me won't fail.\So I don't need to write it.\Good evening-ning!\Good evening-ning...\Wait, Yuta-kun, what happened?! response:	Your room's plastered with talismans!
context: I feel like I'd be admitting defeat.\I used this when I failed.\But this me won't fail.\So I don't need to write it.\Good evening-ning!\Good evening-ning...\Wait, Yuta-kun, what happened?!\Your room's plastered with talismans! response:	Oh, this is, um... interior design.
context: I used this when I failed.\But this me won't fail.\So I don't need to write it.\Good evening-ning!\Good evening-ning...\Wait, Yuta-kun, what happened?!\Your room's plastered with talismans!\Oh, this is, um... interior design. response:	Oh, really?
context: But this me won't fail.\So I don't need to write it.\Good evening-ning!\Good evening-ning...\Wait, Yuta-kun, what happened?!\Your room's plastered with talismans!\Oh, this is, um... interior design.\Oh, really? response:	So what brings you here, Narugino?
context: So I don't need to write it.\Good evening-ning!\Good evening-ning...\Wait, Yuta-kun, what happened?!\Your room's plastered with talismans!\Oh, this is, um... interior design.\Oh, really?\So what brings you here, Narugino? response:	Oh, well, there are some kanji in this script that I couldn't read.
context: Good evening-ning!\Good evening-ning...\Wait, Yuta-kun, what happened?!\Your room's plastered with talismans!\Oh, this is, um... interior design.\Oh, really?\So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read. response:	Encounter
context: Good evening-ning...\Wait, Yuta-kun, what happened?!\Your room's plastered with talismans!\Oh, this is, um... interior design.\Oh, really?\So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read.\Encounter response:	Encounter, I think.
context: Wait, Yuta-kun, what happened?!\Your room's plastered with talismans!\Oh, this is, um... interior design.\Oh, really?\So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read.\Encounter\Encounter, I think. response:	Encounter
context: Your room's plastered with talismans!\Oh, this is, um... interior design.\Oh, really?\So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read.\Encounter\Encounter, I think.\Encounter response:	To meet unexpectedly,
context: Oh, this is, um... interior design.\Oh, really?\So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read.\Encounter\Encounter, I think.\Encounter\To meet unexpectedly, response:	or make contact by accident.
context: Oh, really?\So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read.\Encounter\Encounter, I think.\Encounter\To meet unexpectedly,\or make contact by accident. response:	Wow, you know a lot, Yuta-kun!
context: So what brings you here, Narugino?\Oh, well, there are some kanji in this script that I couldn't read.\Encounter\Encounter, I think.\Encounter\To meet unexpectedly,\or make contact by accident.\Wow, you know a lot, Yuta-kun! response:	But why come to me?
context: Oh, well, there are some kanji in this script that I couldn't read.\Encounter\Encounter, I think.\Encounter\To meet unexpectedly,\or make contact by accident.\Wow, you know a lot, Yuta-kun!\But why come to me? response:	Jeez, you're so dense.
context: Encounter\Encounter, I think.\Encounter\To meet unexpectedly,\or make contact by accident.\Wow, you know a lot, Yuta-kun!\But why come to me?\Jeez, you're so dense. response:	Mikatan came to check up on you.
context: Encounter, I think.\Encounter\To meet unexpectedly,\or make contact by accident.\Wow, you know a lot, Yuta-kun!\But why come to me?\Jeez, you're so dense.\Mikatan came to check up on you. response:	Really?
context: Encounter\To meet unexpectedly,\or make contact by accident.\Wow, you know a lot, Yuta-kun!\But why come to me?\Jeez, you're so dense.\Mikatan came to check up on you.\Really? response:	Huh?
context: To meet unexpectedly,\or make contact by accident.\Wow, you know a lot, Yuta-kun!\But why come to me?\Jeez, you're so dense.\Mikatan came to check up on you.\Really?\Huh? response:	Oh, nothing.
context: or make contact by accident.\Wow, you know a lot, Yuta-kun!\But why come to me?\Jeez, you're so dense.\Mikatan came to check up on you.\Really?\Huh?\Oh, nothing. response:	She knows about what happened on the bus and at the river. Everything.
context: Wow, you know a lot, Yuta-kun!\But why come to me?\Jeez, you're so dense.\Mikatan came to check up on you.\Really?\Huh?\Oh, nothing.\She knows about what happened on the bus and at the river. Everything. response:	That's why she's
context: But why come to me?\Jeez, you're so dense.\Mikatan came to check up on you.\Really?\Huh?\Oh, nothing.\She knows about what happened on the bus and at the river. Everything.\That's why she's response:	Just shut up!
context: Jeez, you're so dense.\Mikatan came to check up on you.\Really?\Huh?\Oh, nothing.\She knows about what happened on the bus and at the river. Everything.\That's why she's\Just shut up! response:	But I haven't said anything...
context: Mikatan came to check up on you.\Really?\Huh?\Oh, nothing.\She knows about what happened on the bus and at the river. Everything.\That's why she's\Just shut up!\But I haven't said anything... response:	Anyway, thanks.
context: Really?\Huh?\Oh, nothing.\She knows about what happened on the bus and at the river. Everything.\That's why she's\Just shut up!\But I haven't said anything...\Anyway, thanks. response:	Oh, I mean, thanks for teaching me that.
context: Huh?\Oh, nothing.\She knows about what happened on the bus and at the river. Everything.\That's why she's\Just shut up!\But I haven't said anything...\Anyway, thanks.\Oh, I mean, thanks for teaching me that. response:	And...
context: Oh, nothing.\She knows about what happened on the bus and at the river. Everything.\That's why she's\Just shut up!\But I haven't said anything...\Anyway, thanks.\Oh, I mean, thanks for teaching me that.\And... response:	Sorry, see you later!
context: She knows about what happened on the bus and at the river. Everything.\That's why she's\Just shut up!\But I haven't said anything...\Anyway, thanks.\Oh, I mean, thanks for teaching me that.\And...\Sorry, see you later! response:	She's...
context: That's why she's\Just shut up!\But I haven't said anything...\Anyway, thanks.\Oh, I mean, thanks for teaching me that.\And...\Sorry, see you later!\She's... response:	'Sup!
context: Just shut up!\But I haven't said anything...\Anyway, thanks.\Oh, I mean, thanks for teaching me that.\And...\Sorry, see you later!\She's...\'Sup! response:	What is it?
context: But I haven't said anything...\Anyway, thanks.\Oh, I mean, thanks for teaching me that.\And...\Sorry, see you later!\She's...\'Sup!\What is it? response:	Oh, nothing.
context: Anyway, thanks.\Oh, I mean, thanks for teaching me that.\And...\Sorry, see you later!\She's...\'Sup!\What is it?\Oh, nothing. response:	I thought maybe you were tired.
context: Oh, I mean, thanks for teaching me that.\And...\Sorry, see you later!\She's...\'Sup!\What is it?\Oh, nothing.\I thought maybe you were tired. response:	Here.
context: And...\Sorry, see you later!\She's...\'Sup!\What is it?\Oh, nothing.\I thought maybe you were tired.\Here. response:	Genki Maker Z
context: Sorry, see you later!\She's...\'Sup!\What is it?\Oh, nothing.\I thought maybe you were tired.\Here.\Genki Maker Z response:	Daihatsu Pharmaceuticals
context: She's...\'Sup!\What is it?\Oh, nothing.\I thought maybe you were tired.\Here.\Genki Maker Z\Daihatsu Pharmaceuticals response:	What's this?
context: 'Sup!\What is it?\Oh, nothing.\I thought maybe you were tired.\Here.\Genki Maker Z\Daihatsu Pharmaceuticals\What's this? response:	My special drink.
context: What is it?\Oh, nothing.\I thought maybe you were tired.\Here.\Genki Maker Z\Daihatsu Pharmaceuticals\What's this?\My special drink. response:	For nutritional fortification and replenishment when you're exhausted!
context: Oh, nothing.\I thought maybe you were tired.\Here.\Genki Maker Z\Daihatsu Pharmaceuticals\What's this?\My special drink.\For nutritional fortification and replenishment when you're exhausted! response:	Genki Maker!
context: I thought maybe you were tired.\Here.\Genki Maker Z\Daihatsu Pharmaceuticals\What's this?\My special drink.\For nutritional fortification and replenishment when you're exhausted!\Genki Maker! response:	It seems poisonous, no matter how I look at it.
context: Here.\Genki Maker Z\Daihatsu Pharmaceuticals\What's this?\My special drink.\For nutritional fortification and replenishment when you're exhausted!\Genki Maker!\It seems poisonous, no matter how I look at it. response:	Fight poison with poison!
context: Genki Maker Z\Daihatsu Pharmaceuticals\What's this?\My special drink.\For nutritional fortification and replenishment when you're exhausted!\Genki Maker!\It seems poisonous, no matter how I look at it.\Fight poison with poison! response:	So it is poison.
context: Daihatsu Pharmaceuticals\What's this?\My special drink.\For nutritional fortification and replenishment when you're exhausted!\Genki Maker!\It seems poisonous, no matter how I look at it.\Fight poison with poison!\So it is poison. response:	By the way, isn't that Narugino's script you're holding?
context: What's this?\My special drink.\For nutritional fortification and replenishment when you're exhausted!\Genki Maker!\It seems poisonous, no matter how I look at it.\Fight poison with poison!\So it is poison.\By the way, isn't that Narugino's script you're holding? response:	Yeah, she forgot it here just now.
context: My special drink.\For nutritional fortification and replenishment when you're exhausted!\Genki Maker!\It seems poisonous, no matter how I look at it.\Fight poison with poison!\So it is poison.\By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now. response:	I'll bring it back to her later.
context: For nutritional fortification and replenishment when you're exhausted!\Genki Maker!\It seems poisonous, no matter how I look at it.\Fight poison with poison!\So it is poison.\By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now.\I'll bring it back to her later. response:	See ya.
context: Genki Maker!\It seems poisonous, no matter how I look at it.\Fight poison with poison!\So it is poison.\By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now.\I'll bring it back to her later.\See ya. response:	Isn't this...
context: It seems poisonous, no matter how I look at it.\Fight poison with poison!\So it is poison.\By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now.\I'll bring it back to her later.\See ya.\Isn't this... response:	So that's it.
context: Fight poison with poison!\So it is poison.\By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now.\I'll bring it back to her later.\See ya.\Isn't this...\So that's it. response:	In that case, um... what happens next, again?
context: So it is poison.\By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now.\I'll bring it back to her later.\See ya.\Isn't this...\So that's it.\In that case, um... what happens next, again? response:	I think my spirit...
context: By the way, isn't that Narugino's script you're holding?\Yeah, she forgot it here just now.\I'll bring it back to her later.\See ya.\Isn't this...\So that's it.\In that case, um... what happens next, again?\I think my spirit... response:	What happens when such a spirit becomes excited twice in a row?
context: Yeah, she forgot it here just now.\I'll bring it back to her later.\See ya.\Isn't this...\So that's it.\In that case, um... what happens next, again?\I think my spirit...\What happens when such a spirit becomes excited twice in a row? response:	Oh, no! I have to do something!
context: I'll bring it back to her later.\See ya.\Isn't this...\So that's it.\In that case, um... what happens next, again?\I think my spirit...\What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something! response:	Sorry, Ito.
context: See ya.\Isn't this...\So that's it.\In that case, um... what happens next, again?\I think my spirit...\What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something!\Sorry, Ito. response:	I'm coming in.
context: Isn't this...\So that's it.\In that case, um... what happens next, again?\I think my spirit...\What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something!\Sorry, Ito.\I'm coming in. response:	Man, this room's always so messy.
context: So that's it.\In that case, um... what happens next, again?\I think my spirit...\What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something!\Sorry, Ito.\I'm coming in.\Man, this room's always so messy. response:	Well, I guess I'll take a shower for once.
context: In that case, um... what happens next, again?\I think my spirit...\What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something!\Sorry, Ito.\I'm coming in.\Man, this room's always so messy.\Well, I guess I'll take a shower for once. response:	Oh, yeah, I have to grab some more shampoo.
context: I think my spirit...\What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something!\Sorry, Ito.\I'm coming in.\Man, this room's always so messy.\Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo. response:	No! If Ito comes out now...
context: What happens when such a spirit becomes excited twice in a row?\Oh, no! I have to do something!\Sorry, Ito.\I'm coming in.\Man, this room's always so messy.\Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now... response:	Huh?
context: Oh, no! I have to do something!\Sorry, Ito.\I'm coming in.\Man, this room's always so messy.\Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now...\Huh? response:	Why...
context: Sorry, Ito.\I'm coming in.\Man, this room's always so messy.\Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now...\Huh?\Why... response:	I'll kill you!
context: I'm coming in.\Man, this room's always so messy.\Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now...\Huh?\Why...\I'll kill you! response:	Wai
context: Man, this room's always so messy.\Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now...\Huh?\Why...\I'll kill you!\Wai response:	S-Sorry, Ito! I didn't mean to!
context: Well, I guess I'll take a shower for once.\Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now...\Huh?\Why...\I'll kill you!\Wai\S-Sorry, Ito! I didn't mean to! response:	You animal!
context: Oh, yeah, I have to grab some more shampoo.\No! If Ito comes out now...\Huh?\Why...\I'll kill you!\Wai\S-Sorry, Ito! I didn't mean to!\You animal! response:	Where did that book go?
context: No! If Ito comes out now...\Huh?\Why...\I'll kill you!\Wai\S-Sorry, Ito! I didn't mean to!\You animal!\Where did that book go? response:	Oh, no!
context: Huh?\Why...\I'll kill you!\Wai\S-Sorry, Ito! I didn't mean to!\You animal!\Where did that book go?\Oh, no! response:	You pervert!
context: Why...\I'll kill you!\Wai\S-Sorry, Ito! I didn't mean to!\You animal!\Where did that book go?\Oh, no!\You pervert! response:	Freak!
context: I'll kill you!\Wai\S-Sorry, Ito! I didn't mean to!\You animal!\Where did that book go?\Oh, no!\You pervert!\Freak! response:	Creep!
context: Wai\S-Sorry, Ito! I didn't mean to!\You animal!\Where did that book go?\Oh, no!\You pervert!\Freak!\Creep! response:	Stop... Stop it!
context: S-Sorry, Ito! I didn't mean to!\You animal!\Where did that book go?\Oh, no!\You pervert!\Freak!\Creep!\Stop... Stop it! response:	Hara kiri Harassment
context: You animal!\Where did that book go?\Oh, no!\You pervert!\Freak!\Creep!\Stop... Stop it!\Hara kiri Harassment response:	Harahara Production Group
context: Where did that book go?\Oh, no!\You pervert!\Freak!\Creep!\Stop... Stop it!\Hara kiri Harassment\Harahara Production Group response:	Damn!
context: Oh, no!\You pervert!\Freak!\Creep!\Stop... Stop it!\Hara kiri Harassment\Harahara Production Group\Damn! response:	Maybe it's on the top shelf.
context: You pervert!\Freak!\Creep!\Stop... Stop it!\Hara kiri Harassment\Harahara Production Group\Damn!\Maybe it's on the top shelf. response:	No you don't!
context: Freak!\Creep!\Stop... Stop it!\Hara kiri Harassment\Harahara Production Group\Damn!\Maybe it's on the top shelf.\No you don't! response:	Salt, huh? Sorry, I'm out right now.
context: Creep!\Stop... Stop it!\Hara kiri Harassment\Harahara Production Group\Damn!\Maybe it's on the top shelf.\No you don't!\Salt, huh? Sorry, I'm out right now. response:	I guess I'll borrow some from Mikatan, then.
context: Stop... Stop it!\Hara kiri Harassment\Harahara Production Group\Damn!\Maybe it's on the top shelf.\No you don't!\Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then. response:	Oh, if you're going to see Narugino...
context: Hara kiri Harassment\Harahara Production Group\Damn!\Maybe it's on the top shelf.\No you don't!\Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino... response:	Could you return this to her for me?
context: Harahara Production Group\Damn!\Maybe it's on the top shelf.\No you don't!\Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino...\Could you return this to her for me? response:	Sure, but what's this?
context: Damn!\Maybe it's on the top shelf.\No you don't!\Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino...\Could you return this to her for me?\Sure, but what's this? response:	A script.
context: Maybe it's on the top shelf.\No you don't!\Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino...\Could you return this to her for me?\Sure, but what's this?\A script. response:	For She's Mei.
context: No you don't!\Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino...\Could you return this to her for me?\Sure, but what's this?\A script.\For She's Mei. response:	No... This isn't, uh...
context: Salt, huh? Sorry, I'm out right now.\I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino...\Could you return this to her for me?\Sure, but what's this?\A script.\For She's Mei.\No... This isn't, uh... response:	Stop!
context: I guess I'll borrow some from Mikatan, then.\Oh, if you're going to see Narugino...\Could you return this to her for me?\Sure, but what's this?\A script.\For She's Mei.\No... This isn't, uh...\Stop! response:	You! Give me back my body!
context: Oh, if you're going to see Narugino...\Could you return this to her for me?\Sure, but what's this?\A script.\For She's Mei.\No... This isn't, uh...\Stop!\You! Give me back my body! response:	Punch Perms and Chirashi Sushi
context: Could you return this to her for me?\Sure, but what's this?\A script.\For She's Mei.\No... This isn't, uh...\Stop!\You! Give me back my body!\Punch Perms and Chirashi Sushi response:	Hey, what's up with you?
context: Sure, but what's this?\A script.\For She's Mei.\No... This isn't, uh...\Stop!\You! Give me back my body!\Punch Perms and Chirashi Sushi\Hey, what's up with you? response:	Sorry, Rabura!
context: A script.\For She's Mei.\No... This isn't, uh...\Stop!\You! Give me back my body!\Punch Perms and Chirashi Sushi\Hey, what's up with you?\Sorry, Rabura! response:	Shit!
context: For She's Mei.\No... This isn't, uh...\Stop!\You! Give me back my body!\Punch Perms and Chirashi Sushi\Hey, what's up with you?\Sorry, Rabura!\Shit! response:	Looks like I changed history a little...
context: No... This isn't, uh...\Stop!\You! Give me back my body!\Punch Perms and Chirashi Sushi\Hey, what's up with you?\Sorry, Rabura!\Shit!\Looks like I changed history a little... response:	But I guess that's okay.
context: Stop!\You! Give me back my body!\Punch Perms and Chirashi Sushi\Hey, what's up with you?\Sorry, Rabura!\Shit!\Looks like I changed history a little...\But I guess that's okay. response:	What the heck happened here?
context: You! Give me back my body!\Punch Perms and Chirashi Sushi\Hey, what's up with you?\Sorry, Rabura!\Shit!\Looks like I changed history a little...\But I guess that's okay.\What the heck happened here? response:	Hara kiri Harassment
context: Punch Perms and Chirashi Sushi\Hey, what's up with you?\Sorry, Rabura!\Shit!\Looks like I changed history a little...\But I guess that's okay.\What the heck happened here?\Hara kiri Harassment response:	Harahara Production Group
context: Hey, what's up with you?\Sorry, Rabura!\Shit!\Looks like I changed history a little...\But I guess that's okay.\What the heck happened here?\Hara kiri Harassment\Harahara Production Group response:	Wait... No!
context: Sorry, Rabura!\Shit!\Looks like I changed history a little...\But I guess that's okay.\What the heck happened here?\Hara kiri Harassment\Harahara Production Group\Wait... No! response:	This isn't the book!
context: Shit!\Looks like I changed history a little...\But I guess that's okay.\What the heck happened here?\Hara kiri Harassment\Harahara Production Group\Wait... No!\This isn't the book! response:	Oh, did they get mixed up?
context: Looks like I changed history a little...\But I guess that's okay.\What the heck happened here?\Hara kiri Harassment\Harahara Production Group\Wait... No!\This isn't the book!\Oh, did they get mixed up? response:	It must have happened when I crashed into him...
context: But I guess that's okay.\What the heck happened here?\Hara kiri Harassment\Harahara Production Group\Wait... No!\This isn't the book!\Oh, did they get mixed up?\It must have happened when I crashed into him... response:	I get it.
context: What the heck happened here?\Hara kiri Harassment\Harahara Production Group\Wait... No!\This isn't the book!\Oh, did they get mixed up?\It must have happened when I crashed into him...\I get it. response:	She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi
context: Hara kiri Harassment\Harahara Production Group\Wait... No!\This isn't the book!\Oh, did they get mixed up?\It must have happened when I crashed into him...\I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi response:	The apples of Tsugaru Mountain...
context: Harahara Production Group\Wait... No!\This isn't the book!\Oh, did they get mixed up?\It must have happened when I crashed into him...\I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain... response:	This sucks.
context: Wait... No!\This isn't the book!\Oh, did they get mixed up?\It must have happened when I crashed into him...\I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain...\This sucks. response:	I've walked all this way, and made no progress.
context: This isn't the book!\Oh, did they get mixed up?\It must have happened when I crashed into him...\I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain...\This sucks.\I've walked all this way, and made no progress. response:	I couldn't get into the
context: Oh, did they get mixed up?\It must have happened when I crashed into him...\I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain...\This sucks.\I've walked all this way, and made no progress.\I couldn't get into the response:	Qmay Group headquarters with all the police and reporters there.
context: It must have happened when I crashed into him...\I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain...\This sucks.\I've walked all this way, and made no progress.\I couldn't get into the\Qmay Group headquarters with all the police and reporters there. response:	And I couldn't find Tomoda, either.
context: I get it.\She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain...\This sucks.\I've walked all this way, and made no progress.\I couldn't get into the\Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either. response:	That leaves...
context: She's Mei Musical Project Debut Piece Punch Perms and Chirashi Sushi\The apples of Tsugaru Mountain...\This sucks.\I've walked all this way, and made no progress.\I couldn't get into the\Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either.\That leaves... response:	Rabura?
context: The apples of Tsugaru Mountain...\This sucks.\I've walked all this way, and made no progress.\I couldn't get into the\Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either.\That leaves...\Rabura? response:	Rabura!
context: This sucks.\I've walked all this way, and made no progress.\I couldn't get into the\Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either.\That leaves...\Rabura?\Rabura! response:	Wait up!
context: I've walked all this way, and made no progress.\I couldn't get into the\Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either.\That leaves...\Rabura?\Rabura!\Wait up! response:	Were you out for yuuhan (dinner)?
context: I couldn't get into the\Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either.\That leaves...\Rabura?\Rabura!\Wait up!\Were you out for yuuhan (dinner)? response:	What? It's only 4:30.
context: Qmay Group headquarters with all the police and reporters there.\And I couldn't find Tomoda, either.\That leaves...\Rabura?\Rabura!\Wait up!\Were you out for yuuhan (dinner)?\What? It's only 4:30. response:	Korai House
context: And I couldn't find Tomoda, either.\That leaves...\Rabura?\Rabura!\Wait up!\Were you out for yuuhan (dinner)?\What? It's only 4:30.\Korai House response:	No, I mean a yuurei hanto (ghost hunt).
context: That leaves...\Rabura?\Rabura!\Wait up!\Were you out for yuuhan (dinner)?\What? It's only 4:30.\Korai House\No, I mean a yuurei hanto (ghost hunt). response:	How did you know?!
context: Rabura?\Rabura!\Wait up!\Were you out for yuuhan (dinner)?\What? It's only 4:30.\Korai House\No, I mean a yuurei hanto (ghost hunt).\How did you know?! response:	A-Anyway, listen, there's something I want to ask you.
context: Rabura!\Wait up!\Were you out for yuuhan (dinner)?\What? It's only 4:30.\Korai House\No, I mean a yuurei hanto (ghost hunt).\How did you know?!\A-Anyway, listen, there's something I want to ask you. response:	Can you tell me how to get in contact with Gliese?
context: Wait up!\Were you out for yuuhan (dinner)?\What? It's only 4:30.\Korai House\No, I mean a yuurei hanto (ghost hunt).\How did you know?!\A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese? response:	W-Wait a second!
context: Were you out for yuuhan (dinner)?\What? It's only 4:30.\Korai House\No, I mean a yuurei hanto (ghost hunt).\How did you know?!\A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese?\W-Wait a second! response:	How do you know about Gliese-sama?
context: What? It's only 4:30.\Korai House\No, I mean a yuurei hanto (ghost hunt).\How did you know?!\A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese?\W-Wait a second!\How do you know about Gliese-sama? response:	Just tell me, please.
context: Korai House\No, I mean a yuurei hanto (ghost hunt).\How did you know?!\A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese?\W-Wait a second!\How do you know about Gliese-sama?\Just tell me, please. response:	No way.
context: No, I mean a yuurei hanto (ghost hunt).\How did you know?!\A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese?\W-Wait a second!\How do you know about Gliese-sama?\Just tell me, please.\No way. response:	Tomoda!
context: How did you know?!\A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese?\W-Wait a second!\How do you know about Gliese-sama?\Just tell me, please.\No way.\Tomoda! response:	You bastard!
context: A-Anyway, listen, there's something I want to ask you.\Can you tell me how to get in contact with Gliese?\W-Wait a second!\How do you know about Gliese-sama?\Just tell me, please.\No way.\Tomoda!\You bastard! response:	What's your problem?!
context: Can you tell me how to get in contact with Gliese?\W-Wait a second!\How do you know about Gliese-sama?\Just tell me, please.\No way.\Tomoda!\You bastard!\What's your problem?! response:	Just shut up and get back here!
context: W-Wait a second!\How do you know about Gliese-sama?\Just tell me, please.\No way.\Tomoda!\You bastard!\What's your problem?!\Just shut up and get back here! response:	You're not getting away!
context: How do you know about Gliese-sama?\Just tell me, please.\No way.\Tomoda!\You bastard!\What's your problem?!\Just shut up and get back here!\You're not getting away! response:	Hey, what was that for?!
