context: Found it! It's this! response:	Hot Springs A complete guide to the most popular traditional inns
context: No...\Well...\Tell me!\Who in the world wrote this awful article?\N-Now...\You're close! Too close!\I'm sorry!\Please tell me! response:	Okay...
context: Well...\Tell me!\Who in the world wrote this awful article?\N-Now...\You're close! Too close!\I'm sorry!\Please tell me!\Okay... response:	This is the-
context: Tell me!\Who in the world wrote this awful article?\N-Now...\You're close! Too close!\I'm sorry!\Please tell me!\Okay...\This is the- response:	The spawn of the devil!
context: Who in the world wrote this awful article?\N-Now...\You're close! Too close!\I'm sorry!\Please tell me!\Okay...\This is the-\The spawn of the devil! response:	Ohana!
context: N-Now...\You're close! Too close!\I'm sorry!\Please tell me!\Okay...\This is the-\The spawn of the devil!\Ohana! response:	How have you been?!
context: You're close! Too close!\I'm sorry!\Please tell me!\Okay...\This is the-\The spawn of the devil!\Ohana!\How have you been?! response:	It's been so long since I've felt this warmth!
context: I'm sorry!\Please tell me!\Okay...\This is the-\The spawn of the devil!\Ohana!\How have you been?!\It's been so long since I've felt this warmth! response:	What's wrong?
context: Please tell me!\Okay...\This is the-\The spawn of the devil!\Ohana!\How have you been?!\It's been so long since I've felt this warmth!\What's wrong? response:	You don't look too happy.
context: Okay...\This is the-\The spawn of the devil!\Ohana!\How have you been?!\It's been so long since I've felt this warmth!\What's wrong?\You don't look too happy. response:	Who would be happy after being betrayed by a member of their own family?
context: This is the-\The spawn of the devil!\Ohana!\How have you been?!\It's been so long since I've felt this warmth!\What's wrong?\You don't look too happy.\Who would be happy after being betrayed by a member of their own family? response:	Jeez... you always say such harsh things!
context: The spawn of the devil!\Ohana!\How have you been?!\It's been so long since I've felt this warmth!\What's wrong?\You don't look too happy.\Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things! response:	Oh, are you hungry?
context: Ohana!\How have you been?!\It's been so long since I've felt this warmth!\What's wrong?\You don't look too happy.\Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things!\Oh, are you hungry? response:	I broke up with him soon after.
context: How have you been?!\It's been so long since I've felt this warmth!\What's wrong?\You don't look too happy.\Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things!\Oh, are you hungry?\I broke up with him soon after. response:	Work is so much more fun.
context: It's been so long since I've felt this warmth!\What's wrong?\You don't look too happy.\Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things!\Oh, are you hungry?\I broke up with him soon after.\Work is so much more fun. response:	That's why I came back alone.
context: What's wrong?\You don't look too happy.\Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things!\Oh, are you hungry?\I broke up with him soon after.\Work is so much more fun.\That's why I came back alone. response:	I've always wanted to do a moonlight flit.
context: You don't look too happy.\Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things!\Oh, are you hungry?\I broke up with him soon after.\Work is so much more fun.\That's why I came back alone.\I've always wanted to do a moonlight flit. response:	That was the climax of our relationship.
context: Who would be happy after being betrayed by a member of their own family?\Jeez... you always say such harsh things!\Oh, are you hungry?\I broke up with him soon after.\Work is so much more fun.\That's why I came back alone.\I've always wanted to do a moonlight flit.\That was the climax of our relationship. response:	How...
context: Jeez... you always say such harsh things!\Oh, are you hungry?\I broke up with him soon after.\Work is so much more fun.\That's why I came back alone.\I've always wanted to do a moonlight flit.\That was the climax of our relationship.\How... response:	How can you say such awful things about your
context: Oh, are you hungry?\I broke up with him soon after.\Work is so much more fun.\That's why I came back alone.\I've always wanted to do a moonlight flit.\That was the climax of our relationship.\How...\How can you say such awful things about your response:	own home without even visiting?
context: I broke up with him soon after.\Work is so much more fun.\That's why I came back alone.\I've always wanted to do a moonlight flit.\That was the climax of our relationship.\How...\How can you say such awful things about your\own home without even visiting? response:	Rankings like those are caused by unavoidable circumstances.
context: Work is so much more fun.\That's why I came back alone.\I've always wanted to do a moonlight flit.\That was the climax of our relationship.\How...\How can you say such awful things about your\own home without even visiting?\Rankings like those are caused by unavoidable circumstances. response:	Someone high up wants Kissuiso to score poorly.
context: That's why I came back alone.\I've always wanted to do a moonlight flit.\That was the climax of our relationship.\How...\How can you say such awful things about your\own home without even visiting?\Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly. response:	I just obeyed their orders and wrote it.
context: I've always wanted to do a moonlight flit.\That was the climax of our relationship.\How...\How can you say such awful things about your\own home without even visiting?\Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it. response:	You wrote that article
context: That was the climax of our relationship.\How...\How can you say such awful things about your\own home without even visiting?\Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it.\You wrote that article response:	without knowing anything about how the Kissuiso is doing?!
context: How...\How can you say such awful things about your\own home without even visiting?\Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it.\You wrote that article\without knowing anything about how the Kissuiso is doing?! response:	C-Calm down.
context: How can you say such awful things about your\own home without even visiting?\Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it.\You wrote that article\without knowing anything about how the Kissuiso is doing?!\C-Calm down. response:	Gratin tastes bad once it cools down.
context: own home without even visiting?\Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it.\You wrote that article\without knowing anything about how the Kissuiso is doing?!\C-Calm down.\Gratin tastes bad once it cools down. response:	Don't change the subject!
context: Rankings like those are caused by unavoidable circumstances.\Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it.\You wrote that article\without knowing anything about how the Kissuiso is doing?!\C-Calm down.\Gratin tastes bad once it cools down.\Don't change the subject! response:	You're always like that!
context: Someone high up wants Kissuiso to score poorly.\I just obeyed their orders and wrote it.\You wrote that article\without knowing anything about how the Kissuiso is doing?!\C-Calm down.\Gratin tastes bad once it cools down.\Don't change the subject!\You're always like that! response:	You never think of anyone's feelings.
context: I just obeyed their orders and wrote it.\You wrote that article\without knowing anything about how the Kissuiso is doing?!\C-Calm down.\Gratin tastes bad once it cools down.\Don't change the subject!\You're always like that!\You never think of anyone's feelings. response:	You never bother discussing anything with me,
context: You wrote that article\without knowing anything about how the Kissuiso is doing?!\C-Calm down.\Gratin tastes bad once it cools down.\Don't change the subject!\You're always like that!\You never think of anyone's feelings.\You never bother discussing anything with me, response:	and always make all the decisions by yourself.
context: without knowing anything about how the Kissuiso is doing?!\C-Calm down.\Gratin tastes bad once it cools down.\Don't change the subject!\You're always like that!\You never think of anyone's feelings.\You never bother discussing anything with me,\and always make all the decisions by yourself. response:	This article, the moonlight flit,
context: C-Calm down.\Gratin tastes bad once it cools down.\Don't change the subject!\You're always like that!\You never think of anyone's feelings.\You never bother discussing anything with me,\and always make all the decisions by yourself.\This article, the moonlight flit, response:	the time we moved when I was in 2nd grade,
context: Gratin tastes bad once it cools down.\Don't change the subject!\You're always like that!\You never think of anyone's feelings.\You never bother discussing anything with me,\and always make all the decisions by yourself.\This article, the moonlight flit,\the time we moved when I was in 2nd grade, response:	my Christmas present when I was in 5th grade...
context: Don't change the subject!\You're always like that!\You never think of anyone's feelings.\You never bother discussing anything with me,\and always make all the decisions by yourself.\This article, the moonlight flit,\the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade... response:	I didn't want a teddy bear!
context: You're always like that!\You never think of anyone's feelings.\You never bother discussing anything with me,\and always make all the decisions by yourself.\This article, the moonlight flit,\the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade...\I didn't want a teddy bear! response:	I wanted a sticker book!
context: You never think of anyone's feelings.\You never bother discussing anything with me,\and always make all the decisions by yourself.\This article, the moonlight flit,\the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade...\I didn't want a teddy bear!\I wanted a sticker book! response:	You promised me one in November!
context: You never bother discussing anything with me,\and always make all the decisions by yourself.\This article, the moonlight flit,\the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade...\I didn't want a teddy bear!\I wanted a sticker book!\You promised me one in November! response:	I can't believe you still remember that.
context: and always make all the decisions by yourself.\This article, the moonlight flit,\the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade...\I didn't want a teddy bear!\I wanted a sticker book!\You promised me one in November!\I can't believe you still remember that. response:	It made me sad!
context: This article, the moonlight flit,\the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade...\I didn't want a teddy bear!\I wanted a sticker book!\You promised me one in November!\I can't believe you still remember that.\It made me sad! response:	But you didn't say anything
context: the time we moved when I was in 2nd grade,\my Christmas present when I was in 5th grade...\I didn't want a teddy bear!\I wanted a sticker book!\You promised me one in November!\I can't believe you still remember that.\It made me sad!\But you didn't say anything response:	when I gave you your present.
context: my Christmas present when I was in 5th grade...\I didn't want a teddy bear!\I wanted a sticker book!\You promised me one in November!\I can't believe you still remember that.\It made me sad!\But you didn't say anything\when I gave you your present. response:	I held it in!
context: I didn't want a teddy bear!\I wanted a sticker book!\You promised me one in November!\I can't believe you still remember that.\It made me sad!\But you didn't say anything\when I gave you your present.\I held it in! response:	That's right...
context: I wanted a sticker book!\You promised me one in November!\I can't believe you still remember that.\It made me sad!\But you didn't say anything\when I gave you your present.\I held it in!\That's right... response:	I've always held things in.
context: You promised me one in November!\I can't believe you still remember that.\It made me sad!\But you didn't say anything\when I gave you your present.\I held it in!\That's right...\I've always held things in. response:	Even when you went out late at night
context: I can't believe you still remember that.\It made me sad!\But you didn't say anything\when I gave you your present.\I held it in!\That's right...\I've always held things in.\Even when you went out late at night response:	and it was dark and I was afraid to be alone,
context: It made me sad!\But you didn't say anything\when I gave you your present.\I held it in!\That's right...\I've always held things in.\Even when you went out late at night\and it was dark and I was afraid to be alone, response:	I still didn't complain!
context: But you didn't say anything\when I gave you your present.\I held it in!\That's right...\I've always held things in.\Even when you went out late at night\and it was dark and I was afraid to be alone,\I still didn't complain! response:	Parents' day at school, the zoo, the pool...
context: when I gave you your present.\I held it in!\That's right...\I've always held things in.\Even when you went out late at night\and it was dark and I was afraid to be alone,\I still didn't complain!\Parents' day at school, the zoo, the pool... response:	I never complained when you bailed out on them...
context: I held it in!\That's right...\I've always held things in.\Even when you went out late at night\and it was dark and I was afraid to be alone,\I still didn't complain!\Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them... response:	You know you just shifted the subject to your personal grudge, right?
context: That's right...\I've always held things in.\Even when you went out late at night\and it was dark and I was afraid to be alone,\I still didn't complain!\Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right? response:	I never complained because it always had something to do with your work.
context: I've always held things in.\Even when you went out late at night\and it was dark and I was afraid to be alone,\I still didn't complain!\Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work. response:	That's why I held it in.
context: Even when you went out late at night\and it was dark and I was afraid to be alone,\I still didn't complain!\Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work.\That's why I held it in. response:	I was holding everything back this whole time
context: and it was dark and I was afraid to be alone,\I still didn't complain!\Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work.\That's why I held it in.\I was holding everything back this whole time response:	for a job that hurts others?
context: I still didn't complain!\Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work.\That's why I held it in.\I was holding everything back this whole time\for a job that hurts others? response:	All this time... for something like that?!
context: Parents' day at school, the zoo, the pool...\I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work.\That's why I held it in.\I was holding everything back this whole time\for a job that hurts others?\All this time... for something like that?! response:	That's right.
context: I never complained when you bailed out on them...\You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work.\That's why I held it in.\I was holding everything back this whole time\for a job that hurts others?\All this time... for something like that?!\That's right. response:	I've had this job for a while.
context: You know you just shifted the subject to your personal grudge, right?\I never complained because it always had something to do with your work.\That's why I held it in.\I was holding everything back this whole time\for a job that hurts others?\All this time... for something like that?!\That's right.\I've had this job for a while. response:	I raised you with a job like this.
context: I never complained because it always had something to do with your work.\That's why I held it in.\I was holding everything back this whole time\for a job that hurts others?\All this time... for something like that?!\That's right.\I've had this job for a while.\I raised you with a job like this. response:	Don't tell me
context: That's why I held it in.\I was holding everything back this whole time\for a job that hurts others?\All this time... for something like that?!\That's right.\I've had this job for a while.\I raised you with a job like this.\Don't tell me response:	that you thought that all my work consisted of
context: I was holding everything back this whole time\for a job that hurts others?\All this time... for something like that?!\That's right.\I've had this job for a while.\I raised you with a job like this.\Don't tell me\that you thought that all my work consisted of response:	something that you could be proud of.
context: for a job that hurts others?\All this time... for something like that?!\That's right.\I've had this job for a while.\I raised you with a job like this.\Don't tell me\that you thought that all my work consisted of\something that you could be proud of. response:	From your point of view- No,
context: All this time... for something like that?!\That's right.\I've had this job for a while.\I raised you with a job like this.\Don't tell me\that you thought that all my work consisted of\something that you could be proud of.\From your point of view- No, response:	even from my point of view, my job is full of crap.
context: That's right.\I've had this job for a while.\I raised you with a job like this.\Don't tell me\that you thought that all my work consisted of\something that you could be proud of.\From your point of view- No,\even from my point of view, my job is full of crap. response:	But I still work hard for it.
context: I've had this job for a while.\I raised you with a job like this.\Don't tell me\that you thought that all my work consisted of\something that you could be proud of.\From your point of view- No,\even from my point of view, my job is full of crap.\But I still work hard for it. response:	That's why...
context: I raised you with a job like this.\Don't tell me\that you thought that all my work consisted of\something that you could be proud of.\From your point of view- No,\even from my point of view, my job is full of crap.\But I still work hard for it.\That's why... response:	Fine.
context: Don't tell me\that you thought that all my work consisted of\something that you could be proud of.\From your point of view- No,\even from my point of view, my job is full of crap.\But I still work hard for it.\That's why...\Fine. response:	Huh?
context: that you thought that all my work consisted of\something that you could be proud of.\From your point of view- No,\even from my point of view, my job is full of crap.\But I still work hard for it.\That's why...\Fine.\Huh? response:	I get it, but I want you to write it.
context: something that you could be proud of.\From your point of view- No,\even from my point of view, my job is full of crap.\But I still work hard for it.\That's why...\Fine.\Huh?\I get it, but I want you to write it. response:	I told you, I can't put up a correction notice.
context: From your point of view- No,\even from my point of view, my job is full of crap.\But I still work hard for it.\That's why...\Fine.\Huh?\I get it, but I want you to write it.\I told you, I can't put up a correction notice. response:	You don't need to apologize in a magazine!
context: even from my point of view, my job is full of crap.\But I still work hard for it.\That's why...\Fine.\Huh?\I get it, but I want you to write it.\I told you, I can't put up a correction notice.\You don't need to apologize in a magazine! response:	All I'm asking you is for you to come to Kissuiso,
context: But I still work hard for it.\That's why...\Fine.\Huh?\I get it, but I want you to write it.\I told you, I can't put up a correction notice.\You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso, response:	and write precisely how you really feel after your stay.
context: That's why...\Fine.\Huh?\I get it, but I want you to write it.\I told you, I can't put up a correction notice.\You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay. response:	I don't care if it doesn't get published in a magazine.
context: Fine.\Huh?\I get it, but I want you to write it.\I told you, I can't put up a correction notice.\You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine. response:	As long as you realize that Kissuiso is a wonderful inn, I...
context: Huh?\I get it, but I want you to write it.\I told you, I can't put up a correction notice.\You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I... response:	I can't.
context: I get it, but I want you to write it.\I told you, I can't put up a correction notice.\You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I...\I can't. response:	I'm busy enough as it is.
context: I told you, I can't put up a correction notice.\You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I...\I can't.\I'm busy enough as it is. response:	Please!
context: You don't need to apologize in a magazine!\All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I...\I can't.\I'm busy enough as it is.\Please! response:	No.
context: All I'm asking you is for you to come to Kissuiso,\and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I...\I can't.\I'm busy enough as it is.\Please!\No. response:	I'm not giving up.
context: and write precisely how you really feel after your stay.\I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I...\I can't.\I'm busy enough as it is.\Please!\No.\I'm not giving up. response:	Not until you write it.
context: I don't care if it doesn't get published in a magazine.\As long as you realize that Kissuiso is a wonderful inn, I...\I can't.\I'm busy enough as it is.\Please!\No.\I'm not giving up.\Not until you write it. response:	I'll make you write it for sure!
context: As long as you realize that Kissuiso is a wonderful inn, I...\I can't.\I'm busy enough as it is.\Please!\No.\I'm not giving up.\Not until you write it.\I'll make you write it for sure! response:	Wait... Ohana!
context: I can't.\I'm busy enough as it is.\Please!\No.\I'm not giving up.\Not until you write it.\I'll make you write it for sure!\Wait... Ohana! response:	Seconds.
context: I'm busy enough as it is.\Please!\No.\I'm not giving up.\Not until you write it.\I'll make you write it for sure!\Wait... Ohana!\Seconds. response:	Thank you, please come again.
context: Please!\No.\I'm not giving up.\Not until you write it.\I'll make you write it for sure!\Wait... Ohana!\Seconds.\Thank you, please come again. response:	I realize that my mother's a tough opponent.
context: No.\I'm not giving up.\Not until you write it.\I'll make you write it for sure!\Wait... Ohana!\Seconds.\Thank you, please come again.\I realize that my mother's a tough opponent. response:	I've always lost to her up until now.
context: I'm not giving up.\Not until you write it.\I'll make you write it for sure!\Wait... Ohana!\Seconds.\Thank you, please come again.\I realize that my mother's a tough opponent.\I've always lost to her up until now. response:	But...
context: Not until you write it.\I'll make you write it for sure!\Wait... Ohana!\Seconds.\Thank you, please come again.\I realize that my mother's a tough opponent.\I've always lost to her up until now.\But... response:	Yeah, I'm serious!
context: I'll make you write it for sure!\Wait... Ohana!\Seconds.\Thank you, please come again.\I realize that my mother's a tough opponent.\I've always lost to her up until now.\But...\Yeah, I'm serious! response:	Stop pulling my leg!
context: Wait... Ohana!\Seconds.\Thank you, please come again.\I realize that my mother's a tough opponent.\I've always lost to her up until now.\But...\Yeah, I'm serious!\Stop pulling my leg! response:	I'm not!
context: Seconds.\Thank you, please come again.\I realize that my mother's a tough opponent.\I've always lost to her up until now.\But...\Yeah, I'm serious!\Stop pulling my leg!\I'm not! response:	I haven't told Ko I'm in town yet.
context: Thank you, please come again.\I realize that my mother's a tough opponent.\I've always lost to her up until now.\But...\Yeah, I'm serious!\Stop pulling my leg!\I'm not!\I haven't told Ko I'm in town yet. response:	No, that's not why I came to Tokyo.
context: I realize that my mother's a tough opponent.\I've always lost to her up until now.\But...\Yeah, I'm serious!\Stop pulling my leg!\I'm not!\I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo. response:	To: Ko Hey Ko, it's Ohana. What are your plans for today?
context: I've always lost to her up until now.\But...\Yeah, I'm serious!\Stop pulling my leg!\I'm not!\I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today? response:	Make this part a bit more provoking.
context: But...\Yeah, I'm serious!\Stop pulling my leg!\I'm not!\I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking. response:	Sure.
context: Yeah, I'm serious!\Stop pulling my leg!\I'm not!\I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking.\Sure. response:	Satsuki?
context: Stop pulling my leg!\I'm not!\I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking.\Sure.\Satsuki? response:	Yes?
context: I'm not!\I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking.\Sure.\Satsuki?\Yes? response:	Look at that.
context: I haven't told Ko I'm in town yet.\No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking.\Sure.\Satsuki?\Yes?\Look at that. response:	Matsumae Satsuki, regain your human heart!
context: No, that's not why I came to Tokyo.\To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking.\Sure.\Satsuki?\Yes?\Look at that.\Matsumae Satsuki, regain your human heart! response:	Wake up! Release your soul!
context: To: Ko Hey Ko, it's Ohana. What are your plans for today?\Make this part a bit more provoking.\Sure.\Satsuki?\Yes?\Look at that.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul! response:	Unforgivable staged articles!
context: Make this part a bit more provoking.\Sure.\Satsuki?\Yes?\Look at that.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles! response:	Jeez...
context: Sure.\Satsuki?\Yes?\Look at that.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\Jeez... response:	Isn't that your daughter?
context: Satsuki?\Yes?\Look at that.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\Jeez...\Isn't that your daughter? response:	What are you going to do?
context: Yes?\Look at that.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\Jeez...\Isn't that your daughter?\What are you going to do? response:	Just leave her be.
context: Look at that.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\Jeez...\Isn't that your daughter?\What are you going to do?\Just leave her be. response:	You think she'll give up?
context: Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\Jeez...\Isn't that your daughter?\What are you going to do?\Just leave her be.\You think she'll give up? response:	Nah, she won't.
context: Wake up! Release your soul!\Unforgivable staged articles!\Jeez...\Isn't that your daughter?\What are you going to do?\Just leave her be.\You think she'll give up?\Nah, she won't. response:	What?
context: Unforgivable staged articles!\Jeez...\Isn't that your daughter?\What are you going to do?\Just leave her be.\You think she'll give up?\Nah, she won't.\What? response:	Unforgivable, eh?
context: Jeez...\Isn't that your daughter?\What are you going to do?\Just leave her be.\You think she'll give up?\Nah, she won't.\What?\Unforgivable, eh? response:	Just how long do you plan on staying mad at me, Ohana?
context: Isn't that your daughter?\What are you going to do?\Just leave her be.\You think she'll give up?\Nah, she won't.\What?\Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana? response:	It's already published.
context: What are you going to do?\Just leave her be.\You think she'll give up?\Nah, she won't.\What?\Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana?\It's already published. response:	There's nothing I can do.
context: Just leave her be.\You think she'll give up?\Nah, she won't.\What?\Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana?\It's already published.\There's nothing I can do. response:	No, I won't forgive you.
context: You think she'll give up?\Nah, she won't.\What?\Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana?\It's already published.\There's nothing I can do.\No, I won't forgive you. response:	It's part of my job. Forgive me.
context: Nah, she won't.\What?\Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana?\It's already published.\There's nothing I can do.\No, I won't forgive you.\It's part of my job. Forgive me. response:	I'll never forgive you!
context: What?\Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana?\It's already published.\There's nothing I can do.\No, I won't forgive you.\It's part of my job. Forgive me.\I'll never forgive you! response:	For eternity!
context: Unforgivable, eh?\Just how long do you plan on staying mad at me, Ohana?\It's already published.\There's nothing I can do.\No, I won't forgive you.\It's part of my job. Forgive me.\I'll never forgive you!\For eternity! response:	Do you know what eternity means?
context: Just how long do you plan on staying mad at me, Ohana?\It's already published.\There's nothing I can do.\No, I won't forgive you.\It's part of my job. Forgive me.\I'll never forgive you!\For eternity!\Do you know what eternity means? response:	Yes!
context: It's already published.\There's nothing I can do.\No, I won't forgive you.\It's part of my job. Forgive me.\I'll never forgive you!\For eternity!\Do you know what eternity means?\Yes! response:	Looks like I'll never be forgiven...
context: There's nothing I can do.\No, I won't forgive you.\It's part of my job. Forgive me.\I'll never forgive you!\For eternity!\Do you know what eternity means?\Yes!\Looks like I'll never be forgiven... response:	Huh?
context: No, I won't forgive you.\It's part of my job. Forgive me.\I'll never forgive you!\For eternity!\Do you know what eternity means?\Yes!\Looks like I'll never be forgiven...\Huh? response:	Okay, back to work.
context: It's part of my job. Forgive me.\I'll never forgive you!\For eternity!\Do you know what eternity means?\Yes!\Looks like I'll never be forgiven...\Huh?\Okay, back to work. response:	I won't lose.
context: I'll never forgive you!\For eternity!\Do you know what eternity means?\Yes!\Looks like I'll never be forgiven...\Huh?\Okay, back to work.\I won't lose. response:	I'll take her back to Kissuiso no matter what.
context: For eternity!\Do you know what eternity means?\Yes!\Looks like I'll never be forgiven...\Huh?\Okay, back to work.\I won't lose.\I'll take her back to Kissuiso no matter what. response:	Matsumae Satsuki, regain your human heart!
context: Do you know what eternity means?\Yes!\Looks like I'll never be forgiven...\Huh?\Okay, back to work.\I won't lose.\I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart! response:	Wake up! Release your soul!
context: Yes!\Looks like I'll never be forgiven...\Huh?\Okay, back to work.\I won't lose.\I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul! response:	Unforgivable staged articles!
context: Looks like I'll never be forgiven...\Huh?\Okay, back to work.\I won't lose.\I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles! response:	From: Ko Hey. I'm going to be at work today.
context: Huh?\Okay, back to work.\I won't lose.\I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today. response:	Work...
context: Okay, back to work.\I won't lose.\I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today.\Work... response:	To: Ko Work? The hauler again?
context: I won't lose.\I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today.\Work...\To: Ko Work? The hauler again? response:	It's been a while.
context: I'll take her back to Kissuiso no matter what.\Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today.\Work...\To: Ko Work? The hauler again?\It's been a while. response:	This scenery, this conversation with Ko...
context: Matsumae Satsuki, regain your human heart!\Wake up! Release your soul!\Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today.\Work...\To: Ko Work? The hauler again?\It's been a while.\This scenery, this conversation with Ko... response:	Even though it hasn't
context: Wake up! Release your soul!\Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today.\Work...\To: Ko Work? The hauler again?\It's been a while.\This scenery, this conversation with Ko...\Even though it hasn't response:	even been 6 months since I moved.
context: Unforgivable staged articles!\From: Ko Hey. I'm going to be at work today.\Work...\To: Ko Work? The hauler again?\It's been a while.\This scenery, this conversation with Ko...\Even though it hasn't\even been 6 months since I moved. response:	From: Ko Nah, I'm working at the huge bookstore in Ikebukuro today.
