context: Good morning. This is Morioh Radio, response:	brought to you again today by your neighbor, Kai Harada.
context: Y-You don't need to be so dramatic.\Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag...\She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years. response:	And I'm not going to let that kid do that for me!
context: Fine, I'll just take your signatures.\Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag...\She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me! response:	Josuke, let's hurry.
context: Hey, let's hurry up and go to St. Gentlemen. They're gonna sell out.\This isn't good. If he opens that bag...\She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me!\Josuke, let's hurry. response:	Yeah.
context: This isn't good. If he opens that bag...\She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me!\Josuke, let's hurry.\Yeah. response:	I'll be waiting outside.
context: She's wearing the ring I bought her.\And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me!\Josuke, let's hurry.\Yeah.\I'll be waiting outside. response:	What should I do?
context: And my fingerprints are on her... With the police's investigative skills,\it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me!\Josuke, let's hurry.\Yeah.\I'll be waiting outside.\What should I do? response:	I'll just have to take it from him.
context: it'll just be a matter of time before they trace the ring back to me.\I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me!\Josuke, let's hurry.\Yeah.\I'll be waiting outside.\What should I do?\I'll just have to take it from him. response:	The best thing to do is to swipe it without him noticing.
context: I, Yoshikage Kira, have never left a single clue in the last fifteen years.\And I'm not going to let that kid do that for me!\Josuke, let's hurry.\Yeah.\I'll be waiting outside.\What should I do?\I'll just have to take it from him.\The best thing to do is to swipe it without him noticing. response:	Shigechi!
context: And I'm not going to let that kid do that for me!\Josuke, let's hurry.\Yeah.\I'll be waiting outside.\What should I do?\I'll just have to take it from him.\The best thing to do is to swipe it without him noticing.\Shigechi! response:	You're super lucky, damn it.
context: Josuke, let's hurry.\Yeah.\I'll be waiting outside.\What should I do?\I'll just have to take it from him.\The best thing to do is to swipe it without him noticing.\Shigechi!\You're super lucky, damn it. response:	The St. Gentlemen sandwiches are already sold out! Damn it!
context: Yeah.\I'll be waiting outside.\What should I do?\I'll just have to take it from him.\The best thing to do is to swipe it without him noticing.\Shigechi!\You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it! response:	Oh, I see. So they sold out.
context: I'll be waiting outside.\What should I do?\I'll just have to take it from him.\The best thing to do is to swipe it without him noticing.\Shigechi!\You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out. response:	Well, that's too bad.
context: What should I do?\I'll just have to take it from him.\The best thing to do is to swipe it without him noticing.\Shigechi!\You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out.\Well, that's too bad. response:	In that case, I guess I wouldn't mind selling you mine for 10,000 yen.
context: I'll just have to take it from him.\The best thing to do is to swipe it without him noticing.\Shigechi!\You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out.\Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen. response:	You're such a damn cheapskate.
context: The best thing to do is to swipe it without him noticing.\Shigechi!\You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out.\Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate. response:	I guess we don't have a choice. Let's go to Hokaben, Josuke.
context: Shigechi!\You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out.\Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke. response:	Hokaben, huh?
context: You're super lucky, damn it.\The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out.\Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh? response:	The stuff we could get for 500 yen each with a drink
context: The St. Gentlemen sandwiches are already sold out! Damn it!\Oh, I see. So they sold out.\Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh?\The stuff we could get for 500 yen each with a drink response:	wouldn't really fill us up.
context: Oh, I see. So they sold out.\Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh?\The stuff we could get for 500 yen each with a drink\wouldn't really fill us up. response:	If we get school lunch as usual, it'll be plenty, though.
context: Well, that's too bad.\In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh?\The stuff we could get for 500 yen each with a drink\wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though. response:	Koichi said he was getting school lunch, too.
context: In that case, I guess I wouldn't mind selling you mine for 10,000 yen.\You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh?\The stuff we could get for 500 yen each with a drink\wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too. response:	No way! He's with Yukako Yamagishi, isn't he?
context: You're such a damn cheapskate.\I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh?\The stuff we could get for 500 yen each with a drink\wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he? response:	Why do I have to eat lunch with a happy couple?
context: I guess we don't have a choice. Let's go to Hokaben, Josuke.\Hokaben, huh?\The stuff we could get for 500 yen each with a drink\wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple? response:	Not to mention, with the lunches there,
context: Hokaben, huh?\The stuff we could get for 500 yen each with a drink\wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there, response:	the meat's only about a millimeter thick,
context: The stuff we could get for 500 yen each with a drink\wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there,\the meat's only about a millimeter thick, response:	and who knows what that stuff in the miso soup really is?
context: wouldn't really fill us up.\If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there,\the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is? response:	Hey, there are a lot of drinks in the prep room in my school's gym.
context: If we get school lunch as usual, it'll be plenty, though.\Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there,\the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym. response:	The gym teacher always sneaks coffee and tea from there.
context: Koichi said he was getting school lunch, too.\No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there,\the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there. response:	All of the teachers are in the faculty room during lunch,
context: No way! He's with Yukako Yamagishi, isn't he?\Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there,\the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch, response:	so I sneak in through the window sometimes and take some.
context: Why do I have to eat lunch with a happy couple?\Not to mention, with the lunches there,\the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some. response:	Wanna just go buy lunch and come with me?
context: Not to mention, with the lunches there,\the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me? response:	What the heck? Are you stealing from the school?
context: the meat's only about a millimeter thick,\and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school? response:	That's pretty cheap.
context: and who knows what that stuff in the miso soup really is?\Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school?\That's pretty cheap. response:	We can at least buy our drinks. I'm not that greedy.
context: Hey, there are a lot of drinks in the prep room in my school's gym.\The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school?\That's pretty cheap.\We can at least buy our drinks. I'm not that greedy. response:	See ya!
context: The gym teacher always sneaks coffee and tea from there.\All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school?\That's pretty cheap.\We can at least buy our drinks. I'm not that greedy.\See ya! response:	And I was trying to be nice...
context: All of the teachers are in the faculty room during lunch,\so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school?\That's pretty cheap.\We can at least buy our drinks. I'm not that greedy.\See ya!\And I was trying to be nice... response:	See ya. Oh, and pay me back my thousand yen tomorrow!
context: so I sneak in through the window sometimes and take some.\Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school?\That's pretty cheap.\We can at least buy our drinks. I'm not that greedy.\See ya!\And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow! response:	Oh, pardon me!
context: Wanna just go buy lunch and come with me?\What the heck? Are you stealing from the school?\That's pretty cheap.\We can at least buy our drinks. I'm not that greedy.\See ya!\And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me! response:	I wasn't watching where I was going.
context: What the heck? Are you stealing from the school?\That's pretty cheap.\We can at least buy our drinks. I'm not that greedy.\See ya!\And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me!\I wasn't watching where I was going. response:	Sorry about that.
context: That's pretty cheap.\We can at least buy our drinks. I'm not that greedy.\See ya!\And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me!\I wasn't watching where I was going.\Sorry about that. response:	Crap... It's good that he parted ways with his friends,
context: We can at least buy our drinks. I'm not that greedy.\See ya!\And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me!\I wasn't watching where I was going.\Sorry about that.\Crap... It's good that he parted ways with his friends, response:	but he's heading back to school.
context: See ya!\And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me!\I wasn't watching where I was going.\Sorry about that.\Crap... It's good that he parted ways with his friends,\but he's heading back to school. response:	He's planning to eat it at school...
context: And I was trying to be nice...\See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me!\I wasn't watching where I was going.\Sorry about that.\Crap... It's good that he parted ways with his friends,\but he's heading back to school.\He's planning to eat it at school... response:	What should I do?
context: See ya. Oh, and pay me back my thousand yen tomorrow!\Oh, pardon me!\I wasn't watching where I was going.\Sorry about that.\Crap... It's good that he parted ways with his friends,\but he's heading back to school.\He's planning to eat it at school...\What should I do? response:	They were calling him Shigechi, right?
context: Oh, pardon me!\I wasn't watching where I was going.\Sorry about that.\Crap... It's good that he parted ways with his friends,\but he's heading back to school.\He's planning to eat it at school...\What should I do?\They were calling him Shigechi, right? response:	There's no doubt he'll open that bag in a matter of minutes...
context: I wasn't watching where I was going.\Sorry about that.\Crap... It's good that he parted ways with his friends,\but he's heading back to school.\He's planning to eat it at school...\What should I do?\They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes... response:	This is extremely bad.
context: Sorry about that.\Crap... It's good that he parted ways with his friends,\but he's heading back to school.\He's planning to eat it at school...\What should I do?\They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad. response:	Now, then... I should be able to eat my lunch in peace here.
context: Crap... It's good that he parted ways with his friends,\but he's heading back to school.\He's planning to eat it at school...\What should I do?\They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad.\Now, then... I should be able to eat my lunch in peace here. response:	Whoops! I almost forgot!
context: but he's heading back to school.\He's planning to eat it at school...\What should I do?\They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad.\Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot! response:	Before I eat my sandwiches, I need to brew my coffee.
context: He's planning to eat it at school...\What should I do?\They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad.\Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee. response:	Since I'm here, I'm gonna have some coffee before I leave.
context: What should I do?\They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad.\Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave. response:	You're a lucky boy, Shigechi.
context: They were calling him Shigechi, right?\There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad.\Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi. response:	If you had seen what was inside, I would've had to get rid of you.
context: There's no doubt he'll open that bag in a matter of minutes...\This is extremely bad.\Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you. response:	Hey, Josuke! This is it!
context: This is extremely bad.\Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it! response:	It's smaller than I thought...
context: Now, then... I should be able to eat my lunch in peace here.\Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it!\It's smaller than I thought... response:	Wh-What?
context: Whoops! I almost forgot!\Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it!\It's smaller than I thought...\Wh-What? response:	They just said they wouldn't come here!
context: Before I eat my sandwiches, I need to brew my coffee.\Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it!\It's smaller than I thought...\Wh-What?\They just said they wouldn't come here! response:	Shigechi, you here?
context: Since I'm here, I'm gonna have some coffee before I leave.\You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it!\It's smaller than I thought...\Wh-What?\They just said they wouldn't come here!\Shigechi, you here? response:	Shigechi!
context: You're a lucky boy, Shigechi.\If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it!\It's smaller than I thought...\Wh-What?\They just said they wouldn't come here!\Shigechi, you here?\Shigechi! response:	Oh, hey. It's Okuyasu and Josuke.
context: If you had seen what was inside, I would've had to get rid of you.\Hey, Josuke! This is it!\It's smaller than I thought...\Wh-What?\They just said they wouldn't come here!\Shigechi, you here?\Shigechi!\Oh, hey. It's Okuyasu and Josuke. response:	We decided we'd have some coffee after all.
context: Hey, Josuke! This is it!\It's smaller than I thought...\Wh-What?\They just said they wouldn't come here!\Shigechi, you here?\Shigechi!\Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all. response:	Because we got the 500-yen Makunouchi bentos!
context: It's smaller than I thought...\Wh-What?\They just said they wouldn't come here!\Shigechi, you here?\Shigechi!\Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos! response:	Hmph. After calling me greedy and a thief...
context: Wh-What?\They just said they wouldn't come here!\Shigechi, you here?\Shigechi!\Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief... response:	You've got some nerve!
context: They just said they wouldn't come here!\Shigechi, you here?\Shigechi!\Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief...\You've got some nerve! response:	Now, now, don't be so stubborn.
context: Shigechi, you here?\Shigechi!\Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief...\You've got some nerve!\Now, now, don't be so stubborn. response:	People tend to change the way they think over time.
context: Shigechi!\Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief...\You've got some nerve!\Now, now, don't be so stubborn.\People tend to change the way they think over time. response:	What should I do?
context: Oh, hey. It's Okuyasu and Josuke.\We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief...\You've got some nerve!\Now, now, don't be so stubborn.\People tend to change the way they think over time.\What should I do? response:	Eliminating one of them would be easy, but not so with three.
context: We decided we'd have some coffee after all.\Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief...\You've got some nerve!\Now, now, don't be so stubborn.\People tend to change the way they think over time.\What should I do?\Eliminating one of them would be easy, but not so with three. response:	Damn it! And she's only a few dozen centimeters away...
context: Because we got the 500-yen Makunouchi bentos!\Hmph. After calling me greedy and a thief...\You've got some nerve!\Now, now, don't be so stubborn.\People tend to change the way they think over time.\What should I do?\Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away... response:	Hey, Shigechi, get me a drink, too.
context: Hmph. After calling me greedy and a thief...\You've got some nerve!\Now, now, don't be so stubborn.\People tend to change the way they think over time.\What should I do?\Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too. response:	I'd actually like Japanese tea instead of coffee.
context: You've got some nerve!\Now, now, don't be so stubborn.\People tend to change the way they think over time.\What should I do?\Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee. response:	Is there any black tea? Like milk tea?
context: Now, now, don't be so stubborn.\People tend to change the way they think over time.\What should I do?\Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea? response:	Blech. Makunouchi with milk tea? That's gross.
context: People tend to change the way they think over time.\What should I do?\Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross. response:	Damn it! He's planning to eat his lunch up there.
context: What should I do?\Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there. response:	At this rate, he's going to open the bag in front of them!
context: Eliminating one of them would be easy, but not so with three.\Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them! response:	Aw, it's soy sauce again.
context: Damn it! And she's only a few dozen centimeters away...\Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again. response:	The katsu here always come with soy sauce.
context: Hey, Shigechi, get me a drink, too.\I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again.\The katsu here always come with soy sauce. response:	Huh? You're supposed to eat katsu with soy sauce.
context: I'd actually like Japanese tea instead of coffee.\Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again.\The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce. response:	What?! You idiot!
context: Is there any black tea? Like milk tea?\Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again.\The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot! response:	You're supposed to eat it with tonkatsu sauce!
context: Blech. Makunouchi with milk tea? That's gross.\Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again.\The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot!\You're supposed to eat it with tonkatsu sauce! response:	If you used soy sauce, the tonkatsu sauce would lose its namesake!
context: Damn it! He's planning to eat his lunch up there.\At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again.\The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot!\You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake! response:	Who cares about that?
context: At this rate, he's going to open the bag in front of them!\Aw, it's soy sauce again.\The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot!\You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that? response:	Yes!
context: Aw, it's soy sauce again.\The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot!\You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that?\Yes! response:	Wh-What?
context: The katsu here always come with soy sauce.\Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot!\You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that?\Yes!\Wh-What? response:	Crap!
context: Huh? You're supposed to eat katsu with soy sauce.\What?! You idiot!\You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that?\Yes!\Wh-What?\Crap! response:	What?
context: What?! You idiot!\You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that?\Yes!\Wh-What?\Crap!\What? response:	Morioh Landmark 7 Bakery St. Gentlemen
context: You're supposed to eat it with tonkatsu sauce!\If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that?\Yes!\Wh-What?\Crap!\What?\Morioh Landmark 7 Bakery St. Gentlemen response:	How to get there: Get off of the bus bound for Morioh Budogaoka High School and walk two minutes. It's a bakery on the Green Road leading from the station. It's popular because of the varieties of bread made there using a stone oven. Customers include students, housewives, and office ladies. Their most popular items are their sandwiches, which always sell out.
context: If you used soy sauce, the tonkatsu sauce would lose its namesake!\Who cares about that?\Yes!\Wh-What?\Crap!\What?\Morioh Landmark 7 Bakery St. Gentlemen\How to get there: Get off of the bus bound for Morioh Budogaoka High School and walk two minutes. It's a bakery on the Green Road leading from the station. It's popular because of the varieties of bread made there using a stone oven. Customers include students, housewives, and office ladies. Their most popular items are their sandwiches, which always sell out. response:	Crap!
context: Who cares about that?\Yes!\Wh-What?\Crap!\What?\Morioh Landmark 7 Bakery St. Gentlemen\How to get there: Get off of the bus bound for Morioh Budogaoka High School and walk two minutes. It's a bakery on the Green Road leading from the station. It's popular because of the varieties of bread made there using a stone oven. Customers include students, housewives, and office ladies. Their most popular items are their sandwiches, which always sell out.\Crap! response:	What?
context: Yes!\Wh-What?\Crap!\What?\Morioh Landmark 7 Bakery St. Gentlemen\How to get there: Get off of the bus bound for Morioh Budogaoka High School and walk two minutes. It's a bakery on the Green Road leading from the station. It's popular because of the varieties of bread made there using a stone oven. Customers include students, housewives, and office ladies. Their most popular items are their sandwiches, which always sell out.\Crap!\What? response:	Hey! What are you doing, Josuke?
context: Wh-What?\Crap!\What?\Morioh Landmark 7 Bakery St. Gentlemen\How to get there: Get off of the bus bound for Morioh Budogaoka High School and walk two minutes. It's a bakery on the Green Road leading from the station. It's popular because of the varieties of bread made there using a stone oven. Customers include students, housewives, and office ladies. Their most popular items are their sandwiches, which always sell out.\Crap!\What?\Hey! What are you doing, Josuke? response:	Hey! You weren't trying to steal my sandwich, were you?
context: Crap!\What?\Morioh Landmark 7 Bakery St. Gentlemen\How to get there: Get off of the bus bound for Morioh Budogaoka High School and walk two minutes. It's a bakery on the Green Road leading from the station. It's popular because of the varieties of bread made there using a stone oven. Customers include students, housewives, and office ladies. Their most popular items are their sandwiches, which always sell out.\Crap!\What?\Hey! What are you doing, Josuke?\Hey! You weren't trying to steal my sandwich, were you? response:	No! Don't be stupid.
