context: Hello! response:	I'm Katsuki Yuri.
context: your greed is too obvious.\There's no sense of agape, unconditional love, in your performance.\It's good to have confidence,\but this program isn't where you should show it off.\Huh?\You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?!\It's a feeling, of course, response:	so I could never explain it in words.
context: There's no sense of agape, unconditional love, in your performance.\It's good to have confidence,\but this program isn't where you should show it off.\Huh?\You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?!\It's a feeling, of course,\so I could never explain it in words. response:	Do you bother thinking about that when you skate?
context: It's good to have confidence,\but this program isn't where you should show it off.\Huh?\You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?!\It's a feeling, of course,\so I could never explain it in words.\Do you bother thinking about that when you skate? response:	You're funny, Yurio.
context: but this program isn't where you should show it off.\Huh?\You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?!\It's a feeling, of course,\so I could never explain it in words.\Do you bother thinking about that when you skate?\You're funny, Yurio. response:	Well, maybe we need a temple.
context: Huh?\You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?!\It's a feeling, of course,\so I could never explain it in words.\Do you bother thinking about that when you skate?\You're funny, Yurio.\Well, maybe we need a temple. response:	A temple?
context: You're the one who's skated with complete confidence this whole time!\Well, what's agape to you, then, Victor?!\It's a feeling, of course,\so I could never explain it in words.\Do you bother thinking about that when you skate?\You're funny, Yurio.\Well, maybe we need a temple.\A temple? response:	Ow!
context: Well, what's agape to you, then, Victor?!\It's a feeling, of course,\so I could never explain it in words.\Do you bother thinking about that when you skate?\You're funny, Yurio.\Well, maybe we need a temple.\A temple?\Ow! response:	Damn it.
context: It's a feeling, of course,\so I could never explain it in words.\Do you bother thinking about that when you skate?\You're funny, Yurio.\Well, maybe we need a temple.\A temple?\Ow!\Damn it. response:	I'm an adult male of twenty-three.
context: so I could never explain it in words.\Do you bother thinking about that when you skate?\You're funny, Yurio.\Well, maybe we need a temple.\A temple?\Ow!\Damn it.\I'm an adult male of twenty-three. response:	I could totally show mature sexiness if I wanted to.
context: Do you bother thinking about that when you skate?\You're funny, Yurio.\Well, maybe we need a temple.\A temple?\Ow!\Damn it.\I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to. response:	Hey, hey!
context: You're funny, Yurio.\Well, maybe we need a temple.\A temple?\Ow!\Damn it.\I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to.\Hey, hey! response:	Take a photo of me in the bath so I can post it online.
context: Well, maybe we need a temple.\A temple?\Ow!\Damn it.\I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to.\Hey, hey!\Take a photo of me in the bath so I can post it online. response:	Sorry, but we don't let people take photos in the bath.
context: A temple?\Ow!\Damn it.\I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to.\Hey, hey!\Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath. response:	Really?
context: Ow!\Damn it.\I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to.\Hey, hey!\Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath.\Really? response:	It's no good...
context: Damn it.\I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to.\Hey, hey!\Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath.\Really?\It's no good... response:	From a physical standpoint, I'm not even close to eros.
context: I'm an adult male of twenty-three.\I could totally show mature sexiness if I wanted to.\Hey, hey!\Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath.\Really?\It's no good...\From a physical standpoint, I'm not even close to eros. response:	Eros, eros...
context: I could totally show mature sexiness if I wanted to.\Hey, hey!\Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath.\Really?\It's no good...\From a physical standpoint, I'm not even close to eros.\Eros, eros... response:	It's what causes you to lose the ability to make normal decisions.
context: Hey, hey!\Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath.\Really?\It's no good...\From a physical standpoint, I'm not even close to eros.\Eros, eros...\It's what causes you to lose the ability to make normal decisions. response:	For me, what causes me to lose that ability is...
context: Take a photo of me in the bath so I can post it online.\Sorry, but we don't let people take photos in the bath.\Really?\It's no good...\From a physical standpoint, I'm not even close to eros.\Eros, eros...\It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is... response:	I get it now!
context: Sorry, but we don't let people take photos in the bath.\Really?\It's no good...\From a physical standpoint, I'm not even close to eros.\Eros, eros...\It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is...\I get it now! response:	Pork cutlet bowls!
context: Really?\It's no good...\From a physical standpoint, I'm not even close to eros.\Eros, eros...\It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is...\I get it now!\Pork cutlet bowls! response:	That's what eros is to me!
context: It's no good...\From a physical standpoint, I'm not even close to eros.\Eros, eros...\It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is...\I get it now!\Pork cutlet bowls!\That's what eros is to me! response:	Silence...
context: From a physical standpoint, I'm not even close to eros.\Eros, eros...\It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is...\I get it now!\Pork cutlet bowls!\That's what eros is to me!\Silence... response:	Oh, sorry.
context: Eros, eros...\It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is...\I get it now!\Pork cutlet bowls!\That's what eros is to me!\Silence...\Oh, sorry. response:	It's not...
context: It's what causes you to lose the ability to make normal decisions.\For me, what causes me to lose that ability is...\I get it now!\Pork cutlet bowls!\That's what eros is to me!\Silence...\Oh, sorry.\It's not... response:	Okay, let's go with that.
context: For me, what causes me to lose that ability is...\I get it now!\Pork cutlet bowls!\That's what eros is to me!\Silence...\Oh, sorry.\It's not...\Okay, let's go with that. response:	It's nice and unique.
context: I get it now!\Pork cutlet bowls!\That's what eros is to me!\Silence...\Oh, sorry.\It's not...\Okay, let's go with that.\It's nice and unique. response:	Seriously?
context: Pork cutlet bowls!\That's what eros is to me!\Silence...\Oh, sorry.\It's not...\Okay, let's go with that.\It's nice and unique.\Seriously? response:	Man, I'm so embarrassed!
context: That's what eros is to me!\Silence...\Oh, sorry.\It's not...\Okay, let's go with that.\It's nice and unique.\Seriously?\Man, I'm so embarrassed! response:	They totally think my ideas are way too immature!
context: Silence...\Oh, sorry.\It's not...\Okay, let's go with that.\It's nice and unique.\Seriously?\Man, I'm so embarrassed!\They totally think my ideas are way too immature! response:	Yuri!
context: Oh, sorry.\It's not...\Okay, let's go with that.\It's nice and unique.\Seriously?\Man, I'm so embarrassed!\They totally think my ideas are way too immature!\Yuri! response:	Try to imagine entangling more of the egg.
context: It's not...\Okay, let's go with that.\It's nice and unique.\Seriously?\Man, I'm so embarrassed!\They totally think my ideas are way too immature!\Yuri!\Try to imagine entangling more of the egg. response:	Think of the pork cutlet bowl!
context: Okay, let's go with that.\It's nice and unique.\Seriously?\Man, I'm so embarrassed!\They totally think my ideas are way too immature!\Yuri!\Try to imagine entangling more of the egg.\Think of the pork cutlet bowl! response:	Got it!
context: It's nice and unique.\Seriously?\Man, I'm so embarrassed!\They totally think my ideas are way too immature!\Yuri!\Try to imagine entangling more of the egg.\Think of the pork cutlet bowl!\Got it! response:	Next, Yurio!
context: Seriously?\Man, I'm so embarrassed!\They totally think my ideas are way too immature!\Yuri!\Try to imagine entangling more of the egg.\Think of the pork cutlet bowl!\Got it!\Next, Yurio! response:	Maybe the temple.
context: Man, I'm so embarrassed!\They totally think my ideas are way too immature!\Yuri!\Try to imagine entangling more of the egg.\Think of the pork cutlet bowl!\Got it!\Next, Yurio!\Maybe the temple. response:	Just tell me if I'm not up to par!
context: They totally think my ideas are way too immature!\Yuri!\Try to imagine entangling more of the egg.\Think of the pork cutlet bowl!\Got it!\Next, Yurio!\Maybe the temple.\Just tell me if I'm not up to par! response:	Your free leg's sloppy!
context: Yuri!\Try to imagine entangling more of the egg.\Think of the pork cutlet bowl!\Got it!\Next, Yurio!\Maybe the temple.\Just tell me if I'm not up to par!\Your free leg's sloppy! response:	Keep it up!
context: Try to imagine entangling more of the egg.\Think of the pork cutlet bowl!\Got it!\Next, Yurio!\Maybe the temple.\Just tell me if I'm not up to par!\Your free leg's sloppy!\Keep it up! response:	Put your back into it!
context: Think of the pork cutlet bowl!\Got it!\Next, Yurio!\Maybe the temple.\Just tell me if I'm not up to par!\Your free leg's sloppy!\Keep it up!\Put your back into it! response:	All right...
context: Got it!\Next, Yurio!\Maybe the temple.\Just tell me if I'm not up to par!\Your free leg's sloppy!\Keep it up!\Put your back into it!\All right... response:	Hmm...
context: Next, Yurio!\Maybe the temple.\Just tell me if I'm not up to par!\Your free leg's sloppy!\Keep it up!\Put your back into it!\All right...\Hmm... response:	Well, maybe a waterfall would help.
context: Maybe the temple.\Just tell me if I'm not up to par!\Your free leg's sloppy!\Keep it up!\Put your back into it!\All right...\Hmm...\Well, maybe a waterfall would help. response:	A waterfall?!
context: Just tell me if I'm not up to par!\Your free leg's sloppy!\Keep it up!\Put your back into it!\All right...\Hmm...\Well, maybe a waterfall would help.\A waterfall?! response:	I'm gonna kill him.
context: Your free leg's sloppy!\Keep it up!\Put your back into it!\All right...\Hmm...\Well, maybe a waterfall would help.\A waterfall?!\I'm gonna kill him. response:	Why me, too?
context: Keep it up!\Put your back into it!\All right...\Hmm...\Well, maybe a waterfall would help.\A waterfall?!\I'm gonna kill him.\Why me, too? response:	Who cares?
context: Put your back into it!\All right...\Hmm...\Well, maybe a waterfall would help.\A waterfall?!\I'm gonna kill him.\Why me, too?\Who cares? response:	Damn it.
context: All right...\Hmm...\Well, maybe a waterfall would help.\A waterfall?!\I'm gonna kill him.\Why me, too?\Who cares?\Damn it. response:	Who cares about agape?
context: Hmm...\Well, maybe a waterfall would help.\A waterfall?!\I'm gonna kill him.\Why me, too?\Who cares?\Damn it.\Who cares about agape? response:	Forget all of them.
context: Well, maybe a waterfall would help.\A waterfall?!\I'm gonna kill him.\Why me, too?\Who cares?\Damn it.\Who cares about agape?\Forget all of them. response:	Yuratchka...
context: A waterfall?!\I'm gonna kill him.\Why me, too?\Who cares?\Damn it.\Who cares about agape?\Forget all of them.\Yuratchka... response:	You were the best of the bunch.
context: I'm gonna kill him.\Why me, too?\Who cares?\Damn it.\Who cares about agape?\Forget all of them.\Yuratchka...\You were the best of the bunch. response:	Grandpa, can you come to practice again tomorrow?
context: Why me, too?\Who cares?\Damn it.\Who cares about agape?\Forget all of them.\Yuratchka...\You were the best of the bunch.\Grandpa, can you come to practice again tomorrow? response:	I can skate even better!
context: Who cares?\Damn it.\Who cares about agape?\Forget all of them.\Yuratchka...\You were the best of the bunch.\Grandpa, can you come to practice again tomorrow?\I can skate even better! response:	I'm fine, even if Mom's not there!
context: Damn it.\Who cares about agape?\Forget all of them.\Yuratchka...\You were the best of the bunch.\Grandpa, can you come to practice again tomorrow?\I can skate even better!\I'm fine, even if Mom's not there! response:	Yurio?
context: Who cares about agape?\Forget all of them.\Yuratchka...\You were the best of the bunch.\Grandpa, can you come to practice again tomorrow?\I can skate even better!\I'm fine, even if Mom's not there!\Yurio? response:	Hey, Yurio!
context: Forget all of them.\Yuratchka...\You were the best of the bunch.\Grandpa, can you come to practice again tomorrow?\I can skate even better!\I'm fine, even if Mom's not there!\Yurio?\Hey, Yurio! response:	Are you okay?
context: Yuratchka...\You were the best of the bunch.\Grandpa, can you come to practice again tomorrow?\I can skate even better!\I'm fine, even if Mom's not there!\Yurio?\Hey, Yurio!\Are you okay? response:	Let's call it a day.
context: You were the best of the bunch.\Grandpa, can you come to practice again tomorrow?\I can skate even better!\I'm fine, even if Mom's not there!\Yurio?\Hey, Yurio!\Are you okay?\Let's call it a day. response:	Oh... Okay.
context: Grandpa, can you come to practice again tomorrow?\I can skate even better!\I'm fine, even if Mom's not there!\Yurio?\Hey, Yurio!\Are you okay?\Let's call it a day.\Oh... Okay. response:	What's going on?
context: I can skate even better!\I'm fine, even if Mom's not there!\Yurio?\Hey, Yurio!\Are you okay?\Let's call it a day.\Oh... Okay.\What's going on? response:	Why did he suddenly look so vulnerable?
context: I'm fine, even if Mom's not there!\Yurio?\Hey, Yurio!\Are you okay?\Let's call it a day.\Oh... Okay.\What's going on?\Why did he suddenly look so vulnerable? response:	Ugh... Where's Victor, anyway?
context: Yurio?\Hey, Yurio!\Are you okay?\Let's call it a day.\Oh... Okay.\What's going on?\Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway? response:	He went to eat at Nagahama Ramen, I guess.
context: Hey, Yurio!\Are you okay?\Let's call it a day.\Oh... Okay.\What's going on?\Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess. response:	What?
context: Are you okay?\Let's call it a day.\Oh... Okay.\What's going on?\Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess.\What? response:	We're going there, too!
context: Let's call it a day.\Oh... Okay.\What's going on?\Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess.\What?\We're going there, too! response:	Huh?
context: Oh... Okay.\What's going on?\Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess.\What?\We're going there, too!\Huh? response:	Nagahama Ramen
context: What's going on?\Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess.\What?\We're going there, too!\Huh?\Nagahama Ramen response:	Vkusno!
context: Why did he suddenly look so vulnerable?\Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess.\What?\We're going there, too!\Huh?\Nagahama Ramen\Vkusno! response:	Hasetsu Exhibition Hot Springs On Ice in 1 Day
context: Ugh... Where's Victor, anyway?\He went to eat at Nagahama Ramen, I guess.\What?\We're going there, too!\Huh?\Nagahama Ramen\Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day response:	Victor still isn't here, huh?
context: He went to eat at Nagahama Ramen, I guess.\What?\We're going there, too!\Huh?\Nagahama Ramen\Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh? response:	They said he was drinking until dawn.
context: What?\We're going there, too!\Huh?\Nagahama Ramen\Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh?\They said he was drinking until dawn. response:	Dumbass.
context: We're going there, too!\Huh?\Nagahama Ramen\Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh?\They said he was drinking until dawn.\Dumbass. response:	Oh, Yurio...
context: Huh?\Nagahama Ramen\Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh?\They said he was drinking until dawn.\Dumbass.\Oh, Yurio... response:	Huh?
context: Nagahama Ramen\Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh?\They said he was drinking until dawn.\Dumbass.\Oh, Yurio...\Huh? response:	What?
context: Vkusno!\Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh?\They said he was drinking until dawn.\Dumbass.\Oh, Yurio...\Huh?\What? response:	Please teach me how to land a quad Salchow.
context: Hasetsu Exhibition Hot Springs On Ice in 1 Day\Victor still isn't here, huh?\They said he was drinking until dawn.\Dumbass.\Oh, Yurio...\Huh?\What?\Please teach me how to land a quad Salchow. response:	Please!
context: Victor still isn't here, huh?\They said he was drinking until dawn.\Dumbass.\Oh, Yurio...\Huh?\What?\Please teach me how to land a quad Salchow.\Please! response:	You suck!
context: They said he was drinking until dawn.\Dumbass.\Oh, Yurio...\Huh?\What?\Please teach me how to land a quad Salchow.\Please!\You suck! response:	Hey, Pork Cutlet Bowl. Watch me do it one more time.
context: Dumbass.\Oh, Yurio...\Huh?\What?\Please teach me how to land a quad Salchow.\Please!\You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time. response:	Sorry I'm late!
context: Oh, Yurio...\Huh?\What?\Please teach me how to land a quad Salchow.\Please!\You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late! response:	Huh?
context: Huh?\What?\Please teach me how to land a quad Salchow.\Please!\You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late!\Huh? response:	What were you practicing just now?
context: What?\Please teach me how to land a quad Salchow.\Please!\You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late!\Huh?\What were you practicing just now? response:	I'm gonna check my choreography.
context: Please teach me how to land a quad Salchow.\Please!\You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late!\Huh?\What were you practicing just now?\I'm gonna check my choreography. response:	Agape...
context: Please!\You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late!\Huh?\What were you practicing just now?\I'm gonna check my choreography.\Agape... response:	Unconditional love.
context: You suck!\Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late!\Huh?\What were you practicing just now?\I'm gonna check my choreography.\Agape...\Unconditional love. response:	To me, that means Grandpa.
context: Hey, Pork Cutlet Bowl. Watch me do it one more time.\Sorry I'm late!\Huh?\What were you practicing just now?\I'm gonna check my choreography.\Agape...\Unconditional love.\To me, that means Grandpa. response:	Looks like Yurio found his agape.
context: Sorry I'm late!\Huh?\What were you practicing just now?\I'm gonna check my choreography.\Agape...\Unconditional love.\To me, that means Grandpa.\Looks like Yurio found his agape. response:	Maybe he's ready for the next stage.
context: Huh?\What were you practicing just now?\I'm gonna check my choreography.\Agape...\Unconditional love.\To me, that means Grandpa.\Looks like Yurio found his agape.\Maybe he's ready for the next stage. response:	Huh? Next stage?
context: What were you practicing just now?\I'm gonna check my choreography.\Agape...\Unconditional love.\To me, that means Grandpa.\Looks like Yurio found his agape.\Maybe he's ready for the next stage.\Huh? Next stage? response:	Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?
context: I'm gonna check my choreography.\Agape...\Unconditional love.\To me, that means Grandpa.\Looks like Yurio found his agape.\Maybe he's ready for the next stage.\Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl? response:	I still can't find it, though.
context: Agape...\Unconditional love.\To me, that means Grandpa.\Looks like Yurio found his agape.\Maybe he's ready for the next stage.\Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though. response:	I still lack what would serve as the backbone this program needs.
context: Unconditional love.\To me, that means Grandpa.\Looks like Yurio found his agape.\Maybe he's ready for the next stage.\Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though.\I still lack what would serve as the backbone this program needs. response:	Hasetsu Hot Springs Yu-topia Katsuki
context: To me, that means Grandpa.\Looks like Yurio found his agape.\Maybe he's ready for the next stage.\Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though.\I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki response:	So, what will you do for a costume tomorrow?
context: Looks like Yurio found his agape.\Maybe he's ready for the next stage.\Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though.\I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow? response:	Oh! I totally forgot!
context: Maybe he's ready for the next stage.\Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though.\I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow?\Oh! I totally forgot! response:	I didn't bring anything, either.
context: Huh? Next stage?\Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though.\I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow?\Oh! I totally forgot!\I didn't bring anything, either. response:	That's taken care of!
context: Does that mean I have a next stage, once I perform the eros of the pork cutlet bowl?\I still can't find it, though.\I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow?\Oh! I totally forgot!\I didn't bring anything, either.\That's taken care of! response:	I had them send all the costumes I've ever worn in competition from Russia!
context: I still can't find it, though.\I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow?\Oh! I totally forgot!\I didn't bring anything, either.\That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia! response:	Wow!
context: I still lack what would serve as the backbone this program needs.\Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow?\Oh! I totally forgot!\I didn't bring anything, either.\That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia!\Wow! response:	There are lots of stupid-looking ones.
context: Hasetsu Hot Springs Yu-topia Katsuki\So, what will you do for a costume tomorrow?\Oh! I totally forgot!\I didn't bring anything, either.\That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia!\Wow!\There are lots of stupid-looking ones. response:	Hey, you wore this one at the Grand Prix Final last year!
context: So, what will you do for a costume tomorrow?\Oh! I totally forgot!\I didn't bring anything, either.\That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia!\Wow!\There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year! response:	Hey! Don't pick anything flashier than mine!
context: Oh! I totally forgot!\I didn't bring anything, either.\That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia!\Wow!\There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine! response:	This is from the Junior World Championship!
context: I didn't bring anything, either.\That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia!\Wow!\There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship! response:	Oh, yeah.
context: That's taken care of!\I had them send all the costumes I've ever worn in competition from Russia!\Wow!\There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship!\Oh, yeah. response:	I had long hair at the time,
context: I had them send all the costumes I've ever worn in competition from Russia!\Wow!\There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship!\Oh, yeah.\I had long hair at the time, response:	so my costume suggested both male and female genders at once.
context: Wow!\There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship!\Oh, yeah.\I had long hair at the time,\so my costume suggested both male and female genders at once. response:	Oh, that's right...
context: There are lots of stupid-looking ones.\Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship!\Oh, yeah.\I had long hair at the time,\so my costume suggested both male and female genders at once.\Oh, that's right... response:	I choose this one!
context: Hey, you wore this one at the Grand Prix Final last year!\Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship!\Oh, yeah.\I had long hair at the time,\so my costume suggested both male and female genders at once.\Oh, that's right...\I choose this one! response:	Oh, come on! Who is it?
context: Hey! Don't pick anything flashier than mine!\This is from the Junior World Championship!\Oh, yeah.\I had long hair at the time,\so my costume suggested both male and female genders at once.\Oh, that's right...\I choose this one!\Oh, come on! Who is it? response:	Huh?
context: This is from the Junior World Championship!\Oh, yeah.\I had long hair at the time,\so my costume suggested both male and female genders at once.\Oh, that's right...\I choose this one!\Oh, come on! Who is it?\Huh? response:	You want to practice in my studio this late at night?
context: Oh, yeah.\I had long hair at the time,\so my costume suggested both male and female genders at once.\Oh, that's right...\I choose this one!\Oh, come on! Who is it?\Huh?\You want to practice in my studio this late at night? response:	Minako-sensei, I need you to teach me something.
context: I had long hair at the time,\so my costume suggested both male and female genders at once.\Oh, that's right...\I choose this one!\Oh, come on! Who is it?\Huh?\You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something. response:	We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.
context: so my costume suggested both male and female genders at once.\Oh, that's right...\I choose this one!\Oh, come on! Who is it?\Huh?\You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice. response:	Right off the bat,
context: Oh, that's right...\I choose this one!\Oh, come on! Who is it?\Huh?\You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat, response:	Hasetsu Exhibition: Hot Springs on Ice
context: I choose this one!\Oh, come on! Who is it?\Huh?\You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice response:	we have skaters Katsuki Yuri and Yuri Plisetsky.
context: Oh, come on! Who is it?\Huh?\You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky. response:	Both your new short programs were choreographed by Victor Nikiforov.
context: Huh?\You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky.\Both your new short programs were choreographed by Victor Nikiforov. response:	You'll be presenting them today in competition.
context: You want to practice in my studio this late at night?\Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky.\Both your new short programs were choreographed by Victor Nikiforov.\You'll be presenting them today in competition. response:	Tell us how you feel going into the event!
context: Minako-sensei, I need you to teach me something.\We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky.\Both your new short programs were choreographed by Victor Nikiforov.\You'll be presenting them today in competition.\Tell us how you feel going into the event! response:	Um, it'd be great if you'd try the hot springs afterward.
context: We're here at Ice Castle Hasetsu, venue of the Hasetsu Exhibition: Hot Springs on Ice.\Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky.\Both your new short programs were choreographed by Victor Nikiforov.\You'll be presenting them today in competition.\Tell us how you feel going into the event!\Um, it'd be great if you'd try the hot springs afterward. response:	Hasetsu Exhibition: Hot Springs on Ice
context: Right off the bat,\Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky.\Both your new short programs were choreographed by Victor Nikiforov.\You'll be presenting them today in competition.\Tell us how you feel going into the event!\Um, it'd be great if you'd try the hot springs afterward.\Hasetsu Exhibition: Hot Springs on Ice response:	Hey! We're not asking you to promote tourism!
context: Hasetsu Exhibition: Hot Springs on Ice\we have skaters Katsuki Yuri and Yuri Plisetsky.\Both your new short programs were choreographed by Victor Nikiforov.\You'll be presenting them today in competition.\Tell us how you feel going into the event!\Um, it'd be great if you'd try the hot springs afterward.\Hasetsu Exhibition: Hot Springs on Ice\Hey! We're not asking you to promote tourism! response:	Promote yourself!
