context: An enormous evil power is about to be revived. response:	Finally, the time for the final battle is here.
context: Hey, monster! How dare you trick me?!\I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad!\So, now...\You talk too much!\Anyway!\In the name of the moon, I will punish you! response:	Oh! Five?!
context: I was a fool for being so gullible,\but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad!\So, now...\You talk too much!\Anyway!\In the name of the moon, I will punish you!\Oh! Five?! response:	You guys don't stand a chance against us in D-Point!
context: but you're bigger fools for crushing a girl's innocent feelings!\Because, because, you've seriously made me mad!\So, now...\You talk too much!\Anyway!\In the name of the moon, I will punish you!\Oh! Five?!\You guys don't stand a chance against us in D-Point! response:	Sailor Moon, I love you.
context: Because, because, you've seriously made me mad!\So, now...\You talk too much!\Anyway!\In the name of the moon, I will punish you!\Oh! Five?!\You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you. response:	What kind of ninny would fall for the same trick twice?!
context: So, now...\You talk too much!\Anyway!\In the name of the moon, I will punish you!\Oh! Five?!\You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?! response:	Don't fall for it as I'm saying that!
context: You talk too much!\Anyway!\In the name of the moon, I will punish you!\Oh! Five?!\You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that! response:	But what if he's the real thing this time?!
context: Anyway!\In the name of the moon, I will punish you!\Oh! Five?!\You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that!\But what if he's the real thing this time?! response:	See?!
context: In the name of the moon, I will punish you!\Oh! Five?!\You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that!\But what if he's the real thing this time?!\See?! response:	But! See?!
context: Oh! Five?!\You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that!\But what if he's the real thing this time?!\See?!\But! See?! response:	But!
context: You guys don't stand a chance against us in D-Point!\Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that!\But what if he's the real thing this time?!\See?!\But! See?!\But! response:	Don't underestimate us!
context: Sailor Moon, I love you.\What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that!\But what if he's the real thing this time?!\See?!\But! See?!\But!\Don't underestimate us! response:	Oh! Motoki!
context: What kind of ninny would fall for the same trick twice?!\Don't fall for it as I'm saying that!\But what if he's the real thing this time?!\See?!\But! See?!\But!\Don't underestimate us!\Oh! Motoki! response:	Moon Tiara...
context: Don't fall for it as I'm saying that!\But what if he's the real thing this time?!\See?!\But! See?!\But!\Don't underestimate us!\Oh! Motoki!\Moon Tiara... response:	Fire...
context: But what if he's the real thing this time?!\See?!\But! See?!\But!\Don't underestimate us!\Oh! Motoki!\Moon Tiara...\Fire... response:	We can't! Jupiter will get caught in our attack!
context: See?!\But! See?!\But!\Don't underestimate us!\Oh! Motoki!\Moon Tiara...\Fire...\We can't! Jupiter will get caught in our attack! response:	Don't worry about me! Hurry, go to where Queen Beryl is!
context: But! See?!\But!\Don't underestimate us!\Oh! Motoki!\Moon Tiara...\Fire...\We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is! response:	You've got some nerve using electric shock against me!
context: But!\Don't underestimate us!\Oh! Motoki!\Moon Tiara...\Fire...\We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me! response:	What?!
context: Don't underestimate us!\Oh! Motoki!\Moon Tiara...\Fire...\We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me!\What?! response:	Prepare yourselves!
context: Oh! Motoki!\Moon Tiara...\Fire...\We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me!\What?!\Prepare yourselves! response:	Supreme Thunder!
context: Moon Tiara...\Fire...\We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me!\What?!\Prepare yourselves!\Supreme Thunder! response:	You impertinent little...
context: Fire...\We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me!\What?!\Prepare yourselves!\Supreme Thunder!\You impertinent little... response:	Die!
context: We can't! Jupiter will get caught in our attack!\Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me!\What?!\Prepare yourselves!\Supreme Thunder!\You impertinent little...\Die! response:	Why you!
context: Don't worry about me! Hurry, go to where Queen Beryl is!\You've got some nerve using electric shock against me!\What?!\Prepare yourselves!\Supreme Thunder!\You impertinent little...\Die!\Why you! response:	Jupiter!
context: You've got some nerve using electric shock against me!\What?!\Prepare yourselves!\Supreme Thunder!\You impertinent little...\Die!\Why you!\Jupiter! response:	Everyone...
context: What?!\Prepare yourselves!\Supreme Thunder!\You impertinent little...\Die!\Why you!\Jupiter!\Everyone... response:	We're coming to help you!
context: Prepare yourselves!\Supreme Thunder!\You impertinent little...\Die!\Why you!\Jupiter!\Everyone...\We're coming to help you! response:	I'm done...
context: Supreme Thunder!\You impertinent little...\Die!\Why you!\Jupiter!\Everyone...\We're coming to help you!\I'm done... response:	Instead, everyone hurry to where Queen Beryl is.
context: You impertinent little...\Die!\Why you!\Jupiter!\Everyone...\We're coming to help you!\I'm done...\Instead, everyone hurry to where Queen Beryl is. response:	No! We can't! We have to all go together!
context: Die!\Why you!\Jupiter!\Everyone...\We're coming to help you!\I'm done...\Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together! response:	Mako, remember what you told me?!
context: Why you!\Jupiter!\Everyone...\We're coming to help you!\I'm done...\Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together!\Mako, remember what you told me?! response:	That you'd have a full-blown romance when you got back!
context: Jupiter!\Everyone...\We're coming to help you!\I'm done...\Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together!\Mako, remember what you told me?!\That you'd have a full-blown romance when you got back! response:	That's what you told me.
context: Everyone...\We're coming to help you!\I'm done...\Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together!\Mako, remember what you told me?!\That you'd have a full-blown romance when you got back!\That's what you told me. response:	You shouldn't lie!
context: We're coming to help you!\I'm done...\Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together!\Mako, remember what you told me?!\That you'd have a full-blown romance when you got back!\That's what you told me.\You shouldn't lie! response:	The King of Hell will yank your tongue out.
context: I'm done...\Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together!\Mako, remember what you told me?!\That you'd have a full-blown romance when you got back!\That's what you told me.\You shouldn't lie!\The King of Hell will yank your tongue out. response:	There's no time for crying, Princess.
context: Instead, everyone hurry to where Queen Beryl is.\No! We can't! We have to all go together!\Mako, remember what you told me?!\That you'd have a full-blown romance when you got back!\That's what you told me.\You shouldn't lie!\The King of Hell will yank your tongue out.\There's no time for crying, Princess. response:	Come on, cheer up...
context: No! We can't! We have to all go together!\Mako, remember what you told me?!\That you'd have a full-blown romance when you got back!\That's what you told me.\You shouldn't lie!\The King of Hell will yank your tongue out.\There's no time for crying, Princess.\Come on, cheer up... response:	Mako!
context: Mako, remember what you told me?!\That you'd have a full-blown romance when you got back!\That's what you told me.\You shouldn't lie!\The King of Hell will yank your tongue out.\There's no time for crying, Princess.\Come on, cheer up...\Mako! response:	You can't! You can't die!
context: That you'd have a full-blown romance when you got back!\That's what you told me.\You shouldn't lie!\The King of Hell will yank your tongue out.\There's no time for crying, Princess.\Come on, cheer up...\Mako!\You can't! You can't die! response:	Come on, let's go.
context: That's what you told me.\You shouldn't lie!\The King of Hell will yank your tongue out.\There's no time for crying, Princess.\Come on, cheer up...\Mako!\You can't! You can't die!\Come on, let's go. response:	No!
context: You shouldn't lie!\The King of Hell will yank your tongue out.\There's no time for crying, Princess.\Come on, cheer up...\Mako!\You can't! You can't die!\Come on, let's go.\No! response:	Sailor Moon!
context: The King of Hell will yank your tongue out.\There's no time for crying, Princess.\Come on, cheer up...\Mako!\You can't! You can't die!\Come on, let's go.\No!\Sailor Moon! response:	If this is what we have to go through,
context: There's no time for crying, Princess.\Come on, cheer up...\Mako!\You can't! You can't die!\Come on, let's go.\No!\Sailor Moon!\If this is what we have to go through, response:	we should just give them the Silver Crystal.
context: Come on, cheer up...\Mako!\You can't! You can't die!\Come on, let's go.\No!\Sailor Moon!\If this is what we have to go through,\we should just give them the Silver Crystal. response:	What are you saying?!
context: Mako!\You can't! You can't die!\Come on, let's go.\No!\Sailor Moon!\If this is what we have to go through,\we should just give them the Silver Crystal.\What are you saying?! response:	That's right. That's what we should've done from the start!
context: You can't! You can't die!\Come on, let's go.\No!\Sailor Moon!\If this is what we have to go through,\we should just give them the Silver Crystal.\What are you saying?!\That's right. That's what we should've done from the start! response:	Listen, Queen Beryl! You can have the Silver Crystal!
context: Come on, let's go.\No!\Sailor Moon!\If this is what we have to go through,\we should just give them the Silver Crystal.\What are you saying?!\That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal! response:	Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!
context: No!\Sailor Moon!\If this is what we have to go through,\we should just give them the Silver Crystal.\What are you saying?!\That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal! response:	Idiot! Listen, Queen Beryl! You can have the Silver Crystal!
context: Sailor Moon!\If this is what we have to go through,\we should just give them the Silver Crystal.\What are you saying?!\That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal! response:	Listen, Queen Beryl! You can have the Silver Crystal!
context: If this is what we have to go through,\we should just give them the Silver Crystal.\What are you saying?!\That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal! response:	Let me go! Because I have this, that's why Mako...
context: we should just give them the Silver Crystal.\What are you saying?!\That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako... response:	I just want to get this over with and go home...
context: What are you saying?!\That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home... response:	I'm sorry, but please understand. Don't waste Jupiter's death.
context: That's right. That's what we should've done from the start!\Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death. response:	They're coming!
context: Listen, Queen Beryl! You can have the Silver Crystal!\Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming! response:	Okay!
context: Wait, Sailor Moon! Listen, Queen Beryl! You can have the Silver Crystal!\Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming!\Okay! response:	You three go on ahead. I'll hold them here.
context: Idiot! Listen, Queen Beryl! You can have the Silver Crystal!\Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming!\Okay!\You three go on ahead. I'll hold them here. response:	But...
context: Listen, Queen Beryl! You can have the Silver Crystal!\Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming!\Okay!\You three go on ahead. I'll hold them here.\But... response:	Past this point, we'll need your powers,
context: Let me go! Because I have this, that's why Mako...\I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming!\Okay!\You three go on ahead. I'll hold them here.\But...\Past this point, we'll need your powers, response:	since you have stronger attacks!
context: I just want to get this over with and go home...\I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming!\Okay!\You three go on ahead. I'll hold them here.\But...\Past this point, we'll need your powers,\since you have stronger attacks! response:	So, go!
context: I'm sorry, but please understand. Don't waste Jupiter's death.\They're coming!\Okay!\You three go on ahead. I'll hold them here.\But...\Past this point, we'll need your powers,\since you have stronger attacks!\So, go! response:	Ami, you're not going to...
context: They're coming!\Okay!\You three go on ahead. I'll hold them here.\But...\Past this point, we'll need your powers,\since you have stronger attacks!\So, go!\Ami, you're not going to... response:	I won't die.
context: Okay!\You three go on ahead. I'll hold them here.\But...\Past this point, we'll need your powers,\since you have stronger attacks!\So, go!\Ami, you're not going to...\I won't die. response:	That's a promise!
context: You three go on ahead. I'll hold them here.\But...\Past this point, we'll need your powers,\since you have stronger attacks!\So, go!\Ami, you're not going to...\I won't die.\That's a promise! response:	Yes!
context: But...\Past this point, we'll need your powers,\since you have stronger attacks!\So, go!\Ami, you're not going to...\I won't die.\That's a promise!\Yes! response:	Now, come and get me!
context: Past this point, we'll need your powers,\since you have stronger attacks!\So, go!\Ami, you're not going to...\I won't die.\That's a promise!\Yes!\Now, come and get me! response:	Urawa!
context: since you have stronger attacks!\So, go!\Ami, you're not going to...\I won't die.\That's a promise!\Yes!\Now, come and get me!\Urawa! response:	So, I get to see this kind of illusion too.
context: So, go!\Ami, you're not going to...\I won't die.\That's a promise!\Yes!\Now, come and get me!\Urawa!\So, I get to see this kind of illusion too. response:	Bubble
context: Ami, you're not going to...\I won't die.\That's a promise!\Yes!\Now, come and get me!\Urawa!\So, I get to see this kind of illusion too.\Bubble response:	Spray!
context: I won't die.\That's a promise!\Yes!\Now, come and get me!\Urawa!\So, I get to see this kind of illusion too.\Bubble\Spray! response:	It's an illusion, but it has real heat!
context: That's a promise!\Yes!\Now, come and get me!\Urawa!\So, I get to see this kind of illusion too.\Bubble\Spray!\It's an illusion, but it has real heat! response:	Okay, the origin of this illusion is the stone on her forehead!
context: Yes!\Now, come and get me!\Urawa!\So, I get to see this kind of illusion too.\Bubble\Spray!\It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead! response:	I'll have to get rid of the origin of the illusion.
context: Now, come and get me!\Urawa!\So, I get to see this kind of illusion too.\Bubble\Spray!\It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion. response:	Bubble
context: Urawa!\So, I get to see this kind of illusion too.\Bubble\Spray!\It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion.\Bubble response:	Spray!
context: So, I get to see this kind of illusion too.\Bubble\Spray!\It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion.\Bubble\Spray! response:	Hurry up and turn into a roast pig!
context: Bubble\Spray!\It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion.\Bubble\Spray!\Hurry up and turn into a roast pig! response:	How rude!
context: Spray!\It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion.\Bubble\Spray!\Hurry up and turn into a roast pig!\How rude! response:	Then how about a baked potato? How rude!
context: It's an illusion, but it has real heat!\Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion.\Bubble\Spray!\Hurry up and turn into a roast pig!\How rude!\Then how about a baked potato? How rude! response:	Then how about a baked potato?
context: Okay, the origin of this illusion is the stone on her forehead!\I'll have to get rid of the origin of the illusion.\Bubble\Spray!\Hurry up and turn into a roast pig!\How rude!\Then how about a baked potato? How rude!\Then how about a baked potato? response:	Die!
context: I'll have to get rid of the origin of the illusion.\Bubble\Spray!\Hurry up and turn into a roast pig!\How rude!\Then how about a baked potato? How rude!\Then how about a baked potato?\Die! response:	Maybe this will be the last time I use this.
context: Bubble\Spray!\Hurry up and turn into a roast pig!\How rude!\Then how about a baked potato? How rude!\Then how about a baked potato?\Die!\Maybe this will be the last time I use this. response:	I can't use my illusions anymore!
context: Spray!\Hurry up and turn into a roast pig!\How rude!\Then how about a baked potato? How rude!\Then how about a baked potato?\Die!\Maybe this will be the last time I use this.\I can't use my illusions anymore! response:	Ami's...
context: Hurry up and turn into a roast pig!\How rude!\Then how about a baked potato? How rude!\Then how about a baked potato?\Die!\Maybe this will be the last time I use this.\I can't use my illusions anymore!\Ami's... response:	Ami's...
context: How rude!\Then how about a baked potato? How rude!\Then how about a baked potato?\Die!\Maybe this will be the last time I use this.\I can't use my illusions anymore!\Ami's...\Ami's... response:	Ami's dead!
context: Then how about a baked potato? How rude!\Then how about a baked potato?\Die!\Maybe this will be the last time I use this.\I can't use my illusions anymore!\Ami's...\Ami's...\Ami's dead! response:	Don't cry like a baby every single time!
context: Then how about a baked potato?\Die!\Maybe this will be the last time I use this.\I can't use my illusions anymore!\Ami's...\Ami's...\Ami's dead!\Don't cry like a baby every single time! response:	Remember, more enemies will be coming at us!
context: Die!\Maybe this will be the last time I use this.\I can't use my illusions anymore!\Ami's...\Ami's...\Ami's dead!\Don't cry like a baby every single time!\Remember, more enemies will be coming at us! response:	But... But I never expected something like this...
context: Maybe this will be the last time I use this.\I can't use my illusions anymore!\Ami's...\Ami's...\Ami's dead!\Don't cry like a baby every single time!\Remember, more enemies will be coming at us!\But... But I never expected something like this... response:	Watch out!
context: I can't use my illusions anymore!\Ami's...\Ami's...\Ami's dead!\Don't cry like a baby every single time!\Remember, more enemies will be coming at us!\But... But I never expected something like this...\Watch out! response:	Minako!
context: Ami's...\Ami's...\Ami's dead!\Don't cry like a baby every single time!\Remember, more enemies will be coming at us!\But... But I never expected something like this...\Watch out!\Minako! response:	Stop it! You can have the Silver Crystal, so let Minako go!
context: Ami's...\Ami's dead!\Don't cry like a baby every single time!\Remember, more enemies will be coming at us!\But... But I never expected something like this...\Watch out!\Minako!\Stop it! You can have the Silver Crystal, so let Minako go! response:	If you do that, I'll never forgive you!
context: Ami's dead!\Don't cry like a baby every single time!\Remember, more enemies will be coming at us!\But... But I never expected something like this...\Watch out!\Minako!\Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you! response:	Fool! Begging for her life won't do you any good!
context: Don't cry like a baby every single time!\Remember, more enemies will be coming at us!\But... But I never expected something like this...\Watch out!\Minako!\Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good! response:	We'll take the Silver Crystal after we kill all of you!
context: Remember, more enemies will be coming at us!\But... But I never expected something like this...\Watch out!\Minako!\Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you! response:	First, we'll take care of this one!
context: But... But I never expected something like this...\Watch out!\Minako!\Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one! response:	Minako!
context: Watch out!\Minako!\Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one!\Minako! response:	Crescent
context: Minako!\Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one!\Minako!\Crescent response:	Beam!
context: Stop it! You can have the Silver Crystal, so let Minako go!\If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one!\Minako!\Crescent\Beam! response:	Minako!
context: If you do that, I'll never forgive you!\Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one!\Minako!\Crescent\Beam!\Minako! response:	Sailor Moon.
context: Fool! Begging for her life won't do you any good!\We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one!\Minako!\Crescent\Beam!\Minako!\Sailor Moon. response:	What?
context: We'll take the Silver Crystal after we kill all of you!\First, we'll take care of this one!\Minako!\Crescent\Beam!\Minako!\Sailor Moon.\What? response:	We always fought, but it was fun.
context: First, we'll take care of this one!\Minako!\Crescent\Beam!\Minako!\Sailor Moon.\What?\We always fought, but it was fun. response:	Why are you saying?!
context: Minako!\Crescent\Beam!\Minako!\Sailor Moon.\What?\We always fought, but it was fun.\Why are you saying?! response:	I have to say it, just in case something happens.
context: Crescent\Beam!\Minako!\Sailor Moon.\What?\We always fought, but it was fun.\Why are you saying?!\I have to say it, just in case something happens. response:	We said we weren't going to talk about what ifs!
context: Beam!\Minako!\Sailor Moon.\What?\We always fought, but it was fun.\Why are you saying?!\I have to say it, just in case something happens.\We said we weren't going to talk about what ifs! response:	Oh, wait! I understand! I'll do the rest by myself!
context: Minako!\Sailor Moon.\What?\We always fought, but it was fun.\Why are you saying?!\I have to say it, just in case something happens.\We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself! response:	I'll beat them all and beat Queen Beryl, and I'll come home,
context: Sailor Moon.\What?\We always fought, but it was fun.\Why are you saying?!\I have to say it, just in case something happens.\We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home, response:	so, Rei, go back home ahead of me!
context: What?\We always fought, but it was fun.\Why are you saying?!\I have to say it, just in case something happens.\We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me! response:	I don't want you to die!
context: We always fought, but it was fun.\Why are you saying?!\I have to say it, just in case something happens.\We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me!\I don't want you to die! response:	You still have the final big battle ahead of you,
context: Why are you saying?!\I have to say it, just in case something happens.\We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me!\I don't want you to die!\You still have the final big battle ahead of you, response:	so you have to conserve your energy.
context: I have to say it, just in case something happens.\We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me!\I don't want you to die!\You still have the final big battle ahead of you,\so you have to conserve your energy. response:	Oh, come on, no one says I have to die!
context: We said we weren't going to talk about what ifs!\Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me!\I don't want you to die!\You still have the final big battle ahead of you,\so you have to conserve your energy.\Oh, come on, no one says I have to die! response:	Okay, Rei's gonna go take care of them real quick!
context: Oh, wait! I understand! I'll do the rest by myself!\I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me!\I don't want you to die!\You still have the final big battle ahead of you,\so you have to conserve your energy.\Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick! response:	Fire...
context: I'll beat them all and beat Queen Beryl, and I'll come home,\so, Rei, go back home ahead of me!\I don't want you to die!\You still have the final big battle ahead of you,\so you have to conserve your energy.\Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick!\Fire... response:	They're fast!
context: so, Rei, go back home ahead of me!\I don't want you to die!\You still have the final big battle ahead of you,\so you have to conserve your energy.\Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick!\Fire...\They're fast! response:	Rei!
context: I don't want you to die!\You still have the final big battle ahead of you,\so you have to conserve your energy.\Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick!\Fire...\They're fast!\Rei! response:	Rei?
context: You still have the final big battle ahead of you,\so you have to conserve your energy.\Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick!\Fire...\They're fast!\Rei!\Rei? response:	You're mine!
context: so you have to conserve your energy.\Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick!\Fire...\They're fast!\Rei!\Rei?\You're mine! response:	Rei!
context: Oh, come on, no one says I have to die!\Okay, Rei's gonna go take care of them real quick!\Fire...\They're fast!\Rei!\Rei?\You're mine!\Rei! response:	How dare you?!
context: Okay, Rei's gonna go take care of them real quick!\Fire...\They're fast!\Rei!\Rei?\You're mine!\Rei!\How dare you?! response:	Now, that finally leaves just the princess.
context: Fire...\They're fast!\Rei!\Rei?\You're mine!\Rei!\How dare you?!\Now, that finally leaves just the princess. response:	Rei!
context: They're fast!\Rei!\Rei?\You're mine!\Rei!\How dare you?!\Now, that finally leaves just the princess.\Rei! response:	Prepare to die!
context: Rei!\Rei?\You're mine!\Rei!\How dare you?!\Now, that finally leaves just the princess.\Rei!\Prepare to die! response:	What?!
context: Rei?\You're mine!\Rei!\How dare you?!\Now, that finally leaves just the princess.\Rei!\Prepare to die!\What?! response:	I'm not done yet.
context: You're mine!\Rei!\How dare you?!\Now, that finally leaves just the princess.\Rei!\Prepare to die!\What?!\I'm not done yet. response:	Fire
context: Rei!\How dare you?!\Now, that finally leaves just the princess.\Rei!\Prepare to die!\What?!\I'm not done yet.\Fire response:	Soul!
context: How dare you?!\Now, that finally leaves just the princess.\Rei!\Prepare to die!\What?!\I'm not done yet.\Fire\Soul! response:	Just like you said, I should have kissed Yuichiro...
context: Now, that finally leaves just the princess.\Rei!\Prepare to die!\What?!\I'm not done yet.\Fire\Soul!\Just like you said, I should have kissed Yuichiro... response:	I really wish I had.
context: Rei!\Prepare to die!\What?!\I'm not done yet.\Fire\Soul!\Just like you said, I should have kissed Yuichiro...\I really wish I had. response:	Mako...
context: Prepare to die!\What?!\I'm not done yet.\Fire\Soul!\Just like you said, I should have kissed Yuichiro...\I really wish I had.\Mako... response:	Ami...
context: What?!\I'm not done yet.\Fire\Soul!\Just like you said, I should have kissed Yuichiro...\I really wish I had.\Mako...\Ami... response:	Minako...
context: I'm not done yet.\Fire\Soul!\Just like you said, I should have kissed Yuichiro...\I really wish I had.\Mako...\Ami...\Minako... response:	Rei...
context: Fire\Soul!\Just like you said, I should have kissed Yuichiro...\I really wish I had.\Mako...\Ami...\Minako...\Rei... response:	I know, this is a dream. It's just a dream.
context: Soul!\Just like you said, I should have kissed Yuichiro...\I really wish I had.\Mako...\Ami...\Minako...\Rei...\I know, this is a dream. It's just a dream. response:	When I wake up,
