context: The wind is warm. response:	May. When I wake up and open the window, I don't recoil from the wind anymore.
context: If you don't play a lot, you can't get a feel for it.\Are you telling me to get used to losing?\No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends? response:	No. It's forever frustrating and forever painful.
context: Are you telling me to get used to losing?\No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends?\No. It's forever frustrating and forever painful. response:	BLUNT
context: No, don't get used to it.\If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends?\No. It's forever frustrating and forever painful.\BLUNT response:	Except when you win.
context: If you stop getting frustrated at losing, then you'll stop studying.\Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends?\No. It's forever frustrating and forever painful.\BLUNT\Except when you win. response:	WHISPER
context: Question! How strong do I have to become before saying farewell to this frustration?\Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends?\No. It's forever frustrating and forever painful.\BLUNT\Except when you win.\WHISPER response:	The stronger you get, the more bitter defeat tastes when you lose.
context: Even if you get strong, but play with someone who's better, you'll lose.\When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends?\No. It's forever frustrating and forever painful.\BLUNT\Except when you win.\WHISPER\The stronger you get, the more bitter defeat tastes when you lose. response:	In fact, the more time you spend on it, the more frustrating it gets.
context: When that happens, it's so frustrating it feels like your innards are turning upside down.\It never ends?\No. It's forever frustrating and forever painful.\BLUNT\Except when you win.\WHISPER\The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets. response:	The more you progress, the more frustrated you'll be.
context: It never ends?\No. It's forever frustrating and forever painful.\BLUNT\Except when you win.\WHISPER\The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be. response:	W-Wait a minute, Kiriyama!
context: No. It's forever frustrating and forever painful.\BLUNT\Except when you win.\WHISPER\The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama! response:	Do you have fun when you play shogi?
context: BLUNT\Except when you win.\WHISPER\The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama!\Do you have fun when you play shogi? response:	FREEZE
context: Except when you win.\WHISPER\The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama!\Do you have fun when you play shogi?\FREEZE response:	QUIVER QUIVER
context: WHISPER\The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama!\Do you have fun when you play shogi?\FREEZE\QUIVER QUIVER response:	F-Fun?
context: The stronger you get, the more bitter defeat tastes when you lose.\In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama!\Do you have fun when you play shogi?\FREEZE\QUIVER QUIVER\F-Fun? response:	What?
context: In fact, the more time you spend on it, the more frustrating it gets.\The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama!\Do you have fun when you play shogi?\FREEZE\QUIVER QUIVER\F-Fun?\What? response:	*This background has metaphorical images as accompaniment.
context: The more you progress, the more frustrated you'll be.\W-Wait a minute, Kiriyama!\Do you have fun when you play shogi?\FREEZE\QUIVER QUIVER\F-Fun?\What?\*This background has metaphorical images as accompaniment. response:	FREEZE
context: W-Wait a minute, Kiriyama!\Do you have fun when you play shogi?\FREEZE\QUIVER QUIVER\F-Fun?\What?\*This background has metaphorical images as accompaniment.\FREEZE response:	Oh no!
context: Do you have fun when you play shogi?\FREEZE\QUIVER QUIVER\F-Fun?\What?\*This background has metaphorical images as accompaniment.\FREEZE\Oh no! response:	It's okay, Kiriyama. H-How would you like some tea?
context: FREEZE\QUIVER QUIVER\F-Fun?\What?\*This background has metaphorical images as accompaniment.\FREEZE\Oh no!\It's okay, Kiriyama. H-How would you like some tea? response:	It's tear grass tea made with the tear grass I acquired from the field behind the school.
context: QUIVER QUIVER\F-Fun?\What?\*This background has metaphorical images as accompaniment.\FREEZE\Oh no!\It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school. response:	Noguchi, you really are serious about self-sufficiency, huh?
context: F-Fun?\What?\*This background has metaphorical images as accompaniment.\FREEZE\Oh no!\It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh? response:	I also have coffee made with dandelion roots.
context: What?\*This background has metaphorical images as accompaniment.\FREEZE\Oh no!\It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots. response:	That's not science anymore, but agriculture.
context: *This background has metaphorical images as accompaniment.\FREEZE\Oh no!\It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots.\That's not science anymore, but agriculture. response:	I'm going to the restroom.
context: FREEZE\Oh no!\It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots.\That's not science anymore, but agriculture.\I'm going to the restroom. response:	STAGGER
context: Oh no!\It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots.\That's not science anymore, but agriculture.\I'm going to the restroom.\STAGGER response:	WOBBLE WOBBLE
context: It's okay, Kiriyama. H-How would you like some tea?\It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots.\That's not science anymore, but agriculture.\I'm going to the restroom.\STAGGER\WOBBLE WOBBLE response:	That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.
context: It's tear grass tea made with the tear grass I acquired from the field behind the school.\Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots.\That's not science anymore, but agriculture.\I'm going to the restroom.\STAGGER\WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm. response:	Don't take too long, Kiriyama!
context: Noguchi, you really are serious about self-sufficiency, huh?\I also have coffee made with dandelion roots.\That's not science anymore, but agriculture.\I'm going to the restroom.\STAGGER\WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama! response:	The Meijin Battle will be on TV from 4:00!
context: I also have coffee made with dandelion roots.\That's not science anymore, but agriculture.\I'm going to the restroom.\STAGGER\WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00! response:	Okay, I'll be quick!
context: That's not science anymore, but agriculture.\I'm going to the restroom.\STAGGER\WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick! response:	That was five years ago.
context: I'm going to the restroom.\STAGGER\WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick!\That was five years ago. response:	If he'd boarded the train without disguising himself, he would've been recognized.
context: STAGGER\WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick!\That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized. response:	So of course, I was fooled, too.
context: WOBBLE WOBBLE\That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick!\That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too. response:	And thus 14 people...
context: That's tear grass tea for you! Such a pronounced diuretic effect. Hmm.\Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick!\That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too.\And thus 14 people... response:	100 FAMOUS LAKES OF JAPAN
context: Don't take too long, Kiriyama!\The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick!\That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too.\And thus 14 people...\100 FAMOUS LAKES OF JAPAN response:	The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.
context: The Meijin Battle will be on TV from 4:00!\Okay, I'll be quick!\That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too.\And thus 14 people...\100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture. response:	I didn't even know.
context: Okay, I'll be quick!\That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too.\And thus 14 people...\100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know. response:	Kiriyama is already living his life as a professional?
context: That was five years ago.\If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too.\And thus 14 people...\100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know.\Kiriyama is already living his life as a professional? response:	He's already living in that harsh world of victories and defeats, huh?
context: If he'd boarded the train without disguising himself, he would've been recognized.\So of course, I was fooled, too.\And thus 14 people...\100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know.\Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh? response:	Even the best player, Meijin Souya, has a winning rate of 70.
context: So of course, I was fooled, too.\And thus 14 people...\100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know.\Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70. response:	He loses three out of ten matches.
context: And thus 14 people...\100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know.\Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches. response:	MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH
context: 100 FAMOUS LAKES OF JAPAN\The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know.\Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH response:	Oh, I've heard of him.
context: The Aburasaka Pass is between Fukui Prefecture and Gifu Prefecture.\I didn't even know.\Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him. response:	He won the Seven Crowns, right?
context: I didn't even know.\Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him.\He won the Seven Crowns, right? response:	So they're broadcasting his match live today, huh?
context: Kiriyama is already living his life as a professional?\He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him.\He won the Seven Crowns, right?\So they're broadcasting his match live today, huh? response:	Yeah. It's the second match for the Meijin Battle.
context: He's already living in that harsh world of victories and defeats, huh?\Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him.\He won the Seven Crowns, right?\So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle. response:	In the first match, he lost to the challenger, Kumakura.
context: Even the best player, Meijin Souya, has a winning rate of 70.\He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him.\He won the Seven Crowns, right?\So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura. response:	The stronger you get, the more bitter defeat tastes, huh?
context: He loses three out of ten matches.\MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him.\He won the Seven Crowns, right?\So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh? response:	Then when somebody at this level loses,
context: MEIJIN BATTLE TOUJI VS KUMAKURA SECOND MATCH\Oh, I've heard of him.\He won the Seven Crowns, right?\So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses, response:	I wonder what's going on in his mind?
context: Oh, I've heard of him.\He won the Seven Crowns, right?\So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses,\I wonder what's going on in his mind? response:	Oh, it's starting.
context: He won the Seven Crowns, right?\So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses,\I wonder what's going on in his mind?\Oh, it's starting. response:	This is the first day of the second match for the 69th Shogi Meijin Battle.
context: So they're broadcasting his match live today, huh?\Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses,\I wonder what's going on in his mind?\Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle. response:	Let's begin with the two players entering the room.
context: Yeah. It's the second match for the Meijin Battle.\In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses,\I wonder what's going on in his mind?\Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room. response:	Challenger Kengo Kumakura 9th-dan
context: In the first match, he lost to the challenger, Kumakura.\The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses,\I wonder what's going on in his mind?\Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan response:	At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.
context: The stronger you get, the more bitter defeat tastes, huh?\Then when somebody at this level loses,\I wonder what's going on in his mind?\Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room. response:	Touji Souya Meijin
context: Then when somebody at this level loses,\I wonder what's going on in his mind?\Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin response:	And then, at 8:55 am, Meijin Souya entered the room.
context: I wonder what's going on in his mind?\Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room. response:	The match began at 9:00 am.
context: Oh, it's starting.\This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am. response:	In just a moment, the second match will begin.
context: This is the first day of the second match for the 69th Shogi Meijin Battle.\Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am.\In just a moment, the second match will begin. response:	Souya looks like he's having fun. I'm jealous.
context: Let's begin with the two players entering the room.\Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am.\In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous. response:	Well, just be patient.
context: Challenger Kengo Kumakura 9th-dan\At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am.\In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous.\Well, just be patient. response:	Souya will be coming for you in the Kishou Tournament.
context: At 8:53 am, the challenger, Kengo Kumakura 9th-Dan, entered the room.\Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am.\In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous.\Well, just be patient.\Souya will be coming for you in the Kishou Tournament. response:	As the challenger.
context: Touji Souya Meijin\And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am.\In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous.\Well, just be patient.\Souya will be coming for you in the Kishou Tournament.\As the challenger. response:	Scary. But I'm looking forward to it.
context: And then, at 8:55 am, Meijin Souya entered the room.\The match began at 9:00 am.\In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous.\Well, just be patient.\Souya will be coming for you in the Kishou Tournament.\As the challenger.\Scary. But I'm looking forward to it. response:	Souya has a cute face, but he'll come to break my bones.
context: The match began at 9:00 am.\In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous.\Well, just be patient.\Souya will be coming for you in the Kishou Tournament.\As the challenger.\Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones. response:	Whew, scary, scary.
context: In just a moment, the second match will begin.\Souya looks like he's having fun. I'm jealous.\Well, just be patient.\Souya will be coming for you in the Kishou Tournament.\As the challenger.\Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary. response:	Well, that's because the casual moves you make mock your opponent.
context: Souya looks like he's having fun. I'm jealous.\Well, just be patient.\Souya will be coming for you in the Kishou Tournament.\As the challenger.\Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent. response:	Mock? I'm always serious when I play.
context: Well, just be patient.\Souya will be coming for you in the Kishou Tournament.\As the challenger.\Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play. response:	Oh, sorry. I meant, you seriously mock your opponent.
context: Souya will be coming for you in the Kishou Tournament.\As the challenger.\Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent. response:	If I can win a slugfest, then I'll start throwing punches.
context: As the challenger.\Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches. response:	But now it's tough on me physically.
context: Scary. But I'm looking forward to it.\Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically. response:	After all, I'm about to hit 60.
context: Souya has a cute face, but he'll come to break my bones.\Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically.\After all, I'm about to hit 60. response:	I'll probably croak in the ring.
context: Whew, scary, scary.\Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically.\After all, I'm about to hit 60.\I'll probably croak in the ring. response:	When your opponent goes all out, you don't get hurt.
context: Well, that's because the casual moves you make mock your opponent.\Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically.\After all, I'm about to hit 60.\I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt. response:	When you hit him with everything you've got, he returns your blows at the same level.
context: Mock? I'm always serious when I play.\Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically.\After all, I'm about to hit 60.\I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level. response:	Souya is happy to have an opponent like that in Kumakura.
context: Oh, sorry. I meant, you seriously mock your opponent.\If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically.\After all, I'm about to hit 60.\I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura. response:	And vice versa, Kumakura with Soya.
context: If I can win a slugfest, then I'll start throwing punches.\But now it's tough on me physically.\After all, I'm about to hit 60.\I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya. response:	They're both thinking that their opponent
context: But now it's tough on me physically.\After all, I'm about to hit 60.\I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya.\They're both thinking that their opponent response:	is a toy that won't break no matter how hard they spin it around.
context: After all, I'm about to hit 60.\I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya.\They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around. response:	Geez, these two make such a perfect picture.
context: I'll probably croak in the ring.\When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya.\They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture. response:	It ran across my mind.
context: When your opponent goes all out, you don't get hurt.\When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya.\They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture.\It ran across my mind. response:	Right now, Mr. Shimada...
context: When you hit him with everything you've got, he returns your blows at the same level.\Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya.\They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture.\It ran across my mind.\Right now, Mr. Shimada... response:	must be watching these two from somewhere.
context: Souya is happy to have an opponent like that in Kumakura.\And vice versa, Kumakura with Soya.\They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture.\It ran across my mind.\Right now, Mr. Shimada...\must be watching these two from somewhere. response:	From a classroom dyed red by the setting sun,
context: And vice versa, Kumakura with Soya.\They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture.\It ran across my mind.\Right now, Mr. Shimada...\must be watching these two from somewhere.\From a classroom dyed red by the setting sun, response:	the person on the screen...
context: They're both thinking that their opponent\is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture.\It ran across my mind.\Right now, Mr. Shimada...\must be watching these two from somewhere.\From a classroom dyed red by the setting sun,\the person on the screen... response:	Setting Sun
context: is a toy that won't break no matter how hard they spin it around.\Geez, these two make such a perfect picture.\It ran across my mind.\Right now, Mr. Shimada...\must be watching these two from somewhere.\From a classroom dyed red by the setting sun,\the person on the screen...\Setting Sun response:	Ramune
context: Geez, these two make such a perfect picture.\It ran across my mind.\Right now, Mr. Shimada...\must be watching these two from somewhere.\From a classroom dyed red by the setting sun,\the person on the screen...\Setting Sun\Ramune response:	H-He's eating with his hands!
context: It ran across my mind.\Right now, Mr. Shimada...\must be watching these two from somewhere.\From a classroom dyed red by the setting sun,\the person on the screen...\Setting Sun\Ramune\H-He's eating with his hands! response:	Man, he killed three pieces of cake in mere seconds!
context: Right now, Mr. Shimada...\must be watching these two from somewhere.\From a classroom dyed red by the setting sun,\the person on the screen...\Setting Sun\Ramune\H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds! response:	He gobbled them up, just like that.
context: must be watching these two from somewhere.\From a classroom dyed red by the setting sun,\the person on the screen...\Setting Sun\Ramune\H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that. response:	And his eyes were locked on the board the whole time!
context: From a classroom dyed red by the setting sun,\the person on the screen...\Setting Sun\Ramune\H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that.\And his eyes were locked on the board the whole time! response:	Such splendor.
context: the person on the screen...\Setting Sun\Ramune\H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that.\And his eyes were locked on the board the whole time!\Such splendor. response:	Still, this is an interesting scene.
context: Setting Sun\Ramune\H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that.\And his eyes were locked on the board the whole time!\Such splendor.\Still, this is an interesting scene. response:	Right in the middle of a serious battle, with the combatants in kimonos,
context: Ramune\H-He's eating with his hands!\Man, he killed three pieces of cake in mere seconds!\He gobbled them up, just like that.\And his eyes were locked on the board the whole time!\Such splendor.\Still, this is an interesting scene.\Right in the middle of a serious battle, with the combatants in kimonos, response:	snacks would suddenly appear.
