context: 'Cause I'm better than you! response:	I can't see you even if I tried.
context: Yes, sir!\Ribbit, ribbit.\No, no, no, no!\Yahoo!\Sorry, sorry!\Good work everyone!\We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously! response:	You all did a good job for your first training!
context: Ribbit, ribbit.\No, no, no, no!\Yahoo!\Sorry, sorry!\Good work everyone!\We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously!\You all did a good job for your first training! response:	To have such a proper class after Mr. Aizawa's class...
context: No, no, no, no!\Yahoo!\Sorry, sorry!\Good work everyone!\We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously!\You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class... response:	We're free to have proper classes, as well!
context: Yahoo!\Sorry, sorry!\Good work everyone!\We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously!\You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well! response:	Well then, I must review the results with young Midoriya!
context: Sorry, sorry!\Good work everyone!\We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously!\You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya! response:	Change and return...
context: Good work everyone!\We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously!\You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya!\Change and return... response:	All Might's amazing!
context: We didn't have any major injuries other than young Midoriya, either!\You guys took this on seriously!\You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya!\Change and return...\All Might's amazing! response:	Why was he in such a hurry?
context: You guys took this on seriously!\You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya!\Change and return...\All Might's amazing!\Why was he in such a hurry? response:	So cool...
context: You all did a good job for your first training!\To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya!\Change and return...\All Might's amazing!\Why was he in such a hurry?\So cool... response:	Young Bakugou...
context: To have such a proper class after Mr. Aizawa's class...\We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya!\Change and return...\All Might's amazing!\Why was he in such a hurry?\So cool...\Young Bakugou... response:	As his teacher, I must counsel him well.
context: We're free to have proper classes, as well!\Well then, I must review the results with young Midoriya!\Change and return...\All Might's amazing!\Why was he in such a hurry?\So cool...\Young Bakugou...\As his teacher, I must counsel him well. response:	But right now...
context: Well then, I must review the results with young Midoriya!\Change and return...\All Might's amazing!\Why was he in such a hurry?\So cool...\Young Bakugou...\As his teacher, I must counsel him well.\But right now... response:	If I teach a class...
context: Change and return...\All Might's amazing!\Why was he in such a hurry?\So cool...\Young Bakugou...\As his teacher, I must counsel him well.\But right now...\If I teach a class... response:	Shit!
context: All Might's amazing!\Why was he in such a hurry?\So cool...\Young Bakugou...\As his teacher, I must counsel him well.\But right now...\If I teach a class...\Shit! response:	The school year has just begun,
context: Why was he in such a hurry?\So cool...\Young Bakugou...\As his teacher, I must counsel him well.\But right now...\If I teach a class...\Shit!\The school year has just begun, response:	and he's already been in here three times!
context: So cool...\Young Bakugou...\As his teacher, I must counsel him well.\But right now...\If I teach a class...\Shit!\The school year has just begun,\and he's already been in here three times! response:	Why didn't you stop him, All Might?!
context: Young Bakugou...\As his teacher, I must counsel him well.\But right now...\If I teach a class...\Shit!\The school year has just begun,\and he's already been in here three times!\Why didn't you stop him, All Might?! response:	I apologize, Recovery Girl.
context: As his teacher, I must counsel him well.\But right now...\If I teach a class...\Shit!\The school year has just begun,\and he's already been in here three times!\Why didn't you stop him, All Might?!\I apologize, Recovery Girl. response:	What are you apologizing to me for?
context: But right now...\If I teach a class...\Shit!\The school year has just begun,\and he's already been in here three times!\Why didn't you stop him, All Might?!\I apologize, Recovery Girl.\What are you apologizing to me for? response:	On top of his total exhaustion, he was here just yesterday.
context: If I teach a class...\Shit!\The school year has just begun,\and he's already been in here three times!\Why didn't you stop him, All Might?!\I apologize, Recovery Girl.\What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday. response:	I can't treat him all at once.
context: Shit!\The school year has just begun,\and he's already been in here three times!\Why didn't you stop him, All Might?!\I apologize, Recovery Girl.\What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once. response:	I did first-aid treatment already,
context: The school year has just begun,\and he's already been in here three times!\Why didn't you stop him, All Might?!\I apologize, Recovery Girl.\What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once.\I did first-aid treatment already, response:	so after the IV is finished, we can only wait for his body to heal slowly overnight.
context: and he's already been in here three times!\Why didn't you stop him, All Might?!\I apologize, Recovery Girl.\What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once.\I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight. response:	Jeez...
context: Why didn't you stop him, All Might?!\I apologize, Recovery Girl.\What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once.\I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez... response:	I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!
context: I apologize, Recovery Girl.\What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once.\I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him! response:	There is nothing I can say to that.
context: What are you apologizing to me for?\On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once.\I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that. response:	Because I wanted to consider his feelings...
context: On top of his total exhaustion, he was here just yesterday.\I can't treat him all at once.\I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that.\Because I wanted to consider his feelings... response:	Even so...
context: I can't treat him all at once.\I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that.\Because I wanted to consider his feelings...\Even so... response:	Yes, yes, Mr. Natural-Born Hero.
context: I did first-aid treatment already,\so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that.\Because I wanted to consider his feelings...\Even so...\Yes, yes, Mr. Natural-Born Hero. response:	Mr. Symbol of Peace.
context: so after the IV is finished, we can only wait for his body to heal slowly overnight.\Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that.\Because I wanted to consider his feelings...\Even so...\Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace. response:	My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...
context: Jeez...\I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that.\Because I wanted to consider his feelings...\Even so...\Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros... response:	I know it's not like you want to rest on your laurels at the top...
context: I know he's your favorite and that you passed on your powers to him, but doesn't mean you should spoil him!\There is nothing I can say to that.\Because I wanted to consider his feelings...\Even so...\Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top... response:	If I no longer am, then the superhuman society will be seized by evil.
context: There is nothing I can say to that.\Because I wanted to consider his feelings...\Even so...\Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil. response:	This is...
context: Because I wanted to consider his feelings...\Even so...\Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil.\This is... response:	If that's the case, then it's even more important for you to learn what it means to guide someone!
context: Even so...\Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil.\This is...\If that's the case, then it's even more important for you to learn what it means to guide someone! response:	Yes, ma'am.
context: Yes, yes, Mr. Natural-Born Hero.\Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil.\This is...\If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am. response:	You...
context: Mr. Symbol of Peace.\My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil.\This is...\If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am.\You... response:	Will you accept my power?
context: My injury and this form of mine are common knowledge among the U.A. teachers and a certain group of pros...\I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil.\This is...\If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am.\You...\Will you accept my power? response:	One For All...
context: I know it's not like you want to rest on your laurels at the top...\If I no longer am, then the superhuman society will be seized by evil.\This is...\If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am.\You...\Will you accept my power?\One For All... response:	Smash...!
context: If I no longer am, then the superhuman society will be seized by evil.\This is...\If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am.\You...\Will you accept my power?\One For All...\Smash...! response:	Come, young Midoriya.
context: This is...\If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am.\You...\Will you accept my power?\One For All...\Smash...!\Come, young Midoriya. response:	This is your...
context: If that's the case, then it's even more important for you to learn what it means to guide someone!\Yes, ma'am.\You...\Will you accept my power?\One For All...\Smash...!\Come, young Midoriya.\This is your... response:	I have a lot to learn from here on out...
context: Yes, ma'am.\You...\Will you accept my power?\One For All...\Smash...!\Come, young Midoriya.\This is your...\I have a lot to learn from here on out... response:	My Deku isn't always going to mean useless!
context: You...\Will you accept my power?\One For All...\Smash...!\Come, young Midoriya.\This is your...\I have a lot to learn from here on out...\My Deku isn't always going to mean useless! response:	Kacchan...
context: Will you accept my power?\One For All...\Smash...!\Come, young Midoriya.\This is your...\I have a lot to learn from here on out...\My Deku isn't always going to mean useless!\Kacchan... response:	It's... late afternoon...?
context: One For All...\Smash...!\Come, young Midoriya.\This is your...\I have a lot to learn from here on out...\My Deku isn't always going to mean useless!\Kacchan...\It's... late afternoon...? response:	Are you awake?
context: Smash...!\Come, young Midoriya.\This is your...\I have a lot to learn from here on out...\My Deku isn't always going to mean useless!\Kacchan...\It's... late afternoon...?\Are you awake? response:	That's all for today's treatment.
context: Come, young Midoriya.\This is your...\I have a lot to learn from here on out...\My Deku isn't always going to mean useless!\Kacchan...\It's... late afternoon...?\Are you awake?\That's all for today's treatment. response:	Come back again tomorrow, okay?
context: This is your...\I have a lot to learn from here on out...\My Deku isn't always going to mean useless!\Kacchan...\It's... late afternoon...?\Are you awake?\That's all for today's treatment.\Come back again tomorrow, okay? response:	I ended up skipping my afternoon classes...
context: I have a lot to learn from here on out...\My Deku isn't always going to mean useless!\Kacchan...\It's... late afternoon...?\Are you awake?\That's all for today's treatment.\Come back again tomorrow, okay?\I ended up skipping my afternoon classes... response:	Mr. Aizawa's gonna wrap me in those bindings again...
context: My Deku isn't always going to mean useless!\Kacchan...\It's... late afternoon...?\Are you awake?\That's all for today's treatment.\Come back again tomorrow, okay?\I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again... response:	Oh, Midoriya's here!
context: Kacchan...\It's... late afternoon...?\Are you awake?\That's all for today's treatment.\Come back again tomorrow, okay?\I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here! response:	Good work!
context: It's... late afternoon...?\Are you awake?\That's all for today's treatment.\Come back again tomorrow, okay?\I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here!\Good work! response:	Man, I don't know what you were saying during the match,
context: Are you awake?\That's all for today's treatment.\Come back again tomorrow, okay?\I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here!\Good work!\Man, I don't know what you were saying during the match, response:	but you were fired up!
context: That's all for today's treatment.\Come back again tomorrow, okay?\I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here!\Good work!\Man, I don't know what you were saying during the match,\but you were fired up! response:	I can't believe you fought evenly with Bakugou, who was first in the entrance exam!
context: Come back again tomorrow, okay?\I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here!\Good work!\Man, I don't know what you were saying during the match,\but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam! response:	You did a good job dodging!
context: I ended up skipping my afternoon classes...\Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here!\Good work!\Man, I don't know what you were saying during the match,\but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging! response:	You guys did that in the first match, so the rest of us had to give it our all, too.
context: Mr. Aizawa's gonna wrap me in those bindings again...\Oh, Midoriya's here!\Good work!\Man, I don't know what you were saying during the match,\but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too. response:	You were far from elegant, but
context: Oh, Midoriya's here!\Good work!\Man, I don't know what you were saying during the match,\but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but response:	You did a good job dodging!
context: Good work!\Man, I don't know what you were saying during the match,\but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but\You did a good job dodging! response:	H-Huh?
context: Man, I don't know what you were saying during the match,\but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but\You did a good job dodging!\H-Huh? response:	I'm Kirishima Eijirou!
context: but you were fired up!\I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but\You did a good job dodging!\H-Huh?\I'm Kirishima Eijirou! response:	We're all going over the training together right now.
context: I can't believe you fought evenly with Bakugou, who was first in the entrance exam!\You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but\You did a good job dodging!\H-Huh?\I'm Kirishima Eijirou!\We're all going over the training together right now. response:	I'm Sero Hanta.
context: You did a good job dodging!\You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but\You did a good job dodging!\H-Huh?\I'm Kirishima Eijirou!\We're all going over the training together right now.\I'm Sero Hanta. response:	I'm Aoyama Yu
context: You guys did that in the first match, so the rest of us had to give it our all, too.\You were far from elegant, but\You did a good job dodging!\H-Huh?\I'm Kirishima Eijirou!\We're all going over the training together right now.\I'm Sero Hanta.\I'm Aoyama Yu response:	I'm Ashido Mina!
context: You were far from elegant, but\You did a good job dodging!\H-Huh?\I'm Kirishima Eijirou!\We're all going over the training together right now.\I'm Sero Hanta.\I'm Aoyama Yu\I'm Ashido Mina! response:	You did a good job dodging!
context: You did a good job dodging!\H-Huh?\I'm Kirishima Eijirou!\We're all going over the training together right now.\I'm Sero Hanta.\I'm Aoyama Yu\I'm Ashido Mina!\You did a good job dodging! response:	I'm Asui Tsuyu.
context: H-Huh?\I'm Kirishima Eijirou!\We're all going over the training together right now.\I'm Sero Hanta.\I'm Aoyama Yu\I'm Ashido Mina!\You did a good job dodging!\I'm Asui Tsuyu. response:	Call me Tsu.
context: I'm Kirishima Eijirou!\We're all going over the training together right now.\I'm Sero Hanta.\I'm Aoyama Yu\I'm Ashido Mina!\You did a good job dodging!\I'm Asui Tsuyu.\Call me Tsu. response:	I'm Sato!
context: We're all going over the training together right now.\I'm Sero Hanta.\I'm Aoyama Yu\I'm Ashido Mina!\You did a good job dodging!\I'm Asui Tsuyu.\Call me Tsu.\I'm Sato! response:	Um...
context: I'm Sero Hanta.\I'm Aoyama Yu\I'm Ashido Mina!\You did a good job dodging!\I'm Asui Tsuyu.\Call me Tsu.\I'm Sato!\Um... response:	Er
context: I'm Aoyama Yu\I'm Ashido Mina!\You did a good job dodging!\I'm Asui Tsuyu.\Call me Tsu.\I'm Sato!\Um...\Er response:	I'm Mineta!
context: I'm Ashido Mina!\You did a good job dodging!\I'm Asui Tsuyu.\Call me Tsu.\I'm Sato!\Um...\Er\I'm Mineta! response:	Where the heck did you pop out from?
context: You did a good job dodging!\I'm Asui Tsuyu.\Call me Tsu.\I'm Sato!\Um...\Er\I'm Mineta!\Where the heck did you pop out from? response:	I am Aoyama Yuuga.
context: I'm Asui Tsuyu.\Call me Tsu.\I'm Sato!\Um...\Er\I'm Mineta!\Where the heck did you pop out from?\I am Aoyama Yuuga. response:	You did terrible in the training.
context: Call me Tsu.\I'm Sato!\Um...\Er\I'm Mineta!\Where the heck did you pop out from?\I am Aoyama Yuuga.\You did terrible in the training. response:	I am a man who never stops shining.
context: I'm Sato!\Um...\Er\I'm Mineta!\Where the heck did you pop out from?\I am Aoyama Yuuga.\You did terrible in the training.\I am a man who never stops shining. response:	You're too loud.
context: Um...\Er\I'm Mineta!\Where the heck did you pop out from?\I am Aoyama Yuuga.\You did terrible in the training.\I am a man who never stops shining.\You're too loud. response:	Tokoyami!
context: Er\I'm Mineta!\Where the heck did you pop out from?\I am Aoyama Yuuga.\You did terrible in the training.\I am a man who never stops shining.\You're too loud.\Tokoyami! response:	That desk is not a chair!
context: I'm Mineta!\Where the heck did you pop out from?\I am Aoyama Yuuga.\You did terrible in the training.\I am a man who never stops shining.\You're too loud.\Tokoyami!\That desk is not a chair! response:	Get off immediately!
context: Where the heck did you pop out from?\I am Aoyama Yuuga.\You did terrible in the training.\I am a man who never stops shining.\You're too loud.\Tokoyami!\That desk is not a chair!\Get off immediately! response:	It's not that big a deal, is it?
context: I am Aoyama Yuuga.\You did terrible in the training.\I am a man who never stops shining.\You're too loud.\Tokoyami!\That desk is not a chair!\Get off immediately!\It's not that big a deal, is it? response:	Wh?!
context: You did terrible in the training.\I am a man who never stops shining.\You're too loud.\Tokoyami!\That desk is not a chair!\Get off immediately!\It's not that big a deal, is it?\Wh?! response:	What's with those hands, anyway?
context: I am a man who never stops shining.\You're too loud.\Tokoyami!\That desk is not a chair!\Get off immediately!\It's not that big a deal, is it?\Wh?!\What's with those hands, anyway? response:	You people...
context: You're too loud.\Tokoyami!\That desk is not a chair!\Get off immediately!\It's not that big a deal, is it?\Wh?!\What's with those hands, anyway?\You people... response:	I cannot condone actions that disrespect the desks
context: Tokoyami!\That desk is not a chair!\Get off immediately!\It's not that big a deal, is it?\Wh?!\What's with those hands, anyway?\You people...\I cannot condone actions that disrespect the desks response:	the great men and women who are our upperclassmen once used!
context: That desk is not a chair!\Get off immediately!\It's not that big a deal, is it?\Wh?!\What's with those hands, anyway?\You people...\I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used! response:	You're too loud.
context: Get off immediately!\It's not that big a deal, is it?\Wh?!\What's with those hands, anyway?\You people...\I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used!\You're too loud. response:	Iida never wavers, does he?
context: It's not that big a deal, is it?\Wh?!\What's with those hands, anyway?\You people...\I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used!\You're too loud.\Iida never wavers, does he? response:	Hey, Uraraka, wanna grab a bite to eat sometime?
context: Wh?!\What's with those hands, anyway?\You people...\I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used!\You're too loud.\Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime? response:	What do you like?
context: What's with those hands, anyway?\You people...\I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used!\You're too loud.\Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like? response:	Mochi
context: You people...\I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used!\You're too loud.\Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like?\Mochi response:	Wait, Deku, she didn't heal your injuries?
context: I cannot condone actions that disrespect the desks\the great men and women who are our upperclassmen once used!\You're too loud.\Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like?\Mochi\Wait, Deku, she didn't heal your injuries? response:	Oh, uh, it's because of how much stamina I have, and...
context: the great men and women who are our upperclassmen once used!\You're too loud.\Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like?\Mochi\Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and... response:	Huh?
context: You're too loud.\Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like?\Mochi\Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and...\Huh? response:	Um, Uraraka... more importantly...
context: Iida never wavers, does he?\Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like?\Mochi\Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and...\Huh?\Um, Uraraka... more importantly... response:	We all tried to stop him,
context: Hey, Uraraka, wanna grab a bite to eat sometime?\What do you like?\Mochi\Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and...\Huh?\Um, Uraraka... more importantly...\We all tried to stop him, response:	but he went home just now without saying anything.
context: What do you like?\Mochi\Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and...\Huh?\Um, Uraraka... more importantly...\We all tried to stop him,\but he went home just now without saying anything. response:	Hey!
context: Mochi\Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and...\Huh?\Um, Uraraka... more importantly...\We all tried to stop him,\but he went home just now without saying anything.\Hey! response:	You tricked me, didn't you?!
context: Wait, Deku, she didn't heal your injuries?\Oh, uh, it's because of how much stamina I have, and...\Huh?\Um, Uraraka... more importantly...\We all tried to stop him,\but he went home just now without saying anything.\Hey!\You tricked me, didn't you?! response:	Was it fun tricking me all this time?!
context: Oh, uh, it's because of how much stamina I have, and...\Huh?\Um, Uraraka... more importantly...\We all tried to stop him,\but he went home just now without saying anything.\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?! response:	You have got a flashy Quirk there, don't you?!
context: Huh?\Um, Uraraka... more importantly...\We all tried to stop him,\but he went home just now without saying anything.\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?! response:	Kacchan!
context: Um, Uraraka... more importantly...\We all tried to stop him,\but he went home just now without saying anything.\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?!\Kacchan! response:	Kacchan!
context: We all tried to stop him,\but he went home just now without saying anything.\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?!\Kacchan!\Kacchan! response:	Huh?
context: but he went home just now without saying anything.\Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?!\Kacchan!\Kacchan!\Huh? response:	It's a secret I didn't even tell my mom.
context: Hey!\You tricked me, didn't you?!\Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?!\Kacchan!\Kacchan!\Huh?\It's a secret I didn't even tell my mom. response:	But...
context: You tricked me, didn't you?!\Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?!\Kacchan!\Kacchan!\Huh?\It's a secret I didn't even tell my mom.\But... response:	There's one thing...
context: Was it fun tricking me all this time?!\You have got a flashy Quirk there, don't you?!\Kacchan!\Kacchan!\Huh?\It's a secret I didn't even tell my mom.\But...\There's one thing... response:	My Quirk...
context: You have got a flashy Quirk there, don't you?!\Kacchan!\Kacchan!\Huh?\It's a secret I didn't even tell my mom.\But...\There's one thing...\My Quirk... response:	Huh?
context: Kacchan!\Kacchan!\Huh?\It's a secret I didn't even tell my mom.\But...\There's one thing...\My Quirk...\Huh? response:	I can't say who I got it from, though!
context: Kacchan!\Huh?\It's a secret I didn't even tell my mom.\But...\There's one thing...\My Quirk...\Huh?\I can't say who I got it from, though! response:	I won't say.
context: Huh?\It's a secret I didn't even tell my mom.\But...\There's one thing...\My Quirk...\Huh?\I can't say who I got it from, though!\I won't say. response:	But... it's like a story out of comic books, except it's true.
context: It's a secret I didn't even tell my mom.\But...\There's one thing...\My Quirk...\Huh?\I can't say who I got it from, though!\I won't say.\But... it's like a story out of comic books, except it's true. response:	On top of that, I still can't control it properly.
context: But...\There's one thing...\My Quirk...\Huh?\I can't say who I got it from, though!\I won't say.\But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly. response:	It's just a borrowed power that I haven't made my own yet.
context: There's one thing...\My Quirk...\Huh?\I can't say who I got it from, though!\I won't say.\But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet. response:	That's why...
context: My Quirk...\Huh?\I can't say who I got it from, though!\I won't say.\But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet.\That's why... response:	But in the end, I couldn't win and had to rely on it.
context: Huh?\I can't say who I got it from, though!\I won't say.\But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet.\That's why...\But in the end, I couldn't win and had to rely on it. response:	I've still got a long way to go...
context: I can't say who I got it from, though!\I won't say.\But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet.\That's why...\But in the end, I couldn't win and had to rely on it.\I've still got a long way to go... response:	That's why...
context: I won't say.\But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet.\That's why...\But in the end, I couldn't win and had to rely on it.\I've still got a long way to go...\That's why... response:	That's why...!
context: But... it's like a story out of comic books, except it's true.\On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet.\That's why...\But in the end, I couldn't win and had to rely on it.\I've still got a long way to go...\That's why...\That's why...! response:	One day...
context: On top of that, I still can't control it properly.\It's just a borrowed power that I haven't made my own yet.\That's why...\But in the end, I couldn't win and had to rely on it.\I've still got a long way to go...\That's why...\That's why...!\One day... response:	I just came to tell him I didn't trick him...
context: It's just a borrowed power that I haven't made my own yet.\That's why...\But in the end, I couldn't win and had to rely on it.\I've still got a long way to go...\That's why...\That's why...!\One day...\I just came to tell him I didn't trick him... response:	What am I...?
context: That's why...\But in the end, I couldn't win and had to rely on it.\I've still got a long way to go...\That's why...\That's why...!\One day...\I just came to tell him I didn't trick him...\What am I...? response:	What the hell is that?
