context: Any girl that goes to Altair either dies or transforms into a man. response:	And that means Mix?
context: I can't let someone I love leave me again...\Yes, go to the one you love.\And go also to the Wings of the Sun.\And you, fragmented one, wake up now.\Amata...\Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair?\I'll try. response:	No...
context: Yes, go to the one you love.\And go also to the Wings of the Sun.\And you, fragmented one, wake up now.\Amata...\Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair?\I'll try.\No... response:	This is the city where Mikono and I first met.
context: And go also to the Wings of the Sun.\And you, fragmented one, wake up now.\Amata...\Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair?\I'll try.\No...\This is the city where Mikono and I first met. response:	What happened here?
context: And you, fragmented one, wake up now.\Amata...\Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair?\I'll try.\No...\This is the city where Mikono and I first met.\What happened here? response:	Where is this?
context: Amata...\Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair?\I'll try.\No...\This is the city where Mikono and I first met.\What happened here?\Where is this? response:	The gap between light and darkness, as written in the Book of Genesis.
context: Vector Z's transmitter is off. We can't track it.\Cayenne, can you see where it is with the Prophecy of Despair?\I'll try.\No...\This is the city where Mikono and I first met.\What happened here?\Where is this?\The gap between light and darkness, as written in the Book of Genesis. response:	Cockpit's empty.
context: Cayenne, can you see where it is with the Prophecy of Despair?\I'll try.\No...\This is the city where Mikono and I first met.\What happened here?\Where is this?\The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty. response:	Where did Amata go?
context: I'll try.\No...\This is the city where Mikono and I first met.\What happened here?\Where is this?\The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty.\Where did Amata go? response:	The city where Amata and I first met.
context: No...\This is the city where Mikono and I first met.\What happened here?\Where is this?\The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty.\Where did Amata go?\The city where Amata and I first met. response:	And where we had our first Union.
context: This is the city where Mikono and I first met.\What happened here?\Where is this?\The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty.\Where did Amata go?\The city where Amata and I first met.\And where we had our first Union. response:	No one's here.
context: What happened here?\Where is this?\The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty.\Where did Amata go?\The city where Amata and I first met.\And where we had our first Union.\No one's here. response:	Where did they all go?
context: Where is this?\The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty.\Where did Amata go?\The city where Amata and I first met.\And where we had our first Union.\No one's here.\Where did they all go? response:	I'd heard it was locked down after that fight,
context: The gap between light and darkness, as written in the Book of Genesis.\Cockpit's empty.\Where did Amata go?\The city where Amata and I first met.\And where we had our first Union.\No one's here.\Where did they all go?\I'd heard it was locked down after that fight, response:	but I didn't know it was like this.
context: Cockpit's empty.\Where did Amata go?\The city where Amata and I first met.\And where we had our first Union.\No one's here.\Where did they all go?\I'd heard it was locked down after that fight,\but I didn't know it was like this. response:	Is Mikono here too?
context: Where did Amata go?\The city where Amata and I first met.\And where we had our first Union.\No one's here.\Where did they all go?\I'd heard it was locked down after that fight,\but I didn't know it was like this.\Is Mikono here too? response:	That's what my power says.
context: The city where Amata and I first met.\And where we had our first Union.\No one's here.\Where did they all go?\I'd heard it was locked down after that fight,\but I didn't know it was like this.\Is Mikono here too?\That's what my power says. response:	So you did come after Mikono, Amata...
context: And where we had our first Union.\No one's here.\Where did they all go?\I'd heard it was locked down after that fight,\but I didn't know it was like this.\Is Mikono here too?\That's what my power says.\So you did come after Mikono, Amata... response:	Let's split up and search.
context: No one's here.\Where did they all go?\I'd heard it was locked down after that fight,\but I didn't know it was like this.\Is Mikono here too?\That's what my power says.\So you did come after Mikono, Amata...\Let's split up and search. response:	Sir?
context: Where did they all go?\I'd heard it was locked down after that fight,\but I didn't know it was like this.\Is Mikono here too?\That's what my power says.\So you did come after Mikono, Amata...\Let's split up and search.\Sir? response:	What are these?
context: I'd heard it was locked down after that fight,\but I didn't know it was like this.\Is Mikono here too?\That's what my power says.\So you did come after Mikono, Amata...\Let's split up and search.\Sir?\What are these? response:	They aren't mine. Whose are they?
context: but I didn't know it was like this.\Is Mikono here too?\That's what my power says.\So you did come after Mikono, Amata...\Let's split up and search.\Sir?\What are these?\They aren't mine. Whose are they? response:	What am I supposed to do?
context: Is Mikono here too?\That's what my power says.\So you did come after Mikono, Amata...\Let's split up and search.\Sir?\What are these?\They aren't mine. Whose are they?\What am I supposed to do? response:	Why did Mikage send me here?
context: That's what my power says.\So you did come after Mikono, Amata...\Let's split up and search.\Sir?\What are these?\They aren't mine. Whose are they?\What am I supposed to do?\Why did Mikage send me here? response:	But it smells...
context: So you did come after Mikono, Amata...\Let's split up and search.\Sir?\What are these?\They aren't mine. Whose are they?\What am I supposed to do?\Why did Mikage send me here?\But it smells... response:	I'm sure I was here, a long time ago.
context: Let's split up and search.\Sir?\What are these?\They aren't mine. Whose are they?\What am I supposed to do?\Why did Mikage send me here?\But it smells...\I'm sure I was here, a long time ago. response:	Amata...
context: Sir?\What are these?\They aren't mine. Whose are they?\What am I supposed to do?\Why did Mikage send me here?\But it smells...\I'm sure I was here, a long time ago.\Amata... response:	Amata...
context: What are these?\They aren't mine. Whose are they?\What am I supposed to do?\Why did Mikage send me here?\But it smells...\I'm sure I was here, a long time ago.\Amata...\Amata... response:	Amata...
context: They aren't mine. Whose are they?\What am I supposed to do?\Why did Mikage send me here?\But it smells...\I'm sure I was here, a long time ago.\Amata...\Amata...\Amata... response:	You've finally unlocked those suppressed memories.
context: What am I supposed to do?\Why did Mikage send me here?\But it smells...\I'm sure I was here, a long time ago.\Amata...\Amata...\Amata...\You've finally unlocked those suppressed memories. response:	Skies of Aquaria?
context: Why did Mikage send me here?\But it smells...\I'm sure I was here, a long time ago.\Amata...\Amata...\Amata...\You've finally unlocked those suppressed memories.\Skies of Aquaria? response:	Mikono...
context: But it smells...\I'm sure I was here, a long time ago.\Amata...\Amata...\Amata...\You've finally unlocked those suppressed memories.\Skies of Aquaria?\Mikono... response:	Mikono!
context: I'm sure I was here, a long time ago.\Amata...\Amata...\Amata...\You've finally unlocked those suppressed memories.\Skies of Aquaria?\Mikono...\Mikono! response:	Amata!
context: Amata...\Amata...\Amata...\You've finally unlocked those suppressed memories.\Skies of Aquaria?\Mikono...\Mikono!\Amata! response:	Zessica? What are you doing here?
context: Amata...\Amata...\You've finally unlocked those suppressed memories.\Skies of Aquaria?\Mikono...\Mikono!\Amata!\Zessica? What are you doing here? response:	I came to get you, Amata.
context: Amata...\You've finally unlocked those suppressed memories.\Skies of Aquaria?\Mikono...\Mikono!\Amata!\Zessica? What are you doing here?\I came to get you, Amata. response:	I mean, Chairman Crea ordered us.
context: You've finally unlocked those suppressed memories.\Skies of Aquaria?\Mikono...\Mikono!\Amata!\Zessica? What are you doing here?\I came to get you, Amata.\I mean, Chairman Crea ordered us. response:	Me and Cayenne.
context: Skies of Aquaria?\Mikono...\Mikono!\Amata!\Zessica? What are you doing here?\I came to get you, Amata.\I mean, Chairman Crea ordered us.\Me and Cayenne. response:	Sorry. It's my fault for going against orders.
context: Mikono...\Mikono!\Amata!\Zessica? What are you doing here?\I came to get you, Amata.\I mean, Chairman Crea ordered us.\Me and Cayenne.\Sorry. It's my fault for going against orders. response:	This whole town is locked down, so everyone was evacuated.
context: Mikono!\Amata!\Zessica? What are you doing here?\I came to get you, Amata.\I mean, Chairman Crea ordered us.\Me and Cayenne.\Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated. response:	So that's why there's no one left.
context: Amata!\Zessica? What are you doing here?\I came to get you, Amata.\I mean, Chairman Crea ordered us.\Me and Cayenne.\Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated.\So that's why there's no one left. response:	How come you had to come here so badly? You even disobeyed orders.
context: Zessica? What are you doing here?\I came to get you, Amata.\I mean, Chairman Crea ordered us.\Me and Cayenne.\Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated.\So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders. response:	I don't know... but...
context: I came to get you, Amata.\I mean, Chairman Crea ordered us.\Me and Cayenne.\Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated.\So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders.\I don't know... but... response:	But what?
context: I mean, Chairman Crea ordered us.\Me and Cayenne.\Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated.\So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders.\I don't know... but...\But what? response:	I felt like Mikono was calling for me.
context: Me and Cayenne.\Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated.\So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders.\I don't know... but...\But what?\I felt like Mikono was calling for me. response:	I'll be waiting for you.
context: Sorry. It's my fault for going against orders.\This whole town is locked down, so everyone was evacuated.\So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders.\I don't know... but...\But what?\I felt like Mikono was calling for me.\I'll be waiting for you. response:	Even if I have to wait for 12,000 years.
context: This whole town is locked down, so everyone was evacuated.\So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders.\I don't know... but...\But what?\I felt like Mikono was calling for me.\I'll be waiting for you.\Even if I have to wait for 12,000 years. response:	Amata, you used to work in this theater, right?
context: So that's why there's no one left.\How come you had to come here so badly? You even disobeyed orders.\I don't know... but...\But what?\I felt like Mikono was calling for me.\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right? response:	And this is where you met Mikono?
context: How come you had to come here so badly? You even disobeyed orders.\I don't know... but...\But what?\I felt like Mikono was calling for me.\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right?\And this is where you met Mikono? response:	Zessica?
context: I don't know... but...\But what?\I felt like Mikono was calling for me.\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right?\And this is where you met Mikono?\Zessica? response:	Amata...
context: But what?\I felt like Mikono was calling for me.\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right?\And this is where you met Mikono?\Zessica?\Amata... response:	Next time...
context: I felt like Mikono was calling for me.\I'll be waiting for you.\Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right?\And this is where you met Mikono?\Zessica?\Amata...\Next time... response:	After the next 12,000 years... I...
context: I'll be waiting for you.\Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right?\And this is where you met Mikono?\Zessica?\Amata...\Next time...\After the next 12,000 years... I... response:	It is not the place of you humans to write your own false tales.
context: Even if I have to wait for 12,000 years.\Amata, you used to work in this theater, right?\And this is where you met Mikono?\Zessica?\Amata...\Next time...\After the next 12,000 years... I...\It is not the place of you humans to write your own false tales. response:	Not when a true legend is about to come to pass again!
context: Amata, you used to work in this theater, right?\And this is where you met Mikono?\Zessica?\Amata...\Next time...\After the next 12,000 years... I...\It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again! response:	Zessica!
context: And this is where you met Mikono?\Zessica?\Amata...\Next time...\After the next 12,000 years... I...\It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again!\Zessica! response:	Run! This way!
context: Zessica?\Amata...\Next time...\After the next 12,000 years... I...\It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again!\Zessica!\Run! This way! response:	What's the matter? Come on!
context: Amata...\Next time...\After the next 12,000 years... I...\It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again!\Zessica!\Run! This way!\What's the matter? Come on! response:	Run, little beasts of love, run.
context: Next time...\After the next 12,000 years... I...\It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again!\Zessica!\Run! This way!\What's the matter? Come on!\Run, little beasts of love, run. response:	Run to the promised land!
context: After the next 12,000 years... I...\It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again!\Zessica!\Run! This way!\What's the matter? Come on!\Run, little beasts of love, run.\Run to the promised land! response:	Amata!
context: It is not the place of you humans to write your own false tales.\Not when a true legend is about to come to pass again!\Zessica!\Run! This way!\What's the matter? Come on!\Run, little beasts of love, run.\Run to the promised land!\Amata! response:	Zessica!
context: Not when a true legend is about to come to pass again!\Zessica!\Run! This way!\What's the matter? Come on!\Run, little beasts of love, run.\Run to the promised land!\Amata!\Zessica! response:	Zessica!
context: Zessica!\Run! This way!\What's the matter? Come on!\Run, little beasts of love, run.\Run to the promised land!\Amata!\Zessica!\Zessica! response:	Ugh!
context: Run! This way!\What's the matter? Come on!\Run, little beasts of love, run.\Run to the promised land!\Amata!\Zessica!\Zessica!\Ugh! response:	Stop. I'm not getting out.
context: What's the matter? Come on!\Run, little beasts of love, run.\Run to the promised land!\Amata!\Zessica!\Zessica!\Ugh!\Stop. I'm not getting out. response:	You don't know that!
context: Run, little beasts of love, run.\Run to the promised land!\Amata!\Zessica!\Zessica!\Ugh!\Stop. I'm not getting out.\You don't know that! response:	Forget about me! Just go!
context: Run to the promised land!\Amata!\Zessica!\Zessica!\Ugh!\Stop. I'm not getting out.\You don't know that!\Forget about me! Just go! response:	Never! I won't leave you behind!
context: Amata!\Zessica!\Zessica!\Ugh!\Stop. I'm not getting out.\You don't know that!\Forget about me! Just go!\Never! I won't leave you behind! response:	Amata...
context: Zessica!\Zessica!\Ugh!\Stop. I'm not getting out.\You don't know that!\Forget about me! Just go!\Never! I won't leave you behind!\Amata... response:	Thank you, Amata.
context: Zessica!\Ugh!\Stop. I'm not getting out.\You don't know that!\Forget about me! Just go!\Never! I won't leave you behind!\Amata...\Thank you, Amata. response:	Zessica! No!
context: Ugh!\Stop. I'm not getting out.\You don't know that!\Forget about me! Just go!\Never! I won't leave you behind!\Amata...\Thank you, Amata.\Zessica! No! response:	Zessica!
context: Stop. I'm not getting out.\You don't know that!\Forget about me! Just go!\Never! I won't leave you behind!\Amata...\Thank you, Amata.\Zessica! No!\Zessica! response:	We've been looking for you, Amata!
context: You don't know that!\Forget about me! Just go!\Never! I won't leave you behind!\Amata...\Thank you, Amata.\Zessica! No!\Zessica!\We've been looking for you, Amata! response:	We're here, Cayenne!
context: Forget about me! Just go!\Never! I won't leave you behind!\Amata...\Thank you, Amata.\Zessica! No!\Zessica!\We've been looking for you, Amata!\We're here, Cayenne! response:	Sazanka!
context: Never! I won't leave you behind!\Amata...\Thank you, Amata.\Zessica! No!\Zessica!\We've been looking for you, Amata!\We're here, Cayenne!\Sazanka! response:	Vector Y... who's in it?
context: Amata...\Thank you, Amata.\Zessica! No!\Zessica!\We've been looking for you, Amata!\We're here, Cayenne!\Sazanka!\Vector Y... who's in it? response:	You said when I finished the piece, you would play it with me, my friend.
context: Thank you, Amata.\Zessica! No!\Zessica!\We've been looking for you, Amata!\We're here, Cayenne!\Sazanka!\Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend. response:	Cut it out! You can't Union in your condition!
context: Zessica! No!\Zessica!\We've been looking for you, Amata!\We're here, Cayenne!\Sazanka!\Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition! response:	There's no time for that!
context: Zessica!\We've been looking for you, Amata!\We're here, Cayenne!\Sazanka!\Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition!\There's no time for that! response:	Come!
context: We've been looking for you, Amata!\We're here, Cayenne!\Sazanka!\Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition!\There's no time for that!\Come! response:	Risky Union!
context: We're here, Cayenne!\Sazanka!\Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition!\There's no time for that!\Come!\Risky Union! response:	Go, Aquarion!
context: Sazanka!\Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition!\There's no time for that!\Come!\Risky Union!\Go, Aquarion! response:	Shrade, why...
context: Vector Y... who's in it?\You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition!\There's no time for that!\Come!\Risky Union!\Go, Aquarion!\Shrade, why... response:	Thank you, my friend.
context: You said when I finished the piece, you would play it with me, my friend.\Cut it out! You can't Union in your condition!\There's no time for that!\Come!\Risky Union!\Go, Aquarion!\Shrade, why...\Thank you, my friend. response:	This is so rotten!
context: Cut it out! You can't Union in your condition!\There's no time for that!\Come!\Risky Union!\Go, Aquarion!\Shrade, why...\Thank you, my friend.\This is so rotten! response:	Aquarion Spada!
context: There's no time for that!\Come!\Risky Union!\Go, Aquarion!\Shrade, why...\Thank you, my friend.\This is so rotten!\Aquarion Spada! response:	Found you, Amata, you pathetic wimp.
context: Come!\Risky Union!\Go, Aquarion!\Shrade, why...\Thank you, my friend.\This is so rotten!\Aquarion Spada!\Found you, Amata, you pathetic wimp. response:	Your...
context: Risky Union!\Go, Aquarion!\Shrade, why...\Thank you, my friend.\This is so rotten!\Aquarion Spada!\Found you, Amata, you pathetic wimp.\Your... response:	The Wings of the Sun are soon to awaken.
context: Go, Aquarion!\Shrade, why...\Thank you, my friend.\This is so rotten!\Aquarion Spada!\Found you, Amata, you pathetic wimp.\Your...\The Wings of the Sun are soon to awaken. response:	I have to say I'm sorry...
context: Shrade, why...\Thank you, my friend.\This is so rotten!\Aquarion Spada!\Found you, Amata, you pathetic wimp.\Your...\The Wings of the Sun are soon to awaken.\I have to say I'm sorry... response:	What I did to you... please, forgive me...
context: Thank you, my friend.\This is so rotten!\Aquarion Spada!\Found you, Amata, you pathetic wimp.\Your...\The Wings of the Sun are soon to awaken.\I have to say I'm sorry...\What I did to you... please, forgive me... response:	You... you saw it.
context: This is so rotten!\Aquarion Spada!\Found you, Amata, you pathetic wimp.\Your...\The Wings of the Sun are soon to awaken.\I have to say I'm sorry...\What I did to you... please, forgive me...\You... you saw it. response:	Yeah. I didn't think it was real.
context: Aquarion Spada!\Found you, Amata, you pathetic wimp.\Your...\The Wings of the Sun are soon to awaken.\I have to say I'm sorry...\What I did to you... please, forgive me...\You... you saw it.\Yeah. I didn't think it was real. response:	And I saw Amata, pathetically unable to do a thing about it.
context: Found you, Amata, you pathetic wimp.\Your...\The Wings of the Sun are soon to awaken.\I have to say I'm sorry...\What I did to you... please, forgive me...\You... you saw it.\Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it. response:	So you're...
context: Your...\The Wings of the Sun are soon to awaken.\I have to say I'm sorry...\What I did to you... please, forgive me...\You... you saw it.\Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it.\So you're... response:	Yeah.
context: The Wings of the Sun are soon to awaken.\I have to say I'm sorry...\What I did to you... please, forgive me...\You... you saw it.\Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it.\So you're...\Yeah. response:	You're me.
context: I have to say I'm sorry...\What I did to you... please, forgive me...\You... you saw it.\Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it.\So you're...\Yeah.\You're me. response:	I think maybe Kagura is a little wrong about girls.
context: What I did to you... please, forgive me...\You... you saw it.\Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it.\So you're...\Yeah.\You're me.\I think maybe Kagura is a little wrong about girls. response:	Loving someone is supposed to be more kind and gentle.
context: You... you saw it.\Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it.\So you're...\Yeah.\You're me.\I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle. response:	Oh, no!
context: Yeah. I didn't think it was real.\And I saw Amata, pathetically unable to do a thing about it.\So you're...\Yeah.\You're me.\I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle.\Oh, no! response:	Kiss
context: And I saw Amata, pathetically unable to do a thing about it.\So you're...\Yeah.\You're me.\I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle.\Oh, no!\Kiss response:	zetsubouteki ni kimi wa kirei sa
context: So you're...\Yeah.\You're me.\I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle.\Oh, no!\Kiss\zetsubouteki ni kimi wa kirei sa response:	hanten suru sekai no kattou ni aishiaou
context: Yeah.\You're me.\I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle.\Oh, no!\Kiss\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou response:	bokura ga miteru sekai wa itsudemo sakasama de
context: You're me.\I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle.\Oh, no!\Kiss\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de response:	doushiyou mo nai koto de taigai kimatteku
context: I think maybe Kagura is a little wrong about girls.\Loving someone is supposed to be more kind and gentle.\Oh, no!\Kiss\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku response:	namida suru hodo kizu tsuku hitomi
context: Loving someone is supposed to be more kind and gentle.\Oh, no!\Kiss\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi response:	kokoro de sakebi nagara
context: Oh, no!\Kiss\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara response:	tada atteitai saigo no futari masarenai mama
context: Kiss\zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama response:	byouyomi ga kikoetekuru
context: zetsubouteki ni kimi wa kirei sa\hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru response:	zetsubouteki ni kimi wa kirei sa
context: hanten suru sekai no kattou ni aishiaou\bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa response:	sutareyuku doubutsu mitai ni aishiaou
context: bokura ga miteru sekai wa itsudemo sakasama de\doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou response:	nakitai kurai kimi wa kirei sa
context: doushiyou mo nai koto de taigai kimatteku\namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa response:	hanten suru sekai no kattou ni kanjitai yo
context: namida suru hodo kizu tsuku hitomi\kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo response:	You're so beautiful it's depressing
context: kokoro de sakebi nagara\tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing response:	Let's love one another amidst the chaos in this backwards world
context: tada atteitai saigo no futari masarenai mama\byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world response:	This world of ours moves in reverse
context: byouyomi ga kikoetekuru\zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse response:	controlled by forces we can't even touch
context: zetsubouteki ni kimi wa kirei sa\sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch response:	There is pain in your eyes so deep I want to cry
context: sutareyuku doubutsu mitai ni aishiaou\nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry response:	Screaming from my heart
context: nakitai kurai kimi wa kirei sa\hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart response:	The last couple who desire each other cannot be together
context: hanten suru sekai no kattou ni kanjitai yo\You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together response:	And time is running out
context: You're so beautiful it's depressing\Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out response:	You're so beautiful it's depressing
context: Let's love one another amidst the chaos in this backwards world\This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing response:	Let's love one another like abandoned animals
context: This world of ours moves in reverse\controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals response:	You're so beautiful I want to cry
context: controlled by forces we can't even touch\There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry response:	Let's love one another amidst the chaos in this backwards world
context: There is pain in your eyes so deep I want to cry\Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world response:	kimi he tsuzuku sakamichi ni
context: Screaming from my heart\The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni response:	shiroi hana ga saiteta
context: The last couple who desire each other cannot be together\And time is running out\You're so beautiful it's depressing\Let's love one another like abandoned animals\You're so beautiful I want to cry\Let's love one another amidst the chaos in this backwards world\kimi he tsuzuku sakamichi ni\shiroi hana ga saiteta response:	yume kara sameta ato mo kanashii sora miteta
