context: Board: Zange-chan Original CD Debut!! response:	TL-Note: In Buddhism, 49 days is the time it takes for a soul to reborn again into a new life.
context: Everyday was fun!\Nagi!\Nagi...\What do you mean, you were lying to me?\You didn't mean to lie, am I right?\You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me. response:	Because you don't know anything and you're afraid.
context: Nagi!\Nagi...\What do you mean, you were lying to me?\You didn't mean to lie, am I right?\You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid. response:	But who cares about all those?
context: Nagi...\What do you mean, you were lying to me?\You didn't mean to lie, am I right?\You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid.\But who cares about all those? response:	I believe that you're a god!
context: What do you mean, you were lying to me?\You didn't mean to lie, am I right?\You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid.\But who cares about all those?\I believe that you're a god! response:	Even if you can't remember, I've met you before when I was a child!
context: You didn't mean to lie, am I right?\You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid.\But who cares about all those?\I believe that you're a god!\Even if you can't remember, I've met you before when I was a child! response:	I've come so far because I hold those memories close to my heart.
context: You don't even understand yourself, right?\You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid.\But who cares about all those?\I believe that you're a god!\Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart. response:	I think I am...
context: You don't know about the impurities, or why you have memory lapses!\You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid.\But who cares about all those?\I believe that you're a god!\Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart.\I think I am... response:	But I can't substantiate it!
context: You don't know anything, and you tried to keep it from me.\Because you don't know anything and you're afraid.\But who cares about all those?\I believe that you're a god!\Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart.\I think I am...\But I can't substantiate it! response:	My sense of self that's supporting me is lacking!
context: Because you don't know anything and you're afraid.\But who cares about all those?\I believe that you're a god!\Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart.\I think I am...\But I can't substantiate it!\My sense of self that's supporting me is lacking! response:	Ambiguous? Inadequate?
context: But who cares about all those?\I believe that you're a god!\Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart.\I think I am...\But I can't substantiate it!\My sense of self that's supporting me is lacking!\Ambiguous? Inadequate? response:	I don't know!
context: I believe that you're a god!\Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart.\I think I am...\But I can't substantiate it!\My sense of self that's supporting me is lacking!\Ambiguous? Inadequate?\I don't know! response:	What is this... fragile sense of self?
context: Even if you can't remember, I've met you before when I was a child!\I've come so far because I hold those memories close to my heart.\I think I am...\But I can't substantiate it!\My sense of self that's supporting me is lacking!\Ambiguous? Inadequate?\I don't know!\What is this... fragile sense of self? response:	Yet I had the cheek to maintain my pride for so long...
context: I've come so far because I hold those memories close to my heart.\I think I am...\But I can't substantiate it!\My sense of self that's supporting me is lacking!\Ambiguous? Inadequate?\I don't know!\What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long... response:	That's why we should look for it.
context: I think I am...\But I can't substantiate it!\My sense of self that's supporting me is lacking!\Ambiguous? Inadequate?\I don't know!\What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long...\That's why we should look for it. response:	I'll be seeing you even if you go into memory lapses.
context: But I can't substantiate it!\My sense of self that's supporting me is lacking!\Ambiguous? Inadequate?\I don't know!\What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long...\That's why we should look for it.\I'll be seeing you even if you go into memory lapses. response:	Together, we can find the answer.
context: My sense of self that's supporting me is lacking!\Ambiguous? Inadequate?\I don't know!\What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long...\That's why we should look for it.\I'll be seeing you even if you go into memory lapses.\Together, we can find the answer. response:	Let's look for it together, Nagi!
context: Ambiguous? Inadequate?\I don't know!\What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long...\That's why we should look for it.\I'll be seeing you even if you go into memory lapses.\Together, we can find the answer.\Let's look for it together, Nagi! response:	Let's find the true cause of your uneasiness!
context: I don't know!\What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long...\That's why we should look for it.\I'll be seeing you even if you go into memory lapses.\Together, we can find the answer.\Let's look for it together, Nagi!\Let's find the true cause of your uneasiness! response:	Here.
context: What is this... fragile sense of self?\Yet I had the cheek to maintain my pride for so long...\That's why we should look for it.\I'll be seeing you even if you go into memory lapses.\Together, we can find the answer.\Let's look for it together, Nagi!\Let's find the true cause of your uneasiness!\Here. response:	Wipe your nose.
context: Yet I had the cheek to maintain my pride for so long...\That's why we should look for it.\I'll be seeing you even if you go into memory lapses.\Together, we can find the answer.\Let's look for it together, Nagi!\Let's find the true cause of your uneasiness!\Here.\Wipe your nose. response:	I'm ashamed...
context: That's why we should look for it.\I'll be seeing you even if you go into memory lapses.\Together, we can find the answer.\Let's look for it together, Nagi!\Let's find the true cause of your uneasiness!\Here.\Wipe your nose.\I'm ashamed... response:	Thank goodness.
context: I'll be seeing you even if you go into memory lapses.\Together, we can find the answer.\Let's look for it together, Nagi!\Let's find the true cause of your uneasiness!\Here.\Wipe your nose.\I'm ashamed...\Thank goodness. response:	I see that you found your family.
context: Together, we can find the answer.\Let's look for it together, Nagi!\Let's find the true cause of your uneasiness!\Here.\Wipe your nose.\I'm ashamed...\Thank goodness.\I see that you found your family. response:	Shige.
context: Let's look for it together, Nagi!\Let's find the true cause of your uneasiness!\Here.\Wipe your nose.\I'm ashamed...\Thank goodness.\I see that you found your family.\Shige. response:	Oh my!
context: Let's find the true cause of your uneasiness!\Here.\Wipe your nose.\I'm ashamed...\Thank goodness.\I see that you found your family.\Shige.\Oh my! response:	You're...
context: Here.\Wipe your nose.\I'm ashamed...\Thank goodness.\I see that you found your family.\Shige.\Oh my!\You're... response:	What strange fate!
context: Wipe your nose.\I'm ashamed...\Thank goodness.\I see that you found your family.\Shige.\Oh my!\You're...\What strange fate! response:	I can tell you more if you wish. How about it?
context: I'm ashamed...\Thank goodness.\I see that you found your family.\Shige.\Oh my!\You're...\What strange fate!\I can tell you more if you wish. How about it? response:	That road was where the portable Shinto shrine passed through.
context: Thank goodness.\I see that you found your family.\Shige.\Oh my!\You're...\What strange fate!\I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through. response:	It's around the place where the apartments were built.
context: I see that you found your family.\Shige.\Oh my!\You're...\What strange fate!\I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built. response:	Can you remember, Kannagi-sama?
context: Shige.\Oh my!\You're...\What strange fate!\I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built.\Can you remember, Kannagi-sama? response:	On both sides were our field.
context: Oh my!\You're...\What strange fate!\I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built.\Can you remember, Kannagi-sama?\On both sides were our field. response:	During spring, the field of rape blossoms was a sight to behold.
context: You're...\What strange fate!\I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built.\Can you remember, Kannagi-sama?\On both sides were our field.\During spring, the field of rape blossoms was a sight to behold. response:	Next to it was a field of Chinese milk vetches.
context: What strange fate!\I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built.\Can you remember, Kannagi-sama?\On both sides were our field.\During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches. response:	Those were hard times.
context: I can tell you more if you wish. How about it?\That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built.\Can you remember, Kannagi-sama?\On both sides were our field.\During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches.\Those were hard times. response:	My husband went to war; my children and I were left behind.
context: That road was where the portable Shinto shrine passed through.\It's around the place where the apartments were built.\Can you remember, Kannagi-sama?\On both sides were our field.\During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches.\Those were hard times.\My husband went to war; my children and I were left behind. response:	Oh, that's right. It was I who hung myself.
context: It's around the place where the apartments were built.\Can you remember, Kannagi-sama?\On both sides were our field.\During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches.\Those were hard times.\My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself. response:	I heard that my husband died in battle in the southern countries.
context: Can you remember, Kannagi-sama?\On both sides were our field.\During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches.\Those were hard times.\My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries. response:	That made me lose myself.
context: On both sides were our field.\During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches.\Those were hard times.\My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries.\That made me lose myself. response:	I already had children, and yet...
context: During spring, the field of rape blossoms was a sight to behold.\Next to it was a field of Chinese milk vetches.\Those were hard times.\My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries.\That made me lose myself.\I already had children, and yet... response:	Back then, there were many people like that.
context: Next to it was a field of Chinese milk vetches.\Those were hard times.\My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries.\That made me lose myself.\I already had children, and yet...\Back then, there were many people like that. response:	But the land deity here could not allow anyone to throw their lives away.
context: Those were hard times.\My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries.\That made me lose myself.\I already had children, and yet...\Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away. response:	I tied a rope to that tree, but the branch broke.
context: My husband went to war; my children and I were left behind.\Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries.\That made me lose myself.\I already had children, and yet...\Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke. response:	Even though its thickness was such that it shouldn't have.
context: Oh, that's right. It was I who hung myself.\I heard that my husband died in battle in the southern countries.\That made me lose myself.\I already had children, and yet...\Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have. response:	I've always believed that you were watching over me.
context: I heard that my husband died in battle in the southern countries.\That made me lose myself.\I already had children, and yet...\Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me. response:	I was really happy that you came for me.
context: That made me lose myself.\I already had children, and yet...\Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me.\I was really happy that you came for me. response:	I was relieved.
context: I already had children, and yet...\Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me.\I was really happy that you came for me.\I was relieved. response:	That has to be the second time I saw you.
context: Back then, there were many people like that.\But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me.\I was really happy that you came for me.\I was relieved.\That has to be the second time I saw you. response:	The first time was when I was born.
context: But the land deity here could not allow anyone to throw their lives away.\I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me.\I was really happy that you came for me.\I was relieved.\That has to be the second time I saw you.\The first time was when I was born. response:	You are the chime that signals life, and death.
context: I tied a rope to that tree, but the branch broke.\Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me.\I was really happy that you came for me.\I was relieved.\That has to be the second time I saw you.\The first time was when I was born.\You are the chime that signals life, and death. response:	I've always had the feeling that I can meet you at the entrance and exit of the stage of life.
context: Even though its thickness was such that it shouldn't have.\I've always believed that you were watching over me.\I was really happy that you came for me.\I was relieved.\That has to be the second time I saw you.\The first time was when I was born.\You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life. response:	I plan to take things at my own pace for these 49 days.
context: I've always believed that you were watching over me.\I was really happy that you came for me.\I was relieved.\That has to be the second time I saw you.\The first time was when I was born.\You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days. response:	See you again on the day of departure, Kannagi-sama.
context: I was really happy that you came for me.\I was relieved.\That has to be the second time I saw you.\The first time was when I was born.\You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama. response:	Nagi, that woman...
context: I was relieved.\That has to be the second time I saw you.\The first time was when I was born.\You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama.\Nagi, that woman... response:	The first family of my followers.
context: That has to be the second time I saw you.\The first time was when I was born.\You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama.\Nagi, that woman...\The first family of my followers. response:	The god-protector, the family of Kamimori.
context: The first time was when I was born.\You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama.\Nagi, that woman...\The first family of my followers.\The god-protector, the family of Kamimori. response:	That was hard to understand...
context: You are the chime that signals life, and death.\I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama.\Nagi, that woman...\The first family of my followers.\The god-protector, the family of Kamimori.\That was hard to understand... response:	You didn't understand, huh?
context: I've always had the feeling that I can meet you at the entrance and exit of the stage of life.\I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama.\Nagi, that woman...\The first family of my followers.\The god-protector, the family of Kamimori.\That was hard to understand...\You didn't understand, huh? response:	Jin.
context: I plan to take things at my own pace for these 49 days.\See you again on the day of departure, Kannagi-sama.\Nagi, that woman...\The first family of my followers.\The god-protector, the family of Kamimori.\That was hard to understand...\You didn't understand, huh?\Jin. response:	Is it all right for me to call myself a god?
context: See you again on the day of departure, Kannagi-sama.\Nagi, that woman...\The first family of my followers.\The god-protector, the family of Kamimori.\That was hard to understand...\You didn't understand, huh?\Jin.\Is it all right for me to call myself a god? response:	Shige said those things to me.
context: Nagi, that woman...\The first family of my followers.\The god-protector, the family of Kamimori.\That was hard to understand...\You didn't understand, huh?\Jin.\Is it all right for me to call myself a god?\Shige said those things to me. response:	My memories are murky.
context: The first family of my followers.\The god-protector, the family of Kamimori.\That was hard to understand...\You didn't understand, huh?\Jin.\Is it all right for me to call myself a god?\Shige said those things to me.\My memories are murky. response:	Most likely, I appeared before her when I lost my consciousness...
context: The god-protector, the family of Kamimori.\That was hard to understand...\You didn't understand, huh?\Jin.\Is it all right for me to call myself a god?\Shige said those things to me.\My memories are murky.\Most likely, I appeared before her when I lost my consciousness... response:	Such an ambiguous sense of self... I...
context: That was hard to understand...\You didn't understand, huh?\Jin.\Is it all right for me to call myself a god?\Shige said those things to me.\My memories are murky.\Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I... response:	Everything will be fine, Nagi!
context: You didn't understand, huh?\Jin.\Is it all right for me to call myself a god?\Shige said those things to me.\My memories are murky.\Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I...\Everything will be fine, Nagi! response:	Didn't you say just now that you remembered what happened in the past?
context: Jin.\Is it all right for me to call myself a god?\Shige said those things to me.\My memories are murky.\Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I...\Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past? response:	Even I don't know much about myself yet.
context: Is it all right for me to call myself a god?\Shige said those things to me.\My memories are murky.\Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I...\Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet. response:	But I think we just have to search and ponder.
context: Shige said those things to me.\My memories are murky.\Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I...\Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet.\But I think we just have to search and ponder. response:	I'm sure we'll find some hints.
context: My memories are murky.\Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I...\Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet.\But I think we just have to search and ponder.\I'm sure we'll find some hints. response:	Let's rack our brains together.
context: Most likely, I appeared before her when I lost my consciousness...\Such an ambiguous sense of self... I...\Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet.\But I think we just have to search and ponder.\I'm sure we'll find some hints.\Let's rack our brains together. response:	Okay?
context: Such an ambiguous sense of self... I...\Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet.\But I think we just have to search and ponder.\I'm sure we'll find some hints.\Let's rack our brains together.\Okay? response:	I'm back.
context: Everything will be fine, Nagi!\Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet.\But I think we just have to search and ponder.\I'm sure we'll find some hints.\Let's rack our brains together.\Okay?\I'm back. response:	Replaying messages.
context: Didn't you say just now that you remembered what happened in the past?\Even I don't know much about myself yet.\But I think we just have to search and ponder.\I'm sure we'll find some hints.\Let's rack our brains together.\Okay?\I'm back.\Replaying messages. response:	Mikuriya! I saw the message board!
context: Even I don't know much about myself yet.\But I think we just have to search and ponder.\I'm sure we'll find some hints.\Let's rack our brains together.\Okay?\I'm back.\Replaying messages.\Mikuriya! I saw the message board! response:	So what on earth happened between you and Nagi-sama?
context: But I think we just have to search and ponder.\I'm sure we'll find some hints.\Let's rack our brains together.\Okay?\I'm back.\Replaying messages.\Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama? response:	You'd better tell me tomorrow!
context: I'm sure we'll find some hints.\Let's rack our brains together.\Okay?\I'm back.\Replaying messages.\Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow! response:	Shino, say something too!
context: Let's rack our brains together.\Okay?\I'm back.\Replaying messages.\Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow!\Shino, say something too! response:	Don't go too far with your fights and make-ups.
context: Okay?\I'm back.\Replaying messages.\Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow!\Shino, say something too!\Don't go too far with your fights and make-ups. response:	Bye, Nagi-sama! See you tomorrow!
context: I'm back.\Replaying messages.\Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow!\Shino, say something too!\Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow! response:	Hello, it's me.
context: Replaying messages.\Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow!\Shino, say something too!\Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow!\Hello, it's me. response:	I'll bring the videos tomorrow. Tell Nagi-san for me, okay?
context: Mikuriya! I saw the message board!\So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow!\Shino, say something too!\Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow!\Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay? response:	I'll call again.
context: So what on earth happened between you and Nagi-sama?\You'd better tell me tomorrow!\Shino, say something too!\Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow!\Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again. response:	I'll call again.
context: You'd better tell me tomorrow!\Shino, say something too!\Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow!\Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again.\I'll call again. response:	Why's my timing...
context: Shino, say something too!\Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow!\Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again.\I'll call again.\Why's my timing... response:	Well, I can just tell you in person tomorrow.
context: Don't go too far with your fights and make-ups.\Bye, Nagi-sama! See you tomorrow!\Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again.\I'll call again.\Why's my timing...\Well, I can just tell you in person tomorrow. response:	Anyway, tell Nagi-san-
context: Bye, Nagi-sama! See you tomorrow!\Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again.\I'll call again.\Why's my timing...\Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san- response:	Everyone was worried about you.
context: Hello, it's me.\I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again.\I'll call again.\Why's my timing...\Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san-\Everyone was worried about you. response:	I'll apologize tomorrow at school.
context: I'll bring the videos tomorrow. Tell Nagi-san for me, okay?\I'll call again.\I'll call again.\Why's my timing...\Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san-\Everyone was worried about you.\I'll apologize tomorrow at school. response:	Yup. At school.
context: I'll call again.\I'll call again.\Why's my timing...\Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san-\Everyone was worried about you.\I'll apologize tomorrow at school.\Yup. At school. response:	Jin, I'm going to take a bath.
context: I'll call again.\Why's my timing...\Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san-\Everyone was worried about you.\I'll apologize tomorrow at school.\Yup. At school.\Jin, I'm going to take a bath. response:	Okay...
context: Why's my timing...\Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san-\Everyone was worried about you.\I'll apologize tomorrow at school.\Yup. At school.\Jin, I'm going to take a bath.\Okay... response:	Umm... Jin.
context: Well, I can just tell you in person tomorrow.\Anyway, tell Nagi-san-\Everyone was worried about you.\I'll apologize tomorrow at school.\Yup. At school.\Jin, I'm going to take a bath.\Okay...\Umm... Jin. response:	Thank you.
context: Anyway, tell Nagi-san-\Everyone was worried about you.\I'll apologize tomorrow at school.\Yup. At school.\Jin, I'm going to take a bath.\Okay...\Umm... Jin.\Thank you. response:	It's nothing.
context: Everyone was worried about you.\I'll apologize tomorrow at school.\Yup. At school.\Jin, I'm going to take a bath.\Okay...\Umm... Jin.\Thank you.\It's nothing. response:	What was that?
context: I'll apologize tomorrow at school.\Yup. At school.\Jin, I'm going to take a bath.\Okay...\Umm... Jin.\Thank you.\It's nothing.\What was that? response:	In commemoration of my CD release,
context: Yup. At school.\Jin, I'm going to take a bath.\Okay...\Umm... Jin.\Thank you.\It's nothing.\What was that?\In commemoration of my CD release, response:	I'll hold a handshake meeting and a confession meeting.
context: Jin, I'm going to take a bath.\Okay...\Umm... Jin.\Thank you.\It's nothing.\What was that?\In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting. response:	Well then!
context: Okay...\Umm... Jin.\Thank you.\It's nothing.\What was that?\In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting.\Well then! response:	In commemoration of the release, I'll sing a bit of the new song!
context: Umm... Jin.\Thank you.\It's nothing.\What was that?\In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting.\Well then!\In commemoration of the release, I'll sing a bit of the new song! response:	J My feelings for you are crescendo J
context: Thank you.\It's nothing.\What was that?\In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting.\Well then!\In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J response:	J ride upon the dolphins J
context: It's nothing.\What was that?\In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting.\Well then!\In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J\J ride upon the dolphins J response:	J and reach you J
context: What was that?\In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting.\Well then!\In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J\J ride upon the dolphins J\J and reach you J response:	J Sometimes I lost my way J
context: In commemoration of my CD release,\I'll hold a handshake meeting and a confession meeting.\Well then!\In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J\J ride upon the dolphins J\J and reach you J\J Sometimes I lost my way J response:	J And might look at other people- J
context: I'll hold a handshake meeting and a confession meeting.\Well then!\In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J\J ride upon the dolphins J\J and reach you J\J Sometimes I lost my way J\J And might look at other people- J response:	J Even if you become a beast J
context: Well then!\In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J\J ride upon the dolphins J\J and reach you J\J Sometimes I lost my way J\J And might look at other people- J\J Even if you become a beast J response:	J God will definitely forgive you- J
context: In commemoration of the release, I'll sing a bit of the new song!\J My feelings for you are crescendo J\J ride upon the dolphins J\J and reach you J\J Sometimes I lost my way J\J And might look at other people- J\J Even if you become a beast J\J God will definitely forgive you- J response:	I forgot to bring a second set of clothes!
context: J My feelings for you are crescendo J\J ride upon the dolphins J\J and reach you J\J Sometimes I lost my way J\J And might look at other people- J\J Even if you become a beast J\J God will definitely forgive you- J\I forgot to bring a second set of clothes! response:	I have to get my acts together!
context: J ride upon the dolphins J\J and reach you J\J Sometimes I lost my way J\J And might look at other people- J\J Even if you become a beast J\J God will definitely forgive you- J\I forgot to bring a second set of clothes!\I have to get my acts together! response:	Can I just run and take my clothes?
context: J and reach you J\J Sometimes I lost my way J\J And might look at other people- J\J Even if you become a beast J\J God will definitely forgive you- J\I forgot to bring a second set of clothes!\I have to get my acts together!\Can I just run and take my clothes? response:	Cool down, cool down!
context: J Sometimes I lost my way J\J And might look at other people- J\J Even if you become a beast J\J God will definitely forgive you- J\I forgot to bring a second set of clothes!\I have to get my acts together!\Can I just run and take my clothes?\Cool down, cool down! response:	If this goes on, I can't look at Nagi in the face.
context: J And might look at other people- J\J Even if you become a beast J\J God will definitely forgive you- J\I forgot to bring a second set of clothes!\I have to get my acts together!\Can I just run and take my clothes?\Cool down, cool down!\If this goes on, I can't look at Nagi in the face. response:	I'm sorry!
context: J Even if you become a beast J\J God will definitely forgive you- J\I forgot to bring a second set of clothes!\I have to get my acts together!\Can I just run and take my clothes?\Cool down, cool down!\If this goes on, I can't look at Nagi in the face.\I'm sorry! response:	Watch out!
context: J God will definitely forgive you- J\I forgot to bring a second set of clothes!\I have to get my acts together!\Can I just run and take my clothes?\Cool down, cool down!\If this goes on, I can't look at Nagi in the face.\I'm sorry!\Watch out! response:	Ji... Jin.
context: I forgot to bring a second set of clothes!\I have to get my acts together!\Can I just run and take my clothes?\Cool down, cool down!\If this goes on, I can't look at Nagi in the face.\I'm sorry!\Watch out!\Ji... Jin. response:	Na... Nagi.
context: I have to get my acts together!\Can I just run and take my clothes?\Cool down, cool down!\If this goes on, I can't look at Nagi in the face.\I'm sorry!\Watch out!\Ji... Jin.\Na... Nagi. response:	Jin? I heard that Nagi-san's back!
context: Can I just run and take my clothes?\Cool down, cool down!\If this goes on, I can't look at Nagi in the face.\I'm sorry!\Watch out!\Ji... Jin.\Na... Nagi.\Jin? I heard that Nagi-san's back! response:	You should've called me...
