context: Izanami no Mikoto. response:	Drawing on negative human emotions for strength,
context: On your guard!\That's it. That's it!\All gods are the same.\The more you believe, the more you will be saved.\Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister.\My sister is my true god. response:	How splendid!
context: That's it. That's it!\All gods are the same.\The more you believe, the more you will be saved.\Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister.\My sister is my true god.\How splendid! response:	I'm not sure I get it, but it sounds like he does.
context: All gods are the same.\The more you believe, the more you will be saved.\Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister.\My sister is my true god.\How splendid!\I'm not sure I get it, but it sounds like he does. response:	What's so bright?
context: The more you believe, the more you will be saved.\Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister.\My sister is my true god.\How splendid!\I'm not sure I get it, but it sounds like he does.\What's so bright? response:	Isanami, there is nothing to be sad about.
context: Whether she's a creature of the underworld,\or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister.\My sister is my true god.\How splendid!\I'm not sure I get it, but it sounds like he does.\What's so bright?\Isanami, there is nothing to be sad about. response:	Your brother will...
context: or Izanami no Mikoto, she's still a god.\I simply need to have faith in my sister.\My sister is my true god.\How splendid!\I'm not sure I get it, but it sounds like he does.\What's so bright?\Isanami, there is nothing to be sad about.\Your brother will... response:	Seikai!
context: I simply need to have faith in my sister.\My sister is my true god.\How splendid!\I'm not sure I get it, but it sounds like he does.\What's so bright?\Isanami, there is nothing to be sad about.\Your brother will...\Seikai! response:	I thought he'd dodge it. How slow.
context: My sister is my true god.\How splendid!\I'm not sure I get it, but it sounds like he does.\What's so bright?\Isanami, there is nothing to be sad about.\Your brother will...\Seikai!\I thought he'd dodge it. How slow. response:	Mister Seikai!
context: How splendid!\I'm not sure I get it, but it sounds like he does.\What's so bright?\Isanami, there is nothing to be sad about.\Your brother will...\Seikai!\I thought he'd dodge it. How slow.\Mister Seikai! response:	A midget with messy orange hair.
context: I'm not sure I get it, but it sounds like he does.\What's so bright?\Isanami, there is nothing to be sad about.\Your brother will...\Seikai!\I thought he'd dodge it. How slow.\Mister Seikai!\A midget with messy orange hair. response:	Kid, you're one of the braves.
context: What's so bright?\Isanami, there is nothing to be sad about.\Your brother will...\Seikai!\I thought he'd dodge it. How slow.\Mister Seikai!\A midget with messy orange hair.\Kid, you're one of the braves. response:	Then you'll die, too.
context: Isanami, there is nothing to be sad about.\Your brother will...\Seikai!\I thought he'd dodge it. How slow.\Mister Seikai!\A midget with messy orange hair.\Kid, you're one of the braves.\Then you'll die, too. response:	Benmaru, are you all right?
context: Your brother will...\Seikai!\I thought he'd dodge it. How slow.\Mister Seikai!\A midget with messy orange hair.\Kid, you're one of the braves.\Then you'll die, too.\Benmaru, are you all right? response:	Are you?
context: Seikai!\I thought he'd dodge it. How slow.\Mister Seikai!\A midget with messy orange hair.\Kid, you're one of the braves.\Then you'll die, too.\Benmaru, are you all right?\Are you? response:	How disgraceful to disrupt my moment of enlightenment.
context: I thought he'd dodge it. How slow.\Mister Seikai!\A midget with messy orange hair.\Kid, you're one of the braves.\Then you'll die, too.\Benmaru, are you all right?\Are you?\How disgraceful to disrupt my moment of enlightenment. response:	I must lecture you.
context: Mister Seikai!\A midget with messy orange hair.\Kid, you're one of the braves.\Then you'll die, too.\Benmaru, are you all right?\Are you?\How disgraceful to disrupt my moment of enlightenment.\I must lecture you. response:	Identify yourself!
context: A midget with messy orange hair.\Kid, you're one of the braves.\Then you'll die, too.\Benmaru, are you all right?\Are you?\How disgraceful to disrupt my moment of enlightenment.\I must lecture you.\Identify yourself! response:	One of the Five Iga Ninja, Byakugun.
context: Kid, you're one of the braves.\Then you'll die, too.\Benmaru, are you all right?\Are you?\How disgraceful to disrupt my moment of enlightenment.\I must lecture you.\Identify yourself!\One of the Five Iga Ninja, Byakugun. response:	Go to hell!
context: Then you'll die, too.\Benmaru, are you all right?\Are you?\How disgraceful to disrupt my moment of enlightenment.\I must lecture you.\Identify yourself!\One of the Five Iga Ninja, Byakugun.\Go to hell! response:	I despise unnecessary killing.
context: Benmaru, are you all right?\Are you?\How disgraceful to disrupt my moment of enlightenment.\I must lecture you.\Identify yourself!\One of the Five Iga Ninja, Byakugun.\Go to hell!\I despise unnecessary killing. response:	I don't know your intentions,
context: Are you?\How disgraceful to disrupt my moment of enlightenment.\I must lecture you.\Identify yourself!\One of the Five Iga Ninja, Byakugun.\Go to hell!\I despise unnecessary killing.\I don't know your intentions, response:	but if you retreat now, I'll let this slide.
context: How disgraceful to disrupt my moment of enlightenment.\I must lecture you.\Identify yourself!\One of the Five Iga Ninja, Byakugun.\Go to hell!\I despise unnecessary killing.\I don't know your intentions,\but if you retreat now, I'll let this slide. response:	Let it slide?
context: I must lecture you.\Identify yourself!\One of the Five Iga Ninja, Byakugun.\Go to hell!\I despise unnecessary killing.\I don't know your intentions,\but if you retreat now, I'll let this slide.\Let it slide? response:	The hell does that mean?
context: Identify yourself!\One of the Five Iga Ninja, Byakugun.\Go to hell!\I despise unnecessary killing.\I don't know your intentions,\but if you retreat now, I'll let this slide.\Let it slide?\The hell does that mean? response:	Don't tell me you think you're stronger than I am.
context: One of the Five Iga Ninja, Byakugun.\Go to hell!\I despise unnecessary killing.\I don't know your intentions,\but if you retreat now, I'll let this slide.\Let it slide?\The hell does that mean?\Don't tell me you think you're stronger than I am. response:	We'll kill all you braves, every last one.
context: Go to hell!\I despise unnecessary killing.\I don't know your intentions,\but if you retreat now, I'll let this slide.\Let it slide?\The hell does that mean?\Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one. response:	Every last one?
context: I despise unnecessary killing.\I don't know your intentions,\but if you retreat now, I'll let this slide.\Let it slide?\The hell does that mean?\Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one.\Every last one? response:	Isanami's in trouble!
context: I don't know your intentions,\but if you retreat now, I'll let this slide.\Let it slide?\The hell does that mean?\Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one.\Every last one?\Isanami's in trouble! response:	I said every last one!
context: but if you retreat now, I'll let this slide.\Let it slide?\The hell does that mean?\Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one.\Every last one?\Isanami's in trouble!\I said every last one! response:	Ieyasu's tyrannical behavior is outrageous.
context: Let it slide?\The hell does that mean?\Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one.\Every last one?\Isanami's in trouble!\I said every last one!\Ieyasu's tyrannical behavior is outrageous. response:	We have to do something about that old raccoon dog.
context: The hell does that mean?\Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one.\Every last one?\Isanami's in trouble!\I said every last one!\Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog. response:	He accused Uesugi of plotting against him for...
context: Don't tell me you think you're stronger than I am.\We'll kill all you braves, every last one.\Every last one?\Isanami's in trouble!\I said every last one!\Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for... response:	Nothing could be more obnoxious.
context: We'll kill all you braves, every last one.\Every last one?\Isanami's in trouble!\I said every last one!\Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for...\Nothing could be more obnoxious. response:	I see.
context: Every last one?\Isanami's in trouble!\I said every last one!\Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for...\Nothing could be more obnoxious.\I see. response:	I've had enough of his insolence.
context: Isanami's in trouble!\I said every last one!\Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for...\Nothing could be more obnoxious.\I see.\I've had enough of his insolence. response:	You're as foul-mouthed as always.
context: I said every last one!\Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for...\Nothing could be more obnoxious.\I see.\I've had enough of his insolence.\You're as foul-mouthed as always. response:	I considered sending you a letter describing his actions,
context: Ieyasu's tyrannical behavior is outrageous.\We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for...\Nothing could be more obnoxious.\I see.\I've had enough of his insolence.\You're as foul-mouthed as always.\I considered sending you a letter describing his actions, response:	but I couldn't fit all my thoughts on a single scroll.
context: We have to do something about that old raccoon dog.\He accused Uesugi of plotting against him for...\Nothing could be more obnoxious.\I see.\I've had enough of his insolence.\You're as foul-mouthed as always.\I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll. response:	I see.
context: He accused Uesugi of plotting against him for...\Nothing could be more obnoxious.\I see.\I've had enough of his insolence.\You're as foul-mouthed as always.\I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll.\I see. response:	I have secretly gathered my soldiers in Sawayama.
context: Nothing could be more obnoxious.\I see.\I've had enough of his insolence.\You're as foul-mouthed as always.\I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll.\I see.\I have secretly gathered my soldiers in Sawayama. response:	We have many allies.
context: I see.\I've had enough of his insolence.\You're as foul-mouthed as always.\I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll.\I see.\I have secretly gathered my soldiers in Sawayama.\We have many allies. response:	Uesugi will fight with us.
context: I've had enough of his insolence.\You're as foul-mouthed as always.\I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll.\I see.\I have secretly gathered my soldiers in Sawayama.\We have many allies.\Uesugi will fight with us. response:	You're ready to go, aren't you?
context: You're as foul-mouthed as always.\I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll.\I see.\I have secretly gathered my soldiers in Sawayama.\We have many allies.\Uesugi will fight with us.\You're ready to go, aren't you? response:	I cannot forgive him for slighting Toyotomi.
context: I considered sending you a letter describing his actions,\but I couldn't fit all my thoughts on a single scroll.\I see.\I have secretly gathered my soldiers in Sawayama.\We have many allies.\Uesugi will fight with us.\You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi. response:	That raccoon dog must be doing this because he believes he stands a chance.
context: but I couldn't fit all my thoughts on a single scroll.\I see.\I have secretly gathered my soldiers in Sawayama.\We have many allies.\Uesugi will fight with us.\You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance. response:	What I thought was a raccoon dog turned out to be a mouse.
context: I see.\I have secretly gathered my soldiers in Sawayama.\We have many allies.\Uesugi will fight with us.\You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse. response:	If we act blindly, we'll play right into his hands.
context: I have secretly gathered my soldiers in Sawayama.\We have many allies.\Uesugi will fight with us.\You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands. response:	If only we had some earthshaking power.
context: We have many allies.\Uesugi will fight with us.\You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands.\If only we had some earthshaking power. response:	You shouldn't wish for such things.
context: Uesugi will fight with us.\You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands.\If only we had some earthshaking power.\You shouldn't wish for such things. response:	But...
context: You're ready to go, aren't you?\I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands.\If only we had some earthshaking power.\You shouldn't wish for such things.\But... response:	A power that large...
context: I cannot forgive him for slighting Toyotomi.\That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands.\If only we had some earthshaking power.\You shouldn't wish for such things.\But...\A power that large... response:	What?
context: That raccoon dog must be doing this because he believes he stands a chance.\What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands.\If only we had some earthshaking power.\You shouldn't wish for such things.\But...\A power that large...\What? response:	What's wrong?
context: What I thought was a raccoon dog turned out to be a mouse.\If we act blindly, we'll play right into his hands.\If only we had some earthshaking power.\You shouldn't wish for such things.\But...\A power that large...\What?\What's wrong? response:	You moved a lot better when I fought you at Izumo.
context: If we act blindly, we'll play right into his hands.\If only we had some earthshaking power.\You shouldn't wish for such things.\But...\A power that large...\What?\What's wrong?\You moved a lot better when I fought you at Izumo. response:	Shut up! I'm just getting warmed up!
context: If only we had some earthshaking power.\You shouldn't wish for such things.\But...\A power that large...\What?\What's wrong?\You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up! response:	Saizo!
context: You shouldn't wish for such things.\But...\A power that large...\What?\What's wrong?\You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up!\Saizo! response:	Isanami!
context: But...\A power that large...\What?\What's wrong?\You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up!\Saizo!\Isanami! response:	Isanami, stay back!
context: A power that large...\What?\What's wrong?\You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up!\Saizo!\Isanami!\Isanami, stay back! response:	Watch from over there.
context: What?\What's wrong?\You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up!\Saizo!\Isanami!\Isanami, stay back!\Watch from over there. response:	Isanami!
context: What's wrong?\You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up!\Saizo!\Isanami!\Isanami, stay back!\Watch from over there.\Isanami! response:	If you don't focus on fighting, you'll die.
context: You moved a lot better when I fought you at Izumo.\Shut up! I'm just getting warmed up!\Saizo!\Isanami!\Isanami, stay back!\Watch from over there.\Isanami!\If you don't focus on fighting, you'll die. response:	Stop!
context: Shut up! I'm just getting warmed up!\Saizo!\Isanami!\Isanami, stay back!\Watch from over there.\Isanami!\If you don't focus on fighting, you'll die.\Stop! response:	I'm the one you want.
context: Saizo!\Isanami!\Isanami, stay back!\Watch from over there.\Isanami!\If you don't focus on fighting, you'll die.\Stop!\I'm the one you want. response:	Saizo has nothing to do with this.
context: Isanami!\Isanami, stay back!\Watch from over there.\Isanami!\If you don't focus on fighting, you'll die.\Stop!\I'm the one you want.\Saizo has nothing to do with this. response:	Shut up, you idiot!
context: Isanami, stay back!\Watch from over there.\Isanami!\If you don't focus on fighting, you'll die.\Stop!\I'm the one you want.\Saizo has nothing to do with this.\Shut up, you idiot! response:	Let Isanami go!
context: Watch from over there.\Isanami!\If you don't focus on fighting, you'll die.\Stop!\I'm the one you want.\Saizo has nothing to do with this.\Shut up, you idiot!\Let Isanami go! response:	Oh, I will. I'll be taking her with me, anyway.
context: Isanami!\If you don't focus on fighting, you'll die.\Stop!\I'm the one you want.\Saizo has nothing to do with this.\Shut up, you idiot!\Let Isanami go!\Oh, I will. I'll be taking her with me, anyway. response:	Right after I finish toying with and killing you.
context: If you don't focus on fighting, you'll die.\Stop!\I'm the one you want.\Saizo has nothing to do with this.\Shut up, you idiot!\Let Isanami go!\Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you. response:	You bastard.
context: Stop!\I'm the one you want.\Saizo has nothing to do with this.\Shut up, you idiot!\Let Isanami go!\Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you.\You bastard. response:	You're disgusting!
context: I'm the one you want.\Saizo has nothing to do with this.\Shut up, you idiot!\Let Isanami go!\Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you.\You bastard.\You're disgusting! response:	Where did she go?
context: Saizo has nothing to do with this.\Shut up, you idiot!\Let Isanami go!\Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you.\You bastard.\You're disgusting!\Where did she go? response:	She blended in with the bugs and disappeared.
context: Shut up, you idiot!\Let Isanami go!\Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you.\You bastard.\You're disgusting!\Where did she go?\She blended in with the bugs and disappeared. response:	Their wings are covering her sound.
context: Let Isanami go!\Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you.\You bastard.\You're disgusting!\Where did she go?\She blended in with the bugs and disappeared.\Their wings are covering her sound. response:	I cannot sense her.
context: Oh, I will. I'll be taking her with me, anyway.\Right after I finish toying with and killing you.\You bastard.\You're disgusting!\Where did she go?\She blended in with the bugs and disappeared.\Their wings are covering her sound.\I cannot sense her. response:	Jump!
context: Right after I finish toying with and killing you.\You bastard.\You're disgusting!\Where did she go?\She blended in with the bugs and disappeared.\Their wings are covering her sound.\I cannot sense her.\Jump! response:	Sasuke, leave this to me.
context: You bastard.\You're disgusting!\Where did she go?\She blended in with the bugs and disappeared.\Their wings are covering her sound.\I cannot sense her.\Jump!\Sasuke, leave this to me. response:	Okay.
context: You're disgusting!\Where did she go?\She blended in with the bugs and disappeared.\Their wings are covering her sound.\I cannot sense her.\Jump!\Sasuke, leave this to me.\Okay. response:	You can't get close to me that easily.
context: Where did she go?\She blended in with the bugs and disappeared.\Their wings are covering her sound.\I cannot sense her.\Jump!\Sasuke, leave this to me.\Okay.\You can't get close to me that easily. response:	Iga Insect Technique.
context: She blended in with the bugs and disappeared.\Their wings are covering her sound.\I cannot sense her.\Jump!\Sasuke, leave this to me.\Okay.\You can't get close to me that easily.\Iga Insect Technique. response:	Sengoku Doro!
context: Their wings are covering her sound.\I cannot sense her.\Jump!\Sasuke, leave this to me.\Okay.\You can't get close to me that easily.\Iga Insect Technique.\Sengoku Doro! response:	Praying mantises now?
context: I cannot sense her.\Jump!\Sasuke, leave this to me.\Okay.\You can't get close to me that easily.\Iga Insect Technique.\Sengoku Doro!\Praying mantises now? response:	You are the prey caught in my web.
context: Jump!\Sasuke, leave this to me.\Okay.\You can't get close to me that easily.\Iga Insect Technique.\Sengoku Doro!\Praying mantises now?\You are the prey caught in my web. response:	You cannot escape now.
context: Sasuke, leave this to me.\Okay.\You can't get close to me that easily.\Iga Insect Technique.\Sengoku Doro!\Praying mantises now?\You are the prey caught in my web.\You cannot escape now. response:	Oh my. You're more capable than I thought.
context: Okay.\You can't get close to me that easily.\Iga Insect Technique.\Sengoku Doro!\Praying mantises now?\You are the prey caught in my web.\You cannot escape now.\Oh my. You're more capable than I thought. response:	Leave here at once.
context: You can't get close to me that easily.\Iga Insect Technique.\Sengoku Doro!\Praying mantises now?\You are the prey caught in my web.\You cannot escape now.\Oh my. You're more capable than I thought.\Leave here at once. response:	I'm afraid I cannot.
context: Iga Insect Technique.\Sengoku Doro!\Praying mantises now?\You are the prey caught in my web.\You cannot escape now.\Oh my. You're more capable than I thought.\Leave here at once.\I'm afraid I cannot. response:	We've been instructed to kill all of you.
context: Sengoku Doro!\Praying mantises now?\You are the prey caught in my web.\You cannot escape now.\Oh my. You're more capable than I thought.\Leave here at once.\I'm afraid I cannot.\We've been instructed to kill all of you. response:	Then you will die.
context: Praying mantises now?\You are the prey caught in my web.\You cannot escape now.\Oh my. You're more capable than I thought.\Leave here at once.\I'm afraid I cannot.\We've been instructed to kill all of you.\Then you will die. response:	How dare you reject my kiss?
context: You are the prey caught in my web.\You cannot escape now.\Oh my. You're more capable than I thought.\Leave here at once.\I'm afraid I cannot.\We've been instructed to kill all of you.\Then you will die.\How dare you reject my kiss? response:	Terrible.
context: You cannot escape now.\Oh my. You're more capable than I thought.\Leave here at once.\I'm afraid I cannot.\We've been instructed to kill all of you.\Then you will die.\How dare you reject my kiss?\Terrible. response:	Sasuke!
context: Oh my. You're more capable than I thought.\Leave here at once.\I'm afraid I cannot.\We've been instructed to kill all of you.\Then you will die.\How dare you reject my kiss?\Terrible.\Sasuke! response:	Once he's in your body, it's over.
context: Leave here at once.\I'm afraid I cannot.\We've been instructed to kill all of you.\Then you will die.\How dare you reject my kiss?\Terrible.\Sasuke!\Once he's in your body, it's over. response:	He will eat your heart.
context: I'm afraid I cannot.\We've been instructed to kill all of you.\Then you will die.\How dare you reject my kiss?\Terrible.\Sasuke!\Once he's in your body, it's over.\He will eat your heart. response:	Sasuke!
context: We've been instructed to kill all of you.\Then you will die.\How dare you reject my kiss?\Terrible.\Sasuke!\Once he's in your body, it's over.\He will eat your heart.\Sasuke! response:	Does it hurt that much?
context: Then you will die.\How dare you reject my kiss?\Terrible.\Sasuke!\Once he's in your body, it's over.\He will eat your heart.\Sasuke!\Does it hurt that much? response:	Ants?!
context: How dare you reject my kiss?\Terrible.\Sasuke!\Once he's in your body, it's over.\He will eat your heart.\Sasuke!\Does it hurt that much?\Ants?! response:	Insects may be small,
context: Terrible.\Sasuke!\Once he's in your body, it's over.\He will eat your heart.\Sasuke!\Does it hurt that much?\Ants?!\Insects may be small, response:	but they're the servants of death who return flesh to the earth.
context: Sasuke!\Once he's in your body, it's over.\He will eat your heart.\Sasuke!\Does it hurt that much?\Ants?!\Insects may be small,\but they're the servants of death who return flesh to the earth. response:	May you be eaten alive from both inside and out,
context: Once he's in your body, it's over.\He will eat your heart.\Sasuke!\Does it hurt that much?\Ants?!\Insects may be small,\but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out, response:	and die painful deaths!
context: He will eat your heart.\Sasuke!\Does it hurt that much?\Ants?!\Insects may be small,\but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out,\and die painful deaths! response:	Juzo.
context: Sasuke!\Does it hurt that much?\Ants?!\Insects may be small,\but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out,\and die painful deaths!\Juzo. response:	Koga Tenshin Technique.
context: Does it hurt that much?\Ants?!\Insects may be small,\but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out,\and die painful deaths!\Juzo.\Koga Tenshin Technique. response:	Kamaitachi!
context: Ants?!\Insects may be small,\but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out,\and die painful deaths!\Juzo.\Koga Tenshin Technique.\Kamaitachi! response:	Sasuke!
context: Insects may be small,\but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out,\and die painful deaths!\Juzo.\Koga Tenshin Technique.\Kamaitachi!\Sasuke! response:	Sorcery?!
context: but they're the servants of death who return flesh to the earth.\May you be eaten alive from both inside and out,\and die painful deaths!\Juzo.\Koga Tenshin Technique.\Kamaitachi!\Sasuke!\Sorcery?! response:	It's payback time.
context: May you be eaten alive from both inside and out,\and die painful deaths!\Juzo.\Koga Tenshin Technique.\Kamaitachi!\Sasuke!\Sorcery?!\It's payback time. response:	How does that taste?
context: and die painful deaths!\Juzo.\Koga Tenshin Technique.\Kamaitachi!\Sasuke!\Sorcery?!\It's payback time.\How does that taste? response:	I'm not finished with the two of you yet.
context: Juzo.\Koga Tenshin Technique.\Kamaitachi!\Sasuke!\Sorcery?!\It's payback time.\How does that taste?\I'm not finished with the two of you yet. response:	I hope you'll entertain me even more.
context: Koga Tenshin Technique.\Kamaitachi!\Sasuke!\Sorcery?!\It's payback time.\How does that taste?\I'm not finished with the two of you yet.\I hope you'll entertain me even more. response:	You'll be eaten alive by insects if you don't get up.
context: Kamaitachi!\Sasuke!\Sorcery?!\It's payback time.\How does that taste?\I'm not finished with the two of you yet.\I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up. response:	How long can you keep dodging these rocks?
context: Sasuke!\Sorcery?!\It's payback time.\How does that taste?\I'm not finished with the two of you yet.\I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks? response:	Her strength is unbelievable.
context: Sorcery?!\It's payback time.\How does that taste?\I'm not finished with the two of you yet.\I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks?\Her strength is unbelievable. response:	In front of you!
context: It's payback time.\How does that taste?\I'm not finished with the two of you yet.\I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks?\Her strength is unbelievable.\In front of you! response:	Gotcha!
context: How does that taste?\I'm not finished with the two of you yet.\I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks?\Her strength is unbelievable.\In front of you!\Gotcha! response:	A girl's attacks are nothing!
context: I'm not finished with the two of you yet.\I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks?\Her strength is unbelievable.\In front of you!\Gotcha!\A girl's attacks are nothing! response:	Mister?
context: I hope you'll entertain me even more.\You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks?\Her strength is unbelievable.\In front of you!\Gotcha!\A girl's attacks are nothing!\Mister? response:	You're all talk, monk.
context: You'll be eaten alive by insects if you don't get up.\How long can you keep dodging these rocks?\Her strength is unbelievable.\In front of you!\Gotcha!\A girl's attacks are nothing!\Mister?\You're all talk, monk. response:	No matter how faithful you are, you can't save anyone.
context: How long can you keep dodging these rocks?\Her strength is unbelievable.\In front of you!\Gotcha!\A girl's attacks are nothing!\Mister?\You're all talk, monk.\No matter how faithful you are, you can't save anyone. response:	If you believe, you will be saved.
context: Her strength is unbelievable.\In front of you!\Gotcha!\A girl's attacks are nothing!\Mister?\You're all talk, monk.\No matter how faithful you are, you can't save anyone.\If you believe, you will be saved. response:	You will be saved!
context: In front of you!\Gotcha!\A girl's attacks are nothing!\Mister?\You're all talk, monk.\No matter how faithful you are, you can't save anyone.\If you believe, you will be saved.\You will be saved! response:	The gods protect us humans.
context: Gotcha!\A girl's attacks are nothing!\Mister?\You're all talk, monk.\No matter how faithful you are, you can't save anyone.\If you believe, you will be saved.\You will be saved!\The gods protect us humans. response:	Life and death depend on your own strength.
context: A girl's attacks are nothing!\Mister?\You're all talk, monk.\No matter how faithful you are, you can't save anyone.\If you believe, you will be saved.\You will be saved!\The gods protect us humans.\Life and death depend on your own strength. response:	Only you can protect yourself.
context: Mister?\You're all talk, monk.\No matter how faithful you are, you can't save anyone.\If you believe, you will be saved.\You will be saved!\The gods protect us humans.\Life and death depend on your own strength.\Only you can protect yourself. response:	Pitiful. What pathetic thinking.
context: You're all talk, monk.\No matter how faithful you are, you can't save anyone.\If you believe, you will be saved.\You will be saved!\The gods protect us humans.\Life and death depend on your own strength.\Only you can protect yourself.\Pitiful. What pathetic thinking. response:	If not for Isanami, I would take my time converting you.
context: No matter how faithful you are, you can't save anyone.\If you believe, you will be saved.\You will be saved!\The gods protect us humans.\Life and death depend on your own strength.\Only you can protect yourself.\Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you. response:	Isanami? Is that the priestess?
context: If you believe, you will be saved.\You will be saved!\The gods protect us humans.\Life and death depend on your own strength.\Only you can protect yourself.\Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess? response:	I bet she's our leader's tool by now.
context: You will be saved!\The gods protect us humans.\Life and death depend on your own strength.\Only you can protect yourself.\Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess?\I bet she's our leader's tool by now. response:	Take that back!
context: The gods protect us humans.\Life and death depend on your own strength.\Only you can protect yourself.\Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess?\I bet she's our leader's tool by now.\Take that back! response:	Mister, let's go now!
context: Life and death depend on your own strength.\Only you can protect yourself.\Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess?\I bet she's our leader's tool by now.\Take that back!\Mister, let's go now! response:	No. I will have her pay for slandering Isanami.
context: Only you can protect yourself.\Pitiful. What pathetic thinking.\If not for Isanami, I would take my time converting you.\Isanami? Is that the priestess?\I bet she's our leader's tool by now.\Take that back!\Mister, let's go now!\No. I will have her pay for slandering Isanami. response:	And how do you intend to do that?
