context: True Calendar year 71. response:	In this year, which would later come be known as the first year of the Third Galactic Empire,
context: but they change to one every 12.5 meters in front of just that structure.\There are 40 desks in each classroom visible through the windows.\Student body, 480.\However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building.\That's our boy...\What year are those guys? response:	I've never seen them around before.
context: There are 40 desks in each classroom visible through the windows.\Student body, 480.\However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building.\That's our boy...\What year are those guys?\I've never seen them around before. response:	Transfer students, maybe?
context: Student body, 480.\However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building.\That's our boy...\What year are those guys?\I've never seen them around before.\Transfer students, maybe? response:	You don't have enough passion in you.
context: However, the structure was built using common layered construction.\From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building.\That's our boy...\What year are those guys?\I've never seen them around before.\Transfer students, maybe?\You don't have enough passion in you. response:	About what?
context: From a load-bearing standpoint, there is no room for extra facility personnel.\I must therefore conclude that it is beneath the building.\That's our boy...\What year are those guys?\I've never seen them around before.\Transfer students, maybe?\You don't have enough passion in you.\About what? response:	Our throwdown earlier.
context: I must therefore conclude that it is beneath the building.\That's our boy...\What year are those guys?\I've never seen them around before.\Transfer students, maybe?\You don't have enough passion in you.\About what?\Our throwdown earlier. response:	You didn't go into it intending to win, did you?
context: That's our boy...\What year are those guys?\I've never seen them around before.\Transfer students, maybe?\You don't have enough passion in you.\About what?\Our throwdown earlier.\You didn't go into it intending to win, did you? response:	No, it's not like that.
context: What year are those guys?\I've never seen them around before.\Transfer students, maybe?\You don't have enough passion in you.\About what?\Our throwdown earlier.\You didn't go into it intending to win, did you?\No, it's not like that. response:	I just... I wish we lived in a world where there wasn't stuff like winning and losing.
context: I've never seen them around before.\Transfer students, maybe?\You don't have enough passion in you.\About what?\Our throwdown earlier.\You didn't go into it intending to win, did you?\No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing. response:	We each could have used half the field just fine.
context: Transfer students, maybe?\You don't have enough passion in you.\About what?\Our throwdown earlier.\You didn't go into it intending to win, did you?\No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine. response:	Halfsies.
context: You don't have enough passion in you.\About what?\Our throwdown earlier.\You didn't go into it intending to win, did you?\No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine.\Halfsies. response:	Would you use a knife to cut the yolk of your ham eggs
context: About what?\Our throwdown earlier.\You didn't go into it intending to win, did you?\No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine.\Halfsies.\Would you use a knife to cut the yolk of your ham eggs response:	and the girl you love in half, too?
context: Our throwdown earlier.\You didn't go into it intending to win, did you?\No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine.\Halfsies.\Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too? response:	Uh...
context: You didn't go into it intending to win, did you?\No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine.\Halfsies.\Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too?\Uh... response:	Happiness can't be split into halfsies.
context: No, it's not like that.\I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine.\Halfsies.\Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too?\Uh...\Happiness can't be split into halfsies. response:	Hey, what year are you?
context: I just... I wish we lived in a world where there wasn't stuff like winning and losing.\We each could have used half the field just fine.\Halfsies.\Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too?\Uh...\Happiness can't be split into halfsies.\Hey, what year are you? response:	Hey, wait! What are you
context: We each could have used half the field just fine.\Halfsies.\Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too?\Uh...\Happiness can't be split into halfsies.\Hey, what year are you?\Hey, wait! What are you response:	Don't!
context: Halfsies.\Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too?\Uh...\Happiness can't be split into halfsies.\Hey, what year are you?\Hey, wait! What are you\Don't! response:	Stay back, Shoko!
context: Would you use a knife to cut the yolk of your ham eggs\and the girl you love in half, too?\Uh...\Happiness can't be split into halfsies.\Hey, what year are you?\Hey, wait! What are you\Don't!\Stay back, Shoko! response:	What will you do if someone hits you even when you don't want to fight?
context: and the girl you love in half, too?\Uh...\Happiness can't be split into halfsies.\Hey, what year are you?\Hey, wait! What are you\Don't!\Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight? response:	Laugh foolishly and concede defeat?
context: Uh...\Happiness can't be split into halfsies.\Hey, what year are you?\Hey, wait! What are you\Don't!\Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat? response:	If you can't concede, your only choice is to fight.
context: Happiness can't be split into halfsies.\Hey, what year are you?\Hey, wait! What are you\Don't!\Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight. response:	Miss Nanami, what are you doing?
context: Hey, what year are you?\Hey, wait! What are you\Don't!\Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing? response:	I'm here to give Rukino extra lessons, but she isn't here yet.
context: Hey, wait! What are you\Don't!\Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet. response:	Oh, the celebrity...
context: Don't!\Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity... response:	That's odd... I wonder if I told her the wrong time?
context: Stay back, Shoko!\What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity...\That's odd... I wonder if I told her the wrong time? response:	List of students signed up for extra lessons.
context: What will you do if someone hits you even when you don't want to fight?\Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity...\That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons. response:	Sheesh, what was that guy's deal?
context: Laugh foolishly and concede defeat?\If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity...\That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons.\Sheesh, what was that guy's deal? response:	Sorry, pal, but I'm the kind of girl who eats the egg white first.
context: If you can't concede, your only choice is to fight.\Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity...\That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons.\Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first. response:	And anyway, the star of ham eggs is the ham!
context: Miss Nanami, what are you doing?\I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity...\That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons.\Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham! response:	Right, the ham is key.
context: I'm here to give Rukino extra lessons, but she isn't here yet.\Oh, the celebrity...\That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons.\Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham!\Right, the ham is key. response:	And Haruto was the one who was knocked down, right?
context: Oh, the celebrity...\That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons.\Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham!\Right, the ham is key.\And Haruto was the one who was knocked down, right? response:	I think that's what happened...
context: That's odd... I wonder if I told her the wrong time?\List of students signed up for extra lessons.\Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham!\Right, the ham is key.\And Haruto was the one who was knocked down, right?\I think that's what happened... response:	What Haruto said was totally noble!
context: List of students signed up for extra lessons.\Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham!\Right, the ham is key.\And Haruto was the one who was knocked down, right?\I think that's what happened...\What Haruto said was totally noble! response:	He wasn't wrong, so what the hell?
context: Sheesh, what was that guy's deal?\Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham!\Right, the ham is key.\And Haruto was the one who was knocked down, right?\I think that's what happened...\What Haruto said was totally noble!\He wasn't wrong, so what the hell? response:	Calm down!
context: Sorry, pal, but I'm the kind of girl who eats the egg white first.\And anyway, the star of ham eggs is the ham!\Right, the ham is key.\And Haruto was the one who was knocked down, right?\I think that's what happened...\What Haruto said was totally noble!\He wasn't wrong, so what the hell?\Calm down! response:	But I'm mad!
context: And anyway, the star of ham eggs is the ham!\Right, the ham is key.\And Haruto was the one who was knocked down, right?\I think that's what happened...\What Haruto said was totally noble!\He wasn't wrong, so what the hell?\Calm down!\But I'm mad! response:	Thanks, Shoko.
context: Right, the ham is key.\And Haruto was the one who was knocked down, right?\I think that's what happened...\What Haruto said was totally noble!\He wasn't wrong, so what the hell?\Calm down!\But I'm mad!\Thanks, Shoko. response:	You're getting angry so I don't have to.
context: And Haruto was the one who was knocked down, right?\I think that's what happened...\What Haruto said was totally noble!\He wasn't wrong, so what the hell?\Calm down!\But I'm mad!\Thanks, Shoko.\You're getting angry so I don't have to. response:	It's okay.
context: I think that's what happened...\What Haruto said was totally noble!\He wasn't wrong, so what the hell?\Calm down!\But I'm mad!\Thanks, Shoko.\You're getting angry so I don't have to.\It's okay. response:	That makes me feel a lot better.
context: What Haruto said was totally noble!\He wasn't wrong, so what the hell?\Calm down!\But I'm mad!\Thanks, Shoko.\You're getting angry so I don't have to.\It's okay.\That makes me feel a lot better. response:	Well, that's what friends are for.
context: He wasn't wrong, so what the hell?\Calm down!\But I'm mad!\Thanks, Shoko.\You're getting angry so I don't have to.\It's okay.\That makes me feel a lot better.\Well, that's what friends are for. response:	I mean, you never get mad at anything.
context: Calm down!\But I'm mad!\Thanks, Shoko.\You're getting angry so I don't have to.\It's okay.\That makes me feel a lot better.\Well, that's what friends are for.\I mean, you never get mad at anything. response:	Yeah, yeah...
context: But I'm mad!\Thanks, Shoko.\You're getting angry so I don't have to.\It's okay.\That makes me feel a lot better.\Well, that's what friends are for.\I mean, you never get mad at anything.\Yeah, yeah... response:	We were supposed to keep contact to a minimum.
context: Thanks, Shoko.\You're getting angry so I don't have to.\It's okay.\That makes me feel a lot better.\Well, that's what friends are for.\I mean, you never get mad at anything.\Yeah, yeah...\We were supposed to keep contact to a minimum. response:	I'm in.
context: You're getting angry so I don't have to.\It's okay.\That makes me feel a lot better.\Well, that's what friends are for.\I mean, you never get mad at anything.\Yeah, yeah...\We were supposed to keep contact to a minimum.\I'm in. response:	It's opening.
context: It's okay.\That makes me feel a lot better.\Well, that's what friends are for.\I mean, you never get mad at anything.\Yeah, yeah...\We were supposed to keep contact to a minimum.\I'm in.\It's opening. response:	May my love come true.
context: That makes me feel a lot better.\Well, that's what friends are for.\I mean, you never get mad at anything.\Yeah, yeah...\We were supposed to keep contact to a minimum.\I'm in.\It's opening.\May my love come true. response:	Are you making a wish, too, Haruto?
context: Well, that's what friends are for.\I mean, you never get mad at anything.\Yeah, yeah...\We were supposed to keep contact to a minimum.\I'm in.\It's opening.\May my love come true.\Are you making a wish, too, Haruto? response:	No!
context: I mean, you never get mad at anything.\Yeah, yeah...\We were supposed to keep contact to a minimum.\I'm in.\It's opening.\May my love come true.\Are you making a wish, too, Haruto?\No! response:	They say if you profess your feelings here, your feelings are sure to be returned.
context: Yeah, yeah...\We were supposed to keep contact to a minimum.\I'm in.\It's opening.\May my love come true.\Are you making a wish, too, Haruto?\No!\They say if you profess your feelings here, your feelings are sure to be returned. response:	This is a legendary shrine.
context: We were supposed to keep contact to a minimum.\I'm in.\It's opening.\May my love come true.\Are you making a wish, too, Haruto?\No!\They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine. response:	Schools that were built three years ago don't have old legends, right?
context: I'm in.\It's opening.\May my love come true.\Are you making a wish, too, Haruto?\No!\They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine.\Schools that were built three years ago don't have old legends, right? response:	Shoko...
context: It's opening.\May my love come true.\Are you making a wish, too, Haruto?\No!\They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine.\Schools that were built three years ago don't have old legends, right?\Shoko... response:	Bats fly across the cloudy sky.
context: May my love come true.\Are you making a wish, too, Haruto?\No!\They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine.\Schools that were built three years ago don't have old legends, right?\Shoko...\Bats fly across the cloudy sky. response:	That's the Colonel's star pupil for you...
context: Are you making a wish, too, Haruto?\No!\They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine.\Schools that were built three years ago don't have old legends, right?\Shoko...\Bats fly across the cloudy sky.\That's the Colonel's star pupil for you... response:	Commencing Operation Virgin Road.
context: No!\They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine.\Schools that were built three years ago don't have old legends, right?\Shoko...\Bats fly across the cloudy sky.\That's the Colonel's star pupil for you...\Commencing Operation Virgin Road. response:	Blitzendegen!
context: They say if you profess your feelings here, your feelings are sure to be returned.\This is a legendary shrine.\Schools that were built three years ago don't have old legends, right?\Shoko...\Bats fly across the cloudy sky.\That's the Colonel's star pupil for you...\Commencing Operation Virgin Road.\Blitzendegen! response:	Wait, wait!
context: This is a legendary shrine.\Schools that were built three years ago don't have old legends, right?\Shoko...\Bats fly across the cloudy sky.\That's the Colonel's star pupil for you...\Commencing Operation Virgin Road.\Blitzendegen!\Wait, wait! response:	What? What?
context: Schools that were built three years ago don't have old legends, right?\Shoko...\Bats fly across the cloudy sky.\That's the Colonel's star pupil for you...\Commencing Operation Virgin Road.\Blitzendegen!\Wait, wait!\What? What? response:	G-Give me a second!
context: Shoko...\Bats fly across the cloudy sky.\That's the Colonel's star pupil for you...\Commencing Operation Virgin Road.\Blitzendegen!\Wait, wait!\What? What?\G-Give me a second! response:	Huh?
context: Bats fly across the cloudy sky.\That's the Colonel's star pupil for you...\Commencing Operation Virgin Road.\Blitzendegen!\Wait, wait!\What? What?\G-Give me a second!\Huh? response:	I mean, t-this is
context: That's the Colonel's star pupil for you...\Commencing Operation Virgin Road.\Blitzendegen!\Wait, wait!\What? What?\G-Give me a second!\Huh?\I mean, t-this is response:	Waffe unit 1, box out!
context: Commencing Operation Virgin Road.\Blitzendegen!\Wait, wait!\What? What?\G-Give me a second!\Huh?\I mean, t-this is\Waffe unit 1, box out! response:	G-Go ahead.
context: Blitzendegen!\Wait, wait!\What? What?\G-Give me a second!\Huh?\I mean, t-this is\Waffe unit 1, box out!\G-Go ahead. response:	O-Okay.
context: Wait, wait!\What? What?\G-Give me a second!\Huh?\I mean, t-this is\Waffe unit 1, box out!\G-Go ahead.\O-Okay. response:	Shoko, I'm in
context: What? What?\G-Give me a second!\Huh?\I mean, t-this is\Waffe unit 1, box out!\G-Go ahead.\O-Okay.\Shoko, I'm in response:	What are those?
context: G-Give me a second!\Huh?\I mean, t-this is\Waffe unit 1, box out!\G-Go ahead.\O-Okay.\Shoko, I'm in\What are those? response:	Kind of low, aren't they?
context: Huh?\I mean, t-this is\Waffe unit 1, box out!\G-Go ahead.\O-Okay.\Shoko, I'm in\What are those?\Kind of low, aren't they? response:	What a racket...
context: I mean, t-this is\Waffe unit 1, box out!\G-Go ahead.\O-Okay.\Shoko, I'm in\What are those?\Kind of low, aren't they?\What a racket... response:	Probably a drill or something.
context: Waffe unit 1, box out!\G-Go ahead.\O-Okay.\Shoko, I'm in\What are those?\Kind of low, aren't they?\What a racket...\Probably a drill or something. response:	Where are they from?
context: G-Go ahead.\O-Okay.\Shoko, I'm in\What are those?\Kind of low, aren't they?\What a racket...\Probably a drill or something.\Where are they from? response:	Aren't those Waffe?
context: O-Okay.\Shoko, I'm in\What are those?\Kind of low, aren't they?\What a racket...\Probably a drill or something.\Where are they from?\Aren't those Waffe? response:	Dorssians?
context: Shoko, I'm in\What are those?\Kind of low, aren't they?\What a racket...\Probably a drill or something.\Where are they from?\Aren't those Waffe?\Dorssians? response:	They're gonna hit!
context: What are those?\Kind of low, aren't they?\What a racket...\Probably a drill or something.\Where are they from?\Aren't those Waffe?\Dorssians?\They're gonna hit! response:	What military is that?!
context: Kind of low, aren't they?\What a racket...\Probably a drill or something.\Where are they from?\Aren't those Waffe?\Dorssians?\They're gonna hit!\What military is that?! response:	What are those?!
context: What a racket...\Probably a drill or something.\Where are they from?\Aren't those Waffe?\Dorssians?\They're gonna hit!\What military is that?!\What are those?! response:	Dorssian model number NW507Be, manned Waffe units!
context: Probably a drill or something.\Where are they from?\Aren't those Waffe?\Dorssians?\They're gonna hit!\What military is that?!\What are those?!\Dorssian model number NW507Be, manned Waffe units! response:	What are all those?!
context: Where are they from?\Aren't those Waffe?\Dorssians?\They're gonna hit!\What military is that?!\What are those?!\Dorssian model number NW507Be, manned Waffe units!\What are all those?! response:	Everyone, get inside the school building! Hurry!
context: Aren't those Waffe?\Dorssians?\They're gonna hit!\What military is that?!\What are those?!\Dorssian model number NW507Be, manned Waffe units!\What are all those?!\Everyone, get inside the school building! Hurry! response:	What's going on?!
context: Dorssians?\They're gonna hit!\What military is that?!\What are those?!\Dorssian model number NW507Be, manned Waffe units!\What are all those?!\Everyone, get inside the school building! Hurry!\What's going on?! response:	A war?
context: They're gonna hit!\What military is that?!\What are those?!\Dorssian model number NW507Be, manned Waffe units!\What are all those?!\Everyone, get inside the school building! Hurry!\What's going on?!\A war? response:	What the hell, man...?
context: What military is that?!\What are those?!\Dorssian model number NW507Be, manned Waffe units!\What are all those?!\Everyone, get inside the school building! Hurry!\What's going on?!\A war?\What the hell, man...? response:	What the hell?!
context: What are those?!\Dorssian model number NW507Be, manned Waffe units!\What are all those?!\Everyone, get inside the school building! Hurry!\What's going on?!\A war?\What the hell, man...?\What the hell?! response:	Hostiles confirmed as Dorssia Mil-Fed fleet!
context: Dorssian model number NW507Be, manned Waffe units!\What are all those?!\Everyone, get inside the school building! Hurry!\What's going on?!\A war?\What the hell, man...?\What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet! response:	Send word to the homeland!
context: What are all those?!\Everyone, get inside the school building! Hurry!\What's going on?!\A war?\What the hell, man...?\What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland! response:	It's no use! I can't get through!
context: Everyone, get inside the school building! Hurry!\What's going on?!\A war?\What the hell, man...?\What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland!\It's no use! I can't get through! response:	Why would the Dorssian military attack us?
context: What's going on?!\A war?\What the hell, man...?\What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland!\It's no use! I can't get through!\Why would the Dorssian military attack us? response:	Can't anyone get through to the homeland?
context: A war?\What the hell, man...?\What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland!\It's no use! I can't get through!\Why would the Dorssian military attack us?\Can't anyone get through to the homeland? response:	They say they're being blown out of the sky.
context: What the hell, man...?\What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland!\It's no use! I can't get through!\Why would the Dorssian military attack us?\Can't anyone get through to the homeland?\They say they're being blown out of the sky. response:	Why?
context: What the hell?!\Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland!\It's no use! I can't get through!\Why would the Dorssian military attack us?\Can't anyone get through to the homeland?\They say they're being blown out of the sky.\Why? response:	JIOR is a neutral country!
context: Hostiles confirmed as Dorssia Mil-Fed fleet!\Send word to the homeland!\It's no use! I can't get through!\Why would the Dorssian military attack us?\Can't anyone get through to the homeland?\They say they're being blown out of the sky.\Why?\JIOR is a neutral country! response:	Let's use the Valvrave!
context: Send word to the homeland!\It's no use! I can't get through!\Why would the Dorssian military attack us?\Can't anyone get through to the homeland?\They say they're being blown out of the sky.\Why?\JIOR is a neutral country!\Let's use the Valvrave! response:	Are you gonna take responsibility for it?
context: It's no use! I can't get through!\Why would the Dorssian military attack us?\Can't anyone get through to the homeland?\They say they're being blown out of the sky.\Why?\JIOR is a neutral country!\Let's use the Valvrave!\Are you gonna take responsibility for it? response:	Okay, I'm impressed...
context: Why would the Dorssian military attack us?\Can't anyone get through to the homeland?\They say they're being blown out of the sky.\Why?\JIOR is a neutral country!\Let's use the Valvrave!\Are you gonna take responsibility for it?\Okay, I'm impressed... response:	Aw, he hogged all the fun again!
context: Can't anyone get through to the homeland?\They say they're being blown out of the sky.\Why?\JIOR is a neutral country!\Let's use the Valvrave!\Are you gonna take responsibility for it?\Okay, I'm impressed...\Aw, he hogged all the fun again! response:	This one was still alive!
context: They say they're being blown out of the sky.\Why?\JIOR is a neutral country!\Let's use the Valvrave!\Are you gonna take responsibility for it?\Okay, I'm impressed...\Aw, he hogged all the fun again!\This one was still alive! response:	Hold it!
context: Why?\JIOR is a neutral country!\Let's use the Valvrave!\Are you gonna take responsibility for it?\Okay, I'm impressed...\Aw, he hogged all the fun again!\This one was still alive!\Hold it! response:	What's that?
context: JIOR is a neutral country!\Let's use the Valvrave!\Are you gonna take responsibility for it?\Okay, I'm impressed...\Aw, he hogged all the fun again!\This one was still alive!\Hold it!\What's that? response:	A robot?
context: Let's use the Valvrave!\Are you gonna take responsibility for it?\Okay, I'm impressed...\Aw, he hogged all the fun again!\This one was still alive!\Hold it!\What's that?\A robot? response:	Shoko!
context: Are you gonna take responsibility for it?\Okay, I'm impressed...\Aw, he hogged all the fun again!\This one was still alive!\Hold it!\What's that?\A robot?\Shoko! response:	There's someone inside that car!
context: Okay, I'm impressed...\Aw, he hogged all the fun again!\This one was still alive!\Hold it!\What's that?\A robot?\Shoko!\There's someone inside that car! response:	Shoko! Come back!
context: Aw, he hogged all the fun again!\This one was still alive!\Hold it!\What's that?\A robot?\Shoko!\There's someone inside that car!\Shoko! Come back! response:	I'll be fine! Go on ahead!
context: This one was still alive!\Hold it!\What's that?\A robot?\Shoko!\There's someone inside that car!\Shoko! Come back!\I'll be fine! Go on ahead! response:	Shoko!
context: Hold it!\What's that?\A robot?\Shoko!\There's someone inside that car!\Shoko! Come back!\I'll be fine! Go on ahead!\Shoko! response:	Shoko...
context: What's that?\A robot?\Shoko!\There's someone inside that car!\Shoko! Come back!\I'll be fine! Go on ahead!\Shoko!\Shoko... response:	Haruto...
context: A robot?\Shoko!\There's someone inside that car!\Shoko! Come back!\I'll be fine! Go on ahead!\Shoko!\Shoko...\Haruto... response:	Hey, Shoko...
context: Shoko!\There's someone inside that car!\Shoko! Come back!\I'll be fine! Go on ahead!\Shoko!\Shoko...\Haruto...\Hey, Shoko... response:	This is no time to be playing hide-and-seek!
context: There's someone inside that car!\Shoko! Come back!\I'll be fine! Go on ahead!\Shoko!\Shoko...\Haruto...\Hey, Shoko...\This is no time to be playing hide-and-seek! response:	Come on out! Okay, Shoko?
context: Shoko! Come back!\I'll be fine! Go on ahead!\Shoko!\Shoko...\Haruto...\Hey, Shoko...\This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko? response:	Shoko...
context: I'll be fine! Go on ahead!\Shoko!\Shoko...\Haruto...\Hey, Shoko...\This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko?\Shoko... response:	Let's go, Haruto!
context: Shoko!\Shoko...\Haruto...\Hey, Shoko...\This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko?\Shoko...\Let's go, Haruto! response:	Shoko!
context: Shoko...\Haruto...\Hey, Shoko...\This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko?\Shoko...\Let's go, Haruto!\Shoko! response:	Haruto, she's
context: Haruto...\Hey, Shoko...\This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko?\Shoko...\Let's go, Haruto!\Shoko!\Haruto, she's response:	I can't leave! She might
context: Hey, Shoko...\This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko?\Shoko...\Let's go, Haruto!\Shoko!\Haruto, she's\I can't leave! She might response:	Stop it!
context: This is no time to be playing hide-and-seek!\Come on out! Okay, Shoko?\Shoko...\Let's go, Haruto!\Shoko!\Haruto, she's\I can't leave! She might\Stop it! response:	You just have to accept it! She's dead!
context: Come on out! Okay, Shoko?\Shoko...\Let's go, Haruto!\Shoko!\Haruto, she's\I can't leave! She might\Stop it!\You just have to accept it! She's dead! response:	I'll make them pay...
context: Shoko...\Let's go, Haruto!\Shoko!\Haruto, she's\I can't leave! She might\Stop it!\You just have to accept it! She's dead!\I'll make them pay... response:	Haruto! It's not safe!
context: Let's go, Haruto!\Shoko!\Haruto, she's\I can't leave! She might\Stop it!\You just have to accept it! She's dead!\I'll make them pay...\Haruto! It's not safe! response:	Let's just sit tight until some adults arrive!
context: Shoko!\Haruto, she's\I can't leave! She might\Stop it!\You just have to accept it! She's dead!\I'll make them pay...\Haruto! It's not safe!\Let's just sit tight until some adults arrive! response:	Haruto!
context: Haruto, she's\I can't leave! She might\Stop it!\You just have to accept it! She's dead!\I'll make them pay...\Haruto! It's not safe!\Let's just sit tight until some adults arrive!\Haruto! response:	I'll make them pay...
context: I can't leave! She might\Stop it!\You just have to accept it! She's dead!\I'll make them pay...\Haruto! It's not safe!\Let's just sit tight until some adults arrive!\Haruto!\I'll make them pay... response:	I'll make them pay...
context: Stop it!\You just have to accept it! She's dead!\I'll make them pay...\Haruto! It's not safe!\Let's just sit tight until some adults arrive!\Haruto!\I'll make them pay...\I'll make them pay... response:	I'll make them pay!
context: You just have to accept it! She's dead!\I'll make them pay...\Haruto! It's not safe!\Let's just sit tight until some adults arrive!\Haruto!\I'll make them pay...\I'll make them pay...\I'll make them pay! response:	It's not safe here, run!
context: I'll make them pay...\Haruto! It's not safe!\Let's just sit tight until some adults arrive!\Haruto!\I'll make them pay...\I'll make them pay...\I'll make them pay!\It's not safe here, run! response:	It's humanoid?
context: Haruto! It's not safe!\Let's just sit tight until some adults arrive!\Haruto!\I'll make them pay...\I'll make them pay...\I'll make them pay!\It's not safe here, run!\It's humanoid? response:	Commander! It's the primary strategic objective!
context: Let's just sit tight until some adults arrive!\Haruto!\I'll make them pay...\I'll make them pay...\I'll make them pay!\It's not safe here, run!\It's humanoid?\Commander! It's the primary strategic objective! response:	So, you failed, you punks... I told them so!
context: Haruto!\I'll make them pay...\I'll make them pay...\I'll make them pay!\It's not safe here, run!\It's humanoid?\Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so! response:	I'll drag out just the pilot.
context: I'll make them pay...\I'll make them pay...\I'll make them pay!\It's not safe here, run!\It's humanoid?\Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so!\I'll drag out just the pilot. response:	I'll just need a second.
context: I'll make them pay...\I'll make them pay!\It's not safe here, run!\It's humanoid?\Commander! It's the primary strategic objective!\So, you failed, you punks... I told them so!\I'll drag out just the pilot.\I'll just need a second. response:	Work! Work! You're a robot, aren't you?!
