context: Here we come! response:	It's the start of Inuyasha!
context: Kill?\But maybe he's changed lately.\He doesn't seem as cold-hearted as before.\Why you...!\Hey, I told you guys to stop!\I guess he was a dangerous opponent.\Good thing we didn't engage him.\What is it? What's the matter? response:	What're they doing?
context: But maybe he's changed lately.\He doesn't seem as cold-hearted as before.\Why you...!\Hey, I told you guys to stop!\I guess he was a dangerous opponent.\Good thing we didn't engage him.\What is it? What's the matter?\What're they doing? response:	They once attacked that child?
context: He doesn't seem as cold-hearted as before.\Why you...!\Hey, I told you guys to stop!\I guess he was a dangerous opponent.\Good thing we didn't engage him.\What is it? What's the matter?\What're they doing?\They once attacked that child? response:	That child who accompanied Sesshomaru!
context: Why you...!\Hey, I told you guys to stop!\I guess he was a dangerous opponent.\Good thing we didn't engage him.\What is it? What's the matter?\What're they doing?\They once attacked that child?\That child who accompanied Sesshomaru! response:	I'm getting tired of this.
context: Hey, I told you guys to stop!\I guess he was a dangerous opponent.\Good thing we didn't engage him.\What is it? What's the matter?\What're they doing?\They once attacked that child?\That child who accompanied Sesshomaru!\I'm getting tired of this. response:	I think it'll be settled soon.
context: I guess he was a dangerous opponent.\Good thing we didn't engage him.\What is it? What's the matter?\What're they doing?\They once attacked that child?\That child who accompanied Sesshomaru!\I'm getting tired of this.\I think it'll be settled soon. response:	Inuyasha! Sit!
context: Good thing we didn't engage him.\What is it? What's the matter?\What're they doing?\They once attacked that child?\That child who accompanied Sesshomaru!\I'm getting tired of this.\I think it'll be settled soon.\Inuyasha! Sit! response:	Kagome... you!
context: What is it? What's the matter?\What're they doing?\They once attacked that child?\That child who accompanied Sesshomaru!\I'm getting tired of this.\I think it'll be settled soon.\Inuyasha! Sit!\Kagome... you! response:	Kagome, I'll think of this as a token of your love.
context: What're they doing?\They once attacked that child?\That child who accompanied Sesshomaru!\I'm getting tired of this.\I think it'll be settled soon.\Inuyasha! Sit!\Kagome... you!\Kagome, I'll think of this as a token of your love. response:	Don't think that.
context: They once attacked that child?\That child who accompanied Sesshomaru!\I'm getting tired of this.\I think it'll be settled soon.\Inuyasha! Sit!\Kagome... you!\Kagome, I'll think of this as a token of your love.\Don't think that. response:	See ya!
context: That child who accompanied Sesshomaru!\I'm getting tired of this.\I think it'll be settled soon.\Inuyasha! Sit!\Kagome... you!\Kagome, I'll think of this as a token of your love.\Don't think that.\See ya! response:	Wait, Koga!
context: I'm getting tired of this.\I think it'll be settled soon.\Inuyasha! Sit!\Kagome... you!\Kagome, I'll think of this as a token of your love.\Don't think that.\See ya!\Wait, Koga! response:	See ya, Sis!
context: I think it'll be settled soon.\Inuyasha! Sit!\Kagome... you!\Kagome, I'll think of this as a token of your love.\Don't think that.\See ya!\Wait, Koga!\See ya, Sis! response:	Things have calmed down at last.
context: Inuyasha! Sit!\Kagome... you!\Kagome, I'll think of this as a token of your love.\Don't think that.\See ya!\Wait, Koga!\See ya, Sis!\Things have calmed down at last. response:	Let us go to the next village as planned.
context: Kagome... you!\Kagome, I'll think of this as a token of your love.\Don't think that.\See ya!\Wait, Koga!\See ya, Sis!\Things have calmed down at last.\Let us go to the next village as planned. response:	Hold it, you!
context: Kagome, I'll think of this as a token of your love.\Don't think that.\See ya!\Wait, Koga!\See ya, Sis!\Things have calmed down at last.\Let us go to the next village as planned.\Hold it, you! response:	This doesn't smell like meat, but it's good!
context: Don't think that.\See ya!\Wait, Koga!\See ya, Sis!\Things have calmed down at last.\Let us go to the next village as planned.\Hold it, you!\This doesn't smell like meat, but it's good! response:	Hey, if we go this way...
context: See ya!\Wait, Koga!\See ya, Sis!\Things have calmed down at last.\Let us go to the next village as planned.\Hold it, you!\This doesn't smell like meat, but it's good!\Hey, if we go this way... response:	We'll hit that river.
context: Wait, Koga!\See ya, Sis!\Things have calmed down at last.\Let us go to the next village as planned.\Hold it, you!\This doesn't smell like meat, but it's good!\Hey, if we go this way...\We'll hit that river. response:	There was a riverup a ways.
context: See ya, Sis!\Things have calmed down at last.\Let us go to the next village as planned.\Hold it, you!\This doesn't smell like meat, but it's good!\Hey, if we go this way...\We'll hit that river.\There was a riverup a ways. response:	Let's rest overthere.
context: Things have calmed down at last.\Let us go to the next village as planned.\Hold it, you!\This doesn't smell like meat, but it's good!\Hey, if we go this way...\We'll hit that river.\There was a riverup a ways.\Let's rest overthere. response:	Err... no, no! Let's go on ahead!
context: Let us go to the next village as planned.\Hold it, you!\This doesn't smell like meat, but it's good!\Hey, if we go this way...\We'll hit that river.\There was a riverup a ways.\Let's rest overthere.\Err... no, no! Let's go on ahead! response:	Forget the river!
context: Hold it, you!\This doesn't smell like meat, but it's good!\Hey, if we go this way...\We'll hit that river.\There was a riverup a ways.\Let's rest overthere.\Err... no, no! Let's go on ahead!\Forget the river! response:	I'm thirsty!
context: This doesn't smell like meat, but it's good!\Hey, if we go this way...\We'll hit that river.\There was a riverup a ways.\Let's rest overthere.\Err... no, no! Let's go on ahead!\Forget the river!\I'm thirsty! response:	Then let's go upriver some more.
context: Hey, if we go this way...\We'll hit that river.\There was a riverup a ways.\Let's rest overthere.\Err... no, no! Let's go on ahead!\Forget the river!\I'm thirsty!\Then let's go upriver some more. response:	Or downriver some more.
context: We'll hit that river.\There was a riverup a ways.\Let's rest overthere.\Err... no, no! Let's go on ahead!\Forget the river!\I'm thirsty!\Then let's go upriver some more.\Or downriver some more. response:	Why go through so much trouble?
context: There was a riverup a ways.\Let's rest overthere.\Err... no, no! Let's go on ahead!\Forget the river!\I'm thirsty!\Then let's go upriver some more.\Or downriver some more.\Why go through so much trouble? response:	- Well... - That's...
context: Let's rest overthere.\Err... no, no! Let's go on ahead!\Forget the river!\I'm thirsty!\Then let's go upriver some more.\Or downriver some more.\Why go through so much trouble?\- Well... - That's... response:	We can't tell him!
context: Err... no, no! Let's go on ahead!\Forget the river!\I'm thirsty!\Then let's go upriver some more.\Or downriver some more.\Why go through so much trouble?\- Well... - That's...\We can't tell him! response:	Knowing Koga's personality... he'll...
context: Forget the river!\I'm thirsty!\Then let's go upriver some more.\Or downriver some more.\Why go through so much trouble?\- Well... - That's...\We can't tell him!\Knowing Koga's personality... he'll... response:	Fools!
context: I'm thirsty!\Then let's go upriver some more.\Or downriver some more.\Why go through so much trouble?\- Well... - That's...\We can't tell him!\Knowing Koga's personality... he'll...\Fools! response:	Why must I avoid Inuyasha's older brother?!
context: Then let's go upriver some more.\Or downriver some more.\Why go through so much trouble?\- Well... - That's...\We can't tell him!\Knowing Koga's personality... he'll...\Fools!\Why must I avoid Inuyasha's older brother?! response:	He's just another mutt!
context: Or downriver some more.\Why go through so much trouble?\- Well... - That's...\We can't tell him!\Knowing Koga's personality... he'll...\Fools!\Why must I avoid Inuyasha's older brother?!\He's just another mutt! response:	Bring him on! Lead me to him!
context: Why go through so much trouble?\- Well... - That's...\We can't tell him!\Knowing Koga's personality... he'll...\Fools!\Why must I avoid Inuyasha's older brother?!\He's just another mutt!\Bring him on! Lead me to him! response:	He'll go start a fight himself.
context: - Well... - That's...\We can't tell him!\Knowing Koga's personality... he'll...\Fools!\Why must I avoid Inuyasha's older brother?!\He's just another mutt!\Bring him on! Lead me to him!\He'll go start a fight himself. response:	- Koga! Let's go that way. - C'mon, Koga.
context: We can't tell him!\Knowing Koga's personality... he'll...\Fools!\Why must I avoid Inuyasha's older brother?!\He's just another mutt!\Bring him on! Lead me to him!\He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga. response:	Hey you two!
context: Knowing Koga's personality... he'll...\Fools!\Why must I avoid Inuyasha's older brother?!\He's just another mutt!\Bring him on! Lead me to him!\He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga.\Hey you two! response:	What's with ordering me around?!
context: Fools!\Why must I avoid Inuyasha's older brother?!\He's just another mutt!\Bring him on! Lead me to him!\He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga.\Hey you two!\What's with ordering me around?! response:	We're not ordering you around, Koga.
context: Why must I avoid Inuyasha's older brother?!\He's just another mutt!\Bring him on! Lead me to him!\He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga.\Hey you two!\What's with ordering me around?!\We're not ordering you around, Koga. response:	We're just warning you.
context: He's just another mutt!\Bring him on! Lead me to him!\He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga.\Hey you two!\What's with ordering me around?!\We're not ordering you around, Koga.\We're just warning you. response:	Please just listen to us.
context: Bring him on! Lead me to him!\He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga.\Hey you two!\What's with ordering me around?!\We're not ordering you around, Koga.\We're just warning you.\Please just listen to us. response:	Okay?!
context: He'll go start a fight himself.\- Koga! Let's go that way. - C'mon, Koga.\Hey you two!\What's with ordering me around?!\We're not ordering you around, Koga.\We're just warning you.\Please just listen to us.\Okay?! response:	Cut it out!
context: - Koga! Let's go that way. - C'mon, Koga.\Hey you two!\What's with ordering me around?!\We're not ordering you around, Koga.\We're just warning you.\Please just listen to us.\Okay?!\Cut it out! response:	What's going on?
context: Hey you two!\What's with ordering me around?!\We're not ordering you around, Koga.\We're just warning you.\Please just listen to us.\Okay?!\Cut it out!\What's going on? response:	I want to go this way. You just follow!
context: What's with ordering me around?!\We're not ordering you around, Koga.\We're just warning you.\Please just listen to us.\Okay?!\Cut it out!\What's going on?\I want to go this way. You just follow! response:	We don't want to follow! That's why we're stopping you!
context: We're not ordering you around, Koga.\We're just warning you.\Please just listen to us.\Okay?!\Cut it out!\What's going on?\I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you! response:	We don't wanna go there!
context: We're just warning you.\Please just listen to us.\Okay?!\Cut it out!\What's going on?\I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you!\We don't wanna go there! response:	You don't want to follow me?
context: Please just listen to us.\Okay?!\Cut it out!\What's going on?\I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you!\We don't wanna go there!\You don't want to follow me? response:	Then go on home!
context: Okay?!\Cut it out!\What's going on?\I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you!\We don't wanna go there!\You don't want to follow me?\Then go on home! response:	Koga, what a thing to say to us!
context: Cut it out!\What's going on?\I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you!\We don't wanna go there!\You don't want to follow me?\Then go on home!\Koga, what a thing to say to us! response:	You don't even understand how we feel!
context: What's going on?\I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you!\We don't wanna go there!\You don't want to follow me?\Then go on home!\Koga, what a thing to say to us!\You don't even understand how we feel! response:	Why should I understand yourfeelings?!
context: I want to go this way. You just follow!\We don't want to follow! That's why we're stopping you!\We don't wanna go there!\You don't want to follow me?\Then go on home!\Koga, what a thing to say to us!\You don't even understand how we feel!\Why should I understand yourfeelings?! response:	Koga! You stupid!
context: We don't want to follow! That's why we're stopping you!\We don't wanna go there!\You don't want to follow me?\Then go on home!\Koga, what a thing to say to us!\You don't even understand how we feel!\Why should I understand yourfeelings?!\Koga! You stupid! response:	What's with them?
context: We don't wanna go there!\You don't want to follow me?\Then go on home!\Koga, what a thing to say to us!\You don't even understand how we feel!\Why should I understand yourfeelings?!\Koga! You stupid!\What's with them? response:	You have it! You have it!
context: You don't want to follow me?\Then go on home!\Koga, what a thing to say to us!\You don't even understand how we feel!\Why should I understand yourfeelings?!\Koga! You stupid!\What's with them?\You have it! You have it! response:	W-What was that?!
context: Then go on home!\Koga, what a thing to say to us!\You don't even understand how we feel!\Why should I understand yourfeelings?!\Koga! You stupid!\What's with them?\You have it! You have it!\W-What was that?! response:	What is it?
context: Koga, what a thing to say to us!\You don't even understand how we feel!\Why should I understand yourfeelings?!\Koga! You stupid!\What's with them?\You have it! You have it!\W-What was that?!\What is it? response:	You have a Sacred Jewel shard!
context: You don't even understand how we feel!\Why should I understand yourfeelings?!\Koga! You stupid!\What's with them?\You have it! You have it!\W-What was that?!\What is it?\You have a Sacred Jewel shard! response:	Ademon?
context: Why should I understand yourfeelings?!\Koga! You stupid!\What's with them?\You have it! You have it!\W-What was that?!\What is it?\You have a Sacred Jewel shard!\Ademon? response:	Hand overthe Sacred Jewel shard!
context: Koga! You stupid!\What's with them?\You have it! You have it!\W-What was that?!\What is it?\You have a Sacred Jewel shard!\Ademon?\Hand overthe Sacred Jewel shard! response:	Namu...
context: What's with them?\You have it! You have it!\W-What was that?!\What is it?\You have a Sacred Jewel shard!\Ademon?\Hand overthe Sacred Jewel shard!\Namu... response:	Ohh! So strong!
context: You have it! You have it!\W-What was that?!\What is it?\You have a Sacred Jewel shard!\Ademon?\Hand overthe Sacred Jewel shard!\Namu...\Ohh! So strong! response:	Huh?
context: W-What was that?!\What is it?\You have a Sacred Jewel shard!\Ademon?\Hand overthe Sacred Jewel shard!\Namu...\Ohh! So strong!\Huh? response:	Ourvillage was tormented by that demon.
context: What is it?\You have a Sacred Jewel shard!\Ademon?\Hand overthe Sacred Jewel shard!\Namu...\Ohh! So strong!\Huh?\Ourvillage was tormented by that demon. response:	You saved us!
context: You have a Sacred Jewel shard!\Ademon?\Hand overthe Sacred Jewel shard!\Namu...\Ohh! So strong!\Huh?\Ourvillage was tormented by that demon.\You saved us! response:	There's been an increase in demons lately.
context: Ademon?\Hand overthe Sacred Jewel shard!\Namu...\Ohh! So strong!\Huh?\Ourvillage was tormented by that demon.\You saved us!\There's been an increase in demons lately. response:	You must spend the night with us!
context: Hand overthe Sacred Jewel shard!\Namu...\Ohh! So strong!\Huh?\Ourvillage was tormented by that demon.\You saved us!\There's been an increase in demons lately.\You must spend the night with us! response:	Really? Thank you.
context: Namu...\Ohh! So strong!\Huh?\Ourvillage was tormented by that demon.\You saved us!\There's been an increase in demons lately.\You must spend the night with us!\Really? Thank you. response:	We can accept their hospitality withoutguilt tonight.
context: Ohh! So strong!\Huh?\Ourvillage was tormented by that demon.\You saved us!\There's been an increase in demons lately.\You must spend the night with us!\Really? Thank you.\We can accept their hospitality withoutguilt tonight. response:	Especially since there's no reason forMiroku
context: Huh?\Ourvillage was tormented by that demon.\You saved us!\There's been an increase in demons lately.\You must spend the night with us!\Really? Thank you.\We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku response:	to do an unnecessary exorcism.
context: Ourvillage was tormented by that demon.\You saved us!\There's been an increase in demons lately.\You must spend the night with us!\Really? Thank you.\We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku\to do an unnecessary exorcism. response:	Why?
context: You saved us!\There's been an increase in demons lately.\You must spend the night with us!\Really? Thank you.\We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku\to do an unnecessary exorcism.\Why? response:	We won't find Naraku
context: There's been an increase in demons lately.\You must spend the night with us!\Really? Thank you.\We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku\to do an unnecessary exorcism.\Why?\We won't find Naraku response:	in a village that was under attack by demons.
context: You must spend the night with us!\Really? Thank you.\We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku\to do an unnecessary exorcism.\Why?\We won't find Naraku\in a village that was under attack by demons. response:	Don't say that. Let's just stay here.
context: Really? Thank you.\We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku\to do an unnecessary exorcism.\Why?\We won't find Naraku\in a village that was under attack by demons.\Don't say that. Let's just stay here. response:	Stupid Koga!
context: We can accept their hospitality withoutguilt tonight.\Especially since there's no reason forMiroku\to do an unnecessary exorcism.\Why?\We won't find Naraku\in a village that was under attack by demons.\Don't say that. Let's just stay here.\Stupid Koga! response:	How could he say such things when we're worried about him?
context: Especially since there's no reason forMiroku\to do an unnecessary exorcism.\Why?\We won't find Naraku\in a village that was under attack by demons.\Don't say that. Let's just stay here.\Stupid Koga!\How could he say such things when we're worried about him? response:	He's so rash.
context: to do an unnecessary exorcism.\Why?\We won't find Naraku\in a village that was under attack by demons.\Don't say that. Let's just stay here.\Stupid Koga!\How could he say such things when we're worried about him?\He's so rash. response:	He's too arrogant... just'cuz he's the young boss.
context: Why?\We won't find Naraku\in a village that was under attack by demons.\Don't say that. Let's just stay here.\Stupid Koga!\How could he say such things when we're worried about him?\He's so rash.\He's too arrogant... just'cuz he's the young boss. response:	Maybe we should go serve Kagome.
context: We won't find Naraku\in a village that was under attack by demons.\Don't say that. Let's just stay here.\Stupid Koga!\How could he say such things when we're worried about him?\He's so rash.\He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome. response:	Kagome wouldn't ever treat us like this!
context: in a village that was under attack by demons.\Don't say that. Let's just stay here.\Stupid Koga!\How could he say such things when we're worried about him?\He's so rash.\He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this! response:	But there's Inuyasha.
context: Don't say that. Let's just stay here.\Stupid Koga!\How could he say such things when we're worried about him?\He's so rash.\He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this!\But there's Inuyasha. response:	You're right. And he's just as rough.
context: Stupid Koga!\How could he say such things when we're worried about him?\He's so rash.\He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this!\But there's Inuyasha.\You're right. And he's just as rough. response:	Who are you? You're not from around here.
context: How could he say such things when we're worried about him?\He's so rash.\He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this!\But there's Inuyasha.\You're right. And he's just as rough.\Who are you? You're not from around here. response:	- Wait! - Hang in there!
context: He's so rash.\He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this!\But there's Inuyasha.\You're right. And he's just as rough.\Who are you? You're not from around here.\- Wait! - Hang in there! response:	You coward!
context: He's too arrogant... just'cuz he's the young boss.\Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this!\But there's Inuyasha.\You're right. And he's just as rough.\Who are you? You're not from around here.\- Wait! - Hang in there!\You coward! response:	You're mean, Ginta!
context: Maybe we should go serve Kagome.\Kagome wouldn't ever treat us like this!\But there's Inuyasha.\You're right. And he's just as rough.\Who are you? You're not from around here.\- Wait! - Hang in there!\You coward!\You're mean, Ginta! response:	Koga would never abandon a comrade!
context: Kagome wouldn't ever treat us like this!\But there's Inuyasha.\You're right. And he's just as rough.\Who are you? You're not from around here.\- Wait! - Hang in there!\You coward!\You're mean, Ginta!\Koga would never abandon a comrade! response:	That's'cuz he's Koga!
context: But there's Inuyasha.\You're right. And he's just as rough.\Who are you? You're not from around here.\- Wait! - Hang in there!\You coward!\You're mean, Ginta!\Koga would never abandon a comrade!\That's'cuz he's Koga! response:	Damn! This is happening because Koga came this far!
context: You're right. And he's just as rough.\Who are you? You're not from around here.\- Wait! - Hang in there!\You coward!\You're mean, Ginta!\Koga would never abandon a comrade!\That's'cuz he's Koga!\Damn! This is happening because Koga came this far! response:	Right! He just wanted to go after Naraku and didn't think.
context: Who are you? You're not from around here.\- Wait! - Hang in there!\You coward!\You're mean, Ginta!\Koga would never abandon a comrade!\That's'cuz he's Koga!\Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think. response:	He said Naraku was unforgivable forkilling our comrades...
context: - Wait! - Hang in there!\You coward!\You're mean, Ginta!\Koga would never abandon a comrade!\That's'cuz he's Koga!\Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades... response:	Oh yeah... before Naraku disappeared...
context: You coward!\You're mean, Ginta!\Koga would never abandon a comrade!\That's'cuz he's Koga!\Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared... response:	Why don't we give up about finding Naraku's castle?
context: You're mean, Ginta!\Koga would never abandon a comrade!\That's'cuz he's Koga!\Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle? response:	What'd you say?!
context: Koga would never abandon a comrade!\That's'cuz he's Koga!\Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle?\What'd you say?! response:	Have you forgotten?!
context: That's'cuz he's Koga!\Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle?\What'd you say?!\Have you forgotten?! response:	Naraku slaughtered all ourfriends and family!
context: Damn! This is happening because Koga came this far!\Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle?\What'd you say?!\Have you forgotten?!\Naraku slaughtered all ourfriends and family! response:	Who'd everforget?!
context: Right! He just wanted to go after Naraku and didn't think.\He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle?\What'd you say?!\Have you forgotten?!\Naraku slaughtered all ourfriends and family!\Who'd everforget?! response:	But there's no way to find him!
context: He said Naraku was unforgivable forkilling our comrades...\Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle?\What'd you say?!\Have you forgotten?!\Naraku slaughtered all ourfriends and family!\Who'd everforget?!\But there's no way to find him! response:	I'll nevergive up!
context: Oh yeah... before Naraku disappeared...\Why don't we give up about finding Naraku's castle?\What'd you say?!\Have you forgotten?!\Naraku slaughtered all ourfriends and family!\Who'd everforget?!\But there's no way to find him!\I'll nevergive up! response:	I'll beat that Naraku to death!
context: Why don't we give up about finding Naraku's castle?\What'd you say?!\Have you forgotten?!\Naraku slaughtered all ourfriends and family!\Who'd everforget?!\But there's no way to find him!\I'll nevergive up!\I'll beat that Naraku to death! response:	Orelse, ourdead comrades won't everforgive me!
context: What'd you say?!\Have you forgotten?!\Naraku slaughtered all ourfriends and family!\Who'd everforget?!\But there's no way to find him!\I'll nevergive up!\I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me! response:	This journey is a vendetta for ourlost comrades.
context: Have you forgotten?!\Naraku slaughtered all ourfriends and family!\Who'd everforget?!\But there's no way to find him!\I'll nevergive up!\I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades. response:	Koga is the young boss. He feels the responsibility.
context: Naraku slaughtered all ourfriends and family!\Who'd everforget?!\But there's no way to find him!\I'll nevergive up!\I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility. response:	He's rough, but he cherishes all his comrades.
context: Who'd everforget?!\But there's no way to find him!\I'll nevergive up!\I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades. response:	He saved us a number of times, too.
context: But there's no way to find him!\I'll nevergive up!\I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades.\He saved us a number of times, too. response:	What'll you do?
context: I'll nevergive up!\I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades.\He saved us a number of times, too.\What'll you do? response:	What should we do?
context: I'll beat that Naraku to death!\Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades.\He saved us a number of times, too.\What'll you do?\What should we do? response:	This smell! It's Sesshomaru!
context: Orelse, ourdead comrades won't everforgive me!\This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades.\He saved us a number of times, too.\What'll you do?\What should we do?\This smell! It's Sesshomaru! response:	He's coming this way!
context: This journey is a vendetta for ourlost comrades.\Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades.\He saved us a number of times, too.\What'll you do?\What should we do?\This smell! It's Sesshomaru!\He's coming this way! response:	But Koga's up ahead!
context: Koga is the young boss. He feels the responsibility.\He's rough, but he cherishes all his comrades.\He saved us a number of times, too.\What'll you do?\What should we do?\This smell! It's Sesshomaru!\He's coming this way!\But Koga's up ahead! response:	They'll meet!
context: He's rough, but he cherishes all his comrades.\He saved us a number of times, too.\What'll you do?\What should we do?\This smell! It's Sesshomaru!\He's coming this way!\But Koga's up ahead!\They'll meet! response:	But if they meet... Hey!
context: He saved us a number of times, too.\What'll you do?\What should we do?\This smell! It's Sesshomaru!\He's coming this way!\But Koga's up ahead!\They'll meet!\But if they meet... Hey! response:	You disgusting mutt!
context: What'll you do?\What should we do?\This smell! It's Sesshomaru!\He's coming this way!\But Koga's up ahead!\They'll meet!\But if they meet... Hey!\You disgusting mutt! response:	Stop looking so smug!
context: What should we do?\This smell! It's Sesshomaru!\He's coming this way!\But Koga's up ahead!\They'll meet!\But if they meet... Hey!\You disgusting mutt!\Stop looking so smug! response:	Lord Sesshomaru, he's the one!
context: This smell! It's Sesshomaru!\He's coming this way!\But Koga's up ahead!\They'll meet!\But if they meet... Hey!\You disgusting mutt!\Stop looking so smug!\Lord Sesshomaru, he's the one! response:	We must do something!
context: He's coming this way!\But Koga's up ahead!\They'll meet!\But if they meet... Hey!\You disgusting mutt!\Stop looking so smug!\Lord Sesshomaru, he's the one!\We must do something! response:	We two must do something!
context: But Koga's up ahead!\They'll meet!\But if they meet... Hey!\You disgusting mutt!\Stop looking so smug!\Lord Sesshomaru, he's the one!\We must do something!\We two must do something! response:	But what?!
context: They'll meet!\But if they meet... Hey!\You disgusting mutt!\Stop looking so smug!\Lord Sesshomaru, he's the one!\We must do something!\We two must do something!\But what?! response:	What should we do?
context: But if they meet... Hey!\You disgusting mutt!\Stop looking so smug!\Lord Sesshomaru, he's the one!\We must do something!\We two must do something!\But what?!\What should we do? response:	What are they?
context: You disgusting mutt!\Stop looking so smug!\Lord Sesshomaru, he's the one!\We must do something!\We two must do something!\But what?!\What should we do?\What are they? response:	This road is closed!
context: Stop looking so smug!\Lord Sesshomaru, he's the one!\We must do something!\We two must do something!\But what?!\What should we do?\What are they?\This road is closed! response:	Turn around!
context: Lord Sesshomaru, he's the one!\We must do something!\We two must do something!\But what?!\What should we do?\What are they?\This road is closed!\Turn around! response:	What shall we do, Lord Sesshomaru?
context: We must do something!\We two must do something!\But what?!\What should we do?\What are they?\This road is closed!\Turn around!\What shall we do, Lord Sesshomaru? response:	Lord Sesshomaru...
context: We two must do something!\But what?!\What should we do?\What are they?\This road is closed!\Turn around!\What shall we do, Lord Sesshomaru?\Lord Sesshomaru... response:	We're the right- and left-hand men of Koga,
context: But what?!\What should we do?\What are they?\This road is closed!\Turn around!\What shall we do, Lord Sesshomaru?\Lord Sesshomaru...\We're the right- and left-hand men of Koga, response:	the great young boss of the Wolf-Demon Tribe.
context: What should we do?\What are they?\This road is closed!\Turn around!\What shall we do, Lord Sesshomaru?\Lord Sesshomaru...\We're the right- and left-hand men of Koga,\the great young boss of the Wolf-Demon Tribe. response:	Ginta from Hell!
context: What are they?\This road is closed!\Turn around!\What shall we do, Lord Sesshomaru?\Lord Sesshomaru...\We're the right- and left-hand men of Koga,\the great young boss of the Wolf-Demon Tribe.\Ginta from Hell! response:	Slayer Hakkaku!
context: This road is closed!\Turn around!\What shall we do, Lord Sesshomaru?\Lord Sesshomaru...\We're the right- and left-hand men of Koga,\the great young boss of the Wolf-Demon Tribe.\Ginta from Hell!\Slayer Hakkaku! response:	Sounds different from earlier on.
