context: Stronghold of Lust response:	<Where is Pleguzes Jiart?>
context: we have completed what we believe to be\the best strategy for this upcoming battle.\We consider it imperative that\the media and the people of the world offer their support.\As such, we would like to disclose the content of our strategy in detail.\If you would, Vice Chief of Staff Komine.\Sir!\Huh? Lt. Amane, what are you doing here? response:	Why can't I be here?
context: the best strategy for this upcoming battle.\We consider it imperative that\the media and the people of the world offer their support.\As such, we would like to disclose the content of our strategy in detail.\If you would, Vice Chief of Staff Komine.\Sir!\Huh? Lt. Amane, what are you doing here?\Why can't I be here? response:	Isn't it almost time for you to explain the strategy to the media?
context: We consider it imperative that\the media and the people of the world offer their support.\As such, we would like to disclose the content of our strategy in detail.\If you would, Vice Chief of Staff Komine.\Sir!\Huh? Lt. Amane, what are you doing here?\Why can't I be here?\Isn't it almost time for you to explain the strategy to the media? response:	Weren't you were the central figure behind devising this plan?
context: the media and the people of the world offer their support.\As such, we would like to disclose the content of our strategy in detail.\If you would, Vice Chief of Staff Komine.\Sir!\Huh? Lt. Amane, what are you doing here?\Why can't I be here?\Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan? response:	Look.
context: As such, we would like to disclose the content of our strategy in detail.\If you would, Vice Chief of Staff Komine.\Sir!\Huh? Lt. Amane, what are you doing here?\Why can't I be here?\Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan?\Look. response:	Allow me to explain our strategy.
context: If you would, Vice Chief of Staff Komine.\Sir!\Huh? Lt. Amane, what are you doing here?\Why can't I be here?\Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan?\Look.\Allow me to explain our strategy. response:	The GDF's recent assault on
context: Sir!\Huh? Lt. Amane, what are you doing here?\Why can't I be here?\Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan?\Look.\Allow me to explain our strategy.\The GDF's recent assault on response:	the enemy base on Planetoid RA221 ended in success.
context: Huh? Lt. Amane, what are you doing here?\Why can't I be here?\Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan?\Look.\Allow me to explain our strategy.\The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success. response:	However, we believe that the enemy is preparing to retaliate.
context: Why can't I be here?\Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan?\Look.\Allow me to explain our strategy.\The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate. response:	As such, we have decided to destroy Ragazza,
context: Isn't it almost time for you to explain the strategy to the media?\Weren't you were the central figure behind devising this plan?\Look.\Allow me to explain our strategy.\The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza, response:	the enemy's frontline base,
context: Weren't you were the central figure behind devising this plan?\Look.\Allow me to explain our strategy.\The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza,\the enemy's frontline base, response:	which is located in close proximity to our army base on Ceres.
context: Look.\Allow me to explain our strategy.\The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza,\the enemy's frontline base,\which is located in close proximity to our army base on Ceres. response:	First we will attack
context: Allow me to explain our strategy.\The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza,\the enemy's frontline base,\which is located in close proximity to our army base on Ceres.\First we will attack response:	the enemy with our cutting-edge laser-based system.
context: The GDF's recent assault on\the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza,\the enemy's frontline base,\which is located in close proximity to our army base on Ceres.\First we will attack\the enemy with our cutting-edge laser-based system. response:	To prevent the enemy from rushing us, we will set up a minefield.
context: the enemy base on Planetoid RA221 ended in success.\However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza,\the enemy's frontline base,\which is located in close proximity to our army base on Ceres.\First we will attack\the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield. response:	On top of that, the mobile troops will
context: However, we believe that the enemy is preparing to retaliate.\As such, we have decided to destroy Ragazza,\the enemy's frontline base,\which is located in close proximity to our army base on Ceres.\First we will attack\the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will response:	fire in unison with disposable rail guns.
context: As such, we have decided to destroy Ragazza,\the enemy's frontline base,\which is located in close proximity to our army base on Ceres.\First we will attack\the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will\fire in unison with disposable rail guns. response:	After that, we will enter normal battle.
context: the enemy's frontline base,\which is located in close proximity to our army base on Ceres.\First we will attack\the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will\fire in unison with disposable rail guns.\After that, we will enter normal battle. response:	Having predicted the enemy's path,
context: which is located in close proximity to our army base on Ceres.\First we will attack\the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will\fire in unison with disposable rail guns.\After that, we will enter normal battle.\Having predicted the enemy's path, response:	we have positioned vessels in front of Ceres
context: First we will attack\the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will\fire in unison with disposable rail guns.\After that, we will enter normal battle.\Having predicted the enemy's path,\we have positioned vessels in front of Ceres response:	that will fire a volley of guided
context: the enemy with our cutting-edge laser-based system.\To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will\fire in unison with disposable rail guns.\After that, we will enter normal battle.\Having predicted the enemy's path,\we have positioned vessels in front of Ceres\that will fire a volley of guided response:	sublight speed guns and free electron cannons.
context: To prevent the enemy from rushing us, we will set up a minefield.\On top of that, the mobile troops will\fire in unison with disposable rail guns.\After that, we will enter normal battle.\Having predicted the enemy's path,\we have positioned vessels in front of Ceres\that will fire a volley of guided\sublight speed guns and free electron cannons. response:	Afterwards, we will focus on absolute defense
context: On top of that, the mobile troops will\fire in unison with disposable rail guns.\After that, we will enter normal battle.\Having predicted the enemy's path,\we have positioned vessels in front of Ceres\that will fire a volley of guided\sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense response:	until the light wave weapon is fully charged.
context: fire in unison with disposable rail guns.\After that, we will enter normal battle.\Having predicted the enemy's path,\we have positioned vessels in front of Ceres\that will fire a volley of guided\sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged. response:	Once the heavy tactical laser has charged,
context: After that, we will enter normal battle.\Having predicted the enemy's path,\we have positioned vessels in front of Ceres\that will fire a volley of guided\sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged.\Once the heavy tactical laser has charged, response:	the vanguard mobile troops and vessels will leave
context: Having predicted the enemy's path,\we have positioned vessels in front of Ceres\that will fire a volley of guided\sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged.\Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave response:	the laser's line of fire.
context: we have positioned vessels in front of Ceres\that will fire a volley of guided\sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged.\Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave\the laser's line of fire. response:	Upon evacuation, we will destroy the
context: that will fire a volley of guided\sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged.\Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave\the laser's line of fire.\Upon evacuation, we will destroy the response:	Wulgaru base along with their fleet!
context: sublight speed guns and free electron cannons.\Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged.\Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave\the laser's line of fire.\Upon evacuation, we will destroy the\Wulgaru base along with their fleet! response:	That is all!
context: Afterwards, we will focus on absolute defense\until the light wave weapon is fully charged.\Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave\the laser's line of fire.\Upon evacuation, we will destroy the\Wulgaru base along with their fleet!\That is all! response:	With this, the Battle of Ceres,
context: until the light wave weapon is fully charged.\Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave\the laser's line of fire.\Upon evacuation, we will destroy the\Wulgaru base along with their fleet!\That is all!\With this, the Battle of Ceres, response:	the GDF will do everything within its power to win this war!
context: Once the heavy tactical laser has charged,\the vanguard mobile troops and vessels will leave\the laser's line of fire.\Upon evacuation, we will destroy the\Wulgaru base along with their fleet!\That is all!\With this, the Battle of Ceres,\the GDF will do everything within its power to win this war! response:	Sorry to have kept you waiting.
context: the vanguard mobile troops and vessels will leave\the laser's line of fire.\Upon evacuation, we will destroy the\Wulgaru base along with their fleet!\That is all!\With this, the Battle of Ceres,\the GDF will do everything within its power to win this war!\Sorry to have kept you waiting. response:	Let me introduce her.
context: the laser's line of fire.\Upon evacuation, we will destroy the\Wulgaru base along with their fleet!\That is all!\With this, the Battle of Ceres,\the GDF will do everything within its power to win this war!\Sorry to have kept you waiting.\Let me introduce her. response:	She will be in charge of managing your schedules,
context: Upon evacuation, we will destroy the\Wulgaru base along with their fleet!\That is all!\With this, the Battle of Ceres,\the GDF will do everything within its power to win this war!\Sorry to have kept you waiting.\Let me introduce her.\She will be in charge of managing your schedules, response:	Miss Peko Yamada.
context: Wulgaru base along with their fleet!\That is all!\With this, the Battle of Ceres,\the GDF will do everything within its power to win this war!\Sorry to have kept you waiting.\Let me introduce her.\She will be in charge of managing your schedules,\Miss Peko Yamada. response:	It's a pleasure!
context: That is all!\With this, the Battle of Ceres,\the GDF will do everything within its power to win this war!\Sorry to have kept you waiting.\Let me introduce her.\She will be in charge of managing your schedules,\Miss Peko Yamada.\It's a pleasure! response:	Th-the pleasure's mine.
context: With this, the Battle of Ceres,\the GDF will do everything within its power to win this war!\Sorry to have kept you waiting.\Let me introduce her.\She will be in charge of managing your schedules,\Miss Peko Yamada.\It's a pleasure!\Th-the pleasure's mine. response:	She is boarding the mother ship with us.
context: the GDF will do everything within its power to win this war!\Sorry to have kept you waiting.\Let me introduce her.\She will be in charge of managing your schedules,\Miss Peko Yamada.\It's a pleasure!\Th-the pleasure's mine.\She is boarding the mother ship with us. response:	I'll be supervising your schedules and everyday lives.
context: Sorry to have kept you waiting.\Let me introduce her.\She will be in charge of managing your schedules,\Miss Peko Yamada.\It's a pleasure!\Th-the pleasure's mine.\She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives. response:	If you run into any difficulties in your work or daily lives,
context: Let me introduce her.\She will be in charge of managing your schedules,\Miss Peko Yamada.\It's a pleasure!\Th-the pleasure's mine.\She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives, response:	please feel free to come see me for advice!
context: She will be in charge of managing your schedules,\Miss Peko Yamada.\It's a pleasure!\Th-the pleasure's mine.\She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice! response:	I'll even give you tips on love!
context: Miss Peko Yamada.\It's a pleasure!\Th-the pleasure's mine.\She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice!\I'll even give you tips on love! response:	In that case, I could use some personal advi-
context: It's a pleasure!\Th-the pleasure's mine.\She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice!\I'll even give you tips on love!\In that case, I could use some personal advi- response:	Please look after them.
context: Th-the pleasure's mine.\She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice!\I'll even give you tips on love!\In that case, I could use some personal advi-\Please look after them. response:	Sure, Captain!
context: She is boarding the mother ship with us.\I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice!\I'll even give you tips on love!\In that case, I could use some personal advi-\Please look after them.\Sure, Captain! response:	Excuse me!
context: I'll be supervising your schedules and everyday lives.\If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice!\I'll even give you tips on love!\In that case, I could use some personal advi-\Please look after them.\Sure, Captain!\Excuse me! response:	Yes?
context: If you run into any difficulties in your work or daily lives,\please feel free to come see me for advice!\I'll even give you tips on love!\In that case, I could use some personal advi-\Please look after them.\Sure, Captain!\Excuse me!\Yes? response:	Um, what should we do?
context: please feel free to come see me for advice!\I'll even give you tips on love!\In that case, I could use some personal advi-\Please look after them.\Sure, Captain!\Excuse me!\Yes?\Um, what should we do? response:	Are we supposed to participate in that Battle of Ceres
context: I'll even give you tips on love!\In that case, I could use some personal advi-\Please look after them.\Sure, Captain!\Excuse me!\Yes?\Um, what should we do?\Are we supposed to participate in that Battle of Ceres response:	they just announced?
context: In that case, I could use some personal advi-\Please look after them.\Sure, Captain!\Excuse me!\Yes?\Um, what should we do?\Are we supposed to participate in that Battle of Ceres\they just announced? response:	Yes, but you'll be on standby for a while first.
context: Please look after them.\Sure, Captain!\Excuse me!\Yes?\Um, what should we do?\Are we supposed to participate in that Battle of Ceres\they just announced?\Yes, but you'll be on standby for a while first. response:	S-standby?
context: Sure, Captain!\Excuse me!\Yes?\Um, what should we do?\Are we supposed to participate in that Battle of Ceres\they just announced?\Yes, but you'll be on standby for a while first.\S-standby? response:	You're free to do as you like on Star Rose.
context: Excuse me!\Yes?\Um, what should we do?\Are we supposed to participate in that Battle of Ceres\they just announced?\Yes, but you'll be on standby for a while first.\S-standby?\You're free to do as you like on Star Rose. response:	Now I have a meeting to attend.
context: Yes?\Um, what should we do?\Are we supposed to participate in that Battle of Ceres\they just announced?\Yes, but you'll be on standby for a while first.\S-standby?\You're free to do as you like on Star Rose.\Now I have a meeting to attend. response:	Shall we get going?
context: Um, what should we do?\Are we supposed to participate in that Battle of Ceres\they just announced?\Yes, but you'll be on standby for a while first.\S-standby?\You're free to do as you like on Star Rose.\Now I have a meeting to attend.\Shall we get going? response:	I've prepared new rooms for everyone on Star Rose.
context: Are we supposed to participate in that Battle of Ceres\they just announced?\Yes, but you'll be on standby for a while first.\S-standby?\You're free to do as you like on Star Rose.\Now I have a meeting to attend.\Shall we get going?\I've prepared new rooms for everyone on Star Rose. response:	Here!
context: they just announced?\Yes, but you'll be on standby for a while first.\S-standby?\You're free to do as you like on Star Rose.\Now I have a meeting to attend.\Shall we get going?\I've prepared new rooms for everyone on Star Rose.\Here! response:	You can also use it for purchases in the mess hall and at kiosks.
context: Yes, but you'll be on standby for a while first.\S-standby?\You're free to do as you like on Star Rose.\Now I have a meeting to attend.\Shall we get going?\I've prepared new rooms for everyone on Star Rose.\Here!\You can also use it for purchases in the mess hall and at kiosks. response:	Please let me know if you need anything else.
context: S-standby?\You're free to do as you like on Star Rose.\Now I have a meeting to attend.\Shall we get going?\I've prepared new rooms for everyone on Star Rose.\Here!\You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else. response:	Well, take care!
context: You're free to do as you like on Star Rose.\Now I have a meeting to attend.\Shall we get going?\I've prepared new rooms for everyone on Star Rose.\Here!\You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else.\Well, take care! response:	Uh, thanks.
context: Now I have a meeting to attend.\Shall we get going?\I've prepared new rooms for everyone on Star Rose.\Here!\You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else.\Well, take care!\Uh, thanks. response:	Everyone gets their own room, huh?
context: Shall we get going?\I've prepared new rooms for everyone on Star Rose.\Here!\You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else.\Well, take care!\Uh, thanks.\Everyone gets their own room, huh? response:	This is mine!
context: I've prepared new rooms for everyone on Star Rose.\Here!\You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else.\Well, take care!\Uh, thanks.\Everyone gets their own room, huh?\This is mine! response:	Awesome!
context: Here!\You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else.\Well, take care!\Uh, thanks.\Everyone gets their own room, huh?\This is mine!\Awesome! response:	It's like a VIP room...
context: You can also use it for purchases in the mess hall and at kiosks.\Please let me know if you need anything else.\Well, take care!\Uh, thanks.\Everyone gets their own room, huh?\This is mine!\Awesome!\It's like a VIP room... response:	It's so different from the dorm!
context: Please let me know if you need anything else.\Well, take care!\Uh, thanks.\Everyone gets their own room, huh?\This is mine!\Awesome!\It's like a VIP room...\It's so different from the dorm! response:	Everyone, go to your own room!
context: Well, take care!\Uh, thanks.\Everyone gets their own room, huh?\This is mine!\Awesome!\It's like a VIP room...\It's so different from the dorm!\Everyone, go to your own room! response:	I-I guess we should.
context: Uh, thanks.\Everyone gets their own room, huh?\This is mine!\Awesome!\It's like a VIP room...\It's so different from the dorm!\Everyone, go to your own room!\I-I guess we should. response:	Let's go to our rooms.
context: Everyone gets their own room, huh?\This is mine!\Awesome!\It's like a VIP room...\It's so different from the dorm!\Everyone, go to your own room!\I-I guess we should.\Let's go to our rooms. response:	So what are all of you doing in my room?
context: This is mine!\Awesome!\It's like a VIP room...\It's so different from the dorm!\Everyone, go to your own room!\I-I guess we should.\Let's go to our rooms.\So what are all of you doing in my room? response:	Well, uh, it felt right...
context: Awesome!\It's like a VIP room...\It's so different from the dorm!\Everyone, go to your own room!\I-I guess we should.\Let's go to our rooms.\So what are all of you doing in my room?\Well, uh, it felt right... response:	My room gives me the willies.
context: It's like a VIP room...\It's so different from the dorm!\Everyone, go to your own room!\I-I guess we should.\Let's go to our rooms.\So what are all of you doing in my room?\Well, uh, it felt right...\My room gives me the willies. response:	These rooms are too big for just one person.
context: It's so different from the dorm!\Everyone, go to your own room!\I-I guess we should.\Let's go to our rooms.\So what are all of you doing in my room?\Well, uh, it felt right...\My room gives me the willies.\These rooms are too big for just one person. response:	Wanna live together?
context: Everyone, go to your own room!\I-I guess we should.\Let's go to our rooms.\So what are all of you doing in my room?\Well, uh, it felt right...\My room gives me the willies.\These rooms are too big for just one person.\Wanna live together? response:	Wh-why don't we check out the mess hall?
context: I-I guess we should.\Let's go to our rooms.\So what are all of you doing in my room?\Well, uh, it felt right...\My room gives me the willies.\These rooms are too big for just one person.\Wanna live together?\Wh-why don't we check out the mess hall? response:	They have curry!
context: Let's go to our rooms.\So what are all of you doing in my room?\Well, uh, it felt right...\My room gives me the willies.\These rooms are too big for just one person.\Wanna live together?\Wh-why don't we check out the mess hall?\They have curry! response:	Excuse me! Do you have pickled fish guts?
context: So what are all of you doing in my room?\Well, uh, it felt right...\My room gives me the willies.\These rooms are too big for just one person.\Wanna live together?\Wh-why don't we check out the mess hall?\They have curry!\Excuse me! Do you have pickled fish guts? response:	I'm going back to my room.
context: Well, uh, it felt right...\My room gives me the willies.\These rooms are too big for just one person.\Wanna live together?\Wh-why don't we check out the mess hall?\They have curry!\Excuse me! Do you have pickled fish guts?\I'm going back to my room. response:	I'm not terribly hungry, either.
context: My room gives me the willies.\These rooms are too big for just one person.\Wanna live together?\Wh-why don't we check out the mess hall?\They have curry!\Excuse me! Do you have pickled fish guts?\I'm going back to my room.\I'm not terribly hungry, either. response:	Sorry.
context: These rooms are too big for just one person.\Wanna live together?\Wh-why don't we check out the mess hall?\They have curry!\Excuse me! Do you have pickled fish guts?\I'm going back to my room.\I'm not terribly hungry, either.\Sorry. response:	Izurucchi!
context: Wanna live together?\Wh-why don't we check out the mess hall?\They have curry!\Excuse me! Do you have pickled fish guts?\I'm going back to my room.\I'm not terribly hungry, either.\Sorry.\Izurucchi! response:	Why doncha join us?
context: Wh-why don't we check out the mess hall?\They have curry!\Excuse me! Do you have pickled fish guts?\I'm going back to my room.\I'm not terribly hungry, either.\Sorry.\Izurucchi!\Why doncha join us? response:	Would you like something? I'll get it for you.
context: They have curry!\Excuse me! Do you have pickled fish guts?\I'm going back to my room.\I'm not terribly hungry, either.\Sorry.\Izurucchi!\Why doncha join us?\Would you like something? I'll get it for you. response:	I'd recommend the yakiniku meal for today.
context: Excuse me! Do you have pickled fish guts?\I'm going back to my room.\I'm not terribly hungry, either.\Sorry.\Izurucchi!\Why doncha join us?\Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today. response:	Th-then I'll have that.
context: I'm going back to my room.\I'm not terribly hungry, either.\Sorry.\Izurucchi!\Why doncha join us?\Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today.\Th-then I'll have that. response:	Just hang tight!
context: I'm not terribly hungry, either.\Sorry.\Izurucchi!\Why doncha join us?\Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today.\Th-then I'll have that.\Just hang tight! response:	Thanks!
context: Sorry.\Izurucchi!\Why doncha join us?\Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today.\Th-then I'll have that.\Just hang tight!\Thanks! response:	Your schooling.
context: Izurucchi!\Why doncha join us?\Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today.\Th-then I'll have that.\Just hang tight!\Thanks!\Your schooling. response:	Huh?
context: Why doncha join us?\Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today.\Th-then I'll have that.\Just hang tight!\Thanks!\Your schooling.\Huh? response:	I heard you graduated.
context: Would you like something? I'll get it for you.\I'd recommend the yakiniku meal for today.\Th-then I'll have that.\Just hang tight!\Thanks!\Your schooling.\Huh?\I heard you graduated. response:	Uh, right.
context: I'd recommend the yakiniku meal for today.\Th-then I'll have that.\Just hang tight!\Thanks!\Your schooling.\Huh?\I heard you graduated.\Uh, right. response:	Congrats!
context: Th-then I'll have that.\Just hang tight!\Thanks!\Your schooling.\Huh?\I heard you graduated.\Uh, right.\Congrats! response:	Yeah...
context: Just hang tight!\Thanks!\Your schooling.\Huh?\I heard you graduated.\Uh, right.\Congrats!\Yeah... response:	You don't seem too happy about it.
context: Thanks!\Your schooling.\Huh?\I heard you graduated.\Uh, right.\Congrats!\Yeah...\You don't seem too happy about it. response:	It happened so fast.
context: Your schooling.\Huh?\I heard you graduated.\Uh, right.\Congrats!\Yeah...\You don't seem too happy about it.\It happened so fast. response:	And now I don't have a home to return to.
context: Huh?\I heard you graduated.\Uh, right.\Congrats!\Yeah...\You don't seem too happy about it.\It happened so fast.\And now I don't have a home to return to. response:	Thanks for waiting!
context: I heard you graduated.\Uh, right.\Congrats!\Yeah...\You don't seem too happy about it.\It happened so fast.\And now I don't have a home to return to.\Thanks for waiting! response:	But aren't you going to come back here from now on?
context: Uh, right.\Congrats!\Yeah...\You don't seem too happy about it.\It happened so fast.\And now I don't have a home to return to.\Thanks for waiting!\But aren't you going to come back here from now on? response:	Just think of us as your family!
context: Congrats!\Yeah...\You don't seem too happy about it.\It happened so fast.\And now I don't have a home to return to.\Thanks for waiting!\But aren't you going to come back here from now on?\Just think of us as your family! response:	Family...?
context: Yeah...\You don't seem too happy about it.\It happened so fast.\And now I don't have a home to return to.\Thanks for waiting!\But aren't you going to come back here from now on?\Just think of us as your family!\Family...? response:	We're something like family.
context: You don't seem too happy about it.\It happened so fast.\And now I don't have a home to return to.\Thanks for waiting!\But aren't you going to come back here from now on?\Just think of us as your family!\Family...?\We're something like family. response:	Be sure to return,
context: It happened so fast.\And now I don't have a home to return to.\Thanks for waiting!\But aren't you going to come back here from now on?\Just think of us as your family!\Family...?\We're something like family.\Be sure to return, response:	Be sure to return, once you've taken off in flight,
context: And now I don't have a home to return to.\Thanks for waiting!\But aren't you going to come back here from now on?\Just think of us as your family!\Family...?\We're something like family.\Be sure to return,\Be sure to return, once you've taken off in flight, response:	Be sure to return, once you've taken off in flight, Migratory Bird.
context: Thanks for waiting!\But aren't you going to come back here from now on?\Just think of us as your family!\Family...?\We're something like family.\Be sure to return,\Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird. response:	You don't have to respond to that.
context: But aren't you going to come back here from now on?\Just think of us as your family!\Family...?\We're something like family.\Be sure to return,\Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that. response:	Y-you see, I don't have any memories of my family,
context: Just think of us as your family!\Family...?\We're something like family.\Be sure to return,\Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that.\Y-you see, I don't have any memories of my family, response:	so I'm not sure what it's like.
context: Family...?\We're something like family.\Be sure to return,\Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that.\Y-you see, I don't have any memories of my family,\so I'm not sure what it's like. response:	But supposedly I had foster parents for a while...
context: We're something like family.\Be sure to return,\Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that.\Y-you see, I don't have any memories of my family,\so I'm not sure what it's like.\But supposedly I had foster parents for a while... response:	You'll find out what it's like.
context: Be sure to return,\Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that.\Y-you see, I don't have any memories of my family,\so I'm not sure what it's like.\But supposedly I had foster parents for a while...\You'll find out what it's like. response:	It's been a long time since I left the nest.
context: Be sure to return, once you've taken off in flight,\Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that.\Y-you see, I don't have any memories of my family,\so I'm not sure what it's like.\But supposedly I had foster parents for a while...\You'll find out what it's like.\It's been a long time since I left the nest. response:	Now this vessel feels like home.
context: Be sure to return, once you've taken off in flight, Migratory Bird.\You don't have to respond to that.\Y-you see, I don't have any memories of my family,\so I'm not sure what it's like.\But supposedly I had foster parents for a while...\You'll find out what it's like.\It's been a long time since I left the nest.\Now this vessel feels like home. response:	I think of Degawa as my father and Dan as my older brother.
context: You don't have to respond to that.\Y-you see, I don't have any memories of my family,\so I'm not sure what it's like.\But supposedly I had foster parents for a while...\You'll find out what it's like.\It's been a long time since I left the nest.\Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother. response:	Okay...
context: Y-you see, I don't have any memories of my family,\so I'm not sure what it's like.\But supposedly I had foster parents for a while...\You'll find out what it's like.\It's been a long time since I left the nest.\Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother.\Okay... response:	What's wrong?
context: so I'm not sure what it's like.\But supposedly I had foster parents for a while...\You'll find out what it's like.\It's been a long time since I left the nest.\Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother.\Okay...\What's wrong? response:	Well, heroes are supposed to be loners.
context: But supposedly I had foster parents for a while...\You'll find out what it's like.\It's been a long time since I left the nest.\Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother.\Okay...\What's wrong?\Well, heroes are supposed to be loners. response:	What?
context: You'll find out what it's like.\It's been a long time since I left the nest.\Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother.\Okay...\What's wrong?\Well, heroes are supposed to be loners.\What? response:	Finish eating?
context: It's been a long time since I left the nest.\Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother.\Okay...\What's wrong?\Well, heroes are supposed to be loners.\What?\Finish eating? response:	Y-yeah.
context: Now this vessel feels like home.\I think of Degawa as my father and Dan as my older brother.\Okay...\What's wrong?\Well, heroes are supposed to be loners.\What?\Finish eating?\Y-yeah. response:	Is something the matter?
context: I think of Degawa as my father and Dan as my older brother.\Okay...\What's wrong?\Well, heroes are supposed to be loners.\What?\Finish eating?\Y-yeah.\Is something the matter? response:	It doesn't feel like I ate.
context: Okay...\What's wrong?\Well, heroes are supposed to be loners.\What?\Finish eating?\Y-yeah.\Is something the matter?\It doesn't feel like I ate. response:	The Battle of Ceres is disconcerting, isn't it?
