context: Hey, Umaru. response:	What kind of cake should we have for Christmas?
context: Did I ever say that?!\It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out.\And I bet...\she decorated this room all by herself. response:	Let's make sure not to wake her as we leave.
context: It was UMR's advice that let me become friends with you all!\It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out.\And I bet...\she decorated this room all by herself.\Let's make sure not to wake her as we leave. response:	Okay.
context: It was a lesson well learned: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out.\And I bet...\she decorated this room all by herself.\Let's make sure not to wake her as we leave.\Okay. response:	Hold on a second.
context: Otherwise, you will regret it!\There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out.\And I bet...\she decorated this room all by herself.\Let's make sure not to wake her as we leave.\Okay.\Hold on a second. response:	Oh! Me too!
context: There are indeed many, many things for UMR and I to discuss!\I'm sure she's worn out.\And I bet...\she decorated this room all by herself.\Let's make sure not to wake her as we leave.\Okay.\Hold on a second.\Oh! Me too! response:	And YOU, Kirie.
context: I'm sure she's worn out.\And I bet...\she decorated this room all by herself.\Let's make sure not to wake her as we leave.\Okay.\Hold on a second.\Oh! Me too!\And YOU, Kirie. response:	O-oh... O-o-o-okay!
context: And I bet...\she decorated this room all by herself.\Let's make sure not to wake her as we leave.\Okay.\Hold on a second.\Oh! Me too!\And YOU, Kirie.\O-oh... O-o-o-okay! response:	Well, till next time.
context: she decorated this room all by herself.\Let's make sure not to wake her as we leave.\Okay.\Hold on a second.\Oh! Me too!\And YOU, Kirie.\O-oh... O-o-o-okay!\Well, till next time. response:	Ah! I had a lot of fun today!
context: Let's make sure not to wake her as we leave.\Okay.\Hold on a second.\Oh! Me too!\And YOU, Kirie.\O-oh... O-o-o-okay!\Well, till next time.\Ah! I had a lot of fun today! response:	From Sylphin...? She woke up?
context: Okay.\Hold on a second.\Oh! Me too!\And YOU, Kirie.\O-oh... O-o-o-okay!\Well, till next time.\Ah! I had a lot of fun today!\From Sylphin...? She woke up? response:	This was sent two hours ago...
context: Hold on a second.\Oh! Me too!\And YOU, Kirie.\O-oh... O-o-o-okay!\Well, till next time.\Ah! I had a lot of fun today!\From Sylphin...? She woke up?\This was sent two hours ago... response:	Oh! All these texts being sent on Christmas must be causing delays.
context: Oh! Me too!\And YOU, Kirie.\O-oh... O-o-o-okay!\Well, till next time.\Ah! I had a lot of fun today!\From Sylphin...? She woke up?\This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays. response:	Is something wrong, Umaru?
context: And YOU, Kirie.\O-oh... O-o-o-okay!\Well, till next time.\Ah! I had a lot of fun today!\From Sylphin...? She woke up?\This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru? response:	No, not at all.
context: O-oh... O-o-o-okay!\Well, till next time.\Ah! I had a lot of fun today!\From Sylphin...? She woke up?\This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru?\No, not at all. response:	UMR is SO cool! SO cool! SO COOL!
context: Well, till next time.\Ah! I had a lot of fun today!\From Sylphin...? She woke up?\This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru?\No, not at all.\UMR is SO cool! SO cool! SO COOL! response:	Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?
context: Ah! I had a lot of fun today!\From Sylphin...? She woke up?\This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru?\No, not at all.\UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone? response:	S-sure!
context: From Sylphin...? She woke up?\This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru?\No, not at all.\UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure! response:	Sorry!
context: This was sent two hours ago...\Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru?\No, not at all.\UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure!\Sorry! response:	Huh? Ebina?
context: Oh! All these texts being sent on Christmas must be causing delays.\Is something wrong, Umaru?\No, not at all.\UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure!\Sorry!\Huh? Ebina? response:	T-Taihei!
context: Is something wrong, Umaru?\No, not at all.\UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure!\Sorry!\Huh? Ebina?\T-Taihei! response:	Weren't you supposed to hang out with Umaru today?
context: No, not at all.\UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure!\Sorry!\Huh? Ebina?\T-Taihei!\Weren't you supposed to hang out with Umaru today? response:	Oh! I was, up until a little while ago. But she said she forgot something, so...
context: UMR is SO cool! SO cool! SO COOL!\Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure!\Sorry!\Huh? Ebina?\T-Taihei!\Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so... response:	I can't believe she just left you on your own.
context: Sorry, Ebina. I left something at Sylphin's house. Are you okay going home alone?\S-sure!\Sorry!\Huh? Ebina?\T-Taihei!\Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own. response:	No, I'm perfectly fine!
context: S-sure!\Sorry!\Huh? Ebina?\T-Taihei!\Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own.\No, I'm perfectly fine! response:	How about we go back together?
context: Sorry!\Huh? Ebina?\T-Taihei!\Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own.\No, I'm perfectly fine!\How about we go back together? response:	O-okay!
context: Huh? Ebina?\T-Taihei!\Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own.\No, I'm perfectly fine!\How about we go back together?\O-okay! response:	Mom! Look, a couple!
context: T-Taihei!\Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own.\No, I'm perfectly fine!\How about we go back together?\O-okay!\Mom! Look, a couple! response:	Stop that!
context: Weren't you supposed to hang out with Umaru today?\Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own.\No, I'm perfectly fine!\How about we go back together?\O-okay!\Mom! Look, a couple!\Stop that! response:	U-um...
context: Oh! I was, up until a little while ago. But she said she forgot something, so...\I can't believe she just left you on your own.\No, I'm perfectly fine!\How about we go back together?\O-okay!\Mom! Look, a couple!\Stop that!\U-um... response:	It's just, I... I... I...
context: I can't believe she just left you on your own.\No, I'm perfectly fine!\How about we go back together?\O-okay!\Mom! Look, a couple!\Stop that!\U-um...\It's just, I... I... I... response:	I'm sorry for putting you out like this.
context: No, I'm perfectly fine!\How about we go back together?\O-okay!\Mom! Look, a couple!\Stop that!\U-um...\It's just, I... I... I...\I'm sorry for putting you out like this. response:	No, don't worry about it.
context: How about we go back together?\O-okay!\Mom! Look, a couple!\Stop that!\U-um...\It's just, I... I... I...\I'm sorry for putting you out like this.\No, don't worry about it. response:	It's dangerous to be out alone at night, right?
context: O-okay!\Mom! Look, a couple!\Stop that!\U-um...\It's just, I... I... I...\I'm sorry for putting you out like this.\No, don't worry about it.\It's dangerous to be out alone at night, right? response:	If something is bothering you, just ask for advice.
context: Mom! Look, a couple!\Stop that!\U-um...\It's just, I... I... I...\I'm sorry for putting you out like this.\No, don't worry about it.\It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice. response:	Otherwise, you will regret it!
context: Stop that!\U-um...\It's just, I... I... I...\I'm sorry for putting you out like this.\No, don't worry about it.\It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice.\Otherwise, you will regret it! response:	Um, there's something I'd like to talk to you about.
context: U-um...\It's just, I... I... I...\I'm sorry for putting you out like this.\No, don't worry about it.\It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice.\Otherwise, you will regret it!\Um, there's something I'd like to talk to you about. response:	It's...
context: It's just, I... I... I...\I'm sorry for putting you out like this.\No, don't worry about it.\It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice.\Otherwise, you will regret it!\Um, there's something I'd like to talk to you about.\It's... response:	It's Santa!
context: I'm sorry for putting you out like this.\No, don't worry about it.\It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice.\Otherwise, you will regret it!\Um, there's something I'd like to talk to you about.\It's...\It's Santa! response:	Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!
context: No, don't worry about it.\It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice.\Otherwise, you will regret it!\Um, there's something I'd like to talk to you about.\It's...\It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything! response:	Ho-ho-ho!
context: It's dangerous to be out alone at night, right?\If something is bothering you, just ask for advice.\Otherwise, you will regret it!\Um, there's something I'd like to talk to you about.\It's...\It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho! response:	Really?!
context: If something is bothering you, just ask for advice.\Otherwise, you will regret it!\Um, there's something I'd like to talk to you about.\It's...\It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho!\Really?! response:	In that case, I... I would like some Japanese friends!
context: Otherwise, you will regret it!\Um, there's something I'd like to talk to you about.\It's...\It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho!\Really?!\In that case, I... I would like some Japanese friends! response:	Huh...?
context: Um, there's something I'd like to talk to you about.\It's...\It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho!\Really?!\In that case, I... I would like some Japanese friends!\Huh...? response:	Oh? So, that's what you wished for?
context: It's...\It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho!\Really?!\In that case, I... I would like some Japanese friends!\Huh...?\Oh? So, that's what you wished for? response:	Santa seemed most disturbed!
context: It's Santa!\Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho!\Really?!\In that case, I... I would like some Japanese friends!\Huh...?\Oh? So, that's what you wished for?\Santa seemed most disturbed! response:	The old man... I mean, even Santa couldn't make FRIENDS happen, huh?
context: Well hello there, Sylphin! Merry Christmas! Now then, tell me what you'd like for a present. Anything!\Ho-ho-ho!\Really?!\In that case, I... I would like some Japanese friends!\Huh...?\Oh? So, that's what you wished for?\Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh? response:	But, I want some friends I can talk to about Japan, indeed!
context: Ho-ho-ho!\Really?!\In that case, I... I would like some Japanese friends!\Huh...?\Oh? So, that's what you wished for?\Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed! response:	Just ask for a computer once you're in middle school.
context: Really?!\In that case, I... I would like some Japanese friends!\Huh...?\Oh? So, that's what you wished for?\Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school. response:	You can talk to people from Japan just by using the internet.
context: In that case, I... I would like some Japanese friends!\Huh...?\Oh? So, that's what you wished for?\Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet. response:	Is this true?!
context: Huh...?\Oh? So, that's what you wished for?\Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet.\Is this true?! response:	Look.
context: Oh? So, that's what you wished for?\Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet.\Is this true?!\Look. response:	This is my Japanese friend, Shinra Rasenken Sirius.
context: Santa seemed most disturbed!\The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet.\Is this true?!\Look.\This is my Japanese friend, Shinra Rasenken Sirius. response:	That's an impressive name indeed!
context: The old man... I mean, even Santa couldn't make FRIENDS happen, huh?\But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet.\Is this true?!\Look.\This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed! response:	And I'll be able to meet him soon.
context: But, I want some friends I can talk to about Japan, indeed!\Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet.\Is this true?!\Look.\This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed!\And I'll be able to meet him soon. response:	Huh? Brother, you're going to Japan?
context: Just ask for a computer once you're in middle school.\You can talk to people from Japan just by using the internet.\Is this true?!\Look.\This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed!\And I'll be able to meet him soon.\Huh? Brother, you're going to Japan? response:	Yup. I'll be going to high school there.
context: You can talk to people from Japan just by using the internet.\Is this true?!\Look.\This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed!\And I'll be able to meet him soon.\Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there. response:	School... in Japan?
context: Is this true?!\Look.\This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed!\And I'll be able to meet him soon.\Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there.\School... in Japan? response:	I'm sure you'll be a little sad when Alex leaves.
context: Look.\This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed!\And I'll be able to meet him soon.\Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there.\School... in Japan?\I'm sure you'll be a little sad when Alex leaves. response:	You two have always been close...
context: This is my Japanese friend, Shinra Rasenken Sirius.\That's an impressive name indeed!\And I'll be able to meet him soon.\Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there.\School... in Japan?\I'm sure you'll be a little sad when Alex leaves.\You two have always been close... response:	Big Brother!
context: That's an impressive name indeed!\And I'll be able to meet him soon.\Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there.\School... in Japan?\I'm sure you'll be a little sad when Alex leaves.\You two have always been close...\Big Brother! response:	Brother's friend...?
context: And I'll be able to meet him soon.\Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there.\School... in Japan?\I'm sure you'll be a little sad when Alex leaves.\You two have always been close...\Big Brother!\Brother's friend...? response:	UMH is unstoppable!
context: Huh? Brother, you're going to Japan?\Yup. I'll be going to high school there.\School... in Japan?\I'm sure you'll be a little sad when Alex leaves.\You two have always been close...\Big Brother!\Brother's friend...?\UMH is unstoppable! response:	That is one fearsome Japanese fighter!
context: Yup. I'll be going to high school there.\School... in Japan?\I'm sure you'll be a little sad when Alex leaves.\You two have always been close...\Big Brother!\Brother's friend...?\UMH is unstoppable!\That is one fearsome Japanese fighter! response:	This hard-fought battle has forged mutual respect!
context: School... in Japan?\I'm sure you'll be a little sad when Alex leaves.\You two have always been close...\Big Brother!\Brother's friend...?\UMH is unstoppable!\That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect! response:	By challenging others, one can make friends...
context: I'm sure you'll be a little sad when Alex leaves.\You two have always been close...\Big Brother!\Brother's friend...?\UMH is unstoppable!\That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect!\By challenging others, one can make friends... response:	such admirable fighting spirit!
context: You two have always been close...\Big Brother!\Brother's friend...?\UMH is unstoppable!\That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect!\By challenging others, one can make friends...\such admirable fighting spirit! response:	Merry Christmas, Sylphin! Here, it's a fighting game controller!
context: Big Brother!\Brother's friend...?\UMH is unstoppable!\That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect!\By challenging others, one can make friends...\such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller! response:	Indeed, made by HORU!
context: Brother's friend...?\UMH is unstoppable!\That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect!\By challenging others, one can make friends...\such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU! response:	She sure has started to want some strange things...
context: UMH is unstoppable!\That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect!\By challenging others, one can make friends...\such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU!\She sure has started to want some strange things... response:	Thank you so much, Santa!
context: That is one fearsome Japanese fighter!\This hard-fought battle has forged mutual respect!\By challenging others, one can make friends...\such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU!\She sure has started to want some strange things...\Thank you so much, Santa! response:	Huh? Santa?
context: This hard-fought battle has forged mutual respect!\By challenging others, one can make friends...\such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU!\She sure has started to want some strange things...\Thank you so much, Santa!\Huh? Santa? response:	Oh, no. I fell asleep.
context: By challenging others, one can make friends...\such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU!\She sure has started to want some strange things...\Thank you so much, Santa!\Huh? Santa?\Oh, no. I fell asleep. response:	What...?
context: such admirable fighting spirit!\Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU!\She sure has started to want some strange things...\Thank you so much, Santa!\Huh? Santa?\Oh, no. I fell asleep.\What...? response:	Today was so much fun, Sylphin!
context: Merry Christmas, Sylphin! Here, it's a fighting game controller!\Indeed, made by HORU!\She sure has started to want some strange things...\Thank you so much, Santa!\Huh? Santa?\Oh, no. I fell asleep.\What...?\Today was so much fun, Sylphin! response:	I was very happy that you invited me.
context: Indeed, made by HORU!\She sure has started to want some strange things...\Thank you so much, Santa!\Huh? Santa?\Oh, no. I fell asleep.\What...?\Today was so much fun, Sylphin!\I was very happy that you invited me. response:	M-m-merry Christmash!
context: She sure has started to want some strange things...\Thank you so much, Santa!\Huh? Santa?\Oh, no. I fell asleep.\What...?\Today was so much fun, Sylphin!\I was very happy that you invited me.\M-m-merry Christmash! response:	I guess they've all gone home.
context: Thank you so much, Santa!\Huh? Santa?\Oh, no. I fell asleep.\What...?\Today was so much fun, Sylphin!\I was very happy that you invited me.\M-m-merry Christmash!\I guess they've all gone home. response:	Sylphin!
context: Huh? Santa?\Oh, no. I fell asleep.\What...?\Today was so much fun, Sylphin!\I was very happy that you invited me.\M-m-merry Christmash!\I guess they've all gone home.\Sylphin! response:	Merry Christmas, TSF.
context: Oh, no. I fell asleep.\What...?\Today was so much fun, Sylphin!\I was very happy that you invited me.\M-m-merry Christmash!\I guess they've all gone home.\Sylphin!\Merry Christmas, TSF. response:	Santa...? UMR, why are you dressed like that?
context: What...?\Today was so much fun, Sylphin!\I was very happy that you invited me.\M-m-merry Christmash!\I guess they've all gone home.\Sylphin!\Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that? response:	Well, I saw them selling these, so... d-does it look okay on me?
context: Today was so much fun, Sylphin!\I was very happy that you invited me.\M-m-merry Christmash!\I guess they've all gone home.\Sylphin!\Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me? response:	I'm sorry I'm late. Um, do you mind if I come in?
context: I was very happy that you invited me.\M-m-merry Christmash!\I guess they've all gone home.\Sylphin!\Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in? response:	I want a Japanese friend indeed!
context: M-m-merry Christmash!\I guess they've all gone home.\Sylphin!\Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed! response:	Yes!
context: I guess they've all gone home.\Sylphin!\Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed!\Yes! response:	Happy New Year...
context: Sylphin!\Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed!\Yes!\Happy New Year... response:	Happy...
context: Merry Christmas, TSF.\Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed!\Yes!\Happy New Year...\Happy... response:	Here. For you.
context: Santa...? UMR, why are you dressed like that?\Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed!\Yes!\Happy New Year...\Happy...\Here. For you. response:	WOO-HOO!
context: Well, I saw them selling these, so... d-does it look okay on me?\I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed!\Yes!\Happy New Year...\Happy...\Here. For you.\WOO-HOO! response:	Thanks, Big Brother! It's not like you to hand this out first thing in the morning!
context: I'm sorry I'm late. Um, do you mind if I come in?\I want a Japanese friend indeed!\Yes!\Happy New Year...\Happy...\Here. For you.\WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning! response:	Uh... sure.
context: I want a Japanese friend indeed!\Yes!\Happy New Year...\Happy...\Here. For you.\WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure. response:	Huh? Is he still half-asleep?
context: Yes!\Happy New Year...\Happy...\Here. For you.\WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure.\Huh? Is he still half-asleep? response:	Well, let's eat!
context: Happy New Year...\Happy...\Here. For you.\WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure.\Huh? Is he still half-asleep?\Well, let's eat! response:	Let's eat.
context: Happy...\Here. For you.\WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure.\Huh? Is he still half-asleep?\Well, let's eat!\Let's eat. response:	Oh, yeah...
context: Here. For you.\WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure.\Huh? Is he still half-asleep?\Well, let's eat!\Let's eat.\Oh, yeah... response:	Here, Umaru. It's your New Year's allowance.
context: WOO-HOO!\Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure.\Huh? Is he still half-asleep?\Well, let's eat!\Let's eat.\Oh, yeah...\Here, Umaru. It's your New Year's allowance. response:	Wh-what sorcery is this?!
context: Thanks, Big Brother! It's not like you to hand this out first thing in the morning!\Uh... sure.\Huh? Is he still half-asleep?\Well, let's eat!\Let's eat.\Oh, yeah...\Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?! response:	Am I being tested?
context: Uh... sure.\Huh? Is he still half-asleep?\Well, let's eat!\Let's eat.\Oh, yeah...\Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?!\Am I being tested? response:	What's wrong? You don't seem happy at all.
context: Huh? Is he still half-asleep?\Well, let's eat!\Let's eat.\Oh, yeah...\Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?!\Am I being tested?\What's wrong? You don't seem happy at all. response:	Ah!
context: Well, let's eat!\Let's eat.\Oh, yeah...\Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?!\Am I being tested?\What's wrong? You don't seem happy at all.\Ah! response:	Thank you, Big Brother!
context: Let's eat.\Oh, yeah...\Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?!\Am I being tested?\What's wrong? You don't seem happy at all.\Ah!\Thank you, Big Brother! response:	I got TWO of them...
context: Oh, yeah...\Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?!\Am I being tested?\What's wrong? You don't seem happy at all.\Ah!\Thank you, Big Brother!\I got TWO of them... response:	and I sure am grateful!
context: Here, Umaru. It's your New Year's allowance.\Wh-what sorcery is this?!\Am I being tested?\What's wrong? You don't seem happy at all.\Ah!\Thank you, Big Brother!\I got TWO of them...\and I sure am grateful! response:	It's like when a vending machine messes up and gives you two drinks instead of one.
context: Wh-what sorcery is this?!\Am I being tested?\What's wrong? You don't seem happy at all.\Ah!\Thank you, Big Brother!\I got TWO of them...\and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one. response:	Would you, dear Consumer, pay for both?
context: Am I being tested?\What's wrong? You don't seem happy at all.\Ah!\Thank you, Big Brother!\I got TWO of them...\and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both? response:	No, you wouldn't!
context: What's wrong? You don't seem happy at all.\Ah!\Thank you, Big Brother!\I got TWO of them...\and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both?\No, you wouldn't! response:	This mistake is all on my brother!
context: Ah!\Thank you, Big Brother!\I got TWO of them...\and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both?\No, you wouldn't!\This mistake is all on my brother! response:	The thing is...
context: Thank you, Big Brother!\I got TWO of them...\and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both?\No, you wouldn't!\This mistake is all on my brother!\The thing is... response:	Take yer average ramen shop.
context: I got TWO of them...\and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both?\No, you wouldn't!\This mistake is all on my brother!\The thing is...\Take yer average ramen shop. response:	What if you order one bowl but you friggin' get TWO?
context: and I sure am grateful!\It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both?\No, you wouldn't!\This mistake is all on my brother!\The thing is...\Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO? response:	I sure feel lucky to have gotten two!
context: It's like when a vending machine messes up and gives you two drinks instead of one.\Would you, dear Consumer, pay for both?\No, you wouldn't!\This mistake is all on my brother!\The thing is...\Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two! response:	Thanks, that was great!
context: Would you, dear Consumer, pay for both?\No, you wouldn't!\This mistake is all on my brother!\The thing is...\Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two!\Thanks, that was great! response:	But you gotta pay for that other one, right?
context: No, you wouldn't!\This mistake is all on my brother!\The thing is...\Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two!\Thanks, that was great!\But you gotta pay for that other one, right? response:	Otherwise, the fault now lies with YOU!
context: This mistake is all on my brother!\The thing is...\Take yer average ramen shop.\What if you order one bowl but you friggin' get TWO?\I sure feel lucky to have gotten two!\Thanks, that was great!\But you gotta pay for that other one, right?\Otherwise, the fault now lies with YOU! response:	Hold it right there!
