context: Hey, isn't he super hot? response:	Oh, wow. He's so my type.
context: Congrats, Takeo!\That makes me super happy, man!\Okay, time to celebrate!\Hup!\Those among you who don't have a girlfriend,\raise your hand.\Me.\Those among you who want to do a singles' meet, raise your hand. response:	What? You're going?
context: That makes me super happy, man!\Okay, time to celebrate!\Hup!\Those among you who don't have a girlfriend,\raise your hand.\Me.\Those among you who want to do a singles' meet, raise your hand.\What? You're going? response:	I want to!
context: Okay, time to celebrate!\Hup!\Those among you who don't have a girlfriend,\raise your hand.\Me.\Those among you who want to do a singles' meet, raise your hand.\What? You're going?\I want to! response:	I'll go!
context: Hup!\Those among you who don't have a girlfriend,\raise your hand.\Me.\Those among you who want to do a singles' meet, raise your hand.\What? You're going?\I want to!\I'll go! response:	Rock-paper-scissors time.
context: Those among you who don't have a girlfriend,\raise your hand.\Me.\Those among you who want to do a singles' meet, raise your hand.\What? You're going?\I want to!\I'll go!\Rock-paper-scissors time. response:	Me, too!
context: raise your hand.\Me.\Those among you who want to do a singles' meet, raise your hand.\What? You're going?\I want to!\I'll go!\Rock-paper-scissors time.\Me, too! response:	Me, too!
context: Me.\Those among you who want to do a singles' meet, raise your hand.\What? You're going?\I want to!\I'll go!\Rock-paper-scissors time.\Me, too!\Me, too! response:	Only four can come.
context: Those among you who want to do a singles' meet, raise your hand.\What? You're going?\I want to!\I'll go!\Rock-paper-scissors time.\Me, too!\Me, too!\Only four can come. response:	Me, too!
context: What? You're going?\I want to!\I'll go!\Rock-paper-scissors time.\Me, too!\Me, too!\Only four can come.\Me, too! response:	A singles' meet?
context: I want to!\I'll go!\Rock-paper-scissors time.\Me, too!\Me, too!\Only four can come.\Me, too!\A singles' meet? response:	Huh... Good luck with that.
context: I'll go!\Rock-paper-scissors time.\Me, too!\Me, too!\Only four can come.\Me, too!\A singles' meet?\Huh... Good luck with that. response:	What?
context: Rock-paper-scissors time.\Me, too!\Me, too!\Only four can come.\Me, too!\A singles' meet?\Huh... Good luck with that.\What? response:	You're coming, whether you like it or not.
context: Me, too!\Me, too!\Only four can come.\Me, too!\A singles' meet?\Huh... Good luck with that.\What?\You're coming, whether you like it or not. response:	Sure, but I probably won't talk at all.
context: Me, too!\Only four can come.\Me, too!\A singles' meet?\Huh... Good luck with that.\What?\You're coming, whether you like it or not.\Sure, but I probably won't talk at all. response:	I'll ruin the mood
context: Only four can come.\Me, too!\A singles' meet?\Huh... Good luck with that.\What?\You're coming, whether you like it or not.\Sure, but I probably won't talk at all.\I'll ruin the mood response:	There may be a nice girl there.
context: Me, too!\A singles' meet?\Huh... Good luck with that.\What?\You're coming, whether you like it or not.\Sure, but I probably won't talk at all.\I'll ruin the mood\There may be a nice girl there. response:	They're Yamato's friends.
context: A singles' meet?\Huh... Good luck with that.\What?\You're coming, whether you like it or not.\Sure, but I probably won't talk at all.\I'll ruin the mood\There may be a nice girl there.\They're Yamato's friends. response:	They must all be great girls.
context: Huh... Good luck with that.\What?\You're coming, whether you like it or not.\Sure, but I probably won't talk at all.\I'll ruin the mood\There may be a nice girl there.\They're Yamato's friends.\They must all be great girls. response:	Takeo...
context: What?\You're coming, whether you like it or not.\Sure, but I probably won't talk at all.\I'll ruin the mood\There may be a nice girl there.\They're Yamato's friends.\They must all be great girls.\Takeo... response:	Just because someone's friends with a nice person
context: You're coming, whether you like it or not.\Sure, but I probably won't talk at all.\I'll ruin the mood\There may be a nice girl there.\They're Yamato's friends.\They must all be great girls.\Takeo...\Just because someone's friends with a nice person response:	doesn't mean they're nice, too.
context: Sure, but I probably won't talk at all.\I'll ruin the mood\There may be a nice girl there.\They're Yamato's friends.\They must all be great girls.\Takeo...\Just because someone's friends with a nice person\doesn't mean they're nice, too. response:	Sometimes, they're friends because the person's nice enough to have them.
context: I'll ruin the mood\There may be a nice girl there.\They're Yamato's friends.\They must all be great girls.\Takeo...\Just because someone's friends with a nice person\doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them. response:	Suna...
context: There may be a nice girl there.\They're Yamato's friends.\They must all be great girls.\Takeo...\Just because someone's friends with a nice person\doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them.\Suna... response:	What you said just now was really complicated.
context: They're Yamato's friends.\They must all be great girls.\Takeo...\Just because someone's friends with a nice person\doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them.\Suna...\What you said just now was really complicated. response:	Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.
context: They must all be great girls.\Takeo...\Just because someone's friends with a nice person\doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them.\Suna...\What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow. response:	They're all cute.
context: Takeo...\Just because someone's friends with a nice person\doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them.\Suna...\What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute. response:	I'm feeling really shy about introducing you to them!
context: Just because someone's friends with a nice person\doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them.\Suna...\What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute.\I'm feeling really shy about introducing you to them! response:	Yamato's laughing...
context: doesn't mean they're nice, too.\Sometimes, they're friends because the person's nice enough to have them.\Suna...\What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute.\I'm feeling really shy about introducing you to them!\Yamato's laughing... response:	She's always herself, no matter where she is.
context: Sometimes, they're friends because the person's nice enough to have them.\Suna...\What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute.\I'm feeling really shy about introducing you to them!\Yamato's laughing...\She's always herself, no matter where she is. response:	Hello!
context: Suna...\What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute.\I'm feeling really shy about introducing you to them!\Yamato's laughing...\She's always herself, no matter where she is.\Hello! response:	I'm Yamato, Takeo-kun's girlfriend.
context: What you said just now was really complicated.\Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute.\I'm feeling really shy about introducing you to them!\Yamato's laughing...\She's always herself, no matter where she is.\Hello!\I'm Yamato, Takeo-kun's girlfriend. response:	The other girls here are all friends from my class.
context: Takeo-kun, they're the friends who'll be coming to the singles' meet tomorrow.\They're all cute.\I'm feeling really shy about introducing you to them!\Yamato's laughing...\She's always herself, no matter where she is.\Hello!\I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class. response:	Hello!
context: They're all cute.\I'm feeling really shy about introducing you to them!\Yamato's laughing...\She's always herself, no matter where she is.\Hello!\I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class.\Hello! response:	Nice to meet you!
context: I'm feeling really shy about introducing you to them!\Yamato's laughing...\She's always herself, no matter where she is.\Hello!\I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class.\Hello!\Nice to meet you! response:	Wow, they're all cute.
context: Yamato's laughing...\She's always herself, no matter where she is.\Hello!\I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class.\Hello!\Nice to meet you!\Wow, they're all cute. response:	So who's Rinko's boyfriend?
context: She's always herself, no matter where she is.\Hello!\I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class.\Hello!\Nice to meet you!\Wow, they're all cute.\So who's Rinko's boyfriend? response:	This girl talks about her boyfriend every day.
context: Hello!\I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class.\Hello!\Nice to meet you!\Wow, they're all cute.\So who's Rinko's boyfriend?\This girl talks about her boyfriend every day. response:	Eh? No, I don't!
context: I'm Yamato, Takeo-kun's girlfriend.\The other girls here are all friends from my class.\Hello!\Nice to meet you!\Wow, they're all cute.\So who's Rinko's boyfriend?\This girl talks about her boyfriend every day.\Eh? No, I don't! response:	Yes, that's what people call what you do.
context: The other girls here are all friends from my class.\Hello!\Nice to meet you!\Wow, they're all cute.\So who's Rinko's boyfriend?\This girl talks about her boyfriend every day.\Eh? No, I don't!\Yes, that's what people call what you do. response:	So, who is it?
context: Hello!\Nice to meet you!\Wow, they're all cute.\So who's Rinko's boyfriend?\This girl talks about her boyfriend every day.\Eh? No, I don't!\Yes, that's what people call what you do.\So, who is it? response:	U-Um...
context: Nice to meet you!\Wow, they're all cute.\So who's Rinko's boyfriend?\This girl talks about her boyfriend every day.\Eh? No, I don't!\Yes, that's what people call what you do.\So, who is it?\U-Um... response:	This is Takeo-kun, my boyfriend.
context: Wow, they're all cute.\So who's Rinko's boyfriend?\This girl talks about her boyfriend every day.\Eh? No, I don't!\Yes, that's what people call what you do.\So, who is it?\U-Um...\This is Takeo-kun, my boyfriend. response:	Hello!
context: So who's Rinko's boyfriend?\This girl talks about her boyfriend every day.\Eh? No, I don't!\Yes, that's what people call what you do.\So, who is it?\U-Um...\This is Takeo-kun, my boyfriend.\Hello! response:	A bear...
context: This girl talks about her boyfriend every day.\Eh? No, I don't!\Yes, that's what people call what you do.\So, who is it?\U-Um...\This is Takeo-kun, my boyfriend.\Hello!\A bear... response:	Oh, you're just as tall as Rinko said...
context: Eh? No, I don't!\Yes, that's what people call what you do.\So, who is it?\U-Um...\This is Takeo-kun, my boyfriend.\Hello!\A bear...\Oh, you're just as tall as Rinko said... response:	I almost mistook you for a bear.
context: Yes, that's what people call what you do.\So, who is it?\U-Um...\This is Takeo-kun, my boyfriend.\Hello!\A bear...\Oh, you're just as tall as Rinko said...\I almost mistook you for a bear. response:	J-Just like Rinko said, you have big hands.
context: So, who is it?\U-Um...\This is Takeo-kun, my boyfriend.\Hello!\A bear...\Oh, you're just as tall as Rinko said...\I almost mistook you for a bear.\J-Just like Rinko said, you have big hands. response:	I almost mistook you for a bear.
context: U-Um...\This is Takeo-kun, my boyfriend.\Hello!\A bear...\Oh, you're just as tall as Rinko said...\I almost mistook you for a bear.\J-Just like Rinko said, you have big hands.\I almost mistook you for a bear. response:	Salmon
context: This is Takeo-kun, my boyfriend.\Hello!\A bear...\Oh, you're just as tall as Rinko said...\I almost mistook you for a bear.\J-Just like Rinko said, you have big hands.\I almost mistook you for a bear.\Salmon response:	Singles' Meet
context: Hello!\A bear...\Oh, you're just as tall as Rinko said...\I almost mistook you for a bear.\J-Just like Rinko said, you have big hands.\I almost mistook you for a bear.\Salmon\Singles' Meet response:	Here we are!
context: A bear...\Oh, you're just as tall as Rinko said...\I almost mistook you for a bear.\J-Just like Rinko said, you have big hands.\I almost mistook you for a bear.\Salmon\Singles' Meet\Here we are! response:	Okay!
context: Oh, you're just as tall as Rinko said...\I almost mistook you for a bear.\J-Just like Rinko said, you have big hands.\I almost mistook you for a bear.\Salmon\Singles' Meet\Here we are!\Okay! response:	Hey, hey!
context: I almost mistook you for a bear.\J-Just like Rinko said, you have big hands.\I almost mistook you for a bear.\Salmon\Singles' Meet\Here we are!\Okay!\Hey, hey! response:	The restaurant's this way.
context: J-Just like Rinko said, you have big hands.\I almost mistook you for a bear.\Salmon\Singles' Meet\Here we are!\Okay!\Hey, hey!\The restaurant's this way. response:	Whoa!
context: I almost mistook you for a bear.\Salmon\Singles' Meet\Here we are!\Okay!\Hey, hey!\The restaurant's this way.\Whoa! response:	Sorry...
context: Salmon\Singles' Meet\Here we are!\Okay!\Hey, hey!\The restaurant's this way.\Whoa!\Sorry... response:	You were lighter than I expected.
context: Singles' Meet\Here we are!\Okay!\Hey, hey!\The restaurant's this way.\Whoa!\Sorry...\You were lighter than I expected. response:	No worries, thank you.
context: Here we are!\Okay!\Hey, hey!\The restaurant's this way.\Whoa!\Sorry...\You were lighter than I expected.\No worries, thank you. response:	He's way too strong.
context: Okay!\Hey, hey!\The restaurant's this way.\Whoa!\Sorry...\You were lighter than I expected.\No worries, thank you.\He's way too strong. response:	It's dangerous to leave boxes here.
context: Hey, hey!\The restaurant's this way.\Whoa!\Sorry...\You were lighter than I expected.\No worries, thank you.\He's way too strong.\It's dangerous to leave boxes here. response:	Maybe I'll move them out of the way, so people can pass through.
context: The restaurant's this way.\Whoa!\Sorry...\You were lighter than I expected.\No worries, thank you.\He's way too strong.\It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through. response:	Oh, god.
context: Whoa!\Sorry...\You were lighter than I expected.\No worries, thank you.\He's way too strong.\It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through.\Oh, god. response:	The emergency exit's locked, too.
context: Sorry...\You were lighter than I expected.\No worries, thank you.\He's way too strong.\It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through.\Oh, god.\The emergency exit's locked, too. response:	Maybe we should tell the restaurant staff?
context: You were lighter than I expected.\No worries, thank you.\He's way too strong.\It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through.\Oh, god.\The emergency exit's locked, too.\Maybe we should tell the restaurant staff? response:	That sort of thing should be reported to the management company, not the restaurant staff.
context: No worries, thank you.\He's way too strong.\It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through.\Oh, god.\The emergency exit's locked, too.\Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff. response:	So cool!
context: He's way too strong.\It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through.\Oh, god.\The emergency exit's locked, too.\Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff.\So cool! response:	Suna, you're smart.
context: It's dangerous to leave boxes here.\Maybe I'll move them out of the way, so people can pass through.\Oh, god.\The emergency exit's locked, too.\Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff.\So cool!\Suna, you're smart. response:	Uh, is that one of the bear's friends?
context: Maybe I'll move them out of the way, so people can pass through.\Oh, god.\The emergency exit's locked, too.\Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff.\So cool!\Suna, you're smart.\Uh, is that one of the bear's friends? response:	Yeah?
context: Oh, god.\The emergency exit's locked, too.\Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff.\So cool!\Suna, you're smart.\Uh, is that one of the bear's friends?\Yeah? response:	What a surprise.
context: The emergency exit's locked, too.\Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff.\So cool!\Suna, you're smart.\Uh, is that one of the bear's friends?\Yeah?\What a surprise. response:	Okay, let's order drinks!
context: Maybe we should tell the restaurant staff?\That sort of thing should be reported to the management company, not the restaurant staff.\So cool!\Suna, you're smart.\Uh, is that one of the bear's friends?\Yeah?\What a surprise.\Okay, let's order drinks! response:	Who wants orange juice?
context: That sort of thing should be reported to the management company, not the restaurant staff.\So cool!\Suna, you're smart.\Uh, is that one of the bear's friends?\Yeah?\What a surprise.\Okay, let's order drinks!\Who wants orange juice? response:	I want coke.
context: So cool!\Suna, you're smart.\Uh, is that one of the bear's friends?\Yeah?\What a surprise.\Okay, let's order drinks!\Who wants orange juice?\I want coke. response:	The more you look at him, the hotter he is.
context: Suna, you're smart.\Uh, is that one of the bear's friends?\Yeah?\What a surprise.\Okay, let's order drinks!\Who wants orange juice?\I want coke.\The more you look at him, the hotter he is. response:	But he isn't talking at all.
context: Uh, is that one of the bear's friends?\Yeah?\What a surprise.\Okay, let's order drinks!\Who wants orange juice?\I want coke.\The more you look at him, the hotter he is.\But he isn't talking at all. response:	Want to try talking to him?
context: Yeah?\What a surprise.\Okay, let's order drinks!\Who wants orange juice?\I want coke.\The more you look at him, the hotter he is.\But he isn't talking at all.\Want to try talking to him? response:	You go...
context: What a surprise.\Okay, let's order drinks!\Who wants orange juice?\I want coke.\The more you look at him, the hotter he is.\But he isn't talking at all.\Want to try talking to him?\You go... response:	Did you make the reservation?
context: Okay, let's order drinks!\Who wants orange juice?\I want coke.\The more you look at him, the hotter he is.\But he isn't talking at all.\Want to try talking to him?\You go...\Did you make the reservation? response:	What?
context: Who wants orange juice?\I want coke.\The more you look at him, the hotter he is.\But he isn't talking at all.\Want to try talking to him?\You go...\Did you make the reservation?\What? response:	I actually thought he had to be Rinko's boyfriend.
context: I want coke.\The more you look at him, the hotter he is.\But he isn't talking at all.\Want to try talking to him?\You go...\Did you make the reservation?\What?\I actually thought he had to be Rinko's boyfriend. response:	You did a lot of work.
context: The more you look at him, the hotter he is.\But he isn't talking at all.\Want to try talking to him?\You go...\Did you make the reservation?\What?\I actually thought he had to be Rinko's boyfriend.\You did a lot of work. response:	Oh, it's no big deal.
context: But he isn't talking at all.\Want to try talking to him?\You go...\Did you make the reservation?\What?\I actually thought he had to be Rinko's boyfriend.\You did a lot of work.\Oh, it's no big deal. response:	I wonder why she went for the bear.
context: Want to try talking to him?\You go...\Did you make the reservation?\What?\I actually thought he had to be Rinko's boyfriend.\You did a lot of work.\Oh, it's no big deal.\I wonder why she went for the bear. response:	Yeah, right?
context: You go...\Did you make the reservation?\What?\I actually thought he had to be Rinko's boyfriend.\You did a lot of work.\Oh, it's no big deal.\I wonder why she went for the bear.\Yeah, right? response:	Takeo, your girlfriend's real nice.
context: Did you make the reservation?\What?\I actually thought he had to be Rinko's boyfriend.\You did a lot of work.\Oh, it's no big deal.\I wonder why she went for the bear.\Yeah, right?\Takeo, your girlfriend's real nice. response:	I'm happy for you, Takeo.
context: What?\I actually thought he had to be Rinko's boyfriend.\You did a lot of work.\Oh, it's no big deal.\I wonder why she went for the bear.\Yeah, right?\Takeo, your girlfriend's real nice.\I'm happy for you, Takeo. response:	I'm really glad for you, man.
context: I actually thought he had to be Rinko's boyfriend.\You did a lot of work.\Oh, it's no big deal.\I wonder why she went for the bear.\Yeah, right?\Takeo, your girlfriend's real nice.\I'm happy for you, Takeo.\I'm really glad for you, man. response:	And why does everyone like her boyfriend so much?
context: You did a lot of work.\Oh, it's no big deal.\I wonder why she went for the bear.\Yeah, right?\Takeo, your girlfriend's real nice.\I'm happy for you, Takeo.\I'm really glad for you, man.\And why does everyone like her boyfriend so much? response:	We should toss you in the air again tomorrow.
context: Oh, it's no big deal.\I wonder why she went for the bear.\Yeah, right?\Takeo, your girlfriend's real nice.\I'm happy for you, Takeo.\I'm really glad for you, man.\And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow. response:	Let's aim for three tosses next time.
context: I wonder why she went for the bear.\Yeah, right?\Takeo, your girlfriend's real nice.\I'm happy for you, Takeo.\I'm really glad for you, man.\And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow.\Let's aim for three tosses next time. response:	Yeah!
context: Yeah, right?\Takeo, your girlfriend's real nice.\I'm happy for you, Takeo.\I'm really glad for you, man.\And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow.\Let's aim for three tosses next time.\Yeah! response:	Everyone got their drinks?
context: Takeo, your girlfriend's real nice.\I'm happy for you, Takeo.\I'm really glad for you, man.\And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow.\Let's aim for three tosses next time.\Yeah!\Everyone got their drinks? response:	All right, let's start with a toast.
context: I'm happy for you, Takeo.\I'm really glad for you, man.\And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow.\Let's aim for three tosses next time.\Yeah!\Everyone got their drinks?\All right, let's start with a toast. response:	Oh, we don't have a bottle opener.
context: I'm really glad for you, man.\And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow.\Let's aim for three tosses next time.\Yeah!\Everyone got their drinks?\All right, let's start with a toast.\Oh, we don't have a bottle opener. response:	Excuse me.
context: And why does everyone like her boyfriend so much?\We should toss you in the air again tomorrow.\Let's aim for three tosses next time.\Yeah!\Everyone got their drinks?\All right, let's start with a toast.\Oh, we don't have a bottle opener.\Excuse me. response:	It's open.
context: We should toss you in the air again tomorrow.\Let's aim for three tosses next time.\Yeah!\Everyone got their drinks?\All right, let's start with a toast.\Oh, we don't have a bottle opener.\Excuse me.\It's open. response:	Huh?
context: Let's aim for three tosses next time.\Yeah!\Everyone got their drinks?\All right, let's start with a toast.\Oh, we don't have a bottle opener.\Excuse me.\It's open.\Huh? response:	Wow, you opened it with your bare hands!
context: Yeah!\Everyone got their drinks?\All right, let's start with a toast.\Oh, we don't have a bottle opener.\Excuse me.\It's open.\Huh?\Wow, you opened it with your bare hands! response:	You're amazing, Takeo!
context: Everyone got their drinks?\All right, let's start with a toast.\Oh, we don't have a bottle opener.\Excuse me.\It's open.\Huh?\Wow, you opened it with your bare hands!\You're amazing, Takeo! response:	Wow!
context: All right, let's start with a toast.\Oh, we don't have a bottle opener.\Excuse me.\It's open.\Huh?\Wow, you opened it with your bare hands!\You're amazing, Takeo!\Wow! response:	Do mine, too.
context: Oh, we don't have a bottle opener.\Excuse me.\It's open.\Huh?\Wow, you opened it with your bare hands!\You're amazing, Takeo!\Wow!\Do mine, too. response:	What was that?
context: Excuse me.\It's open.\Huh?\Wow, you opened it with your bare hands!\You're amazing, Takeo!\Wow!\Do mine, too.\What was that? response:	Takeo, that isn't how you're supposed to open them.
context: It's open.\Huh?\Wow, you opened it with your bare hands!\You're amazing, Takeo!\Wow!\Do mine, too.\What was that?\Takeo, that isn't how you're supposed to open them. response:	Hey, so you all attend an all-girls' high school, right?
context: Huh?\Wow, you opened it with your bare hands!\You're amazing, Takeo!\Wow!\Do mine, too.\What was that?\Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right? response:	So you don't have any guys?
context: Wow, you opened it with your bare hands!\You're amazing, Takeo!\Wow!\Do mine, too.\What was that?\Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right?\So you don't have any guys? response:	Uh... Well...
context: You're amazing, Takeo!\Wow!\Do mine, too.\What was that?\Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right?\So you don't have any guys?\Uh... Well... response:	Nope.
context: Wow!\Do mine, too.\What was that?\Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right?\So you don't have any guys?\Uh... Well...\Nope. response:	Don't ask Yamato's friends stupid questions!
context: Do mine, too.\What was that?\Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right?\So you don't have any guys?\Uh... Well...\Nope.\Don't ask Yamato's friends stupid questions! response:	Sorry, sorry.
context: What was that?\Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right?\So you don't have any guys?\Uh... Well...\Nope.\Don't ask Yamato's friends stupid questions!\Sorry, sorry. response:	You'd better not do them any wrong!
context: Takeo, that isn't how you're supposed to open them.\Hey, so you all attend an all-girls' high school, right?\So you don't have any guys?\Uh... Well...\Nope.\Don't ask Yamato's friends stupid questions!\Sorry, sorry.\You'd better not do them any wrong! response:	Takeo-kun,
context: Hey, so you all attend an all-girls' high school, right?\So you don't have any guys?\Uh... Well...\Nope.\Don't ask Yamato's friends stupid questions!\Sorry, sorry.\You'd better not do them any wrong!\Takeo-kun, response:	it's fine.
context: So you don't have any guys?\Uh... Well...\Nope.\Don't ask Yamato's friends stupid questions!\Sorry, sorry.\You'd better not do them any wrong!\Takeo-kun,\it's fine. response:	Huh?
context: Uh... Well...\Nope.\Don't ask Yamato's friends stupid questions!\Sorry, sorry.\You'd better not do them any wrong!\Takeo-kun,\it's fine.\Huh? response:	So none of you girls has a boyfriend?
context: Nope.\Don't ask Yamato's friends stupid questions!\Sorry, sorry.\You'd better not do them any wrong!\Takeo-kun,\it's fine.\Huh?\So none of you girls has a boyfriend? response:	Nope!
context: Don't ask Yamato's friends stupid questions!\Sorry, sorry.\You'd better not do them any wrong!\Takeo-kun,\it's fine.\Huh?\So none of you girls has a boyfriend?\Nope! response:	We don't have any opportunities to meet them.
context: Sorry, sorry.\You'd better not do them any wrong!\Takeo-kun,\it's fine.\Huh?\So none of you girls has a boyfriend?\Nope!\We don't have any opportunities to meet them. response:	Yeah, none.
context: You'd better not do them any wrong!\Takeo-kun,\it's fine.\Huh?\So none of you girls has a boyfriend?\Nope!\We don't have any opportunities to meet them.\Yeah, none. response:	Well, we're co-ed, but we don't have any opportunities, either.
context: Takeo-kun,\it's fine.\Huh?\So none of you girls has a boyfriend?\Nope!\We don't have any opportunities to meet them.\Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either. response:	Yeah, none.
context: it's fine.\Huh?\So none of you girls has a boyfriend?\Nope!\We don't have any opportunities to meet them.\Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none. response:	All the girls go for the popular guys.
context: Huh?\So none of you girls has a boyfriend?\Nope!\We don't have any opportunities to meet them.\Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none.\All the girls go for the popular guys. response:	If there are any, there's only our school festival.
context: So none of you girls has a boyfriend?\Nope!\We don't have any opportunities to meet them.\Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none.\All the girls go for the popular guys.\If there are any, there's only our school festival. response:	Oh, the school festival.
context: Nope!\We don't have any opportunities to meet them.\Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none.\All the girls go for the popular guys.\If there are any, there's only our school festival.\Oh, the school festival. response:	Can we go to that, too?
context: We don't have any opportunities to meet them.\Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none.\All the girls go for the popular guys.\If there are any, there's only our school festival.\Oh, the school festival.\Can we go to that, too? response:	Sure, come!
context: Yeah, none.\Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none.\All the girls go for the popular guys.\If there are any, there's only our school festival.\Oh, the school festival.\Can we go to that, too?\Sure, come! response:	Sure thing!
context: Well, we're co-ed, but we don't have any opportunities, either.\Yeah, none.\All the girls go for the popular guys.\If there are any, there's only our school festival.\Oh, the school festival.\Can we go to that, too?\Sure, come!\Sure thing! response:	Our last festival in junior high, we ran a cafe.
context: Yeah, none.\All the girls go for the popular guys.\If there are any, there's only our school festival.\Oh, the school festival.\Can we go to that, too?\Sure, come!\Sure thing!\Our last festival in junior high, we ran a cafe. response:	A cafe?
context: All the girls go for the popular guys.\If there are any, there's only our school festival.\Oh, the school festival.\Can we go to that, too?\Sure, come!\Sure thing!\Our last festival in junior high, we ran a cafe.\A cafe? response:	What was your getup?
context: If there are any, there's only our school festival.\Oh, the school festival.\Can we go to that, too?\Sure, come!\Sure thing!\Our last festival in junior high, we ran a cafe.\A cafe?\What was your getup? response:	Um, that question's super dated.
context: Oh, the school festival.\Can we go to that, too?\Sure, come!\Sure thing!\Our last festival in junior high, we ran a cafe.\A cafe?\What was your getup?\Um, that question's super dated. response:	Hey, can I come sit with you guys?
context: Can we go to that, too?\Sure, come!\Sure thing!\Our last festival in junior high, we ran a cafe.\A cafe?\What was your getup?\Um, that question's super dated.\Hey, can I come sit with you guys? response:	Did you run a cafe, too?
context: Sure, come!\Sure thing!\Our last festival in junior high, we ran a cafe.\A cafe?\What was your getup?\Um, that question's super dated.\Hey, can I come sit with you guys?\Did you run a cafe, too? response:	Sure.
context: Sure thing!\Our last festival in junior high, we ran a cafe.\A cafe?\What was your getup?\Um, that question's super dated.\Hey, can I come sit with you guys?\Did you run a cafe, too?\Sure. response:	Okay, let's swap seats.
context: Our last festival in junior high, we ran a cafe.\A cafe?\What was your getup?\Um, that question's super dated.\Hey, can I come sit with you guys?\Did you run a cafe, too?\Sure.\Okay, let's swap seats. response:	I baked stuff for it.
context: A cafe?\What was your getup?\Um, that question's super dated.\Hey, can I come sit with you guys?\Did you run a cafe, too?\Sure.\Okay, let's swap seats.\I baked stuff for it. response:	I made a lot of pound cake in different flavors.
context: What was your getup?\Um, that question's super dated.\Hey, can I come sit with you guys?\Did you run a cafe, too?\Sure.\Okay, let's swap seats.\I baked stuff for it.\I made a lot of pound cake in different flavors. response:	Oh, I would've liked to have tried them.
