context: Time has really flown. Has it already been three years? response:	Wataya Family Grave
context: Who's their strongest player?\What order do we use to guarantee three victories?\Good Luck\Taichi-kun! Taichi-kun!\Good luck! I bought this for you!\A lucky charm!\I bought one, too! Take it!\All you're missing is the luck! response:	You have the skill!
context: What order do we use to guarantee three victories?\Good Luck\Taichi-kun! Taichi-kun!\Good luck! I bought this for you!\A lucky charm!\I bought one, too! Take it!\All you're missing is the luck!\You have the skill! response:	Sorry, I need to come up with our order!
context: Good Luck\Taichi-kun! Taichi-kun!\Good luck! I bought this for you!\A lucky charm!\I bought one, too! Take it!\All you're missing is the luck!\You have the skill!\Sorry, I need to come up with our order! response:	Will the semifinalists please turn in their orders?
context: Taichi-kun! Taichi-kun!\Good luck! I bought this for you!\A lucky charm!\I bought one, too! Take it!\All you're missing is the luck!\You have the skill!\Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders? response:	Damn, there's no time.
context: Good luck! I bought this for you!\A lucky charm!\I bought one, too! Take it!\All you're missing is the luck!\You have the skill!\Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders?\Damn, there's no time. response:	Eyebrows...
context: A lucky charm!\I bought one, too! Take it!\All you're missing is the luck!\You have the skill!\Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders?\Damn, there's no time.\Eyebrows... response:	An individual match is a team match.
context: I bought one, too! Take it!\All you're missing is the luck!\You have the skill!\Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders?\Damn, there's no time.\Eyebrows...\An individual match is a team match. response:	A team match is an individual match.
context: All you're missing is the luck!\You have the skill!\Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders?\Damn, there's no time.\Eyebrows...\An individual match is a team match.\A team match is an individual match. response:	Homei High School, Takei-kun.
context: You have the skill!\Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders?\Damn, there's no time.\Eyebrows...\An individual match is a team match.\A team match is an individual match.\Homei High School, Takei-kun. response:	Mizusawa High School, Komano-kun.
context: Sorry, I need to come up with our order!\Will the semifinalists please turn in their orders?\Damn, there's no time.\Eyebrows...\An individual match is a team match.\A team match is an individual match.\Homei High School, Takei-kun.\Mizusawa High School, Komano-kun. response:	What did he mean?
context: Will the semifinalists please turn in their orders?\Damn, there's no time.\Eyebrows...\An individual match is a team match.\A team match is an individual match.\Homei High School, Takei-kun.\Mizusawa High School, Komano-kun.\What did he mean? response:	Homei High School, Toda-san.
context: Damn, there's no time.\Eyebrows...\An individual match is a team match.\A team match is an individual match.\Homei High School, Takei-kun.\Mizusawa High School, Komano-kun.\What did he mean?\Homei High School, Toda-san. response:	Team matches and individual matches are different things.
context: Eyebrows...\An individual match is a team match.\A team match is an individual match.\Homei High School, Takei-kun.\Mizusawa High School, Komano-kun.\What did he mean?\Homei High School, Toda-san.\Team matches and individual matches are different things. response:	Mizusawa High School, Mashima-kun.
context: An individual match is a team match.\A team match is an individual match.\Homei High School, Takei-kun.\Mizusawa High School, Komano-kun.\What did he mean?\Homei High School, Toda-san.\Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun. response:	The side that does better as a team will win!
context: A team match is an individual match.\Homei High School, Takei-kun.\Mizusawa High School, Komano-kun.\What did he mean?\Homei High School, Toda-san.\Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun.\The side that does better as a team will win! response:	Homei High School, Sasa-san.
context: Homei High School, Takei-kun.\Mizusawa High School, Komano-kun.\What did he mean?\Homei High School, Toda-san.\Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun.\The side that does better as a team will win!\Homei High School, Sasa-san. response:	Please begin placing your cards.
context: Mizusawa High School, Komano-kun.\What did he mean?\Homei High School, Toda-san.\Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun.\The side that does better as a team will win!\Homei High School, Sasa-san.\Please begin placing your cards. response:	After a fifteen minute memorization period, the match will begin.
context: What did he mean?\Homei High School, Toda-san.\Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun.\The side that does better as a team will win!\Homei High School, Sasa-san.\Please begin placing your cards.\After a fifteen minute memorization period, the match will begin. response:	Amazing...
context: Homei High School, Toda-san.\Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun.\The side that does better as a team will win!\Homei High School, Sasa-san.\Please begin placing your cards.\After a fifteen minute memorization period, the match will begin.\Amazing... response:	Group C had strong schools like Kase High and Eiko University High.
context: Team matches and individual matches are different things.\Mizusawa High School, Mashima-kun.\The side that does better as a team will win!\Homei High School, Sasa-san.\Please begin placing your cards.\After a fifteen minute memorization period, the match will begin.\Amazing...\Group C had strong schools like Kase High and Eiko University High. response:	They must have improved a lot with Tsuboguchi-san's teaching.
context: Mizusawa High School, Mashima-kun.\The side that does better as a team will win!\Homei High School, Sasa-san.\Please begin placing your cards.\After a fifteen minute memorization period, the match will begin.\Amazing...\Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching. response:	I knew it!
context: The side that does better as a team will win!\Homei High School, Sasa-san.\Please begin placing your cards.\After a fifteen minute memorization period, the match will begin.\Amazing...\Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching.\I knew it! response:	You're totally my type!
context: Homei High School, Sasa-san.\Please begin placing your cards.\After a fifteen minute memorization period, the match will begin.\Amazing...\Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching.\I knew it!\You're totally my type! response:	Give me your number after the match!
context: Please begin placing your cards.\After a fifteen minute memorization period, the match will begin.\Amazing...\Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching.\I knew it!\You're totally my type!\Give me your number after the match! response:	Wh-What?!
context: After a fifteen minute memorization period, the match will begin.\Amazing...\Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching.\I knew it!\You're totally my type!\Give me your number after the match!\Wh-What?! response:	Good!
context: Amazing...\Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching.\I knew it!\You're totally my type!\Give me your number after the match!\Wh-What?!\Good! response:	Chihaya-chan isn't used to romantic stuff,
context: Group C had strong schools like Kase High and Eiko University High.\They must have improved a lot with Tsuboguchi-san's teaching.\I knew it!\You're totally my type!\Give me your number after the match!\Wh-What?!\Good!\Chihaya-chan isn't used to romantic stuff, response:	so we can use that.
context: They must have improved a lot with Tsuboguchi-san's teaching.\I knew it!\You're totally my type!\Give me your number after the match!\Wh-What?!\Good!\Chihaya-chan isn't used to romantic stuff,\so we can use that. response:	Still, I know that she'll go back
context: I knew it!\You're totally my type!\Give me your number after the match!\Wh-What?!\Good!\Chihaya-chan isn't used to romantic stuff,\so we can use that.\Still, I know that she'll go back response:	to being crazy about karuta once the match starts,
context: You're totally my type!\Give me your number after the match!\Wh-What?!\Good!\Chihaya-chan isn't used to romantic stuff,\so we can use that.\Still, I know that she'll go back\to being crazy about karuta once the match starts, response:	so we're only pretending to go after her.
context: Give me your number after the match!\Wh-What?!\Good!\Chihaya-chan isn't used to romantic stuff,\so we can use that.\Still, I know that she'll go back\to being crazy about karuta once the match starts,\so we're only pretending to go after her. response:	So how about it?
context: Wh-What?!\Good!\Chihaya-chan isn't used to romantic stuff,\so we can use that.\Still, I know that she'll go back\to being crazy about karuta once the match starts,\so we're only pretending to go after her.\So how about it? response:	It's a promise.
context: Good!\Chihaya-chan isn't used to romantic stuff,\so we can use that.\Still, I know that she'll go back\to being crazy about karuta once the match starts,\so we're only pretending to go after her.\So how about it?\It's a promise. response:	That's dirty!
context: Chihaya-chan isn't used to romantic stuff,\so we can use that.\Still, I know that she'll go back\to being crazy about karuta once the match starts,\so we're only pretending to go after her.\So how about it?\It's a promise.\That's dirty! response:	You're taking advantage of Chihaya's personality!
context: so we can use that.\Still, I know that she'll go back\to being crazy about karuta once the match starts,\so we're only pretending to go after her.\So how about it?\It's a promise.\That's dirty!\You're taking advantage of Chihaya's personality! response:	I know what you're up to, Tsuboguchi-san!
context: Still, I know that she'll go back\to being crazy about karuta once the match starts,\so we're only pretending to go after her.\So how about it?\It's a promise.\That's dirty!\You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san! response:	In reality, we're throwing Eyebrows off his game.
context: to being crazy about karuta once the match starts,\so we're only pretending to go after her.\So how about it?\It's a promise.\That's dirty!\You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game. response:	Chihaya-chan may be Mizusawa's ace,
context: so we're only pretending to go after her.\So how about it?\It's a promise.\That's dirty!\You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace, response:	but Eyebrows is their mental leader.
context: So how about it?\It's a promise.\That's dirty!\You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader. response:	You pay too much attention to your surroundings.
context: It's a promise.\That's dirty!\You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader.\You pay too much attention to your surroundings. response:	Are you sure that you should be glaring at me?
context: That's dirty!\You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader.\You pay too much attention to your surroundings.\Are you sure that you should be glaring at me? response:	Dr. Harada.
context: You're taking advantage of Chihaya's personality!\I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader.\You pay too much attention to your surroundings.\Are you sure that you should be glaring at me?\Dr. Harada. response:	Oh, Mochida-kun.
context: I know what you're up to, Tsuboguchi-san!\In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader.\You pay too much attention to your surroundings.\Are you sure that you should be glaring at me?\Dr. Harada.\Oh, Mochida-kun. response:	It looks like Hokuo is winning their games.
context: In reality, we're throwing Eyebrows off his game.\Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader.\You pay too much attention to your surroundings.\Are you sure that you should be glaring at me?\Dr. Harada.\Oh, Mochida-kun.\It looks like Hokuo is winning their games. response:	Yes, thank you.
context: Chihaya-chan may be Mizusawa's ace,\but Eyebrows is their mental leader.\You pay too much attention to your surroundings.\Are you sure that you should be glaring at me?\Dr. Harada.\Oh, Mochida-kun.\It looks like Hokuo is winning their games.\Yes, thank you. response:	By the way, did you notice, Doctor?
context: but Eyebrows is their mental leader.\You pay too much attention to your surroundings.\Are you sure that you should be glaring at me?\Dr. Harada.\Oh, Mochida-kun.\It looks like Hokuo is winning their games.\Yes, thank you.\By the way, did you notice, Doctor? response:	Naniwa Bay, now the flower blooms, but for winter
context: You pay too much attention to your surroundings.\Are you sure that you should be glaring at me?\Dr. Harada.\Oh, Mochida-kun.\It looks like Hokuo is winning their games.\Yes, thank you.\By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter response:	They're switching readers every round this year.
context: Are you sure that you should be glaring at me?\Dr. Harada.\Oh, Mochida-kun.\It looks like Hokuo is winning their games.\Yes, thank you.\By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year. response:	It must have been difficult to find five readers.
context: Dr. Harada.\Oh, Mochida-kun.\It looks like Hokuo is winning their games.\Yes, thank you.\By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year.\It must have been difficult to find five readers. response:	Oh, that's impressive.
context: Oh, Mochida-kun.\It looks like Hokuo is winning their games.\Yes, thank you.\By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year.\It must have been difficult to find five readers.\Oh, that's impressive. response:	I know.
context: It looks like Hokuo is winning their games.\Yes, thank you.\By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year.\It must have been difficult to find five readers.\Oh, that's impressive.\I know. response:	Here comes spring, now the flower blooms
context: Yes, thank you.\By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year.\It must have been difficult to find five readers.\Oh, that's impressive.\I know.\Here comes spring, now the flower blooms response:	Here comes spring, now the flower blooms
context: By the way, did you notice, Doctor?\Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year.\It must have been difficult to find five readers.\Oh, that's impressive.\I know.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms response:	My life means nothing...
context: Naniwa Bay, now the flower blooms, but for winter\They're switching readers every round this year.\It must have been difficult to find five readers.\Oh, that's impressive.\I know.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\My life means nothing... response:	What was that pause about?!
context: They're switching readers every round this year.\It must have been difficult to find five readers.\Oh, that's impressive.\I know.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\My life means nothing...\What was that pause about?! response:	Mochida-kun, is he an amateur?!
context: It must have been difficult to find five readers.\Oh, that's impressive.\I know.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\My life means nothing...\What was that pause about?!\Mochida-kun, is he an amateur?! response:	No, Tashiro-kun is certified!
context: Oh, that's impressive.\I know.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\My life means nothing...\What was that pause about?!\Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified! response:	I wish I could show the...
context: I know.\Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\My life means nothing...\What was that pause about?!\Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified!\I wish I could show the... response:	He didn't wait long enough this time!
context: Here comes spring, now the flower blooms\Here comes spring, now the flower blooms\My life means nothing...\What was that pause about?!\Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified!\I wish I could show the...\He didn't wait long enough this time! response:	Tashiro-kun's nervous because he was
context: Here comes spring, now the flower blooms\My life means nothing...\What was that pause about?!\Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified!\I wish I could show the...\He didn't wait long enough this time!\Tashiro-kun's nervous because he was response:	just certified as a Class B reader!
context: My life means nothing...\What was that pause about?!\Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified!\I wish I could show the...\He didn't wait long enough this time!\Tashiro-kun's nervous because he was\just certified as a Class B reader! response:	He's not following the correct rhythm!
context: What was that pause about?!\Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified!\I wish I could show the...\He didn't wait long enough this time!\Tashiro-kun's nervous because he was\just certified as a Class B reader!\He's not following the correct rhythm! response:	Mizusawa's at a disadvantage!
context: Mochida-kun, is he an amateur?!\No, Tashiro-kun is certified!\I wish I could show the...\He didn't wait long enough this time!\Tashiro-kun's nervous because he was\just certified as a Class B reader!\He's not following the correct rhythm!\Mizusawa's at a disadvantage! response:	The strange rhythm will affect experienced players more!
context: No, Tashiro-kun is certified!\I wish I could show the...\He didn't wait long enough this time!\Tashiro-kun's nervous because he was\just certified as a Class B reader!\He's not following the correct rhythm!\Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more! response:	Taichi-kun's luck is so terrible!
context: I wish I could show the...\He didn't wait long enough this time!\Tashiro-kun's nervous because he was\just certified as a Class B reader!\He's not following the correct rhythm!\Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible! response:	Karuta is similar to dance.
context: He didn't wait long enough this time!\Tashiro-kun's nervous because he was\just certified as a Class B reader!\He's not following the correct rhythm!\Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible!\Karuta is similar to dance. response:	Irritated Irritated Irritated Irritated
context: Tashiro-kun's nervous because he was\just certified as a Class B reader!\He's not following the correct rhythm!\Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible!\Karuta is similar to dance.\Irritated Irritated Irritated Irritated response:	You can't dance if the music is off beat.
context: just certified as a Class B reader!\He's not following the correct rhythm!\Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible!\Karuta is similar to dance.\Irritated Irritated Irritated Irritated\You can't dance if the music is off beat. response:	Oe-san.
context: He's not following the correct rhythm!\Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible!\Karuta is similar to dance.\Irritated Irritated Irritated Irritated\You can't dance if the music is off beat.\Oe-san. response:	Focus on the first card.
context: Mizusawa's at a disadvantage!\The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible!\Karuta is similar to dance.\Irritated Irritated Irritated Irritated\You can't dance if the music is off beat.\Oe-san.\Focus on the first card. response:	Make your own rhythm.
context: The strange rhythm will affect experienced players more!\Taichi-kun's luck is so terrible!\Karuta is similar to dance.\Irritated Irritated Irritated Irritated\You can't dance if the music is off beat.\Oe-san.\Focus on the first card.\Make your own rhythm. response:	Yes.
context: Taichi-kun's luck is so terrible!\Karuta is similar to dance.\Irritated Irritated Irritated Irritated\You can't dance if the music is off beat.\Oe-san.\Focus on the first card.\Make your own rhythm.\Yes. response:	A mountain village grows...
context: Karuta is similar to dance.\Irritated Irritated Irritated Irritated\You can't dance if the music is off beat.\Oe-san.\Focus on the first card.\Make your own rhythm.\Yes.\A mountain village grows... response:	Chihaya and Nishida are fine.
context: Irritated Irritated Irritated Irritated\You can't dance if the music is off beat.\Oe-san.\Focus on the first card.\Make your own rhythm.\Yes.\A mountain village grows...\Chihaya and Nishida are fine. response:	What about Komano?
context: You can't dance if the music is off beat.\Oe-san.\Focus on the first card.\Make your own rhythm.\Yes.\A mountain village grows...\Chihaya and Nishida are fine.\What about Komano? response:	Komano, attack the next card!
context: Oe-san.\Focus on the first card.\Make your own rhythm.\Yes.\A mountain village grows...\Chihaya and Nishida are fine.\What about Komano?\Komano, attack the next card! response:	Yeah!
context: Focus on the first card.\Make your own rhythm.\Yes.\A mountain village grows...\Chihaya and Nishida are fine.\What about Komano?\Komano, attack the next card!\Yeah! response:	My opponent's card placement is very familiar,
context: Make your own rhythm.\Yes.\A mountain village grows...\Chihaya and Nishida are fine.\What about Komano?\Komano, attack the next card!\Yeah!\My opponent's card placement is very familiar, response:	since their coach is Tsuboguchi-san,
context: Yes.\A mountain village grows...\Chihaya and Nishida are fine.\What about Komano?\Komano, attack the next card!\Yeah!\My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san, response:	and he's playing the Shiranami offensive karuta style.
context: A mountain village grows...\Chihaya and Nishida are fine.\What about Komano?\Komano, attack the next card!\Yeah!\My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style. response:	Offensive is my style, too...
context: Chihaya and Nishida are fine.\What about Komano?\Komano, attack the next card!\Yeah!\My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style.\Offensive is my style, too... response:	I'd love a girlfriend who's good at karuta.
context: What about Komano?\Komano, attack the next card!\Yeah!\My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style.\Offensive is my style, too...\I'd love a girlfriend who's good at karuta. response:	You're perfe
context: Komano, attack the next card!\Yeah!\My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style.\Offensive is my style, too...\I'd love a girlfriend who's good at karuta.\You're perfe response:	Focus on the opponent's bottom right side!
context: Yeah!\My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style.\Offensive is my style, too...\I'd love a girlfriend who's good at karuta.\You're perfe\Focus on the opponent's bottom right side! response:	I feel that my love...
context: My opponent's card placement is very familiar,\since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style.\Offensive is my style, too...\I'd love a girlfriend who's good at karuta.\You're perfe\Focus on the opponent's bottom right side!\I feel that my love... response:	Chihaya-chan's gotten better.
context: since their coach is Tsuboguchi-san,\and he's playing the Shiranami offensive karuta style.\Offensive is my style, too...\I'd love a girlfriend who's good at karuta.\You're perfe\Focus on the opponent's bottom right side!\I feel that my love...\Chihaya-chan's gotten better. response:	I never expected to defeat the two Class A Mizusawa players.
context: and he's playing the Shiranami offensive karuta style.\Offensive is my style, too...\I'd love a girlfriend who's good at karuta.\You're perfe\Focus on the opponent's bottom right side!\I feel that my love...\Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players. response:	But...
context: Offensive is my style, too...\I'd love a girlfriend who's good at karuta.\You're perfe\Focus on the opponent's bottom right side!\I feel that my love...\Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players.\But... response:	Yes! I took one from my opponent's side!
context: I'd love a girlfriend who's good at karuta.\You're perfe\Focus on the opponent's bottom right side!\I feel that my love...\Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players.\But...\Yes! I took one from my opponent's side! response:	Same here!
context: You're perfe\Focus on the opponent's bottom right side!\I feel that my love...\Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players.\But...\Yes! I took one from my opponent's side!\Same here! response:	Good, keep it up!
context: Focus on the opponent's bottom right side!\I feel that my love...\Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players.\But...\Yes! I took one from my opponent's side!\Same here!\Good, keep it up! response:	He's taking all the cards I'm not watching,
context: I feel that my love...\Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players.\But...\Yes! I took one from my opponent's side!\Same here!\Good, keep it up!\He's taking all the cards I'm not watching, response:	while sending all the cards I've been targeting.
context: Chihaya-chan's gotten better.\I never expected to defeat the two Class A Mizusawa players.\But...\Yes! I took one from my opponent's side!\Same here!\Good, keep it up!\He's taking all the cards I'm not watching,\while sending all the cards I've been targeting. response:	Tsuboguchi-san's taught them all the nasty tricks.
context: I never expected to defeat the two Class A Mizusawa players.\But...\Yes! I took one from my opponent's side!\Same here!\Good, keep it up!\He's taking all the cards I'm not watching,\while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks. response:	A mountain stream dips...
context: But...\Yes! I took one from my opponent's side!\Same here!\Good, keep it up!\He's taking all the cards I'm not watching,\while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips... response:	Crap, I was too late.
context: Yes! I took one from my opponent's side!\Same here!\Good, keep it up!\He's taking all the cards I'm not watching,\while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips...\Crap, I was too late. response:	I need to focus.
context: Same here!\Good, keep it up!\He's taking all the cards I'm not watching,\while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips...\Crap, I was too late.\I need to focus. response:	Come on! Come on! Come on!
context: Good, keep it up!\He's taking all the cards I'm not watching,\while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips...\Crap, I was too late.\I need to focus.\Come on! Come on! Come on! response:	I'm pretty sure I want to ignore that.
context: He's taking all the cards I'm not watching,\while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips...\Crap, I was too late.\I need to focus.\Come on! Come on! Come on!\I'm pretty sure I want to ignore that. response:	Nobody wishes to see...
context: while sending all the cards I've been targeting.\Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips...\Crap, I was too late.\I need to focus.\Come on! Come on! Come on!\I'm pretty sure I want to ignore that.\Nobody wishes to see... response:	I knew it would come!
context: Tsuboguchi-san's taught them all the nasty tricks.\A mountain stream dips...\Crap, I was too late.\I need to focus.\Come on! Come on! Come on!\I'm pretty sure I want to ignore that.\Nobody wishes to see...\I knew it would come! response:	Come on! Come on! Come on!
context: A mountain stream dips...\Crap, I was too late.\I need to focus.\Come on! Come on! Come on!\I'm pretty sure I want to ignore that.\Nobody wishes to see...\I knew it would come!\Come on! Come on! Come on! response:	Some kind of curse?
context: Crap, I was too late.\I need to focus.\Come on! Come on! Come on!\I'm pretty sure I want to ignore that.\Nobody wishes to see...\I knew it would come!\Come on! Come on! Come on!\Some kind of curse? response:	What's with her?
context: I need to focus.\Come on! Come on! Come on!\I'm pretty sure I want to ignore that.\Nobody wishes to see...\I knew it would come!\Come on! Come on! Come on!\Some kind of curse?\What's with her? response:	She's the only one acting so strange.
context: Come on! Come on! Come on!\I'm pretty sure I want to ignore that.\Nobody wishes to see...\I knew it would come!\Come on! Come on! Come on!\Some kind of curse?\What's with her?\She's the only one acting so strange. response:	I've dreamed about becoming the karuta queen since I was a little girl.
context: I'm pretty sure I want to ignore that.\Nobody wishes to see...\I knew it would come!\Come on! Come on! Come on!\Some kind of curse?\What's with her?\She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl. response:	However, I didn't have the courage to enter a karuta society,
context: Nobody wishes to see...\I knew it would come!\Come on! Come on! Come on!\Some kind of curse?\What's with her?\She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society, response:	so I had to practice and work on my positioning by myself.
context: I knew it would come!\Come on! Come on! Come on!\Some kind of curse?\What's with her?\She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself. response:	Our high school had a karuta club,
context: Come on! Come on! Come on!\Some kind of curse?\What's with her?\She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself.\Our high school had a karuta club, response:	but they just sat around chatting.
context: Some kind of curse?\What's with her?\She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself.\Our high school had a karuta club,\but they just sat around chatting. response:	That was when my savior arrived.
context: What's with her?\She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself.\Our high school had a karuta club,\but they just sat around chatting.\That was when my savior arrived. response:	Everyone, karuta is fun!
context: She's the only one acting so strange.\I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself.\Our high school had a karuta club,\but they just sat around chatting.\That was when my savior arrived.\Everyone, karuta is fun! response:	Huh?
context: I've dreamed about becoming the karuta queen since I was a little girl.\However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself.\Our high school had a karuta club,\but they just sat around chatting.\That was when my savior arrived.\Everyone, karuta is fun!\Huh? response:	I guess it's not karuta that's fun...
context: However, I didn't have the courage to enter a karuta society,\so I had to practice and work on my positioning by myself.\Our high school had a karuta club,\but they just sat around chatting.\That was when my savior arrived.\Everyone, karuta is fun!\Huh?\I guess it's not karuta that's fun... response:	It's the act of trying your hardest that's fun!
context: so I had to practice and work on my positioning by myself.\Our high school had a karuta club,\but they just sat around chatting.\That was when my savior arrived.\Everyone, karuta is fun!\Huh?\I guess it's not karuta that's fun...\It's the act of trying your hardest that's fun! response:	I was shocked.
context: Our high school had a karuta club,\but they just sat around chatting.\That was when my savior arrived.\Everyone, karuta is fun!\Huh?\I guess it's not karuta that's fun...\It's the act of trying your hardest that's fun!\I was shocked. response:	I wasn't the only one who wanted to try hard.
context: but they just sat around chatting.\That was when my savior arrived.\Everyone, karuta is fun!\Huh?\I guess it's not karuta that's fun...\It's the act of trying your hardest that's fun!\I was shocked.\I wasn't the only one who wanted to try hard. response:	I was shocked...
