context: This world has one type of currency: gold. response:	The standard cost for the items in a single meal is around five gold.
context: This world has no rules...\In other words, we can make up our own...\We need a new rule to make money.\A way to make people bring us money, and be happy doing so...\We can do it.\Five million gold.\We can get the money.\Now it's time for the plan's first stage. response:	Marie, I brought you a snack.
context: In other words, we can make up our own...\We need a new rule to make money.\A way to make people bring us money, and be happy doing so...\We can do it.\Five million gold.\We can get the money.\Now it's time for the plan's first stage.\Marie, I brought you a snack. response:	Chief Nyanta made this sandwich himse
context: We need a new rule to make money.\A way to make people bring us money, and be happy doing so...\We can do it.\Five million gold.\We can get the money.\Now it's time for the plan's first stage.\Marie, I brought you a snack.\Chief Nyanta made this sandwich himse response:	I can't go on!
context: A way to make people bring us money, and be happy doing so...\We can do it.\Five million gold.\We can get the money.\Now it's time for the plan's first stage.\Marie, I brought you a snack.\Chief Nyanta made this sandwich himse\I can't go on! response:	Stupid Umeko, I hate you!
context: We can do it.\Five million gold.\We can get the money.\Now it's time for the plan's first stage.\Marie, I brought you a snack.\Chief Nyanta made this sandwich himse\I can't go on!\Stupid Umeko, I hate you! response:	Hey, come on...
context: Five million gold.\We can get the money.\Now it's time for the plan's first stage.\Marie, I brought you a snack.\Chief Nyanta made this sandwich himse\I can't go on!\Stupid Umeko, I hate you!\Hey, come on... response:	I can't take this room anymore.
context: We can get the money.\Now it's time for the plan's first stage.\Marie, I brought you a snack.\Chief Nyanta made this sandwich himse\I can't go on!\Stupid Umeko, I hate you!\Hey, come on...\I can't take this room anymore. response:	I want a bath.
context: Now it's time for the plan's first stage.\Marie, I brought you a snack.\Chief Nyanta made this sandwich himse\I can't go on!\Stupid Umeko, I hate you!\Hey, come on...\I can't take this room anymore.\I want a bath. response:	I want to go outside!
context: Marie, I brought you a snack.\Chief Nyanta made this sandwich himse\I can't go on!\Stupid Umeko, I hate you!\Hey, come on...\I can't take this room anymore.\I want a bath.\I want to go outside! response:	Okay... Okay, Marie...
context: Chief Nyanta made this sandwich himse\I can't go on!\Stupid Umeko, I hate you!\Hey, come on...\I can't take this room anymore.\I want a bath.\I want to go outside!\Okay... Okay, Marie... response:	Easy there.
context: I can't go on!\Stupid Umeko, I hate you!\Hey, come on...\I can't take this room anymore.\I want a bath.\I want to go outside!\Okay... Okay, Marie...\Easy there. response:	This is great!
context: Stupid Umeko, I hate you!\Hey, come on...\I can't take this room anymore.\I want a bath.\I want to go outside!\Okay... Okay, Marie...\Easy there.\This is great! response:	Hey...
context: Hey, come on...\I can't take this room anymore.\I want a bath.\I want to go outside!\Okay... Okay, Marie...\Easy there.\This is great!\Hey... response:	Hmm?
context: I can't take this room anymore.\I want a bath.\I want to go outside!\Okay... Okay, Marie...\Easy there.\This is great!\Hey...\Hmm? response:	Thanks for going along with Shiro's plan.
context: I want a bath.\I want to go outside!\Okay... Okay, Marie...\Easy there.\This is great!\Hey...\Hmm?\Thanks for going along with Shiro's plan. response:	Eh?
context: I want to go outside!\Okay... Okay, Marie...\Easy there.\This is great!\Hey...\Hmm?\Thanks for going along with Shiro's plan.\Eh? response:	I think it made him happy that you agreed.
context: Okay... Okay, Marie...\Easy there.\This is great!\Hey...\Hmm?\Thanks for going along with Shiro's plan.\Eh?\I think it made him happy that you agreed. response:	Thank you.
context: Easy there.\This is great!\Hey...\Hmm?\Thanks for going along with Shiro's plan.\Eh?\I think it made him happy that you agreed.\Thank you. response:	You're a good boy, Naotsugu...
context: This is great!\Hey...\Hmm?\Thanks for going along with Shiro's plan.\Eh?\I think it made him happy that you agreed.\Thank you.\You're a good boy, Naotsugu... response:	Good boy, good boy.
context: Hey...\Hmm?\Thanks for going along with Shiro's plan.\Eh?\I think it made him happy that you agreed.\Thank you.\You're a good boy, Naotsugu...\Good boy, good boy. response:	I'm glad you're with Shiro.
context: Hmm?\Thanks for going along with Shiro's plan.\Eh?\I think it made him happy that you agreed.\Thank you.\You're a good boy, Naotsugu...\Good boy, good boy.\I'm glad you're with Shiro. response:	Keep being his friend.
context: Thanks for going along with Shiro's plan.\Eh?\I think it made him happy that you agreed.\Thank you.\You're a good boy, Naotsugu...\Good boy, good boy.\I'm glad you're with Shiro.\Keep being his friend. response:	Y-Yeah...
context: Eh?\I think it made him happy that you agreed.\Thank you.\You're a good boy, Naotsugu...\Good boy, good boy.\I'm glad you're with Shiro.\Keep being his friend.\Y-Yeah... response:	So, tomorrow's the day.
context: I think it made him happy that you agreed.\Thank you.\You're a good boy, Naotsugu...\Good boy, good boy.\I'm glad you're with Shiro.\Keep being his friend.\Y-Yeah...\So, tomorrow's the day. response:	Yeah, tomorrow.
context: Thank you.\You're a good boy, Naotsugu...\Good boy, good boy.\I'm glad you're with Shiro.\Keep being his friend.\Y-Yeah...\So, tomorrow's the day.\Yeah, tomorrow. response:	Hey...
context: You're a good boy, Naotsugu...\Good boy, good boy.\I'm glad you're with Shiro.\Keep being his friend.\Y-Yeah...\So, tomorrow's the day.\Yeah, tomorrow.\Hey... response:	Before we head into the field, let's grab something to eat.
context: Good boy, good boy.\I'm glad you're with Shiro.\Keep being his friend.\Y-Yeah...\So, tomorrow's the day.\Yeah, tomorrow.\Hey...\Before we head into the field, let's grab something to eat. response:	Does it matter what?
context: I'm glad you're with Shiro.\Keep being his friend.\Y-Yeah...\So, tomorrow's the day.\Yeah, tomorrow.\Hey...\Before we head into the field, let's grab something to eat.\Does it matter what? response:	Everything tastes the same, anyway.
context: Keep being his friend.\Y-Yeah...\So, tomorrow's the day.\Yeah, tomorrow.\Hey...\Before we head into the field, let's grab something to eat.\Does it matter what?\Everything tastes the same, anyway. response:	Don't say that.
context: Y-Yeah...\So, tomorrow's the day.\Yeah, tomorrow.\Hey...\Before we head into the field, let's grab something to eat.\Does it matter what?\Everything tastes the same, anyway.\Don't say that. response:	Anyway, this place sure is deserted...
context: So, tomorrow's the day.\Yeah, tomorrow.\Hey...\Before we head into the field, let's grab something to eat.\Does it matter what?\Everything tastes the same, anyway.\Don't say that.\Anyway, this place sure is deserted... response:	Of course it is.
context: Yeah, tomorrow.\Hey...\Before we head into the field, let's grab something to eat.\Does it matter what?\Everything tastes the same, anyway.\Don't say that.\Anyway, this place sure is deserted...\Of course it is. response:	Well, if it all tastes the same, the cheapest food is as good as any...
context: Hey...\Before we head into the field, let's grab something to eat.\Does it matter what?\Everything tastes the same, anyway.\Don't say that.\Anyway, this place sure is deserted...\Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any... response:	I smell something good.
context: Before we head into the field, let's grab something to eat.\Does it matter what?\Everything tastes the same, anyway.\Don't say that.\Anyway, this place sure is deserted...\Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good. response:	No way.
context: Does it matter what?\Everything tastes the same, anyway.\Don't say that.\Anyway, this place sure is deserted...\Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good.\No way. response:	Hello, residents of Akihabara!
context: Everything tastes the same, anyway.\Don't say that.\Anyway, this place sure is deserted...\Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good.\No way.\Hello, residents of Akihabara! response:	For those of you who miss real food, we have good news.
context: Don't say that.\Anyway, this place sure is deserted...\Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good.\No way.\Hello, residents of Akihabara!\For those of you who miss real food, we have good news. response:	Now you can bring genuine flavor back to your table!
context: Anyway, this place sure is deserted...\Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good.\No way.\Hello, residents of Akihabara!\For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table! response:	The Crescent Moon refreshment stand opens today!
context: Of course it is.\Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good.\No way.\Hello, residents of Akihabara!\For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today! response:	Please give it a try!
context: Well, if it all tastes the same, the cheapest food is as good as any...\I smell something good.\No way.\Hello, residents of Akihabara!\For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today!\Please give it a try! response:	Thank you! Thank you for your purchase!
context: I smell something good.\No way.\Hello, residents of Akihabara!\For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today!\Please give it a try!\Thank you! Thank you for your purchase! response:	Serara, we haven't sold any yet.
context: No way.\Hello, residents of Akihabara!\For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today!\Please give it a try!\Thank you! Thank you for your purchase!\Serara, we haven't sold any yet. response:	Crescent Burger, fifteen gold.
context: Hello, residents of Akihabara!\For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today!\Please give it a try!\Thank you! Thank you for your purchase!\Serara, we haven't sold any yet.\Crescent Burger, fifteen gold. response:	One crispy chicken strip, eighteen gold...
context: For those of you who miss real food, we have good news.\Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today!\Please give it a try!\Thank you! Thank you for your purchase!\Serara, we haven't sold any yet.\Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold... response:	Black rose tea, five gold.
context: Now you can bring genuine flavor back to your table!\The Crescent Moon refreshment stand opens today!\Please give it a try!\Thank you! Thank you for your purchase!\Serara, we haven't sold any yet.\Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold...\Black rose tea, five gold. response:	That's pretty pricey!
context: The Crescent Moon refreshment stand opens today!\Please give it a try!\Thank you! Thank you for your purchase!\Serara, we haven't sold any yet.\Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold...\Black rose tea, five gold.\That's pretty pricey! response:	What noisy, strange people.
context: Please give it a try!\Thank you! Thank you for your purchase!\Serara, we haven't sold any yet.\Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold...\Black rose tea, five gold.\That's pretty pricey!\What noisy, strange people. response:	Mister, care to take a leap of faith and try one?
context: Thank you! Thank you for your purchase!\Serara, we haven't sold any yet.\Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold...\Black rose tea, five gold.\That's pretty pricey!\What noisy, strange people.\Mister, care to take a leap of faith and try one? response:	You'll be amazed at how good it is.
context: Serara, we haven't sold any yet.\Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold...\Black rose tea, five gold.\That's pretty pricey!\What noisy, strange people.\Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is. response:	Ah, th-then... I'll take a Crescent Burger.
context: Crescent Burger, fifteen gold.\One crispy chicken strip, eighteen gold...\Black rose tea, five gold.\That's pretty pricey!\What noisy, strange people.\Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger. response:	Or she will.
context: One crispy chicken strip, eighteen gold...\Black rose tea, five gold.\That's pretty pricey!\What noisy, strange people.\Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger.\Or she will. response:	Me?!
context: Black rose tea, five gold.\That's pretty pricey!\What noisy, strange people.\Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger.\Or she will.\Me?! response:	Thank you.
context: That's pretty pricey!\What noisy, strange people.\Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger.\Or she will.\Me?!\Thank you. response:	One Crescent Burger coming right up.
context: What noisy, strange people.\Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger.\Or she will.\Me?!\Thank you.\One Crescent Burger coming right up. response:	Thank you!
context: Mister, care to take a leap of faith and try one?\You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger.\Or she will.\Me?!\Thank you.\One Crescent Burger coming right up.\Thank you! response:	This smell...
context: You'll be amazed at how good it is.\Ah, th-then... I'll take a Crescent Burger.\Or she will.\Me?!\Thank you.\One Crescent Burger coming right up.\Thank you!\This smell... response:	No, even if it smells good...
context: Ah, th-then... I'll take a Crescent Burger.\Or she will.\Me?!\Thank you.\One Crescent Burger coming right up.\Thank you!\This smell...\No, even if it smells good... response:	It either tastes like nothing or like salt.
context: Or she will.\Me?!\Thank you.\One Crescent Burger coming right up.\Thank you!\This smell...\No, even if it smells good...\It either tastes like nothing or like salt. response:	Give it a try!
context: Me?!\Thank you.\One Crescent Burger coming right up.\Thank you!\This smell...\No, even if it smells good...\It either tastes like nothing or like salt.\Give it a try! response:	What is this?
context: Thank you.\One Crescent Burger coming right up.\Thank you!\This smell...\No, even if it smells good...\It either tastes like nothing or like salt.\Give it a try!\What is this? response:	Huh?
context: One Crescent Burger coming right up.\Thank you!\This smell...\No, even if it smells good...\It either tastes like nothing or like salt.\Give it a try!\What is this?\Huh? response:	It tastes like a hamburger!
context: Thank you!\This smell...\No, even if it smells good...\It either tastes like nothing or like salt.\Give it a try!\What is this?\Huh?\It tastes like a hamburger! response:	What?!
context: This smell...\No, even if it smells good...\It either tastes like nothing or like salt.\Give it a try!\What is this?\Huh?\It tastes like a hamburger!\What?! response:	Hey, I want one, too!
context: No, even if it smells good...\It either tastes like nothing or like salt.\Give it a try!\What is this?\Huh?\It tastes like a hamburger!\What?!\Hey, I want one, too! response:	Me, too!
context: It either tastes like nothing or like salt.\Give it a try!\What is this?\Huh?\It tastes like a hamburger!\What?!\Hey, I want one, too!\Me, too! response:	It tastes like grilled meat and sauce...
context: Give it a try!\What is this?\Huh?\It tastes like a hamburger!\What?!\Hey, I want one, too!\Me, too!\It tastes like grilled meat and sauce... response:	It's so good!
context: What is this?\Huh?\It tastes like a hamburger!\What?!\Hey, I want one, too!\Me, too!\It tastes like grilled meat and sauce...\It's so good! response:	We can't just stand here!
context: Huh?\It tastes like a hamburger!\What?!\Hey, I want one, too!\Me, too!\It tastes like grilled meat and sauce...\It's so good!\We can't just stand here! response:	Let's go tell Sou!
context: It tastes like a hamburger!\What?!\Hey, I want one, too!\Me, too!\It tastes like grilled meat and sauce...\It's so good!\We can't just stand here!\Let's go tell Sou! response:	I'll take three Crescent Burgers!
context: What?!\Hey, I want one, too!\Me, too!\It tastes like grilled meat and sauce...\It's so good!\We can't just stand here!\Let's go tell Sou!\I'll take three Crescent Burgers! response:	Don't cut in line!
context: Hey, I want one, too!\Me, too!\It tastes like grilled meat and sauce...\It's so good!\We can't just stand here!\Let's go tell Sou!\I'll take three Crescent Burgers!\Don't cut in line! response:	Five crispy chicken strips!
context: Me, too!\It tastes like grilled meat and sauce...\It's so good!\We can't just stand here!\Let's go tell Sou!\I'll take three Crescent Burgers!\Don't cut in line!\Five crispy chicken strips! response:	I'll take one of everything on the menu!
context: It tastes like grilled meat and sauce...\It's so good!\We can't just stand here!\Let's go tell Sou!\I'll take three Crescent Burgers!\Don't cut in line!\Five crispy chicken strips!\I'll take one of everything on the menu! response:	End of Line
context: It's so good!\We can't just stand here!\Let's go tell Sou!\I'll take three Crescent Burgers!\Don't cut in line!\Five crispy chicken strips!\I'll take one of everything on the menu!\End of Line response:	Um... Um, this is the end of the line.
context: We can't just stand here!\Let's go tell Sou!\I'll take three Crescent Burgers!\Don't cut in line!\Five crispy chicken strips!\I'll take one of everything on the menu!\End of Line\Um... Um, this is the end of the line. response:	Thank you for staying in line!
context: Let's go tell Sou!\I'll take three Crescent Burgers!\Don't cut in line!\Five crispy chicken strips!\I'll take one of everything on the menu!\End of Line\Um... Um, this is the end of the line.\Thank you for staying in line! response:	We only have one box of burgers left!
context: I'll take three Crescent Burgers!\Don't cut in line!\Five crispy chicken strips!\I'll take one of everything on the menu!\End of Line\Um... Um, this is the end of the line.\Thank you for staying in line!\We only have one box of burgers left! response:	Eh? Really?
context: Don't cut in line!\Five crispy chicken strips!\I'll take one of everything on the menu!\End of Line\Um... Um, this is the end of the line.\Thank you for staying in line!\We only have one box of burgers left!\Eh? Really? response:	Don't worry, Marie.
context: Five crispy chicken strips!\I'll take one of everything on the menu!\End of Line\Um... Um, this is the end of the line.\Thank you for staying in line!\We only have one box of burgers left!\Eh? Really?\Don't worry, Marie. response:	I'm bringing more.
context: I'll take one of everything on the menu!\End of Line\Um... Um, this is the end of the line.\Thank you for staying in line!\We only have one box of burgers left!\Eh? Really?\Don't worry, Marie.\I'm bringing more. response:	This is where things will get tough.
context: End of Line\Um... Um, this is the end of the line.\Thank you for staying in line!\We only have one box of burgers left!\Eh? Really?\Don't worry, Marie.\I'm bringing more.\This is where things will get tough. response:	We'll go at full speed!
context: Um... Um, this is the end of the line.\Thank you for staying in line!\We only have one box of burgers left!\Eh? Really?\Don't worry, Marie.\I'm bringing more.\This is where things will get tough.\We'll go at full speed! response:	This is...
context: Thank you for staying in line!\We only have one box of burgers left!\Eh? Really?\Don't worry, Marie.\I'm bringing more.\This is where things will get tough.\We'll go at full speed!\This is... response:	Delicious?
context: We only have one box of burgers left!\Eh? Really?\Don't worry, Marie.\I'm bringing more.\This is where things will get tough.\We'll go at full speed!\This is...\Delicious? response:	Who made this?
context: Eh? Really?\Don't worry, Marie.\I'm bringing more.\This is where things will get tough.\We'll go at full speed!\This is...\Delicious?\Who made this? response:	How?
context: Don't worry, Marie.\I'm bringing more.\This is where things will get tough.\We'll go at full speed!\This is...\Delicious?\Who made this?\How? response:	Have you tried the Crescent Burger?
context: I'm bringing more.\This is where things will get tough.\We'll go at full speed!\This is...\Delicious?\Who made this?\How?\Have you tried the Crescent Burger? response:	I heard it's food that actually tastes like food.
context: This is where things will get tough.\We'll go at full speed!\This is...\Delicious?\Who made this?\How?\Have you tried the Crescent Burger?\I heard it's food that actually tastes like food. response:	Not just ingredient items? Seriously?
context: We'll go at full speed!\This is...\Delicious?\Who made this?\How?\Have you tried the Crescent Burger?\I heard it's food that actually tastes like food.\Not just ingredient items? Seriously? response:	This flavor, at this price.
context: This is...\Delicious?\Who made this?\How?\Have you tried the Crescent Burger?\I heard it's food that actually tastes like food.\Not just ingredient items? Seriously?\This flavor, at this price. response:	I wonder if we can get in on this...
context: Delicious?\Who made this?\How?\Have you tried the Crescent Burger?\I heard it's food that actually tastes like food.\Not just ingredient items? Seriously?\This flavor, at this price.\I wonder if we can get in on this... response:	Trouble, boss!
context: Who made this?\How?\Have you tried the Crescent Burger?\I heard it's food that actually tastes like food.\Not just ingredient items? Seriously?\This flavor, at this price.\I wonder if we can get in on this...\Trouble, boss! response:	Look at this!
context: How?\Have you tried the Crescent Burger?\I heard it's food that actually tastes like food.\Not just ingredient items? Seriously?\This flavor, at this price.\I wonder if we can get in on this...\Trouble, boss!\Look at this! response:	You're too slow on the draw, Kayu...
context: Have you tried the Crescent Burger?\I heard it's food that actually tastes like food.\Not just ingredient items? Seriously?\This flavor, at this price.\I wonder if we can get in on this...\Trouble, boss!\Look at this!\You're too slow on the draw, Kayu... response:	This is good, though.
context: I heard it's food that actually tastes like food.\Not just ingredient items? Seriously?\This flavor, at this price.\I wonder if we can get in on this...\Trouble, boss!\Look at this!\You're too slow on the draw, Kayu...\This is good, though. response:	Investigate the shop.
context: Not just ingredient items? Seriously?\This flavor, at this price.\I wonder if we can get in on this...\Trouble, boss!\Look at this!\You're too slow on the draw, Kayu...\This is good, though.\Investigate the shop. response:	Who's running it, what they use for ingredients, and how they get them.
context: This flavor, at this price.\I wonder if we can get in on this...\Trouble, boss!\Look at this!\You're too slow on the draw, Kayu...\This is good, though.\Investigate the shop.\Who's running it, what they use for ingredients, and how they get them. response:	Everything you can find!
context: I wonder if we can get in on this...\Trouble, boss!\Look at this!\You're too slow on the draw, Kayu...\This is good, though.\Investigate the shop.\Who's running it, what they use for ingredients, and how they get them.\Everything you can find! response:	Right!
context: Trouble, boss!\Look at this!\You're too slow on the draw, Kayu...\This is good, though.\Investigate the shop.\Who's running it, what they use for ingredients, and how they get them.\Everything you can find!\Right! response:	This will change the world.
context: Look at this!\You're too slow on the draw, Kayu...\This is good, though.\Investigate the shop.\Who's running it, what they use for ingredients, and how they get them.\Everything you can find!\Right!\This will change the world. response:	Okay, that's enough for now.
context: You're too slow on the draw, Kayu...\This is good, though.\Investigate the shop.\Who's running it, what they use for ingredients, and how they get them.\Everything you can find!\Right!\This will change the world.\Okay, that's enough for now. response:	Let's go, kids.
context: This is good, though.\Investigate the shop.\Who's running it, what they use for ingredients, and how they get them.\Everything you can find!\Right!\This will change the world.\Okay, that's enough for now.\Let's go, kids. response:	Right!
context: Investigate the shop.\Who's running it, what they use for ingredients, and how they get them.\Everything you can find!\Right!\This will change the world.\Okay, that's enough for now.\Let's go, kids.\Right! response:	I will gather more.
context: Who's running it, what they use for ingredients, and how they get them.\Everything you can find!\Right!\This will change the world.\Okay, that's enough for now.\Let's go, kids.\Right!\I will gather more. response:	You two, go on back.
context: Everything you can find!\Right!\This will change the world.\Okay, that's enough for now.\Let's go, kids.\Right!\I will gather more.\You two, go on back. response:	Don't push yourself... There's a long way to go.
context: Right!\This will change the world.\Okay, that's enough for now.\Let's go, kids.\Right!\I will gather more.\You two, go on back.\Don't push yourself... There's a long way to go. response:	No.
context: This will change the world.\Okay, that's enough for now.\Let's go, kids.\Right!\I will gather more.\You two, go on back.\Don't push yourself... There's a long way to go.\No. response:	I don't want to lose.
context: Okay, that's enough for now.\Let's go, kids.\Right!\I will gather more.\You two, go on back.\Don't push yourself... There's a long way to go.\No.\I don't want to lose. response:	Huh? To whom?
context: Let's go, kids.\Right!\I will gather more.\You two, go on back.\Don't push yourself... There's a long way to go.\No.\I don't want to lose.\Huh? To whom? response:	Then, let's go.
context: Right!\I will gather more.\You two, go on back.\Don't push yourself... There's a long way to go.\No.\I don't want to lose.\Huh? To whom?\Then, let's go. response:	Is he okay?
context: I will gather more.\You two, go on back.\Don't push yourself... There's a long way to go.\No.\I don't want to lose.\Huh? To whom?\Then, let's go.\Is he okay? response:	He'll be fine...
context: You two, go on back.\Don't push yourself... There's a long way to go.\No.\I don't want to lose.\Huh? To whom?\Then, let's go.\Is he okay?\He'll be fine... response:	Just watch me,
context: Don't push yourself... There's a long way to go.\No.\I don't want to lose.\Huh? To whom?\Then, let's go.\Is he okay?\He'll be fine...\Just watch me, response:	Marie.
context: No.\I don't want to lose.\Huh? To whom?\Then, let's go.\Is he okay?\He'll be fine...\Just watch me,\Marie. response:	A-An area boss?
context: I don't want to lose.\Huh? To whom?\Then, let's go.\Is he okay?\He'll be fine...\Just watch me,\Marie.\A-An area boss? response:	You're joking.
context: Huh? To whom?\Then, let's go.\Is he okay?\He'll be fine...\Just watch me,\Marie.\A-An area boss?\You're joking. response:	Good work, everyone.
context: Then, let's go.\Is he okay?\He'll be fine...\Just watch me,\Marie.\A-An area boss?\You're joking.\Good work, everyone. response:	Well? Well?
context: Is he okay?\He'll be fine...\Just watch me,\Marie.\A-An area boss?\You're joking.\Good work, everyone.\Well? Well? response:	How much did we make?
context: He'll be fine...\Just watch me,\Marie.\A-An area boss?\You're joking.\Good work, everyone.\Well? Well?\How much did we make? response:	We earned 43,776 gold in sales,
context: Just watch me,\Marie.\A-An area boss?\You're joking.\Good work, everyone.\Well? Well?\How much did we make?\We earned 43,776 gold in sales, response:	representing 1,159 customers who spent an average of 38 gold each.
context: Marie.\A-An area boss?\You're joking.\Good work, everyone.\Well? Well?\How much did we make?\We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each. response:	We sold out the crescent burgers we prepared,
context: A-An area boss?\You're joking.\Good work, everyone.\Well? Well?\How much did we make?\We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared, response:	Cheers!
context: You're joking.\Good work, everyone.\Well? Well?\How much did we make?\We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared,\Cheers! response:	as well as everything else, except the black rose tea.
context: Good work, everyone.\Well? Well?\How much did we make?\We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared,\Cheers!\as well as everything else, except the black rose tea. response:	Wow!
context: Well? Well?\How much did we make?\We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared,\Cheers!\as well as everything else, except the black rose tea.\Wow! response:	This is great!
context: How much did we make?\We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared,\Cheers!\as well as everything else, except the black rose tea.\Wow!\This is great! response:	At this rate, we'll get that five million in no time at all!
context: We earned 43,776 gold in sales,\representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared,\Cheers!\as well as everything else, except the black rose tea.\Wow!\This is great!\At this rate, we'll get that five million in no time at all! response:	We'll never make it in time... Not even close, Marie.
context: representing 1,159 customers who spent an average of 38 gold each.\We sold out the crescent burgers we prepared,\Cheers!\as well as everything else, except the black rose tea.\Wow!\This is great!\At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie. response:	We won't?
context: We sold out the crescent burgers we prepared,\Cheers!\as well as everything else, except the black rose tea.\Wow!\This is great!\At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie.\We won't? response:	Basic math shows it would take one hundred, twenty days...
context: Cheers!\as well as everything else, except the black rose tea.\Wow!\This is great!\At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie.\We won't?\Basic math shows it would take one hundred, twenty days... response:	Or four months.
context: as well as everything else, except the black rose tea.\Wow!\This is great!\At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie.\We won't?\Basic math shows it would take one hundred, twenty days...\Or four months. response:	But today, we turned away a lot of customers...
context: Wow!\This is great!\At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie.\We won't?\Basic math shows it would take one hundred, twenty days...\Or four months.\But today, we turned away a lot of customers... response:	If we wanted, we could sell a lot more.
context: This is great!\At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie.\We won't?\Basic math shows it would take one hundred, twenty days...\Or four months.\But today, we turned away a lot of customers...\If we wanted, we could sell a lot more. response:	Our total market size probably measures in the tens of thousands.
context: At this rate, we'll get that five million in no time at all!\We'll never make it in time... Not even close, Marie.\We won't?\Basic math shows it would take one hundred, twenty days...\Or four months.\But today, we turned away a lot of customers...\If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands. response:	In Akihabara alone, there are over fifteen thousand players.
context: We'll never make it in time... Not even close, Marie.\We won't?\Basic math shows it would take one hundred, twenty days...\Or four months.\But today, we turned away a lot of customers...\If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players. response:	The problem is,
context: We won't?\Basic math shows it would take one hundred, twenty days...\Or four months.\But today, we turned away a lot of customers...\If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players.\The problem is, response:	no matter how high the demand,
context: Basic math shows it would take one hundred, twenty days...\Or four months.\But today, we turned away a lot of customers...\If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players.\The problem is,\no matter how high the demand, response:	we can only serve around a thousand customers a day.
context: Or four months.\But today, we turned away a lot of customers...\If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players.\The problem is,\no matter how high the demand,\we can only serve around a thousand customers a day. response:	Our guild just isn't big enough.
context: But today, we turned away a lot of customers...\If we wanted, we could sell a lot more.\Our total market size probably measures in the tens of thousands.\In Akihabara alone, there are over fifteen thousand players.\The problem is,\no matter how high the demand,\we can only serve around a thousand customers a day.\Our guild just isn't big enough. response:	That's it.
