context: And it's been really dry lately, right? response:	So Yumiko brought this little humidifier to school,
context: You're the only ones I can turn to!\Okay... I have an idea of what's going on, but...\What do you think?\Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately.\So, just like before...\I mean... it couldn't hurt to try... I think... response:	Really?
context: Okay... I have an idea of what's going on, but...\What do you think?\Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately.\So, just like before...\I mean... it couldn't hurt to try... I think...\Really? response:	I think it's fine, then.
context: What do you think?\Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately.\So, just like before...\I mean... it couldn't hurt to try... I think...\Really?\I think it's fine, then. response:	No, I don't think we should mess with this.
context: Sounds good! Let's do it!\It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately.\So, just like before...\I mean... it couldn't hurt to try... I think...\Really?\I think it's fine, then.\No, I don't think we should mess with this. response:	It's the student council's problem.
context: It's been a while since anyone's asked for our help, you know?\We haven't done anything like this lately.\So, just like before...\I mean... it couldn't hurt to try... I think...\Really?\I think it's fine, then.\No, I don't think we should mess with this.\It's the student council's problem. response:	Plus, I don't think it's a good thing to rely on other people right
context: We haven't done anything like this lately.\So, just like before...\I mean... it couldn't hurt to try... I think...\Really?\I think it's fine, then.\No, I don't think we should mess with this.\It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right response:	after you take over as president.
context: So, just like before...\I mean... it couldn't hurt to try... I think...\Really?\I think it's fine, then.\No, I don't think we should mess with this.\It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right\after you take over as president. response:	Huh?! What does that mean?
context: I mean... it couldn't hurt to try... I think...\Really?\I think it's fine, then.\No, I don't think we should mess with this.\It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right\after you take over as president.\Huh?! What does that mean? response:	We're not a jack-of-all-trades service.
context: Really?\I think it's fine, then.\No, I don't think we should mess with this.\It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right\after you take over as president.\Huh?! What does that mean?\We're not a jack-of-all-trades service. response:	We only help people out.
context: I think it's fine, then.\No, I don't think we should mess with this.\It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right\after you take over as president.\Huh?! What does that mean?\We're not a jack-of-all-trades service.\We only help people out. response:	Anyway, this is your job. Got it? Go on.
context: No, I don't think we should mess with this.\It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right\after you take over as president.\Huh?! What does that mean?\We're not a jack-of-all-trades service.\We only help people out.\Anyway, this is your job. Got it? Go on. response:	I took over as president because you said I should!
context: It's the student council's problem.\Plus, I don't think it's a good thing to rely on other people right\after you take over as president.\Huh?! What does that mean?\We're not a jack-of-all-trades service.\We only help people out.\Anyway, this is your job. Got it? Go on.\I took over as president because you said I should! response:	I want you to do something about this!
context: Plus, I don't think it's a good thing to rely on other people right\after you take over as president.\Huh?! What does that mean?\We're not a jack-of-all-trades service.\We only help people out.\Anyway, this is your job. Got it? Go on.\I took over as president because you said I should!\I want you to do something about this! response:	Being told that weakens me.
context: after you take over as president.\Huh?! What does that mean?\We're not a jack-of-all-trades service.\We only help people out.\Anyway, this is your job. Got it? Go on.\I took over as president because you said I should!\I want you to do something about this!\Being told that weakens me. response:	It only makes sense that I should take responsibility for Isshiki Iroha.
context: Huh?! What does that mean?\We're not a jack-of-all-trades service.\We only help people out.\Anyway, this is your job. Got it? Go on.\I took over as president because you said I should!\I want you to do something about this!\Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha. response:	Which means there's one other person
context: We're not a jack-of-all-trades service.\We only help people out.\Anyway, this is your job. Got it? Go on.\I took over as president because you said I should!\I want you to do something about this!\Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person response:	I need to take responsibility for.
context: We only help people out.\Anyway, this is your job. Got it? Go on.\I took over as president because you said I should!\I want you to do something about this!\Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person\I need to take responsibility for. response:	Would you object to me helping you
context: Anyway, this is your job. Got it? Go on.\I took over as president because you said I should!\I want you to do something about this!\Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person\I need to take responsibility for.\Would you object to me helping you response:	on a personal level, not for the club?
context: I took over as president because you said I should!\I want you to do something about this!\Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person\I need to take responsibility for.\Would you object to me helping you\on a personal level, not for the club? response:	Huh? Well, yeah, I'm fine with that...
context: I want you to do something about this!\Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person\I need to take responsibility for.\Would you object to me helping you\on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that... response:	If it's just you alone, I can use
context: Being told that weakens me.\It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person\I need to take responsibility for.\Would you object to me helping you\on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use response:	I can rest easy. I mean, I can rely on you.
context: It only makes sense that I should take responsibility for Isshiki Iroha.\Which means there's one other person\I need to take responsibility for.\Would you object to me helping you\on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use\I can rest easy. I mean, I can rely on you. response:	You don't have to correct yourself.
context: Which means there's one other person\I need to take responsibility for.\Would you object to me helping you\on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use\I can rest easy. I mean, I can rely on you.\You don't have to correct yourself. response:	What about Hayama, anyway?
context: I need to take responsibility for.\Would you object to me helping you\on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use\I can rest easy. I mean, I can rely on you.\You don't have to correct yourself.\What about Hayama, anyway? response:	Aren't times like these when you should get him to help you?
context: Would you object to me helping you\on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use\I can rest easy. I mean, I can rely on you.\You don't have to correct yourself.\What about Hayama, anyway?\Aren't times like these when you should get him to help you? response:	This is a tough job, so I didn't want to bother him with it...
context: on a personal level, not for the club?\Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use\I can rest easy. I mean, I can rely on you.\You don't have to correct yourself.\What about Hayama, anyway?\Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it... response:	But you don't mind bothering me? I mean, not that I care...
context: Huh? Well, yeah, I'm fine with that...\If it's just you alone, I can use\I can rest easy. I mean, I can rely on you.\You don't have to correct yourself.\What about Hayama, anyway?\Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care... response:	Still, who knew she'd say something noble like she didn't want to bother him?
context: If it's just you alone, I can use\I can rest easy. I mean, I can rely on you.\You don't have to correct yourself.\What about Hayama, anyway?\Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him? response:	I guess even Isshiki can act like a girl in love.
context: I can rest easy. I mean, I can rely on you.\You don't have to correct yourself.\What about Hayama, anyway?\Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love. response:	I've gotta admire that.
context: You don't have to correct yourself.\What about Hayama, anyway?\Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love.\I've gotta admire that. response:	Besides, with stuff like this,
context: What about Hayama, anyway?\Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love.\I've gotta admire that.\Besides, with stuff like this, response:	it's cute how he can't handle simple things.
context: Aren't times like these when you should get him to help you?\This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love.\I've gotta admire that.\Besides, with stuff like this,\it's cute how he can't handle simple things. response:	It's his mistakes that I like about him.
context: This is a tough job, so I didn't want to bother him with it...\But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love.\I've gotta admire that.\Besides, with stuff like this,\it's cute how he can't handle simple things.\It's his mistakes that I like about him. response:	Asking him to do something that's actually hard would just scare him off.
context: But you don't mind bothering me? I mean, not that I care...\Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love.\I've gotta admire that.\Besides, with stuff like this,\it's cute how he can't handle simple things.\It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off. response:	Oh... I see.
context: Still, who knew she'd say something noble like she didn't want to bother him?\I guess even Isshiki can act like a girl in love.\I've gotta admire that.\Besides, with stuff like this,\it's cute how he can't handle simple things.\It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off.\Oh... I see. response:	Some winning personality she's got.
context: I guess even Isshiki can act like a girl in love.\I've gotta admire that.\Besides, with stuff like this,\it's cute how he can't handle simple things.\It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off.\Oh... I see.\Some winning personality she's got. response:	Give it back! Return to me my admiration!
context: I've gotta admire that.\Besides, with stuff like this,\it's cute how he can't handle simple things.\It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off.\Oh... I see.\Some winning personality she's got.\Give it back! Return to me my admiration! response:	Okay, let's meet at the school gate afterward.
context: Besides, with stuff like this,\it's cute how he can't handle simple things.\It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off.\Oh... I see.\Some winning personality she's got.\Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward. response:	What? We're starting today?
context: it's cute how he can't handle simple things.\It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off.\Oh... I see.\Some winning personality she's got.\Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward.\What? We're starting today? response:	We don't have much time.
context: It's his mistakes that I like about him.\Asking him to do something that's actually hard would just scare him off.\Oh... I see.\Some winning personality she's got.\Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward.\What? We're starting today?\We don't have much time. response:	Okay, then change the meeting location.
context: Asking him to do something that's actually hard would just scare him off.\Oh... I see.\Some winning personality she's got.\Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward.\What? We're starting today?\We don't have much time.\Okay, then change the meeting location. response:	It'd be embarrassing if my friends saw us leaving together and started rumors.
context: Oh... I see.\Some winning personality she's got.\Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward.\What? We're starting today?\We don't have much time.\Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors. response:	Huh?
context: Some winning personality she's got.\Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward.\What? We're starting today?\We don't have much time.\Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh? response:	Hm, is she in the wrong generation to get the humor of that?
context: Give it back! Return to me my admiration!\Okay, let's meet at the school gate afterward.\What? We're starting today?\We don't have much time.\Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh?\Hm, is she in the wrong generation to get the humor of that? response:	She's not even responding with But you don't have any friends.
context: Okay, let's meet at the school gate afterward.\What? We're starting today?\We don't have much time.\Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh?\Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends. response:	Total poker face.
context: What? We're starting today?\We don't have much time.\Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh?\Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends.\Total poker face. response:	Okay, then...
context: We don't have much time.\Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh?\Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends.\Total poker face.\Okay, then... response:	You know where the community center is?
context: Okay, then change the meeting location.\It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh?\Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends.\Total poker face.\Okay, then...\You know where the community center is? response:	We'll meet there.
context: It'd be embarrassing if my friends saw us leaving together and started rumors.\Huh?\Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends.\Total poker face.\Okay, then...\You know where the community center is?\We'll meet there. response:	Fine. I'll head there after I get ready.
context: Huh?\Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends.\Total poker face.\Okay, then...\You know where the community center is?\We'll meet there.\Fine. I'll head there after I get ready. response:	Okay, see you there, then!
context: Hm, is she in the wrong generation to get the humor of that?\She's not even responding with But you don't have any friends.\Total poker face.\Okay, then...\You know where the community center is?\We'll meet there.\Fine. I'll head there after I get ready.\Okay, see you there, then! response:	You really are sneaky...
context: She's not even responding with But you don't have any friends.\Total poker face.\Okay, then...\You know where the community center is?\We'll meet there.\Fine. I'll head there after I get ready.\Okay, see you there, then!\You really are sneaky... response:	What did Iroha-chan say?
context: Total poker face.\Okay, then...\You know where the community center is?\We'll meet there.\Fine. I'll head there after I get ready.\Okay, see you there, then!\You really are sneaky...\What did Iroha-chan say? response:	She whined a lot, but she seemed to understand.
context: Okay, then...\You know where the community center is?\We'll meet there.\Fine. I'll head there after I get ready.\Okay, see you there, then!\You really are sneaky...\What did Iroha-chan say?\She whined a lot, but she seemed to understand. response:	I see...
context: You know where the community center is?\We'll meet there.\Fine. I'll head there after I get ready.\Okay, see you there, then!\You really are sneaky...\What did Iroha-chan say?\She whined a lot, but she seemed to understand.\I see... response:	And that was the first time in a while that I hoped we could do something...
context: We'll meet there.\Fine. I'll head there after I get ready.\Okay, see you there, then!\You really are sneaky...\What did Iroha-chan say?\She whined a lot, but she seemed to understand.\I see...\And that was the first time in a while that I hoped we could do something... response:	Something else will come up soon enough.
context: Fine. I'll head there after I get ready.\Okay, see you there, then!\You really are sneaky...\What did Iroha-chan say?\She whined a lot, but she seemed to understand.\I see...\And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough. response:	Maybe it's actually better if we don't get any requests.
context: Okay, see you there, then!\You really are sneaky...\What did Iroha-chan say?\She whined a lot, but she seemed to understand.\I see...\And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough.\Maybe it's actually better if we don't get any requests. response:	If we just don't do anything.
context: You really are sneaky...\What did Iroha-chan say?\She whined a lot, but she seemed to understand.\I see...\And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough.\Maybe it's actually better if we don't get any requests.\If we just don't do anything. response:	Maybe.
context: What did Iroha-chan say?\She whined a lot, but she seemed to understand.\I see...\And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough.\Maybe it's actually better if we don't get any requests.\If we just don't do anything.\Maybe. response:	Then what have I...
context: She whined a lot, but she seemed to understand.\I see...\And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough.\Maybe it's actually better if we don't get any requests.\If we just don't do anything.\Maybe.\Then what have I... response:	What have we...
context: I see...\And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough.\Maybe it's actually better if we don't get any requests.\If we just don't do anything.\Maybe.\Then what have I...\What have we... response:	been doing all this time?
context: And that was the first time in a while that I hoped we could do something...\Something else will come up soon enough.\Maybe it's actually better if we don't get any requests.\If we just don't do anything.\Maybe.\Then what have I...\What have we...\been doing all this time? response:	Sorry I made you wait.
context: Something else will come up soon enough.\Maybe it's actually better if we don't get any requests.\If we just don't do anything.\Maybe.\Then what have I...\What have we...\been doing all this time?\Sorry I made you wait. response:	I had a little shopping to do.
context: Maybe it's actually better if we don't get any requests.\If we just don't do anything.\Maybe.\Then what have I...\What have we...\been doing all this time?\Sorry I made you wait.\I had a little shopping to do. response:	It's fine...
context: If we just don't do anything.\Maybe.\Then what have I...\What have we...\been doing all this time?\Sorry I made you wait.\I had a little shopping to do.\It's fine... response:	What's that irritating face for?
context: Maybe.\Then what have I...\What have we...\been doing all this time?\Sorry I made you wait.\I had a little shopping to do.\It's fine...\What's that irritating face for? response:	You weren't trying to call attention to how heavy your bags are so I'd carry them?
context: Then what have I...\What have we...\been doing all this time?\Sorry I made you wait.\I had a little shopping to do.\It's fine...\What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them? response:	Uh, no, that was just a natural reaction.
context: What have we...\been doing all this time?\Sorry I made you wait.\I had a little shopping to do.\It's fine...\What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction. response:	You weren't trying to hit on me, were you?
context: been doing all this time?\Sorry I made you wait.\I had a little shopping to do.\It's fine...\What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you? response:	I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.
context: Sorry I made you wait.\I had a little shopping to do.\It's fine...\What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't. response:	Huh? I see...
context: I had a little shopping to do.\It's fine...\What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see... response:	How many times do I have to get rejected by this girl?
context: It's fine...\What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see...\How many times do I have to get rejected by this girl? response:	Th-Thank you...
context: What's that irritating face for?\You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see...\How many times do I have to get rejected by this girl?\Th-Thank you... response:	No big deal. It's part of my job.
context: You weren't trying to call attention to how heavy your bags are so I'd carry them?\Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see...\How many times do I have to get rejected by this girl?\Th-Thank you...\No big deal. It's part of my job. response:	Wow, you're so dependable!
context: Uh, no, that was just a natural reaction.\You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see...\How many times do I have to get rejected by this girl?\Th-Thank you...\No big deal. It's part of my job.\Wow, you're so dependable! response:	In that case, take care of the next part, too, okay?
context: You weren't trying to hit on me, were you?\I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see...\How many times do I have to get rejected by this girl?\Th-Thank you...\No big deal. It's part of my job.\Wow, you're so dependable!\In that case, take care of the next part, too, okay? response:	Lecture Room 1
context: I'm sorry. My heart fluttered for a moment, but after calming down, I still can't.\Huh? I see...\How many times do I have to get rejected by this girl?\Th-Thank you...\No big deal. It's part of my job.\Wow, you're so dependable!\In that case, take care of the next part, too, okay?\Lecture Room 1 response:	Hi, everyone.
context: Huh? I see...\How many times do I have to get rejected by this girl?\Th-Thank you...\No big deal. It's part of my job.\Wow, you're so dependable!\In that case, take care of the next part, too, okay?\Lecture Room 1\Hi, everyone. response:	Chiba City Mihama Ward Takasu Community Center
context: How many times do I have to get rejected by this girl?\Th-Thank you...\No big deal. It's part of my job.\Wow, you're so dependable!\In that case, take care of the next part, too, okay?\Lecture Room 1\Hi, everyone.\Chiba City Mihama Ward Takasu Community Center response:	I'm Tamanawa, student council president of Kaihin General High School.
context: Th-Thank you...\No big deal. It's part of my job.\Wow, you're so dependable!\In that case, take care of the next part, too, okay?\Lecture Room 1\Hi, everyone.\Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School. response:	Nice to meet you.
context: No big deal. It's part of my job.\Wow, you're so dependable!\In that case, take care of the next part, too, okay?\Lecture Room 1\Hi, everyone.\Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you. response:	Yeah... hello.
context: Wow, you're so dependable!\In that case, take care of the next part, too, okay?\Lecture Room 1\Hi, everyone.\Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you.\Yeah... hello. response:	I'm really glad
context: In that case, take care of the next part, too, okay?\Lecture Room 1\Hi, everyone.\Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you.\Yeah... hello.\I'm really glad response:	we had the chance to plan this together, as two fresh, rookie presidents.
context: Lecture Room 1\Hi, everyone.\Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you.\Yeah... hello.\I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents. response:	I'm hoping we can forge a partnership of mutual respect
context: Hi, everyone.\Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you.\Yeah... hello.\I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect response:	and bring about a synergetic effect.
context: Chiba City Mihama Ward Takasu Community Center\I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you.\Yeah... hello.\I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect. response:	He throws a good punch right from the get-go...
context: I'm Tamanawa, student council president of Kaihin General High School.\Nice to meet you.\Yeah... hello.\I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect.\He throws a good punch right from the get-go... response:	Iroha-chan, got a minute?
context: Nice to meet you.\Yeah... hello.\I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect.\He throws a good punch right from the get-go...\Iroha-chan, got a minute? response:	Sure!
context: Yeah... hello.\I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect.\He throws a good punch right from the get-go...\Iroha-chan, got a minute?\Sure! response:	Huh? Hikigaya?
context: I'm really glad\we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect.\He throws a good punch right from the get-go...\Iroha-chan, got a minute?\Sure!\Huh? Hikigaya? response:	Hey...
context: we had the chance to plan this together, as two fresh, rookie presidents.\I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect.\He throws a good punch right from the get-go...\Iroha-chan, got a minute?\Sure!\Huh? Hikigaya?\Hey... response:	You're on the student council?
context: I'm hoping we can forge a partnership of mutual respect\and bring about a synergetic effect.\He throws a good punch right from the get-go...\Iroha-chan, got a minute?\Sure!\Huh? Hikigaya?\Hey...\You're on the student council? response:	No.
context: and bring about a synergetic effect.\He throws a good punch right from the get-go...\Iroha-chan, got a minute?\Sure!\Huh? Hikigaya?\Hey...\You're on the student council?\No. response:	Same as me, then!
context: He throws a good punch right from the get-go...\Iroha-chan, got a minute?\Sure!\Huh? Hikigaya?\Hey...\You're on the student council?\No.\Same as me, then! response:	I'm here because my friend asked me to come...
context: Iroha-chan, got a minute?\Sure!\Huh? Hikigaya?\Hey...\You're on the student council?\No.\Same as me, then!\I'm here because my friend asked me to come... response:	Huh? Wait, you're alone?
context: Sure!\Huh? Hikigaya?\Hey...\You're on the student council?\No.\Same as me, then!\I'm here because my friend asked me to come...\Huh? Wait, you're alone? response:	All the time, pretty much.
context: Huh? Hikigaya?\Hey...\You're on the student council?\No.\Same as me, then!\I'm here because my friend asked me to come...\Huh? Wait, you're alone?\All the time, pretty much. response:	What the heck? That's hilarious!
context: Hey...\You're on the student council?\No.\Same as me, then!\I'm here because my friend asked me to come...\Huh? Wait, you're alone?\All the time, pretty much.\What the heck? That's hilarious! response:	No it's not...
context: You're on the student council?\No.\Same as me, then!\I'm here because my friend asked me to come...\Huh? Wait, you're alone?\All the time, pretty much.\What the heck? That's hilarious!\No it's not... response:	Well, see ya!
context: No.\Same as me, then!\I'm here because my friend asked me to come...\Huh? Wait, you're alone?\All the time, pretty much.\What the heck? That's hilarious!\No it's not...\Well, see ya! response:	Senpai, there's someone here you know?
context: Same as me, then!\I'm here because my friend asked me to come...\Huh? Wait, you're alone?\All the time, pretty much.\What the heck? That's hilarious!\No it's not...\Well, see ya!\Senpai, there's someone here you know? response:	The way you said that sounded like
context: I'm here because my friend asked me to come...\Huh? Wait, you're alone?\All the time, pretty much.\What the heck? That's hilarious!\No it's not...\Well, see ya!\Senpai, there's someone here you know?\The way you said that sounded like response:	Someone exists that you know? Don't do that.
context: Huh? Wait, you're alone?\All the time, pretty much.\What the heck? That's hilarious!\No it's not...\Well, see ya!\Senpai, there's someone here you know?\The way you said that sounded like\Someone exists that you know? Don't do that. response:	Besides, you've seen her before.
context: All the time, pretty much.\What the heck? That's hilarious!\No it's not...\Well, see ya!\Senpai, there's someone here you know?\The way you said that sounded like\Someone exists that you know? Don't do that.\Besides, you've seen her before. response:	Who's the girl, anyway?
context: What the heck? That's hilarious!\No it's not...\Well, see ya!\Senpai, there's someone here you know?\The way you said that sounded like\Someone exists that you know? Don't do that.\Besides, you've seen her before.\Who's the girl, anyway? response:	Yeah, she was my classmate in middle school.
context: No it's not...\Well, see ya!\Senpai, there's someone here you know?\The way you said that sounded like\Someone exists that you know? Don't do that.\Besides, you've seen her before.\Who's the girl, anyway?\Yeah, she was my classmate in middle school. response:	Yeah?
context: Well, see ya!\Senpai, there's someone here you know?\The way you said that sounded like\Someone exists that you know? Don't do that.\Besides, you've seen her before.\Who's the girl, anyway?\Yeah, she was my classmate in middle school.\Yeah? response:	Oh, the meeting's starting.
context: Senpai, there's someone here you know?\The way you said that sounded like\Someone exists that you know? Don't do that.\Besides, you've seen her before.\Who's the girl, anyway?\Yeah, she was my classmate in middle school.\Yeah?\Oh, the meeting's starting. response:	This way, Senpai.
context: The way you said that sounded like\Someone exists that you know? Don't do that.\Besides, you've seen her before.\Who's the girl, anyway?\Yeah, she was my classmate in middle school.\Yeah?\Oh, the meeting's starting.\This way, Senpai. response:	Uh, I'd rather stay on the sidelines...
context: Someone exists that you know? Don't do that.\Besides, you've seen her before.\Who's the girl, anyway?\Yeah, she was my classmate in middle school.\Yeah?\Oh, the meeting's starting.\This way, Senpai.\Uh, I'd rather stay on the sidelines... response:	About the Christmas Event Plan
context: Besides, you've seen her before.\Who's the girl, anyway?\Yeah, she was my classmate in middle school.\Yeah?\Oh, the meeting's starting.\This way, Senpai.\Uh, I'd rather stay on the sidelines...\About the Christmas Event Plan response:	Okay, so just like last time,
context: Who's the girl, anyway?\Yeah, she was my classmate in middle school.\Yeah?\Oh, the meeting's starting.\This way, Senpai.\Uh, I'd rather stay on the sidelines...\About the Christmas Event Plan\Okay, so just like last time, response:	let's start by brainstorming.
context: Yeah, she was my classmate in middle school.\Yeah?\Oh, the meeting's starting.\This way, Senpai.\Uh, I'd rather stay on the sidelines...\About the Christmas Event Plan\Okay, so just like last time,\let's start by brainstorming. response:	First on the agenda is the event concept
context: Yeah?\Oh, the meeting's starting.\This way, Senpai.\Uh, I'd rather stay on the sidelines...\About the Christmas Event Plan\Okay, so just like last time,\let's start by brainstorming.\First on the agenda is the event concept response:	and sharing of ideas for activities.
