context: A perfect serve receive... response:	Could he be...
context: Master of a hundred battles\He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height.\How tall are you?\Tsukki is\Shut up, Yamaguchi.\He inspires confidence.\Sorry, Tsukki. response:	In any case, Nishinoya hasn't lost his touch at all.
context: He has a very strong presence, notwithstanding his short stature.\You, I've been noticing your height.\How tall are you?\Tsukki is\Shut up, Yamaguchi.\He inspires confidence.\Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all. response:	He said he continued training even after he got suspended.
context: You, I've been noticing your height.\How tall are you?\Tsukki is\Shut up, Yamaguchi.\He inspires confidence.\Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended. response:	He mingled with the girl's team, he said.
context: How tall are you?\Tsukki is\Shut up, Yamaguchi.\He inspires confidence.\Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended.\He mingled with the girl's team, he said. response:	That sounds like Hinata.
context: Tsukki is\Shut up, Yamaguchi.\He inspires confidence.\Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended.\He mingled with the girl's team, he said.\That sounds like Hinata. response:	Um, Nishinoya-senpai.
context: Shut up, Yamaguchi.\He inspires confidence.\Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended.\He mingled with the girl's team, he said.\That sounds like Hinata.\Um, Nishinoya-senpai. response:	Hm?
context: He inspires confidence.\Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended.\He mingled with the girl's team, he said.\That sounds like Hinata.\Um, Nishinoya-senpai.\Hm? response:	You were talking about Asahi-san. Who's he?
context: Sorry, Tsukki.\In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended.\He mingled with the girl's team, he said.\That sounds like Hinata.\Um, Nishinoya-senpai.\Hm?\You were talking about Asahi-san. Who's he? response:	Moron, don't say that name carelessly.
context: In any case, Nishinoya hasn't lost his touch at all.\He said he continued training even after he got suspended.\He mingled with the girl's team, he said.\That sounds like Hinata.\Um, Nishinoya-senpai.\Hm?\You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly. response:	He's Karasuno's ace, for what it's worth.
context: He said he continued training even after he got suspended.\He mingled with the girl's team, he said.\That sounds like Hinata.\Um, Nishinoya-senpai.\Hm?\You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth. response:	Ace?
context: He mingled with the girl's team, he said.\That sounds like Hinata.\Um, Nishinoya-senpai.\Hm?\You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth.\Ace? response:	So there is an ace here.
context: That sounds like Hinata.\Um, Nishinoya-senpai.\Hm?\You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth.\Ace?\So there is an ace here. response:	What's with the empty-headed look?
context: Um, Nishinoya-senpai.\Hm?\You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth.\Ace?\So there is an ace here.\What's with the empty-headed look? response:	Huh?
context: Hm?\You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth.\Ace?\So there is an ace here.\What's with the empty-headed look?\Huh? response:	Ace? With your height?
context: You were talking about Asahi-san. Who's he?\Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth.\Ace?\So there is an ace here.\What's with the empty-headed look?\Huh?\Ace? With your height? response:	I like you.
context: Moron, don't say that name carelessly.\He's Karasuno's ace, for what it's worth.\Ace?\So there is an ace here.\What's with the empty-headed look?\Huh?\Ace? With your height?\I like you. response:	Right? You want it because it's awesome, right?
context: He's Karasuno's ace, for what it's worth.\Ace?\So there is an ace here.\What's with the empty-headed look?\Huh?\Ace? With your height?\I like you.\Right? You want it because it's awesome, right? response:	Good, good. Do it, do it. Become the ace.
context: Ace?\So there is an ace here.\What's with the empty-headed look?\Huh?\Ace? With your height?\I like you.\Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace. response:	You'd be far more impressive than our current ace.
context: So there is an ace here.\What's with the empty-headed look?\Huh?\Ace? With your height?\I like you.\Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace. response:	But then again, it's the ace that inspires you.
context: What's with the empty-headed look?\Huh?\Ace? With your height?\I like you.\Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you. response:	Yes. Aces are awesome.
context: Huh?\Ace? With your height?\I like you.\Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you.\Yes. Aces are awesome. response:	The word ace has an awesome ring to it.
context: Ace? With your height?\I like you.\Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you.\Yes. Aces are awesome.\The word ace has an awesome ring to it. response:	Setter and libero sound boring.
context: I like you.\Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you.\Yes. Aces are awesome.\The word ace has an awesome ring to it.\Setter and libero sound boring. response:	It's all right.
context: Right? You want it because it's awesome, right?\Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you.\Yes. Aces are awesome.\The word ace has an awesome ring to it.\Setter and libero sound boring.\It's all right. response:	But... in a match, when the crowd is going crazy...
context: Good, good. Do it, do it. Become the ace.\You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you.\Yes. Aces are awesome.\The word ace has an awesome ring to it.\Setter and libero sound boring.\It's all right.\But... in a match, when the crowd is going crazy... response:	even more than at an amazing spike,
context: You'd be far more impressive than our current ace.\But then again, it's the ace that inspires you.\Yes. Aces are awesome.\The word ace has an awesome ring to it.\Setter and libero sound boring.\It's all right.\But... in a match, when the crowd is going crazy...\even more than at an amazing spike, response:	is when there's a super receive.
context: But then again, it's the ace that inspires you.\Yes. Aces are awesome.\The word ace has an awesome ring to it.\Setter and libero sound boring.\It's all right.\But... in a match, when the crowd is going crazy...\even more than at an amazing spike,\is when there's a super receive. response:	In the battle of height that is volleyball,
context: Yes. Aces are awesome.\The word ace has an awesome ring to it.\Setter and libero sound boring.\It's all right.\But... in a match, when the crowd is going crazy...\even more than at an amazing spike,\is when there's a super receive.\In the battle of height that is volleyball, response:	libero is one of the few positions in which a short player can survive.
context: The word ace has an awesome ring to it.\Setter and libero sound boring.\It's all right.\But... in a match, when the crowd is going crazy...\even more than at an amazing spike,\is when there's a super receive.\In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive. response:	But I'm not a libero because of my height.
context: Setter and libero sound boring.\It's all right.\But... in a match, when the crowd is going crazy...\even more than at an amazing spike,\is when there's a super receive.\In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height. response:	I'd be a libero even if I was two meters tall.
context: It's all right.\But... in a match, when the crowd is going crazy...\even more than at an amazing spike,\is when there's a super receive.\In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall. response:	Even if your side misses the spike, even if your side can't block...
context: But... in a match, when the crowd is going crazy...\even more than at an amazing spike,\is when there's a super receive.\In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block... response:	as long as the ball doesn't hit the court...
context: even more than at an amazing spike,\is when there's a super receive.\In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court... response:	in volleyball, that means you haven't lost.
context: is when there's a super receive.\In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost. response:	And the one best suited to do that...
context: In the battle of height that is volleyball,\libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost.\And the one best suited to do that... response:	A-Awesome.
context: libero is one of the few positions in which a short player can survive.\But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost.\And the one best suited to do that...\A-Awesome. response:	J-Jackass. Don't say it so sincerely! Damn it!
context: But I'm not a libero because of my height.\I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost.\And the one best suited to do that...\A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it! response:	I'll buy you two kinds of ice cream. Soda ice and pear flavor.
context: I'd be a libero even if I was two meters tall.\Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost.\And the one best suited to do that...\A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor. response:	Thanks!
context: Even if your side misses the spike, even if your side can't block...\as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost.\And the one best suited to do that...\A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks! response:	So, ace-wannabe. What's your specialty?
context: as long as the ball doesn't hit the court...\in volleyball, that means you haven't lost.\And the one best suited to do that...\A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks!\So, ace-wannabe. What's your specialty? response:	Huh?
context: in volleyball, that means you haven't lost.\And the one best suited to do that...\A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks!\So, ace-wannabe. What's your specialty?\Huh? response:	You're a lousy receiver, but there must be something you're good at.
context: And the one best suited to do that...\A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks!\So, ace-wannabe. What's your specialty?\Huh?\You're a lousy receiver, but there must be something you're good at. response:	Well, um...
context: A-Awesome.\J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks!\So, ace-wannabe. What's your specialty?\Huh?\You're a lousy receiver, but there must be something you're good at.\Well, um... response:	Decoy...
context: J-Jackass. Don't say it so sincerely! Damn it!\I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks!\So, ace-wannabe. What's your specialty?\Huh?\You're a lousy receiver, but there must be something you're good at.\Well, um...\Decoy... response:	Huh? De-what?
context: I'll buy you two kinds of ice cream. Soda ice and pear flavor.\Thanks!\So, ace-wannabe. What's your specialty?\Huh?\You're a lousy receiver, but there must be something you're good at.\Well, um...\Decoy...\Huh? De-what? response:	Decoy.
context: Thanks!\So, ace-wannabe. What's your specialty?\Huh?\You're a lousy receiver, but there must be something you're good at.\Well, um...\Decoy...\Huh? De-what?\Decoy. response:	Why do you say it with such a lack of confidence?
context: So, ace-wannabe. What's your specialty?\Huh?\You're a lousy receiver, but there must be something you're good at.\Well, um...\Decoy...\Huh? De-what?\Decoy.\Why do you say it with such a lack of confidence? response:	Because it doesn't sound flashy like ace or Guardian God.
context: Huh?\You're a lousy receiver, but there must be something you're good at.\Well, um...\Decoy...\Huh? De-what?\Decoy.\Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God. response:	Who cares how it sounds?
context: You're a lousy receiver, but there must be something you're good at.\Well, um...\Decoy...\Huh? De-what?\Decoy.\Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds? response:	But...
context: Well, um...\Decoy...\Huh? De-what?\Decoy.\Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds?\But... response:	If a spiker is able to score it's because of you, the decoy,
context: Decoy...\Huh? De-what?\Decoy.\Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds?\But...\If a spiker is able to score it's because of you, the decoy, response:	then your position is just as important.
context: Huh? De-what?\Decoy.\Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds?\But...\If a spiker is able to score it's because of you, the decoy,\then your position is just as important. response:	Yes.
context: Decoy.\Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds?\But...\If a spiker is able to score it's because of you, the decoy,\then your position is just as important.\Yes. response:	Karasuno has the most formidable decoy now.
context: Why do you say it with such a lack of confidence?\Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds?\But...\If a spiker is able to score it's because of you, the decoy,\then your position is just as important.\Yes.\Karasuno has the most formidable decoy now. response:	Thanks to Hinata and Kageyama, spikes that have never worked are possible.
context: Because it doesn't sound flashy like ace or Guardian God.\Who cares how it sounds?\But...\If a spiker is able to score it's because of you, the decoy,\then your position is just as important.\Yes.\Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible. response:	Yeah.
context: Who cares how it sounds?\But...\If a spiker is able to score it's because of you, the decoy,\then your position is just as important.\Yes.\Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah. response:	I feel we're definitely about to change,
context: But...\If a spiker is able to score it's because of you, the decoy,\then your position is just as important.\Yes.\Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah.\I feel we're definitely about to change, response:	because of the synergy Takeda-sensei was talking about.
context: If a spiker is able to score it's because of you, the decoy,\then your position is just as important.\Yes.\Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah.\I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about. response:	I hope we change for the better.
context: then your position is just as important.\Yes.\Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah.\I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about.\I hope we change for the better. response:	Don't be so doubtful.
context: Yes.\Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah.\I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about.\I hope we change for the better.\Don't be so doubtful. response:	I know I'm being stubborn, but I'm begging you.
context: Karasuno has the most formidable decoy now.\Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah.\I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about.\I hope we change for the better.\Don't be so doubtful.\I know I'm being stubborn, but I'm begging you. response:	I'm inexperienced and pathetically inadequate.
context: Thanks to Hinata and Kageyama, spikes that have never worked are possible.\Yeah.\I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about.\I hope we change for the better.\Don't be so doubtful.\I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate. response:	But those boys have wonderful potential.
context: Yeah.\I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about.\I hope we change for the better.\Don't be so doubtful.\I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential. response:	Please be their coach,
context: I feel we're definitely about to change,\because of the synergy Takeda-sensei was talking about.\I hope we change for the better.\Don't be so doubtful.\I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential.\Please be their coach, response:	Ukai-kun.
context: because of the synergy Takeda-sensei was talking about.\I hope we change for the better.\Don't be so doubtful.\I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential.\Please be their coach,\Ukai-kun. response:	You sure are persistent, sensei.
context: I hope we change for the better.\Don't be so doubtful.\I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential.\Please be their coach,\Ukai-kun.\You sure are persistent, sensei. response:	Foothills
context: Don't be so doubtful.\I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential.\Please be their coach,\Ukai-kun.\You sure are persistent, sensei.\Foothills response:	That's the only thing I'm good at.
context: I know I'm being stubborn, but I'm begging you.\I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential.\Please be their coach,\Ukai-kun.\You sure are persistent, sensei.\Foothills\That's the only thing I'm good at. response:	Being tenacious won't get me to coach them.
context: I'm inexperienced and pathetically inadequate.\But those boys have wonderful potential.\Please be their coach,\Ukai-kun.\You sure are persistent, sensei.\Foothills\That's the only thing I'm good at.\Being tenacious won't get me to coach them. response:	My granddad was a coach, but I'm not cut out for it.
context: But those boys have wonderful potential.\Please be their coach,\Ukai-kun.\You sure are persistent, sensei.\Foothills\That's the only thing I'm good at.\Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it. response:	Sensei, I know you want an technical instructor,
context: Please be their coach,\Ukai-kun.\You sure are persistent, sensei.\Foothills\That's the only thing I'm good at.\Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor, response:	but what you're really after is the illustrious name of Ukai.
context: Ukai-kun.\You sure are persistent, sensei.\Foothills\That's the only thing I'm good at.\Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai. response:	Frankly, there is that, too.
context: You sure are persistent, sensei.\Foothills\That's the only thing I'm good at.\Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too. response:	Ever since Coach Ukai retired,
context: Foothills\That's the only thing I'm good at.\Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too.\Ever since Coach Ukai retired, response:	our school gradually fell behind other schools.
context: That's the only thing I'm good at.\Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too.\Ever since Coach Ukai retired,\our school gradually fell behind other schools. response:	This year I was hired to fill the hole he had left,
context: Being tenacious won't get me to coach them.\My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too.\Ever since Coach Ukai retired,\our school gradually fell behind other schools.\This year I was hired to fill the hole he had left, response:	but I can't even get other schools to agree to a practice matches.
context: My granddad was a coach, but I'm not cut out for it.\Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too.\Ever since Coach Ukai retired,\our school gradually fell behind other schools.\This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches. response:	You think my illustrious name would turn things around?
context: Sensei, I know you want an technical instructor,\but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too.\Ever since Coach Ukai retired,\our school gradually fell behind other schools.\This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around? response:	I implore you, Ukai-kun.
context: but what you're really after is the illustrious name of Ukai.\Frankly, there is that, too.\Ever since Coach Ukai retired,\our school gradually fell behind other schools.\This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around?\I implore you, Ukai-kun. response:	I refuse.
context: Frankly, there is that, too.\Ever since Coach Ukai retired,\our school gradually fell behind other schools.\This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around?\I implore you, Ukai-kun.\I refuse. response:	I acknowledge your commitment,
context: Ever since Coach Ukai retired,\our school gradually fell behind other schools.\This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around?\I implore you, Ukai-kun.\I refuse.\I acknowledge your commitment, response:	but I don't want to babysit a bunch of pesky high schoolers.
context: our school gradually fell behind other schools.\This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around?\I implore you, Ukai-kun.\I refuse.\I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers. response:	I'll be back.
context: This year I was hired to fill the hole he had left,\but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around?\I implore you, Ukai-kun.\I refuse.\I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers.\I'll be back. response:	What part of, I refuse, don't you understand?
context: but I can't even get other schools to agree to a practice matches.\You think my illustrious name would turn things around?\I implore you, Ukai-kun.\I refuse.\I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers.\I'll be back.\What part of, I refuse, don't you understand? response:	I'm sorry for being so persistent,
context: You think my illustrious name would turn things around?\I implore you, Ukai-kun.\I refuse.\I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers.\I'll be back.\What part of, I refuse, don't you understand?\I'm sorry for being so persistent, response:	but,
context: I implore you, Ukai-kun.\I refuse.\I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers.\I'll be back.\What part of, I refuse, don't you understand?\I'm sorry for being so persistent,\but, response:	you'll understand if you see those boys play.
context: I refuse.\I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers.\I'll be back.\What part of, I refuse, don't you understand?\I'm sorry for being so persistent,\but,\you'll understand if you see those boys play. response:	I don't care how many times you ask. I'm not doing it!
context: I acknowledge your commitment,\but I don't want to babysit a bunch of pesky high schoolers.\I'll be back.\What part of, I refuse, don't you understand?\I'm sorry for being so persistent,\but,\you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it! response:	Damn it!
context: but I don't want to babysit a bunch of pesky high schoolers.\I'll be back.\What part of, I refuse, don't you understand?\I'm sorry for being so persistent,\but,\you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it!\Damn it! response:	Ouch!
context: I'll be back.\What part of, I refuse, don't you understand?\I'm sorry for being so persistent,\but,\you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it!\Damn it!\Ouch! response:	All right.
context: What part of, I refuse, don't you understand?\I'm sorry for being so persistent,\but,\you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it!\Damn it!\Ouch!\All right. response:	Hey, Suga. It's been a while.
context: I'm sorry for being so persistent,\but,\you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it!\Damn it!\Ouch!\All right.\Hey, Suga. It's been a while. response:	Please.
context: but,\you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it!\Damn it!\Ouch!\All right.\Hey, Suga. It's been a while.\Please. response:	Come back to us, Asahi.
context: you'll understand if you see those boys play.\I don't care how many times you ask. I'm not doing it!\Damn it!\Ouch!\All right.\Hey, Suga. It's been a while.\Please.\Come back to us, Asahi. response:	Nishinoya's no longer suspended. He's coming back, too.
context: I don't care how many times you ask. I'm not doing it!\Damn it!\Ouch!\All right.\Hey, Suga. It's been a while.\Please.\Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too. response:	I see. I'm glad.
context: Damn it!\Ouch!\All right.\Hey, Suga. It's been a while.\Please.\Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad. response:	It's reassuring to have Nishinoya behind you.
context: Ouch!\All right.\Hey, Suga. It's been a while.\Please.\Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad.\It's reassuring to have Nishinoya behind you. response:	And you, too.
context: All right.\Hey, Suga. It's been a while.\Please.\Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad.\It's reassuring to have Nishinoya behind you.\And you, too. response:	Everyone feels better when you're there to decide the toss.
context: Hey, Suga. It's been a while.\Please.\Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad.\It's reassuring to have Nishinoya behind you.\And you, too.\Everyone feels better when you're there to decide the toss. response:	I appreciate the sentiment,
context: Please.\Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad.\It's reassuring to have Nishinoya behind you.\And you, too.\Everyone feels better when you're there to decide the toss.\I appreciate the sentiment, response:	but I'd get in everyone's way again if I came back.
context: Come back to us, Asahi.\Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad.\It's reassuring to have Nishinoya behind you.\And you, too.\Everyone feels better when you're there to decide the toss.\I appreciate the sentiment,\but I'd get in everyone's way again if I came back. response:	Listen to me.
context: Nishinoya's no longer suspended. He's coming back, too.\I see. I'm glad.\It's reassuring to have Nishinoya behind you.\And you, too.\Everyone feels better when you're there to decide the toss.\I appreciate the sentiment,\but I'd get in everyone's way again if I came back.\Listen to me. response:	We have an amazing first-year setter now,
context: I see. I'm glad.\It's reassuring to have Nishinoya behind you.\And you, too.\Everyone feels better when you're there to decide the toss.\I appreciate the sentiment,\but I'd get in everyone's way again if I came back.\Listen to me.\We have an amazing first-year setter now, response:	and a formidable decoy.
context: It's reassuring to have Nishinoya behind you.\And you, too.\Everyone feels better when you're there to decide the toss.\I appreciate the sentiment,\but I'd get in everyone's way again if I came back.\Listen to me.\We have an amazing first-year setter now,\and a formidable decoy. response:	You won't have to bear all the burden alone any more.
context: And you, too.\Everyone feels better when you're there to decide the toss.\I appreciate the sentiment,\but I'd get in everyone's way again if I came back.\Listen to me.\We have an amazing first-year setter now,\and a formidable decoy.\You won't have to bear all the burden alone any more. response:	If you and Nishinoya come back,
context: Everyone feels better when you're there to decide the toss.\I appreciate the sentiment,\but I'd get in everyone's way again if I came back.\Listen to me.\We have an amazing first-year setter now,\and a formidable decoy.\You won't have to bear all the burden alone any more.\If you and Nishinoya come back, response:	Karasuno will no longer be the fallen champs.
context: I appreciate the sentiment,\but I'd get in everyone's way again if I came back.\Listen to me.\We have an amazing first-year setter now,\and a formidable decoy.\You won't have to bear all the burden alone any more.\If you and Nishinoya come back,\Karasuno will no longer be the fallen champs. response:	Our team is on the verge of transformation.
context: but I'd get in everyone's way again if I came back.\Listen to me.\We have an amazing first-year setter now,\and a formidable decoy.\You won't have to bear all the burden alone any more.\If you and Nishinoya come back,\Karasuno will no longer be the fallen champs.\Our team is on the verge of transformation. response:	Now more than ever we need our pillar, the ace...
context: Listen to me.\We have an amazing first-year setter now,\and a formidable decoy.\You won't have to bear all the burden alone any more.\If you and Nishinoya come back,\Karasuno will no longer be the fallen champs.\Our team is on the verge of transformation.\Now more than ever we need our pillar, the ace... response:	Azumane.
context: We have an amazing first-year setter now,\and a formidable decoy.\You won't have to bear all the burden alone any more.\If you and Nishinoya come back,\Karasuno will no longer be the fallen champs.\Our team is on the verge of transformation.\Now more than ever we need our pillar, the ace...\Azumane. response:	The guidance counselor's ready for you.
context: and a formidable decoy.\You won't have to bear all the burden alone any more.\If you and Nishinoya come back,\Karasuno will no longer be the fallen champs.\Our team is on the verge of transformation.\Now more than ever we need our pillar, the ace...\Azumane.\The guidance counselor's ready for you. response:	Sorry, Suga.
context: You won't have to bear all the burden alone any more.\If you and Nishinoya come back,\Karasuno will no longer be the fallen champs.\Our team is on the verge of transformation.\Now more than ever we need our pillar, the ace...\Azumane.\The guidance counselor's ready for you.\Sorry, Suga. response:	You better go first.
