context: What we have here is a model that was made of it. response:	The real one was made of valuable things like gold,
context: Cheers!\Delicious!\It's because you tried hard.\Hey, did your test go well?\So-so.\I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right?\No! response:	It's not embarrassing to make a mistake.
context: Delicious!\It's because you tried hard.\Hey, did your test go well?\So-so.\I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right?\No!\It's not embarrassing to make a mistake. response:	But, even though the test is over,
context: It's because you tried hard.\Hey, did your test go well?\So-so.\I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right?\No!\It's not embarrassing to make a mistake.\But, even though the test is over, response:	practice the parts you couldn't do well.
context: Hey, did your test go well?\So-so.\I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right?\No!\It's not embarrassing to make a mistake.\But, even though the test is over,\practice the parts you couldn't do well. response:	Yeah.
context: So-so.\I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right?\No!\It's not embarrassing to make a mistake.\But, even though the test is over,\practice the parts you couldn't do well.\Yeah. response:	I did it!
context: I can't stand it. I messed up one note.\Are you sure it wasn't just one note, right?\No!\It's not embarrassing to make a mistake.\But, even though the test is over,\practice the parts you couldn't do well.\Yeah.\I did it! response:	Today I will be sure to save it right.
context: Are you sure it wasn't just one note, right?\No!\It's not embarrassing to make a mistake.\But, even though the test is over,\practice the parts you couldn't do well.\Yeah.\I did it!\Today I will be sure to save it right. response:	Save. Save.
context: No!\It's not embarrassing to make a mistake.\But, even though the test is over,\practice the parts you couldn't do well.\Yeah.\I did it!\Today I will be sure to save it right.\Save. Save. response:	I did it!
context: It's not embarrassing to make a mistake.\But, even though the test is over,\practice the parts you couldn't do well.\Yeah.\I did it!\Today I will be sure to save it right.\Save. Save.\I did it! response:	Kero-chan did you hear that?
context: But, even though the test is over,\practice the parts you couldn't do well.\Yeah.\I did it!\Today I will be sure to save it right.\Save. Save.\I did it!\Kero-chan did you hear that? response:	Wasn't your recorder test over?
context: practice the parts you couldn't do well.\Yeah.\I did it!\Today I will be sure to save it right.\Save. Save.\I did it!\Kero-chan did you hear that?\Wasn't your recorder test over? response:	Yeah, but my dad told me
context: Yeah.\I did it!\Today I will be sure to save it right.\Save. Save.\I did it!\Kero-chan did you hear that?\Wasn't your recorder test over?\Yeah, but my dad told me response:	to practice the parts I couldn't do well today.
context: I did it!\Today I will be sure to save it right.\Save. Save.\I did it!\Kero-chan did you hear that?\Wasn't your recorder test over?\Yeah, but my dad told me\to practice the parts I couldn't do well today. response:	That's your father,
context: Today I will be sure to save it right.\Save. Save.\I did it!\Kero-chan did you hear that?\Wasn't your recorder test over?\Yeah, but my dad told me\to practice the parts I couldn't do well today.\That's your father, response:	he says good things.
context: Save. Save.\I did it!\Kero-chan did you hear that?\Wasn't your recorder test over?\Yeah, but my dad told me\to practice the parts I couldn't do well today.\That's your father,\he says good things. response:	I'll practice at school tomorrow too.
context: I did it!\Kero-chan did you hear that?\Wasn't your recorder test over?\Yeah, but my dad told me\to practice the parts I couldn't do well today.\That's your father,\he says good things.\I'll practice at school tomorrow too. response:	All right, tomorrow for sure I will clear the last stage.
context: Kero-chan did you hear that?\Wasn't your recorder test over?\Yeah, but my dad told me\to practice the parts I couldn't do well today.\That's your father,\he says good things.\I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage. response:	This can't be!
context: Wasn't your recorder test over?\Yeah, but my dad told me\to practice the parts I couldn't do well today.\That's your father,\he says good things.\I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage.\This can't be! response:	I am sure I saved it yesterday.
context: Yeah, but my dad told me\to practice the parts I couldn't do well today.\That's your father,\he says good things.\I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage.\This can't be!\I am sure I saved it yesterday. response:	You saw me right?
context: to practice the parts I couldn't do well today.\That's your father,\he says good things.\I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage.\This can't be!\I am sure I saved it yesterday.\You saw me right? response:	Really?
context: That's your father,\he says good things.\I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage.\This can't be!\I am sure I saved it yesterday.\You saw me right?\Really? response:	Let's see, today is' I'll be late!
context: he says good things.\I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage.\This can't be!\I am sure I saved it yesterday.\You saw me right?\Really?\Let's see, today is' I'll be late! response:	I have to do it all again.
context: I'll practice at school tomorrow too.\All right, tomorrow for sure I will clear the last stage.\This can't be!\I am sure I saved it yesterday.\You saw me right?\Really?\Let's see, today is' I'll be late!\I have to do it all again. response:	I'm going.
context: All right, tomorrow for sure I will clear the last stage.\This can't be!\I am sure I saved it yesterday.\You saw me right?\Really?\Let's see, today is' I'll be late!\I have to do it all again.\I'm going. response:	Why? Why? Why?
context: This can't be!\I am sure I saved it yesterday.\You saw me right?\Really?\Let's see, today is' I'll be late!\I have to do it all again.\I'm going.\Why? Why? Why? response:	Let's do our best on the recorder test today.
context: I am sure I saved it yesterday.\You saw me right?\Really?\Let's see, today is' I'll be late!\I have to do it all again.\I'm going.\Why? Why? Why?\Let's do our best on the recorder test today. response:	How do you think you will do?
context: You saw me right?\Really?\Let's see, today is' I'll be late!\I have to do it all again.\I'm going.\Why? Why? Why?\Let's do our best on the recorder test today.\How do you think you will do? response:	I practiced yesterday so'
context: Really?\Let's see, today is' I'll be late!\I have to do it all again.\I'm going.\Why? Why? Why?\Let's do our best on the recorder test today.\How do you think you will do?\I practiced yesterday so' response:	Just what I would expect, then you will be fine?
context: Let's see, today is' I'll be late!\I have to do it all again.\I'm going.\Why? Why? Why?\Let's do our best on the recorder test today.\How do you think you will do?\I practiced yesterday so'\Just what I would expect, then you will be fine? response:	It's the same as yesterday.
context: I have to do it all again.\I'm going.\Why? Why? Why?\Let's do our best on the recorder test today.\How do you think you will do?\I practiced yesterday so'\Just what I would expect, then you will be fine?\It's the same as yesterday. response:	We had a recorder test yesterday, right?
context: I'm going.\Why? Why? Why?\Let's do our best on the recorder test today.\How do you think you will do?\I practiced yesterday so'\Just what I would expect, then you will be fine?\It's the same as yesterday.\We had a recorder test yesterday, right? response:	I had a toast with my brother and Dad at home
context: Why? Why? Why?\Let's do our best on the recorder test today.\How do you think you will do?\I practiced yesterday so'\Just what I would expect, then you will be fine?\It's the same as yesterday.\We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home response:	after finishing the test.
context: Let's do our best on the recorder test today.\How do you think you will do?\I practiced yesterday so'\Just what I would expect, then you will be fine?\It's the same as yesterday.\We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home\after finishing the test. response:	Sakura-chan are you getting nervous?
context: How do you think you will do?\I practiced yesterday so'\Just what I would expect, then you will be fine?\It's the same as yesterday.\We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home\after finishing the test.\Sakura-chan are you getting nervous? response:	That's not it.
context: I practiced yesterday so'\Just what I would expect, then you will be fine?\It's the same as yesterday.\We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home\after finishing the test.\Sakura-chan are you getting nervous?\That's not it. response:	Let's see, next is Kinomoto-san.
context: Just what I would expect, then you will be fine?\It's the same as yesterday.\We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home\after finishing the test.\Sakura-chan are you getting nervous?\That's not it.\Let's see, next is Kinomoto-san. response:	Yes!
context: It's the same as yesterday.\We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home\after finishing the test.\Sakura-chan are you getting nervous?\That's not it.\Let's see, next is Kinomoto-san.\Yes! response:	Sakura-chan.
context: We had a recorder test yesterday, right?\I had a toast with my brother and Dad at home\after finishing the test.\Sakura-chan are you getting nervous?\That's not it.\Let's see, next is Kinomoto-san.\Yes!\Sakura-chan. response:	That's Sakura,
context: I had a toast with my brother and Dad at home\after finishing the test.\Sakura-chan are you getting nervous?\That's not it.\Let's see, next is Kinomoto-san.\Yes!\Sakura-chan.\That's Sakura, response:	she always does well at the key time.
context: after finishing the test.\Sakura-chan are you getting nervous?\That's not it.\Let's see, next is Kinomoto-san.\Yes!\Sakura-chan.\That's Sakura,\she always does well at the key time. response:	Is it a familiar feeling?
context: Sakura-chan are you getting nervous?\That's not it.\Let's see, next is Kinomoto-san.\Yes!\Sakura-chan.\That's Sakura,\she always does well at the key time.\Is it a familiar feeling? response:	You go to a place for the first time,
context: That's not it.\Let's see, next is Kinomoto-san.\Yes!\Sakura-chan.\That's Sakura,\she always does well at the key time.\Is it a familiar feeling?\You go to a place for the first time, response:	but you get the feeling it isn't the first.
context: Let's see, next is Kinomoto-san.\Yes!\Sakura-chan.\That's Sakura,\she always does well at the key time.\Is it a familiar feeling?\You go to a place for the first time,\but you get the feeling it isn't the first. response:	Or when you talk to somebody
context: Yes!\Sakura-chan.\That's Sakura,\she always does well at the key time.\Is it a familiar feeling?\You go to a place for the first time,\but you get the feeling it isn't the first.\Or when you talk to somebody response:	you feel you had the same conversation before.
context: Sakura-chan.\That's Sakura,\she always does well at the key time.\Is it a familiar feeling?\You go to a place for the first time,\but you get the feeling it isn't the first.\Or when you talk to somebody\you feel you had the same conversation before. response:	But my memory is very clear.
context: That's Sakura,\she always does well at the key time.\Is it a familiar feeling?\You go to a place for the first time,\but you get the feeling it isn't the first.\Or when you talk to somebody\you feel you had the same conversation before.\But my memory is very clear. response:	That kid over there'
context: she always does well at the key time.\Is it a familiar feeling?\You go to a place for the first time,\but you get the feeling it isn't the first.\Or when you talk to somebody\you feel you had the same conversation before.\But my memory is very clear.\That kid over there' response:	It is the same after all.
context: Is it a familiar feeling?\You go to a place for the first time,\but you get the feeling it isn't the first.\Or when you talk to somebody\you feel you had the same conversation before.\But my memory is very clear.\That kid over there'\It is the same after all. response:	Which means?
context: You go to a place for the first time,\but you get the feeling it isn't the first.\Or when you talk to somebody\you feel you had the same conversation before.\But my memory is very clear.\That kid over there'\It is the same after all.\Which means? response:	It's the same as yesterday,
context: but you get the feeling it isn't the first.\Or when you talk to somebody\you feel you had the same conversation before.\But my memory is very clear.\That kid over there'\It is the same after all.\Which means?\It's the same as yesterday, response:	after this Li-kun is going to kick in a soccer ball that flies at him.
context: Or when you talk to somebody\you feel you had the same conversation before.\But my memory is very clear.\That kid over there'\It is the same after all.\Which means?\It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him. response:	Oh, he really did come.
context: you feel you had the same conversation before.\But my memory is very clear.\That kid over there'\It is the same after all.\Which means?\It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come. response:	Huh? He isn't practicing the recorder.
context: But my memory is very clear.\That kid over there'\It is the same after all.\Which means?\It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come.\Huh? He isn't practicing the recorder. response:	Don't you think it is strange?
context: That kid over there'\It is the same after all.\Which means?\It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come.\Huh? He isn't practicing the recorder.\Don't you think it is strange? response:	We had a recorder test yesterday too right?
context: It is the same after all.\Which means?\It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come.\Huh? He isn't practicing the recorder.\Don't you think it is strange?\We had a recorder test yesterday too right? response:	It seems like it is just you and me.
context: Which means?\It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come.\Huh? He isn't practicing the recorder.\Don't you think it is strange?\We had a recorder test yesterday too right?\It seems like it is just you and me. response:	The ones who have noticed that we are repeating the same day as yesterday.
context: It's the same as yesterday,\after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come.\Huh? He isn't practicing the recorder.\Don't you think it is strange?\We had a recorder test yesterday too right?\It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday. response:	This is the work of a Clow Card.
context: after this Li-kun is going to kick in a soccer ball that flies at him.\Oh, he really did come.\Huh? He isn't practicing the recorder.\Don't you think it is strange?\We had a recorder test yesterday too right?\It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card. response:	Didn't you feel it?
context: Oh, he really did come.\Huh? He isn't practicing the recorder.\Don't you think it is strange?\We had a recorder test yesterday too right?\It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card.\Didn't you feel it? response:	The aura of a Clow Card.
context: Huh? He isn't practicing the recorder.\Don't you think it is strange?\We had a recorder test yesterday too right?\It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card.\Didn't you feel it?\The aura of a Clow Card. response:	The card is over there.
context: Don't you think it is strange?\We had a recorder test yesterday too right?\It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card.\Didn't you feel it?\The aura of a Clow Card.\The card is over there. response:	Look out!
context: We had a recorder test yesterday too right?\It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card.\Didn't you feel it?\The aura of a Clow Card.\The card is over there.\Look out! response:	A little bit different from yesterday.
context: It seems like it is just you and me.\The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card.\Didn't you feel it?\The aura of a Clow Card.\The card is over there.\Look out!\A little bit different from yesterday. response:	Li-kun that was an amazing shot.
context: The ones who have noticed that we are repeating the same day as yesterday.\This is the work of a Clow Card.\Didn't you feel it?\The aura of a Clow Card.\The card is over there.\Look out!\A little bit different from yesterday.\Li-kun that was an amazing shot. response:	It looks very good on you.
context: This is the work of a Clow Card.\Didn't you feel it?\The aura of a Clow Card.\The card is over there.\Look out!\A little bit different from yesterday.\Li-kun that was an amazing shot.\It looks very good on you. response:	What is this?
context: Didn't you feel it?\The aura of a Clow Card.\The card is over there.\Look out!\A little bit different from yesterday.\Li-kun that was an amazing shot.\It looks very good on you.\What is this? response:	I made it in the image of a fairy that can fly in the night sky freely.
context: The aura of a Clow Card.\The card is over there.\Look out!\A little bit different from yesterday.\Li-kun that was an amazing shot.\It looks very good on you.\What is this?\I made it in the image of a fairy that can fly in the night sky freely. response:	It's impressive that you know the location of the Clow Card.
context: The card is over there.\Look out!\A little bit different from yesterday.\Li-kun that was an amazing shot.\It looks very good on you.\What is this?\I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card. response:	That was'
context: Look out!\A little bit different from yesterday.\Li-kun that was an amazing shot.\It looks very good on you.\What is this?\I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card.\That was' response:	The camera is ready.
context: A little bit different from yesterday.\Li-kun that was an amazing shot.\It looks very good on you.\What is this?\I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card.\That was'\The camera is ready. response:	Well then, let's go.
context: Li-kun that was an amazing shot.\It looks very good on you.\What is this?\I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card.\That was'\The camera is ready.\Well then, let's go. response:	I feel it,
context: It looks very good on you.\What is this?\I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card.\That was'\The camera is ready.\Well then, let's go.\I feel it, response:	this is the aura of a Clow Card.
context: What is this?\I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card.\That was'\The camera is ready.\Well then, let's go.\I feel it,\this is the aura of a Clow Card. response:	Huh?
context: I made it in the image of a fairy that can fly in the night sky freely.\It's impressive that you know the location of the Clow Card.\That was'\The camera is ready.\Well then, let's go.\I feel it,\this is the aura of a Clow Card.\Huh? response:	What?
context: It's impressive that you know the location of the Clow Card.\That was'\The camera is ready.\Well then, let's go.\I feel it,\this is the aura of a Clow Card.\Huh?\What? response:	I wonder what happened?
context: That was'\The camera is ready.\Well then, let's go.\I feel it,\this is the aura of a Clow Card.\Huh?\What?\I wonder what happened? response:	It's the card of time.
context: The camera is ready.\Well then, let's go.\I feel it,\this is the aura of a Clow Card.\Huh?\What?\I wonder what happened?\It's the card of time. response:	Kero-chan, this is'
context: Well then, let's go.\I feel it,\this is the aura of a Clow Card.\Huh?\What?\I wonder what happened?\It's the card of time.\Kero-chan, this is' response:	It's Time.
context: I feel it,\this is the aura of a Clow Card.\Huh?\What?\I wonder what happened?\It's the card of time.\Kero-chan, this is'\It's Time. response:	Time?
context: this is the aura of a Clow Card.\Huh?\What?\I wonder what happened?\It's the card of time.\Kero-chan, this is'\It's Time.\Time? response:	The card of time.
context: Huh?\What?\I wonder what happened?\It's the card of time.\Kero-chan, this is'\It's Time.\Time?\The card of time. response:	It can freely control the flow of time.
context: What?\I wonder what happened?\It's the card of time.\Kero-chan, this is'\It's Time.\Time?\The card of time.\It can freely control the flow of time. response:	The camera is ready.
context: I wonder what happened?\It's the card of time.\Kero-chan, this is'\It's Time.\Time?\The card of time.\It can freely control the flow of time.\The camera is ready. response:	People without magic power
context: It's the card of time.\Kero-chan, this is'\It's Time.\Time?\The card of time.\It can freely control the flow of time.\The camera is ready.\People without magic power response:	can't tell that time is being controlled.
context: Kero-chan, this is'\It's Time.\Time?\The card of time.\It can freely control the flow of time.\The camera is ready.\People without magic power\can't tell that time is being controlled. response:	Time
context: It's Time.\Time?\The card of time.\It can freely control the flow of time.\The camera is ready.\People without magic power\can't tell that time is being controlled.\Time response:	choses the biggest clock in town and is playing with it.
context: Time?\The card of time.\It can freely control the flow of time.\The camera is ready.\People without magic power\can't tell that time is being controlled.\Time\choses the biggest clock in town and is playing with it. response:	So he'll reverse a day again like he did today?
context: The card of time.\It can freely control the flow of time.\The camera is ready.\People without magic power\can't tell that time is being controlled.\Time\choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today? response:	He can only use the power to reverse a day once per day.
context: It can freely control the flow of time.\The camera is ready.\People without magic power\can't tell that time is being controlled.\Time\choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day. response:	And he can only use it at 12:00 midnight.
context: The camera is ready.\People without magic power\can't tell that time is being controlled.\Time\choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight. response:	Twelve o'clock?
context: People without magic power\can't tell that time is being controlled.\Time\choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight.\Twelve o'clock? response:	What if it hits twelve
context: can't tell that time is being controlled.\Time\choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight.\Twelve o'clock?\What if it hits twelve response:	and Time reverses the day again, like today?
context: Time\choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight.\Twelve o'clock?\What if it hits twelve\and Time reverses the day again, like today? response:	We have to live through the same day again.
context: choses the biggest clock in town and is playing with it.\So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight.\Twelve o'clock?\What if it hits twelve\and Time reverses the day again, like today?\We have to live through the same day again. response:	Another recorder test?
context: So he'll reverse a day again like he did today?\He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight.\Twelve o'clock?\What if it hits twelve\and Time reverses the day again, like today?\We have to live through the same day again.\Another recorder test? response:	My battle will go again? Hurry and seal it!
context: He can only use the power to reverse a day once per day.\And he can only use it at 12:00 midnight.\Twelve o'clock?\What if it hits twelve\and Time reverses the day again, like today?\We have to live through the same day again.\Another recorder test?\My battle will go again? Hurry and seal it! response:	But what if time is stopped again?
context: And he can only use it at 12:00 midnight.\Twelve o'clock?\What if it hits twelve\and Time reverses the day again, like today?\We have to live through the same day again.\Another recorder test?\My battle will go again? Hurry and seal it!\But what if time is stopped again? response:	I have to hurry!
context: Twelve o'clock?\What if it hits twelve\and Time reverses the day again, like today?\We have to live through the same day again.\Another recorder test?\My battle will go again? Hurry and seal it!\But what if time is stopped again?\I have to hurry! response:	What is that?
context: What if it hits twelve\and Time reverses the day again, like today?\We have to live through the same day again.\Another recorder test?\My battle will go again? Hurry and seal it!\But what if time is stopped again?\I have to hurry!\What is that? response:	Oh no! This time he has sped up time just for the clock tower.
context: and Time reverses the day again, like today?\We have to live through the same day again.\Another recorder test?\My battle will go again? Hurry and seal it!\But what if time is stopped again?\I have to hurry!\What is that?\Oh no! This time he has sped up time just for the clock tower. response:	Oh!
context: We have to live through the same day again.\Another recorder test?\My battle will go again? Hurry and seal it!\But what if time is stopped again?\I have to hurry!\What is that?\Oh no! This time he has sped up time just for the clock tower.\Oh! response:	I looks very good on you.
context: Another recorder test?\My battle will go again? Hurry and seal it!\But what if time is stopped again?\I have to hurry!\What is that?\Oh no! This time he has sped up time just for the clock tower.\Oh!\I looks very good on you. response:	You did it on a fairy image right?
context: My battle will go again? Hurry and seal it!\But what if time is stopped again?\I have to hurry!\What is that?\Oh no! This time he has sped up time just for the clock tower.\Oh!\I looks very good on you.\You did it on a fairy image right? response:	That's right!
context: But what if time is stopped again?\I have to hurry!\What is that?\Oh no! This time he has sped up time just for the clock tower.\Oh!\I looks very good on you.\You did it on a fairy image right?\That's right! response:	I am so happy you understand.
context: I have to hurry!\What is that?\Oh no! This time he has sped up time just for the clock tower.\Oh!\I looks very good on you.\You did it on a fairy image right?\That's right!\I am so happy you understand. response:	It really is tiring to repeat the same day three times.
context: What is that?\Oh no! This time he has sped up time just for the clock tower.\Oh!\I looks very good on you.\You did it on a fairy image right?\That's right!\I am so happy you understand.\It really is tiring to repeat the same day three times. response:	When can I go to the last stage?
context: Oh no! This time he has sped up time just for the clock tower.\Oh!\I looks very good on you.\You did it on a fairy image right?\That's right!\I am so happy you understand.\It really is tiring to repeat the same day three times.\When can I go to the last stage? response:	Really, I have taken that recorder test three times now.
context: Oh!\I looks very good on you.\You did it on a fairy image right?\That's right!\I am so happy you understand.\It really is tiring to repeat the same day three times.\When can I go to the last stage?\Really, I have taken that recorder test three times now. response:	Why do we have to go through the same time again?
context: I looks very good on you.\You did it on a fairy image right?\That's right!\I am so happy you understand.\It really is tiring to repeat the same day three times.\When can I go to the last stage?\Really, I have taken that recorder test three times now.\Why do we have to go through the same time again? response:	Isn't it better to get out sooner?
context: You did it on a fairy image right?\That's right!\I am so happy you understand.\It really is tiring to repeat the same day three times.\When can I go to the last stage?\Really, I have taken that recorder test three times now.\Why do we have to go through the same time again?\Isn't it better to get out sooner? response:	But Dad, and my brother
context: That's right!\I am so happy you understand.\It really is tiring to repeat the same day three times.\When can I go to the last stage?\Really, I have taken that recorder test three times now.\Why do we have to go through the same time again?\Isn't it better to get out sooner?\But Dad, and my brother response:	had a toast after finishing the test,
context: I am so happy you understand.\It really is tiring to repeat the same day three times.\When can I go to the last stage?\Really, I have taken that recorder test three times now.\Why do we have to go through the same time again?\Isn't it better to get out sooner?\But Dad, and my brother\had a toast after finishing the test, response:	and then reviewing for the test'
context: It really is tiring to repeat the same day three times.\When can I go to the last stage?\Really, I have taken that recorder test three times now.\Why do we have to go through the same time again?\Isn't it better to get out sooner?\But Dad, and my brother\had a toast after finishing the test,\and then reviewing for the test' response:	What are you doing?
context: When can I go to the last stage?\Really, I have taken that recorder test three times now.\Why do we have to go through the same time again?\Isn't it better to get out sooner?\But Dad, and my brother\had a toast after finishing the test,\and then reviewing for the test'\What are you doing? response:	Li-kun, is your face OK?
context: Really, I have taken that recorder test three times now.\Why do we have to go through the same time again?\Isn't it better to get out sooner?\But Dad, and my brother\had a toast after finishing the test,\and then reviewing for the test'\What are you doing?\Li-kun, is your face OK? response:	It hit him right as he turned around.
context: Why do we have to go through the same time again?\Isn't it better to get out sooner?\But Dad, and my brother\had a toast after finishing the test,\and then reviewing for the test'\What are you doing?\Li-kun, is your face OK?\It hit him right as he turned around. response:	But the ball did go into the goal.
context: Isn't it better to get out sooner?\But Dad, and my brother\had a toast after finishing the test,\and then reviewing for the test'\What are you doing?\Li-kun, is your face OK?\It hit him right as he turned around.\But the ball did go into the goal. response:	It was splendid.
context: But Dad, and my brother\had a toast after finishing the test,\and then reviewing for the test'\What are you doing?\Li-kun, is your face OK?\It hit him right as he turned around.\But the ball did go into the goal.\It was splendid. response:	Time is unified with the clock tower.
context: had a toast after finishing the test,\and then reviewing for the test'\What are you doing?\Li-kun, is your face OK?\It hit him right as he turned around.\But the ball did go into the goal.\It was splendid.\Time is unified with the clock tower. response:	If you break the clock tower with some attack magic.
context: and then reviewing for the test'\What are you doing?\Li-kun, is your face OK?\It hit him right as he turned around.\But the ball did go into the goal.\It was splendid.\Time is unified with the clock tower.\If you break the clock tower with some attack magic. response:	It will return to a card won't it?
context: What are you doing?\Li-kun, is your face OK?\It hit him right as he turned around.\But the ball did go into the goal.\It was splendid.\Time is unified with the clock tower.\If you break the clock tower with some attack magic.\It will return to a card won't it? response:	You mustn't do that.
context: Li-kun, is your face OK?\It hit him right as he turned around.\But the ball did go into the goal.\It was splendid.\Time is unified with the clock tower.\If you break the clock tower with some attack magic.\It will return to a card won't it?\You mustn't do that. response:	Why?
context: It hit him right as he turned around.\But the ball did go into the goal.\It was splendid.\Time is unified with the clock tower.\If you break the clock tower with some attack magic.\It will return to a card won't it?\You mustn't do that.\Why? response:	Everybody in town relies on that clock.
context: But the ball did go into the goal.\It was splendid.\Time is unified with the clock tower.\If you break the clock tower with some attack magic.\It will return to a card won't it?\You mustn't do that.\Why?\Everybody in town relies on that clock. response:	I can't break it.
context: It was splendid.\Time is unified with the clock tower.\If you break the clock tower with some attack magic.\It will return to a card won't it?\You mustn't do that.\Why?\Everybody in town relies on that clock.\I can't break it. response:	Then are you satisfied to leave the card like this?
context: Time is unified with the clock tower.\If you break the clock tower with some attack magic.\It will return to a card won't it?\You mustn't do that.\Why?\Everybody in town relies on that clock.\I can't break it.\Then are you satisfied to leave the card like this? response:	Well, I can't leave it alone'
context: If you break the clock tower with some attack magic.\It will return to a card won't it?\You mustn't do that.\Why?\Everybody in town relies on that clock.\I can't break it.\Then are you satisfied to leave the card like this?\Well, I can't leave it alone' response:	But we can't break the clock.
context: It will return to a card won't it?\You mustn't do that.\Why?\Everybody in town relies on that clock.\I can't break it.\Then are you satisfied to leave the card like this?\Well, I can't leave it alone'\But we can't break the clock. response:	If you won't break it
context: You mustn't do that.\Why?\Everybody in town relies on that clock.\I can't break it.\Then are you satisfied to leave the card like this?\Well, I can't leave it alone'\But we can't break the clock.\If you won't break it response:	then we have to get close without being noticed.
context: Why?\Everybody in town relies on that clock.\I can't break it.\Then are you satisfied to leave the card like this?\Well, I can't leave it alone'\But we can't break the clock.\If you won't break it\then we have to get close without being noticed. response:	Oh!
context: Everybody in town relies on that clock.\I can't break it.\Then are you satisfied to leave the card like this?\Well, I can't leave it alone'\But we can't break the clock.\If you won't break it\then we have to get close without being noticed.\Oh! response:	He is in the clock tower.
context: I can't break it.\Then are you satisfied to leave the card like this?\Well, I can't leave it alone'\But we can't break the clock.\If you won't break it\then we have to get close without being noticed.\Oh!\He is in the clock tower. response:	He can see you easily
context: Then are you satisfied to leave the card like this?\Well, I can't leave it alone'\But we can't break the clock.\If you won't break it\then we have to get close without being noticed.\Oh!\He is in the clock tower.\He can see you easily response:	if you fly in using magic.
context: Well, I can't leave it alone'\But we can't break the clock.\If you won't break it\then we have to get close without being noticed.\Oh!\He is in the clock tower.\He can see you easily\if you fly in using magic. response:	Oh!
context: But we can't break the clock.\If you won't break it\then we have to get close without being noticed.\Oh!\He is in the clock tower.\He can see you easily\if you fly in using magic.\Oh! response:	No mistake, he is above here.
context: If you won't break it\then we have to get close without being noticed.\Oh!\He is in the clock tower.\He can see you easily\if you fly in using magic.\Oh!\No mistake, he is above here. response:	Return to your rightful'
context: then we have to get close without being noticed.\Oh!\He is in the clock tower.\He can see you easily\if you fly in using magic.\Oh!\No mistake, he is above here.\Return to your rightful' response:	Did you not make it in time?
