context: A Nightmare Super-Transformation!! Freeza's Battle Power of One Million response:	What kind of transformation is this? You're making us laugh!
context: What... what's going on here?\What!?\Impossible! This can't be!\We'll be killed!\I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over! response:	Oh, no!
context: What!?\Impossible! This can't be!\We'll be killed!\I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no! response:	Gohan!
context: Impossible! This can't be!\We'll be killed!\I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no!\Gohan! response:	Vegeta, what happened to those high spirits you were in a moment ago?
context: We'll be killed!\I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no!\Gohan!\Vegeta, what happened to those high spirits you were in a moment ago? response:	You were spouting off all sorts of demands, weren't you?
context: I- It's a nightmare!\Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no!\Gohan!\Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you? response:	Well, I really can't blame you. Not after having been shown my overwhelming power.
context: Watch out, now! In this form, I won't be as gentle as I was before.\W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no!\Gohan!\Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power. response:	Th- This guy's incredible!
context: W- What a Ki!\W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no!\Gohan!\Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible! response:	Like I said, watch out!
context: W- What's this? The strength of Freeza's Ki has just increased several times over!\Oh, no!\Gohan!\Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible!\Like I said, watch out! response:	You see, I have a lot more power now, and I might just overdo things a little.
context: Oh, no!\Gohan!\Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible!\Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little. response:	Incidentally, my battle power is now probably over 1,000,000.
context: Gohan!\Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible!\Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000. response:	Wh- What!?
context: Vegeta, what happened to those high spirits you were in a moment ago?\You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible!\Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000.\Wh- What!? response:	Unbelievable!
context: You were spouting off all sorts of demands, weren't you?\Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible!\Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000.\Wh- What!?\Unbelievable! response:	N- Not even you could reach that high!
context: Well, I really can't blame you. Not after having been shown my overwhelming power.\Th- This guy's incredible!\Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000.\Wh- What!?\Unbelievable!\N- Not even you could reach that high! response:	If you think I'm lying, I'll show you!
context: Th- This guy's incredible!\Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000.\Wh- What!?\Unbelievable!\N- Not even you could reach that high!\If you think I'm lying, I'll show you! response:	Dende!
context: Like I said, watch out!\You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000.\Wh- What!?\Unbelievable!\N- Not even you could reach that high!\If you think I'm lying, I'll show you!\Dende! response:	No!
context: You see, I have a lot more power now, and I might just overdo things a little.\Incidentally, my battle power is now probably over 1,000,000.\Wh- What!?\Unbelievable!\N- Not even you could reach that high!\If you think I'm lying, I'll show you!\Dende!\No! response:	What's this!?
context: Incidentally, my battle power is now probably over 1,000,000.\Wh- What!?\Unbelievable!\N- Not even you could reach that high!\If you think I'm lying, I'll show you!\Dende!\No!\What's this!? response:	Freeza, you low-life, what have you done!?
context: Wh- What!?\Unbelievable!\N- Not even you could reach that high!\If you think I'm lying, I'll show you!\Dende!\No!\What's this!?\Freeza, you low-life, what have you done!? response:	What is the deal with this planet!?
context: Unbelievable!\N- Not even you could reach that high!\If you think I'm lying, I'll show you!\Dende!\No!\What's this!?\Freeza, you low-life, what have you done!?\What is the deal with this planet!? response:	Krillin-san?
context: N- Not even you could reach that high!\If you think I'm lying, I'll show you!\Dende!\No!\What's this!?\Freeza, you low-life, what have you done!?\What is the deal with this planet!?\Krillin-san? response:	What happened to Krillin-san?
context: If you think I'm lying, I'll show you!\Dende!\No!\What's this!?\Freeza, you low-life, what have you done!?\What is the deal with this planet!?\Krillin-san?\What happened to Krillin-san? response:	Right here!
context: Dende!\No!\What's this!?\Freeza, you low-life, what have you done!?\What is the deal with this planet!?\Krillin-san?\What happened to Krillin-san?\Right here! response:	Y- You're bleeding!
context: No!\What's this!?\Freeza, you low-life, what have you done!?\What is the deal with this planet!?\Krillin-san?\What happened to Krillin-san?\Right here!\Y- You're bleeding! response:	It's nothing. I just got clipped by a flying rock fragment.
context: What's this!?\Freeza, you low-life, what have you done!?\What is the deal with this planet!?\Krillin-san?\What happened to Krillin-san?\Right here!\Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment. response:	You all fled from that more quickly than might be expected. You have my praise.
context: Freeza, you low-life, what have you done!?\What is the deal with this planet!?\Krillin-san?\What happened to Krillin-san?\Right here!\Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise. response:	However, that was just my way of saying hello.
context: What is the deal with this planet!?\Krillin-san?\What happened to Krillin-san?\Right here!\Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello. response:	Even a Saiyajin could have done that.
context: Krillin-san?\What happened to Krillin-san?\Right here!\Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello.\Even a Saiyajin could have done that. response:	Damn you!
context: What happened to Krillin-san?\Right here!\Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello.\Even a Saiyajin could have done that.\Damn you! response:	That's such a pitiful face you're wearing, Vegeta.
context: Right here!\Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello.\Even a Saiyajin could have done that.\Damn you!\That's such a pitiful face you're wearing, Vegeta. response:	I'd guess that you never imagined I could become this powerful.
context: Y- You're bleeding!\It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello.\Even a Saiyajin could have done that.\Damn you!\That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful. response:	Now then, which one of you should I show to Hell first?
context: It's nothing. I just got clipped by a flying rock fragment.\You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello.\Even a Saiyajin could have done that.\Damn you!\That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful.\Now then, which one of you should I show to Hell first? response:	I've decided!
context: You all fled from that more quickly than might be expected. You have my praise.\However, that was just my way of saying hello.\Even a Saiyajin could have done that.\Damn you!\That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful.\Now then, which one of you should I show to Hell first?\I've decided! response:	Krillin-san!
context: However, that was just my way of saying hello.\Even a Saiyajin could have done that.\Damn you!\That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful.\Now then, which one of you should I show to Hell first?\I've decided!\Krillin-san! response:	So... fast!
context: Even a Saiyajin could have done that.\Damn you!\That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful.\Now then, which one of you should I show to Hell first?\I've decided!\Krillin-san!\So... fast! response:	All too abruptly, Krillin is run through by Freeza.
context: Damn you!\That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful.\Now then, which one of you should I show to Hell first?\I've decided!\Krillin-san!\So... fast!\All too abruptly, Krillin is run through by Freeza. response:	Is this the strength of Freeza?
context: That's such a pitiful face you're wearing, Vegeta.\I'd guess that you never imagined I could become this powerful.\Now then, which one of you should I show to Hell first?\I've decided!\Krillin-san!\So... fast!\All too abruptly, Krillin is run through by Freeza.\Is this the strength of Freeza? response:	Krillin-san!
