context: I happened to witness something outrageous. response:	Isn't that what people call...
context: What are you looking so dumbfounded for?\Chefs need to wake up early,\kitchen hand.\Th-Thank you!\I see...\Check up on her, okay?\Nako and I will finish the rest.\Okay! response:	Tohru...
context: Chefs need to wake up early,\kitchen hand.\Th-Thank you!\I see...\Check up on her, okay?\Nako and I will finish the rest.\Okay!\Tohru... response:	H-Hey, Minko?
context: kitchen hand.\Th-Thank you!\I see...\Check up on her, okay?\Nako and I will finish the rest.\Okay!\Tohru...\H-Hey, Minko? response:	Don't you have duties to attend to?
context: Th-Thank you!\I see...\Check up on her, okay?\Nako and I will finish the rest.\Okay!\Tohru...\H-Hey, Minko?\Don't you have duties to attend to? response:	I'm here because I'm worried about you.
context: I see...\Check up on her, okay?\Nako and I will finish the rest.\Okay!\Tohru...\H-Hey, Minko?\Don't you have duties to attend to?\I'm here because I'm worried about you. response:	There's no need to worry.
context: Check up on her, okay?\Nako and I will finish the rest.\Okay!\Tohru...\H-Hey, Minko?\Don't you have duties to attend to?\I'm here because I'm worried about you.\There's no need to worry. response:	I wonder if I can work at Fukuya too...
context: Nako and I will finish the rest.\Okay!\Tohru...\H-Hey, Minko?\Don't you have duties to attend to?\I'm here because I'm worried about you.\There's no need to worry.\I wonder if I can work at Fukuya too... response:	I guess not with my skill...
context: Okay!\Tohru...\H-Hey, Minko?\Don't you have duties to attend to?\I'm here because I'm worried about you.\There's no need to worry.\I wonder if I can work at Fukuya too...\I guess not with my skill... response:	I-I'm sure you can!
context: Tohru...\H-Hey, Minko?\Don't you have duties to attend to?\I'm here because I'm worried about you.\There's no need to worry.\I wonder if I can work at Fukuya too...\I guess not with my skill...\I-I'm sure you can! response:	Tohru will recommend you for sure!
context: H-Hey, Minko?\Don't you have duties to attend to?\I'm here because I'm worried about you.\There's no need to worry.\I wonder if I can work at Fukuya too...\I guess not with my skill...\I-I'm sure you can!\Tohru will recommend you for sure! response:	Just like he did when you first came here!
context: Don't you have duties to attend to?\I'm here because I'm worried about you.\There's no need to worry.\I wonder if I can work at Fukuya too...\I guess not with my skill...\I-I'm sure you can!\Tohru will recommend you for sure!\Just like he did when you first came here! response:	H-How do you know about that?!
context: I'm here because I'm worried about you.\There's no need to worry.\I wonder if I can work at Fukuya too...\I guess not with my skill...\I-I'm sure you can!\Tohru will recommend you for sure!\Just like he did when you first came here!\H-How do you know about that?! response:	I'm sure Tohru'll be
context: There's no need to worry.\I wonder if I can work at Fukuya too...\I guess not with my skill...\I-I'm sure you can!\Tohru will recommend you for sure!\Just like he did when you first came here!\H-How do you know about that?!\I'm sure Tohru'll be response:	glad to work with you too.
context: I wonder if I can work at Fukuya too...\I guess not with my skill...\I-I'm sure you can!\Tohru will recommend you for sure!\Just like he did when you first came here!\H-How do you know about that?!\I'm sure Tohru'll be\glad to work with you too. response:	You balut!
context: I guess not with my skill...\I-I'm sure you can!\Tohru will recommend you for sure!\Just like he did when you first came here!\H-How do you know about that?!\I'm sure Tohru'll be\glad to work with you too.\You balut! response:	There's no way I can go and work at Fukuya!
context: I-I'm sure you can!\Tohru will recommend you for sure!\Just like he did when you first came here!\H-How do you know about that?!\I'm sure Tohru'll be\glad to work with you too.\You balut!\There's no way I can go and work at Fukuya! response:	I got a job here thanks to Tohru!
context: Tohru will recommend you for sure!\Just like he did when you first came here!\H-How do you know about that?!\I'm sure Tohru'll be\glad to work with you too.\You balut!\There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru! response:	There's so much I need to repay Tohru,
context: Just like he did when you first came here!\H-How do you know about that?!\I'm sure Tohru'll be\glad to work with you too.\You balut!\There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru!\There's so much I need to repay Tohru, response:	Madam Manager, Mr. Ren, and the inn itself!
context: H-How do you know about that?!\I'm sure Tohru'll be\glad to work with you too.\You balut!\There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru!\There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself! response:	But you were just saying that you wanted to go to Fukuya...
context: I'm sure Tohru'll be\glad to work with you too.\You balut!\There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru!\There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya... response:	You misunderstood me.
context: glad to work with you too.\You balut!\There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru!\There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya...\You misunderstood me. response:	You're amazing, Minko.
context: You balut!\There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru!\There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya...\You misunderstood me.\You're amazing, Minko. response:	What?
context: There's no way I can go and work at Fukuya!\I got a job here thanks to Tohru!\There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya...\You misunderstood me.\You're amazing, Minko.\What? response:	Whether it's work, love, or personal matters,
context: I got a job here thanks to Tohru!\There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya...\You misunderstood me.\You're amazing, Minko.\What?\Whether it's work, love, or personal matters, response:	you're giving it your all.
context: There's so much I need to repay Tohru,\Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya...\You misunderstood me.\You're amazing, Minko.\What?\Whether it's work, love, or personal matters,\you're giving it your all. response:	I want to cheer you on!
context: Madam Manager, Mr. Ren, and the inn itself!\But you were just saying that you wanted to go to Fukuya...\You misunderstood me.\You're amazing, Minko.\What?\Whether it's work, love, or personal matters,\you're giving it your all.\I want to cheer you on! response:	You need to chase after him!
context: But you were just saying that you wanted to go to Fukuya...\You misunderstood me.\You're amazing, Minko.\What?\Whether it's work, love, or personal matters,\you're giving it your all.\I want to cheer you on!\You need to chase after him! response:	But...
context: You misunderstood me.\You're amazing, Minko.\What?\Whether it's work, love, or personal matters,\you're giving it your all.\I want to cheer you on!\You need to chase after him!\But... response:	You can't work without him, can you?!
context: You're amazing, Minko.\What?\Whether it's work, love, or personal matters,\you're giving it your all.\I want to cheer you on!\You need to chase after him!\But...\You can't work without him, can you?! response:	Get out...
context: What?\Whether it's work, love, or personal matters,\you're giving it your all.\I want to cheer you on!\You need to chase after him!\But...\You can't work without him, can you?!\Get out... response:	Get out, balut!
context: Whether it's work, love, or personal matters,\you're giving it your all.\I want to cheer you on!\You need to chase after him!\But...\You can't work without him, can you?!\Get out...\Get out, balut! response:	M- Minko?!
context: you're giving it your all.\I want to cheer you on!\You need to chase after him!\But...\You can't work without him, can you?!\Get out...\Get out, balut!\M- Minko?! response:	I've been locked out...
context: I want to cheer you on!\You need to chase after him!\But...\You can't work without him, can you?!\Get out...\Get out, balut!\M- Minko?!\I've been locked out... response:	Minko must really like him...
context: You need to chase after him!\But...\You can't work without him, can you?!\Get out...\Get out, balut!\M- Minko?!\I've been locked out...\Minko must really like him... response:	Falling in love with someone must be incredible...
context: But...\You can't work without him, can you?!\Get out...\Get out, balut!\M- Minko?!\I've been locked out...\Minko must really like him...\Falling in love with someone must be incredible... response:	Ko must be feeling the same way...
context: You can't work without him, can you?!\Get out...\Get out, balut!\M- Minko?!\I've been locked out...\Minko must really like him...\Falling in love with someone must be incredible...\Ko must be feeling the same way... response:	Ko...
context: Get out...\Get out, balut!\M- Minko?!\I've been locked out...\Minko must really like him...\Falling in love with someone must be incredible...\Ko must be feeling the same way...\Ko... response:	Don't expect too much.
context: Get out, balut!\M- Minko?!\I've been locked out...\Minko must really like him...\Falling in love with someone must be incredible...\Ko must be feeling the same way...\Ko...\Don't expect too much. response:	After all, it's just a regional festival-
context: M- Minko?!\I've been locked out...\Minko must really like him...\Falling in love with someone must be incredible...\Ko must be feeling the same way...\Ko...\Don't expect too much.\After all, it's just a regional festival- response:	Now, I didn't say it was pointless, Takako.
context: I've been locked out...\Minko must really like him...\Falling in love with someone must be incredible...\Ko must be feeling the same way...\Ko...\Don't expect too much.\After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako. response:	She screams about everything.
context: Minko must really like him...\Falling in love with someone must be incredible...\Ko must be feeling the same way...\Ko...\Don't expect too much.\After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako.\She screams about everything. response:	Now, where did I put it...
context: Falling in love with someone must be incredible...\Ko must be feeling the same way...\Ko...\Don't expect too much.\After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako.\She screams about everything.\Now, where did I put it... response:	What?
context: Ko must be feeling the same way...\Ko...\Don't expect too much.\After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako.\She screams about everything.\Now, where did I put it...\What? response:	Aren't you supposed to be working?
context: Ko...\Don't expect too much.\After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako.\She screams about everything.\Now, where did I put it...\What?\Aren't you supposed to be working? response:	Well...
context: Don't expect too much.\After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako.\She screams about everything.\Now, where did I put it...\What?\Aren't you supposed to be working?\Well... response:	Oh!
context: After all, it's just a regional festival-\Now, I didn't say it was pointless, Takako.\She screams about everything.\Now, where did I put it...\What?\Aren't you supposed to be working?\Well...\Oh! response:	Do you mind lending me a hand?
context: Now, I didn't say it was pointless, Takako.\She screams about everything.\Now, where did I put it...\What?\Aren't you supposed to be working?\Well...\Oh!\Do you mind lending me a hand? response:	What?
context: She screams about everything.\Now, where did I put it...\What?\Aren't you supposed to be working?\Well...\Oh!\Do you mind lending me a hand?\What? response:	Let me know when you find the bonbori.
context: Now, where did I put it...\What?\Aren't you supposed to be working?\Well...\Oh!\Do you mind lending me a hand?\What?\Let me know when you find the bonbori. response:	Just look in any of the boxes.
context: What?\Aren't you supposed to be working?\Well...\Oh!\Do you mind lending me a hand?\What?\Let me know when you find the bonbori.\Just look in any of the boxes. response:	Okay...
context: Aren't you supposed to be working?\Well...\Oh!\Do you mind lending me a hand?\What?\Let me know when you find the bonbori.\Just look in any of the boxes.\Okay... response:	You know what they look like, right?
context: Well...\Oh!\Do you mind lending me a hand?\What?\Let me know when you find the bonbori.\Just look in any of the boxes.\Okay...\You know what they look like, right? response:	Maybe I didn't understand a single thing at all...
context: Oh!\Do you mind lending me a hand?\What?\Let me know when you find the bonbori.\Just look in any of the boxes.\Okay...\You know what they look like, right?\Maybe I didn't understand a single thing at all... response:	Bingo! That's it.
context: Do you mind lending me a hand?\What?\Let me know when you find the bonbori.\Just look in any of the boxes.\Okay...\You know what they look like, right?\Maybe I didn't understand a single thing at all...\Bingo! That's it. response:	Is this for the Bonbori Festival?
context: What?\Let me know when you find the bonbori.\Just look in any of the boxes.\Okay...\You know what they look like, right?\Maybe I didn't understand a single thing at all...\Bingo! That's it.\Is this for the Bonbori Festival? response:	You've heard of it?
context: Let me know when you find the bonbori.\Just look in any of the boxes.\Okay...\You know what they look like, right?\Maybe I didn't understand a single thing at all...\Bingo! That's it.\Is this for the Bonbori Festival?\You've heard of it? response:	Wow, it's so pretty!
context: Just look in any of the boxes.\Okay...\You know what they look like, right?\Maybe I didn't understand a single thing at all...\Bingo! That's it.\Is this for the Bonbori Festival?\You've heard of it?\Wow, it's so pretty! response:	What's this at the bottom?
context: Okay...\You know what they look like, right?\Maybe I didn't understand a single thing at all...\Bingo! That's it.\Is this for the Bonbori Festival?\You've heard of it?\Wow, it's so pretty!\What's this at the bottom? response:	It's a wish card.
context: You know what they look like, right?\Maybe I didn't understand a single thing at all...\Bingo! That's it.\Is this for the Bonbori Festival?\You've heard of it?\Wow, it's so pretty!\What's this at the bottom?\It's a wish card. response:	A wish card?
context: Maybe I didn't understand a single thing at all...\Bingo! That's it.\Is this for the Bonbori Festival?\You've heard of it?\Wow, it's so pretty!\What's this at the bottom?\It's a wish card.\A wish card? response:	If you write your wish on it
context: Bingo! That's it.\Is this for the Bonbori Festival?\You've heard of it?\Wow, it's so pretty!\What's this at the bottom?\It's a wish card.\A wish card?\If you write your wish on it response:	and tie it to the bonbori,
context: Is this for the Bonbori Festival?\You've heard of it?\Wow, it's so pretty!\What's this at the bottom?\It's a wish card.\A wish card?\If you write your wish on it\and tie it to the bonbori, response:	a god will use it to illuminate
context: You've heard of it?\Wow, it's so pretty!\What's this at the bottom?\It's a wish card.\A wish card?\If you write your wish on it\and tie it to the bonbori,\a god will use it to illuminate response:	his path home back to Izumo,
context: Wow, it's so pretty!\What's this at the bottom?\It's a wish card.\A wish card?\If you write your wish on it\and tie it to the bonbori,\a god will use it to illuminate\his path home back to Izumo, response:	and in return, he'll grant you your wish.
context: What's this at the bottom?\It's a wish card.\A wish card?\If you write your wish on it\and tie it to the bonbori,\a god will use it to illuminate\his path home back to Izumo,\and in return, he'll grant you your wish. response:	Wow...
context: It's a wish card.\A wish card?\If you write your wish on it\and tie it to the bonbori,\a god will use it to illuminate\his path home back to Izumo,\and in return, he'll grant you your wish.\Wow... response:	But only hardworking people
context: A wish card?\If you write your wish on it\and tie it to the bonbori,\a god will use it to illuminate\his path home back to Izumo,\and in return, he'll grant you your wish.\Wow...\But only hardworking people response:	will have their wishes granted.
context: If you write your wish on it\and tie it to the bonbori,\a god will use it to illuminate\his path home back to Izumo,\and in return, he'll grant you your wish.\Wow...\But only hardworking people\will have their wishes granted. response:	People like you who don't work
context: and tie it to the bonbori,\a god will use it to illuminate\his path home back to Izumo,\and in return, he'll grant you your wish.\Wow...\But only hardworking people\will have their wishes granted.\People like you who don't work response:	won't have their wishes come true.
context: a god will use it to illuminate\his path home back to Izumo,\and in return, he'll grant you your wish.\Wow...\But only hardworking people\will have their wishes granted.\People like you who don't work\won't have their wishes come true. response:	Hardworking people...
context: his path home back to Izumo,\and in return, he'll grant you your wish.\Wow...\But only hardworking people\will have their wishes granted.\People like you who don't work\won't have their wishes come true.\Hardworking people... response:	But will we really get more customers
context: and in return, he'll grant you your wish.\Wow...\But only hardworking people\will have their wishes granted.\People like you who don't work\won't have their wishes come true.\Hardworking people...\But will we really get more customers response:	if we make our bonboris look more modern?
context: Wow...\But only hardworking people\will have their wishes granted.\People like you who don't work\won't have their wishes come true.\Hardworking people...\But will we really get more customers\if we make our bonboris look more modern? response:	Well, it's not like I'm going to disobey Takako's orders...
context: But only hardworking people\will have their wishes granted.\People like you who don't work\won't have their wishes come true.\Hardworking people...\But will we really get more customers\if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders... response:	So hardworking people will
context: will have their wishes granted.\People like you who don't work\won't have their wishes come true.\Hardworking people...\But will we really get more customers\if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will response:	get their wishes granted, right?
context: People like you who don't work\won't have their wishes come true.\Hardworking people...\But will we really get more customers\if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will\get their wishes granted, right? response:	What?
context: won't have their wishes come true.\Hardworking people...\But will we really get more customers\if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will\get their wishes granted, right?\What? response:	Let me borrow this!
context: Hardworking people...\But will we really get more customers\if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will\get their wishes granted, right?\What?\Let me borrow this! response:	What?
context: But will we really get more customers\if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will\get their wishes granted, right?\What?\Let me borrow this!\What? response:	Balut! Balut! Balut!
context: if we make our bonboris look more modern?\Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will\get their wishes granted, right?\What?\Let me borrow this!\What?\Balut! Balut! Balut! response:	That idiot doesn't understand anything!
context: Well, it's not like I'm going to disobey Takako's orders...\So hardworking people will\get their wishes granted, right?\What?\Let me borrow this!\What?\Balut! Balut! Balut!\That idiot doesn't understand anything! response:	Minko!
context: So hardworking people will\get their wishes granted, right?\What?\Let me borrow this!\What?\Balut! Balut! Balut!\That idiot doesn't understand anything!\Minko! response:	Let's go and drag Tohru back!
context: get their wishes granted, right?\What?\Let me borrow this!\What?\Balut! Balut! Balut!\That idiot doesn't understand anything!\Minko!\Let's go and drag Tohru back! response:	What are you-
context: What?\Let me borrow this!\What?\Balut! Balut! Balut!\That idiot doesn't understand anything!\Minko!\Let's go and drag Tohru back!\What are you- response:	He may be sharp-tongued,
context: Let me borrow this!\What?\Balut! Balut! Balut!\That idiot doesn't understand anything!\Minko!\Let's go and drag Tohru back!\What are you-\He may be sharp-tongued, response:	but he's more determined than
context: What?\Balut! Balut! Balut!\That idiot doesn't understand anything!\Minko!\Let's go and drag Tohru back!\What are you-\He may be sharp-tongued,\but he's more determined than response:	anyone, and kinder than anyone, right?
context: Balut! Balut! Balut!\That idiot doesn't understand anything!\Minko!\Let's go and drag Tohru back!\What are you-\He may be sharp-tongued,\but he's more determined than\anyone, and kinder than anyone, right? response:	He may appear abrupt and cold,
context: That idiot doesn't understand anything!\Minko!\Let's go and drag Tohru back!\What are you-\He may be sharp-tongued,\but he's more determined than\anyone, and kinder than anyone, right?\He may appear abrupt and cold, response:	but in reality he treasures the people
context: Minko!\Let's go and drag Tohru back!\What are you-\He may be sharp-tongued,\but he's more determined than\anyone, and kinder than anyone, right?\He may appear abrupt and cold,\but in reality he treasures the people response:	working here and his job more than anyone else, right?
context: Let's go and drag Tohru back!\What are you-\He may be sharp-tongued,\but he's more determined than\anyone, and kinder than anyone, right?\He may appear abrupt and cold,\but in reality he treasures the people\working here and his job more than anyone else, right? response:	And he has this much hair,
context: What are you-\He may be sharp-tongued,\but he's more determined than\anyone, and kinder than anyone, right?\He may appear abrupt and cold,\but in reality he treasures the people\working here and his job more than anyone else, right?\And he has this much hair, response:	and his eyes are slanted upwards, right?!
context: He may be sharp-tongued,\but he's more determined than\anyone, and kinder than anyone, right?\He may appear abrupt and cold,\but in reality he treasures the people\working here and his job more than anyone else, right?\And he has this much hair,\and his eyes are slanted upwards, right?! response:	We can't lose someone like that!
context: but he's more determined than\anyone, and kinder than anyone, right?\He may appear abrupt and cold,\but in reality he treasures the people\working here and his job more than anyone else, right?\And he has this much hair,\and his eyes are slanted upwards, right?!\We can't lose someone like that! response:	So-
context: anyone, and kinder than anyone, right?\He may appear abrupt and cold,\but in reality he treasures the people\working here and his job more than anyone else, right?\And he has this much hair,\and his eyes are slanted upwards, right?!\We can't lose someone like that!\So- response:	You don't understand anything.
context: He may appear abrupt and cold,\but in reality he treasures the people\working here and his job more than anyone else, right?\And he has this much hair,\and his eyes are slanted upwards, right?!\We can't lose someone like that!\So-\You don't understand anything. response:	Tohru was invited to Fukuya because of his skill!
context: but in reality he treasures the people\working here and his job more than anyone else, right?\And he has this much hair,\and his eyes are slanted upwards, right?!\We can't lose someone like that!\So-\You don't understand anything.\Tohru was invited to Fukuya because of his skill! response:	Do you understand what an honor that is?!
context: working here and his job more than anyone else, right?\And he has this much hair,\and his eyes are slanted upwards, right?!\We can't lose someone like that!\So-\You don't understand anything.\Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?! response:	No.
context: And he has this much hair,\and his eyes are slanted upwards, right?!\We can't lose someone like that!\So-\You don't understand anything.\Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?!\No. response:	Idiot!
context: and his eyes are slanted upwards, right?!\We can't lose someone like that!\So-\You don't understand anything.\Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?!\No.\Idiot! response:	I wish him all the best.
context: We can't lose someone like that!\So-\You don't understand anything.\Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?!\No.\Idiot!\I wish him all the best. response:	That's why I don't want to get in his way.
context: So-\You don't understand anything.\Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?!\No.\Idiot!\I wish him all the best.\That's why I don't want to get in his way. response:	You balut!
context: You don't understand anything.\Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?!\No.\Idiot!\I wish him all the best.\That's why I don't want to get in his way.\You balut! response:	You like him, don't you?!
context: Tohru was invited to Fukuya because of his skill!\Do you understand what an honor that is?!\No.\Idiot!\I wish him all the best.\That's why I don't want to get in his way.\You balut!\You like him, don't you?! response:	Fine, I'll go to Fukuya myself.
context: Do you understand what an honor that is?!\No.\Idiot!\I wish him all the best.\That's why I don't want to get in his way.\You balut!\You like him, don't you?!\Fine, I'll go to Fukuya myself. response:	You idiot! How will that solve anything?!
context: No.\Idiot!\I wish him all the best.\That's why I don't want to get in his way.\You balut!\You like him, don't you?!\Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?! response:	I want to do something for you
context: Idiot!\I wish him all the best.\That's why I don't want to get in his way.\You balut!\You like him, don't you?!\Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?!\I want to do something for you response:	because you're such a hard worker.
context: I wish him all the best.\That's why I don't want to get in his way.\You balut!\You like him, don't you?!\Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?!\I want to do something for you\because you're such a hard worker. response:	I have the feeling that'll allow me
context: That's why I don't want to get in his way.\You balut!\You like him, don't you?!\Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?!\I want to do something for you\because you're such a hard worker.\I have the feeling that'll allow me response:	to work hard towards something as well.
context: You balut!\You like him, don't you?!\Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?!\I want to do something for you\because you're such a hard worker.\I have the feeling that'll allow me\to work hard towards something as well. response:	But it'll be impossible to drag him back.
context: You like him, don't you?!\Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?!\I want to do something for you\because you're such a hard worker.\I have the feeling that'll allow me\to work hard towards something as well.\But it'll be impossible to drag him back. response:	Then, we'll ask...
context: Fine, I'll go to Fukuya myself.\You idiot! How will that solve anything?!\I want to do something for you\because you're such a hard worker.\I have the feeling that'll allow me\to work hard towards something as well.\But it'll be impossible to drag him back.\Then, we'll ask... response:	for help from the heavens!
context: You idiot! How will that solve anything?!\I want to do something for you\because you're such a hard worker.\I have the feeling that'll allow me\to work hard towards something as well.\But it'll be impossible to drag him back.\Then, we'll ask...\for help from the heavens! response:	I'm going!
context: I want to do something for you\because you're such a hard worker.\I have the feeling that'll allow me\to work hard towards something as well.\But it'll be impossible to drag him back.\Then, we'll ask...\for help from the heavens!\I'm going! response:	W-Wait!
context: because you're such a hard worker.\I have the feeling that'll allow me\to work hard towards something as well.\But it'll be impossible to drag him back.\Then, we'll ask...\for help from the heavens!\I'm going!\W-Wait! response:	Hey!
context: I have the feeling that'll allow me\to work hard towards something as well.\But it'll be impossible to drag him back.\Then, we'll ask...\for help from the heavens!\I'm going!\W-Wait!\Hey! response:	What's her problem anyway?
context: to work hard towards something as well.\But it'll be impossible to drag him back.\Then, we'll ask...\for help from the heavens!\I'm going!\W-Wait!\Hey!\What's her problem anyway? response:	She's such a ba-
context: But it'll be impossible to drag him back.\Then, we'll ask...\for help from the heavens!\I'm going!\W-Wait!\Hey!\What's her problem anyway?\She's such a ba- response:	Excuse me!
context: Then, we'll ask...\for help from the heavens!\I'm going!\W-Wait!\Hey!\What's her problem anyway?\She's such a ba-\Excuse me! response:	Gr-and-ma...
context: for help from the heavens!\I'm going!\W-Wait!\Hey!\What's her problem anyway?\She's such a ba-\Excuse me!\Gr-and-ma... response:	How many times must I tell you to
context: I'm going!\W-Wait!\Hey!\What's her problem anyway?\She's such a ba-\Excuse me!\Gr-and-ma...\How many times must I tell you to response:	call me Manager, Yuina?
context: W-Wait!\Hey!\What's her problem anyway?\She's such a ba-\Excuse me!\Gr-and-ma...\How many times must I tell you to\call me Manager, Yuina? response:	Sor-ry, Gr-and-ma...
context: Hey!\What's her problem anyway?\She's such a ba-\Excuse me!\Gr-and-ma...\How many times must I tell you to\call me Manager, Yuina?\Sor-ry, Gr-and-ma... response:	So, what do you want?
context: What's her problem anyway?\She's such a ba-\Excuse me!\Gr-and-ma...\How many times must I tell you to\call me Manager, Yuina?\Sor-ry, Gr-and-ma...\So, what do you want? response:	There... seems... to be
context: She's such a ba-\Excuse me!\Gr-and-ma...\How many times must I tell you to\call me Manager, Yuina?\Sor-ry, Gr-and-ma...\So, what do you want?\There... seems... to be response:	something... going on by the... entr-ance...
context: Excuse me!\Gr-and-ma...\How many times must I tell you to\call me Manager, Yuina?\Sor-ry, Gr-and-ma...\So, what do you want?\There... seems... to be\something... going on by the... entr-ance... response:	I want to talk to the manager!
context: Gr-and-ma...\How many times must I tell you to\call me Manager, Yuina?\Sor-ry, Gr-and-ma...\So, what do you want?\There... seems... to be\something... going on by the... entr-ance...\I want to talk to the manager! response:	Calm down!
context: How many times must I tell you to\call me Manager, Yuina?\Sor-ry, Gr-and-ma...\So, what do you want?\There... seems... to be\something... going on by the... entr-ance...\I want to talk to the manager!\Calm down! response:	What on earth is going on?
context: call me Manager, Yuina?\Sor-ry, Gr-and-ma...\So, what do you want?\There... seems... to be\something... going on by the... entr-ance...\I want to talk to the manager!\Calm down!\What on earth is going on? response:	Ohana?
context: Sor-ry, Gr-and-ma...\So, what do you want?\There... seems... to be\something... going on by the... entr-ance...\I want to talk to the manager!\Calm down!\What on earth is going on?\Ohana? response:	There she is!
context: So, what do you want?\There... seems... to be\something... going on by the... entr-ance...\I want to talk to the manager!\Calm down!\What on earth is going on?\Ohana?\There she is! response:	Aren't you from Shijima's place?
context: There... seems... to be\something... going on by the... entr-ance...\I want to talk to the manager!\Calm down!\What on earth is going on?\Ohana?\There she is!\Aren't you from Shijima's place? response:	I'm her granddaughter!
context: something... going on by the... entr-ance...\I want to talk to the manager!\Calm down!\What on earth is going on?\Ohana?\There she is!\Aren't you from Shijima's place?\I'm her granddaughter! response:	I'm here today because I have a favor to ask!
context: I want to talk to the manager!\Calm down!\What on earth is going on?\Ohana?\There she is!\Aren't you from Shijima's place?\I'm her granddaughter!\I'm here today because I have a favor to ask! response:	Please give Tohru back to us!
context: Calm down!\What on earth is going on?\Ohana?\There she is!\Aren't you from Shijima's place?\I'm her granddaughter!\I'm here today because I have a favor to ask!\Please give Tohru back to us! response:	What?
context: What on earth is going on?\Ohana?\There she is!\Aren't you from Shijima's place?\I'm her granddaughter!\I'm here today because I have a favor to ask!\Please give Tohru back to us!\What? response:	You're all horrible at Fukuya!
context: Ohana?\There she is!\Aren't you from Shijima's place?\I'm her granddaughter!\I'm here today because I have a favor to ask!\Please give Tohru back to us!\What?\You're all horrible at Fukuya! response:	You have a large inn,
context: There she is!\Aren't you from Shijima's place?\I'm her granddaughter!\I'm here today because I have a favor to ask!\Please give Tohru back to us!\What?\You're all horrible at Fukuya!\You have a large inn, response:	lots of cars,
context: Aren't you from Shijima's place?\I'm her granddaughter!\I'm here today because I have a favor to ask!\Please give Tohru back to us!\What?\You're all horrible at Fukuya!\You have a large inn,\lots of cars, response:	and a very pretty granddaughter!
context: I'm her granddaughter!\I'm here today because I have a favor to ask!\Please give Tohru back to us!\What?\You're all horrible at Fukuya!\You have a large inn,\lots of cars,\and a very pretty granddaughter! response:	There's no need for you to steal one of our staff away from us!
context: I'm here today because I have a favor to ask!\Please give Tohru back to us!\What?\You're all horrible at Fukuya!\You have a large inn,\lots of cars,\and a very pretty granddaughter!\There's no need for you to steal one of our staff away from us! response:	What's this girl talking about?
context: Please give Tohru back to us!\What?\You're all horrible at Fukuya!\You have a large inn,\lots of cars,\and a very pretty granddaughter!\There's no need for you to steal one of our staff away from us!\What's this girl talking about? response:	Have you got an idea?
context: What?\You're all horrible at Fukuya!\You have a large inn,\lots of cars,\and a very pretty granddaughter!\There's no need for you to steal one of our staff away from us!\What's this girl talking about?\Have you got an idea? response:	Kissuiso needs Tohru!
context: You're all horrible at Fukuya!\You have a large inn,\lots of cars,\and a very pretty granddaughter!\There's no need for you to steal one of our staff away from us!\What's this girl talking about?\Have you got an idea?\Kissuiso needs Tohru! response:	So-
