context: Oh, God, please save the soul of this girl with a broken heart! response:	Zoisite, committing evil deeds in a sacred place...
context: he can get a hold of the legendary Silver Crystal!\On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone.\As long as I'm in this,\there's no way I'll let those villains get their way.\That's what I was going to say.\But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them! response:	What?!
context: On top of that, it also revives an evil monster,\so the enemy is killing two birds with one stone.\As long as I'm in this,\there's no way I'll let those villains get their way.\That's what I was going to say.\But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them!\What?! response:	In that case, I'm against letting Usagi hang on to that wand!
context: so the enemy is killing two birds with one stone.\As long as I'm in this,\there's no way I'll let those villains get their way.\That's what I was going to say.\But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them!\What?!\In that case, I'm against letting Usagi hang on to that wand! response:	Why?
context: As long as I'm in this,\there's no way I'll let those villains get their way.\That's what I was going to say.\But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them!\What?!\In that case, I'm against letting Usagi hang on to that wand!\Why? response:	You let her have it and she'll just use it as a hammer
context: there's no way I'll let those villains get their way.\That's what I was going to say.\But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them!\What?!\In that case, I'm against letting Usagi hang on to that wand!\Why?\You let her have it and she'll just use it as a hammer response:	for some amateur carpentry!
context: That's what I was going to say.\But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them!\What?!\In that case, I'm against letting Usagi hang on to that wand!\Why?\You let her have it and she'll just use it as a hammer\for some amateur carpentry! response:	I don't think even she would go that far.
context: But how do we find the people who possess the rainbow crystals?\The wand that I gave Usagi will respond to them!\What?!\In that case, I'm against letting Usagi hang on to that wand!\Why?\You let her have it and she'll just use it as a hammer\for some amateur carpentry!\I don't think even she would go that far. response:	There!
context: The wand that I gave Usagi will respond to them!\What?!\In that case, I'm against letting Usagi hang on to that wand!\Why?\You let her have it and she'll just use it as a hammer\for some amateur carpentry!\I don't think even she would go that far.\There! response:	But she may use it for something close to that.
context: What?!\In that case, I'm against letting Usagi hang on to that wand!\Why?\You let her have it and she'll just use it as a hammer\for some amateur carpentry!\I don't think even she would go that far.\There!\But she may use it for something close to that. response:	I trust Usagi!
context: In that case, I'm against letting Usagi hang on to that wand!\Why?\You let her have it and she'll just use it as a hammer\for some amateur carpentry!\I don't think even she would go that far.\There!\But she may use it for something close to that.\I trust Usagi! response:	It's true that she completely lacks a sense of duty,
context: Why?\You let her have it and she'll just use it as a hammer\for some amateur carpentry!\I don't think even she would go that far.\There!\But she may use it for something close to that.\I trust Usagi!\It's true that she completely lacks a sense of duty, response:	and she's not dependable.
context: You let her have it and she'll just use it as a hammer\for some amateur carpentry!\I don't think even she would go that far.\There!\But she may use it for something close to that.\I trust Usagi!\It's true that she completely lacks a sense of duty,\and she's not dependable. response:	But that's why I want to give her the status of the leader,
context: for some amateur carpentry!\I don't think even she would go that far.\There!\But she may use it for something close to that.\I trust Usagi!\It's true that she completely lacks a sense of duty,\and she's not dependable.\But that's why I want to give her the status of the leader, response:	to give her more confidence!
context: I don't think even she would go that far.\There!\But she may use it for something close to that.\I trust Usagi!\It's true that she completely lacks a sense of duty,\and she's not dependable.\But that's why I want to give her the status of the leader,\to give her more confidence! response:	Give her more confidence?
context: There!\But she may use it for something close to that.\I trust Usagi!\It's true that she completely lacks a sense of duty,\and she's not dependable.\But that's why I want to give her the status of the leader,\to give her more confidence!\Give her more confidence? response:	That's right! I think if she's given an important role,
context: But she may use it for something close to that.\I trust Usagi!\It's true that she completely lacks a sense of duty,\and she's not dependable.\But that's why I want to give her the status of the leader,\to give her more confidence!\Give her more confidence?\That's right! I think if she's given an important role, response:	she'll gain a little more sense of responsibility.
context: I trust Usagi!\It's true that she completely lacks a sense of duty,\and she's not dependable.\But that's why I want to give her the status of the leader,\to give her more confidence!\Give her more confidence?\That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility. response:	That will never happen!
context: It's true that she completely lacks a sense of duty,\and she's not dependable.\But that's why I want to give her the status of the leader,\to give her more confidence!\Give her more confidence?\That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility.\That will never happen! response:	Please! Give her a chance!
context: and she's not dependable.\But that's why I want to give her the status of the leader,\to give her more confidence!\Give her more confidence?\That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility.\That will never happen!\Please! Give her a chance! response:	Please just acknowledge her as the leader!
context: But that's why I want to give her the status of the leader,\to give her more confidence!\Give her more confidence?\That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility.\That will never happen!\Please! Give her a chance!\Please just acknowledge her as the leader! response:	I'm still against it!
context: to give her more confidence!\Give her more confidence?\That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility.\That will never happen!\Please! Give her a chance!\Please just acknowledge her as the leader!\I'm still against it! response:	I think Usagi could...
context: Give her more confidence?\That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility.\That will never happen!\Please! Give her a chance!\Please just acknowledge her as the leader!\I'm still against it!\I think Usagi could... response:	I suppose. It'd be nice to see how things go first.
context: That's right! I think if she's given an important role,\she'll gain a little more sense of responsibility.\That will never happen!\Please! Give her a chance!\Please just acknowledge her as the leader!\I'm still against it!\I think Usagi could...\I suppose. It'd be nice to see how things go first. response:	I guess Usagi just doesn't inspire people's trust in the end.
context: she'll gain a little more sense of responsibility.\That will never happen!\Please! Give her a chance!\Please just acknowledge her as the leader!\I'm still against it!\I think Usagi could...\I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end. response:	I still don't know much about her, so...
context: That will never happen!\Please! Give her a chance!\Please just acknowledge her as the leader!\I'm still against it!\I think Usagi could...\I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so... response:	Of course!
context: Please! Give her a chance!\Please just acknowledge her as the leader!\I'm still against it!\I think Usagi could...\I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so...\Of course! response:	Once you get to know Usagi better, I'm sure you'll agree with me!
context: Please just acknowledge her as the leader!\I'm still against it!\I think Usagi could...\I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so...\Of course!\Once you get to know Usagi better, I'm sure you'll agree with me! response:	Hi hi!
context: I'm still against it!\I think Usagi could...\I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so...\Of course!\Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi! response:	Oh, Usagi?
context: I think Usagi could...\I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so...\Of course!\Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi!\Oh, Usagi? response:	Everyone's here discussing something important right now.
context: I suppose. It'd be nice to see how things go first.\I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so...\Of course!\Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi!\Oh, Usagi?\Everyone's here discussing something important right now. response:	Would you mind coming over here?
context: I guess Usagi just doesn't inspire people's trust in the end.\I still don't know much about her, so...\Of course!\Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi!\Oh, Usagi?\Everyone's here discussing something important right now.\Would you mind coming over here? response:	Oh, sorry! But I have to go to Chinatown in Yokohama
context: I still don't know much about her, so...\Of course!\Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi!\Oh, Usagi?\Everyone's here discussing something important right now.\Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama response:	with Naru and Umino to eat tons and tons of good food now.
context: Of course!\Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi!\Oh, Usagi?\Everyone's here discussing something important right now.\Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now. response:	Unbelievable! And at such an important time!
context: Once you get to know Usagi better, I'm sure you'll agree with me!\Hi hi!\Oh, Usagi?\Everyone's here discussing something important right now.\Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time! response:	Chinatown
context: Hi hi!\Oh, Usagi?\Everyone's here discussing something important right now.\Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time!\Chinatown response:	Excuse me, but what's wrong with you two?
context: Oh, Usagi?\Everyone's here discussing something important right now.\Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time!\Chinatown\Excuse me, but what's wrong with you two? response:	You've been so quiet this whole time.
context: Everyone's here discussing something important right now.\Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time!\Chinatown\Excuse me, but what's wrong with you two?\You've been so quiet this whole time. response:	Chinatown is right over there.
context: Would you mind coming over here?\Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time!\Chinatown\Excuse me, but what's wrong with you two?\You've been so quiet this whole time.\Chinatown is right over there. response:	Miss Usagi, you brought lots of money with you, right?
context: Oh, sorry! But I have to go to Chinatown in Yokohama\with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time!\Chinatown\Excuse me, but what's wrong with you two?\You've been so quiet this whole time.\Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right? response:	There are so many tombs,
context: with Naru and Umino to eat tons and tons of good food now.\Unbelievable! And at such an important time!\Chinatown\Excuse me, but what's wrong with you two?\You've been so quiet this whole time.\Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right?\There are so many tombs, response:	but I guess there isn't one for Mr. Nephrite.
context: Unbelievable! And at such an important time!\Chinatown\Excuse me, but what's wrong with you two?\You've been so quiet this whole time.\Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right?\There are so many tombs,\but I guess there isn't one for Mr. Nephrite. response:	Naru...
context: Chinatown\Excuse me, but what's wrong with you two?\You've been so quiet this whole time.\Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right?\There are so many tombs,\but I guess there isn't one for Mr. Nephrite.\Naru... response:	I know! I want some Peking duck!
context: Excuse me, but what's wrong with you two?\You've been so quiet this whole time.\Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right?\There are so many tombs,\but I guess there isn't one for Mr. Nephrite.\Naru...\I know! I want some Peking duck! response:	I've never had it before.
context: You've been so quiet this whole time.\Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right?\There are so many tombs,\but I guess there isn't one for Mr. Nephrite.\Naru...\I know! I want some Peking duck!\I've never had it before. response:	Wow! I can't wait!
context: Chinatown is right over there.\Miss Usagi, you brought lots of money with you, right?\There are so many tombs,\but I guess there isn't one for Mr. Nephrite.\Naru...\I know! I want some Peking duck!\I've never had it before.\Wow! I can't wait! response:	I'll finally get to taste the Peking duck I've always dreamed of!
context: Miss Usagi, you brought lots of money with you, right?\There are so many tombs,\but I guess there isn't one for Mr. Nephrite.\Naru...\I know! I want some Peking duck!\I've never had it before.\Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of! response:	I see! So, you want to become a Peking duck that badly?!
context: There are so many tombs,\but I guess there isn't one for Mr. Nephrite.\Naru...\I know! I want some Peking duck!\I've never had it before.\Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?! response:	No, I want to eat it.
context: but I guess there isn't one for Mr. Nephrite.\Naru...\I know! I want some Peking duck!\I've never had it before.\Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?!\No, I want to eat it. response:	Oh? Where's Naru?
context: Naru...\I know! I want some Peking duck!\I've never had it before.\Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?!\No, I want to eat it.\Oh? Where's Naru? response:	What? Naru!
context: I know! I want some Peking duck!\I've never had it before.\Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?!\No, I want to eat it.\Oh? Where's Naru?\What? Naru! response:	Father!
context: I've never had it before.\Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?!\No, I want to eat it.\Oh? Where's Naru?\What? Naru!\Father! response:	I want to you to tell me! What should I do?
context: Wow! I can't wait!\I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?!\No, I want to eat it.\Oh? Where's Naru?\What? Naru!\Father!\I want to you to tell me! What should I do? response:	Someone very precious to me died...
context: I'll finally get to taste the Peking duck I've always dreamed of!\I see! So, you want to become a Peking duck that badly?!\No, I want to eat it.\Oh? Where's Naru?\What? Naru!\Father!\I want to you to tell me! What should I do?\Someone very precious to me died... response:	He suffered so much, but I couldn't help him.
context: I see! So, you want to become a Peking duck that badly?!\No, I want to eat it.\Oh? Where's Naru?\What? Naru!\Father!\I want to you to tell me! What should I do?\Someone very precious to me died...\He suffered so much, but I couldn't help him. response:	You have a very beautiful heart.
context: No, I want to eat it.\Oh? Where's Naru?\What? Naru!\Father!\I want to you to tell me! What should I do?\Someone very precious to me died...\He suffered so much, but I couldn't help him.\You have a very beautiful heart. response:	I am sure that person's soul was saved.
context: Oh? Where's Naru?\What? Naru!\Father!\I want to you to tell me! What should I do?\Someone very precious to me died...\He suffered so much, but I couldn't help him.\You have a very beautiful heart.\I am sure that person's soul was saved. response:	But now that I've lost him, I have nothing left.
context: What? Naru!\Father!\I want to you to tell me! What should I do?\Someone very precious to me died...\He suffered so much, but I couldn't help him.\You have a very beautiful heart.\I am sure that person's soul was saved.\But now that I've lost him, I have nothing left. response:	That is not true. Love will be right next to you before you know it.
context: Father!\I want to you to tell me! What should I do?\Someone very precious to me died...\He suffered so much, but I couldn't help him.\You have a very beautiful heart.\I am sure that person's soul was saved.\But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it. response:	Turn around and you will find love.
context: I want to you to tell me! What should I do?\Someone very precious to me died...\He suffered so much, but I couldn't help him.\You have a very beautiful heart.\I am sure that person's soul was saved.\But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it.\Turn around and you will find love. response:	If I turn around, there will be love?
context: Someone very precious to me died...\He suffered so much, but I couldn't help him.\You have a very beautiful heart.\I am sure that person's soul was saved.\But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it.\Turn around and you will find love.\If I turn around, there will be love? response:	You're...
context: He suffered so much, but I couldn't help him.\You have a very beautiful heart.\I am sure that person's soul was saved.\But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it.\Turn around and you will find love.\If I turn around, there will be love?\You're... response:	My, my.
context: You have a very beautiful heart.\I am sure that person's soul was saved.\But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it.\Turn around and you will find love.\If I turn around, there will be love?\You're...\My, my. response:	You're the person...
context: I am sure that person's soul was saved.\But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it.\Turn around and you will find love.\If I turn around, there will be love?\You're...\My, my.\You're the person... response:	What a coincidence. Fancy meeting you here.
context: But now that I've lost him, I have nothing left.\That is not true. Love will be right next to you before you know it.\Turn around and you will find love.\If I turn around, there will be love?\You're...\My, my.\You're the person...\What a coincidence. Fancy meeting you here. response:	Naru!
context: That is not true. Love will be right next to you before you know it.\Turn around and you will find love.\If I turn around, there will be love?\You're...\My, my.\You're the person...\What a coincidence. Fancy meeting you here.\Naru! response:	Naru!
context: Turn around and you will find love.\If I turn around, there will be love?\You're...\My, my.\You're the person...\What a coincidence. Fancy meeting you here.\Naru!\Naru! response:	Where in the world did she go?
context: If I turn around, there will be love?\You're...\My, my.\You're the person...\What a coincidence. Fancy meeting you here.\Naru!\Naru!\Where in the world did she go? response:	What?!
context: You're...\My, my.\You're the person...\What a coincidence. Fancy meeting you here.\Naru!\Naru!\Where in the world did she go?\What?! response:	Emergency! The wand is responding!
context: My, my.\You're the person...\What a coincidence. Fancy meeting you here.\Naru!\Naru!\Where in the world did she go?\What?!\Emergency! The wand is responding! response:	Luna! Why are you here?!
context: You're the person...\What a coincidence. Fancy meeting you here.\Naru!\Naru!\Where in the world did she go?\What?!\Emergency! The wand is responding!\Luna! Why are you here?! response:	Never mind that! Hurry up and take the wand out of your bag!
context: What a coincidence. Fancy meeting you here.\Naru!\Naru!\Where in the world did she go?\What?!\Emergency! The wand is responding!\Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag! response:	Okay!
context: Naru!\Naru!\Where in the world did she go?\What?!\Emergency! The wand is responding!\Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag!\Okay! response:	That wand is telling us the location of the seven rainbow crystals!
context: Naru!\Where in the world did she go?\What?!\Emergency! The wand is responding!\Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag!\Okay!\That wand is telling us the location of the seven rainbow crystals! response:	The seven rainbow crystals?
context: Where in the world did she go?\What?!\Emergency! The wand is responding!\Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag!\Okay!\That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals? response:	I'll explain everything later!
context: What?!\Emergency! The wand is responding!\Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag!\Okay!\That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals?\I'll explain everything later! response:	There's a chance a monster will appear where the wand is pointing to!
context: Emergency! The wand is responding!\Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag!\Okay!\That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals?\I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to! response:	What?!
context: Luna! Why are you here?!\Never mind that! Hurry up and take the wand out of your bag!\Okay!\That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals?\I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to!\What?! response:	Use the transmitter to call Mako!
context: Never mind that! Hurry up and take the wand out of your bag!\Okay!\That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals?\I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to!\What?!\Use the transmitter to call Mako! response:	Mako's around here, too?!
context: Okay!\That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals?\I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to!\What?!\Use the transmitter to call Mako!\Mako's around here, too?! response:	Chinatown Okay, so the origin of the signal is in the cemetery?
context: That wand is telling us the location of the seven rainbow crystals!\The seven rainbow crystals?\I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to!\What?!\Use the transmitter to call Mako!\Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery? response:	I will be right there!
context: The seven rainbow crystals?\I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to!\What?!\Use the transmitter to call Mako!\Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there! response:	The response is getting stronger.
context: I'll explain everything later!\There's a chance a monster will appear where the wand is pointing to!\What?!\Use the transmitter to call Mako!\Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there!\The response is getting stronger. response:	Hurry!
context: There's a chance a monster will appear where the wand is pointing to!\What?!\Use the transmitter to call Mako!\Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there!\The response is getting stronger.\Hurry! response:	Who are you?
context: What?!\Use the transmitter to call Mako!\Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there!\The response is getting stronger.\Hurry!\Who are you? response:	Wouldn't you rather learn more about yourself?
context: Use the transmitter to call Mako!\Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there!\The response is getting stronger.\Hurry!\Who are you?\Wouldn't you rather learn more about yourself? response:	I am just a simple priest.
context: Mako's around here, too?!\Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there!\The response is getting stronger.\Hurry!\Who are you?\Wouldn't you rather learn more about yourself?\I am just a simple priest. response:	Do you really think so?
context: Chinatown Okay, so the origin of the signal is in the cemetery?\I will be right there!\The response is getting stronger.\Hurry!\Who are you?\Wouldn't you rather learn more about yourself?\I am just a simple priest.\Do you really think so? response:	This Black Crystal here will tell us who you really are.
context: I will be right there!\The response is getting stronger.\Hurry!\Who are you?\Wouldn't you rather learn more about yourself?\I am just a simple priest.\Do you really think so?\This Black Crystal here will tell us who you really are. response:	That was Mr. Nephrite's... Don't!
context: The response is getting stronger.\Hurry!\Who are you?\Wouldn't you rather learn more about yourself?\I am just a simple priest.\Do you really think so?\This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't! response:	Let go!
context: Hurry!\Who are you?\Wouldn't you rather learn more about yourself?\I am just a simple priest.\Do you really think so?\This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't!\Let go! response:	Please don't do any more bad things! Let go!
context: Who are you?\Wouldn't you rather learn more about yourself?\I am just a simple priest.\Do you really think so?\This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't!\Let go!\Please don't do any more bad things! Let go! response:	Please don't do any more bad things!
context: Wouldn't you rather learn more about yourself?\I am just a simple priest.\Do you really think so?\This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't!\Let go!\Please don't do any more bad things! Let go!\Please don't do any more bad things! response:	Oh, no! Naru!
context: I am just a simple priest.\Do you really think so?\This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't!\Let go!\Please don't do any more bad things! Let go!\Please don't do any more bad things!\Oh, no! Naru! response:	Wait until Mako comes!
context: Do you really think so?\This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't!\Let go!\Please don't do any more bad things! Let go!\Please don't do any more bad things!\Oh, no! Naru!\Wait until Mako comes! response:	Naru is in danger! I can't wait!
context: This Black Crystal here will tell us who you really are.\That was Mr. Nephrite's... Don't!\Let go!\Please don't do any more bad things! Let go!\Please don't do any more bad things!\Oh, no! Naru!\Wait until Mako comes!\Naru is in danger! I can't wait! response:	Moon Prism Power Makeup!
context: That was Mr. Nephrite's... Don't!\Let go!\Please don't do any more bad things! Let go!\Please don't do any more bad things!\Oh, no! Naru!\Wait until Mako comes!\Naru is in danger! I can't wait!\Moon Prism Power Makeup! response:	Stop this violence!
context: Let go!\Please don't do any more bad things! Let go!\Please don't do any more bad things!\Oh, no! Naru!\Wait until Mako comes!\Naru is in danger! I can't wait!\Moon Prism Power Makeup!\Stop this violence! response:	Why don't you worry about yourself instead?
context: Please don't do any more bad things! Let go!\Please don't do any more bad things!\Oh, no! Naru!\Wait until Mako comes!\Naru is in danger! I can't wait!\Moon Prism Power Makeup!\Stop this violence!\Why don't you worry about yourself instead? response:	That's as far as you go!
context: Please don't do any more bad things!\Oh, no! Naru!\Wait until Mako comes!\Naru is in danger! I can't wait!\Moon Prism Power Makeup!\Stop this violence!\Why don't you worry about yourself instead?\That's as far as you go! response:	Who's there?!
context: Oh, no! Naru!\Wait until Mako comes!\Naru is in danger! I can't wait!\Moon Prism Power Makeup!\Stop this violence!\Why don't you worry about yourself instead?\That's as far as you go!\Who's there?! response:	Sailor Moon!
context: Wait until Mako comes!\Naru is in danger! I can't wait!\Moon Prism Power Makeup!\Stop this violence!\Why don't you worry about yourself instead?\That's as far as you go!\Who's there?!\Sailor Moon! response:	Committing evil deeds in a sacred place...
context: Naru is in danger! I can't wait!\Moon Prism Power Makeup!\Stop this violence!\Why don't you worry about yourself instead?\That's as far as you go!\Who's there?!\Sailor Moon!\Committing evil deeds in a sacred place... response:	You're not getting away with this anymore!
context: Moon Prism Power Makeup!\Stop this violence!\Why don't you worry about yourself instead?\That's as far as you go!\Who's there?!\Sailor Moon!\Committing evil deeds in a sacred place...\You're not getting away with this anymore! response:	In the name of the moon, I will punish you!
context: Stop this violence!\Why don't you worry about yourself instead?\That's as far as you go!\Who's there?!\Sailor Moon!\Committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of the moon, I will punish you! response:	So, you've shown up.
context: Why don't you worry about yourself instead?\That's as far as you go!\Who's there?!\Sailor Moon!\Committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of the moon, I will punish you!\So, you've shown up. response:	But you're too late. The rainbow crystal is mine!
context: That's as far as you go!\Who's there?!\Sailor Moon!\Committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of the moon, I will punish you!\So, you've shown up.\But you're too late. The rainbow crystal is mine! response:	Zoi!
context: Who's there?!\Sailor Moon!\Committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of the moon, I will punish you!\So, you've shown up.\But you're too late. The rainbow crystal is mine!\Zoi! response:	Shoot!
context: Sailor Moon!\Committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of the moon, I will punish you!\So, you've shown up.\But you're too late. The rainbow crystal is mine!\Zoi!\Shoot! response:	That's...
context: Committing evil deeds in a sacred place...\You're not getting away with this anymore!\In the name of the moon, I will punish you!\So, you've shown up.\But you're too late. The rainbow crystal is mine!\Zoi!\Shoot!\That's... response:	I see it! Come forth, rainbow crystal!
context: You're not getting away with this anymore!\In the name of the moon, I will punish you!\So, you've shown up.\But you're too late. The rainbow crystal is mine!\Zoi!\Shoot!\That's...\I see it! Come forth, rainbow crystal! response:	Father!
context: In the name of the moon, I will punish you!\So, you've shown up.\But you're too late. The rainbow crystal is mine!\Zoi!\Shoot!\That's...\I see it! Come forth, rainbow crystal!\Father! response:	A rainbow crystal...
context: So, you've shown up.\But you're too late. The rainbow crystal is mine!\Zoi!\Shoot!\That's...\I see it! Come forth, rainbow crystal!\Father!\A rainbow crystal... response:	Father!
context: But you're too late. The rainbow crystal is mine!\Zoi!\Shoot!\That's...\I see it! Come forth, rainbow crystal!\Father!\A rainbow crystal...\Father! response:	Where is the rainbow crystal?
context: Zoi!\Shoot!\That's...\I see it! Come forth, rainbow crystal!\Father!\A rainbow crystal...\Father!\Where is the rainbow crystal? response:	Father...
context: Shoot!\That's...\I see it! Come forth, rainbow crystal!\Father!\A rainbow crystal...\Father!\Where is the rainbow crystal?\Father... response:	Wrong! I am not a priest!
context: That's...\I see it! Come forth, rainbow crystal!\Father!\A rainbow crystal...\Father!\Where is the rainbow crystal?\Father...\Wrong! I am not a priest! response:	That's right. I am the monster Boxsy!
context: I see it! Come forth, rainbow crystal!\Father!\A rainbow crystal...\Father!\Where is the rainbow crystal?\Father...\Wrong! I am not a priest!\That's right. I am the monster Boxsy! response:	You can't be...
context: Father!\A rainbow crystal...\Father!\Where is the rainbow crystal?\Father...\Wrong! I am not a priest!\That's right. I am the monster Boxsy!\You can't be... response:	I can hear the crowd cheering me on.
context: A rainbow crystal...\Father!\Where is the rainbow crystal?\Father...\Wrong! I am not a priest!\That's right. I am the monster Boxsy!\You can't be...\I can hear the crowd cheering me on. response:	I am a champion! Wow!
context: Father!\Where is the rainbow crystal?\Father...\Wrong! I am not a priest!\That's right. I am the monster Boxsy!\You can't be...\I can hear the crowd cheering me on.\I am a champion! Wow! response:	Boxsy, knock out Sailor Moon!
context: Where is the rainbow crystal?\Father...\Wrong! I am not a priest!\That's right. I am the monster Boxsy!\You can't be...\I can hear the crowd cheering me on.\I am a champion! Wow!\Boxsy, knock out Sailor Moon! response:	Hey, wait! I'm not a boxer!
context: Father...\Wrong! I am not a priest!\That's right. I am the monster Boxsy!\You can't be...\I can hear the crowd cheering me on.\I am a champion! Wow!\Boxsy, knock out Sailor Moon!\Hey, wait! I'm not a boxer! response:	All right! We'll have a fight to see who's the real champ!
