context: *grunt* response:	OH NO SHE DIDN'!
context: You were completely in character, Rio.\If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason.\That's right. We picked up this business after the ones before us.\And Rio's never been against it.\I was a bit surprised too.\Well, I was surprised myself at first. response:	This calvados
context: If anyone discovered that we're distilling this, we'd have more than a court-martial on our hands.\Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason.\That's right. We picked up this business after the ones before us.\And Rio's never been against it.\I was a bit surprised too.\Well, I was surprised myself at first.\This calvados response:	was my mother's favorite.
context: Direct violations of the anti-trust laws and tax laws.\At worst, charges of treason.\That's right. We picked up this business after the ones before us.\And Rio's never been against it.\I was a bit surprised too.\Well, I was surprised myself at first.\This calvados\was my mother's favorite. response:	And it was made here at the fortress.
context: At worst, charges of treason.\That's right. We picked up this business after the ones before us.\And Rio's never been against it.\I was a bit surprised too.\Well, I was surprised myself at first.\This calvados\was my mother's favorite.\And it was made here at the fortress. response:	Then maybe your mother was responsible for your station here.
context: That's right. We picked up this business after the ones before us.\And Rio's never been against it.\I was a bit surprised too.\Well, I was surprised myself at first.\This calvados\was my mother's favorite.\And it was made here at the fortress.\Then maybe your mother was responsible for your station here. response:	Sound of the Skies
context: And Rio's never been against it.\I was a bit surprised too.\Well, I was surprised myself at first.\This calvados\was my mother's favorite.\And it was made here at the fortress.\Then maybe your mother was responsible for your station here.\Sound of the Skies response:	Sound of the Skies
context: I was a bit surprised too.\Well, I was surprised myself at first.\This calvados\was my mother's favorite.\And it was made here at the fortress.\Then maybe your mother was responsible for your station here.\Sound of the Skies\Sound of the Skies response:	I'll be going then!
context: Well, I was surprised myself at first.\This calvados\was my mother's favorite.\And it was made here at the fortress.\Then maybe your mother was responsible for your station here.\Sound of the Skies\Sound of the Skies\I'll be going then! response:	Sister Yumina!
context: This calvados\was my mother's favorite.\And it was made here at the fortress.\Then maybe your mother was responsible for your station here.\Sound of the Skies\Sound of the Skies\I'll be going then!\Sister Yumina! response:	I'm done! Look!
context: was my mother's favorite.\And it was made here at the fortress.\Then maybe your mother was responsible for your station here.\Sound of the Skies\Sound of the Skies\I'll be going then!\Sister Yumina!\I'm done! Look! response:	It's wonderful, Seiya.
context: And it was made here at the fortress.\Then maybe your mother was responsible for your station here.\Sound of the Skies\Sound of the Skies\I'll be going then!\Sister Yumina!\I'm done! Look!\It's wonderful, Seiya. response:	Mishio.
context: Then maybe your mother was responsible for your station here.\Sound of the Skies\Sound of the Skies\I'll be going then!\Sister Yumina!\I'm done! Look!\It's wonderful, Seiya.\Mishio. response:	Today is their first visit to the church.
context: Sound of the Skies\Sound of the Skies\I'll be going then!\Sister Yumina!\I'm done! Look!\It's wonderful, Seiya.\Mishio.\Today is their first visit to the church. response:	The priest will be there today. So, just for today...
context: Sound of the Skies\I'll be going then!\Sister Yumina!\I'm done! Look!\It's wonderful, Seiya.\Mishio.\Today is their first visit to the church.\The priest will be there today. So, just for today... response:	No!
context: I'll be going then!\Sister Yumina!\I'm done! Look!\It's wonderful, Seiya.\Mishio.\Today is their first visit to the church.\The priest will be there today. So, just for today...\No! response:	Don't start causing her problems now. At least let her do your hair.
context: Sister Yumina!\I'm done! Look!\It's wonderful, Seiya.\Mishio.\Today is their first visit to the church.\The priest will be there today. So, just for today...\No!\Don't start causing her problems now. At least let her do your hair. response:	No! I won't let her!
context: I'm done! Look!\It's wonderful, Seiya.\Mishio.\Today is their first visit to the church.\The priest will be there today. So, just for today...\No!\Don't start causing her problems now. At least let her do your hair.\No! I won't let her! response:	Why not? You always tell me to do it!
context: It's wonderful, Seiya.\Mishio.\Today is their first visit to the church.\The priest will be there today. So, just for today...\No!\Don't start causing her problems now. At least let her do your hair.\No! I won't let her!\Why not? You always tell me to do it! response:	Shut up, Seiya!
context: Mishio.\Today is their first visit to the church.\The priest will be there today. So, just for today...\No!\Don't start causing her problems now. At least let her do your hair.\No! I won't let her!\Why not? You always tell me to do it!\Shut up, Seiya! response:	You can't do that, Mishio.
context: Today is their first visit to the church.\The priest will be there today. So, just for today...\No!\Don't start causing her problems now. At least let her do your hair.\No! I won't let her!\Why not? You always tell me to do it!\Shut up, Seiya!\You can't do that, Mishio. response:	Mishio!
context: The priest will be there today. So, just for today...\No!\Don't start causing her problems now. At least let her do your hair.\No! I won't let her!\Why not? You always tell me to do it!\Shut up, Seiya!\You can't do that, Mishio.\Mishio! response:	Y10.25.
context: No!\Don't start causing her problems now. At least let her do your hair.\No! I won't let her!\Why not? You always tell me to do it!\Shut up, Seiya!\You can't do that, Mishio.\Mishio!\Y10.25. response:	Look where you're going, girl.
context: Don't start causing her problems now. At least let her do your hair.\No! I won't let her!\Why not? You always tell me to do it!\Shut up, Seiya!\You can't do that, Mishio.\Mishio!\Y10.25.\Look where you're going, girl. response:	I'm sorry, I didn't notice you there.
context: No! I won't let her!\Why not? You always tell me to do it!\Shut up, Seiya!\You can't do that, Mishio.\Mishio!\Y10.25.\Look where you're going, girl.\I'm sorry, I didn't notice you there. response:	Seriously, these bumpkins.
context: Why not? You always tell me to do it!\Shut up, Seiya!\You can't do that, Mishio.\Mishio!\Y10.25.\Look where you're going, girl.\I'm sorry, I didn't notice you there.\Seriously, these bumpkins. response:	They're the problem.
context: Shut up, Seiya!\You can't do that, Mishio.\Mishio!\Y10.25.\Look where you're going, girl.\I'm sorry, I didn't notice you there.\Seriously, these bumpkins.\They're the problem. response:	It seems they've heard about our business.
context: You can't do that, Mishio.\Mishio!\Y10.25.\Look where you're going, girl.\I'm sorry, I didn't notice you there.\Seriously, these bumpkins.\They're the problem.\It seems they've heard about our business. response:	Are you okay?
context: Mishio!\Y10.25.\Look where you're going, girl.\I'm sorry, I didn't notice you there.\Seriously, these bumpkins.\They're the problem.\It seems they've heard about our business.\Are you okay? response:	Yes.
context: Y10.25.\Look where you're going, girl.\I'm sorry, I didn't notice you there.\Seriously, these bumpkins.\They're the problem.\It seems they've heard about our business.\Are you okay?\Yes. response:	But Miss Naomi, tell me, what should I do?
context: Look where you're going, girl.\I'm sorry, I didn't notice you there.\Seriously, these bumpkins.\They're the problem.\It seems they've heard about our business.\Are you okay?\Yes.\But Miss Naomi, tell me, what should I do? response:	This is the first time I've had enough money in my purse to buy it!
context: I'm sorry, I didn't notice you there.\Seriously, these bumpkins.\They're the problem.\It seems they've heard about our business.\Are you okay?\Yes.\But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it! response:	If I ask for it, I could just buy it.
context: Seriously, these bumpkins.\They're the problem.\It seems they've heard about our business.\Are you okay?\Yes.\But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it. response:	What if someone came in and wanted to buy that dolphin?
context: They're the problem.\It seems they've heard about our business.\Are you okay?\Yes.\But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin? response:	Did someone say they wanted to buy it?
context: It seems they've heard about our business.\Are you okay?\Yes.\But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it? response:	No, just a hypothetical question.
context: Are you okay?\Yes.\But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it?\No, just a hypothetical question. response:	Let's see... I would...
context: Yes.\But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it?\No, just a hypothetical question.\Let's see... I would... response:	Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!
context: But Miss Naomi, tell me, what should I do?\This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it?\No, just a hypothetical question.\Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it! response:	Oh! You're a genius!
context: This is the first time I've had enough money in my purse to buy it!\If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it?\No, just a hypothetical question.\Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius! response:	Oh, and that dolphin.
context: If I ask for it, I could just buy it.\What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it?\No, just a hypothetical question.\Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius!\Oh, and that dolphin. response:	I'll keep it until you say you don't want it anymore, so relax and worry all you want.
context: What if someone came in and wanted to buy that dolphin?\Did someone say they wanted to buy it?\No, just a hypothetical question.\Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius!\Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want. response:	Then I'll buy everyone's souvenirs first.
context: Did someone say they wanted to buy it?\No, just a hypothetical question.\Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius!\Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first. response:	Let's see... Dad, Mom, Grandpa, Grandma,
context: No, just a hypothetical question.\Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius!\Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma, response:	Grandma and Grandpa Warren, Great-grandma,
context: Let's see... I would...\Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius!\Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma, response:	and Grandma Nanae next door!
context: Right! I would tell them that dolphins were really scary people-eating animals and make sure they didn't buy it!\Oh! You're a genius!\Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door! response:	Wow!
context: Oh! You're a genius!\Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door!\Wow! response:	There's so much stuff to choose!
context: Oh, and that dolphin.\I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door!\Wow!\There's so much stuff to choose! response:	Like this!
context: I'll keep it until you say you don't want it anymore, so relax and worry all you want.\Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door!\Wow!\There's so much stuff to choose!\Like this! response:	Sorry, but no.
context: Then I'll buy everyone's souvenirs first.\Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door!\Wow!\There's so much stuff to choose!\Like this!\Sorry, but no. response:	Oh, Mishio?
context: Let's see... Dad, Mom, Grandpa, Grandma,\Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door!\Wow!\There's so much stuff to choose!\Like this!\Sorry, but no.\Oh, Mishio? response:	Are you out shopping?
context: Grandma and Grandpa Warren, Great-grandma,\and Grandma Nanae next door!\Wow!\There's so much stuff to choose!\Like this!\Sorry, but no.\Oh, Mishio?\Are you out shopping? response:	It looks like she's looking for a box.
context: and Grandma Nanae next door!\Wow!\There's so much stuff to choose!\Like this!\Sorry, but no.\Oh, Mishio?\Are you out shopping?\It looks like she's looking for a box. response:	A box?
context: Wow!\There's so much stuff to choose!\Like this!\Sorry, but no.\Oh, Mishio?\Are you out shopping?\It looks like she's looking for a box.\A box? response:	Like this. Did you see one?
context: There's so much stuff to choose!\Like this!\Sorry, but no.\Oh, Mishio?\Are you out shopping?\It looks like she's looking for a box.\A box?\Like this. Did you see one? response:	Sorry.
context: Like this!\Sorry, but no.\Oh, Mishio?\Are you out shopping?\It looks like she's looking for a box.\A box?\Like this. Did you see one?\Sorry. response:	Should I help you look for it?
context: Sorry, but no.\Oh, Mishio?\Are you out shopping?\It looks like she's looking for a box.\A box?\Like this. Did you see one?\Sorry.\Should I help you look for it? response:	What are you doing here, Kanata?
context: Oh, Mishio?\Are you out shopping?\It looks like she's looking for a box.\A box?\Like this. Did you see one?\Sorry.\Should I help you look for it?\What are you doing here, Kanata? response:	I'm here to buy souvenirs.
context: Are you out shopping?\It looks like she's looking for a box.\A box?\Like this. Did you see one?\Sorry.\Should I help you look for it?\What are you doing here, Kanata?\I'm here to buy souvenirs. response:	I was looking for something wonderful to send to my family back home.
context: It looks like she's looking for a box.\A box?\Like this. Did you see one?\Sorry.\Should I help you look for it?\What are you doing here, Kanata?\I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home. response:	But I'm not in a hurry-
context: A box?\Like this. Did you see one?\Sorry.\Should I help you look for it?\What are you doing here, Kanata?\I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home.\But I'm not in a hurry- response:	I don't need your help!
context: Like this. Did you see one?\Sorry.\Should I help you look for it?\What are you doing here, Kanata?\I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home.\But I'm not in a hurry-\I don't need your help! response:	I wonder why Mishio said that...
context: Sorry.\Should I help you look for it?\What are you doing here, Kanata?\I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home.\But I'm not in a hurry-\I don't need your help!\I wonder why Mishio said that... response:	This is a bit...
context: Should I help you look for it?\What are you doing here, Kanata?\I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home.\But I'm not in a hurry-\I don't need your help!\I wonder why Mishio said that...\This is a bit... response:	Oh, that's quite nice.
context: What are you doing here, Kanata?\I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home.\But I'm not in a hurry-\I don't need your help!\I wonder why Mishio said that...\This is a bit...\Oh, that's quite nice. response:	This one is nice too.
context: I'm here to buy souvenirs.\I was looking for something wonderful to send to my family back home.\But I'm not in a hurry-\I don't need your help!\I wonder why Mishio said that...\This is a bit...\Oh, that's quite nice.\This one is nice too. response:	Sister Yumina?
context: I was looking for something wonderful to send to my family back home.\But I'm not in a hurry-\I don't need your help!\I wonder why Mishio said that...\This is a bit...\Oh, that's quite nice.\This one is nice too.\Sister Yumina? response:	Excuse me, Miss Kanata.
context: But I'm not in a hurry-\I don't need your help!\I wonder why Mishio said that...\This is a bit...\Oh, that's quite nice.\This one is nice too.\Sister Yumina?\Excuse me, Miss Kanata. response:	Have you seen Mishio?
context: I don't need your help!\I wonder why Mishio said that...\This is a bit...\Oh, that's quite nice.\This one is nice too.\Sister Yumina?\Excuse me, Miss Kanata.\Have you seen Mishio? response:	A box?
context: I wonder why Mishio said that...\This is a bit...\Oh, that's quite nice.\This one is nice too.\Sister Yumina?\Excuse me, Miss Kanata.\Have you seen Mishio?\A box? response:	Yes. She said it was important.
context: This is a bit...\Oh, that's quite nice.\This one is nice too.\Sister Yumina?\Excuse me, Miss Kanata.\Have you seen Mishio?\A box?\Yes. She said it was important. response:	Did she...
context: Oh, that's quite nice.\This one is nice too.\Sister Yumina?\Excuse me, Miss Kanata.\Have you seen Mishio?\A box?\Yes. She said it was important.\Did she... response:	When her mother died, all of her family's belonging's were taken from her.
context: This one is nice too.\Sister Yumina?\Excuse me, Miss Kanata.\Have you seen Mishio?\A box?\Yes. She said it was important.\Did she...\When her mother died, all of her family's belonging's were taken from her. response:	It's supposed to be a memento that her mother left her.
context: Sister Yumina?\Excuse me, Miss Kanata.\Have you seen Mishio?\A box?\Yes. She said it was important.\Did she...\When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her. response:	When she heard about the flea market, she thought she might find it.
context: Excuse me, Miss Kanata.\Have you seen Mishio?\A box?\Yes. She said it was important.\Did she...\When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it. response:	I said something wrong.
context: Have you seen Mishio?\A box?\Yes. She said it was important.\Did she...\When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it.\I said something wrong. response:	I received my first paycheck yesterday.
context: A box?\Yes. She said it was important.\Did she...\When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it.\I said something wrong.\I received my first paycheck yesterday. response:	And I told her I was sending presents back home.
context: Yes. She said it was important.\Did she...\When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it.\I said something wrong.\I received my first paycheck yesterday.\And I told her I was sending presents back home. response:	That's okay.
context: Did she...\When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it.\I said something wrong.\I received my first paycheck yesterday.\And I told her I was sending presents back home.\That's okay. response:	I am...
context: When her mother died, all of her family's belonging's were taken from her.\It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it.\I said something wrong.\I received my first paycheck yesterday.\And I told her I was sending presents back home.\That's okay.\I am... response:	We are trying to be her family.
context: It's supposed to be a memento that her mother left her.\When she heard about the flea market, she thought she might find it.\I said something wrong.\I received my first paycheck yesterday.\And I told her I was sending presents back home.\That's okay.\I am...\We are trying to be her family. response:	If she were still jealous of you,
context: When she heard about the flea market, she thought she might find it.\I said something wrong.\I received my first paycheck yesterday.\And I told her I was sending presents back home.\That's okay.\I am...\We are trying to be her family.\If she were still jealous of you, response:	then it's because I'm not good enough.
context: I said something wrong.\I received my first paycheck yesterday.\And I told her I was sending presents back home.\That's okay.\I am...\We are trying to be her family.\If she were still jealous of you,\then it's because I'm not good enough. response:	Mama, which is more important to you, me or your treasure box?
context: I received my first paycheck yesterday.\And I told her I was sending presents back home.\That's okay.\I am...\We are trying to be her family.\If she were still jealous of you,\then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box? response:	You.
context: And I told her I was sending presents back home.\That's okay.\I am...\We are trying to be her family.\If she were still jealous of you,\then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box?\You. response:	Mama...
context: That's okay.\I am...\We are trying to be her family.\If she were still jealous of you,\then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box?\You.\Mama... response:	Mishio...
context: I am...\We are trying to be her family.\If she were still jealous of you,\then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box?\You.\Mama...\Mishio... response:	Mishio!
context: We are trying to be her family.\If she were still jealous of you,\then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box?\You.\Mama...\Mishio...\Mishio! response:	These are Treize's famous firecrackers! They'll crack like thunder! How about'em?
context: If she were still jealous of you,\then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box?\You.\Mama...\Mishio...\Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em? response:	Sister... Sister Yumina...
context: then it's because I'm not good enough.\Mama, which is more important to you, me or your treasure box?\You.\Mama...\Mishio...\Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina... response:	Sister!
context: Mama, which is more important to you, me or your treasure box?\You.\Mama...\Mishio...\Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina...\Sister! response:	Mishio!
context: You.\Mama...\Mishio...\Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina...\Sister!\Mishio! response:	The car!
context: Mama...\Mishio...\Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina...\Sister!\Mishio!\The car! response:	Sorry, but I'm not Yumina.
context: Mishio...\Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina...\Sister!\Mishio!\The car!\Sorry, but I'm not Yumina. response:	Sister! Sister Yumina!
context: Mishio!\These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina...\Sister!\Mishio!\The car!\Sorry, but I'm not Yumina.\Sister! Sister Yumina! response:	Thank you. Keep up the good work.
context: These are Treize's famous firecrackers! They'll crack like thunder! How about'em?\Sister... Sister Yumina...\Sister!\Mishio!\The car!\Sorry, but I'm not Yumina.\Sister! Sister Yumina!\Thank you. Keep up the good work. response:	Now then.
context: Sister... Sister Yumina...\Sister!\Mishio!\The car!\Sorry, but I'm not Yumina.\Sister! Sister Yumina!\Thank you. Keep up the good work.\Now then. response:	Um...
context: Sister!\Mishio!\The car!\Sorry, but I'm not Yumina.\Sister! Sister Yumina!\Thank you. Keep up the good work.\Now then.\Um... response:	Oh, what is it?
context: Mishio!\The car!\Sorry, but I'm not Yumina.\Sister! Sister Yumina!\Thank you. Keep up the good work.\Now then.\Um...\Oh, what is it? response:	Was that car... yours, Miss Naomi?
context: The car!\Sorry, but I'm not Yumina.\Sister! Sister Yumina!\Thank you. Keep up the good work.\Now then.\Um...\Oh, what is it?\Was that car... yours, Miss Naomi? response:	Don't tell me you two did that?
context: Sorry, but I'm not Yumina.\Sister! Sister Yumina!\Thank you. Keep up the good work.\Now then.\Um...\Oh, what is it?\Was that car... yours, Miss Naomi?\Don't tell me you two did that? response:	I'm so sorry! There's Y150 in here, so
context: Sister! Sister Yumina!\Thank you. Keep up the good work.\Now then.\Um...\Oh, what is it?\Was that car... yours, Miss Naomi?\Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so response:	I'll pay-
context: Thank you. Keep up the good work.\Now then.\Um...\Oh, what is it?\Was that car... yours, Miss Naomi?\Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so\I'll pay- response:	Good job, you two.
context: Now then.\Um...\Oh, what is it?\Was that car... yours, Miss Naomi?\Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so\I'll pay-\Good job, you two. response:	You can keep that. I already got my payment.
context: Um...\Oh, what is it?\Was that car... yours, Miss Naomi?\Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so\I'll pay-\Good job, you two.\You can keep that. I already got my payment. response:	Miss Naomi! That box!
context: Oh, what is it?\Was that car... yours, Miss Naomi?\Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so\I'll pay-\Good job, you two.\You can keep that. I already got my payment.\Miss Naomi! That box! response:	These ideographs mean beautiful rice stalk.
context: Was that car... yours, Miss Naomi?\Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so\I'll pay-\Good job, you two.\You can keep that. I already got my payment.\Miss Naomi! That box!\These ideographs mean beautiful rice stalk. response:	Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.
context: Don't tell me you two did that?\I'm so sorry! There's Y150 in here, so\I'll pay-\Good job, you two.\You can keep that. I already got my payment.\Miss Naomi! That box!\These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice. response:	My...
context: I'm so sorry! There's Y150 in here, so\I'll pay-\Good job, you two.\You can keep that. I already got my payment.\Miss Naomi! That box!\These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My... response:	Miho, aren't you so happy to receive such a great fortune?
context: I'll pay-\Good job, you two.\You can keep that. I already got my payment.\Miss Naomi! That box!\These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My...\Miho, aren't you so happy to receive such a great fortune? response:	Did you find Mishio?
context: Good job, you two.\You can keep that. I already got my payment.\Miss Naomi! That box!\These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My...\Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio? response:	I thought I had done everything to be her family,
context: You can keep that. I already got my payment.\Miss Naomi! That box!\These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My...\Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio?\I thought I had done everything to be her family, response:	but I'm still not good enough.
context: Miss Naomi! That box!\These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My...\Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio?\I thought I had done everything to be her family,\but I'm still not good enough. response:	No, you are trying hard.
context: These ideographs mean beautiful rice stalk.\Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My...\Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio?\I thought I had done everything to be her family,\but I'm still not good enough.\No, you are trying hard. response:	Mishio!
context: Carve them into her seal and I assure you she will have a life as full of happiness as a bountiful field of rice.\My...\Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio?\I thought I had done everything to be her family,\but I'm still not good enough.\No, you are trying hard.\Mishio! response:	Wonderful! You found it!
context: My...\Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio?\I thought I had done everything to be her family,\but I'm still not good enough.\No, you are trying hard.\Mishio!\Wonderful! You found it! response:	Take good care of it.
context: Miho, aren't you so happy to receive such a great fortune?\Did you find Mishio?\I thought I had done everything to be her family,\but I'm still not good enough.\No, you are trying hard.\Mishio!\Wonderful! You found it!\Take good care of it. response:	It's an irreplaceable memento from your mother.
context: Did you find Mishio?\I thought I had done everything to be her family,\but I'm still not good enough.\No, you are trying hard.\Mishio!\Wonderful! You found it!\Take good care of it.\It's an irreplaceable memento from your mother. response:	No.
context: I thought I had done everything to be her family,\but I'm still not good enough.\No, you are trying hard.\Mishio!\Wonderful! You found it!\Take good care of it.\It's an irreplaceable memento from your mother.\No. response:	This box...
context: but I'm still not good enough.\No, you are trying hard.\Mishio!\Wonderful! You found it!\Take good care of it.\It's an irreplaceable memento from your mother.\No.\This box... response:	I want you to have this.
context: No, you are trying hard.\Mishio!\Wonderful! You found it!\Take good care of it.\It's an irreplaceable memento from your mother.\No.\This box...\I want you to have this. response:	Mishio was taken in by the church after she lost her mother.
context: Mishio!\Wonderful! You found it!\Take good care of it.\It's an irreplaceable memento from your mother.\No.\This box...\I want you to have this.\Mishio was taken in by the church after she lost her mother. response:	Her father was sent to the front lines and never returned.
context: Wonderful! You found it!\Take good care of it.\It's an irreplaceable memento from your mother.\No.\This box...\I want you to have this.\Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned. response:	And her mother?
context: Take good care of it.\It's an irreplaceable memento from your mother.\No.\This box...\I want you to have this.\Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned.\And her mother? response:	Mishio's family lived on the Eastern region of Vingt-et-Un
context: It's an irreplaceable memento from your mother.\No.\This box...\I want you to have this.\Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned.\And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un response:	Not that...
context: No.\This box...\I want you to have this.\Mishio was taken in by the church after she lost her mother.\Her father was sent to the front lines and never returned.\And her mother?\Mishio's family lived on the Eastern region of Vingt-et-Un\Not that... response:	Yes, the town stricken by the Invisible Death.
