context: With all my strength... response:	I'll do what I can right now!
context: and you're Midoriya Deku, right?\Deku?!\Huh?\But during the fitness test, the boy named Bakugou said\Deku, you bastard!\Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult? response:	Oh, is that right?
context: Deku?!\Huh?\But during the fitness test, the boy named Bakugou said\Deku, you bastard!\Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult?\Oh, is that right? response:	Sorry!
context: Huh?\But during the fitness test, the boy named Bakugou said\Deku, you bastard!\Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult?\Oh, is that right?\Sorry! response:	But Deku sounds like the Japanese word for You can do it!
context: But during the fitness test, the boy named Bakugou said\Deku, you bastard!\Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult?\Oh, is that right?\Sorry!\But Deku sounds like the Japanese word for You can do it! response:	so I kinda like it.
context: Deku, you bastard!\Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult?\Oh, is that right?\Sorry!\But Deku sounds like the Japanese word for You can do it!\so I kinda like it. response:	I'm Deku!
context: Right?\Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult?\Oh, is that right?\Sorry!\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\I'm Deku! response:	Midoriya?
context: Uh... my real name is Izuku, but D-Deku is what Kacchan calls me to make fun of me...\An insult?\Oh, is that right?\Sorry!\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\I'm Deku!\Midoriya? response:	You're accepting it too easily!
context: An insult?\Oh, is that right?\Sorry!\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\I'm Deku!\Midoriya?\You're accepting it too easily! response:	Wasn't that an insult?
context: Oh, is that right?\Sorry!\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\I'm Deku!\Midoriya?\You're accepting it too easily!\Wasn't that an insult? response:	It's like a Copernican Revolution...
context: Sorry!\But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\I'm Deku!\Midoriya?\You're accepting it too easily!\Wasn't that an insult?\It's like a Copernican Revolution... response:	Co-pe?
context: But Deku sounds like the Japanese word for You can do it!\so I kinda like it.\I'm Deku!\Midoriya?\You're accepting it too easily!\Wasn't that an insult?\It's like a Copernican Revolution...\Co-pe? response:	There are so many things I can't do.
context: so I kinda like it.\I'm Deku!\Midoriya?\You're accepting it too easily!\Wasn't that an insult?\It's like a Copernican Revolution...\Co-pe?\There are so many things I can't do. response:	I have to work hard and do my best.
context: I'm Deku!\Midoriya?\You're accepting it too easily!\Wasn't that an insult?\It's like a Copernican Revolution...\Co-pe?\There are so many things I can't do.\I have to work hard and do my best. response:	But, All Might...
context: Midoriya?\You're accepting it too easily!\Wasn't that an insult?\It's like a Copernican Revolution...\Co-pe?\There are so many things I can't do.\I have to work hard and do my best.\But, All Might... response:	You don't have time to relax, young man.
context: You're accepting it too easily!\Wasn't that an insult?\It's like a Copernican Revolution...\Co-pe?\There are so many things I can't do.\I have to work hard and do my best.\But, All Might...\You don't have time to relax, young man. response:	The real thing starts tomorrow.
context: Wasn't that an insult?\It's like a Copernican Revolution...\Co-pe?\There are so many things I can't do.\I have to work hard and do my best.\But, All Might...\You don't have time to relax, young man.\The real thing starts tomorrow. response:	The curriculum of U.A. High's hero course.
context: It's like a Copernican Revolution...\Co-pe?\There are so many things I can't do.\I have to work hard and do my best.\But, All Might...\You don't have time to relax, young man.\The real thing starts tomorrow.\The curriculum of U.A. High's hero course. response:	Regular required classes, like English, in the morning.
context: Co-pe?\There are so many things I can't do.\I have to work hard and do my best.\But, All Might...\You don't have time to relax, young man.\The real thing starts tomorrow.\The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning. response:	Which of these English sentences is wrong?
context: There are so many things I can't do.\I have to work hard and do my best.\But, All Might...\You don't have time to relax, young man.\The real thing starts tomorrow.\The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning.\Which of these English sentences is wrong? response:	So normal...
context: I have to work hard and do my best.\But, All Might...\You don't have time to relax, young man.\The real thing starts tomorrow.\The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning.\Which of these English sentences is wrong?\So normal... response:	So normal...
context: But, All Might...\You don't have time to relax, young man.\The real thing starts tomorrow.\The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning.\Which of these English sentences is wrong?\So normal...\So normal... response:	So damn boring.
context: You don't have time to relax, young man.\The real thing starts tomorrow.\The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning.\Which of these English sentences is wrong?\So normal...\So normal...\So damn boring. response:	Everybody, heads up!
context: The real thing starts tomorrow.\The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning.\Which of these English sentences is wrong?\So normal...\So normal...\So damn boring.\Everybody, heads up! response:	Let's get this party started!
context: The curriculum of U.A. High's hero course.\Regular required classes, like English, in the morning.\Which of these English sentences is wrong?\So normal...\So normal...\So damn boring.\Everybody, heads up!\Let's get this party started! response:	Okay, Yaoyorozu, come on!
context: Regular required classes, like English, in the morning.\Which of these English sentences is wrong?\So normal...\So normal...\So damn boring.\Everybody, heads up!\Let's get this party started!\Okay, Yaoyorozu, come on! response:	The relative pronoun is in the wrong place in number 4!
context: Which of these English sentences is wrong?\So normal...\So normal...\So damn boring.\Everybody, heads up!\Let's get this party started!\Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4! response:	Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.
context: So normal...\So normal...\So damn boring.\Everybody, heads up!\Let's get this party started!\Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices. response:	White rice is great comfort food, isn't it?
context: So normal...\So damn boring.\Everybody, heads up!\Let's get this party started!\Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it? response:	Yeah.
context: So damn boring.\Everybody, heads up!\Let's get this party started!\Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it?\Yeah. response:	And then, in the afternoon, we finally have...
context: Everybody, heads up!\Let's get this party started!\Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it?\Yeah.\And then, in the afternoon, we finally have... response:	I am...
context: Let's get this party started!\Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it?\Yeah.\And then, in the afternoon, we finally have...\I am... response:	It's All Might!
context: Okay, Yaoyorozu, come on!\The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it?\Yeah.\And then, in the afternoon, we finally have...\I am...\It's All Might! response:	Wow, he really is a teacher!
context: The relative pronoun is in the wrong place in number 4!\Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it?\Yeah.\And then, in the afternoon, we finally have...\I am...\It's All Might!\Wow, he really is a teacher! response:	That's a costume from the Silver Age, isn't it?
context: Lunch is at the main cafeteria, where we can buy gourmet food for reasonable prices.\White rice is great comfort food, isn't it?\Yeah.\And then, in the afternoon, we finally have...\I am...\It's All Might!\Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it? response:	Its style is so different, it's giving me goose bumps.
context: White rice is great comfort food, isn't it?\Yeah.\And then, in the afternoon, we finally have...\I am...\It's All Might!\Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps. response:	I teach Hero Basic Training.
context: Yeah.\And then, in the afternoon, we finally have...\I am...\It's All Might!\Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training. response:	It is a subject where you train in different ways to learn the basics of being a hero.
context: And then, in the afternoon, we finally have...\I am...\It's All Might!\Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero. response:	You'll take the most units of this subject!
context: I am...\It's All Might!\Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject! response:	Let's get right into it!
context: It's All Might!\Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject!\Let's get right into it! response:	This is what we'll do today
context: Wow, he really is a teacher!\That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject!\Let's get right into it!\This is what we'll do today response:	Combat training!
context: That's a costume from the Silver Age, isn't it?\Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject!\Let's get right into it!\This is what we'll do today\Combat training! response:	Combat...
context: Its style is so different, it's giving me goose bumps.\I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject!\Let's get right into it!\This is what we'll do today\Combat training!\Combat... response:	And to go with that are these!
context: I teach Hero Basic Training.\It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject!\Let's get right into it!\This is what we'll do today\Combat training!\Combat...\And to go with that are these! response:	Costumes made based on your Quirk registrations and requests you sent in before school started.
context: It is a subject where you train in different ways to learn the basics of being a hero.\You'll take the most units of this subject!\Let's get right into it!\This is what we'll do today\Combat training!\Combat...\And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started. response:	Costumes!
context: You'll take the most units of this subject!\Let's get right into it!\This is what we'll do today\Combat training!\Combat...\And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes! response:	After you change, gather in Ground Beta!
context: Let's get right into it!\This is what we'll do today\Combat training!\Combat...\And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes!\After you change, gather in Ground Beta! response:	Yes, sir!
context: This is what we'll do today\Combat training!\Combat...\And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes!\After you change, gather in Ground Beta!\Yes, sir! response:	They say the clothes make the man, young men and ladies.
context: Combat training!\Combat...\And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes!\After you change, gather in Ground Beta!\Yes, sir!\They say the clothes make the man, young men and ladies. response:	Be fully aware...
context: Combat...\And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes!\After you change, gather in Ground Beta!\Yes, sir!\They say the clothes make the man, young men and ladies.\Be fully aware... response:	From now on...
context: And to go with that are these!\Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes!\After you change, gather in Ground Beta!\Yes, sir!\They say the clothes make the man, young men and ladies.\Be fully aware...\From now on... response:	That's great, everyone.
context: Costumes made based on your Quirk registrations and requests you sent in before school started.\Costumes!\After you change, gather in Ground Beta!\Yes, sir!\They say the clothes make the man, young men and ladies.\Be fully aware...\From now on...\That's great, everyone. response:	You all look cool!
context: Costumes!\After you change, gather in Ground Beta!\Yes, sir!\They say the clothes make the man, young men and ladies.\Be fully aware...\From now on...\That's great, everyone.\You all look cool! response:	Now, shall we begin, you zygotes?
context: After you change, gather in Ground Beta!\Yes, sir!\They say the clothes make the man, young men and ladies.\Be fully aware...\From now on...\That's great, everyone.\You all look cool!\Now, shall we begin, you zygotes? response:	The clothing allowance.
context: Yes, sir!\They say the clothes make the man, young men and ladies.\Be fully aware...\From now on...\That's great, everyone.\You all look cool!\Now, shall we begin, you zygotes?\The clothing allowance. response:	Before we enrolled in U.A. High, we submitted our Quirk registration,
context: They say the clothes make the man, young men and ladies.\Be fully aware...\From now on...\That's great, everyone.\You all look cool!\Now, shall we begin, you zygotes?\The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration, response:	physical measurements, and desired designs
context: Be fully aware...\From now on...\That's great, everyone.\You all look cool!\Now, shall we begin, you zygotes?\The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs response:	so a support company under exclusive contract with the school
context: From now on...\That's great, everyone.\You all look cool!\Now, shall we begin, you zygotes?\The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs\so a support company under exclusive contract with the school response:	could prepare state-of-the-art costumes for us.
context: That's great, everyone.\You all look cool!\Now, shall we begin, you zygotes?\The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs\so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us. response:	It's a wonderful system.
context: You all look cool!\Now, shall we begin, you zygotes?\The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs\so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us.\It's a wonderful system. response:	I need to go to city hall to get my Quirk registration for the clothing allowance.
context: Now, shall we begin, you zygotes?\The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs\so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us.\It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance. response:	But I'm already registered as none...
context: The clothing allowance.\Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs\so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us.\It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none... response:	Oh, what should I do...?
context: Before we enrolled in U.A. High, we submitted our Quirk registration,\physical measurements, and desired designs\so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us.\It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none...\Oh, what should I do...? response:	Quirk registration?
context: physical measurements, and desired designs\so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us.\It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none...\Oh, what should I do...?\Quirk registration? response:	Oh, you can update that.
context: so a support company under exclusive contract with the school\could prepare state-of-the-art costumes for us.\It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none...\Oh, what should I do...?\Quirk registration?\Oh, you can update that. response:	Really?!
context: could prepare state-of-the-art costumes for us.\It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none...\Oh, what should I do...?\Quirk registration?\Oh, you can update that.\Really?! response:	Everyone is examined and registered all at once when they enter elementary school and junior high, right?
context: It's a wonderful system.\I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none...\Oh, what should I do...?\Quirk registration?\Oh, you can update that.\Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right? response:	But there are cases where people discover their Quirks aren't what they thought they were.
context: I need to go to city hall to get my Quirk registration for the clothing allowance.\But I'm already registered as none...\Oh, what should I do...?\Quirk registration?\Oh, you can update that.\Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were. response:	So you're allowed to update it once or twice.
context: But I'm already registered as none...\Oh, what should I do...?\Quirk registration?\Oh, you can update that.\Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice. response:	They won't accept outrageous changes, but if you had none before, it's probably fine.
context: Oh, what should I do...?\Quirk registration?\Oh, you can update that.\Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine. response:	I'm home!
context: Quirk registration?\Oh, you can update that.\Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home! response:	And by probably, I mean I'm sure
context: Oh, you can update that.\Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home!\And by probably, I mean I'm sure response:	Oh, I hung up by accident!
context: Really?!\Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home!\And by probably, I mean I'm sure\Oh, I hung up by accident! response:	I'll have to apologize later.
context: Everyone is examined and registered all at once when they enter elementary school and junior high, right?\But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home!\And by probably, I mean I'm sure\Oh, I hung up by accident!\I'll have to apologize later. response:	Izuku, you know
context: But there are cases where people discover their Quirks aren't what they thought they were.\So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home!\And by probably, I mean I'm sure\Oh, I hung up by accident!\I'll have to apologize later.\Izuku, you know response:	Congrats on getting into U.A.!
context: So you're allowed to update it once or twice.\They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home!\And by probably, I mean I'm sure\Oh, I hung up by accident!\I'll have to apologize later.\Izuku, you know\Congrats on getting into U.A.! response:	I might have jumped to conclusions, though.
context: They won't accept outrageous changes, but if you had none before, it's probably fine.\I'm home!\And by probably, I mean I'm sure\Oh, I hung up by accident!\I'll have to apologize later.\Izuku, you know\Congrats on getting into U.A.!\I might have jumped to conclusions, though. response:	A jumpsuit?
context: I'm home!\And by probably, I mean I'm sure\Oh, I hung up by accident!\I'll have to apologize later.\Izuku, you know\Congrats on getting into U.A.!\I might have jumped to conclusions, though.\A jumpsuit? response:	It's not much as it is now, though.
context: And by probably, I mean I'm sure\Oh, I hung up by accident!\I'll have to apologize later.\Izuku, you know\Congrats on getting into U.A.!\I might have jumped to conclusions, though.\A jumpsuit?\It's not much as it is now, though. response:	When you'd dozed off while studying,
context: Oh, I hung up by accident!\I'll have to apologize later.\Izuku, you know\Congrats on getting into U.A.!\I might have jumped to conclusions, though.\A jumpsuit?\It's not much as it is now, though.\When you'd dozed off while studying, response:	I happened to see your notebook.
context: I'll have to apologize later.\Izuku, you know\Congrats on getting into U.A.!\I might have jumped to conclusions, though.\A jumpsuit?\It's not much as it is now, though.\When you'd dozed off while studying,\I happened to see your notebook. response:	What?
context: Izuku, you know\Congrats on getting into U.A.!\I might have jumped to conclusions, though.\A jumpsuit?\It's not much as it is now, though.\When you'd dozed off while studying,\I happened to see your notebook.\What? response:	The terrible thing I said kept bothering me.
context: Congrats on getting into U.A.!\I might have jumped to conclusions, though.\A jumpsuit?\It's not much as it is now, though.\When you'd dozed off while studying,\I happened to see your notebook.\What?\The terrible thing I said kept bothering me. response:	I gave up back then.
context: I might have jumped to conclusions, though.\A jumpsuit?\It's not much as it is now, though.\When you'd dozed off while studying,\I happened to see your notebook.\What?\The terrible thing I said kept bothering me.\I gave up back then. response:	But you didn't give up.
context: A jumpsuit?\It's not much as it is now, though.\When you'd dozed off while studying,\I happened to see your notebook.\What?\The terrible thing I said kept bothering me.\I gave up back then.\But you didn't give up. response:	You kept chasing your dream, didn't you?
context: It's not much as it is now, though.\When you'd dozed off while studying,\I happened to see your notebook.\What?\The terrible thing I said kept bothering me.\I gave up back then.\But you didn't give up.\You kept chasing your dream, didn't you? response:	I'm sorry, Izuku.
context: When you'd dozed off while studying,\I happened to see your notebook.\What?\The terrible thing I said kept bothering me.\I gave up back then.\But you didn't give up.\You kept chasing your dream, didn't you?\I'm sorry, Izuku. response:	I'll support you openly with everything I've got from now on!
context: I happened to see your notebook.\What?\The terrible thing I said kept bothering me.\I gave up back then.\But you didn't give up.\You kept chasing your dream, didn't you?\I'm sorry, Izuku.\I'll support you openly with everything I've got from now on! response:	These are my mother's feelings.
context: What?\The terrible thing I said kept bothering me.\I gave up back then.\But you didn't give up.\You kept chasing your dream, didn't you?\I'm sorry, Izuku.\I'll support you openly with everything I've got from now on!\These are my mother's feelings. response:	What'll I wear if not this!
context: The terrible thing I said kept bothering me.\I gave up back then.\But you didn't give up.\You kept chasing your dream, didn't you?\I'm sorry, Izuku.\I'll support you openly with everything I've got from now on!\These are my mother's feelings.\What'll I wear if not this! response:	Even if it's not the most convenient or state-of-the-art, it's fine.
context: I gave up back then.\But you didn't give up.\You kept chasing your dream, didn't you?\I'm sorry, Izuku.\I'll support you openly with everything I've got from now on!\These are my mother's feelings.\What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine. response:	This is my costume!
context: But you didn't give up.\You kept chasing your dream, didn't you?\I'm sorry, Izuku.\I'll support you openly with everything I've got from now on!\These are my mother's feelings.\What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume! response:	Oh, Deku?
context: You kept chasing your dream, didn't you?\I'm sorry, Izuku.\I'll support you openly with everything I've got from now on!\These are my mother's feelings.\What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume!\Oh, Deku? response:	Uraraka!
context: I'm sorry, Izuku.\I'll support you openly with everything I've got from now on!\These are my mother's feelings.\What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume!\Oh, Deku?\Uraraka! response:	That looks cool!
context: I'll support you openly with everything I've got from now on!\These are my mother's feelings.\What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume!\Oh, Deku?\Uraraka!\That looks cool! response:	Really down to earth.
context: These are my mother's feelings.\What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume!\Oh, Deku?\Uraraka!\That looks cool!\Really down to earth. response:	I should have written what I wanted...
context: What'll I wear if not this!\Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume!\Oh, Deku?\Uraraka!\That looks cool!\Really down to earth.\I should have written what I wanted... response:	Mine ended up being a skintight bodysuit.
context: Even if it's not the most convenient or state-of-the-art, it's fine.\This is my costume!\Oh, Deku?\Uraraka!\That looks cool!\Really down to earth.\I should have written what I wanted...\Mine ended up being a skintight bodysuit. response:	It's embarrassing...
context: This is my costume!\Oh, Deku?\Uraraka!\That looks cool!\Really down to earth.\I should have written what I wanted...\Mine ended up being a skintight bodysuit.\It's embarrassing... response:	The hero course is the best.
context: Oh, Deku?\Uraraka!\That looks cool!\Really down to earth.\I should have written what I wanted...\Mine ended up being a skintight bodysuit.\It's embarrassing...\The hero course is the best. response:	Huh?!
context: Uraraka!\That looks cool!\Really down to earth.\I should have written what I wanted...\Mine ended up being a skintight bodysuit.\It's embarrassing...\The hero course is the best.\Huh?! response:	So obvious.
context: That looks cool!\Really down to earth.\I should have written what I wanted...\Mine ended up being a skintight bodysuit.\It's embarrassing...\The hero course is the best.\Huh?!\So obvious. response:	Now, it's time for combat training!
context: Really down to earth.\I should have written what I wanted...\Mine ended up being a skintight bodysuit.\It's embarrassing...\The hero course is the best.\Huh?!\So obvious.\Now, it's time for combat training! response:	Teacher!
context: I should have written what I wanted...\Mine ended up being a skintight bodysuit.\It's embarrassing...\The hero course is the best.\Huh?!\So obvious.\Now, it's time for combat training!\Teacher! response:	Oh, that was Iida.
context: Mine ended up being a skintight bodysuit.\It's embarrassing...\The hero course is the best.\Huh?!\So obvious.\Now, it's time for combat training!\Teacher!\Oh, that was Iida. response:	He looks cool.
context: It's embarrassing...\The hero course is the best.\Huh?!\So obvious.\Now, it's time for combat training!\Teacher!\Oh, that was Iida.\He looks cool. response:	This is a battle center from the entrance exam, so will we be conducting urban battles again?
context: The hero course is the best.\Huh?!\So obvious.\Now, it's time for combat training!\Teacher!\Oh, that was Iida.\He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again? response:	No, we're going to move ahead two steps!
context: Huh?!\So obvious.\Now, it's time for combat training!\Teacher!\Oh, that was Iida.\He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps! response:	Most of the time, fighting villains takes place outside,
context: So obvious.\Now, it's time for combat training!\Teacher!\Oh, that was Iida.\He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside, response:	but if you look at the total numbers, atrocious villains appear indoors at a higher rate.
context: Now, it's time for combat training!\Teacher!\Oh, that was Iida.\He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate. response:	Imprisonment, house arrest, backroom deals
context: Teacher!\Oh, that was Iida.\He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals response:	In this society filled with heroes...
context: Oh, that was Iida.\He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals\In this society filled with heroes... response:	For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.
context: He looks cool.\This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals\In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles. response:	Without basic training?
context: This is a battle center from the entrance exam, so will we be conducting urban battles again?\No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals\In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training? response:	This is a real battle to understand those basics!
context: No, we're going to move ahead two steps!\Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals\In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training?\This is a real battle to understand those basics! response:	However, the key this time is that there's no robot you can just beat up.
context: Most of the time, fighting villains takes place outside,\but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals\In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training?\This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up. response:	How will wins and losses be determined?
context: but if you look at the total numbers, atrocious villains appear indoors at a higher rate.\Imprisonment, house arrest, backroom deals\In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training?\This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined? response:	Can we beat them up anyway?
context: Imprisonment, house arrest, backroom deals\In this society filled with heroes...\For this class, you'll be split into villains and heroes and fight 2-on-2 indoor battles.\Without basic training?\This is a real battle to understand those basics!\However, the key this time is that there's no robot you can just beat up.\How will wins and losses be determined?\Can we beat them up anyway? response:	Will the punishment be expulsion like with Mr. Aizawa?
