context: Looks like another hot day. response:	Good thing Kana-chan said we don't have to wear hakama.
context: Hear her exhale...\Here comes spring, now the flower blooms\Listen for the first syllable!\Loo\k for the sound...\What was that?!\but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion! response:	I feel as
context: Here comes spring, now the flower blooms\Listen for the first syllable!\Loo\k for the sound...\What was that?!\but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion!\I feel as response:	I can't see her move.
context: Listen for the first syllable!\Loo\k for the sound...\What was that?!\but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion!\I feel as\I can't see her move. response:	though I am like...
context: Loo\k for the sound...\What was that?!\but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion!\I feel as\I can't see her move.\though I am like... response:	The hazy field...
context: k for the sound...\What was that?!\but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion!\I feel as\I can't see her move.\though I am like...\The hazy field... response:	Her hand slices through the air, like a needle.
context: What was that?!\but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion!\I feel as\I can't see her move.\though I am like...\The hazy field...\Her hand slices through the air, like a needle. response:	Silent karuta!
context: but instead you see a pale moon in the dawn sky\Her hand is still a blur in slow motion!\I feel as\I can't see her move.\though I am like...\The hazy field...\Her hand slices through the air, like a needle.\Silent karuta! response:	The second round for Class B is about to begin.
context: Her hand is still a blur in slow motion!\I feel as\I can't see her move.\though I am like...\The hazy field...\Her hand slices through the air, like a needle.\Silent karuta!\The second round for Class B is about to begin. response:	Please sit down in your assigned seat
context: I feel as\I can't see her move.\though I am like...\The hazy field...\Her hand slices through the air, like a needle.\Silent karuta!\The second round for Class B is about to begin.\Please sit down in your assigned seat response:	once you've checked who your opponent is.
context: I can't see her move.\though I am like...\The hazy field...\Her hand slices through the air, like a needle.\Silent karuta!\The second round for Class B is about to begin.\Please sit down in your assigned seat\once you've checked who your opponent is. response:	Oh, I win by default.
context: though I am like...\The hazy field...\Her hand slices through the air, like a needle.\Silent karuta!\The second round for Class B is about to begin.\Please sit down in your assigned seat\once you've checked who your opponent is.\Oh, I win by default. response:	No fair, Mashima!
context: The hazy field...\Her hand slices through the air, like a needle.\Silent karuta!\The second round for Class B is about to begin.\Please sit down in your assigned seat\once you've checked who your opponent is.\Oh, I win by default.\No fair, Mashima! response:	You're going to cheer for Kana-chan in her Class D match!
context: Her hand slices through the air, like a needle.\Silent karuta!\The second round for Class B is about to begin.\Please sit down in your assigned seat\once you've checked who your opponent is.\Oh, I win by default.\No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match! response:	Why do you think I'm going to watch Oe-san?
context: Silent karuta!\The second round for Class B is about to begin.\Please sit down in your assigned seat\once you've checked who your opponent is.\Oh, I win by default.\No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san? response:	I told Kana-chan to come cheer me on if her match ended early.
context: The second round for Class B is about to begin.\Please sit down in your assigned seat\once you've checked who your opponent is.\Oh, I win by default.\No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early. response:	So if you're going to watch Class D,
context: Please sit down in your assigned seat\once you've checked who your opponent is.\Oh, I win by default.\No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D, response:	tell Kana-chan that I'm rooting for her.
context: once you've checked who your opponent is.\Oh, I win by default.\No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her. response:	Hey!
context: Oh, I win by default.\No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her.\Hey! response:	Let's see...
context: No fair, Mashima!\You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her.\Hey!\Let's see... response:	Ayase Chihaya
context: You're going to cheer for Kana-chan in her Class D match!\Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her.\Hey!\Let's see...\Ayase Chihaya response:	Wakamiya Shinobu
context: Why do you think I'm going to watch Oe-san?\I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her.\Hey!\Let's see...\Ayase Chihaya\Wakamiya Shinobu response:	Wakamiya Shinobu?
context: I told Kana-chan to come cheer me on if her match ended early.\So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her.\Hey!\Let's see...\Ayase Chihaya\Wakamiya Shinobu\Wakamiya Shinobu? response:	Chihaya's playing against the Queen!
context: So if you're going to watch Class D,\tell Kana-chan that I'm rooting for her.\Hey!\Let's see...\Ayase Chihaya\Wakamiya Shinobu\Wakamiya Shinobu?\Chihaya's playing against the Queen! response:	She's moving so fast that I can't tell what's happening.
context: tell Kana-chan that I'm rooting for her.\Hey!\Let's see...\Ayase Chihaya\Wakamiya Shinobu\Wakamiya Shinobu?\Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening. response:	But one thing is clear,
context: Hey!\Let's see...\Ayase Chihaya\Wakamiya Shinobu\Wakamiya Shinobu?\Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening.\But one thing is clear, response:	Ayase-san's field has the same number of cards as before.
context: Let's see...\Ayase Chihaya\Wakamiya Shinobu\Wakamiya Shinobu?\Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening.\But one thing is clear,\Ayase-san's field has the same number of cards as before. response:	Please remain quiet during matches.
context: Ayase Chihaya\Wakamiya Shinobu\Wakamiya Shinobu?\Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening.\But one thing is clear,\Ayase-san's field has the same number of cards as before.\Please remain quiet during matches. response:	hear the beating of cloth, as a chilly autumn breeze
context: Wakamiya Shinobu\Wakamiya Shinobu?\Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening.\But one thing is clear,\Ayase-san's field has the same number of cards as before.\Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze response:	Chihaya...
context: Wakamiya Shinobu?\Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening.\But one thing is clear,\Ayase-san's field has the same number of cards as before.\Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze\Chihaya... response:	descends from Mount Yoshino upon my long-forgotten home
context: Chihaya's playing against the Queen!\She's moving so fast that I can't tell what's happening.\But one thing is clear,\Ayase-san's field has the same number of cards as before.\Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze\Chihaya...\descends from Mount Yoshino upon my long-forgotten home response:	While it brings me no joy...
context: She's moving so fast that I can't tell what's happening.\But one thing is clear,\Ayase-san's field has the same number of cards as before.\Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze\Chihaya...\descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy... response:	Sh-She's fast! What was that?!
context: But one thing is clear,\Ayase-san's field has the same number of cards as before.\Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze\Chihaya...\descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy...\Sh-She's fast! What was that?! response:	She's so fast.
context: Ayase-san's field has the same number of cards as before.\Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze\Chihaya...\descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy...\Sh-She's fast! What was that?!\She's so fast. response:	She's so fast that I can't see a thing!
context: Please remain quiet during matches.\hear the beating of cloth, as a chilly autumn breeze\Chihaya...\descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy...\Sh-She's fast! What was that?!\She's so fast.\She's so fast that I can't see a thing! response:	Ms. Miyauchi,
context: hear the beating of cloth, as a chilly autumn breeze\Chihaya...\descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy...\Sh-She's fast! What was that?!\She's so fast.\She's so fast that I can't see a thing!\Ms. Miyauchi, response:	can I have a look?
context: Chihaya...\descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy...\Sh-She's fast! What was that?!\She's so fast.\She's so fast that I can't see a thing!\Ms. Miyauchi,\can I have a look? response:	Y-Yes...
context: descends from Mount Yoshino upon my long-forgotten home\While it brings me no joy...\Sh-She's fast! What was that?!\She's so fast.\She's so fast that I can't see a thing!\Ms. Miyauchi,\can I have a look?\Y-Yes... response:	Chihaya reacted first.
context: While it brings me no joy...\Sh-She's fast! What was that?!\She's so fast.\She's so fast that I can't see a thing!\Ms. Miyauchi,\can I have a look?\Y-Yes...\Chihaya reacted first. response:	As soon as she heard While it,
context: Sh-She's fast! What was that?!\She's so fast.\She's so fast that I can't see a thing!\Ms. Miyauchi,\can I have a look?\Y-Yes...\Chihaya reacted first.\As soon as she heard While it, response:	she moved towards the While it may card on the opponent's side.
context: She's so fast.\She's so fast that I can't see a thing!\Ms. Miyauchi,\can I have a look?\Y-Yes...\Chihaya reacted first.\As soon as she heard While it,\she moved towards the While it may card on the opponent's side. response:	She was positioned perfectly to come back
context: She's so fast that I can't see a thing!\Ms. Miyauchi,\can I have a look?\Y-Yes...\Chihaya reacted first.\As soon as she heard While it,\she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back response:	for the While it brings card on her own side.
context: Ms. Miyauchi,\can I have a look?\Y-Yes...\Chihaya reacted first.\As soon as she heard While it,\she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back\for the While it brings card on her own side. response:	But the Queen didn't move until she heard the third syllable...
context: can I have a look?\Y-Yes...\Chihaya reacted first.\As soon as she heard While it,\she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back\for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable... response:	She's so fast that she can afford to wait?
context: Y-Yes...\Chihaya reacted first.\As soon as she heard While it,\she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back\for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait? response:	So the flower pe
context: Chihaya reacted first.\As soon as she heard While it,\she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back\for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait?\So the flower pe response:	tals are scattered like the snow by the passing storm,
context: As soon as she heard While it,\she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back\for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait?\So the flower pe\tals are scattered like the snow by the passing storm, response:	Chihaya...
context: she moved towards the While it may card on the opponent's side.\She was positioned perfectly to come back\for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait?\So the flower pe\tals are scattered like the snow by the passing storm,\Chihaya... response:	Here we go again.
context: She was positioned perfectly to come back\for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait?\So the flower pe\tals are scattered like the snow by the passing storm,\Chihaya...\Here we go again. response:	She's already up by ten cards?
context: for the While it brings card on her own side.\But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait?\So the flower pe\tals are scattered like the snow by the passing storm,\Chihaya...\Here we go again.\She's already up by ten cards? response:	Wakamiya Shinobu's on a whole different level.
context: But the Queen didn't move until she heard the third syllable...\She's so fast that she can afford to wait?\So the flower pe\tals are scattered like the snow by the passing storm,\Chihaya...\Here we go again.\She's already up by ten cards?\Wakamiya Shinobu's on a whole different level. response:	I feel bad for the girl playing her.
context: She's so fast that she can afford to wait?\So the flower pe\tals are scattered like the snow by the passing storm,\Chihaya...\Here we go again.\She's already up by ten cards?\Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her. response:	She's probably ready to throw in the towel.
context: So the flower pe\tals are scattered like the snow by the passing storm,\Chihaya...\Here we go again.\She's already up by ten cards?\Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her.\She's probably ready to throw in the towel. response:	Chihaya is just as fast as the Queen
context: tals are scattered like the snow by the passing storm,\Chihaya...\Here we go again.\She's already up by ten cards?\Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her.\She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen response:	when she's focused on one card.
context: Chihaya...\Here we go again.\She's already up by ten cards?\Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her.\She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen\when she's focused on one card. response:	But there are dozens of cards on the field.
context: Here we go again.\She's already up by ten cards?\Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her.\She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen\when she's focused on one card.\But there are dozens of cards on the field. response:	She can't focus on that many cards at the same time.
context: She's already up by ten cards?\Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her.\She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen\when she's focused on one card.\But there are dozens of cards on the field.\She can't focus on that many cards at the same time. response:	But the Queen can do it?
context: Wakamiya Shinobu's on a whole different level.\I feel bad for the girl playing her.\She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen\when she's focused on one card.\But there are dozens of cards on the field.\She can't focus on that many cards at the same time.\But the Queen can do it? response:	Stay calm...
context: I feel bad for the girl playing her.\She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen\when she's focused on one card.\But there are dozens of cards on the field.\She can't focus on that many cards at the same time.\But the Queen can do it?\Stay calm... response:	The Queen must be vulnerable somewhere.
context: She's probably ready to throw in the towel.\Chihaya is just as fast as the Queen\when she's focused on one card.\But there are dozens of cards on the field.\She can't focus on that many cards at the same time.\But the Queen can do it?\Stay calm...\The Queen must be vulnerable somewhere. response:	She left the May the time spent and May the time we cards next to each other,
context: Chihaya is just as fast as the Queen\when she's focused on one card.\But there are dozens of cards on the field.\She can't focus on that many cards at the same time.\But the Queen can do it?\Stay calm...\The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other, response:	even though May the scarlet has been read, so I could just hit both cards after hearing May the.
context: when she's focused on one card.\But there are dozens of cards on the field.\She can't focus on that many cards at the same time.\But the Queen can do it?\Stay calm...\The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the. response:	I am stunned!
context: But there are dozens of cards on the field.\She can't focus on that many cards at the same time.\But the Queen can do it?\Stay calm...\The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned! response:	Why wouldn't you separate those cards?!
context: She can't focus on that many cards at the same time.\But the Queen can do it?\Stay calm...\The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned!\Why wouldn't you separate those cards?! response:	It baffles me!
context: But the Queen can do it?\Stay calm...\The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned!\Why wouldn't you separate those cards?!\It baffles me! response:	She's asking for it...
context: Stay calm...\The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned!\Why wouldn't you separate those cards?!\It baffles me!\She's asking for it... response:	Go!
context: The Queen must be vulnerable somewhere.\She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned!\Why wouldn't you separate those cards?!\It baffles me!\She's asking for it...\Go! response:	Hit both cards at the same time!
context: She left the May the time spent and May the time we cards next to each other,\even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned!\Why wouldn't you separate those cards?!\It baffles me!\She's asking for it...\Go!\Hit both cards at the same time! response:	Chihaya, it's so obvious what you're doing!
context: even though May the scarlet has been read, so I could just hit both cards after hearing May the.\I am stunned!\Why wouldn't you separate those cards?!\It baffles me!\She's asking for it...\Go!\Hit both cards at the same time!\Chihaya, it's so obvious what you're doing! response:	My fear is no...
context: I am stunned!\Why wouldn't you separate those cards?!\It baffles me!\She's asking for it...\Go!\Hit both cards at the same time!\Chihaya, it's so obvious what you're doing!\My fear is no... response:	The sight of Mount Arima...
context: Why wouldn't you separate those cards?!\It baffles me!\She's asking for it...\Go!\Hit both cards at the same time!\Chihaya, it's so obvious what you're doing!\My fear is no...\The sight of Mount Arima... response:	See?
context: It baffles me!\She's asking for it...\Go!\Hit both cards at the same time!\Chihaya, it's so obvious what you're doing!\My fear is no...\The sight of Mount Arima...\See? response:	This is what happens when you focus on one card!
context: She's asking for it...\Go!\Hit both cards at the same time!\Chihaya, it's so obvious what you're doing!\My fear is no...\The sight of Mount Arima...\See?\This is what happens when you focus on one card! response:	But that first card is always big.
context: Go!\Hit both cards at the same time!\Chihaya, it's so obvious what you're doing!\My fear is no...\The sight of Mount Arima...\See?\This is what happens when you focus on one card!\But that first card is always big. response:	You haven't given up yet, right?
context: Hit both cards at the same time!\Chihaya, it's so obvious what you're doing!\My fear is no...\The sight of Mount Arima...\See?\This is what happens when you focus on one card!\But that first card is always big.\You haven't given up yet, right? response:	Chihaya, show everyone your ability to go on the attack!
context: Chihaya, it's so obvious what you're doing!\My fear is no...\The sight of Mount Arima...\See?\This is what happens when you focus on one card!\But that first card is always big.\You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack! response:	May the
context: My fear is no...\The sight of Mount Arima...\See?\This is what happens when you focus on one card!\But that first card is always big.\You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack!\May the response:	There it is!
context: The sight of Mount Arima...\See?\This is what happens when you focus on one card!\But that first card is always big.\You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack!\May the\There it is! response:	time we spend apart from one another be
context: See?\This is what happens when you focus on one card!\But that first card is always big.\You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack!\May the\There it is!\time we spend apart from one another be response:	What?!
context: This is what happens when you focus on one card!\But that first card is always big.\You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack!\May the\There it is!\time we spend apart from one another be\What?! response:	Mashima-kun, who took that card?
context: But that first card is always big.\You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack!\May the\There it is!\time we spend apart from one another be\What?!\Mashima-kun, who took that card? response:	It was hard to tell.
context: You haven't given up yet, right?\Chihaya, show everyone your ability to go on the attack!\May the\There it is!\time we spend apart from one another be\What?!\Mashima-kun, who took that card?\It was hard to tell. response:	Yes...
context: Chihaya, show everyone your ability to go on the attack!\May the\There it is!\time we spend apart from one another be\What?!\Mashima-kun, who took that card?\It was hard to tell.\Yes... response:	What happens when neither player is sure who took the card?
context: May the\There it is!\time we spend apart from one another be\What?!\Mashima-kun, who took that card?\It was hard to tell.\Yes...\What happens when neither player is sure who took the card? response:	They can ask the judge or discuss it between themselves.
context: There it is!\time we spend apart from one another be\What?!\Mashima-kun, who took that card?\It was hard to tell.\Yes...\What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves. response:	However, the best players always know.
context: time we spend apart from one another be\What?!\Mashima-kun, who took that card?\It was hard to tell.\Yes...\What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves.\However, the best players always know. response:	I was aiming to hit both cards,
context: What?!\Mashima-kun, who took that card?\It was hard to tell.\Yes...\What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves.\However, the best players always know.\I was aiming to hit both cards, response:	but the Queen was aiming for a single point on the field.
context: Mashima-kun, who took that card?\It was hard to tell.\Yes...\What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves.\However, the best players always know.\I was aiming to hit both cards,\but the Queen was aiming for a single point on the field. response:	What am I supposed to do...
context: It was hard to tell.\Yes...\What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves.\However, the best players always know.\I was aiming to hit both cards,\but the Queen was aiming for a single point on the field.\What am I supposed to do... response:	What am I supposed to do?
context: Yes...\What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves.\However, the best players always know.\I was aiming to hit both cards,\but the Queen was aiming for a single point on the field.\What am I supposed to do...\What am I supposed to do? response:	What am I supposed to do?
context: What happens when neither player is sure who took the card?\They can ask the judge or discuss it between themselves.\However, the best players always know.\I was aiming to hit both cards,\but the Queen was aiming for a single point on the field.\What am I supposed to do...\What am I supposed to do?\What am I supposed to do? response:	Chihaya-chan, go on the attack.
context: They can ask the judge or discuss it between themselves.\However, the best players always know.\I was aiming to hit both cards,\but the Queen was aiming for a single point on the field.\What am I supposed to do...\What am I supposed to do?\What am I supposed to do?\Chihaya-chan, go on the attack. response:	Your primary focus should always be
context: However, the best players always know.\I was aiming to hit both cards,\but the Queen was aiming for a single point on the field.\What am I supposed to do...\What am I supposed to do?\What am I supposed to do?\Chihaya-chan, go on the attack.\Your primary focus should always be response:	to push the opponent's side.
context: I was aiming to hit both cards,\but the Queen was aiming for a single point on the field.\What am I supposed to do...\What am I supposed to do?\What am I supposed to do?\Chihaya-chan, go on the attack.\Your primary focus should always be\to push the opponent's side. response:	I'm on the attack.
context: but the Queen was aiming for a single point on the field.\What am I supposed to do...\What am I supposed to do?\What am I supposed to do?\Chihaya-chan, go on the attack.\Your primary focus should always be\to push the opponent's side.\I'm on the attack. response:	I don't know how to do anything else!
context: What am I supposed to do...\What am I supposed to do?\What am I supposed to do?\Chihaya-chan, go on the attack.\Your primary focus should always be\to push the opponent's side.\I'm on the attack.\I don't know how to do anything else! response:	Daddy Bear?!
context: What am I supposed to do?\What am I supposed to do?\Chihaya-chan, go on the attack.\Your primary focus should always be\to push the opponent's side.\I'm on the attack.\I don't know how to do anything else!\Daddy Bear?! response:	Huh?
context: What am I supposed to do?\Chihaya-chan, go on the attack.\Your primary focus should always be\to push the opponent's side.\I'm on the attack.\I don't know how to do anything else!\Daddy Bear?!\Huh? response:	Excuse me.
context: Chihaya-chan, go on the attack.\Your primary focus should always be\to push the opponent's side.\I'm on the attack.\I don't know how to do anything else!\Daddy Bear?!\Huh?\Excuse me. response:	Huh? What?!
context: Your primary focus should always be\to push the opponent's side.\I'm on the attack.\I don't know how to do anything else!\Daddy Bear?!\Huh?\Excuse me.\Huh? What?! response:	Is she talking about my T-shirt?!
context: to push the opponent's side.\I'm on the attack.\I don't know how to do anything else!\Daddy Bear?!\Huh?\Excuse me.\Huh? What?!\Is she talking about my T-shirt?! response:	The Queen is wearing a Snowmaru T-shirt!
context: I'm on the attack.\I don't know how to do anything else!\Daddy Bear?!\Huh?\Excuse me.\Huh? What?!\Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt! response:	Snowmaru only has an official shop in Osaka
context: I don't know how to do anything else!\Daddy Bear?!\Huh?\Excuse me.\Huh? What?!\Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka response:	so you have to order everything online!
context: Daddy Bear?!\Huh?\Excuse me.\Huh? What?!\Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka\so you have to order everything online! response:	He's a super cute character with a topknot
context: Huh?\Excuse me.\Huh? What?!\Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka\so you have to order everything online!\He's a super cute character with a topknot response:	when he takes the bucket off his head!
context: Excuse me.\Huh? What?!\Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka\so you have to order everything online!\He's a super cute character with a topknot\when he takes the bucket off his head! response:	It's my most attractive feature.
context: Huh? What?!\Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka\so you have to order everything online!\He's a super cute character with a topknot\when he takes the bucket off his head!\It's my most attractive feature. response:	No, concentrate on the match.
context: Is she talking about my T-shirt?!\The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka\so you have to order everything online!\He's a super cute character with a topknot\when he takes the bucket off his head!\It's my most attractive feature.\No, concentrate on the match. response:	Right.
context: The Queen is wearing a Snowmaru T-shirt!\Snowmaru only has an official shop in Osaka\so you have to order everything online!\He's a super cute character with a topknot\when he takes the bucket off his head!\It's my most attractive feature.\No, concentrate on the match.\Right. response:	The Queen is a 16-year-old girl, just like me.
context: Snowmaru only has an official shop in Osaka\so you have to order everything online!\He's a super cute character with a topknot\when he takes the bucket off his head!\It's my most attractive feature.\No, concentrate on the match.\Right.\The Queen is a 16-year-old girl, just like me. response:	I can beat her.
context: so you have to order everything online!\He's a super cute character with a topknot\when he takes the bucket off his head!\It's my most attractive feature.\No, concentrate on the match.\Right.\The Queen is a 16-year-old girl, just like me.\I can beat her. response:	as short-lived as the reeds of Naniwa Bay
context: He's a super cute character with a topknot\when he takes the bucket off his head!\It's my most attractive feature.\No, concentrate on the match.\Right.\The Queen is a 16-year-old girl, just like me.\I can beat her.\as short-lived as the reeds of Naniwa Bay response:	That was bad.
context: when he takes the bucket off his head!\It's my most attractive feature.\No, concentrate on the match.\Right.\The Queen is a 16-year-old girl, just like me.\I can beat her.\as short-lived as the reeds of Naniwa Bay\That was bad. response:	Stay focused.
context: It's my most attractive feature.\No, concentrate on the match.\Right.\The Queen is a 16-year-old girl, just like me.\I can beat her.\as short-lived as the reeds of Naniwa Bay\That was bad.\Stay focused. response:	Said world offers no change...
context: No, concentrate on the match.\Right.\The Queen is a 16-year-old girl, just like me.\I can beat her.\as short-lived as the reeds of Naniwa Bay\That was bad.\Stay focused.\Said world offers no change... response:	Did you see that?!
context: Right.\The Queen is a 16-year-old girl, just like me.\I can beat her.\as short-lived as the reeds of Naniwa Bay\That was bad.\Stay focused.\Said world offers no change...\Did you see that?! response:	Wow...
context: The Queen is a 16-year-old girl, just like me.\I can beat her.\as short-lived as the reeds of Naniwa Bay\That was bad.\Stay focused.\Said world offers no change...\Did you see that?!\Wow... response:	Grr.
context: I can beat her.\as short-lived as the reeds of Naniwa Bay\That was bad.\Stay focused.\Said world offers no change...\Did you see that?!\Wow...\Grr. response:	What was that about?!
context: as short-lived as the reeds of Naniwa Bay\That was bad.\Stay focused.\Said world offers no change...\Did you see that?!\Wow...\Grr.\What was that about?! response:	She made a weird move.
context: That was bad.\Stay focused.\Said world offers no change...\Did you see that?!\Wow...\Grr.\What was that about?!\She made a weird move. response:	Yes, she was covering her own card.
context: Stay focused.\Said world offers no change...\Did you see that?!\Wow...\Grr.\What was that about?!\She made a weird move.\Yes, she was covering her own card. response:	Covering?
context: Said world offers no change...\Did you see that?!\Wow...\Grr.\What was that about?!\She made a weird move.\Yes, she was covering her own card.\Covering? response:	Said world offers no change was on Chihaya's side.
context: Did you see that?!\Wow...\Grr.\What was that about?!\She made a weird move.\Yes, she was covering her own card.\Covering?\Said world offers no change was on Chihaya's side. response:	Said world offers no escape was on the Queen's side.
context: Wow...\Grr.\What was that about?!\She made a weird move.\Yes, she was covering her own card.\Covering?\Said world offers no change was on Chihaya's side.\Said world offers no escape was on the Queen's side. response:	These are multi-syllable cards,
context: Grr.\What was that about?!\She made a weird move.\Yes, she was covering her own card.\Covering?\Said world offers no change was on Chihaya's side.\Said world offers no escape was on the Queen's side.\These are multi-syllable cards, response:	and you have to wait to hear
context: What was that about?!\She made a weird move.\Yes, she was covering her own card.\Covering?\Said world offers no change was on Chihaya's side.\Said world offers no escape was on the Queen's side.\These are multi-syllable cards,\and you have to wait to hear response:	the next syllable after the no,
